actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
25,PT10M17.00S,2021-10-24T20:14:19.2Z,1,REGULAR,3pt,Jump Shot,[],1630163,34.11629434954008,44.36274509803921,1610612766,0,4,2021-10-24T20:14:25Z,240000,28.0,268.0,1,left,MISS L. Ball 26' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,26.97,Missed,,,,,,,,,,,,,,,,,,
26,PT10M13.00S,2021-10-24T20:14:23.2Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,4,2021-10-24T20:14:25Z,250000,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,
28,PT10M05.00S,2021-10-24T20:14:31.3Z,1,REGULAR,3pt,Jump Shot,[],201935,66.83639947437582,38.72549019607843,1610612751,0,4,2021-10-24T20:14:38Z,260000,-56.0,259.0,1,right,MISS J. Harden 26' pullup 3PT,[201935],1610612751.0,BKN,pullup,,,Harden,J. Harden,,,,,26.53,Missed,,,,,,,,,,,,,,,,,,
29,PT10M01.00S,2021-10-24T20:14:35.3Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,4,2021-10-24T20:14:38Z,270000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,
30,PT09M44.00S,2021-10-24T20:14:52.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630163,8.360709592641262,40.68627450980392,1610612766,0,6,2021-10-24T20:15:03Z,280000,47.0,26.0,1,left,L. Ball driving bank Hook (4 PTS),[1630163],1610612766.0,CHA,driving bank,,,Ball,L. Ball,,,,,5.34,Made,,,,,,,,,,,,4.0,,,,,,
31,PT09M30.00S,2021-10-24T20:15:09.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,0,6,2021-10-24T20:15:09Z,290000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M25.00S,2021-10-24T20:15:26.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203925,81.42247043363994,45.588235294117645,1610612751,2,6,2021-10-24T20:15:38Z,300000,-22.0,122.0,1,right,J. Harris 12' driving floating Jump Shot (2 PTS) (J. Harden 1 AST),"[203925, 201935]",1610612751.0,BKN,driving floating,,,Harris,J. Harris,,,,,12.41,Made,,,,,,,,,,,,2.0,J. Harden,201935.0,1.0,,,
34,PT09M06.00S,2021-10-24T20:15:45.1Z,1,REGULAR,3pt,Jump Shot,[],1628970,2.9730617608409986,96.81372549019608,1610612766,2,9,2021-10-24T20:15:49Z,320000,-234.0,-25.0,1,left,M. Bridges 3PT  (3 PTS) (M. Plumlee 1 AST),"[1628970, 203486]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,23.54,Made,,,,,,,,,,,,3.0,M. Plumlee,203486.0,1.0,,,
36,PT08M53.00S,2021-10-24T20:15:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,85.49605781865965,56.372549019607845,1610612751,2,9,2021-10-24T20:16:03Z,340000,32.0,84.0,1,right,MISS J. Harden 8' driving floating Shot,[201935],1610612751.0,BKN,driving floating,,,Harden,J. Harden,,,,,8.97,Missed,,,,,,,,,,,,,,,,,,
37,PT08M50.00S,2021-10-24T20:16:01.9Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,2,9,2021-10-24T20:16:01Z,350000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,
38,PT08M43.00S,2021-10-24T20:16:09.3Z,1,REGULAR,turnover,bad pass,[],202330,,,1610612766,2,9,2021-10-24T20:16:12Z,360000,,,0,,G. Hayward bad pass TURNOVER (1 TO),"[202330, 1628975]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,1.0,Carter,1628975.0
39,PT08M43.00S,2021-10-24T20:16:09.3Z,1,REGULAR,steal,,[],1628975,,,1610612751,2,9,2021-10-24T20:16:11Z,370000,,,0,,J. Carter STEAL (1 STL),[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M37.00S,2021-10-24T20:16:14.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201142,90.62089356110381,42.8921568627451,1610612751,4,9,2021-10-24T20:16:25Z,380000,-36.0,36.0,1,right,K. Durant running Layup (2 PTS) (J. Carter 1 AST),"[201142, 1628975]",1610612751.0,BKN,running,,,Durant,K. Durant,,,,,5.03,Made,,,,,,,,,,,,2.0,J. Carter,1628975.0,1.0,,,
42,PT08M23.00S,2021-10-24T20:16:29.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628970,7.835085413929041,39.46078431372549,1610612766,4,9,2021-10-24T20:16:33Z,400000,53.0,21.0,1,left,MISS M. Bridges driving Hook,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,5.68,Missed,,,,,,,,,,,,,,,,,,
43,PT08M20.00S,2021-10-24T20:16:32.6Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,4,9,2021-10-24T20:16:33Z,410000,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,
44,PT08M10.00S,2021-10-24T20:16:41.6Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,4,9,2021-10-24T20:16:47Z,420000,,,0,,J. Harden bad pass TURNOVER (2 TO),"[201935, 1626162]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,2.0,Oubre Jr.,1626162.0
45,PT08M10.00S,2021-10-24T20:16:41.6Z,1,REGULAR,steal,,[],1626162,,,1610612766,4,9,2021-10-24T20:16:43Z,430000,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M06.00S,2021-10-24T20:16:46.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,6.1268068331143235,47.794117647058826,1610612766,4,11,2021-10-24T20:16:53Z,440000,11.0,5.0,1,left,K. Oubre Jr. running Layup (2 PTS) (G. Hayward 2 AST),"[1626162, 202330]",1610612766.0,CHA,running,,,Oubre Jr.,K. Oubre Jr.,,,,,1.21,Made,,,,,,,,,,,,2.0,G. Hayward,202330.0,2.0,,,
48,PT07M46.00S,2021-10-24T20:17:06.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,92.9862023653088,50.245098039215684,1610612751,4,11,2021-10-24T20:17:11Z,460000,1.0,13.0,1,right,MISS N. Claxton driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,1.35,Missed,,,,,,,,,,,,,,,,,,
49,PT07M44.00S,2021-10-24T20:17:08.3Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,4,11,2021-10-24T20:17:11Z,470000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,
50,PT07M37.00S,2021-10-24T20:17:15.2Z,1,REGULAR,3pt,Jump Shot,[],1626162,4.02431011826544,95.58823529411765,1610612766,4,11,2021-10-24T20:17:20Z,480000,-228.0,-15.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,22.84,Missed,,,,,,,,,,,,,,,,,,
51,PT07M34.00S,2021-10-24T20:17:18.2Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,4,11,2021-10-24T20:17:20Z,490000,,,0,,J. Harris REBOUND (Off:0 Def:2),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,
52,PT07M15.00S,2021-10-24T20:17:38.5Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612751,4,11,2021-10-24T20:17:54Z,500000,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Claxton 2 FT),"[1626162, 1629651]",1610612766.0,CHA,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,1148.0,1.0,0.0,Claxton,1629651.0,,,,,,,
54,PT07M15.00S,2021-10-24T20:18:09.0Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,5,11,2021-10-24T20:18:09Z,520000,,,0,,N. Claxton Free Throw 1 of 2 (1 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
55,PT07M15.00S,2021-10-24T20:18:10.3Z,1,REGULAR,substitution,out,[],1628975,,,1610612751,5,11,2021-10-24T20:18:15Z,530000,,,0,,SUB out: J. Carter,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M15.00S,2021-10-24T20:18:10.3Z,1,REGULAR,substitution,in,[],201988,,,1610612751,5,11,2021-10-24T20:18:15Z,540000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M15.00S,2021-10-24T20:18:30.5Z,1,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,6,11,2021-10-24T20:18:30Z,550000,,,0,,N. Claxton Free Throw 2 of 2 (2 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
58,PT07M03.00S,2021-10-24T20:18:47.1Z,1,REGULAR,foul,personal,['2freethrow'],201935,,,1610612766,6,11,2021-10-24T20:18:59Z,560000,,,0,,J. Harden shooting personal FOUL (1 PF) (Bridges 2 FT),"[201935, 1628970]",1610612751.0,BKN,shooting,,,Harden,J. Harden,,,,,,,,,,,,,1148.0,1.0,0.0,Bridges,1628970.0,,,,,,,
60,PT07M03.00S,2021-10-24T20:19:11.1Z,1,REGULAR,freethrow,1 of 2,[],1628970,,,1610612766,6,12,2021-10-24T20:19:11Z,580000,,,0,,M. Bridges Free Throw 1 of 2 (4 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Made,,,,,,,,,,,,4.0,,,,,,
61,PT07M03.00S,2021-10-24T20:19:25.8Z,1,REGULAR,freethrow,2 of 2,[],1628970,,,1610612766,6,13,2021-10-24T20:19:25Z,590000,,,0,,M. Bridges Free Throw 2 of 2 (5 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Made,,,,,,,,,,,,5.0,,,,,,
62,PT06M49.00S,2021-10-24T20:19:42.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,80.6340341655716,39.950980392156865,1610612751,8,13,2021-10-24T20:19:47Z,600000,-50.0,130.0,1,right,K. Durant 13' turnaround Jump Shot (4 PTS),[201142],1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,13.89,Made,,,,,,,,,,,,4.0,,,,,,
63,PT06M42.00S,2021-10-24T20:19:50.9Z,1,REGULAR,turnover,lost ball,[],1626162,,,1610612766,8,13,2021-10-24T20:30:12Z,610000,,,0,,K. Oubre Jr. lost ball TURNOVER (1 TO),"[1626162, 201935]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,1.0,Harden,201935.0
64,PT06M42.00S,2021-10-24T20:19:50.9Z,1,REGULAR,steal,,[],201935,,,1610612751,8,13,2021-10-24T20:30:12Z,620000,,,0,,J. Harden STEAL (1 STL),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M40.00S,2021-10-24T20:19:54.4Z,1,REGULAR,foul,personal,[],202330,,,1610612751,8,13,2021-10-24T20:21:00Z,630000,,,0,,G. Hayward take personal FOUL (1 PF),"[202330, 201935]",1610612766.0,CHA,take,,,Hayward,G. Hayward,,,,,,,,,,,,,1204.0,1.0,0.0,Harden,201935.0,,,,,,,
67,PT06M40.00S,2021-10-24T20:20:18.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,8,13,2021-10-24T20:20:18Z,650000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M40.00S,2021-10-24T20:21:53.4Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,8,13,2021-10-24T20:22:45Z,660000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M40.00S,2021-10-24T20:21:53.4Z,1,REGULAR,substitution,out,[],1626162,,,1610612751,8,13,2021-10-24T20:22:45Z,670000,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M40.00S,2021-10-24T20:21:53.4Z,1,REGULAR,substitution,out,[],203486,,,1610612751,8,13,2021-10-24T20:22:45Z,680000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M40.00S,2021-10-24T20:21:53.4Z,1,REGULAR,substitution,in,[],200746,,,1610612751,8,13,2021-10-24T20:22:45Z,690000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M40.00S,2021-10-24T20:21:53.4Z,1,REGULAR,substitution,in,[],1629023,,,1610612751,8,13,2021-10-24T20:22:45Z,700000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M40.00S,2021-10-24T20:21:53.4Z,1,REGULAR,substitution,in,[],1628998,,,1610612751,8,13,2021-10-24T20:22:45Z,710000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M24.00S,2021-10-24T20:23:16.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201142,93.11760840998686,49.50980392156863,1610612751,10,13,2021-10-24T20:23:20Z,720000,-2.0,12.0,1,right,K. Durant driving DUNK (6 PTS),[201142],1610612751.0,BKN,driving,,,Durant,K. Durant,,,,,1.25,Made,,,,,,,,,,,,6.0,,,,,,
75,PT06M03.00S,2021-10-24T20:23:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,5.075558475689881,50.0,1610612766,10,15,2021-10-24T20:23:45Z,730000,0.0,-5.0,1,left,M. Bridges driving Layup (7 PTS),[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,0.48,Made,,,,,,,,,,,,7.0,,,,,,
76,PT06M03.00S,2021-10-24T20:23:41.9Z,1,REGULAR,foul,personal,['1freethrow'],203925,,,1610612766,10,15,2021-10-24T20:24:05Z,740000,,,0,,J. Harris shooting personal FOUL (1 PF) (Bridges 1 FT),"[203925, 1628970]",1610612751.0,BKN,shooting,,,Harris,J. Harris,,,,,,,,,,,,,1204.0,1.0,0.0,Bridges,1628970.0,,,,,,,
78,PT06M03.00S,2021-10-24T20:23:50.3Z,1,REGULAR,substitution,out,[],203925,,,1610612766,10,15,2021-10-24T20:24:05Z,760000,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M03.00S,2021-10-24T20:23:50.3Z,1,REGULAR,substitution,out,[],201935,,,1610612766,10,15,2021-10-24T20:24:05Z,770000,,,0,,SUB out: J. Harden,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M03.00S,2021-10-24T20:23:50.3Z,1,REGULAR,substitution,in,[],1628971,,,1610612766,10,15,2021-10-24T20:24:05Z,780000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M03.00S,2021-10-24T20:23:50.3Z,1,REGULAR,substitution,in,[],200794,,,1610612766,10,15,2021-10-24T20:24:05Z,790000,,,0,,SUB in: P. Millsap,[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M03.00S,2021-10-24T20:24:16.8Z,1,REGULAR,freethrow,1 of 1,[],1628970,,,1610612766,10,16,2021-10-24T20:24:16Z,800000,,,0,,M. Bridges Free Throw 1 of 1 (8 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Made,,,,,,,,,,,,8.0,,,,,,
83,PT05M40.00S,2021-10-24T20:24:40.9Z,1,REGULAR,3pt,Jump Shot,[],1628971,69.07030223390277,69.36274509803921,1610612751,13,16,2021-10-24T20:24:46Z,810000,97.0,238.0,1,right,B. Brown 25' 3PT  (3 PTS) (P. Mills 1 AST),"[1628971, 201988]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,25.71,Made,,,,,,,,,,,,3.0,P. Mills,201988.0,1.0,,,
85,PT05M27.00S,2021-10-24T20:24:53.4Z,1,REGULAR,3pt,Jump Shot,[],1630163,23.603810775295663,85.7843137254902,1610612766,13,19,2021-10-24T20:24:57Z,830000,-179.0,169.0,1,left,L. Ball 24' 3PT  (7 PTS) (G. Hayward 3 AST),"[1630163, 202330]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,24.64,Made,,,,,,,,,,,,7.0,G. Hayward,202330.0,3.0,,,
87,PT05M18.00S,2021-10-24T20:25:06.9Z,1,REGULAR,foul,personal,[],1629023,,,1610612751,13,19,2021-10-24T20:25:21Z,850000,,,0,,P. Washington personal FOUL (1 PF),"[1629023, 200746]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,1204.0,1.0,0.0,Aldridge,200746.0,,,,,,,
89,PT05M18.00S,2021-10-24T20:25:16.7Z,1,REGULAR,substitution,out,[],1630163,,,1610612751,13,19,2021-10-24T20:25:20Z,870000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M18.00S,2021-10-24T20:25:16.7Z,1,REGULAR,substitution,in,[],202397,,,1610612751,13,19,2021-10-24T20:25:20Z,880000,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M09.00S,2021-10-24T20:25:33.5Z,1,REGULAR,2pt,Jump Shot,[],200746,92.46057818659659,27.450980392156865,1610612751,13,19,2021-10-24T20:25:39Z,890000,-113.0,18.0,1,right,MISS L. Aldridge 11' turnaround Shot,[200746],1610612751.0,BKN,turnaround,,,Aldridge,L. Aldridge,,,,,11.42,Missed,,,,,,,,,,,,,,,,,,
92,PT05M04.00S,2021-10-24T20:25:38.5Z,1,REGULAR,rebound,defensive,[],202397,,,1610612766,13,19,2021-10-24T20:25:39Z,900000,,,0,,I. Smith REBOUND (Off:0 Def:1),[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,91.0,1.0,1.0,0.0,,,,,,,,,,,,
102,PT04M56.00S,2021-10-24T20:25:40.0Z,1,REGULAR,turnover,bad pass,[],202397,,,1610612766,13,19,2021-10-24T20:28:38Z,905000,,,0,,I. Smith bad pass TURNOVER (1 TO),"[202397, 200794]",1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,1.0,Millsap,200794.0
