actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
16,PT11M23.00S,2022-04-08T23:41:30.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,0,0,2022-04-08T23:41:51Z,160000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,
17,PT11M23.00S,2022-04-08T23:41:36.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,0,0,2022-04-08T23:41:36Z,170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT11M21.00S,2022-04-08T23:41:44.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203552,87.20433639947439,82.1078431372549,1610612751,2,0,2022-04-08T23:41:56Z,180000,161.0,68.0,1,right,S. Curry 17' Jump Shot (2 PTS) (K. Irving 1 AST),"[203552, 202681]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,17.42,Made,,,,,,,2.0,K. Irving,202681.0,1.0,,
20,PT11M04.00S,2022-04-08T23:42:00.1Z,1,REGULAR,2pt,Jump Shot,[],1629636,4.02431011826544,79.90196078431373,1610612739,2,0,2022-04-08T23:42:03Z,200000,-150.0,-15.0,1,left,MISS D. Garland 15' floating Shot,[1629636],1610612739.0,CLE,floating,,,Garland,D. Garland,,,,,,,,,,,15.02,Missed,,,,,,,,,,,,
21,PT11M02.00S,2022-04-08T23:42:02.1Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,2,0,2022-04-08T23:42:03Z,210000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,
22,PT10M53.00S,2022-04-08T23:42:11.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203552,85.10183968462549,48.03921568627451,1610612751,4,0,2022-04-08T23:42:17Z,220000,-10.0,88.0,1,right,S. Curry 8' driving floating Jump Shot (4 PTS),[203552],1610612751.0,BKN,driving floating,,,Curry,S. Curry,,,,,,,,,,,8.8,Made,,,,,,,4.0,,,,,
23,PT10M42.00S,2022-04-08T23:42:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,6.652431011826544,57.107843137254896,1610612739,4,0,2022-04-08T23:42:28Z,230000,-36.0,10.0,1,left,MISS L. Markkanen cutting Layup,[1628374],1610612739.0,CLE,cutting,,,Markkanen,L. Markkanen,,,,,,,,,,,3.69,Missed,,,,,,,,,,,,
24,PT10M36.00S,2022-04-08T23:42:28.0Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612739,4,0,2022-04-08T23:42:28Z,240000,,,0,,L. Markkanen REBOUND (Off:1 Def:0),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,
25,PT10M36.00S,2022-04-08T23:42:28.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628374,5.590000152587891,50.0,1610612739,4,2,2022-04-08T23:42:28Z,250000,0.0,0.0,1,left,L. Markkanen tip Layup (2 PTS),[1628374],1610612739.0,CLE,tip,,,Markkanen,L. Markkanen,,,,,,,,,,,0.0,Made,,,,,,,2.0,,,,,
26,PT10M25.00S,2022-04-08T23:42:39.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,84.44480946123521,64.2156862745098,1610612751,4,2,2022-04-08T23:42:48Z,260000,71.0,94.0,1,right,MISS B. Brown 11' floating Shot,[1628971],1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,,,,,,,11.76,Missed,,,,,,,,,,,,
27,PT10M22.00S,2022-04-08T23:42:47.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,4,2,2022-04-08T23:42:47Z,270000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,
28,PT10M22.00S,2022-04-08T23:42:48.1Z,1,REGULAR,foul,personal,[],1628374,,,1610612751,4,2,2022-04-08T23:42:59Z,280000,,,0,,L. Markkanen loose ball personal FOUL (1 PF),"[1628374, 203083]",1610612739.0,CLE,loose ball,,,Markkanen,L. Markkanen,,,,,1198.0,1.0,0.0,Drummond,203083.0,,,,,,,,,,,,,,,
30,PT10M11.00S,2022-04-08T23:43:14.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628971,74.85216819973719,84.06862745098039,1610612751,7,2,2022-04-08T23:43:18Z,300000,170.0,184.0,1,right,B. Brown 25' 3PT  (3 PTS) (K. Irving 2 AST),"[1628971, 202681]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,25.06,Made,,,,,,,3.0,K. Irving,202681.0,2.0,,
32,PT09M52.00S,2022-04-08T23:43:33.9Z,1,REGULAR,2pt,Jump Shot,[],1627747,25.706307490144546,54.41176470588235,1610612739,7,2,2022-04-08T23:43:37Z,320000,-22.0,189.0,1,left,MISS C. LeVert 19' step back Shot,[1627747],1610612739.0,CLE,step back,,,LeVert,C. LeVert,,,,,,,,,,,19.04,Missed,,,,,,,,,,,,
33,PT09M49.00S,2022-04-08T23:43:36.9Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,7,2,2022-04-08T23:43:37Z,330000,,,0,,K. Irving REBOUND (Off:0 Def:2),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,
34,PT09M46.00S,2022-04-08T23:43:39.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203552,75.1149802890933,11.76470588235294,1610612751,7,2,2022-04-08T23:43:50Z,340000,-191.0,181.0,1,right,MISS S. Curry 26' running pullup 3PT,[203552],1610612751.0,BKN,running pullup,,,Curry,S. Curry,,,,,,,,,,,26.36,Missed,,,,,,,,,,,,
35,PT09M43.00S,2022-04-08T23:43:42.9Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,7,2,2022-04-08T23:43:43Z,350000,,,0,,L. Markkanen REBOUND (Off:1 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,34.0,2.0,1.0,1.0,,,,,,,,
36,PT09M34.00S,2022-04-08T23:43:52.1Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,7,2,2022-04-08T23:43:56Z,360000,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 203083]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,1.0,,,,,,,,,,,,,Drummond,203083.0
37,PT09M34.00S,2022-04-08T23:43:52.1Z,1,REGULAR,steal,,[],203083,,,1610612751,7,2,2022-04-08T23:43:54Z,370000,,,0,,A. Drummond STEAL (1 STL),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M27.00S,2022-04-08T23:43:59.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202681,90.88370565045992,59.068627450980394,1610612751,7,2,2022-04-08T23:44:03Z,380000,45.0,33.0,1,right,MISS K. Irving driving Layup,[202681],1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,,,,,,,5.62,Missed,,,,,,,,,,,,
39,PT09M24.00S,2022-04-08T23:44:02.6Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,7,2,2022-04-08T23:44:03Z,390000,,,0,,L. Markkanen REBOUND (Off:1 Def:2),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,38.0,3.0,2.0,1.0,,,,,,,,
40,PT09M22.00S,2022-04-08T23:44:05.0Z,1,REGULAR,foul,personal,[],203552,,,1610612739,7,2,2022-04-08T23:47:51Z,400000,,,0,,S. Curry take personal FOUL (1 PF),"[203552, 1629636]",1610612751.0,BKN,take,,,Curry,S. Curry,,,,,1198.0,1.0,0.0,Garland,1629636.0,,,,,,,,,,,,,,,
42,PT09M09.00S,2022-04-08T23:44:37.4Z,1,REGULAR,2pt,Jump Shot,[],1629636,26.363337713534822,48.28431372549019,1610612739,7,4,2022-04-08T23:45:01Z,420000,9.0,195.0,1,left,D. Garland 19' pullup Jump Shot (2 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,,,,,,,19.55,Made,,,,,,,2.0,,,,,
43,PT08M46.00S,2022-04-08T23:45:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,92.06636005256242,57.59803921568627,1610612751,7,4,2022-04-08T23:45:07Z,430000,38.0,22.0,1,right,MISS A. Drummond reverse Layup,[203083],1610612751.0,BKN,reverse,,,Drummond,A. Drummond,,,,,,,,,,,4.4,Missed,,,,,,,,,,,,
44,PT08M42.00S,2022-04-08T23:45:04.9Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,7,4,2022-04-08T23:49:37Z,440000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,
45,PT08M35.00S,2022-04-08T23:45:11.0Z,1,REGULAR,3pt,Jump Shot,[],1630596,33.196452036793694,43.38235294117647,1610612739,7,4,2022-04-08T23:49:40Z,450000,33.0,260.0,1,left,MISS E. Mobley 26' pullup 3PT,[1630596],1610612739.0,CLE,pullup,,,Mobley,E. Mobley,,,,,,,,,,,26.16,Missed,,,,,,,,,,,,
46,PT08M33.00S,2022-04-08T23:45:13.0Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,7,4,2022-04-08T23:45:14Z,460000,,,0,,B. Brown REBOUND (Off:1 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,45.0,2.0,1.0,1.0,,,,,,,,
47,PT08M23.00S,2022-04-08T23:45:23.9Z,1,REGULAR,3pt,Jump Shot,[],1628971,72.22404730617609,77.94117647058823,1610612751,7,4,2022-04-08T23:45:27Z,470000,140.0,209.0,1,right,MISS B. Brown 25' 3PT,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,25.11,Missed,,,,,,,,,,,,
48,PT08M21.00S,2022-04-08T23:45:25.9Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,7,4,2022-04-08T23:45:27Z,480000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,
49,PT08M12.00S,2022-04-08T23:45:33.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,11.383048620236531,50.49019607843137,1610612739,7,6,2022-04-08T23:45:41Z,490000,-2.0,55.0,1,left,E. Mobley floating Jump Shot (2 PTS) (I. Okoro 1 AST),"[1630596, 1630171]",1610612739.0,CLE,floating,,,Mobley,E. Mobley,,,,,,,,,,,5.46,Made,,,,,,,2.0,I. Okoro,1630171.0,1.0,,
51,PT07M56.00S,2022-04-08T23:45:49.4Z,1,REGULAR,2pt,Jump Shot,[],201142,79.05716162943496,47.05882352941176,1610612751,7,6,2022-04-08T23:46:11Z,510000,-15.0,144.0,1,right,MISS K. Durant 14' turnaround fadeaway Shot,[201142],1610612751.0,BKN,turnaround fadeaway,,,Durant,K. Durant,,,,,,,,,,,14.51,Missed,,,,,,,,,,,,
52,PT07M54.00S,2022-04-08T23:45:51.4Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,7,6,2022-04-08T23:45:54Z,520000,,,0,,L. Markkanen REBOUND (Off:1 Def:3),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,51.0,4.0,3.0,1.0,,,,,,,,
53,PT07M43.00S,2022-04-08T23:46:02.3Z,1,REGULAR,turnover,lost ball,[],1628374,,,1610612739,7,6,2022-04-08T23:46:08Z,530000,,,0,,L. Markkanen lost ball TURNOVER (1 TO),"[1628374, 1628971]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,1.0,,,,,,,,,,,,,Brown,1628971.0
54,PT07M43.00S,2022-04-08T23:46:02.3Z,1,REGULAR,steal,,[],1628971,,,1610612751,7,6,2022-04-08T23:46:05Z,540000,,,0,,B. Brown STEAL (1 STL),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M36.00S,2022-04-08T23:46:13.4Z,1,REGULAR,foul,personal,['2freethrow'],1630171,,,1610612751,7,6,2022-04-08T23:46:41Z,550000,,,0,,I. Okoro shooting personal FOUL (1 PF) (Brown 2 FT),"[1630171, 1628971]",1610612739.0,CLE,shooting,,,Okoro,I. Okoro,,,,,202049.0,1.0,0.0,Brown,1628971.0,,,,,,,,,,,,,,,
57,PT07M36.00S,2022-04-08T23:46:44.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628971,,,1610612751,8,6,2022-04-08T23:47:16Z,570000,,,0,,B. Brown Free Throw 1 of 2 (4 PTS),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,Made,,,,,,,4.0,,,,,
59,PT07M36.00S,2022-04-08T23:46:45.4Z,1,REGULAR,substitution,out,[],1627747,,,1610612751,8,6,2022-04-08T23:46:55Z,590000,,,0,,SUB out: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M36.00S,2022-04-08T23:46:45.4Z,1,REGULAR,substitution,in,[],201567,,,1610612751,8,6,2022-04-08T23:46:55Z,600000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M36.00S,2022-04-08T23:46:44.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628971,,,1610612751,9,6,2022-04-08T23:47:16Z,610000,,,0,,B. Brown Free Throw 2 of 2 (5 PTS),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,Made,,,,,,,5.0,,,,,
62,PT07M24.00S,2022-04-08T23:47:25.1Z,1,REGULAR,2pt,Jump Shot,[],1629636,13.485545335085414,32.1078431372549,1610612739,9,8,2022-04-08T23:47:30Z,620000,89.0,74.0,1,left,D. Garland 11' driving floating Jump Shot (4 PTS),[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,,,,,,,11.63,Made,,,,,,,4.0,,,,,
63,PT07M14.00S,2022-04-08T23:47:35.2Z,1,REGULAR,2pt,Jump Shot,[],201142,89.43823915900131,72.30392156862744,1610612751,11,8,2022-04-08T23:51:21Z,630000,112.0,47.0,1,right,K. Durant 12' pullup Jump Shot (2 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,,,,12.09,Made,,,,,,,2.0,,,,,
64,PT07M01.00S,2022-04-08T23:47:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,7.5722733245729295,64.2156862745098,1610612739,11,10,2022-04-08T23:48:07Z,640000,-71.0,19.0,1,left,D. Garland 7' driving finger roll Layup (6 PTS),[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,,,,,,,7.35,Made,,,,,,,6.0,,,,,
65,PT06M34.00S,2022-04-08T23:48:15.2Z,1,REGULAR,turnover,lost ball,[],203552,,,1610612751,11,10,2022-04-08T23:48:18Z,650000,,,0,,S. Curry lost ball TURNOVER (1 TO),"[203552, 1630596]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,1.0,,,,,,,,,,,,,Mobley,1630596.0
66,PT06M34.00S,2022-04-08T23:48:15.2Z,1,REGULAR,steal,,[],1630596,,,1610612739,11,10,2022-04-08T23:48:17Z,660000,,,0,,E. Mobley STEAL (1 STL),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M27.00S,2022-04-08T23:48:29.9Z,1,REGULAR,foul,personal,[],203552,,,1610612739,11,10,2022-04-08T23:48:35Z,670000,,,0,,S. Curry personal FOUL (2 PF),"[203552, 1628374]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,202049.0,2.0,0.0,Markkanen,1628374.0,,,,,,,,,,,,,,,
69,PT06M27.00S,2022-04-08T23:48:36.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,11,10,2022-04-08T23:48:36Z,690000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M27.00S,2022-04-08T23:50:39.0Z,1,REGULAR,substitution,out,[],203083,,,1610612739,11,10,2022-04-08T23:51:05Z,700000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M27.00S,2022-04-08T23:50:39.0Z,1,REGULAR,substitution,out,[],203552,,,1610612739,11,10,2022-04-08T23:51:05Z,710000,,,0,,SUB out: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M27.00S,2022-04-08T23:50:39.0Z,1,REGULAR,substitution,in,[],1629651,,,1610612739,11,10,2022-04-08T23:51:05Z,720000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M27.00S,2022-04-08T23:50:39.0Z,1,REGULAR,substitution,in,[],1630556,,,1610612739,11,10,2022-04-08T23:51:05Z,730000,,,0,,SUB in: K. Edwards,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M13.00S,2022-04-08T23:51:45.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201567,31.09395532194481,19.852941176470587,1610612739,11,10,2022-04-08T23:51:50Z,740000,151.0,240.0,1,left,MISS K. Love 28' 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,28.32,Missed,,,,,,,,,,,,
75,PT06M09.00S,2022-04-08T23:51:49.6Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,11,10,2022-04-08T23:51:50Z,750000,,,0,,B. Brown REBOUND (Off:1 Def:2),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,74.0,3.0,2.0,1.0,,,,,,,,
76,PT06M06.00S,2022-04-08T23:51:53.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201142,69.20170827858082,69.85294117647058,1610612751,14,10,2022-04-08T23:51:58Z,760000,99.0,237.0,1,right,K. Durant 25' 3PT  (5 PTS) (B. Brown 1 AST),"[201142, 1628971]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,25.7,Made,,,,,,,5.0,B. Brown,1628971.0,1.0,,
78,PT05M39.00S,2022-04-08T23:52:20.0Z,1,REGULAR,2pt,Jump Shot,[],1630596,25.312089356110377,49.754901960784316,1610612739,14,10,2022-04-08T23:52:23Z,780000,1.0,185.0,1,left,MISS E. Mobley 18' turnaround fadeaway Shot,[1630596],1610612739.0,CLE,turnaround fadeaway,,,Mobley,E. Mobley,,,,,,,,,,,18.54,Missed,,,,,,,,,,,,
79,PT05M36.00S,2022-04-08T23:52:23.0Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,14,10,2022-04-08T23:52:23Z,790000,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,
80,PT05M28.00S,2022-04-08T23:52:31.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,91.5407358738502,53.18627450980392,1610612751,16,10,2022-04-08T23:52:34Z,800000,16.0,27.0,1,right,B. Brown cutting finger roll Layup (7 PTS) (K. Irving 3 AST),"[1628971, 202681]",1610612751.0,BKN,cutting finger roll,,,Brown,B. Brown,,,,,,,,,,,3.13,Made,,,,,,,7.0,K. Irving,202681.0,3.0,,
82,PT05M09.00S,2022-04-08T23:52:50.9Z,1,REGULAR,3pt,Jump Shot,[],1628374,33.065045992115635,46.81372549019608,1610612739,16,10,2022-04-08T23:52:57Z,820000,16.0,258.0,1,left,MISS L. Markkanen 25' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,25.88,Missed,,,,,,,,,,,,
83,PT05M06.00S,2022-04-08T23:52:53.9Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,16,10,2022-04-08T23:53:03Z,830000,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,82.0,2.0,2.0,0.0,,,,,,,,
84,PT04M57.00S,2022-04-08T23:53:02.6Z,1,REGULAR,2pt,Jump Shot,[],201142,78.53153745072274,24.754901960784316,1610612751,18,10,2022-04-08T23:53:23Z,840000,-126.0,149.0,1,right,K. Durant 19' pullup Jump Shot (7 PTS) (B. Brown 2 AST),"[201142, 1628971]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,,,,19.55,Made,,,,,,,7.0,B. Brown,1628971.0,2.0,,
86,PT04M37.00S,2022-04-08T23:53:22.0Z,1,REGULAR,3pt,Jump Shot,[],1629636,32.933639947437584,37.254901960784316,1610612739,18,10,2022-04-08T23:53:27Z,860000,64.0,257.0,1,left,MISS D. Garland 26' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,,,,,,,26.49,Missed,,,,,,,,,,,,
87,PT04M34.00S,2022-04-08T23:53:25.0Z,1,REGULAR,rebound,defensive,[],1630556,,,1610612751,18,10,2022-04-08T23:53:27Z,870000,,,0,,K. Edwards REBOUND (Off:0 Def:1),[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,
88,PT04M28.00S,2022-04-08T23:53:32.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,92.32917214191852,45.34313725490196,1610612751,20,10,2022-04-08T23:53:42Z,880000,-23.0,20.0,1,right,N. Claxton cutting DUNK (2 PTS) (K. Durant 1 AST),"[1629651, 201142]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,,,,,,,3.04,Made,,,,,,,2.0,K. Durant,201142.0,1.0,,
90,PT04M27.00S,2022-04-08T23:53:37.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,20,10,2022-04-08T23:53:37Z,900000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
