actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
45,PT08M19.00S,2021-12-04T00:46:47.3Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,8,10,2021-12-04T00:46:47Z,450000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,,,,,,Vanderbilt,J. Vanderbilt,44.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
46,PT08M19.00S,2021-12-04T00:46:46.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629020,5.590000152587891,50.0,1610612750,8,12,2021-12-04T00:46:49Z,460000,0.0,0.0,1,left,J. Vanderbilt tip Layup (2 PTS),[1629020],1610612750.0,MIN,tip,,,,,,0.0,Made,Vanderbilt,J. Vanderbilt,,,,,,,2.0,,,,,,,,,,,,
47,PT08M08.00S,2021-12-04T00:46:59.6Z,1,REGULAR,2pt,Jump Shot,[],201988,88.25558475689881,30.392156862745097,1610612751,10,12,2021-12-04T00:47:19Z,470000,-98.0,58.0,1,right,P. Mills 11' pullup Jump Shot (4 PTS) (J. Harden 2 AST),"[201988, 201935]",1610612751.0,BKN,pullup,,,,,,11.38,Made,Mills,P. Mills,,,,,,,4.0,J. Harden,201935.0,2.0,,,,,,,,,
48,PT08M08.00S,2021-12-04T00:47:04.7Z,1,REGULAR,foul,personal,['1freethrow'],1627752,,,1610612751,10,12,2021-12-04T00:47:17Z,480000,,,0,,T. Prince shooting personal FOUL (1 PF) (Mills 1 FT),"[1627752, 201988]",1610612750.0,MIN,shooting,,,,,,,,Prince,T. Prince,,,,,203592.0,,,,,,,,1.0,0.0,Mills,201988.0,,,
51,PT08M08.00S,2021-12-04T00:47:26.3Z,1,REGULAR,freethrow,1 of 1,[],201988,,,1610612751,11,12,2021-12-04T00:47:26Z,500000,,,0,,P. Mills Free Throw 1 of 1 (5 PTS),[201988],1610612751.0,BKN,,,,,,,,Made,Mills,P. Mills,,,,,,,5.0,,,,,,,,,,,,
52,PT08M08.00S,2021-12-04T00:47:32.5Z,1,REGULAR,turnover,inbound,[],1629020,,,1610612750,11,12,2021-12-04T00:47:48Z,510000,,,0,,J. Vanderbilt inbound TURNOVER (1 TO),[1629020],1610612750.0,MIN,,,,,,,,,Vanderbilt,J. Vanderbilt,,,,,202007.0,1.0,,,,,,,,,,,,,
53,PT08M08.00S,2021-12-04T00:47:36.1Z,1,REGULAR,substitution,out,[],201988,,,1610612751,11,12,2021-12-04T00:47:43Z,520000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,,,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,
54,PT08M08.00S,2021-12-04T00:47:36.1Z,1,REGULAR,substitution,in,[],1630560,,,1610612751,11,12,2021-12-04T00:47:43Z,530000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,,,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,
55,PT08M08.00S,2021-12-04T00:47:54.1Z,1,REGULAR,turnover,backcourt,[],201935,,,1610612751,11,12,2021-12-04T00:48:19Z,540000,,,0,,J. Harden backcourt TURNOVER (3 TO),[201935],1610612751.0,BKN,,,,,,,,,Harden,J. Harden,,,,,203592.0,3.0,,,,,,,,,,,,,
56,PT08M08.00S,2021-12-04T00:48:16.4Z,1,REGULAR,turnover,backcourt,[],1630162,,,1610612750,11,12,2021-12-04T00:48:38Z,550000,,,0,,A. Edwards backcourt TURNOVER (3 TO),[1630162],1610612750.0,MIN,,,,,,,,,Edwards,A. Edwards,,,,,202007.0,3.0,,,,,,,,,,,,,
