actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
18,PT10M52.00S,2021-11-03T23:47:14.6Z,1,REGULAR,3pt,Jump Shot,[],1629631,2.578843626806833,95.09803921568627,1610612737,5,3,2021-11-03T23:47:19Z,180000,-225.0,-28.0,1,left,D. Hunter 3PT  (3 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,,,,22.73,Made,Hunter,D. Hunter,,,,,3.0,T. Young,1629027.0,1.0,,,,,,,,,,,
20,PT10M37.00S,2021-11-03T23:47:29.7Z,1,REGULAR,3pt,Jump Shot,[],201933,91.40932982917214,4.411764705882353,1610612751,5,3,2021-11-03T23:47:34Z,200000,-228.0,28.0,1,right,MISS B. Griffin 3PT,[201933],1610612751.0,BKN,,,,,,,22.97,Missed,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,
21,PT10M35.00S,2021-11-03T23:47:31.7Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,5,3,2021-11-03T23:47:34Z,210000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,,,,,,Bogdanovic,B. Bogdanovic,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
22,PT10M31.00S,2021-11-03T23:47:37.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629027,38.32128777923784,82.84313725490196,1610612737,5,6,2021-11-03T23:48:00Z,220000,-164.0,308.0,1,left,T. Young 34' 3PT pullup (3 PTS),[1629027],1610612737.0,ATL,pullup,,,,,,34.88,Made,Young,T. Young,,,,,3.0,,,,,,,,,,,,,,
23,PT10M14.00S,2021-11-03T23:47:53.1Z,1,REGULAR,3pt,Jump Shot,[],201935,66.70499342969777,47.549019607843135,1610612751,5,6,2021-11-03T23:48:29Z,230000,-12.0,260.0,1,right,MISS J. Harden 26' step back 3PT,[201935],1610612751.0,BKN,step back,,,,,,26.08,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,,
24,PT10M14.00S,2021-11-03T23:47:53.1Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,5,6,2021-11-03T23:48:03Z,240000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:2),[203992],1610612737.0,ATL,,,,,,,,,Bogdanovic,B. Bogdanovic,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
25,PT10M03.00S,2021-11-03T23:48:04.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,14.011169513797633,47.794117647058826,1610612737,5,8,2021-11-03T23:48:25Z,250000,11.0,79.0,1,left,J. Collins 8' turnaround Jump Shot (2 PTS),[1628381],1610612737.0,ATL,turnaround,,,,,,8.0,Made,Collins,J. Collins,,,,,2.0,,,,,,,,,,,,,,
26,PT09M52.00S,2021-11-03T23:48:19.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,5,8,2021-11-03T23:48:19Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M48.00S,2021-11-03T23:48:40.1Z,1,REGULAR,3pt,Jump Shot,[],1628971,95.0886990801577,3.6764705882352944,1610612751,5,8,2021-11-03T23:48:45Z,270000,-232.0,-6.0,1,right,MISS B. Brown 3PT,[1628971],1610612751.0,BKN,,,,,,,23.17,Missed,Brown,B. Brown,,,,,,,,,,,,,,,,,,,
28,PT09M44.00S,2021-11-03T23:48:44.1Z,1,REGULAR,rebound,offensive,[],201933,,,1610612751,5,8,2021-11-03T23:48:45Z,280000,,,0,,B. Griffin REBOUND (Off:1 Def:0),[201933],1610612751.0,BKN,,,,,,,,,Griffin,B. Griffin,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
29,PT09M36.00S,2021-11-03T23:48:51.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201933,92.06636005256242,49.754901960784316,1610612751,5,8,2021-11-03T23:48:57Z,290000,-1.0,22.0,1,right,MISS B. Griffin driving Layup,[201933],1610612751.0,BKN,driving,,,,,,2.21,Missed,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,
30,PT09M34.00S,2021-11-03T23:48:53.1Z,1,REGULAR,rebound,offensive,[],201933,,,1610612751,5,8,2021-11-03T23:48:53Z,300000,,,0,,B. Griffin REBOUND (Off:2 Def:0),[201933],1610612751.0,BKN,,,,,,,,,Griffin,B. Griffin,29.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
31,PT09M31.00S,2021-11-03T23:48:56.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201933,87.46714848883047,4.166666666666666,1610612751,5,8,2021-11-03T23:49:01Z,310000,-229.0,65.0,1,right,MISS B. Griffin 3PT,[201933],1610612751.0,BKN,,,,,,,23.83,Missed,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,
32,PT09M27.00S,2021-11-03T23:49:00.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,5,8,2021-11-03T23:49:00Z,320000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,,,,,,Capela,C. Capela,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M23.00S,2021-11-03T23:49:03.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203992,31.488173455978973,31.61764705882353,1610612737,5,8,2021-11-03T23:49:08Z,330000,92.0,243.0,1,left,MISS B. Bogdanovic 26' 3PT,[203992],1610612737.0,ATL,,,,,,,26.03,Missed,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,
34,PT09M19.00S,2021-11-03T23:49:07.9Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,5,8,2021-11-03T23:49:08Z,340000,,,0,,B. Griffin REBOUND (Off:2 Def:1),[201933],1610612751.0,BKN,,,,,,,,,Griffin,B. Griffin,33.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
35,PT09M15.00S,2021-11-03T23:49:12.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203925,94.1688567674113,95.83333333333334,1610612751,8,8,2021-11-03T23:49:18Z,350000,229.0,2.0,1,right,J. Harris 3PT  (6 PTS) (J. Harden 3 AST),"[203925, 201935]",1610612751.0,BKN,,,,,,,22.92,Made,Harris,J. Harris,,,,,6.0,J. Harden,201935.0,3.0,,,,,,,,,,,
37,PT08M59.00S,2021-11-03T23:49:30.2Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612737,8,8,2021-11-03T23:49:42Z,370000,,,0,,B. Brown shooting personal FOUL (1 PF) (Young 2 FT),"[1628971, 1629027]",1610612751.0,BKN,shooting,,,,,,,,Brown,B. Brown,,,,,,,,,2005.0,1.0,0.0,Young,1629027.0,,,,,,
39,PT08M59.00S,2021-11-03T23:49:56.1Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,8,9,2021-11-03T23:49:56Z,390000,,,0,,T. Young Free Throw 1 of 2 (4 PTS),[1629027],1610612737.0,ATL,,,,,,,,Made,Young,T. Young,,,,,4.0,,,,,,,,,,,,,,
40,PT08M59.00S,2021-11-03T23:50:09.2Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,8,10,2021-11-03T23:50:09Z,400000,,,0,,T. Young Free Throw 2 of 2 (5 PTS),[1629027],1610612737.0,ATL,,,,,,,,Made,Young,T. Young,,,,,5.0,,,,,,,,,,,,,,
41,PT08M40.00S,2021-11-03T23:50:29.9Z,1,REGULAR,2pt,Jump Shot,[],201142,75.90341655716163,63.970588235294116,1610612751,10,10,2021-11-03T23:50:41Z,410000,70.0,174.0,1,right,K. Durant 18' Jump Shot (2 PTS) (J. Harden 4 AST),"[201142, 201935]",1610612751.0,BKN,,,,,,,18.75,Made,Durant,K. Durant,,,,,2.0,J. Harden,201935.0,4.0,,,,,,,,,,,
43,PT08M23.00S,2021-11-03T23:50:47.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,11.514454664914586,38.72549019607843,1610612737,10,10,2021-11-03T23:52:10Z,430000,56.0,56.0,1,left,MISS J. Collins 7' cutting Layup,[1628381],1610612737.0,ATL,cutting,,,,,,7.93,Missed,Collins,J. Collins,,,,,,,,,,,,,,,,,,,
44,PT08M19.00S,2021-11-03T23:50:51.0Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,10,10,2021-11-03T23:51:11Z,440000,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,,,,,,Capela,C. Capela,43.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
45,PT08M19.00S,2021-11-03T23:50:51.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,5.590000152587891,50.0,1610612737,10,10,2021-11-03T23:50:51Z,450000,0.0,0.0,1,left,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,,,,0.0,Missed,Capela,C. Capela,,,,,,,,,,,,,,,,,,,
46,PT08M16.00S,2021-11-03T23:50:54.0Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,10,10,2021-11-03T23:50:54Z,460000,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612737.0,ATL,,,,,,,,,Collins,J. Collins,45.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
47,PT08M14.00S,2021-11-03T23:50:56.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629027,32.802233902759525,50.0,1610612737,10,10,2021-11-03T23:51:13Z,470000,0.0,256.0,1,left,MISS T. Young 25' 3PT,[1629027],1610612737.0,ATL,,,,,,,25.58,Missed,Young,T. Young,,,,,,,,,,,,,,,,,,,
48,PT08M11.00S,2021-11-03T23:50:59.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,10,10,2021-11-03T23:51:13Z,480000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,,,,,,Durant,K. Durant,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
49,PT08M10.00S,2021-11-03T23:51:00.7Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,10,10,2021-11-03T23:51:16Z,490000,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 203992]",1610612751.0,BKN,,,,,,,,,Durant,K. Durant,,,,,,,,,,,,,,1.0,Bogdanovic,203992.0,,,
50,PT08M10.00S,2021-11-03T23:51:00.7Z,1,REGULAR,steal,,[],203992,,,1610612737,10,10,2021-11-04T00:04:57Z,500000,,,0,,B. Bogdanovic STEAL (1 STL),[203992],1610612737.0,ATL,,,,,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,
51,PT08M05.00S,2021-11-03T23:51:07.9Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612737,10,10,2021-11-03T23:51:23Z,510000,,,0,,B. Brown shooting personal FOUL (2 PF) (Young 2 FT),"[1628971, 1629027]",1610612751.0,BKN,shooting,,,,,,,,Brown,B. Brown,,,,,,,,,201638.0,2.0,0.0,Young,1629027.0,,,,,,
53,PT08M05.00S,2021-11-03T23:51:32.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629027,,,1610612737,10,11,2021-11-03T23:51:51Z,530000,,,0,,T. Young Free Throw 1 of 2 (6 PTS),[1629027],1610612737.0,ATL,,,,,,,,Made,Young,T. Young,,,,,6.0,,,,,,,,,,,,,,
54,PT08M05.00S,2021-11-03T23:51:32.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629027,,,1610612737,10,11,2021-11-03T23:51:51Z,540000,,,0,,MISS T. Young Free Throw 2 of 2,[1629027],1610612737.0,ATL,,,,,,,,Missed,Young,T. Young,,,,,,,,,,,,,,,,,,,
55,PT08M01.00S,2021-11-03T23:51:36.6Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,10,11,2021-11-03T23:51:51Z,550000,,,0,,C. Capela REBOUND (Off:2 Def:1),[203991],1610612737.0,ATL,,,,,,,,,Capela,C. Capela,54.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
56,PT08M01.00S,2021-11-03T23:51:53.4Z,1,REGULAR,foul,personal,[],201935,,,1610612737,10,11,2021-11-03T23:52:14Z,560000,,,0,,J. Harden personal FOUL (1 PF),"[201935, 1628381]",1610612751.0,BKN,,,,,,,,,Harden,J. Harden,,,,,,,,,201639.0,1.0,0.0,Collins,1628381.0,,,,,,
58,PT07M54.00S,2021-11-03T23:52:23.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,10,11,2021-11-03T23:52:23Z,580000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M47.00S,2021-11-03T23:52:41.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629631,19.66162943495401,40.19607843137255,1610612737,10,11,2021-11-03T23:53:14Z,590000,49.0,132.0,1,left,MISS D. Hunter 14' step back Shot,[1629631],1610612737.0,ATL,step back,,,,,,14.11,Missed,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,
60,PT07M43.00S,2021-11-03T23:52:45.8Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,10,11,2021-11-03T23:53:14Z,600000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,,,,,,Durant,K. Durant,59.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
61,PT07M37.00S,2021-11-03T23:52:51.6Z,1,REGULAR,3pt,Jump Shot,[],201142,66.96780551905388,43.872549019607845,1610612751,10,11,2021-11-03T23:52:56Z,610000,-31.0,258.0,1,right,MISS K. Durant 25' 3PT,[201142],1610612751.0,BKN,,,,,,,25.98,Missed,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
62,PT07M33.00S,2021-11-03T23:52:55.6Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,10,11,2021-11-03T23:52:56Z,620000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:3),[203992],1610612737.0,ATL,,,,,,,,,Bogdanovic,B. Bogdanovic,61.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
63,PT07M32.00S,2021-11-03T23:53:00.2Z,1,REGULAR,turnover,out-of-bounds,[],1629631,,,1610612737,10,11,2021-11-03T23:53:10Z,630000,,,0,,D. Hunter step out-of-bounds TURNOVER (1 TO),[1629631],1610612737.0,ATL,step,,,,,,,,Hunter,D. Hunter,,,,,,,,,201639.0,,,,,1.0,,,,,
64,PT07M24.00S,2021-11-03T23:53:16.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201142,94.69448094612353,49.01960784313725,1610612751,12,11,2021-11-03T23:53:20Z,640000,-5.0,-3.0,1,right,K. Durant alley-oop Layup (4 PTS) (J. Harden 5 AST),"[201142, 201935]",1610612751.0,BKN,alley-oop,,,,,,0.55,Made,Durant,K. Durant,,,,,4.0,J. Harden,201935.0,5.0,,,,,,,,,,,
66,PT07M13.00S,2021-11-03T23:53:27.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,18.2161629434954,45.588235294117645,1610612737,12,13,2021-11-03T23:53:31Z,660000,22.0,119.0,1,left,T. Young 12' driving floating Jump Shot (8 PTS),[1629027],1610612737.0,ATL,driving floating,,,,,,12.07,Made,Young,T. Young,,,,,8.0,,,,,,,,,,,,,,
67,PT06M55.00S,2021-11-03T23:53:44.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,88.91261498028909,42.64705882352941,1610612751,14,13,2021-11-03T23:53:50Z,670000,-37.0,52.0,1,right,B. Brown 6' floating Jump Shot (4 PTS) (B. Griffin 1 AST),"[1628971, 201933]",1610612751.0,BKN,floating,,,,,,6.35,Made,Brown,B. Brown,,,,,4.0,B. Griffin,201933.0,1.0,,,,,,,,,,,
69,PT06M41.00S,2021-11-03T23:53:59.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,5.863994743758213,49.01960784313725,1610612737,14,15,2021-11-03T23:54:03Z,690000,5.0,3.0,1,left,C. Capela alley-oop Layup (2 PTS) (T. Young 2 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,,,,0.55,Made,Capela,C. Capela,,,,,2.0,T. Young,1629027.0,2.0,,,,,,,,,,,
153,PT06M30.00S,2021-11-03T23:54:02.5Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,14,15,2021-11-04T00:12:04Z,702500,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1628381]",1610612751.0,BKN,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,1.0,Collins,1628381.0,,,
154,PT06M30.00S,2021-11-03T23:54:02.5Z,1,REGULAR,steal,,[],1628381,,,1610612737,14,15,2021-11-04T00:12:04Z,703750,,,0,,J. Collins STEAL (1 STL),[1628381],1610612737.0,ATL,,,,,,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,
73,PT06M21.00S,2021-11-03T23:54:19.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,31.225361366622867,35.049019607843135,1610612737,14,18,2021-11-04T00:12:22Z,730000,75.0,241.0,1,left,T. Young 25' 3PT step back (11 PTS),[1629027],1610612737.0,ATL,step back,,,,,,25.23,Made,Young,T. Young,,,,,11.0,,,,,,,,,,,,,,
118,PT06M04.00S,2021-11-03T23:54:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,89.4053876478318,34.55882352941177,1610612751,14,18,2021-11-04T00:52:13Z,735000,-77.0,47.0,1,right,MISS J. Harden 9' driving Layup - blocked,"[201935, 1628381]",1610612751.0,BKN,driving,,,,,,9.04,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,Collins,1628381.0,
119,PT06M04.00S,2021-11-03T23:54:20.3Z,1,REGULAR,block,,[],1628381,,,1610612751,14,18,2021-11-04T00:04:39Z,737500,,,0,,J. Collins BLOCK (1 BLK),[1628381],1610612737.0,ATL,,,,,,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,
120,PT06M04.00S,2021-11-03T23:54:20.3Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,14,18,2021-11-04T00:52:13Z,738750,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,,,,,,Hunter,D. Hunter,118.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
76,PT06M02.00S,2021-11-03T23:54:40.7Z,1,REGULAR,turnover,out-of-bounds,[],1629631,,,1610612737,14,18,2021-11-03T23:54:49Z,760000,,,0,,D. Hunter bad pass out-of-bounds TURNOVER (2 TO),[1629631],1610612737.0,ATL,bad pass,,,,,,,,Hunter,D. Hunter,,,,,,,,,201638.0,,,,,2.0,,,,,
77,PT06M02.00S,2021-11-03T23:54:46.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,14,18,2021-11-03T23:54:46Z,770000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M52.00S,2021-11-03T23:58:41.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201142,86.02168199737189,65.68627450980392,1610612751,14,18,2021-11-03T23:58:47Z,780000,78.0,79.0,1,right,MISS K. Durant 11' pullup Shot,[201142],1610612751.0,BKN,pullup,,,,,,11.12,Missed,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
79,PT05M49.00S,2021-11-03T23:58:44.4Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,14,18,2021-11-03T23:58:47Z,790000,,,0,,J. Collins REBOUND (Off:1 Def:1),[1628381],1610612737.0,ATL,,,,,,,,,Collins,J. Collins,78.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
80,PT05M38.00S,2021-11-03T23:58:54.9Z,1,REGULAR,turnover,bad pass,[],203992,,,1610612737,14,18,2021-11-03T23:58:58Z,800000,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[203992, 203925]",1610612737.0,ATL,,,,,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,1.0,Harris,203925.0,,,
81,PT05M38.00S,2021-11-03T23:58:54.9Z,1,REGULAR,steal,,[],203925,,,1610612751,14,18,2021-11-03T23:58:57Z,810000,,,0,,J. Harris STEAL (1 STL),[203925],1610612751.0,BKN,,,,,,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,
82,PT05M32.00S,2021-11-03T23:59:01.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201142,93.11760840998686,27.205882352941174,1610612751,14,18,2021-11-03T23:59:10Z,820000,-114.0,12.0,1,right,MISS K. Durant 11' Jump Shot,[201142],1610612751.0,BKN,,,,,,,11.47,Missed,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
83,PT05M28.00S,2021-11-03T23:59:05.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,14,18,2021-11-03T23:59:10Z,830000,,,0,,C. Capela REBOUND (Off:2 Def:2),[203991],1610612737.0,ATL,,,,,,,,,Capela,C. Capela,82.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
84,PT05M14.00S,2021-11-03T23:59:18.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,15.588042049934298,48.77450980392157,1610612737,14,18,2021-11-03T23:59:23Z,840000,6.0,94.0,1,left,MISS J. Collins 9' turnaround Shot,[1628381],1610612737.0,ATL,turnaround,,,,,,9.42,Missed,Collins,J. Collins,,,,,,,,,,,,,,,,,,,
85,PT05M12.00S,2021-11-03T23:59:20.6Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,14,18,2021-11-03T23:59:23Z,850000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612751.0,BKN,,,,,,,,,Harden,J. Harden,84.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
86,PT05M07.00S,2021-11-03T23:59:27.0Z,1,REGULAR,3pt,Jump Shot,[],201933,67.62483574244416,47.05882352941176,1610612751,14,18,2021-11-03T23:59:35Z,860000,-15.0,252.0,1,right,MISS B. Griffin 25' 3PT,[201933],1610612751.0,BKN,,,,,,,25.22,Missed,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,
87,PT05M03.00S,2021-11-03T23:59:31.0Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,14,18,2021-11-03T23:59:35Z,870000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,,,,,,Young,T. Young,86.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
88,PT04M48.00S,2021-11-03T23:59:45.3Z,1,REGULAR,2pt,Jump Shot,[],203992,19.136005256241788,26.225490196078432,1610612737,14,18,2021-11-03T23:59:51Z,880000,119.0,127.0,1,left,MISS B. Bogdanovic 17' pullup Shot,[203992],1610612737.0,ATL,pullup,,,,,,17.43,Missed,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,
