actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
15,PT10M59.00S,2022-03-31T23:33:54.8Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,0,0,2022-03-31T23:33:57Z,150000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M42.00S,2022-03-31T23:34:11.9Z,1,REGULAR,3pt,Jump Shot,[],201572,66.5735873850197,30.637254901960787,1610612749,0,0,2022-03-31T23:34:16Z,160000,-97.0,262.0,1,right,MISS B. Lopez 27' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,27.9,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M39.00S,2022-03-31T23:34:14.9Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,0,0,2022-03-31T23:34:16Z,170000,,,0,,B. Brown REBOUND (Off:0 Def:2),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,
18,PT10M34.00S,2022-03-31T23:34:20.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628971,11.251642575558476,36.029411764705884,1610612751,0,0,2022-03-31T23:38:36Z,180000,70.0,53.0,1,left,MISS B. Brown 8' driving bank Hook,[1628971],1610612751.0,BKN,driving bank,,,Brown,B. Brown,,,,,8.79,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M30.00S,2022-03-31T23:34:24.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2022-03-31T23:34:32Z,190000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,
20,PT10M25.00S,2022-03-31T23:34:29.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202083,94.82588699080158,3.9215686274509802,1610612749,0,0,2022-03-31T23:34:45Z,200000,-230.0,-4.0,1,right,MISS W. Matthews 3PT,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M25.00S,2022-03-31T23:34:29.2Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,0,0,2022-03-31T23:34:45Z,210000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT10M14.00S,2022-03-31T23:34:41.0Z,1,REGULAR,3pt,Jump Shot,[],202681,32.40801576872536,42.8921568627451,1610612751,0,0,2022-03-31T23:43:54Z,220000,36.0,252.0,1,left,MISS K. Irving 25' pullup 3PT,[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,25.46,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M10.00S,2022-03-31T23:34:45.0Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,0,2022-03-31T23:34:48Z,230000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT10M02.00S,2022-03-31T23:34:52.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,94.03745072273325,47.30392156862745,1610612749,0,0,2022-03-31T23:34:58Z,240000,-13.0,4.0,1,right,MISS G. Antetokounmpo driving finger roll Layup,[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,1.39,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M00.00S,2022-03-31T23:34:54.0Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,0,0,2022-03-31T23:35:18Z,250000,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,
26,PT09M57.00S,2022-03-31T23:34:57.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628971,5.863994743758213,48.529411764705884,1610612751,2,0,2022-03-31T23:35:10Z,260000,7.0,3.0,1,left,B. Brown running DUNK (2 PTS) (K. Irving 1 AST),"[1628971, 202681]",1610612751.0,BKN,running,,,Brown,B. Brown,,,,,0.78,Made,,,,,,,2.0,K. Irving,202681.0,1.0,,,,,,,,,
28,PT09M36.00S,2022-03-31T23:35:29.1Z,1,REGULAR,2pt,Jump Shot,[],203507,87.33574244415243,21.568627450980394,1610612749,2,0,2022-03-31T23:35:33Z,280000,-142.0,67.0,1,right,MISS G. Antetokounmpo 15' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,15.7,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M33.00S,2022-03-31T23:35:32.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,2,0,2022-03-31T23:35:33Z,290000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,
30,PT09M28.00S,2022-03-31T23:35:39.4Z,1,REGULAR,foul,personal,[],201572,,,1610612751,2,0,2022-03-31T23:36:33Z,300000,,,0,,B. Lopez personal FOUL (1 PF),"[201572, 1628971]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Brown,1628971.0,,,,
32,PT09M19.00S,2022-03-31T23:36:16.5Z,1,REGULAR,3pt,Jump Shot,[],1628971,10.5946123521682,2.941176470588235,1610612751,5,0,2022-03-31T23:36:20Z,320000,235.0,47.0,1,left,B. Brown 24' 3PT  (5 PTS) (K. Durant 1 AST),"[1628971, 201142]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,24.0,Made,,,,,,,5.0,K. Durant,201142.0,1.0,,,,,,,,,
38,PT09M00.00S,2022-03-31T23:36:38.2Z,1,REGULAR,turnover,traveling,[],201572,,,1610612749,5,0,2022-03-31T23:36:43Z,380000,,,0,,B. Lopez traveling TURNOVER (1 TO),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,201638.0,,,,,1.0,,,
39,PT08M47.00S,2022-03-31T23:37:04.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202681,32.40801576872536,50.73529411764706,1610612751,5,0,2022-03-31T23:37:11Z,390000,-4.0,252.0,1,left,MISS K. Irving 25' 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M44.00S,2022-03-31T23:37:07.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,5,0,2022-03-31T23:37:11Z,400000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,39.0,3.0,3.0,0.0,,,,,,,,,,,,,
41,PT08M37.00S,2022-03-31T23:37:15.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,93.64323258869908,50.245098039215684,1610612749,5,2,2022-03-31T23:37:18Z,410000,1.0,7.0,1,right,G. Antetokounmpo driving DUNK (2 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,0.74,Made,,,,,,,2.0,,,,,,,,,,,,
42,PT08M24.00S,2022-03-31T23:37:27.6Z,1,REGULAR,2pt,Jump Shot,[],203552,23.47240473061761,39.46078431372549,1610612751,7,2,2022-03-31T23:37:32Z,420000,53.0,168.0,1,left,S. Curry 17' pullup Jump Shot (2 PTS),[203552],1610612751.0,BKN,pullup,,,Curry,S. Curry,,,,,17.62,Made,,,,,,,2.0,,,,,,,,,,,,
43,PT08M15.00S,2022-03-31T23:37:37.4Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612749,7,2,2022-03-31T23:37:51Z,430000,,,0,,B. Brown shooting personal FOUL (1 PF) (Middleton 2 FT),"[1628971, 203114]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Middleton,203114.0,,,,
45,PT08M15.00S,2022-03-31T23:38:00.6Z,1,REGULAR,freethrow,1 of 2,[],203114,,,1610612749,7,3,2022-03-31T23:38:00Z,450000,,,0,,K. Middleton Free Throw 1 of 2 (1 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
46,PT08M15.00S,2022-03-31T23:38:17.0Z,1,REGULAR,freethrow,2 of 2,[],203114,,,1610612749,7,4,2022-03-31T23:38:17Z,460000,,,0,,K. Middleton Free Throw 2 of 2 (2 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
47,PT08M02.00S,2022-03-31T23:38:31.5Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,7,4,2022-03-31T23:38:37Z,470000,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 201950]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,1.0,Holiday,201950.0,
48,PT08M02.00S,2022-03-31T23:38:31.5Z,1,REGULAR,steal,,[],201950,,,1610612749,7,4,2022-03-31T23:38:33Z,480000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M43.00S,2022-03-31T23:38:52.8Z,1,REGULAR,turnover,out-of-bounds,[],201950,,,1610612749,7,4,2022-03-31T23:39:02Z,490000,,,0,,J. Holiday lost ball out-of-bounds TURNOVER (1 TO),[201950],1610612749.0,MIL,lost ball,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,101284.0,,,,,1.0,,,
50,PT07M27.00S,2022-03-31T23:39:15.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203552,18.873193166885677,71.56862745098039,1610612751,7,4,2022-03-31T23:39:18Z,500000,-108.0,125.0,1,left,MISS S. Curry 16' pullup Shot,[203552],1610612751.0,BKN,pullup,,,Curry,S. Curry,,,,,16.5,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M24.00S,2022-03-31T23:39:18.1Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,7,4,2022-03-31T23:39:18Z,510000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,
52,PT07M15.00S,2022-03-31T23:39:27.6Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612749,7,4,2022-03-31T23:39:32Z,520000,,,0,,J. Holiday bad pass TURNOVER (2 TO),"[201950, 201142]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,2.0,Durant,201142.0,
53,PT07M15.00S,2022-03-31T23:39:27.6Z,1,REGULAR,steal,,[],201142,,,1610612751,7,4,2022-03-31T23:39:30Z,530000,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M11.00S,2022-03-31T23:39:32.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203552,29.122864651773984,24.509803921568626,1610612751,10,4,2022-03-31T23:43:43Z,540000,127.0,221.0,1,left,S. Curry 25' 3PT running (5 PTS) (K. Irving 2 AST),"[203552, 202681]",1610612751.0,BKN,running,,,Curry,S. Curry,,,,,25.54,Made,,,,,,,5.0,K. Irving,202681.0,2.0,,,,,,,,,
56,PT07M09.00S,2022-03-31T23:39:37.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,10,4,2022-03-31T23:39:37Z,560000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M09.00S,2022-03-31T23:39:38.2Z,1,REGULAR,substitution,out,[],203114,,,1610612749,10,4,2022-03-31T23:42:56Z,570000,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M09.00S,2022-03-31T23:39:38.2Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,10,4,2022-03-31T23:42:56Z,580000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M56.00S,2022-03-31T23:43:18.4Z,1,REGULAR,3pt,Jump Shot,[],1626192,69.85873850197109,74.01960784313727,1610612749,10,7,2022-03-31T23:43:25Z,590000,120.0,231.0,1,right,P. Connaughton 26' 3PT  (3 PTS),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,26.02,Made,,,,,,,3.0,,,,,,,,,,,,
61,PT06M44.00S,2022-03-31T23:43:36.7Z,1,REGULAR,turnover,out-of-bounds,[],1628971,,,1610612751,10,7,2022-03-31T23:43:45Z,610000,,,0,,B. Brown bad pass out-of-bounds TURNOVER (1 TO),[1628971],1610612751.0,BKN,bad pass,,,Brown,B. Brown,,,,,,,,,,,,,,,,,1204.0,,,,,1.0,,,
62,PT06M27.00S,2022-03-31T23:43:58.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201572,86.15308804204993,42.15686274509804,1610612749,10,9,2022-03-31T23:44:06Z,620000,-39.0,78.0,1,right,B. Lopez 8' fadeaway Jump Shot (2 PTS) (G. Antetokounmpo 1 AST),"[201572, 203507]",1610612749.0,MIL,fadeaway,,,Lopez,B. Lopez,,,,,8.7,Made,,,,,,,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,
64,PT06M11.00S,2022-03-31T23:44:14.6Z,1,REGULAR,3pt,Jump Shot,[],201142,13.222733245729303,4.6568627450980395,1610612751,13,9,2022-03-31T23:44:27Z,640000,227.0,72.0,1,left,K. Durant 3PT  (3 PTS) (B. Brown 1 AST),"[201142, 1628971]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,23.78,Made,,,,,,,3.0,B. Brown,1628971.0,1.0,,,,,,,,,
66,PT06M01.00S,2022-03-31T23:44:25.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,94.03745072273325,50.0,1610612749,13,11,2022-03-31T23:44:29Z,660000,0.0,4.0,1,right,G. Antetokounmpo driving finger roll Layup (4 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,0.35,Made,,,,,,,4.0,,,,,,,,,,,,
67,PT05M48.00S,2022-03-31T23:44:37.9Z,1,REGULAR,2pt,Jump Shot,[],201142,18.084756898817346,23.03921568627451,1610612751,13,11,2022-03-31T23:53:32Z,670000,135.0,117.0,1,left,MISS K. Durant 17' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,17.88,Missed,,,,,,,,,,,,,,,,,,,
68,PT05M45.00S,2022-03-31T23:44:40.9Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,13,11,2022-03-31T23:44:46Z,680000,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,,,
69,PT05M27.00S,2022-03-31T23:44:59.0Z,1,REGULAR,3pt,Jump Shot,[],1626192,73.66951379763469,81.86274509803921,1610612749,13,11,2022-03-31T23:45:06Z,690000,159.0,195.0,1,right,MISS P. Connaughton 25' 3PT - blocked,"[1626192, 1628971]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,25.18,Missed,Brown,1628971.0,,,,,,,,,,,,,,,,,
70,PT05M27.00S,2022-03-31T23:44:59.0Z,1,REGULAR,block,,[],1628971,,,1610612749,13,11,2022-03-31T23:45:02Z,700000,,,0,,B. Brown BLOCK (1 BLK),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M22.00S,2022-03-31T23:45:04.0Z,1,REGULAR,rebound,offensive,[],1626192,,,1610612749,13,11,2022-03-31T23:45:06Z,710000,,,0,,P. Connaughton REBOUND (Off:1 Def:0),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,69.0,1.0,0.0,1.0,,,,,,,,,,,,,
72,PT05M22.00S,2022-03-31T23:45:04.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626192,92.85479632063075,53.18627450980392,1610612749,13,13,2022-03-31T23:48:37Z,720000,16.0,15.0,1,right,P. Connaughton finger roll Layup (5 PTS),[1626192],1610612749.0,MIL,finger roll,,,Connaughton,P. Connaughton,,,,,2.17,Made,,,,,,,5.0,,,,,,,,,,,,
73,PT05M13.00S,2022-03-31T23:45:13.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,6.915243101182654,48.77450980392157,1610612751,13,13,2022-03-31T23:45:17Z,730000,6.0,13.0,1,left,MISS A. Drummond alley-oop Layup,[203083],1610612751.0,BKN,alley-oop,,,Drummond,A. Drummond,,,,,1.39,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M10.00S,2022-03-31T23:45:16.9Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,13,13,2022-03-31T23:45:17Z,740000,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,
75,PT05M07.00S,2022-03-31T23:45:19.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202083,82.7365308804205,95.34313725490196,1610612749,13,16,2022-03-31T23:45:32Z,750000,227.0,110.0,1,right,W. Matthews 25' 3PT running (3 PTS) (J. Holiday 1 AST),"[202083, 201950]",1610612749.0,MIL,running,,,Matthews,W. Matthews,,,,,25.19,Made,,,,,,,3.0,J. Holiday,201950.0,1.0,,,,,,,,,
77,PT04M44.00S,2022-03-31T23:45:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,18.2161629434954,43.872549019607845,1610612751,15,16,2022-03-31T23:45:49Z,770000,31.0,119.0,1,left,B. Brown 12' floating Jump Shot (7 PTS) (K. Durant 2 AST),"[1628971, 201142]",1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,12.26,Made,,,,,,,7.0,K. Durant,201142.0,2.0,,,,,,,,,
79,PT04M24.00S,2022-03-31T23:46:02.0Z,1,REGULAR,3pt,Jump Shot,[],201572,67.36202365308804,48.28431372549019,1610612749,15,16,2022-03-31T23:46:06Z,790000,-9.0,254.0,1,right,MISS B. Lopez 25' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,25.44,Missed,,,,,,,,,,,,,,,,,,,
80,PT04M21.00S,2022-03-31T23:46:05.0Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,15,16,2022-03-31T23:46:06Z,800000,,,0,,B. Brown REBOUND (Off:0 Def:3),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,79.0,3.0,3.0,0.0,,,,,,,,,,,,,
81,PT04M14.00S,2022-03-31T23:46:11.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,15.588042049934298,60.78431372549019,1610612751,15,16,2022-03-31T23:46:24Z,810000,-54.0,94.0,1,left,MISS K. Irving 10' driving floating Shot,[202681],1610612751.0,BKN,driving floating,,,Irving,K. Irving,,,,,10.84,Missed,,,,,,,,,,,,,,,,,,,
82,PT04M11.00S,2022-03-31T23:46:14.6Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,15,16,2022-03-31T23:46:16Z,820000,,,0,,J. Holiday REBOUND (Off:0 Def:3),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,81.0,3.0,3.0,0.0,,,,,,,,,,,,,
83,PT04M10.00S,2022-03-31T23:46:17.4Z,1,REGULAR,foul,personal,[],203552,,,1610612749,15,16,2022-03-31T23:46:27Z,830000,,,0,,S. Curry take personal FOUL (1 PF),"[203552, 201950]",1610612751.0,BKN,take,,,Curry,S. Curry,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Holiday,201950.0,,,,
85,PT04M10.00S,2022-03-31T23:46:25.2Z,1,REGULAR,substitution,out,[],203083,,,1610612749,15,16,2022-03-31T23:46:49Z,850000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M10.00S,2022-03-31T23:46:25.2Z,1,REGULAR,substitution,out,[],203552,,,1610612749,15,16,2022-03-31T23:46:49Z,860000,,,0,,SUB out: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M10.00S,2022-03-31T23:46:25.2Z,1,REGULAR,substitution,out,[],201572,,,1610612749,15,16,2022-03-31T23:46:49Z,870000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M10.00S,2022-03-31T23:46:25.2Z,1,REGULAR,substitution,out,[],202083,,,1610612749,15,16,2022-03-31T23:46:49Z,880000,,,0,,SUB out: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M10.00S,2022-03-31T23:46:25.2Z,1,REGULAR,substitution,out,[],203507,,,1610612749,15,16,2022-03-31T23:46:49Z,890000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M10.00S,2022-03-31T23:46:25.2Z,1,REGULAR,substitution,in,[],201988,,,1610612749,15,16,2022-03-31T23:46:49Z,900000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M10.00S,2022-03-31T23:46:25.2Z,1,REGULAR,substitution,in,[],1629651,,,1610612749,15,16,2022-03-31T23:46:49Z,910000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
