actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
24,PT09M33.00S,2022-04-05T23:45:31.3Z,1,REGULAR,3pt,Jump Shot,[],1628971,93.64323258869908,95.58823529411765,1610612751,8,4,2022-04-05T23:45:35Z,240000,228.0,7.0,1,right,B. Brown 3PT  (3 PTS) (P. Mills 1 AST),"[1628971, 201988]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,22.8,Made,3.0,P. Mills,201988.0,1.0,,,,,,,,,,,,,,
26,PT09M20.00S,2022-04-05T23:45:44.7Z,1,REGULAR,3pt,Jump Shot,[],1629726,3.630091984231275,94.85294117647058,1610612745,8,4,2022-04-05T23:45:50Z,260000,-224.0,-18.0,1,left,MISS G. Mathews 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,22.51,Missed,,,,,,,,,,,,,,,,,,
27,PT09M18.00S,2022-04-05T23:45:46.7Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,8,4,2022-04-05T23:45:50Z,270000,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,26.0,2.0,2.0,0.0,,,
28,PT09M11.00S,2022-04-05T23:45:54.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203083,93.9060446780552,50.0,1610612751,10,4,2022-04-05T23:45:57Z,280000,0.0,5.0,1,right,A. Drummond cutting DUNK (4 PTS) (P. Mills 2 AST),"[203083, 201988]",1610612751.0,BKN,cutting,,,Drummond,A. Drummond,,,,,0.48,Made,4.0,P. Mills,201988.0,2.0,,,,,,,,,,,,,,
30,PT09M03.00S,2022-04-05T23:46:04.9Z,1,REGULAR,foul,personal,[],203083,,,1610612745,10,4,2022-04-05T23:46:17Z,300000,,,0,,A. Drummond personal FOUL (2 PF),"[203083, 1630224]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,202901.0,2.0,0.0,Green,1630224.0,,,,,,,,,
32,PT08M53.00S,2022-04-05T23:46:31.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,7.703679369250986,51.225490196078425,1610612745,10,6,2022-04-05T23:46:37Z,320000,-6.0,20.0,1,left,A. Sengun turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,2.08,Made,2.0,,,,,,,,,,,,,,,,,
33,PT08M39.00S,2022-04-05T23:46:45.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,83.65637319316689,65.19607843137256,1610612751,10,6,2022-04-05T23:46:49Z,330000,76.0,101.0,1,right,MISS K. Durant 12' turnaround fadeaway Shot,[201142],1610612751.0,BKN,turnaround fadeaway,,,Durant,K. Durant,,,,,12.65,Missed,,,,,,,,,,,,,,,,,,
34,PT08M37.00S,2022-04-05T23:46:47.5Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612745,10,6,2022-04-05T23:46:49Z,340000,,,0,,G. Mathews REBOUND (Off:0 Def:1),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,
35,PT08M29.00S,2022-04-05T23:46:55.2Z,1,REGULAR,3pt,Jump Shot,[],1630578,32.53942181340342,42.8921568627451,1610612745,10,6,2022-04-05T23:47:01Z,350000,36.0,253.0,1,left,MISS A. Sengun 25' 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,
36,PT08M27.00S,2022-04-05T23:46:57.2Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,10,6,2022-04-05T23:47:01Z,360000,,,0,,A. Drummond REBOUND (Off:0 Def:3),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,35.0,3.0,3.0,0.0,,,
37,PT08M21.00S,2022-04-05T23:47:03.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202681,72.61826544021025,82.59803921568627,1610612751,13,6,2022-04-05T23:47:28Z,370000,163.0,205.0,1,right,K. Irving 26' 3PT pullup (3 PTS) (K. Durant 2 AST),"[202681, 201142]",1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,26.18,Made,3.0,K. Durant,201142.0,2.0,,,,,,,,,,,,,,
39,PT08M02.00S,2022-04-05T23:47:24.7Z,1,REGULAR,turnover,out-of-bounds,[],1629645,,,1610612745,13,6,2022-04-05T23:47:31Z,390000,,,0,,K. Porter Jr. lost ball out-of-bounds TURNOVER (1 TO),[1629645],1610612745.0,HOU,lost ball,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,1199.0,,,,,,,,,,,1.0,,
40,PT07M57.00S,2022-04-05T23:47:37.7Z,1,REGULAR,foul,personal,[],1629645,,,1610612751,13,6,2022-04-05T23:47:42Z,400000,,,0,,K. Porter Jr. personal FOUL (1 PF),"[1629645, 202681]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,202901.0,1.0,0.0,Irving,202681.0,,,,,,,,,
42,PT07M49.00S,2022-04-05T23:48:02.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202681,66.83639947437582,66.66666666666666,1610612751,13,6,2022-04-05T23:48:06Z,420000,83.0,259.0,1,right,MISS K. Irving 27' 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,27.23,Missed,,,,,,,,,,,,,,,,,,
43,PT07M47.00S,2022-04-05T23:48:04.8Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,13,6,2022-04-05T23:48:06Z,430000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,
44,PT07M39.00S,2022-04-05T23:48:12.6Z,1,REGULAR,turnover,out-of-bounds,[],1630256,,,1610612745,13,6,2022-04-05T23:48:18Z,440000,,,0,,J. Tate bad pass out-of-bounds TURNOVER (1 TO),[1630256],1610612745.0,HOU,bad pass,,,Tate,J. Tate,,,,,,,,,,,1627541.0,,,,,,,,,,,1.0,,
45,PT07M30.00S,2022-04-05T23:48:38.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201988,73.80091984231275,82.59803921568627,1610612751,13,6,2022-04-05T23:48:42Z,450000,163.0,194.0,1,right,MISS P. Mills 25' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,
46,PT07M27.00S,2022-04-05T23:48:41.1Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,13,6,2022-04-05T23:48:42Z,460000,,,0,,J. Tate REBOUND (Off:0 Def:2),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,45.0,2.0,2.0,0.0,,,
47,PT07M21.00S,2022-04-05T23:48:47.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,10.85742444152431,45.588235294117645,1610612745,13,6,2022-04-05T23:48:50Z,470000,22.0,50.0,1,left,MISS J. Tate turnaround Hook,[1630256],1610612745.0,HOU,turnaround,,,Tate,J. Tate,,,,,5.43,Missed,,,,,,,,,,,,,,,,,,
48,PT07M19.00S,2022-04-05T23:48:49.8Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,13,6,2022-04-05T23:48:50Z,480000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,
49,PT07M19.00S,2022-04-05T23:48:53.1Z,1,REGULAR,foul,personal,[],1630578,,,1610612751,13,6,2022-04-05T23:49:03Z,490000,,,0,,A. Sengun personal FOUL (1 PF),"[1630578, 203083]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,1199.0,1.0,0.0,Drummond,203083.0,,,,,,,,,
51,PT07M03.00S,2022-04-05T23:49:29.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,88.38699080157687,56.86274509803921,1610612751,13,6,2022-04-05T23:49:33Z,510000,34.0,57.0,1,right,MISS B. Brown 6' floating Shot,[1628971],1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,6.63,Missed,,,,,,,,,,,,,,,,,,
52,PT07M00.00S,2022-04-05T23:49:32.0Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,13,6,2022-04-05T23:49:33Z,520000,,,0,,J. Tate REBOUND (Off:0 Def:3),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,51.0,3.0,3.0,0.0,,,
53,PT06M51.00S,2022-04-05T23:49:41.1Z,1,REGULAR,3pt,Jump Shot,[],1630578,12.697109067017081,4.166666666666666,1610612745,13,6,2022-04-05T23:49:46Z,530000,229.0,67.0,1,left,MISS A. Sengun 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,23.88,Missed,,,,,,,,,,,,,,,,,,
54,PT06M47.00S,2022-04-05T23:49:45.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,13,6,2022-04-05T23:49:46Z,540000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,53.0,2.0,2.0,0.0,,,
55,PT06M41.00S,2022-04-05T23:49:50.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,94.1688567674113,51.470588235294116,1610612751,15,6,2022-04-05T23:49:56Z,550000,7.0,2.0,1,right,K. Irving running finger roll Layup (5 PTS),[202681],1610612751.0,BKN,running finger roll,,,Irving,K. Irving,,,,,0.77,Made,5.0,,,,,,,,,,,,,,,,,
57,PT06M21.00S,2022-04-05T23:50:10.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,6.389618922470433,44.85294117647059,1610612745,15,6,2022-04-05T23:50:16Z,570000,26.0,8.0,1,left,MISS A. Sengun Layup - blocked,"[1630578, 202681]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,2.68,Missed,,,,,,,,,,Irving,202681.0,,,,,,,
58,PT06M21.00S,2022-04-05T23:50:10.2Z,1,REGULAR,block,,[],202681,,,1610612745,15,6,2022-04-05T23:50:12Z,580000,,,0,,K. Irving BLOCK (1 BLK),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M19.00S,2022-04-05T23:50:12.2Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,15,6,2022-04-05T23:50:16Z,590000,,,0,,J. Tate REBOUND (Off:1 Def:3),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,57.0,4.0,3.0,1.0,,,
60,PT06M18.00S,2022-04-05T23:50:13.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630256,7.5722733245729295,55.88235294117647,1610612745,15,8,2022-04-05T23:50:18Z,600000,-29.0,19.0,1,left,J. Tate putback Layup (2 PTS),[1630256],1610612745.0,HOU,putback,,,Tate,J. Tate,,,,,3.48,Made,2.0,,,,,,,,,,,,,,,,,
61,PT06M00.00S,2022-04-05T23:50:32.0Z,1,REGULAR,3pt,Jump Shot,[],202681,67.88764783180025,29.901960784313726,1610612751,15,8,2022-04-05T23:50:36Z,610000,-100.0,249.0,1,right,MISS K. Irving 26' step back 3PT,[202681],1610612751.0,BKN,step back,,,Irving,K. Irving,,,,,26.89,Missed,,,,,,,,,,,,,,,,,,
62,PT05M56.00S,2022-04-05T23:50:36.0Z,1,REGULAR,rebound,offensive,[],203083,,,1610612751,15,8,2022-04-05T23:50:36Z,620000,,,0,,A. Drummond REBOUND (Off:1 Def:3),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,61.0,4.0,3.0,1.0,,,
63,PT05M56.00S,2022-04-05T23:50:35.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203083,94.40999984741211,50.0,1610612751,15,8,2022-04-05T23:50:38Z,630000,0.0,0.0,1,right,MISS A. Drummond tip Layup - blocked,"[203083, 1629645]",1610612751.0,BKN,tip,,,Drummond,A. Drummond,,,,,0.0,Missed,,,,,,,,,,Porter Jr.,1629645.0,,,,,,,
64,PT05M56.00S,2022-04-05T23:50:35.7Z,1,REGULAR,block,,[],1629645,,,1610612751,15,8,2022-04-05T23:50:37Z,640000,,,0,,K. Porter Jr. BLOCK (1 BLK),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M56.00S,2022-04-05T23:50:35.7Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,15,8,2022-04-05T23:50:38Z,650000,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,63.0,2.0,2.0,0.0,,,
66,PT05M49.00S,2022-04-05T23:50:43.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,4.944152431011826,58.08823529411765,1610612745,15,8,2022-04-05T23:50:46Z,660000,-40.0,-6.0,1,left,MISS K. Porter Jr. driving finger roll Layup,[1629645],1610612745.0,HOU,driving finger roll,,,Porter Jr.,K. Porter Jr.,,,,,4.08,Missed,,,,,,,,,,,,,,,,,,
67,PT05M47.00S,2022-04-05T23:50:45.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,15,8,2022-04-05T23:50:46Z,670000,,,0,,K. Durant REBOUND (Off:0 Def:3),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,66.0,3.0,3.0,0.0,,,
68,PT05M45.00S,2022-04-05T23:50:50.6Z,1,REGULAR,foul,offensive,[],201142,,,1610612751,15,8,2022-04-05T23:57:51Z,680000,,,0,,K. Durant charge offensive FOUL (1 PF),"[201142, 1630256]",1610612751.0,BKN,charge,,,Durant,K. Durant,,,,,,,,,,,202901.0,1.0,0.0,Tate,1630256.0,,,,,,,,,
70,PT05M45.00S,2022-04-05T23:50:50.6Z,1,REGULAR,turnover,offensive foul,[],201142,,,1610612751,15,8,2022-04-05T23:50:50Z,700000,,,0,,K. Durant offensive foul TURNOVER (1 TO),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,202901.0,,,,,,,,,,,1.0,,
71,PT05M45.00S,2022-04-05T23:51:11.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,15,8,2022-04-05T23:51:11Z,710000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M45.00S,2022-04-05T23:52:09.7Z,1,REGULAR,substitution,out,[],1628971,,,1610612745,15,8,2022-04-05T23:53:28Z,720000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M45.00S,2022-04-05T23:52:09.7Z,1,REGULAR,substitution,out,[],203083,,,1610612745,15,8,2022-04-05T23:53:28Z,730000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M45.00S,2022-04-05T23:52:09.7Z,1,REGULAR,substitution,in,[],1629651,,,1610612745,15,8,2022-04-05T23:53:28Z,740000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M45.00S,2022-04-05T23:52:09.7Z,1,REGULAR,substitution,in,[],200746,,,1610612745,15,8,2022-04-05T23:53:28Z,750000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M22.00S,2022-04-05T23:54:12.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629645,33.722076215505915,67.15686274509804,1610612745,15,11,2022-04-05T23:54:15Z,760000,-86.0,264.0,1,left,K. Porter Jr. 27' 3PT step back (7 PTS),[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,27.81,Made,7.0,,,,,,,,,,,,,,,,,
77,PT05M15.00S,2022-04-05T23:54:18.3Z,1,REGULAR,turnover,bad pass,[],202681,,,1610612751,15,11,2022-04-05T23:54:24Z,770000,,,0,,K. Irving bad pass TURNOVER (1 TO),"[202681, 1630256]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,1.0,Tate,1630256.0
78,PT05M15.00S,2022-04-05T23:54:18.3Z,1,REGULAR,steal,,[],1630256,,,1610612745,15,11,2022-04-05T23:54:20Z,780000,,,0,,J. Tate STEAL (1 STL),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M13.00S,2022-04-05T23:54:21.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630256,5.601182654402102,48.28431372549019,1610612745,15,11,2022-04-05T23:54:26Z,790000,9.0,0.0,1,left,MISS J. Tate Layup,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,0.86,Missed,,,,,,,,,,,,,,,,,,
80,PT05M09.00S,2022-04-05T23:54:24.4Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,15,11,2022-04-05T23:54:24Z,800000,,,0,,J. Tate REBOUND (Off:2 Def:3),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,79.0,5.0,3.0,2.0,,,
81,PT05M08.00S,2022-04-05T23:54:26.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630224,27.808804204993432,17.401960784313726,1610612745,15,14,2022-04-05T23:58:34Z,810000,163.0,209.0,1,left,J. Green 26' 3PT  (3 PTS) (A. Sengun 1 AST),"[1630224, 1630578]",1610612745.0,HOU,,,,Green,J. Green,,,,,26.5,Made,3.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,,
83,PT04M52.00S,2022-04-05T23:54:42.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,92.9862023653088,50.49019607843137,1610612751,17,14,2022-04-05T23:54:45Z,830000,2.0,13.0,1,right,N. Claxton alley-oop DUNK (2 PTS) (K. Durant 3 AST),"[1629651, 201142]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,1.36,Made,2.0,K. Durant,201142.0,3.0,,,,,,,,,,,,,,
85,PT04M37.00S,2022-04-05T23:54:56.1Z,1,REGULAR,2pt,Jump Shot,[],1629645,25.969119579500656,50.245098039215684,1610612745,17,16,2022-04-05T23:55:06Z,850000,-1.0,192.0,1,left,K. Porter Jr. 19' Jump Shot (9 PTS) (J. Green 1 AST),"[1629645, 1630224]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,19.16,Made,9.0,J. Green,1630224.0,1.0,,,,,,,,,,,,,,
87,PT04M25.00S,2022-04-05T23:55:09.4Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,17,16,2022-04-05T23:55:13Z,870000,,,0,,K. Durant bad pass TURNOVER (2 TO),"[201142, 1630256]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,2.0,Tate,1630256.0
88,PT04M25.00S,2022-04-05T23:55:09.4Z,1,REGULAR,steal,,[],1630256,,,1610612745,17,16,2022-04-05T23:55:11Z,880000,,,0,,J. Tate STEAL (2 STL),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M21.00S,2022-04-05T23:55:13.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630578,5.469776609724048,48.529411764705884,1610612745,17,18,2022-04-05T23:55:24Z,890000,7.0,-1.0,1,left,A. Sengun running DUNK (4 PTS) (J. Tate 1 AST),"[1630578, 1630256]",1610612745.0,HOU,running,,,Sengun,A. Sengun,,,,,0.75,Made,4.0,J. Tate,1630256.0,1.0,,,,,,,,,,,,,,
