actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
26,PT09M29.00S,2021-12-01T00:35:12.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,2,4,2021-12-01T00:35:13Z,260000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M27.00S,2021-12-01T00:35:13.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",201935,94.30026281208936,49.01960784313725,1610612751,4,4,2021-12-01T00:35:25Z,270000,-5.0,1.0,1,right,J. Harden running DUNK (2 PTS) (K. Durant 1 AST),"[201935, 201142]",1610612751.0,BKN,running,,,Harden,J. Harden,,,,,0.5,Made,2.0,,,,,K. Durant,201142.0,1.0,,,,,,,,,,,
29,PT09M02.00S,2021-12-01T00:35:39.2Z,1,REGULAR,2pt,Jump Shot,[],203944,23.603810775295663,71.81372549019608,1610612752,4,6,2021-12-01T00:35:46Z,290000,-109.0,169.0,1,left,J. Randle 20' step back Jump Shot (2 PTS),[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,20.15,Made,2.0,,,,,,,,,,,,,,,,,,
30,PT08M53.00S,2021-12-01T00:35:48.1Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,4,6,2021-12-01T00:37:47Z,300000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 202692]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,1.0,Burks,202692.0,,,,,,
31,PT08M53.00S,2021-12-01T00:35:48.1Z,1,REGULAR,steal,,[],202692,,,1610612752,4,6,2021-12-01T00:35:51Z,310000,,,0,,A. Burks STEAL (1 STL),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M46.00S,2021-12-01T00:35:55.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629011,5.732588699080158,50.49019607843137,1610612752,4,8,2021-12-01T00:36:07Z,320000,-2.0,1.0,1,left,M. Robinson cutting DUNK (2 PTS) (J. Randle 1 AST),"[1629011, 203944]",1610612752.0,NYK,cutting,,,Robinson,M. Robinson,,,,,0.29,Made,2.0,,,,,J. Randle,203944.0,1.0,,,,,,,,,,,
34,PT08M22.00S,2021-12-01T00:36:19.7Z,1,REGULAR,3pt,Jump Shot,[],201935,68.9388961892247,68.87254901960785,1610612751,7,8,2021-12-01T00:36:24Z,340000,94.0,239.0,1,right,J. Harden 25' 3PT step back (5 PTS),[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,25.74,Made,5.0,,,,,,,,,,,,,,,,,,
35,PT08M02.00S,2021-12-01T00:36:40.4Z,1,REGULAR,foul,personal,['2freethrow'],200746,,,1610612752,7,8,2021-12-01T00:36:49Z,350000,,,0,,L. Aldridge shooting personal FOUL (1 PF) (Burks 2 FT),"[200746, 202692]",1610612751.0,BKN,shooting,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,1162.0,1.0,0.0,Burks,202692.0,
37,PT08M02.00S,2021-12-01T00:37:20.1Z,1,REGULAR,freethrow,1 of 2,[],202692,,,1610612752,7,8,2021-12-01T00:37:20Z,370000,,,0,,MISS A. Burks Free Throw 1 of 2,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M02.00S,2021-12-01T00:37:20.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,7,8,2021-12-01T00:37:20Z,380000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,
39,PT08M02.00S,2021-12-01T00:37:36.0Z,1,REGULAR,freethrow,2 of 2,[],202692,,,1610612752,7,9,2021-12-01T00:37:36Z,390000,,,0,,A. Burks Free Throw 2 of 2 (1 PTS),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
40,PT07M48.00S,2021-12-01T00:37:51.5Z,1,REGULAR,3pt,Jump Shot,[],201935,66.3107752956636,48.529411764705884,1610612751,10,9,2021-12-01T00:37:57Z,400000,-7.0,264.0,1,right,J. Harden 26' 3PT step back (8 PTS) (L. Aldridge 1 AST),"[201935, 200746]",1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,26.43,Made,8.0,,,,,L. Aldridge,200746.0,1.0,,,,,,,,,,,
42,PT07M38.00S,2021-12-01T00:38:06.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,10,9,2021-12-01T00:38:06Z,420000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M38.00S,2021-12-01T00:38:10.0Z,1,REGULAR,substitution,out,[],201988,,,1610612752,10,9,2021-12-01T00:40:57Z,430000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M38.00S,2021-12-01T00:38:10.0Z,1,REGULAR,substitution,out,[],1629628,,,1610612752,10,9,2021-12-01T00:40:57Z,440000,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M38.00S,2021-12-01T00:38:10.0Z,1,REGULAR,substitution,in,[],1630560,,,1610612752,10,9,2021-12-01T00:40:57Z,450000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M38.00S,2021-12-01T00:38:10.0Z,1,REGULAR,substitution,in,[],201565,,,1610612752,10,9,2021-12-01T00:40:57Z,460000,,,0,,SUB in: D. Rose,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M25.00S,2021-12-01T00:41:43.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629011,6.389618922470433,48.03921568627451,1610612752,10,11,2021-12-01T00:41:52Z,470000,10.0,8.0,1,left,M. Robinson Layup (4 PTS) (J. Randle 2 AST),"[1629011, 203944]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,1.24,Made,4.0,,,,,J. Randle,203944.0,2.0,,,,,,,,,,,
49,PT07M09.00S,2021-12-01T00:42:00.3Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,10,11,2021-12-01T00:42:08Z,490000,,,0,,J. Harden bad pass TURNOVER (2 TO),"[201935, 203944]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,2.0,Randle,203944.0,,,,,,
50,PT07M09.00S,2021-12-01T00:42:00.3Z,1,REGULAR,steal,,[],203944,,,1610612752,10,11,2021-12-01T00:42:02Z,500000,,,0,,J. Randle STEAL (1 STL),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M03.00S,2021-12-01T00:42:04.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202692,7.835085413929041,4.411764705882353,1610612752,10,14,2021-12-01T00:42:57Z,510000,228.0,21.0,1,left,A. Burks 3PT running (4 PTS) (J. Randle 3 AST),"[202692, 203944]",1610612752.0,NYK,running,,,Burks,A. Burks,,,,,22.89,Made,4.0,,,,,J. Randle,203944.0,3.0,,,,,,,,,,,
53,PT06M55.00S,2021-12-01T00:42:13.0Z,1,REGULAR,2pt,Jump Shot,[],201142,78.26872536136662,73.77450980392157,1610612751,10,14,2021-12-01T00:42:24Z,530000,119.0,152.0,1,right,MISS K. Durant 19' running pullup Shot,[201142],1610612751.0,BKN,running pullup,,,Durant,K. Durant,,,,,19.28,Missed,,,,,,,,,,,,,,,,,,,
54,PT06M53.00S,2021-12-01T00:42:15.0Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,10,14,2021-12-01T00:42:17Z,540000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,
55,PT06M43.00S,2021-12-01T00:42:26.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629011,5.338370565045992,48.77450980392157,1610612752,10,16,2021-12-01T00:42:36Z,550000,6.0,-2.0,1,left,M. Robinson Layup (6 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,0.65,Made,6.0,,,,,,,,,,,,,,,,,,
57,PT06M27.00S,2021-12-01T00:42:41.5Z,1,REGULAR,2pt,Jump Shot,[],200746,92.06636005256242,74.26470588235294,1610612751,10,16,2021-12-01T00:42:45Z,570000,121.0,22.0,1,right,MISS L. Aldridge 12' Jump Shot,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,12.33,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M23.00S,2021-12-01T00:42:45.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,10,16,2021-12-01T00:42:45Z,580000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,
59,PT06M12.00S,2021-12-01T00:42:56.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201565,12.697109067017081,39.46078431372549,1610612752,10,18,2021-12-01T00:43:01Z,590000,53.0,67.0,1,left,D. Rose 8' driving floating Jump Shot (2 PTS) (J. Randle 4 AST),"[201565, 203944]",1610612752.0,NYK,driving floating,,,Rose,D. Rose,,,,,8.52,Made,2.0,,,,,J. Randle,203944.0,4.0,,,,,,,,,,,
61,PT05M58.00S,2021-12-01T00:43:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,93.38042049934296,49.50980392156863,1610612751,12,18,2021-12-01T00:43:28Z,610000,-2.0,10.0,1,right,J. Harden driving Layup (10 PTS),[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,1.0,Made,10.0,,,,,,,,,,,,,,,,,,
62,PT05M58.00S,2021-12-01T00:43:14.6Z,1,REGULAR,foul,personal,['1freethrow'],203095,,,1610612751,12,18,2021-12-01T00:43:28Z,620000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Harden 1 FT),"[203095, 201935]",1610612752.0,NYK,shooting,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,1162.0,1.0,0.0,Harden,201935.0,
64,PT05M58.00S,2021-12-01T00:43:23.7Z,1,REGULAR,substitution,out,[],1627761,,,1610612751,12,18,2021-12-01T00:44:37Z,640000,,,0,,SUB out: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M58.00S,2021-12-01T00:43:23.7Z,1,REGULAR,substitution,in,[],1628971,,,1610612751,12,18,2021-12-01T00:44:37Z,650000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M58.00S,2021-12-01T00:43:47.0Z,1,REGULAR,freethrow,1 of 1,[],201935,,,1610612751,13,18,2021-12-01T00:43:47Z,660000,,,0,,J. Harden Free Throw 1 of 1 (11 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,11.0,,,,,,,,,,,,,,,,,,
67,PT05M44.00S,2021-12-01T00:44:04.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,5.338370565045992,48.529411764705884,1610612752,13,20,2021-12-01T00:44:10Z,670000,7.0,-2.0,1,left,E. Fournier driving Layup (4 PTS) (A. Burks 1 AST),"[203095, 202692]",1610612752.0,NYK,driving,,,Fournier,E. Fournier,,,,,0.77,Made,4.0,,,,,A. Burks,202692.0,1.0,,,,,,,,,,,
69,PT05M40.00S,2021-12-01T00:44:12.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,13,20,2021-12-01T00:44:12Z,690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M33.00S,2021-12-01T00:44:32.7Z,1,REGULAR,3pt,Jump Shot,[],201142,69.46452036793693,25.245098039215684,1610612751,13,20,2021-12-01T00:44:38Z,700000,-124.0,235.0,1,right,MISS K. Durant 26' 3PT,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
71,PT05M28.00S,2021-12-01T00:44:37.7Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,13,20,2021-12-01T00:44:38Z,710000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,
72,PT05M25.00S,2021-12-01T00:44:41.5Z,1,REGULAR,turnover,bad pass,[],203095,,,1610612752,13,20,2021-12-01T00:44:45Z,720000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 1630560]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,1.0,Thomas,1630560.0,,,,,,
73,PT05M25.00S,2021-12-01T00:44:41.5Z,1,REGULAR,steal,,[],1630560,,,1610612751,13,20,2021-12-01T00:44:44Z,730000,,,0,,C. Thomas STEAL (1 STL),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M20.00S,2021-12-01T00:44:45.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628971,93.9060446780552,50.98039215686274,1610612751,15,20,2021-12-01T00:44:54Z,740000,5.0,5.0,1,right,B. Brown running Layup (2 PTS) (C. Thomas 1 AST),"[1628971, 1630560]",1610612751.0,BKN,running,,,Brown,B. Brown,,,,,0.69,Made,2.0,,,,,C. Thomas,1630560.0,1.0,,,,,,,,,,,
76,PT05M08.00S,2021-12-01T00:44:57.7Z,1,REGULAR,3pt,Jump Shot,[],202692,25.837713534822605,82.1078431372549,1610612752,15,20,2021-12-01T00:45:59Z,760000,-161.0,190.0,1,left,MISS A. Burks 24' step back 3PT,[202692],1610612752.0,NYK,step back,,,Burks,A. Burks,,,,,24.9,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M05.00S,2021-12-01T00:45:00.7Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,15,20,2021-12-01T00:45:05Z,770000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,
78,PT04M58.00S,2021-12-01T00:45:08.2Z,1,REGULAR,foul,personal,['3freethrow'],203944,,,1610612751,15,20,2021-12-01T00:45:24Z,780000,,,0,,J. Randle shooting personal FOUL (1 PF) (Harden 3 FT),"[203944, 201935]",1610612752.0,NYK,shooting,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,1626301.0,1.0,0.0,Harden,201935.0,
80,PT04M58.00S,2021-12-01T00:45:38.6Z,1,REGULAR,instantreplay,request,[],0,,,1610612751,15,20,2021-12-01T00:46:42Z,800000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,,,,1626301.0,,,,,Support 3 FTs
81,PT04M58.00S,2021-12-01T00:45:54.4Z,1,REGULAR,freethrow,1 of 3,[],201935,,,1610612751,16,20,2021-12-01T00:45:54Z,810000,,,0,,J. Harden Free Throw 1 of 3 (12 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,12.0,,,,,,,,,,,,,,,,,,
82,PT04M58.00S,2021-12-01T00:46:12.3Z,1,REGULAR,freethrow,2 of 3,[],201935,,,1610612751,17,20,2021-12-01T00:46:12Z,820000,,,0,,J. Harden Free Throw 2 of 3 (13 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,13.0,,,,,,,,,,,,,,,,,,
83,PT04M58.00S,2021-12-01T00:46:13.3Z,1,REGULAR,substitution,out,[],1629011,,,1610612751,17,20,2021-12-01T00:46:19Z,830000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M58.00S,2021-12-01T00:46:13.3Z,1,REGULAR,substitution,in,[],203457,,,1610612751,17,20,2021-12-01T00:46:19Z,840000,,,0,,SUB in: N. Noel,[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M58.00S,2021-12-01T00:46:31.9Z,1,REGULAR,freethrow,3 of 3,[],201935,,,1610612751,18,20,2021-12-01T00:46:31Z,850000,,,0,,J. Harden Free Throw 3 of 3 (14 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,14.0,,,,,,,,,,,,,,,,,,
86,PT04M50.00S,2021-12-01T00:46:42.7Z,1,REGULAR,2pt,Jump Shot,[],202692,27.94021024967148,53.431372549019606,1610612752,18,22,2021-12-01T00:46:48Z,860000,-17.0,210.0,1,left,A. Burks 21' pullup Jump Shot (6 PTS),[202692],1610612752.0,NYK,pullup,,,Burks,A. Burks,,,,,21.08,Made,6.0,,,,,,,,,,,,,,,,,,
87,PT04M40.00S,2021-12-01T00:46:53.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],200746,92.9862023653088,51.225490196078425,1610612751,20,22,2021-12-01T00:47:16Z,870000,6.0,13.0,1,right,L. Aldridge cutting DUNK (2 PTS) (K. Durant 2 AST),"[200746, 201142]",1610612751.0,BKN,cutting,,,Aldridge,L. Aldridge,,,,,1.47,Made,2.0,,,,,K. Durant,201142.0,2.0,,,,,,,,,,,
89,PT04M17.00S,2021-12-01T00:47:23.6Z,1,REGULAR,2pt,Jump Shot,[],203944,7.046649145860711,75.0,1610612752,20,22,2021-12-01T00:47:57Z,890000,-125.0,14.0,1,left,MISS J. Randle 12' fadeaway Shot,[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,12.57,Missed,,,,,,,,,,,,,,,,,,,
90,PT04M14.00S,2021-12-01T00:47:26.6Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,20,22,2021-12-01T00:47:32Z,900000,,,0,,L. Aldridge REBOUND (Off:0 Def:2),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,89.0,2.0,2.0,0.0,,,,,,,,,,,,,,
91,PT04M04.00S,2021-12-01T00:47:38.6Z,1,REGULAR,foul,personal,['2freethrow'],202692,,,1610612751,20,22,2021-12-01T00:47:51Z,910000,,,0,,A. Burks shooting personal FOUL (1 PF) (Harden 2 FT),"[202692, 201935]",1610612752.0,NYK,shooting,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,200834.0,1.0,0.0,Harden,201935.0,
93,PT04M04.00S,2021-12-01T00:48:03.4Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612751,21,22,2021-12-01T00:48:27Z,930000,,,0,,J. Harden Free Throw 1 of 2 (15 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,15.0,,,,,,,,,,,,,,,,,,
