actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
22,PT10M33.00S,2022-03-27T23:43:44.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203083,,,1610612751,3,4,2022-03-27T23:43:44Z,220000,,,0,,MISS A. Drummond Free Throw 1 of 2,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,Missed,,,,,,,,,,,,,,,,,,
23,PT10M33.00S,2022-03-27T23:43:44.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,3,4,2022-03-27T23:43:44Z,230000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,
24,PT10M33.00S,2022-03-27T23:43:56.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203083,,,1610612751,4,4,2022-03-27T23:43:57Z,240000,,,0,,A. Drummond Free Throw 2 of 2 (1 PTS),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
25,PT10M16.00S,2022-03-27T23:44:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,6.1268068331143235,52.94117647058824,1610612766,4,4,2022-03-27T23:44:17Z,250000,-15.0,5.0,1,left,MISS P. Washington driving Layup,[1629023],1610612766.0,CHA,driving,,,Washington,P. Washington,,,,,1.56,Missed,,,,,,,,,,,,,,,,,,
26,PT10M14.00S,2022-03-27T23:44:15.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,4,4,2022-03-27T23:44:17Z,260000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,
27,PT10M11.00S,2022-03-27T23:44:19.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628971,93.77463863337714,53.431372549019606,1610612751,4,4,2022-03-27T23:44:34Z,270000,17.0,6.0,1,right,MISS B. Brown running Layup,[1628971],1610612751.0,BKN,running,,,Brown,B. Brown,,,,,1.82,Missed,,,,,,,,,,,,,,,,,,
28,PT10M08.00S,2022-03-27T23:44:22.4Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,4,4,2022-03-27T23:44:27Z,280000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,
29,PT09M56.00S,2022-03-27T23:44:34.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,11.645860709592641,49.26470588235294,1610612766,4,4,2022-03-27T23:44:37Z,290000,4.0,57.0,1,left,MISS M. Bridges driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,5.71,Missed,,,,,,,,,,,,,,,,,,
30,PT09M54.00S,2022-03-27T23:44:36.0Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,4,4,2022-03-27T23:44:37Z,300000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,,,,,
31,PT09M52.00S,2022-03-27T23:44:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628970,7.440867279894875,47.794117647058826,1610612766,4,6,2022-03-27T23:44:45Z,310000,11.0,17.0,1,left,M. Bridges putback Layup (2 PTS),[1628970],1610612766.0,CHA,putback,,,Bridges,M. Bridges,,,,,2.06,Made,,,,,,,,,,,,2.0,,,,,,
32,PT09M42.00S,2022-03-27T23:44:47.7Z,1,REGULAR,turnover,bad pass,[],202681,,,1610612751,4,6,2022-03-27T23:44:51Z,320000,,,0,,K. Irving bad pass TURNOVER (1 TO),"[202681, 1630163]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,1.0,Ball,1630163.0
33,PT09M42.00S,2022-03-27T23:44:47.7Z,1,REGULAR,steal,,[],1630163,,,1610612766,4,6,2022-03-27T23:44:49Z,330000,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M35.00S,2022-03-27T23:44:54.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1626179,5.075558475689881,96.32352941176471,1610612766,4,9,2022-03-27T23:45:03Z,340000,-232.0,-5.0,1,left,T. Rozier 3PT  (3 PTS) (L. Ball 1 AST),"[1626179, 1630163]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,23.16,Made,,,,,,,,,,,,3.0,L. Ball,1630163.0,1.0,,,
36,PT09M19.00S,2022-03-27T23:45:10.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,93.24901445466492,53.92156862745098,1610612751,6,9,2022-03-27T23:45:17Z,360000,20.0,11.0,1,right,A. Drummond cutting Layup (3 PTS) (K. Durant 2 AST),"[203083, 201142]",1610612751.0,BKN,cutting,,,Drummond,A. Drummond,,,,,2.25,Made,,,,,,,,,,,,3.0,K. Durant,201142.0,2.0,,,
38,PT09M00.00S,2022-03-27T23:45:29.4Z,1,REGULAR,2pt,Jump Shot,[],203486,10.5946123521682,29.65686274509804,1610612766,6,9,2022-03-27T23:45:34Z,380000,102.0,47.0,1,left,MISS M. Plumlee 11' floating Shot - blocked,"[203486, 203083]",1610612766.0,CHA,floating,,,Plumlee,M. Plumlee,,,,,11.21,Missed,Drummond,203083.0,,,,,,,,,,,,,,,,
39,PT09M00.00S,2022-03-27T23:45:29.4Z,1,REGULAR,block,,[],203083,,,1610612766,6,9,2022-03-27T23:45:32Z,390000,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M57.00S,2022-03-27T23:45:32.4Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,6,9,2022-03-27T23:45:34Z,400000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,
41,PT08M55.00S,2022-03-27T23:45:34.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202681,68.80749014454665,62.5,1610612751,6,9,2022-03-27T23:45:40Z,410000,62.0,241.0,1,right,MISS K. Irving 24' running pullup 3PT,[202681],1610612751.0,BKN,running pullup,,,Irving,K. Irving,,,,,24.87,Missed,,,,,,,,,,,,,,,,,,
42,PT08M52.00S,2022-03-27T23:45:37.5Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,6,9,2022-03-27T23:45:40Z,420000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,
43,PT08M46.00S,2022-03-27T23:45:43.9Z,1,REGULAR,3pt,Jump Shot,[],1626179,31.35676741130092,67.15686274509804,1610612766,6,9,2022-03-27T23:45:48Z,430000,-86.0,242.0,1,left,MISS T. Rozier 25' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,25.7,Missed,,,,,,,,,,,,,,,,,,
44,PT08M43.00S,2022-03-27T23:45:46.9Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,6,9,2022-03-27T23:45:48Z,440000,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,
45,PT08M32.00S,2022-03-27T23:45:57.2Z,1,REGULAR,3pt,Jump Shot,[],201142,93.77463863337714,97.30392156862744,1610612751,6,9,2022-03-27T23:46:01Z,450000,237.0,6.0,1,right,MISS K. Durant 3PT,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,23.66,Missed,,,,,,,,,,,,,,,,,,
46,PT08M29.00S,2022-03-27T23:46:00.2Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,6,9,2022-03-27T23:46:01Z,460000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,
47,PT08M18.00S,2022-03-27T23:46:11.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,6.1268068331143235,55.88235294117647,1610612766,6,9,2022-03-27T23:46:17Z,470000,-29.0,5.0,1,left,MISS M. Bridges driving Layup - blocked,"[1628970, 203552]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,2.98,Missed,Curry,203552.0,,,,,,,,,,,,,,,,
48,PT08M18.00S,2022-03-27T23:46:11.4Z,1,REGULAR,block,,[],203552,,,1610612766,6,9,2022-03-27T23:46:13Z,480000,,,0,,S. Curry BLOCK (1 BLK),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M15.00S,2022-03-27T23:46:14.4Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,6,9,2022-03-27T23:46:17Z,490000,,,0,,A. Drummond REBOUND (Off:0 Def:3),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,47.0,3.0,3.0,0.0,,,,,,,,,,,,
50,PT08M14.00S,2022-03-27T23:46:16.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628971,94.56307490144546,51.470588235294116,1610612751,8,9,2022-03-27T23:49:36Z,500000,7.0,-1.0,1,right,B. Brown running DUNK (2 PTS) (K. Durant 3 AST),"[1628971, 201142]",1610612751.0,BKN,running,,,Brown,B. Brown,,,,,0.75,Made,,,,,,,,,,,,2.0,K. Durant,201142.0,3.0,,,
52,PT08M05.00S,2022-03-27T23:46:24.0Z,1,REGULAR,3pt,Jump Shot,[],1630163,23.603810775295663,86.27450980392157,1610612766,8,12,2022-03-27T23:46:30Z,520000,-181.0,169.0,1,left,L. Ball 24' 3PT step back (5 PTS),[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,24.82,Made,,,,,,,,,,,,5.0,,,,,,
53,PT07M52.00S,2022-03-27T23:46:42.4Z,1,REGULAR,foul,offensive,[],203083,,,1610612751,8,12,2022-03-27T23:47:25Z,530000,,,0,,A. Drummond offensive FOUL (1 PF),"[203083, 1628970]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,203593.0,1.0,0.0,Bridges,1628970.0,,,,,,,
55,PT07M52.00S,2022-03-27T23:46:42.4Z,1,REGULAR,turnover,offensive foul,[],203083,,,1610612751,8,12,2022-03-27T23:46:42Z,550000,,,0,,A. Drummond offensive foul TURNOVER (1 TO),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,203593.0,,,,,,,,,1.0,,
56,PT07M35.00S,2022-03-27T23:47:11.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626179,17.69053876478318,44.36274509803921,1610612766,8,14,2022-03-27T23:47:16Z,560000,28.0,114.0,1,left,T. Rozier 11' floating Jump Shot (5 PTS),[1626179],1610612766.0,CHA,floating,,,Rozier,T. Rozier,,,,,11.72,Made,,,,,,,,,,,,5.0,,,,,,
57,PT07M13.00S,2022-03-27T23:47:32.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203083,89.17542706964521,57.84313725490197,1610612751,10,14,2022-03-27T23:47:37Z,570000,39.0,49.0,1,right,A. Drummond 6' Hook (5 PTS),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,6.3,Made,,,,,,,,,,,,5.0,,,,,,
58,PT06M58.00S,2022-03-27T23:47:48.1Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612766,10,14,2022-03-27T23:47:51Z,580000,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 203083]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,1.0,Drummond,203083.0
59,PT06M58.00S,2022-03-27T23:47:48.1Z,1,REGULAR,steal,,[],203083,,,1610612751,10,14,2022-03-27T23:47:50Z,590000,,,0,,A. Drummond STEAL (1 STL),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M53.00S,2022-03-27T23:47:53.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201142,70.64717477003943,74.50980392156863,1610612751,13,14,2022-03-27T23:47:59Z,600000,123.0,223.0,1,right,K. Durant 25' 3PT running (3 PTS) (B. Brown 1 AST),"[201142, 1628971]",1610612751.0,BKN,running,,,Durant,K. Durant,,,,,25.48,Made,,,,,,,,,,,,3.0,B. Brown,1628971.0,1.0,,,
62,PT06M34.00S,2022-03-27T23:48:12.4Z,1,REGULAR,3pt,Jump Shot,[],1626179,3.7614980289093296,95.58823529411765,1610612766,13,14,2022-03-27T23:48:19Z,620000,-228.0,-17.0,1,left,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,22.85,Missed,,,,,,,,,,,,,,,,,,
63,PT06M30.00S,2022-03-27T23:48:16.4Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,13,14,2022-03-27T23:48:19Z,630000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,
64,PT06M27.00S,2022-03-27T23:48:19.9Z,1,REGULAR,foul,personal,['3freethrow'],1628970,,,1610612751,13,14,2022-03-27T23:51:42Z,640000,,,0,,M. Bridges shooting personal FOUL (1 PF) (Durant 3 FT),"[1628970, 201142]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,,,,,,,,,101283.0,1.0,0.0,Durant,201142.0,,,,,,,
66,PT06M27.00S,2022-03-27T23:48:32.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,13,14,2022-03-27T23:48:32Z,660000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M27.00S,2022-03-27T23:51:50.8Z,1,REGULAR,freethrow,1 of 3,['fastbreak'],201142,,,1610612751,14,14,2022-03-27T23:51:50Z,670000,,,0,,K. Durant Free Throw 1 of 3 (4 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,,,,,,,,,,,4.0,,,,,,
68,PT06M27.00S,2022-03-27T23:52:05.9Z,1,REGULAR,freethrow,2 of 3,['fastbreak'],201142,,,1610612751,15,14,2022-03-27T23:52:05Z,680000,,,0,,K. Durant Free Throw 2 of 3 (5 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,,,,,,,,,,,5.0,,,,,,
69,PT06M27.00S,2022-03-27T23:52:24.2Z,1,REGULAR,freethrow,3 of 3,['fastbreak'],201142,,,1610612751,16,14,2022-03-27T23:52:24Z,690000,,,0,,K. Durant Free Throw 3 of 3 (6 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,,,,,,,,,,,6.0,,,,,,
70,PT06M06.00S,2022-03-27T23:52:46.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203486,5.338370565045992,50.49019607843137,1610612766,16,14,2022-03-27T23:52:52Z,700000,-2.0,-2.0,1,left,MISS M. Plumlee driving DUNK,[203486],1610612766.0,CHA,driving,,,Plumlee,M. Plumlee,,,,,0.34,Missed,,,,,,,,,,,,,,,,,,
71,PT06M03.00S,2022-03-27T23:52:49.8Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,16,14,2022-03-27T23:52:52Z,710000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,
72,PT05M57.00S,2022-03-27T23:52:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,94.30026281208936,49.50980392156863,1610612751,16,14,2022-03-27T23:52:59Z,720000,-2.0,1.0,1,right,MISS K. Irving driving Layup,[202681],1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,0.27,Missed,,,,,,,,,,,,,,,,,,
73,PT05M55.00S,2022-03-27T23:52:56.9Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,16,14,2022-03-27T23:52:59Z,730000,,,0,,B. Brown REBOUND (Off:1 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,72.0,2.0,1.0,1.0,,,,,,,,,,,,
74,PT05M54.00S,2022-03-27T23:52:58.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628971,94.56307490144546,49.26470588235294,1610612751,18,14,2022-03-27T23:53:02Z,740000,-4.0,-1.0,1,right,B. Brown putback Layup (4 PTS),[1628971],1610612751.0,BKN,putback,,,Brown,B. Brown,,,,,0.4,Made,,,,,,,,,,,,4.0,,,,,,
75,PT05M37.00S,2022-03-27T23:53:15.1Z,1,REGULAR,3pt,Jump Shot,[],1630163,20.71287779237845,9.068627450980392,1610612766,18,17,2022-03-27T23:53:26Z,750000,205.0,142.0,1,left,L. Ball 24' 3PT  (8 PTS) (M. Plumlee 1 AST),"[1630163, 203486]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,24.92,Made,,,,,,,,,,,,8.0,M. Plumlee,203486.0,1.0,,,
77,PT05M20.00S,2022-03-27T23:53:32.1Z,1,REGULAR,3pt,Jump Shot,[],203552,72.09264126149803,76.47058823529412,1610612751,18,17,2022-03-27T23:53:37Z,770000,132.0,210.0,1,right,MISS S. Curry 24' 3PT,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,24.81,Missed,,,,,,,,,,,,,,,,,,
78,PT05M15.00S,2022-03-27T23:53:36.9Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,18,17,2022-03-27T23:53:36Z,780000,,,0,,B. Brown REBOUND (Off:2 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,77.0,3.0,1.0,2.0,,,,,,,,,,,,
79,PT05M14.00S,2022-03-27T23:53:38.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202681,93.64323258869908,96.81372549019608,1610612751,18,17,2022-03-27T23:53:42Z,790000,234.0,7.0,1,right,MISS K. Irving 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,23.42,Missed,,,,,,,,,,,,,,,,,,
80,PT05M12.00S,2022-03-27T23:53:40.1Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,18,17,2022-03-27T23:53:42Z,800000,,,0,,M. Plumlee REBOUND (Off:0 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,79.0,2.0,2.0,0.0,,,,,,,,,,,,
81,PT05M07.00S,2022-03-27T23:53:48.1Z,1,REGULAR,foul,personal,[],202681,,,1610612766,18,17,2022-03-27T23:54:09Z,810000,,,0,,K. Irving personal FOUL (1 PF),"[202681, 1630163]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,203593.0,1.0,0.0,Ball,1630163.0,,,,,,,
83,PT05M07.00S,2022-03-27T23:53:54.3Z,1,REGULAR,substitution,out,[],203083,,,1610612766,18,17,2022-03-27T23:54:09Z,830000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M07.00S,2022-03-27T23:53:54.3Z,1,REGULAR,substitution,out,[],203552,,,1610612766,18,17,2022-03-27T23:54:09Z,840000,,,0,,SUB out: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M07.00S,2022-03-27T23:53:54.3Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,18,17,2022-03-27T23:54:09Z,850000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M07.00S,2022-03-27T23:53:54.3Z,1,REGULAR,substitution,out,[],203486,,,1610612766,18,17,2022-03-27T23:54:09Z,860000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M07.00S,2022-03-27T23:53:54.3Z,1,REGULAR,substitution,out,[],1630163,,,1610612766,18,17,2022-03-27T23:54:09Z,870000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M07.00S,2022-03-27T23:53:54.3Z,1,REGULAR,substitution,in,[],201609,,,1610612766,18,17,2022-03-27T23:54:09Z,880000,,,0,,SUB in: G. Dragic,[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M07.00S,2022-03-27T23:53:54.3Z,1,REGULAR,substitution,in,[],1629651,,,1610612766,18,17,2022-03-27T23:54:09Z,890000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,
