actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
18,PT10M29.00S,2022-01-16T00:43:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,94.43166885676742,43.872549019607845,1610612740,2,2,2022-01-16T00:43:30Z,180000,-31.0,0.0,1,right,MISS H. Jones driving Layup - blocked,"[1630529, 1630549]",1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,,,,,,3.06,Missed,,,,,,,,,,,,Sharpe,1630549.0,
19,PT10M29.00S,2022-01-16T00:43:26.3Z,1,REGULAR,block,,[],1630549,,,1610612740,2,2,2022-01-16T00:43:28Z,190000,,,0,,D. Sharpe BLOCK (1 BLK),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2022-01-16T00:43:29.3Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,2,2,2022-01-16T00:43:30Z,200000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,
21,PT10M24.00S,2022-01-16T00:43:32.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201988,4.944152431011826,3.6764705882352944,1610612751,5,2,2022-01-16T00:43:39Z,210000,232.0,-6.0,1,left,P. Mills 3PT running (3 PTS) (J. Harden 1 AST),"[201988, 201935]",1610612751.0,BKN,running,,,Mills,P. Mills,,,,,,,,,,23.17,Made,3.0,J. Harden,201935.0,1.0,,,,,,,,,,
23,PT09M59.00S,2022-01-16T00:43:55.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,86.5473061760841,35.53921568627451,1610612740,5,2,2022-01-16T00:43:59Z,230000,-72.0,74.0,1,right,MISS J. Valanciunas 10' turnaround fadeaway Shot,[202685],1610612740.0,NOP,turnaround fadeaway,,,Valanciunas,J. Valanciunas,,,,,,,,,,10.35,Missed,,,,,,,,,,,,,,
24,PT09M57.00S,2022-01-16T00:43:57.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,5,2,2022-01-16T00:43:59Z,240000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,
25,PT09M51.00S,2022-01-16T00:44:04.9Z,1,REGULAR,3pt,Jump Shot,[],201988,6.652431011826544,94.36274509803921,1610612751,5,2,2022-01-16T00:44:11Z,250000,-222.0,10.0,1,left,MISS P. Mills 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,22.2,Missed,,,,,,,,,,,,,,
26,PT09M46.00S,2022-01-16T00:44:09.9Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,5,2,2022-01-16T00:44:42Z,260000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,
27,PT09M45.00S,2022-01-16T00:44:14.8Z,1,REGULAR,foul,personal,[],201988,,,1610612740,5,2,2022-01-16T00:44:37Z,270000,,,0,,P. Mills personal FOUL (1 PF),"[201988, 1628404]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,1627962.0,1.0,0.0,Hart,1628404.0,,,,,,,,,,,,,,,,
30,PT09M36.00S,2022-01-16T00:44:50.2Z,1,REGULAR,foul,personal,['2freethrow'],1630556,,,1610612740,5,2,2022-01-16T00:44:58Z,300000,,,0,,K. Edwards shooting personal FOUL (1 PF) (Ingram 2 FT),"[1630556, 1627742]",1610612751.0,BKN,shooting,,,Edwards,K. Edwards,,,,,1627962.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,,,,,,,
32,PT09M36.00S,2022-01-16T00:45:07.1Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,5,2,2022-01-16T00:45:07Z,320000,,,0,,MISS B. Ingram Free Throw 1 of 2,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,Missed,,,,,,,,,,,,,,
33,PT09M36.00S,2022-01-16T00:45:07.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,5,2,2022-01-16T00:45:07Z,330000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,
34,PT09M36.00S,2022-01-16T00:45:29.5Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612740,5,3,2022-01-16T00:45:29Z,340000,,,0,,B. Ingram Free Throw 2 of 2 (1 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
35,PT09M22.00S,2022-01-16T00:45:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,5.863994743758213,51.71568627450981,1610612751,7,3,2022-01-16T00:45:49Z,350000,-9.0,3.0,1,left,J. Harden driving Layup (2 PTS),[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,,,,,,0.9,Made,2.0,,,,,,,,,,,,,
36,PT08M59.00S,2022-01-16T00:46:06.9Z,1,REGULAR,3pt,Jump Shot,[],1628984,94.43166885676742,95.58823529411765,1610612740,7,3,2022-01-16T00:46:12Z,360000,228.0,0.0,1,right,MISS D. Graham 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,22.79,Missed,,,,,,,,,,,,,,
37,PT08M55.00S,2022-01-16T00:46:10.9Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,7,3,2022-01-16T00:46:12Z,370000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,36.0,2.0,2.0,0.0,,,,,,
38,PT08M51.00S,2022-01-16T00:46:15.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201935,5.732588699080158,51.71568627450981,1610612751,9,3,2022-01-16T00:46:20Z,380000,-9.0,1.0,1,left,J. Harden running finger roll Layup (4 PTS),[201935],1610612751.0,BKN,running finger roll,,,Harden,J. Harden,,,,,,,,,,0.87,Made,4.0,,,,,,,,,,,,,
39,PT08M41.00S,2022-01-16T00:46:25.6Z,1,REGULAR,3pt,Jump Shot,[],1627742,94.43166885676742,97.05882352941177,1610612740,9,6,2022-01-16T00:46:31Z,390000,235.0,0.0,1,right,B. Ingram 3PT  (4 PTS) (D. Graham 1 AST),"[1627742, 1628984]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,23.53,Made,4.0,D. Graham,1628984.0,1.0,,,,,,,,,,
41,PT08M25.00S,2022-01-16T00:46:42.8Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612751,9,6,2022-01-16T00:46:53Z,410000,,,0,,H. Jones shooting personal FOUL (1 PF) (Durant 2 FT),"[1630529, 201142]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,1627962.0,1.0,0.0,Durant,201142.0,,,,,,,,,,,,,,,,
43,PT08M25.00S,2022-01-16T00:47:06.3Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,10,6,2022-01-16T00:47:06Z,430000,,,0,,K. Durant Free Throw 1 of 2 (3 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
44,PT08M25.00S,2022-01-16T00:47:22.8Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,11,6,2022-01-16T00:47:22Z,440000,,,0,,K. Durant Free Throw 2 of 2 (4 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
45,PT08M14.00S,2022-01-16T00:47:35.5Z,1,REGULAR,2pt,Jump Shot,[],202685,89.70105124835742,30.88235294117647,1610612740,11,8,2022-01-16T00:47:41Z,450000,-96.0,44.0,1,right,J. Valanciunas 10' Jump Shot (2 PTS) (D. Graham 2 AST),"[202685, 1628984]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,10.54,Made,2.0,D. Graham,1628984.0,2.0,,,,,,,,,,
47,PT07M51.00S,2022-01-16T00:47:58.3Z,1,REGULAR,2pt,Jump Shot,[],201142,26.231931668856767,30.637254901960787,1610612751,11,8,2022-01-16T00:48:02Z,470000,97.0,194.0,1,left,MISS K. Durant 21' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,,,21.69,Missed,,,,,,,,,,,,,,
48,PT07M48.00S,2022-01-16T00:48:01.3Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,11,8,2022-01-16T00:48:02Z,480000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,,,
49,PT07M39.00S,2022-01-16T00:48:10.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,81.15965834428384,63.725490196078425,1610612740,11,10,2022-01-16T00:48:19Z,490000,69.0,125.0,1,right,B. Ingram 14' turnaround Jump Shot (6 PTS),[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,,,,,,14.22,Made,6.0,,,,,,,,,,,,,
50,PT07M26.00S,2022-01-16T00:48:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201988,5.338370565045992,52.450980392156865,1610612751,13,10,2022-01-16T00:48:28Z,500000,-12.0,-2.0,1,left,P. Mills driving Layup (5 PTS),[201988],1610612751.0,BKN,driving,,,Mills,P. Mills,,,,,,,,,,1.25,Made,5.0,,,,,,,,,,,,,
51,PT07M12.00S,2022-01-16T00:48:37.5Z,1,REGULAR,2pt,Jump Shot,[],202685,95.48291721419186,77.45098039215686,1610612740,13,10,2022-01-16T00:48:43Z,510000,137.0,-10.0,1,right,MISS J. Valanciunas 13' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,13.77,Missed,,,,,,,,,,,,,,
52,PT07M09.00S,2022-01-16T00:48:40.5Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,13,10,2022-01-16T00:48:43Z,520000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,
53,PT07M03.00S,2022-01-16T00:48:47.4Z,1,REGULAR,2pt,Jump Shot,[],201142,23.078186596583443,50.98039215686274,1610612751,15,10,2022-01-16T00:49:30Z,530000,-5.0,164.0,1,left,K. Durant 16' pullup Jump Shot (6 PTS) (J. Harden 2 AST),"[201142, 201935]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,,,16.45,Made,6.0,J. Harden,201935.0,2.0,,,,,,,,,,
55,PT07M03.00S,2022-01-16T00:48:51.6Z,1,REGULAR,foul,personal,['1freethrow'],1630529,,,1610612751,15,10,2022-01-16T00:49:01Z,550000,,,0,,H. Jones shooting personal FOUL (2 PF) (Durant 1 FT),"[1630529, 201142]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,1627539.0,2.0,0.0,Durant,201142.0,,,,,,,,,,,,,,,,
57,PT07M03.00S,2022-01-16T00:49:04.9Z,1,REGULAR,substitution,out,[],1630529,,,1610612751,15,10,2022-01-16T00:49:30Z,570000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M03.00S,2022-01-16T00:49:04.9Z,1,REGULAR,substitution,in,[],202066,,,1610612751,15,10,2022-01-16T00:49:30Z,580000,,,0,,SUB in: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M03.00S,2022-01-16T00:49:25.6Z,1,REGULAR,freethrow,1 of 1,[],201142,,,1610612751,16,10,2022-01-16T00:49:25Z,590000,,,0,,K. Durant Free Throw 1 of 1 (7 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,
60,PT06M54.00S,2022-01-16T00:49:41.1Z,1,REGULAR,turnover,out-of-bounds,[],1628984,,,1610612740,16,10,2022-01-16T00:49:48Z,600000,,,0,,D. Graham lost ball out-of-bounds TURNOVER (2 TO),[1628984],1610612740.0,NOP,lost ball,,,Graham,D. Graham,,,,,1627962.0,,,,,,,,,,,,,,,2.0,,,,,
61,PT06M54.00S,2022-01-16T00:49:48.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,16,10,2022-01-16T00:49:48Z,610000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M54.00S,2022-01-16T00:49:49.6Z,1,REGULAR,substitution,in,[],1630560,,,1610612751,16,10,2022-01-16T00:52:33Z,630000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M54.00S,2022-01-16T00:49:49.6Z,1,REGULAR,substitution,out,[],201988,,,1610612751,16,10,2022-01-16T00:55:05Z,635000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M35.00S,2022-01-16T00:52:58.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630549,20.71287779237845,40.19607843137255,1610612751,16,10,2022-01-16T00:53:04Z,640000,49.0,142.0,1,left,MISS D. Sharpe 15' Jump Shot,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,15.04,Missed,,,,,,,,,,,,,,
65,PT06M30.00S,2022-01-16T00:53:03.6Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,16,10,2022-01-16T00:53:04Z,650000,,,0,,J. Hart REBOUND (Off:0 Def:3),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,64.0,3.0,3.0,0.0,,,,,,
66,PT06M27.00S,2022-01-16T00:53:06.1Z,1,REGULAR,turnover,lost ball,[],1628404,,,1610612740,16,10,2022-01-16T00:53:13Z,660000,,,0,,J. Hart lost ball TURNOVER (1 TO),"[1628404, 201142]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,1.0,Durant,201142.0,,,
67,PT06M27.00S,2022-01-16T00:53:06.1Z,1,REGULAR,steal,,[],201142,,,1610612751,16,10,2022-01-16T00:53:08Z,670000,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M22.00S,2022-01-16T00:53:10.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630549,5.863994743758213,47.549019607843135,1610612751,18,10,2022-01-16T00:53:17Z,680000,12.0,3.0,1,left,D. Sharpe running DUNK (2 PTS) (J. Harden 3 AST),"[1630549, 201935]",1610612751.0,BKN,running,,,Sharpe,D. Sharpe,,,,,,,,,,1.26,Made,2.0,J. Harden,201935.0,3.0,,,,,,,,,,
70,PT06M03.00S,2022-01-16T00:53:29.9Z,1,REGULAR,2pt,Jump Shot,[],1627742,92.32917214191852,73.2843137254902,1610612740,18,10,2022-01-16T00:53:39Z,700000,116.0,20.0,1,right,MISS B. Ingram 11' turnaround Shot,[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,,,,,,11.8,Missed,,,,,,,,,,,,,,
71,PT06M00.00S,2022-01-16T00:53:32.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,18,10,2022-01-16T00:53:39Z,710000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,
72,PT06M00.00S,2022-01-16T00:53:37.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,18,10,2022-01-16T00:53:37Z,720000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M46.00S,2022-01-16T00:53:54.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,17.16491458607096,44.11764705882353,1610612751,18,10,2022-01-16T00:54:03Z,730000,29.0,109.0,1,left,MISS J. Harden 11' driving floating Shot,[201935],1610612751.0,BKN,driving floating,,,Harden,J. Harden,,,,,,,,,,11.28,Missed,,,,,,,,,,,,,,
74,PT05M44.00S,2022-01-16T00:53:56.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,18,10,2022-01-16T00:54:03Z,740000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,
75,PT05M44.00S,2022-01-16T00:54:01.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,18,10,2022-01-16T00:54:01Z,750000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M35.00S,2022-01-16T00:54:22.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201142,21.76412614980289,70.58823529411765,1610612751,18,10,2022-01-16T00:54:27Z,760000,-103.0,152.0,1,left,MISS K. Durant 18' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,,,18.36,Missed,,,,,,,,,,,,,,
77,PT05M31.00S,2022-01-16T00:54:26.7Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,18,10,2022-01-16T00:54:27Z,770000,,,0,,D. Sharpe REBOUND (Off:1 Def:0),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,76.0,1.0,0.0,1.0,,,,,,
78,PT05M25.00S,2022-01-16T00:54:31.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,31.61957950065703,58.57843137254902,1610612751,21,10,2022-01-16T00:54:37Z,780000,-43.0,245.0,1,left,K. Durant 24' 3PT pullup (10 PTS) (K. Edwards 1 AST),"[201142, 1630556]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,,,24.84,Made,10.0,K. Edwards,1630556.0,1.0,,,,,,,,,,
80,PT05M08.00S,2022-01-16T00:54:49.1Z,1,REGULAR,3pt,Jump Shot,[],1628404,75.64060446780552,12.990196078431374,1610612740,21,13,2022-01-16T00:55:11Z,800000,-185.0,176.0,1,right,J. Hart 25' 3PT  (3 PTS) (B. Ingram 1 AST),"[1628404, 1627742]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,25.57,Made,3.0,B. Ingram,1627742.0,1.0,,,,,,,,,,
82,PT04M54.00S,2022-01-16T00:55:03.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,6.652431011826544,50.49019607843137,1610612751,23,13,2022-01-16T00:55:15Z,820000,-2.0,10.0,1,left,J. Harden driving Layup (6 PTS),[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,,,,,,1.03,Made,6.0,,,,,,,,,,,,,
84,PT04M38.00S,2022-01-16T00:55:18.6Z,1,REGULAR,3pt,Jump Shot,[],1628984,65.65374507227332,33.57843137254902,1610612740,23,16,2022-01-16T00:55:24Z,830000,-82.0,270.0,1,right,D. Graham 28' 3PT pullup (5 PTS) (B. Ingram 2 AST),"[1628984, 1627742]",1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,,,,,28.26,Made,5.0,B. Ingram,1627742.0,2.0,,,,,,,,,,
86,PT04M24.00S,2022-01-16T00:55:32.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,16.63929040735874,37.00980392156863,1610612751,25,16,2022-01-16T00:55:55Z,850000,65.0,104.0,1,left,C. Thomas 12' fadeaway Jump Shot (2 PTS),[1630560],1610612751.0,BKN,fadeaway,,,Thomas,C. Thomas,,,,,,,,,,12.26,Made,2.0,,,,,,,,,,,,,
87,PT04M02.00S,2022-01-16T00:55:59.9Z,1,REGULAR,foul,personal,[],1630549,,,1610612740,25,16,2022-01-16T00:56:16Z,860000,,,0,,D. Sharpe personal FOUL (1 PF),"[1630549, 202685]",1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,1662.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,
89,PT04M02.00S,2022-01-16T00:56:07.4Z,1,REGULAR,substitution,out,[],1630549,,,1610612740,25,16,2022-01-16T00:56:14Z,880000,,,0,,SUB out: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M02.00S,2022-01-16T00:56:07.4Z,1,REGULAR,substitution,out,[],1628984,,,1610612740,25,16,2022-01-16T00:56:14Z,890000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M02.00S,2022-01-16T00:56:07.4Z,1,REGULAR,substitution,out,[],202685,,,1610612740,25,16,2022-01-16T00:56:14Z,900000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M02.00S,2022-01-16T00:56:07.4Z,1,REGULAR,substitution,in,[],201933,,,1610612740,25,16,2022-01-16T00:56:14Z,910000,,,0,,SUB in: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M02.00S,2022-01-16T00:56:07.4Z,1,REGULAR,substitution,in,[],1630631,,,1610612740,25,16,2022-01-16T00:56:14Z,920000,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M02.00S,2022-01-16T00:56:07.4Z,1,REGULAR,substitution,in,[],1629637,,,1610612740,25,16,2022-01-16T00:56:14Z,930000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
