actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
42,PT07M59.00S,2025-10-28T00:19:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,15.193823915900131,36.76470588235294,1610612738,5,11,2025-10-28T00:19:12Z,410000,False,66.0,90.0,1,left,MISS P. Pritchard 11' pullup Shot,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Right,11.2,Missed,,,,,,,,,,,,,,,,,,
43,PT07M57.00S,2025-10-28T00:19:03.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,5,11,2025-10-28T00:19:12Z,420000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,42.0,,,,,,,,,,,,,
45,PT07M50.00S,2025-10-28T00:19:33.3Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612738,5,11,2025-10-28T00:19:47Z,440000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Brown 2 FT),"[1630530, 1627759]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,201245.0,,1.0,0.0,Brown,1627759.0,,
47,PT07M50.00S,2025-10-28T00:20:03.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627759,,,1610612738,5,11,2025-10-28T00:20:03Z,460000,False,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
48,PT07M50.00S,2025-10-28T00:20:03.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,5,11,2025-10-28T00:20:03Z,470000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,
49,PT07M50.00S,2025-10-28T00:20:22.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627759,,,1610612738,5,12,2025-10-28T00:20:22Z,480000,False,,,0,,J. Brown Free Throw 2 of 2 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
50,PT07M31.00S,2025-10-28T00:20:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,94.82588699080158,54.41176470588235,1610612740,5,12,2025-10-28T00:21:14Z,490000,False,22.0,-4.0,1,right,MISS J. Poole finger roll Layup - blocked,"[1629673, 1629674]",1610612740.0,NOP,finger roll,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,2.24,Missed,,,,,,Queta,1629674.0,,,,,,,,,,,
51,PT07M31.00S,2025-10-28T00:20:43.4Z,1,REGULAR,block,,[],1629674,,,1610612740,5,12,2025-10-28T00:20:46Z,500000,False,,,0,,N. Queta BLOCK (2 BLK),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
52,PT07M28.00S,2025-10-28T00:20:46.4Z,1,REGULAR,rebound,defensive,[],1631169,,,1610612738,5,12,2025-10-28T00:20:47Z,510000,False,,,0,,J. Minott REBOUND (Off:0 Def:2),[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,Restricted Area,0-8 Center,,,,,,,50.0,,,2.0,2.0,0.0,,,,,,,,
53,PT07M26.00S,2025-10-28T00:20:49.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,26.757555847568987,80.88235294117648,1610612738,5,15,2025-10-28T00:20:56Z,520000,False,-154.0,199.0,1,left,J. Brown 25' 3PT running (6 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.19,Made,6.0,,,,,,,,,,,,,,,,,
54,PT07M13.00S,2025-10-28T00:21:01.6Z,1,REGULAR,3pt,Jump Shot,[],1630530,67.09921156373193,52.450980392156865,1610612740,5,15,2025-10-28T00:21:57Z,530000,False,12.0,257.0,1,right,MISS T. Murphy III 25' pullup 3PT,[1630530],1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,25.71,Missed,,,,,,,,,,,,,,,,,,
55,PT07M10.00S,2025-10-28T00:21:04.6Z,1,REGULAR,rebound,defensive,[],1631169,,,1610612738,5,15,2025-10-28T00:21:04Z,540000,False,,,0,,J. Minott REBOUND (Off:0 Def:3),[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,Above the Break 3,24+ Center,,,,,,,54.0,,,3.0,3.0,0.0,,,,,,,,
56,PT07M04.00S,2025-10-28T00:21:10.1Z,1,REGULAR,3pt,Jump Shot,[],1628401,33.722076215505915,49.26470588235294,1610612738,5,15,2025-10-28T00:21:22Z,550000,False,4.0,264.0,1,left,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,26.45,Missed,,,,,,,,,,,,,,,,,,
57,PT07M04.00S,2025-10-28T00:21:10.1Z,1,REGULAR,rebound,offensive,[],1631169,,,1610612738,5,15,2025-10-28T00:21:22Z,560000,False,,,0,,J. Minott REBOUND (Off:1 Def:3),[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,Above the Break 3,24+ Center,,,,,,,56.0,,,4.0,3.0,1.0,,,,,,,,
58,PT07M03.00S,2025-10-28T00:21:31.3Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612738,5,15,2025-10-28T00:21:39Z,570000,False,,,0,,H. Jones shooting personal FOUL (1 PF) (Minott 2 FT),"[1630529, 1631169]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628485.0,,1.0,0.0,Minott,1631169.0,,
60,PT07M03.00S,2025-10-28T00:21:42.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1631169,,,1610612738,5,16,2025-10-28T00:21:42Z,590000,False,,,0,,J. Minott Free Throw 1 of 2 (3 PTS),[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
61,PT07M03.00S,2025-10-28T00:21:42.9Z,1,REGULAR,substitution,out,[],1630530,,,1610612738,5,16,2025-10-28T00:22:10Z,600000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M03.00S,2025-10-28T00:21:42.9Z,1,REGULAR,substitution,out,[],1629674,,,1610612738,5,16,2025-10-28T00:22:10Z,610000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M03.00S,2025-10-28T00:21:42.9Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,5,16,2025-10-28T00:22:10Z,620000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M03.00S,2025-10-28T00:21:42.9Z,1,REGULAR,substitution,in,[],1630180,,,1610612738,5,16,2025-10-28T00:22:10Z,630000,False,,,0,,SUB in: S. Bey,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M03.00S,2025-10-28T00:21:42.9Z,1,REGULAR,substitution,in,[],1630568,,,1610612738,5,16,2025-10-28T00:22:10Z,640000,False,,,0,,SUB in: L. Garza,[1630568],1610612738.0,BOS,,,,Garza,L. Garza,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M03.00S,2025-10-28T00:21:42.9Z,1,REGULAR,substitution,in,[],1629014,,,1610612738,5,16,2025-10-28T00:22:10Z,650000,False,,,0,,SUB in: A. Simons,[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M03.00S,2025-10-28T00:22:11.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1631169,,,1610612738,5,17,2025-10-28T00:22:11Z,660000,False,,,0,,J. Minott Free Throw 2 of 2 (4 PTS),[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
68,PT06M49.00S,2025-10-28T00:22:23.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642274,93.38042049934296,49.754901960784316,1610612740,7,17,2025-10-28T00:22:30Z,670000,False,-1.0,10.0,1,right,Y. Missi cutting DUNK (2 PTS) (J. Fears 1 AST),"[1642274, 1642847]",1610612740.0,NOP,cutting,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,0.98,Made,2.0,J. Fears,1642847.0,1.0,,,,,,,,,,,,,,
70,PT06M27.00S,2025-10-28T00:22:45.1Z,1,REGULAR,3pt,Jump Shot,[],1630202,34.510512483574246,48.77450980392157,1610612738,7,17,2025-10-28T00:23:11Z,690000,False,6.0,272.0,1,left,MISS P. Pritchard 27' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,27.2,Missed,,,,,,,,,,,,,,,,,,
71,PT06M23.00S,2025-10-28T00:22:49.1Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,7,17,2025-10-28T00:22:49Z,700000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Center,,,,,,,70.0,,,1.0,1.0,0.0,,,,,,,,
72,PT06M20.00S,2025-10-28T00:22:56.5Z,1,REGULAR,foul,personal,[],1631169,,,1610612740,7,17,2025-10-28T00:23:01Z,710000,False,,,0,,J. Minott personal FOUL (1 PF),"[1631169, 1629673]",1610612738.0,BOS,,,,Minott,J. Minott,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1628485.0,,1.0,0.0,Poole,1629673.0,,
74,PT06M20.00S,2025-10-28T00:23:01.3Z,1,REGULAR,substitution,out,[],1642847,,,1610612740,7,17,2025-10-28T00:23:12Z,730000,False,,,0,,SUB out: J. Fears,[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M20.00S,2025-10-28T00:23:01.3Z,1,REGULAR,substitution,out,[],1631169,,,1610612740,7,17,2025-10-28T00:23:12Z,740000,False,,,0,,SUB out: J. Minott,[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M20.00S,2025-10-28T00:23:01.3Z,1,REGULAR,substitution,in,[],1630631,,,1610612740,7,17,2025-10-28T00:23:12Z,750000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M20.00S,2025-10-28T00:23:01.3Z,1,REGULAR,substitution,in,[],1630573,,,1610612740,7,17,2025-10-28T00:23:12Z,760000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M03.00S,2025-10-28T00:23:39.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630631,87.86136662286465,53.18627450980392,1610612740,9,17,2025-10-28T00:23:43Z,770000,False,16.0,62.0,1,right,J. Alvarado 6' driving floating Jump Shot (2 PTS),[1630631],1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,6.36,Made,2.0,,,,,,,,,,,,,,,,,
79,PT05M51.00S,2025-10-28T00:23:51.5Z,1,REGULAR,3pt,Jump Shot,[],1630568,28.728646517739815,75.98039215686273,1610612738,9,20,2025-10-28T00:23:56Z,780000,False,-130.0,218.0,1,left,L. Garza 25' 3PT  (3 PTS) (J. Brown 1 AST),"[1630568, 1627759]",1610612738.0,BOS,,,,Garza,L. Garza,,,,,Above the Break 3,24+ Left Center,25.33,Made,3.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
81,PT05M39.00S,2025-10-28T00:24:03.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,92.85479632063075,46.32352941176471,1610612740,9,20,2025-10-28T00:24:08Z,800000,False,-18.0,15.0,1,right,MISS H. Jones driving Layup - blocked,"[1630529, 1630573]",1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,2.36,Missed,,,,,,Hauser,1630573.0,,,,,,,,,,,
82,PT05M39.00S,2025-10-28T00:24:03.5Z,1,REGULAR,block,,[],1630573,,,1610612740,9,20,2025-10-28T00:24:06Z,810000,False,,,0,,S. Hauser BLOCK (1 BLK),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
83,PT05M36.00S,2025-10-28T00:24:06.5Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,9,20,2025-10-28T00:24:08Z,820000,False,,,0,,Y. Missi REBOUND (Off:1 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,81.0,,,2.0,1.0,1.0,,,,,,,,
85,PT05M32.00S,2025-10-28T00:24:53.1Z,1,REGULAR,foul,personal,[],1629014,,,1610612740,9,20,2025-10-28T00:25:02Z,840000,False,,,0,,A. Simons personal FOUL (1 PF),"[1629014, 1629673]",1610612738.0,BOS,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1628485.0,,1.0,0.0,Poole,1629673.0,,
87,PT05M32.00S,2025-10-28T00:25:03.2Z,1,REGULAR,substitution,out,[],1642274,,,1610612740,9,20,2025-10-28T00:25:06Z,860000,False,,,0,,SUB out: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M32.00S,2025-10-28T00:25:03.2Z,1,REGULAR,substitution,in,[],1642852,,,1610612740,9,20,2025-10-28T00:25:06Z,870000,False,,,0,,SUB in: D. Queen,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M19.00S,2025-10-28T00:25:25.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630631,87.72996057818659,57.35294117647059,1610612740,9,20,2025-10-28T00:25:29Z,880000,False,37.0,63.0,1,right,MISS J. Alvarado 7' driving floating Shot,[1630631],1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,7.28,Missed,,,,,,,,,,,,,,,,,,
