actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M44.00S,2025-12-28T00:12:37.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631221,14.536793692509855,43.872549019607845,1610612756,2,1,2025-12-28T00:12:44Z,180000,False,31.0,84.0,1,left,MISS C. Gillespie 8' pullup Shot,[1631221],1610612756.0,PHX,pullup,,,Gillespie,C. Gillespie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,8.95,,,,,,,,,,,
20,PT10M41.00S,2025-12-28T00:12:40.4Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,2,1,2025-12-28T00:12:44Z,200000,False,,,0,,D. Queen REBOUND (Off:0 Def:1),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,18.0,,1.0,1.0,0.0,,,,,,,,
21,PT10M37.00S,2025-12-28T00:12:46.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642852,92.72339027595268,50.0,1610612740,4,1,2025-12-28T00:12:58Z,210000,False,0.0,16.0,1,right,D. Queen running Layup (2 PTS),[1642852],1610612740.0,NOP,running,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,1.59,,,,,,,,,,,
22,PT10M37.00S,2025-12-28T00:12:51.1Z,1,REGULAR,foul,personal,['1freethrow'],1642345,,,1610612740,4,1,2025-12-28T00:12:58Z,220000,False,,,0,,O. Ighodaro shooting personal FOUL (1 PF) (Queen 1 FT),"[1642345, 1642852]",1610612756.0,PHX,shooting,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,202007.0,1.0,0.0,Queen,1642852.0,,,,,,,,,,,,,,,
24,PT10M37.00S,2025-12-28T00:13:12.1Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1642852,,,1610612740,4,1,2025-12-28T00:13:15Z,240000,False,,,0,,MISS D. Queen Free Throw 1 of 1,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
25,PT10M35.00S,2025-12-28T00:13:14.1Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,4,1,2025-12-28T00:13:15Z,250000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,24.0,,1.0,1.0,0.0,,,,,,,,
26,PT10M24.00S,2025-12-28T00:13:24.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,8.229303547963205,68.13725490196079,1610612756,4,1,2025-12-28T00:13:29Z,260000,False,-91.0,25.0,1,left,MISS D. Booker 9' fadeaway Shot,[1626164],1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,,,,,,Missed,,,9.41,,,,,,,,,,,
27,PT10M23.00S,2025-12-28T00:13:25.2Z,1,REGULAR,rebound,defensive,[],1642847,,,1610612740,4,1,2025-12-28T00:14:31Z,270000,False,,,0,,J. Fears REBOUND (Off:0 Def:1),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Mid-Range,8-16 Left,,,,,,,,26.0,,1.0,1.0,0.0,,,,,,,,
28,PT10M17.00S,2025-12-28T00:13:31.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631121,93.11760840998686,52.450980392156865,1610612740,4,1,2025-12-28T00:13:37Z,280000,False,12.0,12.0,1,right,MISS B. McGowens running Layup,[1631121],1610612740.0,NOP,running,,,McGowens,B. McGowens,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.73,,,,,,,,,,,
29,PT10M15.00S,2025-12-28T00:13:33.1Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612756,4,1,2025-12-28T00:13:37Z,290000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,,,28.0,,1.0,1.0,0.0,,,,,,,,
30,PT10M05.00S,2025-12-28T00:13:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,7.703679369250986,54.41176470588235,1610612756,4,1,2025-12-28T00:15:20Z,300000,False,-22.0,20.0,1,left,MISS D. Brooks driving Layup,[1628415],1610612756.0,PHX,driving,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.97,,,,,,,,,,,
31,PT10M02.00S,2025-12-28T00:13:46.2Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,4,1,2025-12-28T00:13:52Z,310000,False,,,0,,D. Queen REBOUND (Off:0 Def:2),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,,,,,,,,30.0,,2.0,2.0,0.0,,,,,,,,
32,PT09M56.00S,2025-12-28T00:13:51.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642852,92.46057818659659,48.03921568627451,1610612740,4,1,2025-12-28T00:28:59Z,320000,False,-10.0,18.0,1,right,MISS D. Queen driving Layup - blocked,"[1642852, 1626220]",1610612740.0,NOP,driving,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.08,,,,O'Neale,1626220.0,,,,,,
33,PT09M56.00S,2025-12-28T00:13:51.9Z,1,REGULAR,block,,[],1626220,,,1610612740,4,1,2025-12-28T00:13:54Z,330000,False,,,0,,R. O'Neale BLOCK (1 BLK),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT09M53.00S,2025-12-28T00:13:54.9Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612756,4,1,2025-12-28T00:18:13Z,340000,False,,,0,,D. Brooks REBOUND (Off:0 Def:2),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,,,32.0,,2.0,2.0,0.0,,,,,,,,
35,PT09M50.00S,2025-12-28T00:13:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,16.376478318002626,52.69607843137255,1610612756,4,1,2025-12-28T00:14:12Z,350000,False,-13.0,101.0,1,left,MISS D. Brooks 10' driving floating Shot,[1628415],1610612756.0,PHX,driving floating,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,10.23,,,,,,,,,,,
36,PT09M46.00S,2025-12-28T00:14:03.2Z,1,REGULAR,rebound,offensive,[],1628415,,,1610612756,4,1,2025-12-28T00:14:03Z,360000,False,,,0,,D. Brooks REBOUND (Off:1 Def:2),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,35.0,,3.0,2.0,1.0,,,,,,,,
37,PT09M46.00S,2025-12-28T00:14:07.3Z,1,REGULAR,foul,personal,[],1630180,,,1610612756,4,1,2025-12-28T00:14:14Z,370000,False,,,0,,S. Bey personal FOUL (1 PF),"[1630180, 1628415]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Mid-Range,8-16 Right,201639.0,1.0,0.0,Brooks,1628415.0,,,,,,,,,,,,,,,
39,PT09M41.00S,2025-12-28T00:14:46.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628415,16.245072273324574,58.333333333333336,1610612756,4,3,2025-12-28T00:14:51Z,390000,False,-42.0,100.0,1,left,D. Brooks 10' pullup Jump Shot (3 PTS) (C. Gillespie 1 AST),"[1628415, 1631221]",1610612756.0,PHX,pullup,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,3.0,,10.85,,,,,,C. Gillespie,1631221.0,1.0,,,
41,PT09M17.00S,2025-12-28T00:15:09.7Z,1,REGULAR,3pt,Jump Shot,[],1630530,71.04139290407359,17.892156862745097,1610612740,7,3,2025-12-28T00:15:14Z,410000,False,-161.0,220.0,1,right,T. Murphy III 27' 3PT  (3 PTS) (D. Queen 1 AST),"[1630530, 1642852]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,27.21,,,,,,D. Queen,1642852.0,1.0,,,
43,PT09M09.00S,2025-12-28T00:15:18.5Z,1,REGULAR,3pt,Jump Shot,[],1626164,20.844283837056505,89.95098039215686,1610612756,7,6,2025-12-28T00:15:24Z,430000,False,-200.0,143.0,1,left,D. Booker 24' 3PT pullup (3 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,24.59,,,,,,,,,,,
44,PT09M00.00S,2025-12-28T00:15:28.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642847,93.51182654402102,46.568627450980394,1610612740,7,6,2025-12-28T00:15:32Z,440000,False,-17.0,8.0,1,right,MISS J. Fears driving Layup,[1642847],1610612740.0,NOP,driving,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.92,,,,,,,,,,,
45,PT08M57.00S,2025-12-28T00:15:31.1Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,7,6,2025-12-28T00:15:32Z,450000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:2),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,,,,,44.0,,2.0,2.0,0.0,,,,,,,,
46,PT08M52.00S,2025-12-28T00:15:35.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,14.273981603153747,60.049019607843135,1610612756,7,6,2025-12-28T00:15:44Z,460000,False,-50.0,82.0,1,left,MISS D. Booker 9' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Missed,,,9.59,,,,,,,,,,,
47,PT08M48.00S,2025-12-28T00:15:39.7Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,7,6,2025-12-28T00:15:44Z,470000,False,,,0,,D. Queen REBOUND (Off:0 Def:3),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,46.0,,3.0,3.0,0.0,,,,,,,,
48,PT08M45.00S,2025-12-28T00:15:42.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642847,93.9060446780552,51.9607843137255,1610612740,9,6,2025-12-28T00:15:48Z,480000,False,10.0,5.0,1,right,J. Fears running Layup (4 PTS) (D. Queen 2 AST),"[1642847, 1642852]",1610612740.0,NOP,running,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,1.09,,,,,,D. Queen,1642852.0,2.0,,,
50,PT08M24.00S,2025-12-28T00:16:03.3Z,1,REGULAR,3pt,Jump Shot,[],1626220,32.013797634691194,53.18627450980392,1610612756,9,6,2025-12-28T00:16:10Z,500000,False,-16.0,248.0,1,left,MISS R. O'Neale 24' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,24.89,,,,,,,,,,,
51,PT08M20.00S,2025-12-28T00:16:07.3Z,1,REGULAR,rebound,offensive,[],1642345,,,1610612756,9,6,2025-12-28T00:16:10Z,510000,False,,,0,,O. Ighodaro REBOUND (Off:1 Def:0),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Above the Break 3,24+ Center,,,,,,,,50.0,,1.0,0.0,1.0,,,,,,,,
52,PT08M18.00S,2025-12-28T00:16:10.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626220,29.517082785808146,72.54901960784314,1610612756,9,9,2025-12-28T00:19:46Z,520000,False,-113.0,225.0,1,left,R. O'Neale 25' 3PT pullup (3 PTS) (C. Gillespie 2 AST),"[1626220, 1631221]",1610612756.0,PHX,pullup,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,25.16,,,,,,C. Gillespie,1631221.0,2.0,,,
54,PT07M56.00S,2025-12-28T00:16:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,92.85479632063075,50.98039215686274,1610612740,9,9,2025-12-28T00:20:12Z,540000,False,5.0,15.0,1,right,MISS S. Bey driving finger roll Layup,[1630180],1610612740.0,NOP,driving finger roll,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.55,,,,,,,,,,,
55,PT07M56.00S,2025-12-28T00:16:31.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,9,9,2025-12-28T00:16:36Z,550000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,54.0,,,,,,,,,,,,
57,PT07M46.00S,2025-12-28T00:16:51.8Z,1,REGULAR,3pt,Jump Shot,[],1626164,25.837713534822605,80.63725490196079,1610612756,9,9,2025-12-28T00:16:58Z,570000,False,-153.0,190.0,1,left,MISS D. Booker 24' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,24.44,,,,,,,,,,,
58,PT07M43.00S,2025-12-28T00:16:54.9Z,1,REGULAR,rebound,offensive,[],1631221,,,1610612756,9,9,2025-12-28T00:16:54Z,580000,False,,,0,,C. Gillespie REBOUND (Off:1 Def:0),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,,,,,,,,57.0,,1.0,0.0,1.0,,,,,,,,
59,PT07M40.00S,2025-12-28T00:16:58.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628415,7.046649145860711,48.77450980392157,1610612756,9,11,2025-12-28T00:17:03Z,590000,False,6.0,14.0,1,left,D. Brooks cutting DUNK (5 PTS) (C. Gillespie 3 AST),"[1628415, 1631221]",1610612756.0,PHX,cutting,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,,1.5,,,,,,C. Gillespie,1631221.0,3.0,,,
61,PT07M40.00S,2025-12-28T00:17:01.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,9,11,2025-12-28T00:17:01Z,610000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M22.00S,2025-12-28T00:20:06.8Z,1,REGULAR,3pt,Jump Shot,[],1642847,91.27792378449409,4.166666666666666,1610612740,9,11,2025-12-28T00:20:13Z,620000,False,-229.0,29.0,1,right,MISS J. Fears 3PT,[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,23.11,,,,,,,,,,,
63,PT07M18.00S,2025-12-28T00:20:10.8Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,9,11,2025-12-28T00:20:13Z,630000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Left Corner 3,24+ Left,,,,,,,,62.0,,1.0,1.0,0.0,,,,,,,,
64,PT07M10.00S,2025-12-28T00:20:18.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642345,7.703679369250986,50.98039215686274,1610612756,9,13,2025-12-28T00:20:25Z,640000,False,-5.0,20.0,1,left,O. Ighodaro cutting finger roll Layup (2 PTS) (D. Booker 1 AST),"[1642345, 1626164]",1610612756.0,PHX,cutting finger roll,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,2.05,,,,,,D. Booker,1626164.0,1.0,,,
66,PT06M56.00S,2025-12-28T00:20:32.2Z,1,REGULAR,3pt,Jump Shot,[],1630530,94.69448094612353,95.83333333333334,1610612740,12,13,2025-12-28T00:21:06Z,660000,False,229.0,-3.0,1,right,T. Murphy III 3PT pullup (6 PTS) (B. McGowens 1 AST),"[1630530, 1631121]",1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,,,,,,Made,6.0,,22.92,,,,,,B. McGowens,1631121.0,1.0,,,
68,PT06M44.00S,2025-12-28T00:20:44.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,14.668199737187912,33.82352941176471,1610612756,12,15,2025-12-28T00:20:48Z,680000,False,81.0,85.0,1,left,D. Booker 11' pullup Jump Shot (5 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,,,,,,Made,5.0,,11.76,,,,,,,,,,,
69,PT06M26.00S,2025-12-28T00:21:02.1Z,1,REGULAR,3pt,Jump Shot,[],1642847,81.68528252299606,92.8921568627451,1610612740,12,15,2025-12-28T00:21:06Z,690000,False,214.0,120.0,1,right,MISS J. Fears 24' 3PT,[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,24.56,,,,,,,,,,,
70,PT06M23.00S,2025-12-28T00:21:05.1Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,12,15,2025-12-28T00:21:06Z,700000,False,,,0,,O. Ighodaro REBOUND (Off:1 Def:1),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Above the Break 3,24+ Right Center,,,,,,,,69.0,,2.0,1.0,1.0,,,,,,,,
71,PT06M17.00S,2025-12-28T00:21:11.1Z,1,REGULAR,3pt,Jump Shot,[],1628415,24.26084099868594,12.5,1610612756,12,18,2025-12-28T00:21:17Z,710000,False,188.0,176.0,1,left,D. Brooks 25' 3PT  (8 PTS) (O. Ighodaro 1 AST),"[1628415, 1642345]",1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,Made,8.0,,25.69,,,,,,O. Ighodaro,1642345.0,1.0,,,
73,PT05M59.00S,2025-12-28T00:21:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,89.70105124835742,44.85294117647059,1610612740,14,18,2025-12-28T00:22:36Z,730000,False,-26.0,44.0,1,right,S. Bey driving Layup (2 PTS),[1630180],1610612740.0,NOP,driving,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,,5.12,,,,,,,,,,,
74,PT05M59.00S,2025-12-28T00:21:34.1Z,1,REGULAR,foul,personal,['1freethrow'],1626164,,,1610612740,14,18,2025-12-28T00:21:40Z,740000,False,,,0,,D. Booker shooting personal FOUL (1 PF) (Bey 1 FT),"[1626164, 1630180]",1610612756.0,PHX,shooting,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,1627529.0,1.0,0.0,Bey,1630180.0,,,,,,,,,,,,,,,
76,PT05M59.00S,2025-12-28T00:21:41.6Z,1,REGULAR,substitution,out,[],1642847,,,1610612740,14,18,2025-12-28T00:22:25Z,760000,False,,,0,,SUB out: J. Fears,[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M59.00S,2025-12-28T00:21:41.6Z,1,REGULAR,substitution,out,[],1631221,,,1610612740,14,18,2025-12-28T00:22:25Z,770000,False,,,0,,SUB out: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M59.00S,2025-12-28T00:21:41.6Z,1,REGULAR,substitution,in,[],1630631,,,1610612740,14,18,2025-12-28T00:22:25Z,780000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M59.00S,2025-12-28T00:21:41.6Z,1,REGULAR,substitution,in,[],1630692,,,1610612740,14,18,2025-12-28T00:22:25Z,790000,False,,,0,,SUB in: J. Goodwin,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M59.00S,2025-12-28T00:22:03.8Z,1,REGULAR,freethrow,1 of 1,[],1630180,,,1610612740,15,18,2025-12-28T00:22:03Z,800000,False,,,0,,S. Bey Free Throw 1 of 1 (3 PTS),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
81,PT05M43.00S,2025-12-28T00:22:22.1Z,1,REGULAR,3pt,Jump Shot,[],1630692,17.16491458607096,6.127450980392156,1610612756,15,18,2025-12-28T00:22:27Z,810000,False,219.0,109.0,1,left,MISS J. Goodwin 24' 3PT,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,24.49,,,,,,,,,,,
82,PT05M39.00S,2025-12-28T00:22:26.1Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612740,15,18,2025-12-28T00:22:27Z,820000,False,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,,,,,,,,81.0,,1.0,1.0,0.0,,,,,,,,
83,PT05M25.00S,2025-12-28T00:22:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630631,88.78120893561103,34.068627450980394,1610612740,15,18,2025-12-28T00:23:20Z,830000,False,-80.0,53.0,1,right,MISS J. Alvarado 9' driving floating Shot,[1630631],1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Missed,,,9.57,,,,,,,,,,,
84,PT05M23.00S,2025-12-28T00:22:42.1Z,1,REGULAR,rebound,defensive,[],1630692,,,1610612756,15,18,2025-12-28T00:23:20Z,840000,False,,,0,,J. Goodwin REBOUND (Off:0 Def:1),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,83.0,,1.0,1.0,0.0,,,,,,,,
85,PT05M17.00S,2025-12-28T00:22:47.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628415,8.623521681997373,21.07843137254902,1610612756,15,18,2025-12-28T00:23:48Z,850000,False,145.0,29.0,1,left,MISS D. Brooks 14' running pullup Shot,[1628415],1610612756.0,PHX,running pullup,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Right,,,,,,Missed,,,14.74,,,,,,,,,,,
