actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M31.00S,2025-11-25T01:12:50.5Z,1,REGULAR,turnover,out-of-bounds,[],1642847,,,1610612740,1,4,2025-11-25T01:12:58Z,180000,False,,,0,,J. Fears lost ball out-of-bounds TURNOVER (1 TO),[1642847],1610612740.0,NOP,lost ball,,,Fears,J. Fears,,,,,Above the Break 3,24+ Left Center,201246.0,,,,,,,,,,,,1.0,,,,,,,
19,PT10M24.00S,2025-11-25T01:13:00.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630581,92.32917214191852,49.26470588235294,1610612741,1,6,2025-11-25T01:14:15Z,190000,False,-4.0,20.0,1,right,J. Giddey driving finger roll Layup (4 PTS),[1630581],1610612741.0,CHI,driving finger roll,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,1.99,,,,,,,,,,,
20,PT10M24.00S,2025-11-25T01:13:12.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,1,6,2025-11-25T01:13:12Z,200000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M13.00S,2025-11-25T01:16:05.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,5.338370565045992,51.71568627450981,1610612740,3,6,2025-11-25T01:17:03Z,210000,False,-9.0,-2.0,1,left,Z. Williamson cutting Layup (3 PTS) (D. Queen 1 AST),"[1629627, 1642852]",1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,Made,,3.0,0.89,,,,,D. Queen,1642852.0,1.0,,,,
23,PT09M56.00S,2025-11-25T01:16:23.6Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,3,6,2025-11-25T01:16:27Z,230000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1642852]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,,Queen,1642852.0,,
24,PT09M56.00S,2025-11-25T01:16:23.6Z,1,REGULAR,steal,,[],1642852,,,1610612740,3,6,2025-11-25T01:16:25Z,240000,False,,,0,,D. Queen STEAL (1 STL),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT09M48.00S,2025-11-25T01:16:31.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630530,33.459264126149804,16.911764705882355,1610612740,6,6,2025-11-25T01:16:36Z,250000,False,165.0,262.0,1,left,T. Murphy III 30' 3PT  (3 PTS) (D. Queen 2 AST),"[1630530, 1642852]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,3.0,30.98,,,,,D. Queen,1642852.0,2.0,,,,
27,PT09M38.00S,2025-11-25T01:16:41.2Z,1,REGULAR,3pt,Jump Shot,[],1629632,74.98357424441524,15.441176470588236,1610612741,6,6,2025-11-25T01:18:12Z,270000,False,-173.0,183.0,1,right,MISS C. White 25' pullup 3PT,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,25.15,,,,,,,,,,,
28,PT09M36.00S,2025-11-25T01:16:43.0Z,1,REGULAR,rebound,offensive,[],1630245,,,1610612741,6,6,2025-11-25T01:16:43Z,280000,False,,,0,,A. Dosunmu REBOUND (Off:1 Def:0),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,,,,,,,27.0,,,1.0,0.0,1.0,,,,,,,,
29,PT09M35.00S,2025-11-25T01:16:44.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630172,78.13731931668858,91.91176470588235,1610612741,6,6,2025-11-25T01:16:49Z,290000,False,210.0,153.0,1,right,MISS P. Williams 25' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.95,,,,,,,,,,,
30,PT09M31.00S,2025-11-25T01:16:48.6Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,6,6,2025-11-25T01:16:49Z,300000,False,,,0,,D. Queen REBOUND (Off:0 Def:1),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Above the Break 3,24+ Right Center,,,,,,,29.0,,,1.0,1.0,0.0,,,,,,,,
31,PT09M24.00S,2025-11-25T01:16:55.0Z,1,REGULAR,3pt,Jump Shot,[],1630530,34.11629434954008,58.333333333333336,1610612740,6,6,2025-11-25T01:19:12Z,310000,False,-42.0,268.0,1,left,MISS T. Murphy III 27' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,27.14,,,,,,,,,,,
32,PT09M21.00S,2025-11-25T01:16:58.0Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,6,6,2025-11-25T01:17:04Z,320000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,,,,,,,31.0,,,1.0,1.0,0.0,,,,,,,,
33,PT09M13.00S,2025-11-25T01:17:06.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641824,93.77463863337714,50.245098039215684,1610612741,6,8,2025-11-25T01:17:12Z,330000,False,1.0,6.0,1,right,M. Buzelis driving DUNK (4 PTS) (P. Williams 1 AST),"[1641824, 1630172]",1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,0.61,,,,,P. Williams,1630172.0,1.0,,,,
35,PT08M57.00S,2025-11-25T01:17:21.8Z,1,REGULAR,3pt,Jump Shot,[],1642847,26.231931668856767,83.57843137254902,1610612740,9,8,2025-11-25T01:17:26Z,350000,False,-168.0,194.0,1,left,J. Fears 25' 3PT  (3 PTS) (Z. Williamson 1 AST),"[1642847, 1629627]",1610612740.0,NOP,,,,Fears,J. Fears,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,3.0,25.66,,,,,Z. Williamson,1629627.0,1.0,,,,
37,PT08M46.00S,2025-11-25T01:17:32.8Z,1,REGULAR,3pt,Jump Shot,[],1641824,77.08607095926413,9.068627450980392,1610612741,9,8,2025-11-25T01:17:37Z,370000,False,-205.0,163.0,1,right,MISS M. Buzelis 26' 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,26.16,,,,,,,,,,,
38,PT08M44.00S,2025-11-25T01:17:34.8Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,9,8,2025-11-25T01:17:37Z,380000,False,,,0,,D. Queen REBOUND (Off:0 Def:2),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Above the Break 3,24+ Left Center,,,,,,,37.0,,,2.0,2.0,0.0,,,,,,,,
39,PT08M35.00S,2025-11-25T01:17:43.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642852,17.559132720105126,48.529411764705884,1610612740,9,8,2025-11-25T01:17:48Z,390000,False,7.0,113.0,1,left,MISS D. Queen 11' pullup Shot,[1642852],1610612740.0,NOP,pullup,,,Queen,D. Queen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,11.28,,,,,,,,,,,
40,PT08M32.00S,2025-11-25T01:17:46.6Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,9,8,2025-11-25T01:17:48Z,400000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,39.0,,,1.0,1.0,0.0,,,,,,,,
41,PT08M23.00S,2025-11-25T01:17:55.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,89.83245729303549,48.28431372549019,1610612741,9,10,2025-11-25T01:21:06Z,410000,False,-9.0,43.0,1,right,C. White driving Layup (2 PTS),[1629632],1610612741.0,CHI,driving,,,White,C. White,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,4.39,,,,,,,,,,,
42,PT08M19.00S,2025-11-25T01:18:05.6Z,1,REGULAR,foul,personal,[],1630245,,,1610612740,9,10,2025-11-25T01:18:32Z,420000,False,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 1642847]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Right,1628480.0,1.0,0.0,Fears,1642847.0,,,,,,,,,,,,,,,
44,PT08M19.00S,2025-11-25T01:18:12.2Z,1,REGULAR,substitution,out,[],1629632,,,1610612740,9,10,2025-11-25T01:18:20Z,440000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M19.00S,2025-11-25T01:18:12.2Z,1,REGULAR,substitution,in,[],1630200,,,1610612740,9,10,2025-11-25T01:18:20Z,450000,False,,,0,,SUB in: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M08.00S,2025-11-25T01:18:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642852,11.12023653088042,50.49019607843137,1610612740,9,10,2025-11-25T01:18:36Z,460000,False,-2.0,52.0,1,left,MISS D. Queen driving Layup,[1642852],1610612740.0,NOP,driving,,,Queen,D. Queen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,5.21,,,,,,,,,,,
47,PT08M05.00S,2025-11-25T01:18:34.9Z,1,REGULAR,rebound,offensive,[],1642852,,,1610612740,9,10,2025-11-25T01:18:34Z,470000,False,,,0,,D. Queen REBOUND (Off:1 Def:2),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,46.0,,,3.0,2.0,1.0,,,,,,,,
50,PT08M03.00S,2025-11-25T01:18:36.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642852,5.590000152587891,50.0,1610612740,11,10,2025-11-25T01:18:36Z,500000,False,0.0,0.0,1,left,D. Queen tip Layup (2 PTS),[1642852],1610612740.0,NOP,tip,,,Queen,D. Queen,,,,,Mid-Range,8-16 Left,,,,,,Made,,2.0,0.0,,,,,,,,,,,
51,PT07M52.00S,2025-11-25T01:18:52.0Z,1,REGULAR,foul,personal,['2freethrow'],1642852,,,1610612741,11,10,2025-11-25T01:19:02Z,510000,False,,,0,,D. Queen shooting personal FOUL (1 PF) (Giddey 2 FT),"[1642852, 1630581]",1610612740.0,NOP,shooting,,,Queen,D. Queen,,,,,In The Paint (Non-RA),0-8 Center,1628480.0,1.0,0.0,Giddey,1630581.0,,,,,,,,,,,,,,,
53,PT07M52.00S,2025-11-25T01:19:13.3Z,1,REGULAR,freethrow,1 of 2,[],1630581,,,1610612741,11,10,2025-11-25T01:19:13Z,530000,False,,,0,,MISS J. Giddey Free Throw 1 of 2,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
54,PT07M52.00S,2025-11-25T01:19:13.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,11,10,2025-11-25T01:19:13Z,540000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,
55,PT07M52.00S,2025-11-25T01:19:16.2Z,1,REGULAR,substitution,out,[],1642847,,,1610612741,11,10,2025-11-25T01:19:26Z,550000,False,,,0,,SUB out: J. Fears,[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M52.00S,2025-11-25T01:19:16.2Z,1,REGULAR,substitution,out,[],1629627,,,1610612741,11,10,2025-11-25T01:19:26Z,560000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M52.00S,2025-11-25T01:19:16.2Z,1,REGULAR,substitution,in,[],1642877,,,1610612741,11,10,2025-11-25T01:19:26Z,570000,False,,,0,,SUB in: M. Peavy,[1642877],1610612740.0,NOP,,,,Peavy,M. Peavy,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M52.00S,2025-11-25T01:19:16.2Z,1,REGULAR,substitution,in,[],1630631,,,1610612741,11,10,2025-11-25T01:19:26Z,580000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M52.00S,2025-11-25T01:19:33.1Z,1,REGULAR,freethrow,2 of 2,[],1630581,,,1610612741,11,11,2025-11-25T01:19:33Z,590000,False,,,0,,J. Giddey Free Throw 2 of 2 (5 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,,,,,Made,,5.0,,,,,,,,,,,,
60,PT07M36.00S,2025-11-25T01:19:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,15.325229960578188,35.049019607843135,1610612740,11,11,2025-11-25T01:22:55Z,600000,False,75.0,92.0,1,left,MISS S. Bey 11' turnaround fadeaway Shot,[1630180],1610612740.0,NOP,turnaround fadeaway,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Missed,,,11.83,,,,,,,,,,,
61,PT07M36.00S,2025-11-25T01:19:59.2Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,11,11,2025-11-25T01:20:05Z,610000,False,,,0,,A. Dosunmu REBOUND (Off:1 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,60.0,,,2.0,1.0,1.0,,,,,,,,
62,PT07M36.00S,2025-11-25T01:20:07.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630245,92.59198423127464,49.50980392156863,1610612741,11,13,2025-11-25T01:20:12Z,620000,False,-2.0,17.0,1,right,A. Dosunmu running Layup (2 PTS),[1630245],1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,1.73,,,,,,,,,,,
63,PT07M36.00S,2025-11-25T01:20:12.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630530,6.521024967148489,49.26470588235294,1610612740,13,13,2025-11-25T01:20:18Z,630000,False,4.0,9.0,1,left,T. Murphy III cutting DUNK (5 PTS) (J. Alvarado 1 AST),"[1630530, 1630631]",1610612740.0,NOP,cutting,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,Made,,5.0,0.95,,,,,J. Alvarado,1630631.0,1.0,,,,
66,PT07M25.00S,2025-11-25T01:20:48.4Z,1,REGULAR,3pt,Jump Shot,[],1641824,94.95729303547962,3.6764705882352944,1610612741,13,16,2025-11-25T01:20:53Z,660000,False,-232.0,-5.0,1,right,M. Buzelis 3PT  (7 PTS) (J. Giddey 1 AST),"[1641824, 1630581]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Left Corner 3,24+ Left,,,,,,Made,,7.0,23.17,,,,,J. Giddey,1630581.0,1.0,,,,
68,PT07M09.00S,2025-11-25T01:21:04.4Z,1,REGULAR,3pt,Jump Shot,[],1630180,21.23850197109067,93.13725490196079,1610612740,16,16,2025-11-25T01:21:08Z,680000,False,-216.0,147.0,1,left,S. Bey 26' 3PT  (3 PTS) (J. Alvarado 2 AST),"[1630180, 1630631]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,3.0,26.11,,,,,J. Alvarado,1630631.0,2.0,,,,
70,PT06M56.00S,2025-11-25T01:21:20.3Z,1,REGULAR,turnover,out-of-bounds,[],1630581,,,1610612741,16,16,2025-11-25T01:21:30Z,700000,False,,,0,,J. Giddey lost ball out-of-bounds TURNOVER (2 TO),[1630581],1610612741.0,CHI,lost ball,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Right,2003.0,,,,,,,,,,,,2.0,,,,,,,
71,PT06M56.00S,2025-11-25T01:21:26.4Z,1,REGULAR,substitution,out,[],1642852,,,1610612740,16,16,2025-11-25T01:21:35Z,710000,False,,,0,,SUB out: D. Queen,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M56.00S,2025-11-25T01:21:26.4Z,1,REGULAR,substitution,out,[],1630245,,,1610612740,16,16,2025-11-25T01:21:35Z,720000,False,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M56.00S,2025-11-25T01:21:26.4Z,1,REGULAR,substitution,out,[],1630172,,,1610612740,16,16,2025-11-25T01:21:35Z,730000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M56.00S,2025-11-25T01:21:26.4Z,1,REGULAR,substitution,in,[],1642274,,,1610612740,16,16,2025-11-25T01:21:35Z,740000,False,,,0,,SUB in: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M56.00S,2025-11-25T01:21:26.4Z,1,REGULAR,substitution,in,[],1630188,,,1610612740,16,16,2025-11-25T01:21:35Z,750000,False,,,0,,SUB in: J. Smith,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M56.00S,2025-11-25T01:21:26.4Z,1,REGULAR,substitution,in,[],1641763,,,1610612740,16,16,2025-11-25T01:21:35Z,760000,False,,,0,,SUB in: J. Phillips,[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M46.00S,2025-11-25T01:21:47.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630631,29.77989487516426,72.05882352941177,1610612740,16,16,2025-11-25T01:25:23Z,770000,False,-110.0,227.0,1,left,MISS J. Alvarado 25' pullup 3PT,[1630631],1610612740.0,NOP,pullup,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,25.27,,,,,,,,,,,
78,PT06M43.00S,2025-11-25T01:21:50.5Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,16,16,2025-11-25T01:21:51Z,780000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,,,,77.0,,,1.0,1.0,0.0,,,,,,,,
79,PT06M35.00S,2025-11-25T01:21:58.7Z,1,REGULAR,3pt,Jump Shot,[],1630581,67.36202365308804,60.29411764705882,1610612741,16,16,2025-11-25T01:22:02Z,790000,False,51.0,254.0,1,right,MISS J. Giddey 25' 3PT,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,25.95,,,,,,,,,,,
80,PT06M32.00S,2025-11-25T01:22:00.8Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,16,16,2025-11-25T01:22:00Z,800000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,,,,,,,79.0,,,1.0,1.0,0.0,,,,,,,,
81,PT06M24.00S,2025-11-25T01:22:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642877,4.944152431011826,55.14705882352941,1610612740,18,16,2025-11-25T01:22:17Z,810000,False,-26.0,-6.0,1,left,M. Peavy cutting Layup (2 PTS) (T. Murphy III 1 AST),"[1642877, 1630530]",1610612740.0,NOP,cutting,,,Peavy,M. Peavy,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,2.64,,,,,T. Murphy III,1630530.0,1.0,,,,
83,PT06M07.00S,2025-11-25T01:22:26.1Z,1,REGULAR,3pt,Jump Shot,[],1630200,70.77858081471747,75.24509803921569,1610612741,18,16,2025-11-25T01:22:32Z,830000,False,126.0,222.0,1,right,MISS T. Jones 25' 3PT,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.55,,,,,,,,,,,
84,PT06M01.00S,2025-11-25T01:22:32.1Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,18,16,2025-11-25T01:22:32Z,840000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Right Center,,,,,,,83.0,,,1.0,1.0,0.0,,,,,,,,
85,PT05M56.00S,2025-11-25T01:22:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,11.12023653088042,49.754901960784316,1610612740,18,16,2025-11-25T01:23:00Z,850000,False,1.0,52.0,1,left,MISS T. Murphy III driving Layup - blocked,"[1630530, 1641824]",1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,5.2,,,,,,,,,,Buzelis,1641824.0
86,PT05M56.00S,2025-11-25T01:22:38.9Z,1,REGULAR,block,,[],1641824,,,1610612740,18,16,2025-11-25T01:22:42Z,860000,False,,,0,,M. Buzelis BLOCK (1 BLK),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
87,PT05M56.00S,2025-11-25T01:22:38.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,18,16,2025-11-25T01:23:00Z,870000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,85.0,,,,,,,,,,,,,
