actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
36,PT09M35.00S,2025-10-25T00:14:29.8Z,1,REGULAR,foul,personal,[],1630529,,,1610612759,2,7,2025-10-25T00:14:49Z,350000,False,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 1641705]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Right,,,,202007.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,,,,,,
38,PT09M25.00S,2025-10-25T00:15:23.4Z,1,REGULAR,jumpball,recovered,[],1630577,,,1610612759,2,7,2025-10-25T00:15:23Z,370000,False,,,0,,Jump Ball V. Wembanyama vs. T. Murphy III: Tip to J. Champagnie,"[1630577, 1641705, 1630530]",1610612759.0,SAS,heldball,J. Champagnie,1630577.0,Champagnie,J. Champagnie,Wembanyama,1641705.0,Murphy III,1630530.0,,,,,,,,,,,,,,,,,,,,,,
41,PT09M22.00S,2025-10-25T00:15:27.0Z,1,REGULAR,turnover,bad pass,[],1630577,,,1610612759,2,7,2025-10-25T00:15:30Z,400000,False,,,0,,J. Champagnie bad pass TURNOVER (1 TO),"[1630577, 1629627]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Williamson,1629627.0
42,PT09M22.00S,2025-10-25T00:15:27.0Z,1,REGULAR,steal,,[],1629627,,,1610612740,2,7,2025-10-25T00:15:29Z,410000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
43,PT09M16.00S,2025-10-25T00:15:33.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629673,93.51182654402102,52.450980392156865,1610612740,4,7,2025-10-25T01:16:13Z,420000,False,12.0,8.0,1,right,J. Poole driving Layup (2 PTS) (T. Murphy III 1 AST),"[1629673, 1630530]",1610612740.0,NOP,driving,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,1.5,Made,2.0,,,,,,,,,,T. Murphy III,1630530.0,1.0,,,,,
45,PT08M54.00S,2025-10-25T00:15:54.1Z,1,REGULAR,3pt,Jump Shot,[],1642264,31.488173455978973,31.61764705882353,1610612759,4,7,2025-10-25T00:16:04Z,440000,False,92.0,243.0,1,left,MISS S. Castle 26' pullup 3PT,[1642264],1610612759.0,SAS,pullup,,,Castle,S. Castle,,,,,Above the Break 3,24+ Right Center,26.03,Missed,,,,,,,,,,,,,,,,,,
46,PT08M50.00S,2025-10-25T00:15:58.1Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612740,4,7,2025-10-25T00:16:04Z,450000,False,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,
47,PT08M30.00S,2025-10-25T00:16:19.4Z,1,REGULAR,3pt,Jump Shot,[],1630530,78.53153745072274,8.823529411764707,1610612740,7,7,2025-10-25T00:16:24Z,460000,False,-206.0,149.0,1,right,T. Murphy III 25' 3PT  (3 PTS) (J. Poole 1 AST),"[1630530, 1629673]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,25.43,Made,3.0,,,,,,,,,,J. Poole,1629673.0,1.0,,,,,
49,PT08M17.00S,2025-10-25T00:16:31.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642264,5.863994743758213,46.81372549019608,1610612759,7,9,2025-10-25T00:16:36Z,480000,False,16.0,3.0,1,left,S. Castle driving DUNK (5 PTS),[1642264],1610612759.0,SAS,driving,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,1.61,Made,5.0,,,,,,,,,,,,,,,,,
50,PT08M03.00S,2025-10-25T00:16:45.7Z,1,REGULAR,turnover,bad pass,[],1629627,,,1610612740,7,9,2025-10-25T01:16:32Z,490000,False,,,0,,Z. Williamson bad pass TURNOVER (1 TO),"[1629627, 1642264]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Castle,1642264.0
51,PT08M03.00S,2025-10-25T00:16:45.7Z,1,REGULAR,steal,,[],1642264,,,1610612759,7,9,2025-10-25T00:16:48Z,500000,False,,,0,,S. Castle STEAL (1 STL),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
52,PT08M01.00S,2025-10-25T00:16:50.5Z,1,REGULAR,violation,kicked ball,[],1629673,,,1610612759,7,9,2025-10-25T00:17:12Z,510000,False,,,0,,J. Poole kicked ball VIOLATION,[1629673],1610612740.0,NOP,,,,Poole,J. Poole,,,,,,,,,,2003.0,,,,,,,,,,,,,,,,
53,PT07M52.00S,2025-10-25T00:17:12.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642264,6.389618922470433,46.568627450980394,1610612759,7,11,2025-10-25T00:17:24Z,520000,False,17.0,8.0,1,left,S. Castle finger roll Layup (7 PTS),[1642264],1610612759.0,SAS,finger roll,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,1.88,Made,7.0,,,,,,,,,,,,,,,,,
54,PT07M37.00S,2025-10-25T00:17:27.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.77463863337714,46.07843137254902,1610612740,9,11,2025-10-25T00:17:30Z,530000,False,-20.0,6.0,1,right,Z. Williamson Layup (4 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.05,Made,4.0,,,,,,,,,,,,,,,,,
55,PT07M24.00S,2025-10-25T00:17:39.9Z,1,REGULAR,3pt,Jump Shot,[],1630577,4.28712220762155,95.09803921568627,1610612759,9,11,2025-10-25T00:17:44Z,540000,False,-225.0,-12.0,1,left,MISS J. Champagnie 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,22.58,Missed,,,,,,,,,,,,,,,,,,
56,PT07M21.00S,2025-10-25T00:17:42.9Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,9,11,2025-10-25T00:17:44Z,550000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Left Corner 3,24+ Left,,,,,,,,,55.0,2.0,1.0,1.0,,,,,,,,
57,PT07M14.00S,2025-10-25T00:17:49.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,89.96386333771353,44.85294117647059,1610612740,9,11,2025-10-25T00:17:55Z,560000,False,-26.0,42.0,1,right,MISS Z. Williamson driving Layup - blocked,"[1629627, 203084]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,4.91,Missed,,,,,,,,,,,,,,Barnes,203084.0,,,
58,PT07M14.00S,2025-10-25T00:17:49.6Z,1,REGULAR,block,,[],203084,,,1610612740,9,11,2025-10-25T00:21:13Z,570000,False,,,0,,H. Barnes BLOCK (1 BLK),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT07M10.00S,2025-10-25T00:17:53.6Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,9,11,2025-10-25T00:17:55Z,580000,False,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,
60,PT07M08.00S,2025-10-25T00:17:56.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630170,6.1268068331143235,46.81372549019608,1610612759,9,13,2025-10-25T00:18:00Z,590000,False,16.0,5.0,1,left,D. Vassell running finger roll Layup (2 PTS),[1630170],1610612759.0,SAS,running finger roll,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,1.67,Made,2.0,,,,,,,,,,,,,,,,,
61,PT06M58.00S,2025-10-25T00:18:11.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,9,13,2025-10-25T00:18:11Z,600000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M58.00S,2025-10-25T00:20:44.3Z,1,REGULAR,substitution,out,[],1629627,,,1610612740,9,13,2025-10-25T00:21:08Z,610000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M58.00S,2025-10-25T00:20:44.3Z,1,REGULAR,substitution,out,[],1641705,,,1610612740,9,13,2025-10-25T00:21:08Z,620000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M58.00S,2025-10-25T00:20:44.3Z,1,REGULAR,substitution,in,[],1642852,,,1610612740,9,13,2025-10-25T00:21:08Z,630000,False,,,0,,SUB in: D. Queen,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M58.00S,2025-10-25T00:20:44.3Z,1,REGULAR,substitution,in,[],1628436,,,1610612740,9,13,2025-10-25T00:21:08Z,640000,False,,,0,,SUB in: L. Kornet,[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M54.00S,2025-10-25T00:21:21.1Z,1,REGULAR,foul,personal,[],1642264,,,1610612740,9,13,2025-10-25T00:28:18Z,650000,False,,,0,,S. Castle personal FOUL (1 PF),"[1642264, 1629673]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,16-24 Right,,,,2003.0,1.0,0.0,Poole,1629673.0,,,,,,,,,,,,
68,PT06M45.00S,2025-10-25T00:21:41.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,93.77463863337714,44.85294117647059,1610612740,9,13,2025-10-25T00:21:47Z,670000,False,-26.0,6.0,1,right,MISS J. Poole driving floating bank Shot,[1629673],1610612740.0,NOP,driving floating bank,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,2.64,Missed,,,,,,,,,,,,,,,,,,
69,PT06M42.00S,2025-10-25T00:21:44.9Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,9,13,2025-10-25T00:21:47Z,680000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,
70,PT06M38.00S,2025-10-25T00:21:48.7Z,1,REGULAR,turnover,lost ball,[],1642264,,,1610612759,9,13,2025-10-25T00:21:53Z,690000,False,,,0,,S. Castle lost ball TURNOVER (1 TO),"[1642264, 1630529]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,1.0,Jones,1630529.0
71,PT06M38.00S,2025-10-25T00:21:48.7Z,1,REGULAR,steal,,[],1630529,,,1610612740,9,13,2025-10-25T00:21:50Z,700000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
72,PT06M34.00S,2025-10-25T00:21:52.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629673,94.03745072273325,53.67647058823529,1610612740,11,13,2025-10-25T00:21:58Z,710000,False,18.0,4.0,1,right,J. Poole running finger roll Layup (4 PTS) (H. Jones 1 AST),"[1629673, 1630529]",1610612740.0,NOP,running finger roll,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,1.87,Made,4.0,,,,,,,,,,H. Jones,1630529.0,1.0,,,,,
74,PT06M14.00S,2025-10-25T00:22:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628436,5.338370565045992,46.07843137254902,1610612759,11,15,2025-10-25T00:22:17Z,730000,False,20.0,-2.0,1,left,L. Kornet cutting Layup (2 PTS) (J. Champagnie 1 AST),"[1628436, 1630577]",1610612759.0,SAS,cutting,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,1.97,Made,2.0,,,,,,,,,,J. Champagnie,1630577.0,1.0,,,,,
76,PT06M00.00S,2025-10-25T00:22:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,82.26018396846256,55.966605392156865,1610612740,13,15,2025-10-25T00:22:37Z,750000,False,30.0,114.0,1,right,T. Murphy III 11' pullup Jump Shot (5 PTS) (J. Poole 2 AST),"[1630530, 1629673]",1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,11.81,Made,5.0,,,,,,,,,,J. Poole,1629673.0,2.0,,,,,
78,PT05M45.00S,2025-10-25T00:22:41.0Z,1,REGULAR,3pt,Jump Shot,[],1630170,29.911300919842315,69.36274509803921,1610612759,13,15,2025-10-25T00:22:46Z,770000,False,-97.0,229.0,1,left,MISS D. Vassell 24' pullup 3PT,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,24.83,Missed,,,,,,,,,,,,,,,,,,
79,PT05M42.00S,2025-10-25T00:22:44.0Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,13,15,2025-10-25T00:22:46Z,780000,False,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,
80,PT05M29.00S,2025-10-25T00:22:57.6Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612740,13,15,2025-10-25T00:23:02Z,790000,False,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1630577]",1610612740.0,NOP,,,,Poole,J. Poole,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,1.0,Champagnie,1630577.0
81,PT05M29.00S,2025-10-25T00:22:57.6Z,1,REGULAR,steal,,[],1630577,,,1610612759,13,15,2025-10-25T00:22:59Z,800000,False,,,0,,J. Champagnie STEAL (1 STL),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
82,PT05M25.00S,2025-10-25T00:23:00.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630577,4.681340341655716,47.05882352941176,1610612759,13,17,2025-10-25T00:23:06Z,810000,False,15.0,-8.0,1,left,J. Champagnie running finger roll Layup (2 PTS),[1630577],1610612759.0,SAS,running finger roll,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,1.7,Made,2.0,,,,,,,,,,,,,,,,,
83,PT05M01.00S,2025-10-25T00:23:26.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642852,93.64323258869908,50.73529411764706,1610612740,15,17,2025-10-25T00:23:34Z,820000,False,4.0,7.0,1,right,D. Queen cutting DUNK (2 PTS) (T. Murphy III 2 AST),"[1642852, 1630530]",1610612740.0,NOP,cutting,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,0.82,Made,2.0,,,,,,,,,,T. Murphy III,1630530.0,2.0,,,,,
85,PT05M01.00S,2025-10-25T00:23:37.5Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612759,15,17,2025-10-25T00:23:45Z,840000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612740.0,NOP,,,,,,,,,,,,,,,202007.0,,,,,,,,,,,,,,,,
86,PT04M47.00S,2025-10-25T00:23:51.7Z,1,REGULAR,3pt,Jump Shot,[],1642264,28.991458607095925,20.34313725490196,1610612759,15,17,2025-10-25T00:23:57Z,850000,False,148.0,220.0,1,left,MISS S. Castle 26' 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Right Center,26.53,Missed,,,,,,,,,,,,,,,,,,
87,PT04M41.00S,2025-10-25T00:23:57.7Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612740,15,17,2025-10-25T00:23:57Z,860000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612740.0,NOP,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,
