actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
15,PT09M50.00S,2026-03-12T00:14:06.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,92.85479632063075,64.95098039215686,1610612761,4,2,2026-03-12T00:14:12Z,150000,False,75.0,15.0,1,right,MISS J. Poeltl 7' Jump Shot,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,7.62,Missed,,,,,,,,,,,,,,,,
16,PT09M47.00S,2026-03-12T00:14:09.1Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,4,2,2026-03-12T00:14:09Z,160000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT09M41.00S,2026-03-12T00:14:11.3Z,1,REGULAR,turnover,lost ball,[],1629627,,,1610612740,4,2,2026-03-12T00:15:35Z,165000,False,,,0,,Z. Williamson lost ball TURNOVER (1 TO),"[1629627, 1630567]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Center,,1.0,,,,,,,,Barnes,1630567.0,,,,,,,,,
30,PT09M41.00S,2026-03-12T00:14:11.3Z,1,REGULAR,steal,,[],1630567,,,1610612761,4,2,2026-03-12T00:15:35Z,167500,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
20,PT09M37.00S,2026-03-12T00:14:26.3Z,1,REGULAR,foul,personal,[],1630530,,,1610612761,4,2,2026-03-12T00:14:49Z,200000,False,,,0,,T. Murphy III personal FOUL (1 PF),"[1630530, 1627751]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,201638.0,,,,,,,,,,,1.0,0.0,Poeltl,1627751.0,,,,,
22,PT09M29.00S,2026-03-12T00:14:50.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627742,94.82588699080158,52.450980392156865,1610612761,4,2,2026-03-12T00:15:38Z,220000,False,12.0,-4.0,1,right,MISS B. Ingram driving reverse Layup,[1627742],1610612761.0,TOR,driving reverse,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,1.29,Missed,,,,,,,,,,,,,,,,
23,PT09M27.00S,2026-03-12T00:14:52.6Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612761,4,2,2026-03-12T00:16:29Z,230000,False,,,0,,B. Ingram REBOUND (Off:1 Def:0),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,
24,PT09M27.00S,2026-03-12T00:14:54.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1627742,94.40999984741211,50.0,1610612761,4,4,2026-03-12T00:16:36Z,240000,False,0.0,0.0,1,right,B. Ingram putback Layup (2 PTS),[1627742],1610612761.0,TOR,putback,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,0.0,Made,2.0,,,,,,,,,,,,,,,
25,PT09M10.00S,2026-03-12T00:15:09.1Z,1,REGULAR,3pt,Jump Shot,[],1630530,30.042706964520367,24.264705882352942,1610612740,7,4,2026-03-12T00:15:13Z,250000,False,129.0,230.0,1,left,T. Murphy III 26' 3PT  (3 PTS) (Z. Williamson 1 AST),"[1630530, 1629627]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,26.35,Made,3.0,,,,,,,,,,,Z. Williamson,1629627.0,1.0,,
27,PT08M57.00S,2026-03-12T00:15:21.6Z,1,REGULAR,2pt,Jump Shot,[],1630567,75.50919842312747,65.19607843137256,1610612761,7,6,2026-03-12T00:15:42Z,270000,False,76.0,178.0,1,right,S. Barnes 19' pullup Jump Shot (2 PTS),[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right Center,,,19.33,Made,2.0,,,,,,,,,,,,,,,
28,PT08M46.00S,2026-03-12T00:15:33.4Z,1,REGULAR,3pt,Jump Shot,[],1630529,19.267411300919843,6.61764705882353,1610612740,10,6,2026-03-12T00:15:44Z,280000,False,217.0,129.0,1,left,H. Jones 25' 3PT  (3 PTS) (D. Murray 1 AST),"[1630529, 1627749]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,25.22,Made,3.0,,,,,,,,,,,D. Murray,1627749.0,1.0,,
32,PT08M33.00S,2026-03-12T00:15:46.9Z,1,REGULAR,3pt,Jump Shot,[],1627742,71.30420499342969,19.852941176470587,1610612761,10,6,2026-03-12T00:15:52Z,300000,False,-151.0,217.0,1,right,MISS B. Ingram 26' 3PT,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,26.44,Missed,,,,,,,,,,,,,,,,
33,PT08M32.00S,2026-03-12T00:15:47.9Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,10,6,2026-03-12T00:17:29Z,310000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Left Center,,,,,,32.0,1.0,0.0,1.0,,,,,,,,,,,
34,PT08M30.00S,2026-03-12T00:15:51.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,92.9862023653088,51.9607843137255,1610612761,10,8,2026-03-12T00:17:32Z,320000,False,10.0,13.0,1,right,J. Poeltl putback Layup (2 PTS),[1627751],1610612761.0,TOR,putback,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,1.66,Made,2.0,,,,,,,,,,,,,,,
35,PT08M18.00S,2026-03-12T00:16:01.2Z,1,REGULAR,foul,personal,['3freethrow'],1629628,,,1610612740,10,8,2026-03-12T00:16:17Z,330000,False,,,0,,R. Barrett shooting personal FOUL (1 PF) (Murphy III 3 FT),"[1629628, 1630530]",1610612761.0,TOR,shooting,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,1626301.0,,,,,,,,,,,1.0,0.0,Murphy III,1630530.0,,,,,
37,PT08M18.00S,2026-03-12T00:16:27.6Z,1,REGULAR,freethrow,1 of 3,[],1630530,,,1610612740,11,8,2026-03-12T00:16:27Z,350000,False,,,0,,T. Murphy III Free Throw 1 of 3 (4 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
38,PT08M18.00S,2026-03-12T00:16:43.4Z,1,REGULAR,freethrow,2 of 3,[],1630530,,,1610612740,12,8,2026-03-12T00:16:43Z,360000,False,,,0,,T. Murphy III Free Throw 2 of 3 (5 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
39,PT08M18.00S,2026-03-12T00:16:59.0Z,1,REGULAR,freethrow,3 of 3,[],1630530,,,1610612740,13,8,2026-03-12T00:16:59Z,370000,False,,,0,,T. Murphy III Free Throw 3 of 3 (6 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
40,PT08M05.00S,2026-03-12T00:17:16.4Z,1,REGULAR,2pt,Jump Shot,[],1630567,76.5604467805519,38.72549019607843,1610612761,13,10,2026-03-12T00:17:21Z,380000,False,-56.0,168.0,1,right,S. Barnes 17' turnaround Jump Shot (4 PTS),[1630567],1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Center,,,17.7,Made,4.0,,,,,,,,,,,,,,,
41,PT07M53.00S,2026-03-12T00:17:28.3Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612740,13,10,2026-03-12T00:17:31Z,390000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1630193]",1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,1.0,,,,,,,,Quickley,1630193.0,,,,,,,,,
42,PT07M53.00S,2026-03-12T00:17:28.3Z,1,REGULAR,steal,,[],1630193,,,1610612761,13,10,2026-03-12T00:17:30Z,400000,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
43,PT07M46.00S,2026-03-12T00:17:34.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630193,92.85479632063075,35.294117647058826,1610612761,13,12,2026-03-12T00:18:46Z,410000,False,-74.0,15.0,1,right,I. Quickley 7' running Layup (4 PTS),[1630193],1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,7.5,Made,4.0,,,,,,,,,,,,,,,
44,PT07M33.00S,2026-03-12T00:17:59.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,13,12,2026-03-12T00:17:59Z,420000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M27.00S,2026-03-12T00:20:59.9Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612740,13,12,2026-03-12T00:21:11Z,430000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Williamson 2 FT),"[1627751, 1629627]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,201638.0,,,,,,,,,,,1.0,0.0,Williamson,1629627.0,,,,,
47,PT07M27.00S,2026-03-12T00:21:23.5Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,13,12,2026-03-12T00:21:39Z,450000,False,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
48,PT07M27.00S,2026-03-12T00:21:23.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612740,13,12,2026-03-12T00:21:39Z,460000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,
49,PT07M27.00S,2026-03-12T00:21:23.5Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,13,12,2026-03-12T00:21:39Z,470000,False,,,0,,MISS Z. Williamson Free Throw 2 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
50,PT07M24.00S,2026-03-12T00:21:26.5Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,13,12,2026-03-12T00:21:39Z,480000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,
51,PT07M18.00S,2026-03-12T00:21:45.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627742,93.77463863337714,49.01960784313725,1610612761,13,14,2026-03-12T00:21:51Z,490000,False,-5.0,6.0,1,right,B. Ingram driving DUNK (4 PTS) (S. Barnes 1 AST),"[1627742, 1630567]",1610612761.0,TOR,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,0.77,Made,4.0,,,,,,,,,,,S. Barnes,1630567.0,1.0,,
53,PT07M02.00S,2026-03-12T00:22:00.7Z,1,REGULAR,3pt,Jump Shot,[],1630180,9.543363994743759,96.07843137254902,1610612740,13,14,2026-03-12T00:22:06Z,510000,False,-230.0,37.0,1,left,MISS S. Bey 3PT,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,,,23.34,Missed,,,,,,,,,,,,,,,,
54,PT07M00.00S,2026-03-12T00:22:02.7Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,13,14,2026-03-12T00:22:28Z,520000,False,,,0,,B. Ingram REBOUND (Off:1 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Left Corner 3,24+ Left,,,,,,53.0,2.0,1.0,1.0,,,,,,,,,,,
55,PT06M55.00S,2026-03-12T00:22:14.6Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612761,13,14,2026-03-12T00:22:27Z,530000,False,,,0,,T. Murphy III shooting personal FOUL (2 PF) (Quickley 2 FT),"[1630530, 1630193]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,201638.0,,,,,,,,,,,2.0,0.0,Quickley,1630193.0,,,,,
57,PT06M55.00S,2026-03-12T00:22:37.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630193,,,1610612761,13,15,2026-03-12T00:23:02Z,550000,False,,,0,,I. Quickley Free Throw 1 of 2 (5 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
58,PT06M55.00S,2026-03-12T00:22:38.6Z,1,REGULAR,substitution,out,[],1630180,,,1610612761,13,15,2026-03-12T00:22:45Z,560000,False,,,0,,SUB out: S. Bey,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M55.00S,2026-03-12T00:22:38.6Z,1,REGULAR,substitution,in,[],201599,,,1610612761,13,15,2026-03-12T00:22:45Z,570000,False,,,0,,SUB in: D. Jordan,[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M55.00S,2026-03-12T00:22:37.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630193,,,1610612761,13,16,2026-03-12T00:23:02Z,580000,False,,,0,,I. Quickley Free Throw 2 of 2 (6 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
61,PT06M41.00S,2026-03-12T00:23:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,4.681340341655716,53.431372549019606,1610612740,13,16,2026-03-12T00:24:03Z,590000,False,-17.0,-8.0,1,left,MISS Z. Williamson cutting Layup,[1629627],1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,1.92,Missed,,,,,,,,,,,,,,,,
62,PT06M39.00S,2026-03-12T00:23:19.5Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,13,16,2026-03-12T00:24:03Z,600000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,
63,PT06M34.00S,2026-03-12T00:23:22.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630193,91.01511169513797,3.1862745098039214,1610612761,13,19,2026-03-12T00:23:31Z,610000,False,-234.0,32.0,1,right,I. Quickley 3PT running (9 PTS) (R. Barrett 1 AST),"[1630193, 1629628]",1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Left Corner 3,24+ Left,,,23.63,Made,9.0,,,,,,,,,,,R. Barrett,1629628.0,1.0,,
65,PT06M16.00S,2026-03-12T00:23:40.8Z,1,REGULAR,2pt,Jump Shot,[],1627749,22.601839684625492,47.65242034313725,1610612740,15,19,2026-03-12T00:23:48Z,630000,False,12.0,160.0,1,left,D. Murray 16' pullup Jump Shot (4 PTS),[1627749],1610612740.0,NOP,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,,,16.04,Made,4.0,,,,,,,,,,,,,,,
66,PT06M05.00S,2026-03-12T00:23:52.7Z,1,REGULAR,3pt,Jump Shot,[],1629628,73.14388961892247,81.86274509803921,1610612761,15,19,2026-03-12T00:23:57Z,640000,False,159.0,200.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,25.56,Missed,,,,,,,,,,,,,,,,
67,PT06M01.00S,2026-03-12T00:23:56.7Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,15,19,2026-03-12T00:23:57Z,650000,False,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,66.0,2.0,2.0,0.0,,,,,,,,,,,
68,PT05M55.00S,2026-03-12T00:24:03.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,5.206964520367937,47.30392156862745,1610612740,17,19,2026-03-12T00:24:07Z,660000,False,13.0,-4.0,1,left,T. Murphy III driving reverse Layup (8 PTS) (D. Murray 2 AST),"[1630530, 1627749]",1610612740.0,NOP,driving reverse,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,1.4,Made,8.0,,,,,,,,,,,D. Murray,1627749.0,2.0,,
70,PT05M45.00S,2026-03-12T00:24:12.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630567,93.9060446780552,49.50980392156863,1610612761,17,21,2026-03-12T00:24:16Z,680000,False,-2.0,5.0,1,right,S. Barnes driving DUNK (6 PTS),[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,0.54,Made,6.0,,,,,,,,,,,,,,,
71,PT05M31.00S,2026-03-12T00:24:25.5Z,1,REGULAR,3pt,Jump Shot,[],1630529,24.52365308804205,12.990196078431374,1610612740,17,21,2026-03-12T00:24:31Z,690000,False,185.0,178.0,1,left,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,25.67,Missed,,,,,,,,,,,,,,,,
72,PT05M30.00S,2026-03-12T00:24:26.5Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,17,21,2026-03-12T00:25:13Z,700000,False,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,,
73,PT05M25.00S,2026-03-12T00:24:38.8Z,1,REGULAR,foul,personal,['2freethrow'],201599,,,1610612761,17,21,2026-03-12T00:24:54Z,710000,False,,,0,,D. Jordan shooting personal FOUL (1 PF) (Barrett 2 FT),"[201599, 1629628]",1610612740.0,NOP,shooting,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,1626301.0,,,,,,,,,,,1.0,0.0,Barrett,1629628.0,,,,,
75,PT05M25.00S,2026-03-12T00:24:59.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629628,,,1610612761,17,21,2026-03-12T00:24:59Z,730000,False,,,0,,MISS R. Barrett Free Throw 1 of 2,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
76,PT05M25.00S,2026-03-12T00:24:59.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,17,21,2026-03-12T00:24:59Z,740000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,
77,PT05M25.00S,2026-03-12T00:25:01.7Z,1,REGULAR,substitution,out,[],1629627,,,1610612761,17,21,2026-03-12T00:25:13Z,750000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M25.00S,2026-03-12T00:25:01.7Z,1,REGULAR,substitution,in,[],1642852,,,1610612761,17,21,2026-03-12T00:25:13Z,770000,False,,,0,,SUB in: D. Queen,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M25.00S,2026-03-12T00:25:01.7Z,1,REGULAR,substitution,in,[],1630572,,,1610612761,17,21,2026-03-12T00:25:13Z,780000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M25.00S,2026-03-12T00:25:01.7Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,17,21,2026-03-12T00:25:45Z,785000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M25.00S,2026-03-12T00:25:31.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629628,,,1610612761,17,22,2026-03-12T00:25:31Z,790000,False,,,0,,R. Barrett Free Throw 2 of 2 (1 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
83,PT05M14.00S,2026-03-12T00:25:46.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,5.732588699080158,55.63725490196079,1610612740,17,22,2026-03-12T00:25:53Z,800000,False,-28.0,1.0,1,left,MISS H. Jones driving Layup - blocked,"[1630529, 1627751]",1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,2.82,Missed,,,,,,,,,,,,,,,Poeltl,1627751.0
84,PT05M14.00S,2026-03-12T00:25:46.6Z,1,REGULAR,block,,[],1627751,,,1610612740,17,22,2026-03-12T00:25:51Z,810000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
85,PT05M13.00S,2026-03-12T00:25:47.6Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,17,22,2026-03-12T00:26:24Z,820000,False,,,0,,I. Quickley REBOUND (Off:0 Def:2),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,,,83.0,2.0,2.0,0.0,,,,,,,,,,,
