actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
34,PT09M20.00S,2025-11-20T01:14:13.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627750,22.026938239159,11.029411764705882,1610612743,6,8,2025-11-20T01:14:22Z,340000,False,195.0,155.0,1,left,J. Murray 24' 3PT running (3 PTS) (N. Jokić 2 AST),"[1627750, 203999]",1610612743.0,DEN,running,,,,,,Above the Break 3,24+ Right Center,,,,Murray,J. Murray,,,,,,24.88,Made,,,,,3.0,N. Jokić,203999.0,2.0,,
36,PT09M09.00S,2025-11-20T01:14:27.6Z,1,REGULAR,foul,personal,['2freethrow'],1631212,,,1610612740,6,8,2025-11-20T01:14:46Z,360000,False,,,0,,P. Watson shooting personal FOUL (1 PF) (Murphy III 2 FT),"[1631212, 1630530]",1610612743.0,DEN,shooting,,,,,,Restricted Area,0-8 Center,1629183.0,1.0,0.0,Watson,P. Watson,Murphy III,1630530.0,,,,,,,,,,,,,,,
38,PT09M09.00S,2025-11-20T01:14:48.4Z,1,REGULAR,freethrow,1 of 2,[],1630530,,,1610612740,7,8,2025-11-20T01:14:48Z,380000,False,,,0,,T. Murphy III Free Throw 1 of 2 (1 PTS),[1630530],1610612740.0,NOP,,,,,,,,,,,,Murphy III,T. Murphy III,,,,,,,Made,,,,,1.0,,,,,
39,PT09M09.00S,2025-11-20T01:15:08.9Z,1,REGULAR,freethrow,2 of 2,[],1630530,,,1610612740,8,8,2025-11-20T01:15:08Z,390000,False,,,0,,T. Murphy III Free Throw 2 of 2 (2 PTS),[1630530],1610612740.0,NOP,,,,,,,,,,,,Murphy III,T. Murphy III,,,,,,,Made,,,,,2.0,,,,,
40,PT08M52.00S,2025-11-20T01:15:26.3Z,1,REGULAR,3pt,Jump Shot,[],1631212,32.40801576872536,38.970588235294116,1610612743,8,8,2025-11-20T01:15:33Z,400000,False,55.0,252.0,1,left,MISS P. Watson 25' 3PT,[1631212],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,,,Watson,P. Watson,,,,,,25.81,Missed,,,,,,,,,,
41,PT08M46.00S,2025-11-20T01:15:32.3Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,8,8,2025-11-20T01:15:33Z,410000,False,,,0,,D. Queen REBOUND (Off:1 Def:1),[1642852],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,,Queen,D. Queen,,,,,,,,40.0,2.0,1.0,1.0,,,,,,
42,PT08M41.00S,2025-11-20T01:15:38.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,93.9060446780552,46.32352941176471,1610612740,10,8,2025-11-20T01:15:52Z,420000,False,-18.0,5.0,1,right,T. Murphy III reverse Layup (4 PTS) (D. Queen 2 AST),"[1630530, 1642852]",1610612740.0,NOP,reverse,,,,,,Restricted Area,0-8 Center,,,,Murphy III,T. Murphy III,,,,,,1.9,Made,,,,,4.0,D. Queen,1642852.0,2.0,,
44,PT08M28.00S,2025-11-20T01:15:50.1Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,10,8,2025-11-20T01:15:55Z,440000,False,,,0,,N. Jokić bad pass TURNOVER (3 TO),"[203999, 1630530]",1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Jokić,N. Jokić,,,3.0,Murphy III,1630530.0,,,,,,,,,,,,
45,PT08M28.00S,2025-11-20T01:15:50.1Z,1,REGULAR,steal,,[],1630530,,,1610612740,10,8,2025-11-20T01:15:53Z,450000,False,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,
46,PT08M23.00S,2025-11-20T01:15:55.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1642847,71.96123521681997,80.63725490196079,1610612740,10,8,2025-11-20T01:16:12Z,460000,False,153.0,211.0,1,right,MISS J. Fears 26' running 3PT,[1642847],1610612740.0,NOP,running,,,,,,Above the Break 3,24+ Right Center,,,,Fears,J. Fears,,,,,,26.08,Missed,,,,,,,,,,
47,PT08M20.00S,2025-11-20T01:15:58.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,10,8,2025-11-20T01:16:12Z,470000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,46.0,,,,,,,,,
48,PT08M20.00S,2025-11-20T01:16:06.8Z,1,REGULAR,foul,personal,[],1630529,,,1610612743,10,8,2025-11-20T01:16:22Z,480000,False,,,0,,H. Jones loose ball personal FOUL (1 PF),"[1630529, 1631212]",1610612740.0,NOP,loose ball,,,,,,In The Paint (Non-RA),0-8 Center,1148.0,1.0,0.0,Jones,H. Jones,Watson,1631212.0,,,,,,,,,,,,,,,
50,PT08M08.00S,2025-11-20T01:16:21.3Z,1,REGULAR,3pt,Jump Shot,[],1627750,28.07161629434954,79.90196078431373,1610612743,10,8,2025-11-20T01:22:40Z,500000,False,-150.0,211.0,1,left,MISS J. Murray 25' pullup 3PT,[1627750],1610612743.0,DEN,pullup,,,,,,Above the Break 3,24+ Left Center,,,,Murray,J. Murray,,,,,,25.89,Missed,,,,,,,,,,
51,PT08M06.00S,2025-11-20T01:16:23.3Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,10,8,2025-11-20T01:16:25Z,510000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,,Williamson,Z. Williamson,,,,,,,,50.0,1.0,1.0,0.0,,,,,,
52,PT08M01.00S,2025-11-20T01:16:29.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,91.93495400788436,49.50980392156863,1610612740,12,8,2025-11-20T01:16:38Z,520000,False,-2.0,23.0,1,right,Z. Williamson driving finger roll Layup (6 PTS),[1629627],1610612740.0,NOP,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Williamson,Z. Williamson,,,,,,2.34,Made,,,,,6.0,,,,,
53,PT07M42.00S,2025-11-20T01:16:47.2Z,1,REGULAR,3pt,Jump Shot,[],1630192,6.389618922470433,4.411764705882353,1610612743,12,8,2025-11-20T01:16:57Z,530000,False,228.0,8.0,1,left,MISS Z. Nnaji 3PT,[1630192],1610612743.0,DEN,,,,,,,Right Corner 3,24+ Right,,,,Nnaji,Z. Nnaji,,,,,,22.8,Missed,,,,,,,,,,
54,PT07M38.00S,2025-11-20T01:16:51.2Z,1,REGULAR,rebound,offensive,[],1631212,,,1610612743,12,8,2025-11-20T01:16:57Z,540000,False,,,0,,P. Watson REBOUND (Off:1 Def:2),[1631212],1610612743.0,DEN,,,,,,,Right Corner 3,24+ Right,,,,Watson,P. Watson,,,,,,,,53.0,3.0,2.0,1.0,,,,,,
55,PT07M36.00S,2025-11-20T01:16:53.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631212,7.5722733245729295,53.431372549019606,1610612743,12,8,2025-11-20T01:23:22Z,550000,False,-17.0,19.0,1,left,MISS P. Watson putback Layup,[1631212],1610612743.0,DEN,putback,,,,,,Restricted Area,0-8 Center,,,,Watson,P. Watson,,,,,,2.54,Missed,,,,,,,,,,
56,PT07M34.00S,2025-11-20T01:16:55.8Z,1,REGULAR,rebound,defensive,[],1642847,,,1610612740,12,8,2025-11-20T01:17:00Z,560000,False,,,0,,J. Fears REBOUND (Off:0 Def:1),[1642847],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Fears,J. Fears,,,,,,,,55.0,1.0,1.0,0.0,,,,,,
57,PT07M31.00S,2025-11-20T01:16:59.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642847,94.03745072273325,47.30392156862745,1610612740,14,8,2025-11-20T01:17:05Z,570000,False,-13.0,4.0,1,right,J. Fears running Layup (4 PTS),[1642847],1610612740.0,NOP,running,,,,,,Restricted Area,0-8 Center,,,,Fears,J. Fears,,,,,,1.39,Made,,,,,4.0,,,,,
58,PT07M31.00S,2025-11-20T01:17:07.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,14,8,2025-11-20T01:17:07Z,580000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M31.00S,2025-11-20T01:19:14.7Z,1,REGULAR,substitution,out,[],1642852,,,1610612743,14,8,2025-11-20T01:19:39Z,590000,False,,,0,,SUB out: D. Queen,[1642852],1610612740.0,NOP,,,,,,,,,,,,Queen,D. Queen,,,,,,,,,,,,,,,,,
61,PT07M31.00S,2025-11-20T01:19:14.7Z,1,REGULAR,substitution,in,[],1642274,,,1610612743,14,8,2025-11-20T01:19:39Z,600000,False,,,0,,SUB in: Y. Missi,[1642274],1610612740.0,NOP,,,,,,,,,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,
62,PT07M22.00S,2025-11-20T01:19:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629661,6.258212877792378,46.32352941176471,1610612743,14,10,2025-11-20T01:20:06Z,610000,False,18.0,6.0,1,left,C. Johnson driving Layup (2 PTS),[1629661],1610612743.0,DEN,driving,,,,,,Restricted Area,0-8 Center,,,,Johnson,C. Johnson,,,,,,1.94,Made,,,,,2.0,,,,,
63,PT06M57.00S,2025-11-20T01:20:25.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642847,87.86136662286465,45.83333333333333,1610612740,16,10,2025-11-20T01:20:30Z,620000,False,-21.0,62.0,1,right,J. Fears 6' driving floating Jump Shot (6 PTS) (Y. Missi 1 AST),"[1642847, 1642274]",1610612740.0,NOP,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Fears,J. Fears,,,,,,6.5,Made,,,,,6.0,Y. Missi,1642274.0,1.0,,
65,PT06M39.00S,2025-11-20T01:20:43.1Z,1,REGULAR,turnover,bad pass,[],1631212,,,1610612743,16,10,2025-11-20T01:20:50Z,640000,False,,,0,,P. Watson bad pass TURNOVER (1 TO),"[1631212, 1630530]",1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Watson,P. Watson,,,1.0,Murphy III,1630530.0,,,,,,,,,,,,
66,PT06M39.00S,2025-11-20T01:20:43.1Z,1,REGULAR,steal,,[],1630530,,,1610612740,16,10,2025-11-20T01:24:46Z,650000,False,,,0,,T. Murphy III STEAL (2 STL),[1630530],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,
67,PT06M33.00S,2025-11-20T01:20:49.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629627,92.59198423127464,45.09803921568628,1610612740,16,10,2025-11-20T01:20:54Z,660000,False,-25.0,17.0,1,right,MISS Z. Williamson running Layup,[1629627],1610612740.0,NOP,running,,,,,,Restricted Area,0-8 Center,,,,Williamson,Z. Williamson,,,,,,2.99,Missed,,,,,,,,,,
68,PT06M32.00S,2025-11-20T01:20:50.0Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,16,10,2025-11-20T01:26:31Z,670000,False,,,0,,Y. Missi REBOUND (Off:1 Def:0),[1642274],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Missi,Y. Missi,,,,,,,,67.0,1.0,0.0,1.0,,,,,,
69,PT06M32.00S,2025-11-20T01:20:53.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1642274,94.40999984741211,50.0,1610612740,18,10,2025-11-20T01:26:36Z,680000,False,0.0,0.0,1,right,Y. Missi tip Layup (2 PTS),[1642274],1610612740.0,NOP,tip,,,,,,Restricted Area,0-8 Center,,,,Missi,Y. Missi,,,,,,0.0,Made,,,,,2.0,,,,,
70,PT06M18.00S,2025-11-20T01:21:04.3Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,18,10,2025-11-20T01:21:09Z,690000,False,,,0,,J. Murray bad pass TURNOVER (2 TO),"[1627750, 1630530]",1610612743.0,DEN,,,,,,,Mid-Range,8-16 Right,,,,Murray,J. Murray,,,2.0,Murphy III,1630530.0,,,,,,,,,,,,
71,PT06M18.00S,2025-11-20T01:21:04.3Z,1,REGULAR,steal,,[],1630530,,,1610612740,18,10,2025-11-20T01:37:21Z,700000,False,,,0,,T. Murphy III STEAL (3 STL),[1630530],1610612740.0,NOP,,,,,,,Mid-Range,8-16 Right,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,
72,PT06M16.00S,2025-11-20T01:21:09.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642847,92.85479632063075,53.431372549019606,1610612740,18,10,2025-11-20T01:28:01Z,710000,False,17.0,15.0,1,right,MISS J. Fears running Layup,[1642847],1610612740.0,NOP,running,,,,,,Restricted Area,0-8 Center,,,,Fears,J. Fears,,,,,,2.26,Missed,,,,,,,,,,
73,PT06M15.00S,2025-11-20T01:21:10.0Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,18,10,2025-11-20T01:28:01Z,720000,False,,,0,,Y. Missi REBOUND (Off:2 Def:0),[1642274],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Missi,Y. Missi,,,,,,,,72.0,2.0,0.0,2.0,,,,,,
74,PT06M15.00S,2025-11-20T01:21:16.1Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1642274,94.40999984741211,50.0,1610612740,20,10,2025-11-20T01:29:17Z,730000,False,0.0,0.0,1,right,Y. Missi tip DUNK (4 PTS),[1642274],1610612740.0,NOP,tip,,,,,,Restricted Area,0-8 Center,,,,Missi,Y. Missi,,,,,,0.0,Made,,,,,4.0,,,,,
75,PT05M57.00S,2025-11-20T01:21:24.8Z,1,REGULAR,3pt,Jump Shot,[],1631212,24.52365308804205,13.480392156862745,1610612743,20,10,2025-11-20T01:21:29Z,740000,False,183.0,178.0,1,left,MISS P. Watson 25' 3PT,[1631212],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,,Watson,P. Watson,,,,,,25.5,Missed,,,,,,,,,,
76,PT05M54.00S,2025-11-20T01:21:27.8Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,20,10,2025-11-20T01:21:29Z,750000,False,,,0,,Y. Missi REBOUND (Off:2 Def:1),[1642274],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Missi,Y. Missi,,,,,,,,75.0,3.0,1.0,2.0,,,,,,
77,PT05M37.00S,2025-11-20T01:21:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.06636005256242,48.03921568627451,1610612740,20,10,2025-11-20T01:30:02Z,760000,False,-10.0,22.0,1,right,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,,,,Williamson,Z. Williamson,,,,,,2.42,Missed,,,,,,,,,,
78,PT05M36.00S,2025-11-20T01:21:45.5Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,20,10,2025-11-20T01:30:02Z,770000,False,,,0,,Y. Missi REBOUND (Off:3 Def:1),[1642274],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Missi,Y. Missi,,,,,,,,77.0,4.0,1.0,3.0,,,,,,
79,PT05M34.00S,2025-11-20T01:21:48.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630529,75.90341655716163,88.97058823529412,1610612740,23,10,2025-11-20T01:21:52Z,780000,False,195.0,174.0,1,right,H. Jones 26' 3PT  (3 PTS) (Y. Missi 2 AST),"[1630529, 1642274]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Jones,H. Jones,,,,,,26.13,Made,,,,,3.0,Y. Missi,1642274.0,2.0,,
81,PT05M20.00S,2025-11-20T01:22:01.1Z,1,REGULAR,3pt,Jump Shot,[],203999,34.247700394218136,42.15686274509804,1610612743,23,13,2025-11-20T01:22:05Z,800000,False,39.0,269.0,1,left,N. Jokić 27' 3PT  (3 PTS) (J. Murray 2 AST),"[203999, 1627750]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,,,Jokić,N. Jokić,,,,,,27.22,Made,,,,,3.0,J. Murray,1627750.0,2.0,,
83,PT05M09.00S,2025-11-20T01:22:12.5Z,1,REGULAR,3pt,Jump Shot,[],1630529,79.58278580814718,90.44117647058823,1610612740,23,13,2025-11-20T01:22:18Z,820000,False,202.0,139.0,1,right,MISS H. Jones 24' 3PT,[1630529],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Jones,H. Jones,,,,,,24.56,Missed,,,,,,,,,,
