actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
25,PT10M49.00S,2026-02-22T00:14:01.5Z,1,REGULAR,freethrow,1 of 2,[],1631230,,,1610612755,0,2,2026-02-22T00:14:01Z,250000,False,,,0,,D. Barlow Free Throw 1 of 2 (1 PTS),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
26,PT10M49.00S,2026-02-22T00:14:17.9Z,1,REGULAR,freethrow,2 of 2,[],1631230,,,1610612755,0,3,2026-02-22T00:14:17Z,260000,False,,,0,,D. Barlow Free Throw 2 of 2 (2 PTS),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,Made,,2.0,,,,,,,,,,,,
27,PT10M37.00S,2026-02-22T00:14:35.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,93.24901445466492,46.568627450980394,1610612740,0,3,2026-02-22T00:16:50Z,270000,False,-17.0,11.0,1,right,MISS Z. Williamson driving floating Shot,[1629627],1610612740.0,NOP,driving floating,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.04,,,,,,,,
28,PT10M35.00S,2026-02-22T00:14:37.1Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,0,3,2026-02-22T00:14:42Z,280000,False,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,27.0,,,,,,2.0,1.0,1.0,,,,,
30,PT10M17.00S,2026-02-22T00:15:11.1Z,1,REGULAR,3pt,Jump Shot,[],1626162,8.623521681997373,3.9215686274509802,1610612755,0,3,2026-02-22T00:15:17Z,300000,False,230.0,29.0,1,left,MISS K. Oubre Jr. step back 3PT,[1626162],1610612755.0,PHI,step back,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,23.22,,,,,,,,
31,PT10M14.00S,2026-02-22T00:15:14.1Z,1,REGULAR,rebound,defensive,[],201599,,,1610612740,0,3,2026-02-22T00:15:17Z,310000,False,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,Right Corner 3,24+ Right,,,,,,,30.0,,,,,,1.0,1.0,0.0,,,,,
32,PT10M05.00S,2026-02-22T00:15:23.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642852,92.46057818659659,48.529411764705884,1610612740,0,3,2026-02-22T00:15:31Z,320000,False,-7.0,18.0,1,right,MISS D. Queen driving DUNK - blocked,"[1642852, 203083]",1610612740.0,NOP,driving,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,1.98,,,,Drummond,203083.0,,,
38,PT10M05.00S,2026-02-22T00:15:23.2Z,1,REGULAR,block,,[],203083,,,1610612740,0,3,2026-02-22T00:16:09Z,325000,False,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT10M02.00S,2026-02-22T00:15:26.2Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,0,3,2026-02-22T00:15:31Z,330000,False,,,0,,A. Drummond REBOUND (Off:1 Def:2),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,32.0,,,,,,3.0,2.0,1.0,,,,,
34,PT10M00.00S,2026-02-22T00:15:30.5Z,1,REGULAR,violation,kicked ball,[],1630529,,,1610612755,0,3,2026-02-22T00:15:38Z,340000,False,,,0,,H. Jones kicked ball VIOLATION,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,1628487.0,,,,,,,,,,,,,,,,,,,
35,PT09M57.00S,2026-02-22T00:15:53.5Z,1,REGULAR,foul,offensive,[],203083,,,1610612755,0,3,2026-02-22T00:16:49Z,350000,False,,,0,,A. Drummond offensive FOUL (1 PF),"[203083, 1630529]",1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Right Center,1628487.0,1.0,0.0,Jones,1630529.0,,,,,,,,,,,,,,,
37,PT09M57.00S,2026-02-22T00:15:53.5Z,1,REGULAR,turnover,offensive foul,[],203083,,,1610612755,0,3,2026-02-22T00:15:53Z,370000,False,,,0,,A. Drummond offensive foul TURNOVER (1 TO),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Right Center,1628487.0,,,,,,,,1.0,,,,,,,,,,,
39,PT09M46.00S,2026-02-22T00:16:17.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630529,77.21747700394218,12.009803921568627,1610612740,0,3,2026-02-22T00:16:22Z,380000,False,-190.0,162.0,1,right,MISS H. Jones 24' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,24.95,,,,,,,,
40,PT09M43.00S,2026-02-22T00:16:20.5Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,0,3,2026-02-22T00:16:22Z,390000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,39.0,,,,,,1.0,1.0,0.0,,,,,
41,PT09M39.00S,2026-02-22T00:16:25.7Z,1,REGULAR,foul,personal,['2freethrow'],1630180,,,1610612755,0,3,2026-02-22T00:16:34Z,400000,False,,,0,,S. Bey shooting personal FOUL (2 PF) (Oubre Jr. 2 FT),"[1630180, 1626162]",1610612740.0,NOP,shooting,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,1162.0,2.0,0.0,Oubre Jr.,1626162.0,,,,,,,,,,,,,,,
43,PT09M39.00S,2026-02-22T00:16:59.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1626162,,,1610612755,0,4,2026-02-22T00:18:46Z,420000,False,,,0,,K. Oubre Jr. Free Throw 1 of 2 (1 PTS),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
44,PT09M39.00S,2026-02-22T00:16:59.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1626162,,,1610612755,0,5,2026-02-22T00:18:46Z,430000,False,,,0,,K. Oubre Jr. Free Throw 2 of 2 (2 PTS),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,Made,,2.0,,,,,,,,,,,,
45,PT09M28.00S,2026-02-22T00:17:32.4Z,1,REGULAR,turnover,bad pass,[],1630180,,,1610612740,0,5,2026-02-22T00:17:39Z,440000,False,,,0,,S. Bey bad pass TURNOVER (1 TO),"[1630180, 203083]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,Drummond,203083.0,,,,,,,,,
46,PT09M28.00S,2026-02-22T00:17:32.4Z,1,REGULAR,steal,,[],203083,,,1610612755,0,5,2026-02-22T00:17:35Z,450000,False,,,0,,A. Drummond STEAL (1 STL),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
47,PT09M24.00S,2026-02-22T00:17:37.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631230,8.09789750328515,49.50980392156863,1610612755,0,5,2026-02-22T00:17:50Z,460000,False,2.0,24.0,1,left,MISS D. Barlow running Layup,[1631230],1610612755.0,PHI,running,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.37,,,,,,,,
48,PT09M24.00S,2026-02-22T00:17:37.0Z,1,REGULAR,rebound,offensive,[],1630178,,,1610612755,0,5,2026-02-22T00:18:30Z,470000,False,,,0,,T. Maxey REBOUND (Off:1 Def:0),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,47.0,,,,,,1.0,0.0,1.0,,,,,
49,PT09M20.00S,2026-02-22T00:17:40.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626162,28.991458607095925,74.26470588235294,1610612755,0,8,2026-02-22T00:17:53Z,480000,False,-121.0,220.0,1,left,K. Oubre Jr. 25' 3PT  (5 PTS) (T. Maxey 1 AST),"[1626162, 1630178]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,5.0,,,,25.12,,,,,,T. Maxey,1630178.0,1.0
51,PT09M09.00S,2026-02-22T00:17:54.9Z,1,REGULAR,foul,personal,[],1631230,,,1610612740,0,8,2026-02-22T00:18:10Z,500000,False,,,0,,D. Barlow personal FOUL (1 PF),"[1631230, 201599]",1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Above the Break 3,24+ Center,1628487.0,1.0,0.0,Jordan,201599.0,,,,,,,,,,,,,,,
53,PT09M04.00S,2026-02-22T00:18:18.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642852,93.51182654402102,45.34313725490196,1610612740,2,8,2026-02-22T00:20:33Z,520000,False,-23.0,8.0,1,right,D. Queen driving bank Hook (2 PTS),[1642852],1610612740.0,NOP,driving bank,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,,,,2.48,,,,,,,,
54,PT08M43.00S,2026-02-22T00:18:37.9Z,1,REGULAR,3pt,Jump Shot,[],203083,4.28712220762155,95.83333333333334,1610612755,2,8,2026-02-22T00:18:42Z,530000,False,-229.0,-12.0,1,left,MISS A. Drummond 3PT,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,22.95,,,,,,,,
55,PT08M40.00S,2026-02-22T00:18:40.9Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,2,8,2026-02-22T00:18:42Z,540000,False,,,0,,D. Queen REBOUND (Off:0 Def:2),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Left Corner 3,24+ Left,,,,,,,54.0,,,,,,2.0,2.0,0.0,,,,,
56,PT08M37.00S,2026-02-22T00:18:44.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630180,82.47371879106439,5.147058823529411,1610612740,5,8,2026-02-22T00:18:50Z,550000,False,-224.0,112.0,1,right,S. Bey 25' 3PT running (3 PTS) (Z. Williamson 1 AST),"[1630180, 1629627]",1610612740.0,NOP,running,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,3.0,,,,25.08,,,,,,Z. Williamson,1629627.0,1.0
58,PT08M24.00S,2026-02-22T00:18:59.8Z,1,REGULAR,foul,personal,['2freethrow'],1629627,,,1610612755,5,8,2026-02-22T00:19:04Z,570000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Barlow 2 FT),"[1629627, 1631230]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1628487.0,1.0,0.0,Barlow,1631230.0,,,,,,,,,,,,,,,
60,PT08M24.00S,2026-02-22T00:19:32.6Z,1,REGULAR,freethrow,1 of 2,[],1631230,,,1610612755,5,8,2026-02-22T00:19:52Z,590000,False,,,0,,MISS D. Barlow Free Throw 1 of 2,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
61,PT08M24.00S,2026-02-22T00:19:32.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612755,5,8,2026-02-22T00:19:52Z,600000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,
62,PT08M24.00S,2026-02-22T00:19:32.6Z,1,REGULAR,freethrow,2 of 2,[],1631230,,,1610612755,5,8,2026-02-22T00:19:52Z,610000,False,,,0,,MISS D. Barlow Free Throw 2 of 2,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
63,PT08M22.00S,2026-02-22T00:19:34.6Z,1,REGULAR,rebound,defensive,[],201599,,,1610612740,5,8,2026-02-22T00:19:52Z,620000,False,,,0,,D. Jordan REBOUND (Off:0 Def:2),[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,,,,,,,,,62.0,,,,,,2.0,2.0,0.0,,,,,
64,PT08M12.00S,2026-02-22T00:20:00.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,93.38042049934296,50.0,1610612740,7,8,2026-02-22T00:20:07Z,630000,False,0.0,10.0,1,right,D. Jordan alley-oop DUNK (2 PTS) (H. Jones 1 AST),"[201599, 1630529]",1610612740.0,NOP,alley-oop,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,,,,0.97,,,,,,H. Jones,1630529.0,1.0
66,PT07M57.00S,2026-02-22T00:20:14.2Z,1,REGULAR,3pt,Jump Shot,[],1642845,28.728646517739815,76.47058823529412,1610612755,7,11,2026-02-22T00:21:53Z,650000,False,-132.0,218.0,1,left,V. Edgecombe 25' 3PT step back (3 PTS),[1642845],1610612755.0,PHI,step back,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,3.0,,,,25.46,,,,,,,,
67,PT07M42.00S,2026-02-22T00:20:30.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,91.27792378449409,51.225490196078425,1610612740,7,11,2026-02-22T00:20:34Z,660000,False,6.0,29.0,1,right,MISS S. Bey driving Layup,[1630180],1610612740.0,NOP,driving,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.01,,,,,,,,
68,PT07M40.00S,2026-02-22T00:20:32.1Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,7,11,2026-02-22T00:20:34Z,670000,False,,,0,,D. Barlow REBOUND (Off:0 Def:1),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,,,,67.0,,,,,,1.0,1.0,0.0,,,,,
69,PT07M36.00S,2026-02-22T00:20:35.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642845,24.52365308804205,83.57843137254902,1610612755,7,11,2026-02-22T00:24:43Z,680000,False,-168.0,178.0,1,left,MISS V. Edgecombe 24' running pullup 3PT,[1642845],1610612755.0,PHI,running pullup,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,24.47,,,,,,,,
70,PT07M33.00S,2026-02-22T00:20:38.7Z,1,REGULAR,rebound,defensive,[],201599,,,1610612740,7,11,2026-02-22T00:20:42Z,690000,False,,,0,,D. Jordan REBOUND (Off:0 Def:3),[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,Above the Break 3,24+ Left Center,,,,,,,69.0,,,,,,3.0,3.0,0.0,,,,,
71,PT07M24.00S,2026-02-22T00:20:47.7Z,1,REGULAR,3pt,Jump Shot,[],1630180,92.19776609724047,3.9215686274509802,1610612740,10,11,2026-02-22T00:20:51Z,700000,False,-230.0,21.0,1,right,S. Bey 3PT  (6 PTS) (Z. Williamson 2 AST),"[1630180, 1629627]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,,,,,,Made,,6.0,,,,23.13,,,,,,Z. Williamson,1629627.0,2.0
73,PT07M09.00S,2026-02-22T00:21:02.4Z,1,REGULAR,3pt,Jump Shot,[],1626162,24.26084099868594,10.784313725490197,1610612755,10,11,2026-02-22T00:21:09Z,720000,False,196.0,176.0,1,left,MISS K. Oubre Jr. 26' 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,26.32,,,,,,,,
74,PT07M06.00S,2026-02-22T00:21:05.4Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612740,10,11,2026-02-22T00:21:09Z,730000,False,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,,,,,,,73.0,,,,,,1.0,1.0,0.0,,,,,
75,PT07M04.00S,2026-02-22T00:21:08.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629627,93.51182654402102,48.77450980392157,1610612740,12,11,2026-02-22T00:21:13Z,740000,False,-6.0,8.0,1,right,Z. Williamson running DUNK (2 PTS) (S. Bey 1 AST),"[1629627, 1630180]",1610612740.0,NOP,running,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,,,,1.05,,,,,,S. Bey,1630180.0,1.0
78,PT06M43.00S,2026-02-22T00:21:35.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,12,11,2026-02-22T00:21:35Z,770000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M36.00S,2026-02-22T00:25:01.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,11.777266754270697,50.98039215686274,1610612755,12,11,2026-02-22T00:25:59Z,780000,False,-5.0,58.0,1,left,MISS K. Oubre Jr. driving floating Shot - blocked,"[1626162, 201599]",1610612755.0,PHI,driving floating,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,,5.84,,,,Jordan,201599.0,,,
80,PT06M36.00S,2026-02-22T00:25:01.8Z,1,REGULAR,block,,[],201599,,,1610612755,12,11,2026-02-22T00:25:03Z,790000,False,,,0,,D. Jordan BLOCK (1 BLK),[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
81,PT06M34.00S,2026-02-22T00:25:03.8Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,12,11,2026-02-22T00:25:12Z,800000,False,,,0,,D. Queen REBOUND (Off:0 Def:3),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,79.0,,,,,,3.0,3.0,0.0,,,,,
82,PT06M31.00S,2026-02-22T00:25:07.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629627,91.5407358738502,50.73529411764706,1610612740,12,11,2026-02-22T00:25:16Z,810000,False,4.0,27.0,1,right,MISS Z. Williamson running Layup,[1629627],1610612740.0,NOP,running,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.73,,,,,,,,
83,PT06M28.00S,2026-02-22T00:25:10.9Z,1,REGULAR,rebound,defensive,[],1642845,,,1610612755,12,11,2026-02-22T00:25:16Z,820000,False,,,0,,V. Edgecombe REBOUND (Off:0 Def:2),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,,,,,,,82.0,,,,,,2.0,2.0,0.0,,,,,
84,PT06M18.00S,2026-02-22T00:25:20.1Z,1,REGULAR,turnover,lost ball,[],1642845,,,1610612755,12,11,2026-02-22T00:25:26Z,830000,False,,,0,,V. Edgecombe lost ball TURNOVER (1 TO),"[1642845, 1629627]",1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,8-16 Center,,,,,,,,,1.0,Williamson,1629627.0,,,,,,,,,
85,PT06M18.00S,2026-02-22T00:25:20.1Z,1,REGULAR,steal,,[],1629627,,,1610612740,12,11,2026-02-22T00:25:21Z,840000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
86,PT06M13.00S,2026-02-22T00:25:25.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630180,93.77463863337714,52.20588235294118,1610612740,14,11,2026-02-22T00:25:31Z,850000,False,11.0,6.0,1,right,S. Bey running Layup (8 PTS) (Z. Williamson 3 AST),"[1630180, 1629627]",1610612740.0,NOP,running,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,,,Made,,8.0,,,,1.25,,,,,,Z. Williamson,1629627.0,3.0
