actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
16,PT11M17.00S,2022-04-04T01:12:49.4Z,1,REGULAR,foul,personal,[],203084,,,1610612744,0,0,2022-04-04T01:13:05Z,160000,,,0,,H. Barnes personal FOUL (1 PF),"[203084, 203952]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,2002.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,,,,,,,,
18,PT11M04.00S,2022-04-04T01:13:14.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203110,67.23061760840999,44.6078431372549,1610612744,0,3,2022-04-04T01:13:21Z,180000,-27.0,256.0,1,right,D. Green 25' 3PT  (3 PTS) (A. Wiggins 1 AST),"[203110, 203952]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,25.69,Made,,3.0,A. Wiggins,203952.0,1.0,,,,,,,,,
20,PT10M49.00S,2022-04-04T01:13:28.6Z,1,REGULAR,3pt,Jump Shot,[],1626168,26.888961892247043,79.65686274509804,1610612758,3,3,2022-04-04T01:13:33Z,200000,-148.0,200.0,1,left,T. Lyles 24' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1626168, 1630558]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,24.92,Made,,3.0,D. Mitchell,1630558.0,1.0,,,,,,,,,
22,PT10M30.00S,2022-04-04T01:13:46.8Z,1,REGULAR,2pt,Jump Shot,[],1629673,93.64323258869908,18.38235294117647,1610612744,3,3,2022-04-04T01:13:51Z,220000,-158.0,7.0,1,right,MISS J. Poole 15' fadeaway Shot,[1629673],1610612744.0,GSW,fadeaway,,,Poole,J. Poole,,,,,,,,,,15.83,Missed,,,,,,,,,,,,,,
23,PT10M28.00S,2022-04-04T01:13:48.8Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612758,3,3,2022-04-04T01:13:51Z,230000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,22.0,,,,,1.0,1.0,0.0,,,,,,
24,PT10M24.00S,2022-04-04T01:13:52.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203084,5.995400788436268,2.696078431372549,1610612758,6,3,2022-04-04T01:13:58Z,240000,237.0,4.0,1,left,H. Barnes 3PT running (3 PTS) (J. Holiday 1 AST),"[203084, 203200]",1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,,,,,,23.65,Made,,3.0,J. Holiday,203200.0,1.0,,,,,,,,,
26,PT10M03.00S,2022-04-04T01:14:14.0Z,1,REGULAR,3pt,Jump Shot,[],203952,76.69185282522996,86.51960784313727,1610612744,6,3,2022-04-04T01:14:19Z,260000,183.0,167.0,1,right,MISS A. Wiggins 24' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,24.72,Missed,,,,,,,,,,,,,,
27,PT09M59.00S,2022-04-04T01:14:18.0Z,1,REGULAR,rebound,offensive,[],1627780,,,1610612744,6,3,2022-04-04T01:14:19Z,270000,,,0,,G. Payton II REBOUND (Off:1 Def:0),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,26.0,,,,,1.0,0.0,1.0,,,,,,
28,PT09M51.00S,2022-04-04T01:14:29.5Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,6,3,2022-04-04T01:14:41Z,280000,,,0,,J. Poole bad pass TURNOVER (1 TO),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,1.0,,,,,
29,PT09M35.00S,2022-04-04T01:14:56.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630558,24.917871222076215,54.166666666666664,1610612758,6,3,2022-04-04T01:15:04Z,290000,-21.0,182.0,1,left,MISS D. Mitchell 18' pullup Shot,[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,,,,,,18.29,Missed,,,,,,,,,,,,,,
30,PT09M30.00S,2022-04-04T01:15:01.8Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,6,3,2022-04-04T01:15:04Z,300000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,29.0,,,,,1.0,1.0,0.0,,,,,,
31,PT09M27.00S,2022-04-04T01:15:05.1Z,1,REGULAR,foul,personal,['2freethrow'],1626168,,,1610612744,6,3,2022-04-04T01:15:24Z,310000,,,0,,T. Lyles shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1626168, 203952]",1610612758.0,SAC,shooting,,,Lyles,T. Lyles,,,,,1628172.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,,,,,,,,
33,PT09M27.00S,2022-04-04T01:15:32.8Z,1,REGULAR,freethrow,1 of 2,[],203952,,,1610612744,6,4,2022-04-04T01:15:32Z,330000,,,0,,A. Wiggins Free Throw 1 of 2 (1 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
34,PT09M27.00S,2022-04-04T01:15:49.8Z,1,REGULAR,freethrow,2 of 2,[],203952,,,1610612744,6,5,2022-04-04T01:15:49Z,340000,,,0,,A. Wiggins Free Throw 2 of 2 (2 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,Made,,2.0,,,,,,,,,,,,
35,PT09M15.00S,2022-04-04T01:16:05.6Z,1,REGULAR,3pt,Jump Shot,[],203084,30.962549277266753,66.66666666666666,1610612758,6,5,2022-04-04T01:16:11Z,350000,-83.0,239.0,1,left,MISS H. Barnes 25' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,25.26,Missed,,,,,,,,,,,,,,
36,PT09M12.00S,2022-04-04T01:16:08.6Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,6,5,2022-04-04T01:16:11Z,360000,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,35.0,,,,,2.0,2.0,0.0,,,,,,
37,PT09M02.00S,2022-04-04T01:16:19.2Z,1,REGULAR,3pt,Jump Shot,[],1629673,66.5735873850197,58.08823529411765,1610612744,6,8,2022-04-04T01:16:23Z,370000,40.0,262.0,1,right,J. Poole 26' 3PT  (3 PTS) (A. Wiggins 2 AST),"[1629673, 203952]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,26.48,Made,,3.0,A. Wiggins,203952.0,2.0,,,,,,,,,
39,PT08M37.00S,2022-04-04T01:16:43.7Z,1,REGULAR,3pt,Jump Shot,[],1626168,4.155716162943495,96.56862745098039,1610612758,6,8,2022-04-04T01:16:49Z,390000,-233.0,-13.0,1,left,MISS T. Lyles 3PT,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,23.32,Missed,,,,,,,,,,,,,,
40,PT08M34.00S,2022-04-04T01:16:46.7Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,6,8,2022-04-04T01:16:49Z,400000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,39.0,,,,,1.0,1.0,0.0,,,,,,
41,PT08M24.00S,2022-04-04T01:16:57.1Z,1,REGULAR,3pt,Jump Shot,[],203110,74.19513797634691,15.686274509803921,1610612744,6,11,2022-04-04T01:17:01Z,410000,-172.0,190.0,1,right,D. Green 25' 3PT  (6 PTS) (J. Poole 1 AST),"[203110, 1629673]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,25.61,Made,,6.0,J. Poole,1629673.0,1.0,,,,,,,,,
43,PT08M10.00S,2022-04-04T01:17:11.2Z,1,REGULAR,3pt,Jump Shot,[],203084,33.459264126149804,57.59803921568627,1610612758,6,11,2022-04-04T01:17:23Z,430000,-38.0,262.0,1,left,MISS H. Barnes 26' step back 3PT,[203084],1610612758.0,SAC,step back,,,Barnes,H. Barnes,,,,,,,,,,26.47,Missed,,,,,,,,,,,,,,
44,PT08M07.00S,2022-04-04T01:17:14.2Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,6,11,2022-04-04T01:17:23Z,440000,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,43.0,,,,,3.0,3.0,0.0,,,,,,
45,PT08M00.00S,2022-04-04T01:17:21.0Z,1,REGULAR,turnover,lost ball,[],203952,,,1610612744,6,11,2022-04-04T01:17:25Z,450000,,,0,,A. Wiggins lost ball TURNOVER (1 TO),"[203952, 203084]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,1.0,Barnes,203084.0,,,
46,PT08M00.00S,2022-04-04T01:17:21.0Z,1,REGULAR,steal,,[],203084,,,1610612758,6,11,2022-04-04T01:17:23Z,460000,,,0,,H. Barnes STEAL (1 STL),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M52.00S,2022-04-04T01:17:29.4Z,1,REGULAR,turnover,lost ball,[],203084,,,1610612758,6,11,2022-04-04T01:17:37Z,470000,,,0,,H. Barnes lost ball TURNOVER (1 TO),"[203084, 1627780]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,1.0,Payton II,1627780.0,,,
48,PT07M52.00S,2022-04-04T01:17:29.4Z,1,REGULAR,steal,,[],1627780,,,1610612744,6,11,2022-04-04T01:17:31Z,480000,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M44.00S,2022-04-04T01:17:36.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629673,66.96780551905388,39.705882352941174,1610612744,6,14,2022-04-04T01:17:41Z,490000,-51.0,258.0,1,right,J. Poole 26' 3PT running (6 PTS),[1629673],1610612744.0,GSW,running,,,Poole,J. Poole,,,,,,,,,,26.31,Made,,6.0,,,,,,,,,,,,
51,PT07M23.00S,2022-04-04T01:17:59.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627745,6.521024967148489,45.09803921568628,1610612758,6,14,2022-04-04T01:18:03Z,510000,25.0,9.0,1,left,MISS D. Jones driving Layup,[1627745],1610612758.0,SAC,driving,,,Jones,D. Jones,,,,,,,,,,2.6,Missed,,,,,,,,,,,,,,
52,PT07M21.00S,2022-04-04T01:18:00.9Z,1,REGULAR,rebound,offensive,[],1626168,,,1610612758,6,14,2022-04-04T01:18:00Z,520000,,,0,,T. Lyles REBOUND (Off:1 Def:0),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,51.0,,,,,1.0,0.0,1.0,,,,,,
53,PT07M19.00S,2022-04-04T01:18:01.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626168,7.966491458607096,46.81372549019608,1610612758,8,14,2022-04-04T01:22:20Z,530000,16.0,22.0,1,left,T. Lyles putback Layup (5 PTS),[1626168],1610612758.0,SAC,putback,,,Lyles,T. Lyles,,,,,,,,,,2.75,Made,,5.0,,,,,,,,,,,,
54,PT07M08.00S,2022-04-04T01:18:13.0Z,1,REGULAR,3pt,Jump Shot,[],1629673,70.38436268068331,24.264705882352942,1610612744,8,14,2022-04-04T01:18:18Z,540000,-129.0,226.0,1,right,MISS J. Poole 26' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,26.0,Missed,,,,,,,,,,,,,,
55,PT07M05.00S,2022-04-04T01:18:16.0Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,8,14,2022-04-04T01:18:18Z,550000,,,0,,T. Lyles REBOUND (Off:1 Def:1),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,54.0,,,,,2.0,1.0,1.0,,,,,,
56,PT07M00.00S,2022-04-04T01:18:26.6Z,1,REGULAR,foul,personal,[],1629673,,,1610612758,8,14,2022-04-04T01:18:50Z,560000,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 1630558]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,1628172.0,1.0,0.0,Mitchell,1630558.0,,,,,,,,,,,,,,,,
58,PT06M44.00S,2022-04-04T01:19:16.4Z,1,REGULAR,turnover,lost ball,[],203200,,,1610612758,8,14,2022-04-04T01:19:22Z,580000,,,0,,J. Holiday lost ball TURNOVER (1 TO),"[203200, 203110]",1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,1.0,Green,203110.0,,,
59,PT06M44.00S,2022-04-04T01:19:16.4Z,1,REGULAR,steal,,[],203110,,,1610612744,8,14,2022-04-04T01:19:18Z,590000,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M39.00S,2022-04-04T01:19:21.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627780,92.19776609724047,45.83333333333333,1610612744,8,14,2022-04-04T01:19:27Z,600000,-21.0,21.0,1,right,MISS G. Payton II running Layup,[1627780],1610612744.0,GSW,running,,,Payton II,G. Payton II,,,,,,,,,,2.94,Missed,,,,,,,,,,,,,,
61,PT06M37.00S,2022-04-04T01:19:23.1Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,8,14,2022-04-04T01:19:27Z,610000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,60.0,,,,,1.0,1.0,0.0,,,,,,
62,PT06M36.00S,2022-04-04T01:19:28.7Z,1,REGULAR,foul,personal,[],1629673,,,1610612758,8,14,2022-04-04T01:19:36Z,620000,,,0,,J. Poole personal FOUL (2 PF),"[1629673, 1630558]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,2003.0,2.0,0.0,Mitchell,1630558.0,,,,,,,,,,,,,,,,
64,PT06M36.00S,2022-04-04T01:19:39.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,8,14,2022-04-04T01:19:39Z,640000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M36.00S,2022-04-04T01:22:00.3Z,1,REGULAR,substitution,out,[],1627780,,,1610612758,8,14,2022-04-04T01:22:33Z,650000,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M36.00S,2022-04-04T01:22:00.3Z,1,REGULAR,substitution,out,[],1626172,,,1610612758,8,14,2022-04-04T01:22:33Z,660000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M36.00S,2022-04-04T01:22:00.3Z,1,REGULAR,substitution,in,[],1627814,,,1610612758,8,14,2022-04-04T01:22:33Z,670000,,,0,,SUB in: D. Lee,[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M36.00S,2022-04-04T01:22:00.3Z,1,REGULAR,substitution,in,[],202357,,,1610612758,8,14,2022-04-04T01:22:33Z,680000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M27.00S,2022-04-04T01:22:53.3Z,1,REGULAR,2pt,Jump Shot,[],1630558,6.258212877792378,66.91176470588235,1610612758,8,14,2022-04-04T01:23:01Z,690000,-85.0,6.0,1,left,MISS D. Mitchell 8' driving floating Shot,[1630558],1610612758.0,SAC,driving floating,,,Mitchell,D. Mitchell,,,,,,,,,,8.48,Missed,,,,,,,,,,,,,,
70,PT06M24.00S,2022-04-04T01:22:57.0Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,8,14,2022-04-04T01:22:57Z,700000,,,0,,H. Barnes REBOUND (Off:1 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,69.0,,,,,2.0,1.0,1.0,,,,,,
71,PT06M22.00S,2022-04-04T01:22:58.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203084,7.30946123521682,49.754901960784316,1610612758,10,14,2022-04-04T01:23:46Z,710000,1.0,16.0,1,left,H. Barnes putback Layup (5 PTS),[203084],1610612758.0,SAC,putback,,,Barnes,H. Barnes,,,,,,,,,,1.62,Made,,5.0,,,,,,,,,,,,
72,PT06M07.00S,2022-04-04T01:23:12.3Z,1,REGULAR,3pt,Jump Shot,[],203952,69.07030223390277,32.35294117647059,1610612744,10,17,2022-04-04T01:23:17Z,720000,-88.0,238.0,1,right,A. Wiggins 25' 3PT pullup (5 PTS),[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,,,,,,25.4,Made,,5.0,,,,,,,,,,,,
101,PT05M48.00S,2022-04-04T01:23:21.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626168,6.258212877792378,55.63725490196079,1610612758,10,17,2022-04-04T01:29:16Z,725000,-28.0,6.0,1,left,MISS T. Lyles driving Layup - blocked,"[1626168, 1627814]",1610612758.0,SAC,driving,,,Lyles,T. Lyles,,,,,,,,,,2.89,Missed,,,,,,,,,,,,Lee,1627814.0,
102,PT05M48.00S,2022-04-04T01:23:21.9Z,1,REGULAR,block,,[],1627814,,,1610612758,10,17,2022-04-04T01:29:16Z,727500,,,0,,D. Lee BLOCK (1 BLK),[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT05M48.00S,2022-04-04T01:23:21.9Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,10,17,2022-04-04T01:29:16Z,728750,,,0,,J. Poole REBOUND (Off:0 Def:2),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,101.0,,,,,2.0,2.0,0.0,,,,,,
75,PT05M41.00S,2022-04-04T01:23:39.0Z,1,REGULAR,3pt,Jump Shot,[],1629673,71.56701708278581,23.03921568627451,1610612744,10,17,2022-04-04T01:29:23Z,750000,-135.0,215.0,1,right,MISS J. Poole 25' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,25.36,Missed,,,,,,,,,,,,,,
76,PT05M38.00S,2022-04-04T01:23:42.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,10,17,2022-04-04T01:23:46Z,760000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,
77,PT05M38.00S,2022-04-04T01:23:47.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,10,17,2022-04-04T01:23:47Z,770000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M27.00S,2022-04-04T01:23:59.9Z,1,REGULAR,3pt,Jump Shot,[],203200,7.835085413929041,95.34313725490196,1610612758,10,17,2022-04-04T01:24:05Z,780000,-227.0,21.0,1,left,MISS J. Holiday 3PT,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,22.77,Missed,,,,,,,,,,,,,,
79,PT05M24.00S,2022-04-04T01:24:02.9Z,1,REGULAR,rebound,defensive,[],202357,,,1610612744,10,17,2022-04-04T01:24:05Z,790000,,,0,,N. Bjelica REBOUND (Off:0 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,78.0,,,,,1.0,1.0,0.0,,,,,,
80,PT05M09.00S,2022-04-04T01:24:17.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,82.07950065703022,63.48039215686274,1610612744,10,19,2022-04-04T01:24:23Z,800000,67.0,116.0,1,right,A. Wiggins 13' turnaround fadeaway Jump Shot (7 PTS),[203952],1610612744.0,GSW,turnaround fadeaway,,,Wiggins,A. Wiggins,,,,,,,,,,13.42,Made,,7.0,,,,,,,,,,,,
81,PT04M50.00S,2022-04-04T01:24:36.1Z,1,REGULAR,2pt,Jump Shot,[],1630558,11.908672798948752,81.12745098039215,1610612758,10,19,2022-04-04T01:27:16Z,810000,-156.0,59.0,1,left,MISS D. Mitchell 16' pullup Shot,[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,,,,,,16.66,Missed,,,,,,,,,,,,,,
82,PT04M47.00S,2022-04-04T01:24:39.1Z,1,REGULAR,rebound,defensive,[],1627814,,,1610612744,10,19,2022-04-04T01:24:41Z,820000,,,0,,D. Lee REBOUND (Off:0 Def:1),[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,,,81.0,,,,,1.0,1.0,0.0,,,,,,
83,PT04M35.00S,2022-04-04T01:24:51.8Z,1,REGULAR,3pt,Jump Shot,[],1627814,71.17279894875165,78.18627450980392,1610612744,10,19,2022-04-04T01:24:58Z,830000,141.0,218.0,1,right,MISS D. Lee 26' 3PT,[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,26.0,Missed,,,,,,,,,,,,,,
84,PT04M31.00S,2022-04-04T01:24:55.8Z,1,REGULAR,rebound,offensive,[],203110,,,1610612744,10,19,2022-04-04T01:24:58Z,840000,,,0,,D. Green REBOUND (Off:1 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,83.0,,,,,4.0,3.0,1.0,,,,,,
85,PT04M30.00S,2022-04-04T01:24:56.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203110,92.46057818659659,44.85294117647059,1610612744,10,19,2022-04-04T01:25:01Z,850000,-26.0,18.0,1,right,MISS D. Green Layup,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,3.16,Missed,,,,,,,,,,,,,,
86,PT04M28.00S,2022-04-04T01:24:58.6Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,10,19,2022-04-04T01:24:58Z,860000,,,0,,H. Barnes REBOUND (Off:1 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,85.0,,,,,3.0,2.0,1.0,,,,,,
87,PT04M21.00S,2022-04-04T01:25:05.8Z,1,REGULAR,2pt,Jump Shot,[],203200,23.603810775295663,49.01960784313725,1610612758,10,19,2022-04-04T01:25:11Z,870000,5.0,169.0,1,left,MISS J. Holiday 16' pullup Shot,[203200],1610612758.0,SAC,pullup,,,Holiday,J. Holiday,,,,,,,,,,16.95,Missed,,,,,,,,,,,,,,
88,PT04M17.00S,2022-04-04T01:25:09.8Z,1,REGULAR,rebound,defensive,[],202357,,,1610612744,10,19,2022-04-04T01:25:11Z,880000,,,0,,N. Bjelica REBOUND (Off:0 Def:2),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,87.0,,,,,2.0,2.0,0.0,,,,,,
89,PT04M04.00S,2022-04-04T01:25:27.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,10,19,2022-04-04T01:25:27Z,890000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
