actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
34,PT09M20.00S,2022-02-09T03:14:27.8Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,9,8,2022-02-09T03:14:28Z,340000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT09M20.00S,2022-02-09T03:14:32.9Z,1,REGULAR,violation,kicked ball,[],203090,,,1610612750,9,8,2022-02-09T03:14:49Z,350000,,,0,,M. Harkless kicked ball VIOLATION,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,201638.0,,,,,,,,,
36,PT09M13.00S,2022-02-09T03:14:50.4Z,1,REGULAR,turnover,traveling,[],1626157,,,1610612750,9,8,2022-02-09T03:14:57Z,360000,,,0,,K. Towns traveling TURNOVER (1 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,201638.0,1.0,,,,,,,,
37,PT09M06.00S,2022-02-09T03:15:10.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203084,28.203022339027594,20.588235294117645,1610612758,9,8,2022-02-09T03:15:15Z,370000,147.0,213.0,1,left,MISS H. Barnes 25' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,
38,PT09M03.00S,2022-02-09T03:15:13.0Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,9,8,2022-02-09T03:15:15Z,380000,,,0,,K. Towns REBOUND (Off:1 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,37.0,3.0,2.0,1.0,,,,,,,,,,,,,,
39,PT08M56.00S,2022-02-09T03:15:19.9Z,1,REGULAR,2pt,Jump Shot,[],1626156,79.188567674113,44.36274509803921,1610612750,9,8,2022-02-09T03:15:29Z,390000,-28.0,143.0,1,right,MISS D. Russell 14' pullup Shot,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,14.59,Missed,,,,,,,,,,,,,,,,,,
40,PT08M54.00S,2022-02-09T03:15:28.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,9,8,2022-02-09T03:15:28Z,400000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,
41,PT08M54.00S,2022-02-09T03:15:32.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,9,8,2022-02-09T03:15:32Z,410000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M50.00S,2022-02-09T03:15:43.2Z,1,REGULAR,foul,personal,[],1627745,,,1610612750,9,8,2022-02-09T03:15:50Z,420000,,,0,,D. Jones personal FOUL (1 PF),"[1627745, 1626157]",1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,202035.0,,1.0,0.0,Towns,1626157.0,,,,
44,PT08M43.00S,2022-02-09T03:16:04.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626157,83.26215505913272,3.9215686274509802,1610612750,9,11,2022-02-09T03:16:09Z,440000,-230.0,105.0,1,right,K. Towns 25' 3PT  (5 PTS) (P. Beverley 1 AST),"[1626157, 201976]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,25.31,Made,,,,,5.0,P. Beverley,201976.0,1.0,,,,,,,,,,
46,PT08M34.00S,2022-02-09T03:16:15.6Z,1,REGULAR,3pt,Jump Shot,[],1630558,8.229303547963205,3.431372549019608,1610612758,9,11,2022-02-09T03:17:27Z,460000,233.0,25.0,1,left,MISS D. Mitchell 3PT,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,
47,PT08M31.00S,2022-02-09T03:16:18.6Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,9,11,2022-02-09T03:17:27Z,470000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT08M26.00S,2022-02-09T03:16:25.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630162,92.59198423127464,48.28431372549019,1610612750,9,11,2022-02-09T03:17:50Z,480000,-9.0,17.0,1,right,MISS A. Edwards running Layup,[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,1.91,Missed,,,,,,,,,,,,,,,,,,
49,PT08M24.00S,2022-02-09T03:16:27.2Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,9,11,2022-02-09T03:17:50Z,490000,,,0,,K. Towns REBOUND (Off:2 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,48.0,4.0,2.0,2.0,,,,,,,,,,,,,,
50,PT08M23.00S,2022-02-09T03:16:36.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1626157,94.40999984741211,50.0,1610612750,9,13,2022-02-09T03:18:01Z,500000,0.0,0.0,1,right,K. Towns tip DUNK (7 PTS),[1626157],1610612750.0,MIN,tip,,,Towns,K. Towns,,,,,0.0,Made,,,,,7.0,,,,,,,,,,,,,
51,PT08M08.00S,2022-02-09T03:16:40.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,7.178055190538765,46.07843137254902,1610612758,11,13,2022-02-09T03:16:45Z,510000,20.0,15.0,1,left,H. Barnes floating Jump Shot (2 PTS) (D. Fox 2 AST),"[203084, 1628368]",1610612758.0,SAC,floating,,,Barnes,H. Barnes,,,,,2.47,Made,,,,,2.0,D. Fox,1628368.0,2.0,,,,,,,,,,
52,PT07M55.00S,2022-02-09T03:16:52.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,93.51182654402102,54.90196078431373,1610612750,11,13,2022-02-09T03:16:58Z,520000,25.0,8.0,1,right,MISS J. Vanderbilt reverse Layup,[1629020],1610612750.0,MIN,reverse,,,Vanderbilt,J. Vanderbilt,,,,,2.59,Missed,,,,,,,,,,,,,,,,,,
53,PT07M55.00S,2022-02-09T03:16:52.9Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,11,13,2022-02-09T03:31:38Z,530000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,,,
139,PT07M55.00S,2022-02-09T03:16:56.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629020,92.59198423127464,51.470588235294116,1610612750,11,13,2022-02-09T03:31:22Z,535000,7.0,17.0,1,right,MISS J. Vanderbilt tip Layup - blocked,"[1629020, 1627745]",1610612750.0,MIN,tip,,,Vanderbilt,J. Vanderbilt,,,,,1.86,Missed,,,,,,,,,,,,,,,Jones,1627745.0,,
145,PT07M55.00S,2022-02-09T03:16:56.6Z,1,REGULAR,block,,[],1627745,,,1610612750,11,13,2022-02-09T03:32:01Z,536250,,,0,,D. Jones BLOCK (1 BLK),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,
140,PT07M55.00S,2022-02-09T03:16:56.6Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,11,13,2022-02-09T03:31:22Z,537500,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,,,
54,PT07M48.00S,2022-02-09T03:17:00.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628368,6.915243101182654,46.07843137254902,1610612758,13,13,2022-02-09T03:21:22Z,540000,20.0,13.0,1,left,D. Fox running Layup (2 PTS),[1628368],1610612758.0,SAC,running,,,Fox,D. Fox,,,,,2.32,Made,,,,,2.0,,,,,,,,,,,,,
55,PT07M38.00S,2022-02-09T03:17:09.2Z,1,REGULAR,3pt,Jump Shot,[],201976,74.19513797634691,82.59803921568627,1610612750,13,13,2022-02-09T03:17:14Z,550000,163.0,190.0,1,right,MISS P. Beverley 25' 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,25.04,Missed,,,,,,,,,,,,,,,,,,
56,PT07M36.00S,2022-02-09T03:17:12.6Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,13,13,2022-02-09T03:17:12Z,560000,,,0,,J. Vanderbilt REBOUND (Off:2 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,55.0,3.0,1.0,2.0,,,,,,,,,,,,,,
57,PT07M33.00S,2022-02-09T03:17:15.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626156,93.64323258869908,2.696078431372549,1610612750,13,13,2022-02-09T03:17:20Z,570000,-237.0,7.0,1,right,MISS D. Russell 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,23.66,Missed,,,,,,,,,,,,,,,,,,
58,PT07M29.00S,2022-02-09T03:17:19.0Z,1,REGULAR,rebound,defensive,[],1627745,,,1610612758,13,13,2022-02-09T03:17:20Z,580000,,,0,,D. Jones REBOUND (Off:0 Def:1),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,
59,PT07M19.00S,2022-02-09T03:17:28.7Z,1,REGULAR,3pt,Jump Shot,[],1630558,14.4053876478318,95.58823529411765,1610612758,13,13,2022-02-09T03:17:32Z,590000,-228.0,83.0,1,left,MISS D. Mitchell 24' 3PT,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,24.25,Missed,,,,,,,,,,,,,,,,,,
60,PT07M16.00S,2022-02-09T03:17:31.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,13,13,2022-02-09T03:17:33Z,600000,,,0,,K. Towns REBOUND (Off:2 Def:3),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,59.0,5.0,3.0,2.0,,,,,,,,,,,,,,
61,PT07M04.00S,2022-02-09T03:17:49.6Z,1,REGULAR,foul,personal,['2freethrow'],1630558,,,1610612750,13,13,2022-02-09T03:18:14Z,610000,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Russell 2 FT),"[1630558, 1626156]",1610612758.0,SAC,shooting,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,202035.0,,1.0,0.0,Russell,1626156.0,,,,
63,PT07M04.00S,2022-02-09T03:18:14.9Z,1,REGULAR,freethrow,1 of 2,[],1626156,,,1610612750,13,13,2022-02-09T03:18:37Z,630000,,,0,,MISS D. Russell Free Throw 1 of 2,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,Missed,,,,,,,,,,,,,,,,,,
65,PT07M04.00S,2022-02-09T03:18:14.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,13,13,2022-02-09T03:18:37Z,635000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,
64,PT07M04.00S,2022-02-09T03:18:14.9Z,1,REGULAR,freethrow,2 of 2,[],1626156,,,1610612750,13,14,2022-02-09T03:18:37Z,640000,,,0,,D. Russell Free Throw 2 of 2 (4 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
66,PT06M50.00S,2022-02-09T03:18:42.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,19.398817345597898,44.11764705882353,1610612758,13,14,2022-02-09T03:18:48Z,650000,29.0,130.0,1,left,MISS D. Fox 13' fadeaway Shot,[1628368],1610612758.0,SAC,fadeaway,,,Fox,D. Fox,,,,,13.31,Missed,,,,,,,,,,,,,,,,,,
67,PT06M46.00S,2022-02-09T03:18:46.7Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,13,14,2022-02-09T03:18:48Z,660000,,,0,,J. Vanderbilt REBOUND (Off:2 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,66.0,4.0,2.0,2.0,,,,,,,,,,,,,,
68,PT06M39.00S,2022-02-09T03:18:52.8Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,13,14,2022-02-09T03:18:56Z,670000,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 203084]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,1.0,,,,,,,Barnes,203084.0
69,PT06M39.00S,2022-02-09T03:18:52.8Z,1,REGULAR,steal,,[],203084,,,1610612758,13,14,2022-02-09T03:18:54Z,680000,,,0,,H. Barnes STEAL (1 STL),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M35.00S,2022-02-09T03:18:58.4Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612758,13,14,2022-02-09T03:19:11Z,690000,,,0,,K. Towns shooting personal FOUL (1 PF) (Harkless 2 FT),"[1626157, 203090]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,,,,,,,,,,,202035.0,,1.0,0.0,Harkless,203090.0,,,,
72,PT06M35.00S,2022-02-09T03:19:14.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,13,14,2022-02-09T03:19:14Z,710000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M35.00S,2022-02-09T03:22:19.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203090,,,1610612758,14,14,2022-02-09T03:22:19Z,720000,,,0,,M. Harkless Free Throw 1 of 2 (3 PTS),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
75,PT06M35.00S,2022-02-09T03:22:32.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203090,,,1610612758,15,14,2022-02-09T03:22:32Z,730000,,,0,,M. Harkless Free Throw 2 of 2 (4 PTS),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
77,PT06M22.00S,2022-02-09T03:23:12.1Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612750,15,14,2022-02-09T04:24:26Z,735000,,,0,,K. Towns bad pass TURNOVER (2 TO),"[1626157, 1630558]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,2.0,,,,,,,Mitchell,1630558.0
78,PT06M22.00S,2022-02-09T03:23:12.1Z,1,REGULAR,steal,,[],1630558,,,1610612758,15,14,2022-02-09T03:23:18Z,737500,,,0,,D. Mitchell STEAL (1 STL),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M21.00S,2022-02-09T03:23:19.5Z,1,REGULAR,turnover,out-of-bounds,[],1630558,,,1610612758,15,14,2022-02-09T04:18:39Z,738750,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (1 TO),[1630558],1610612758.0,SAC,bad pass,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,202035.0,1.0,,,,,,,,
81,PT06M06.00S,2022-02-09T03:23:32.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,67.09921156373193,34.31372549019608,1610612750,15,14,2022-02-09T03:23:43Z,790000,-78.0,257.0,1,right,MISS A. Edwards 26' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,26.85,Missed,,,,,,,,,,,,,,,,,,
82,PT06M02.00S,2022-02-09T03:23:36.1Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,15,14,2022-02-09T03:23:36Z,800000,,,0,,J. Vanderbilt REBOUND (Off:3 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,81.0,5.0,2.0,3.0,,,,,,,,,,,,,,
83,PT05M50.00S,2022-02-09T03:23:47.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626156,66.70499342969777,40.44117647058824,1610612750,15,14,2022-02-09T03:24:00Z,810000,-48.0,260.0,1,right,MISS D. Russell 26' turnaround fadeaway 3PT,[1626156],1610612750.0,MIN,turnaround fadeaway,,,Russell,D. Russell,,,,,26.48,Missed,,,,,,,,,,,,,,,,,,
84,PT05M47.00S,2022-02-09T03:23:52.6Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,15,14,2022-02-09T03:23:52Z,820000,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,83.0,2.0,2.0,0.0,,,,,,,,,,,,,,
85,PT05M47.00S,2022-02-09T03:23:57.5Z,1,REGULAR,turnover,out-of-bounds,[],1630558,,,1610612758,15,14,2022-02-09T03:24:06Z,830000,,,0,,D. Mitchell step out-of-bounds TURNOVER (2 TO),[1630558],1610612758.0,SAC,step,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,201638.0,2.0,,,,,,,,
86,PT05M47.00S,2022-02-09T03:24:01.7Z,1,REGULAR,substitution,out,[],1626156,,,1610612750,15,14,2022-02-09T03:24:07Z,840000,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M47.00S,2022-02-09T03:24:01.7Z,1,REGULAR,substitution,in,[],1627736,,,1610612750,15,14,2022-02-09T03:24:07Z,850000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,
