actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
16,PT11M17.00S,2021-12-18T03:11:27.5Z,1,REGULAR,freethrow,1 of 1,[],203500,,,1610612763,0,4,2021-12-18T03:11:27Z,160000,,,0,,S. Adams Free Throw 1 of 1 (1 PTS),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
17,PT11M17.00S,2021-12-18T03:11:44.9Z,1,REGULAR,foul,technical,['1freethrow'],1628415,,,1610612758,0,4,2021-12-18T03:12:13Z,170000,,,0,,D. Brooks technical FOUL (1 Tech),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,2534.0,0.0,1.0,,,,,,,,,,
18,PT11M17.00S,2021-12-18T03:11:57.0Z,1,REGULAR,freethrow,1 of 1,[],1627741,,,1610612758,1,4,2021-12-18T03:12:30Z,180000,,,0,,B. Hield technical Free Throw 1 of 1 (1 PTS),[1627741],1610612758.0,SAC,technical,,,Hield,B. Hield,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
19,PT11M03.00S,2021-12-18T03:12:32.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,93.9060446780552,51.9607843137255,1610612758,3,4,2021-12-18T03:12:39Z,190000,10.0,5.0,1,right,B. Hield cutting Layup (3 PTS) (T. Thompson 1 AST),"[1627741, 202684]",1610612758.0,SAC,cutting,,,Hield,B. Hield,,,,,1.09,Made,,,,,3.0,,,,,,T. Thompson,202684.0,1.0,,,,,
21,PT10M50.00S,2021-12-18T03:12:44.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,16.376478318002626,51.470588235294116,1610612763,3,4,2021-12-18T03:20:31Z,210000,-7.0,101.0,1,left,MISS T. Jones 10' driving floating Shot - blocked,"[1626145, 1630169]",1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,10.17,Missed,,,,,,,,,,,,,,Haliburton,1630169.0,,,
22,PT10M50.00S,2021-12-18T03:12:44.5Z,1,REGULAR,block,,[],1630169,,,1610612763,3,4,2021-12-18T03:12:49Z,220000,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M50.00S,2021-12-18T03:12:44.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,3,4,2021-12-18T03:12:54Z,230000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,
24,PT10M50.00S,2021-12-18T03:12:52.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,3,4,2021-12-18T03:12:52Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M43.00S,2021-12-18T03:13:05.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628991,10.726018396846255,54.41176470588235,1610612763,3,4,2021-12-18T03:13:10Z,250000,-22.0,48.0,1,left,MISS J. Jackson Jr. turnaround Hook,[1628991],1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,5.31,Missed,,,,,,,,,,,,,,,,,,
27,PT10M39.00S,2021-12-18T03:13:09.7Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,3,4,2021-12-18T03:13:10Z,270000,,,0,,C. Metu REBOUND (Off:0 Def:2),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,
28,PT10M36.00S,2021-12-18T03:13:12.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202684,93.11760840998686,52.20588235294118,1610612758,5,4,2021-12-18T03:13:20Z,280000,11.0,12.0,1,right,T. Thompson running Layup (2 PTS) (H. Barnes 1 AST),"[202684, 203084]",1610612758.0,SAC,running,,,Thompson,T. Thompson,,,,,1.64,Made,,,,,2.0,,,,,,H. Barnes,203084.0,1.0,,,,,
30,PT10M24.00S,2021-12-18T03:13:23.8Z,1,REGULAR,2pt,Jump Shot,[],1626145,16.113666228646515,33.33333333333333,1610612763,5,4,2021-12-18T03:13:31Z,300000,83.0,99.0,1,left,MISS T. Jones 12' floating Shot,[1626145],1610612763.0,MEM,floating,,,Jones,T. Jones,,,,,12.94,Missed,,,,,,,,,,,,,,,,,,
31,PT10M20.00S,2021-12-18T03:13:27.8Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,5,4,2021-12-18T03:13:31Z,310000,,,0,,C. Metu REBOUND (Off:0 Def:3),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,30.0,3.0,3.0,0.0,,,,,,,,,,,,,,
32,PT10M11.00S,2021-12-18T03:13:36.7Z,1,REGULAR,3pt,Jump Shot,[],1629002,68.28186596583443,33.82352941176471,1610612758,8,4,2021-12-18T03:13:42Z,320000,-81.0,246.0,1,right,C. Metu 25' 3PT step back (3 PTS),[1629002],1610612758.0,SAC,step back,,,Metu,C. Metu,,,,,25.87,Made,,,,,3.0,,,,,,,,,,,,,
33,PT10M01.00S,2021-12-18T03:13:57.8Z,1,REGULAR,turnover,out-of-bounds,[],1630217,,,1610612763,8,4,2021-12-18T03:14:08Z,330000,,,0,,D. Bane lost ball out-of-bounds TURNOVER (1 TO),[1630217],1610612763.0,MEM,lost ball,,,Bane,D. Bane,,,,,,,,,,,,200833.0,,,,,,,,,,1.0,,
34,PT09M50.00S,2021-12-18T03:14:11.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630169,85.10183968462549,26.96078431372549,1610612758,8,4,2021-12-18T03:14:15Z,340000,-115.0,88.0,1,right,MISS T. Haliburton 14' floating Shot,[1630169],1610612758.0,SAC,floating,,,Haliburton,T. Haliburton,,,,,14.47,Missed,,,,,,,,,,,,,,,,,,
35,PT09M47.00S,2021-12-18T03:14:14.6Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,8,4,2021-12-18T03:14:15Z,350000,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,
36,PT09M34.00S,2021-12-18T03:14:28.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,6.1268068331143235,45.09803921568628,1610612763,8,6,2021-12-18T03:14:32Z,360000,25.0,5.0,1,left,J. Jackson Jr. driving Layup (2 PTS),[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,2.5,Made,,,,,2.0,,,,,,,,,,,,,
37,PT09M13.00S,2021-12-18T03:14:48.0Z,1,REGULAR,2pt,Jump Shot,[],1629002,78.13731931668858,34.80392156862745,1610612758,10,6,2021-12-18T03:14:53Z,370000,-76.0,153.0,1,right,C. Metu 17' turnaround fadeaway Jump Shot (5 PTS),[1629002],1610612758.0,SAC,turnaround fadeaway,,,Metu,C. Metu,,,,,17.08,Made,,,,,5.0,,,,,,,,,,,,,
38,PT09M02.00S,2021-12-18T03:15:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,6.258212877792378,52.69607843137255,1610612763,10,8,2021-12-18T03:15:26Z,380000,-13.0,6.0,1,left,D. Brooks cutting Layup (2 PTS) (T. Jones 1 AST),"[1628415, 1626145]",1610612763.0,MEM,cutting,,,Brooks,D. Brooks,,,,,1.49,Made,,,,,2.0,,,,,,T. Jones,1626145.0,1.0,,,,,
40,PT09M02.00S,2021-12-18T03:15:05.9Z,1,REGULAR,foul,personal,['1freethrow'],203084,,,1610612763,10,8,2021-12-18T03:15:19Z,400000,,,0,,H. Barnes shooting personal FOUL (1 PF) (Brooks 1 FT),"[203084, 1628415]",1610612758.0,SAC,shooting,,,Barnes,H. Barnes,,,,,,,,,,,,2534.0,1.0,0.0,Brooks,1628415.0,,,,,,,,
42,PT09M02.00S,2021-12-18T03:15:25.8Z,1,REGULAR,freethrow,1 of 1,[],1628415,,,1610612763,10,9,2021-12-18T03:15:25Z,420000,,,0,,D. Brooks Free Throw 1 of 1 (3 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
43,PT08M52.00S,2021-12-18T03:15:42.5Z,1,REGULAR,3pt,Jump Shot,[],1629002,69.33311432325887,30.14705882352941,1610612758,10,9,2021-12-18T03:15:46Z,430000,-99.0,236.0,1,right,MISS C. Metu 25' 3PT,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,
44,PT08M49.00S,2021-12-18T03:15:45.5Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,10,9,2021-12-18T03:15:46Z,440000,,,0,,S. Adams REBOUND (Off:0 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,,
45,PT08M44.00S,2021-12-18T03:16:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,12.434296977660972,46.32352941176471,1610612763,10,9,2021-12-18T03:16:19Z,450000,18.0,64.0,1,left,MISS D. Bane 6' cutting Layup - blocked,"[1630217, 1629002]",1610612763.0,MEM,cutting,,,Bane,D. Bane,,,,,6.7,Missed,,,,,,,,,,,,,,Metu,1629002.0,,,
46,PT08M44.00S,2021-12-18T03:16:06.2Z,1,REGULAR,block,,[],1629002,,,1610612763,10,9,2021-12-18T03:16:08Z,460000,,,0,,C. Metu BLOCK (1 BLK),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M44.00S,2021-12-18T03:16:06.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,10,9,2021-12-18T03:16:19Z,470000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,
48,PT08M44.00S,2021-12-18T03:16:10.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,10,9,2021-12-18T03:16:10Z,480000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M41.00S,2021-12-18T03:16:36.8Z,1,REGULAR,foul,personal,['2freethrow'],1629002,,,1610612763,10,9,2021-12-18T03:16:52Z,490000,,,0,,C. Metu shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1629002, 1628991]",1610612758.0,SAC,shooting,,,Metu,C. Metu,,,,,,,,,,,,2534.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,
51,PT08M41.00S,2021-12-18T03:17:00.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628991,,,1610612763,10,10,2021-12-18T03:17:00Z,510000,,,0,,J. Jackson Jr. Free Throw 1 of 2 (3 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
52,PT08M41.00S,2021-12-18T03:17:15.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628991,,,1610612763,10,11,2021-12-18T03:17:15Z,520000,,,0,,J. Jackson Jr. Free Throw 2 of 2 (4 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
53,PT08M31.00S,2021-12-18T03:17:27.7Z,1,REGULAR,3pt,Jump Shot,[],203084,69.20170827858082,31.127450980392158,1610612758,13,11,2021-12-18T03:17:34Z,530000,-94.0,237.0,1,right,H. Barnes 25' 3PT  (3 PTS) (T. Thompson 2 AST),"[203084, 202684]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,25.51,Made,,,,,3.0,,,,,,T. Thompson,202684.0,2.0,,,,,
55,PT08M14.00S,2021-12-18T03:17:44.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,11.12023653088042,60.049019607843135,1610612763,13,11,2021-12-18T03:30:06Z,550000,-50.0,52.0,1,left,MISS T. Jones 7' floating Shot,[1626145],1610612763.0,MEM,floating,,,Jones,T. Jones,,,,,7.23,Missed,,,,,,,,,,,,,,,,,,
56,PT08M11.00S,2021-12-18T03:17:47.9Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612758,13,11,2021-12-18T03:17:48Z,560000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,
57,PT08M07.00S,2021-12-18T03:17:51.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203084,84.70762155059133,96.56862745098039,1610612758,16,11,2021-12-18T03:18:04Z,570000,233.0,91.0,1,right,H. Barnes 25' 3PT running (6 PTS) (T. Haliburton 1 AST),"[203084, 1630169]",1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,25.0,Made,,,,,6.0,,,,,,T. Haliburton,1630169.0,1.0,,,,,
59,PT08M06.00S,2021-12-18T03:18:01.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,16,11,2021-12-18T03:18:01Z,590000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M46.00S,2021-12-18T03:21:14.8Z,1,REGULAR,3pt,Jump Shot,[],1630217,16.113666228646515,3.9215686274509802,1610612763,16,11,2021-12-18T03:24:36Z,600000,230.0,99.0,1,left,MISS D. Bane 25' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,25.08,Missed,,,,,,,,,,,,,,,,,,
61,PT07M42.00S,2021-12-18T03:21:18.9Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,16,11,2021-12-18T03:21:18Z,610000,,,0,,S. Adams REBOUND (Off:1 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,60.0,4.0,3.0,1.0,,,,,,,,,,,,,,
62,PT07M41.00S,2021-12-18T03:21:22.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612763,16,11,2021-12-18T03:21:29Z,620000,,,0,,MEM shot clock Team TURNOVER,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,200833.0,,,,,,,,,,,,
63,PT07M23.00S,2021-12-18T03:21:51.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629002,70.12155059132719,27.205882352941174,1610612758,16,11,2021-12-18T03:25:30Z,630000,-114.0,228.0,1,right,MISS C. Metu 25' step back 3PT,[1629002],1610612758.0,SAC,step back,,,Metu,C. Metu,,,,,25.53,Missed,,,,,,,,,,,,,,,,,,
64,PT07M19.00S,2021-12-18T03:21:55.0Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612763,16,11,2021-12-18T03:21:59Z,640000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,
65,PT07M14.00S,2021-12-18T03:22:01.6Z,1,REGULAR,3pt,Jump Shot,[],1628991,10.85742444152431,2.696078431372549,1610612763,16,11,2021-12-18T03:26:49Z,650000,237.0,50.0,1,left,MISS J. Jackson Jr. 24' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,24.16,Missed,,,,,,,,,,,,,,,,,,
66,PT07M14.00S,2021-12-18T03:22:01.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,16,11,2021-12-18T03:22:07Z,660000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,
67,PT07M14.00S,2021-12-18T03:22:07.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,16,11,2021-12-18T03:22:07Z,670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M02.00S,2021-12-18T03:22:28.6Z,1,REGULAR,foul,personal,[],1628991,,,1610612758,16,11,2021-12-18T03:23:01Z,680000,,,0,,J. Jackson Jr. personal FOUL (1 PF),"[1628991, 1629002]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,200833.0,1.0,0.0,Metu,1629002.0,,,,,,,,
70,PT07M02.00S,2021-12-18T03:22:39.1Z,1,REGULAR,substitution,out,[],1629002,,,1610612758,16,11,2021-12-18T03:22:49Z,700000,,,0,,SUB out: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M02.00S,2021-12-18T03:22:39.1Z,1,REGULAR,substitution,out,[],1630217,,,1610612758,16,11,2021-12-18T03:22:49Z,710000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M02.00S,2021-12-18T03:22:39.1Z,1,REGULAR,substitution,out,[],1628991,,,1610612758,16,11,2021-12-18T03:22:49Z,720000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M02.00S,2021-12-18T03:22:39.1Z,1,REGULAR,substitution,in,[],203090,,,1610612758,16,11,2021-12-18T03:22:49Z,730000,,,0,,SUB in: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M02.00S,2021-12-18T03:22:39.1Z,1,REGULAR,substitution,in,[],203937,,,1610612758,16,11,2021-12-18T03:22:49Z,740000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,
75,PT07M02.00S,2021-12-18T03:22:39.1Z,1,REGULAR,substitution,in,[],1629001,,,1610612758,16,11,2021-12-18T03:22:49Z,750000,,,0,,SUB in: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M55.00S,2021-12-18T03:23:04.6Z,1,REGULAR,3pt,Jump Shot,[],1630169,69.20170827858082,25.98039215686275,1610612758,16,11,2021-12-18T03:27:42Z,760000,-120.0,237.0,1,right,MISS T. Haliburton 26' pullup 3PT,[1630169],1610612758.0,SAC,pullup,,,Haliburton,T. Haliburton,,,,,26.57,Missed,,,,,,,,,,,,,,,,,,
77,PT06M51.00S,2021-12-18T03:23:08.6Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,16,11,2021-12-18T03:23:09Z,770000,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,
78,PT06M44.00S,2021-12-18T03:23:15.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,15.456636005256241,39.46078431372549,1610612763,16,11,2021-12-18T03:23:20Z,780000,53.0,93.0,1,left,MISS K. Anderson 10' floating Shot,[203937],1610612763.0,MEM,floating,,,Anderson,K. Anderson,,,,,10.67,Missed,,,,,,,,,,,,,,,,,,
79,PT06M40.00S,2021-12-18T03:23:19.1Z,1,REGULAR,rebound,defensive,[],203090,,,1610612758,16,11,2021-12-18T03:23:20Z,790000,,,0,,M. Harkless REBOUND (Off:0 Def:1),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,
80,PT06M30.00S,2021-12-18T03:23:29.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,87.20433639947439,53.92156862745098,1610612758,18,11,2021-12-18T03:23:35Z,800000,20.0,68.0,1,right,T. Thompson 7' Hook (4 PTS),[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,7.06,Made,,,,,4.0,,,,,,,,,,,,,
81,PT06M10.00S,2021-12-18T03:23:48.9Z,1,REGULAR,3pt,Jump Shot,[],1629001,29.911300919842315,70.34313725490196,1610612763,18,14,2021-12-18T03:28:47Z,810000,-102.0,229.0,1,left,D. Melton 25' 3PT pullup (3 PTS) (D. Brooks 1 AST),"[1629001, 1628415]",1610612763.0,MEM,pullup,,,Melton,D. Melton,,,,,25.03,Made,,,,,3.0,,,,,,D. Brooks,1628415.0,1.0,,,,,
83,PT05M51.00S,2021-12-18T03:24:08.0Z,1,REGULAR,turnover,lost ball,[],1627741,,,1610612758,18,14,2021-12-18T03:24:13Z,830000,,,0,,B. Hield lost ball TURNOVER (1 TO),"[1627741, 1629001]",1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,1.0,Melton,1629001.0
84,PT05M51.00S,2021-12-18T03:24:08.0Z,1,REGULAR,steal,,[],1629001,,,1610612763,18,14,2021-12-18T03:24:11Z,840000,,,0,,D. Melton STEAL (1 STL),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M39.00S,2021-12-18T03:24:21.7Z,1,REGULAR,foul,personal,['2freethrow'],202684,,,1610612763,18,14,2021-12-18T03:24:43Z,850000,,,0,,T. Thompson shooting personal FOUL (2 PF) (Adams 2 FT),"[202684, 203500]",1610612758.0,SAC,shooting,,,Thompson,T. Thompson,,,,,,,,,,,,200833.0,2.0,0.0,Adams,203500.0,,,,,,,,
87,PT05M39.00S,2021-12-18T03:24:47.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203500,,,1610612763,18,14,2021-12-18T03:25:14Z,870000,,,0,,MISS S. Adams Free Throw 1 of 2,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Missed,,,,,,,,,,,,,,,,,,
88,PT05M39.00S,2021-12-18T03:24:47.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612763,18,14,2021-12-18T03:25:14Z,880000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,
89,PT05M39.00S,2021-12-18T03:24:52.0Z,1,REGULAR,substitution,out,[],202684,,,1610612763,18,14,2021-12-18T03:24:59Z,890000,,,0,,SUB out: T. Thompson,[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M39.00S,2021-12-18T03:24:52.0Z,1,REGULAR,substitution,in,[],1627745,,,1610612763,18,14,2021-12-18T03:24:59Z,900000,,,0,,SUB in: D. Jones,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,
