actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
17,PT10M15.00S,2021-11-09T03:12:45.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,87.20433639947439,55.88235294117647,1610612758,0,5,2021-11-09T03:12:55Z,170000,29.0,68.0,1,right,MISS B. Hield 7' driving Layup,[1627741],1610612758.0,SAC,driving,,,Hield,B. Hield,,,,,7.39,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M12.00S,2021-11-09T03:12:48.1Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,0,5,2021-11-09T03:12:48Z,180000,,,0,,R. Holmes REBOUND (Off:1 Def:0),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,,
19,PT10M11.00S,2021-11-09T03:12:49.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626158,90.62089356110381,52.450980392156865,1610612758,0,5,2021-11-09T03:16:45Z,190000,12.0,36.0,1,right,MISS R. Holmes putback Layup - blocked,"[1626158, 201580]",1610612758.0,SAC,putback,,,Holmes,R. Holmes,,,,,3.78,Missed,,,,,,,,,,,,,,,McGee,201580.0,,,
34,PT10M11.00S,2021-11-09T03:12:49.0Z,1,REGULAR,block,,[],201580,,,1610612758,0,5,2021-11-09T03:17:26Z,200000,,,0,,J. McGee BLOCK (1 BLK),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M11.00S,2021-11-09T03:12:49.0Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,0,5,2021-11-09T03:13:03Z,210000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M02.00S,2021-11-09T03:12:58.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203109,15.062417871222076,57.107843137254896,1610612756,0,5,2021-11-09T03:13:08Z,220000,-36.0,89.0,1,left,MISS J. Crowder 9' Jump Shot,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,9.59,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M59.00S,2021-11-09T03:13:01.4Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612756,0,5,2021-11-09T03:13:08Z,230000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT09M58.00S,2021-11-09T03:13:02.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628969,13.748357424441524,53.92156862745098,1610612756,0,7,2021-11-09T03:13:13Z,240000,-20.0,77.0,1,left,M. Bridges 7' fadeaway Jump Shot (2 PTS),[1628969],1610612756.0,PHX,fadeaway,,,Bridges,M. Bridges,,,,,7.92,Made,2.0,,,,,,,,,,,,,,,,,,
25,PT09M48.00S,2021-11-09T03:13:15.1Z,1,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612758,0,7,2021-11-09T03:13:31Z,250000,,,0,,M. Bridges shooting personal FOUL (1 PF) (Barnes 2 FT),"[1628969, 203084]",1610612756.0,PHX,shooting,,,Bridges,M. Bridges,,,,,,,,,,,,201639.0,1.0,0.0,Barnes,203084.0,,,,,,,,,
27,PT09M48.00S,2021-11-09T03:13:43.1Z,1,REGULAR,freethrow,1 of 2,[],203084,,,1610612758,1,7,2021-11-09T03:13:43Z,270000,,,0,,H. Barnes Free Throw 1 of 2 (1 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
28,PT09M48.00S,2021-11-09T03:14:02.0Z,1,REGULAR,freethrow,2 of 2,[],203084,,,1610612758,2,7,2021-11-09T03:14:02Z,280000,,,0,,H. Barnes Free Throw 2 of 2 (2 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
29,PT09M35.00S,2021-11-09T03:14:16.7Z,1,REGULAR,2pt,Jump Shot,[],101108,20.45006570302234,49.754901960784316,1610612756,2,9,2021-11-09T03:14:25Z,290000,1.0,140.0,1,left,C. Paul 13' fadeaway Jump Shot (2 PTS),[101108],1610612756.0,PHX,fadeaway,,,Paul,C. Paul,,,,,13.97,Made,2.0,,,,,,,,,,,,,,,,,,
30,PT09M22.00S,2021-11-09T03:14:29.1Z,1,REGULAR,2pt,Jump Shot,[],1628368,90.09526938239159,32.59803921568628,1610612758,4,9,2021-11-09T03:14:45Z,300000,-87.0,41.0,1,right,D. Fox 9' driving floating bank Jump Shot (2 PTS),[1628368],1610612758.0,SAC,driving floating bank,,,Fox,D. Fox,,,,,9.6,Made,2.0,,,,,,,,,,,,,,,,,,
31,PT09M13.00S,2021-11-09T03:14:39.0Z,1,REGULAR,3pt,Jump Shot,[],101108,32.670827858081466,34.55882352941176,1610612756,4,12,2021-11-09T03:14:48Z,310000,77.0,255.0,1,left,C. Paul 26' 3PT pullup (5 PTS) (J. McGee 1 AST),"[101108, 201580]",1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,26.6,Made,5.0,,,,,,,,,,,J. McGee,201580.0,1.0,,,,,
33,PT09M11.00S,2021-11-09T03:14:49.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,4,12,2021-11-09T03:18:12Z,330000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M11.00S,2021-11-09T03:16:04.7Z,1,REGULAR,substitution,out,[],1626158,,,1610612758,4,12,2021-11-09T03:17:41Z,340000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M11.00S,2021-11-09T03:16:04.7Z,1,REGULAR,substitution,in,[],203458,,,1610612758,4,12,2021-11-09T03:17:41Z,350000,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M00.00S,2021-11-09T03:18:00.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,4,12,2021-11-09T03:18:00Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M53.00S,2021-11-09T03:18:17.6Z,1,REGULAR,3pt,Jump Shot,[],203084,66.83639947437582,37.5,1610612758,4,12,2021-11-09T03:18:28Z,370000,-62.0,259.0,1,right,MISS H. Barnes 26' step back 3PT,[203084],1610612758.0,SAC,step back,,,Barnes,H. Barnes,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M48.00S,2021-11-09T03:18:22.6Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,4,12,2021-11-09T03:18:28Z,380000,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT08M45.00S,2021-11-09T03:18:24.8Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,4,12,2021-11-09T03:18:31Z,390000,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1628368]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,1.0,,,,,,Fox,1628368.0,
41,PT08M45.00S,2021-11-09T03:18:24.8Z,1,REGULAR,steal,,[],1628368,,,1610612758,4,12,2021-11-09T03:18:27Z,400000,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M41.00S,2021-11-09T03:18:30.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627741,78.66294349540078,5.392156862745098,1610612758,7,12,2021-11-09T03:18:39Z,410000,-223.0,148.0,1,right,B. Hield 26' 3PT running (3 PTS) (D. Fox 1 AST),"[1627741, 1628368]",1610612758.0,SAC,running,,,Hield,B. Hield,,,,,26.77,Made,3.0,,,,,,,,,,,D. Fox,1628368.0,1.0,,,,,
44,PT08M15.00S,2021-11-09T03:18:57.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612756,7,12,2021-11-09T03:19:07Z,430000,,,0,,PHX shot clock Team TURNOVER,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,1628172.0,,,,,,,,,,,,,
45,PT08M02.00S,2021-11-09T03:19:25.1Z,1,REGULAR,foul,personal,['2freethrow'],201580,,,1610612758,7,12,2021-11-09T03:19:50Z,440000,,,0,,J. McGee shooting personal FOUL (1 PF) (Fox 2 FT),"[201580, 1628368]",1610612756.0,PHX,shooting,,,McGee,J. McGee,,,,,,,,,,,,1627962.0,1.0,0.0,Fox,1628368.0,,,,,,,,,
47,PT08M02.00S,2021-11-09T03:19:53.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628368,,,1610612758,7,12,2021-11-09T03:20:09Z,460000,,,0,,MISS D. Fox Free Throw 1 of 2,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M02.00S,2021-11-09T03:19:53.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612758,7,12,2021-11-09T03:20:09Z,470000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,
49,PT08M02.00S,2021-11-09T03:19:53.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628368,,,1610612758,7,12,2021-11-09T03:20:09Z,480000,,,0,,MISS D. Fox Free Throw 2 of 2,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M59.00S,2021-11-09T03:19:56.1Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,7,12,2021-11-09T03:20:09Z,490000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT07M46.00S,2021-11-09T03:20:21.1Z,1,REGULAR,2pt,Jump Shot,[],101108,5.601182654402102,67.64705882352942,1610612756,7,12,2021-11-09T03:20:29Z,500000,-88.0,0.0,1,left,MISS C. Paul 8' turnaround Shot,[101108],1610612756.0,PHX,turnaround,,,Paul,C. Paul,,,,,8.82,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M42.00S,2021-11-09T03:20:25.1Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,7,12,2021-11-09T03:20:29Z,510000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,
53,PT07M30.00S,2021-11-09T03:20:36.8Z,1,REGULAR,3pt,Jump Shot,[],1627741,67.49342969776609,62.5,1610612758,7,12,2021-11-09T03:20:44Z,520000,62.0,253.0,1,right,MISS B. Hield 26' 3PT,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M26.00S,2021-11-09T03:20:40.8Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,7,12,2021-11-09T03:20:44Z,530000,,,0,,J. McGee REBOUND (Off:0 Def:2),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,,
55,PT07M17.00S,2021-11-09T03:20:49.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,15.193823915900131,40.931372549019606,1610612756,7,12,2021-11-09T03:20:56Z,540000,45.0,90.0,1,left,MISS C. Paul 10' fadeaway Shot,[101108],1610612756.0,PHX,fadeaway,,,Paul,C. Paul,,,,,10.1,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M14.00S,2021-11-09T03:20:52.4Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612758,7,12,2021-11-09T03:20:56Z,550000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,
57,PT07M11.00S,2021-11-09T03:20:56.1Z,1,REGULAR,turnover,bad pass,[],203090,,,1610612758,7,12,2021-11-09T03:21:02Z,560000,,,0,,M. Harkless bad pass TURNOVER (1 TO),"[203090, 201580]",1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,1.0,,,,,,McGee,201580.0,
58,PT07M11.00S,2021-11-09T03:20:56.1Z,1,REGULAR,steal,,[],201580,,,1610612756,7,12,2021-11-09T03:20:58Z,570000,,,0,,J. McGee STEAL (1 STL),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M05.00S,2021-11-09T03:21:01.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",101108,10.988830486202366,45.83333333333333,1610612756,7,14,2021-11-09T03:21:09Z,580000,21.0,51.0,1,left,C. Paul running Layup (7 PTS) (J. McGee 2 AST),"[101108, 201580]",1610612756.0,PHX,running,,,Paul,C. Paul,,,,,5.49,Made,7.0,,,,,,,,,,,J. McGee,201580.0,2.0,,,,,
62,PT06M48.00S,2021-11-09T03:21:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,93.9060446780552,47.05882352941176,1610612758,9,14,2021-11-09T03:21:26Z,610000,-15.0,5.0,1,right,B. Hield Layup (5 PTS),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,1.55,Made,5.0,,,,,,,,,,,,,,,,,,
63,PT06M33.00S,2021-11-09T03:21:32.7Z,1,REGULAR,2pt,Jump Shot,[],1626164,16.376478318002626,69.6078431372549,1610612756,9,16,2021-11-09T03:21:40Z,620000,-98.0,101.0,1,left,D. Booker 14' pullup Jump Shot (7 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,14.1,Made,7.0,,,,,,,,,,,,,,,,,,
64,PT06M22.00S,2021-11-09T03:21:44.9Z,1,REGULAR,2pt,Jump Shot,[],203458,79.58278580814718,51.470588235294116,1610612758,11,16,2021-11-09T03:21:52Z,630000,7.0,139.0,1,right,A. Len 13' floating Jump Shot (2 PTS) (D. Fox 2 AST),"[203458, 1628368]",1610612758.0,SAC,floating,,,Len,A. Len,,,,,13.96,Made,2.0,,,,,,,,,,,D. Fox,1628368.0,2.0,,,,,
66,PT06M10.00S,2021-11-09T03:21:59.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,11,16,2021-11-09T03:21:59Z,650000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M10.00S,2021-11-09T03:22:00.4Z,1,REGULAR,substitution,out,[],203090,,,1610612756,11,16,2021-11-09T03:22:25Z,660000,,,0,,SUB out: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M10.00S,2021-11-09T03:22:00.4Z,1,REGULAR,substitution,out,[],1627741,,,1610612756,11,16,2021-11-09T03:22:25Z,670000,,,0,,SUB out: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M10.00S,2021-11-09T03:22:00.4Z,1,REGULAR,substitution,out,[],203458,,,1610612756,11,16,2021-11-09T03:22:25Z,680000,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M10.00S,2021-11-09T03:22:00.4Z,1,REGULAR,substitution,out,[],201580,,,1610612756,11,16,2021-11-09T03:22:25Z,690000,,,0,,SUB out: J. McGee,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M10.00S,2021-11-09T03:22:00.4Z,1,REGULAR,substitution,in,[],1629056,,,1610612756,11,16,2021-11-09T03:22:25Z,700000,,,0,,SUB in: T. Davis,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M10.00S,2021-11-09T03:22:00.4Z,1,REGULAR,substitution,in,[],1630558,,,1610612756,11,16,2021-11-09T03:22:25Z,710000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M10.00S,2021-11-09T03:22:00.4Z,1,REGULAR,substitution,in,[],1626158,,,1610612756,11,16,2021-11-09T03:22:25Z,720000,,,0,,SUB in: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M10.00S,2021-11-09T03:22:00.4Z,1,REGULAR,substitution,in,[],1626163,,,1610612756,11,16,2021-11-09T03:22:25Z,730000,,,0,,SUB in: F. Kaminsky,[1626163],1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M04.00S,2021-11-09T03:22:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,7.703679369250986,38.970588235294116,1610612756,11,18,2021-11-09T03:22:43Z,740000,55.0,20.0,1,left,D. Booker bank Jump Shot (9 PTS),[1626164],1610612756.0,PHX,bank,,,Booker,D. Booker,,,,,5.86,Made,9.0,,,,,,,,,,,,,,,,,,
76,PT05M52.00S,2021-11-09T03:22:46.7Z,1,REGULAR,2pt,Jump Shot,[],1630558,77.7431011826544,50.245098039215684,1610612758,11,18,2021-11-09T03:22:53Z,750000,1.0,157.0,1,right,MISS D. Mitchell 15' floating Shot,[1630558],1610612758.0,SAC,floating,,,Mitchell,D. Mitchell,,,,,15.67,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M48.00S,2021-11-09T03:22:50.3Z,1,REGULAR,rebound,offensive,[],1630558,,,1610612758,11,18,2021-11-09T03:22:50Z,760000,,,0,,D. Mitchell REBOUND (Off:1 Def:0),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,76.0,1.0,0.0,1.0,,,,,,,,,,,,,,
78,PT05M45.00S,2021-11-09T03:22:53.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203084,90.62089356110381,61.51960784313726,1610612758,13,18,2021-11-09T03:23:01Z,770000,58.0,36.0,1,right,H. Barnes 6' driving Layup (4 PTS) (D. Mitchell 1 AST),"[203084, 1630558]",1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,6.78,Made,4.0,,,,,,,,,,,D. Mitchell,1630558.0,1.0,,,,,
80,PT05M22.00S,2021-11-09T03:23:16.3Z,1,REGULAR,2pt,Jump Shot,[],101108,11.645860709592641,31.61764705882353,1610612756,13,20,2021-11-09T03:23:28Z,790000,92.0,57.0,1,left,C. Paul 10' pullup Jump Shot (9 PTS),[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,10.81,Made,9.0,,,,,,,,,,,,,,,,,,
81,PT05M12.00S,2021-11-09T03:23:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,84.70762155059133,52.450980392156865,1610612758,13,20,2021-11-09T03:23:34Z,800000,12.0,91.0,1,right,MISS D. Fox 9' floating Shot,[1628368],1610612758.0,SAC,floating,,,Fox,D. Fox,,,,,9.2,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M09.00S,2021-11-09T03:23:29.6Z,1,REGULAR,rebound,defensive,[],1626163,,,1610612756,13,20,2021-11-09T03:23:34Z,810000,,,0,,F. Kaminsky REBOUND (Off:0 Def:1),[1626163],1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,
83,PT05M05.00S,2021-11-09T03:23:34.7Z,1,REGULAR,foul,personal,['2freethrow'],1630558,,,1610612756,13,20,2021-11-09T03:23:47Z,820000,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Kaminsky 2 FT),"[1630558, 1626163]",1610612758.0,SAC,shooting,,,Mitchell,D. Mitchell,,,,,,,,,,,,1628172.0,1.0,0.0,Kaminsky,1626163.0,,,,,,,,,
85,PT05M05.00S,2021-11-09T03:24:05.4Z,1,REGULAR,freethrow,1 of 2,[],1626163,,,1610612756,13,21,2021-11-09T03:24:05Z,840000,,,0,,F. Kaminsky Free Throw 1 of 2 (1 PTS),[1626163],1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
86,PT05M05.00S,2021-11-09T03:24:08.0Z,1,REGULAR,substitution,out,[],101108,,,1610612756,13,21,2021-11-09T03:24:16Z,850000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M05.00S,2021-11-09T03:24:08.0Z,1,REGULAR,substitution,out,[],203109,,,1610612756,13,21,2021-11-09T03:24:16Z,860000,,,0,,SUB out: J. Crowder,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M05.00S,2021-11-09T03:24:08.0Z,1,REGULAR,substitution,in,[],1629661,,,1610612756,13,21,2021-11-09T03:24:16Z,870000,,,0,,SUB in: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M05.00S,2021-11-09T03:24:08.0Z,1,REGULAR,substitution,in,[],1626166,,,1610612756,13,21,2021-11-09T03:24:16Z,880000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M05.00S,2021-11-09T03:24:27.4Z,1,REGULAR,freethrow,2 of 2,[],1626163,,,1610612756,13,22,2021-11-09T03:24:27Z,890000,,,0,,F. Kaminsky Free Throw 2 of 2 (2 PTS),[1626163],1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
91,PT04M50.00S,2021-11-09T03:24:43.6Z,1,REGULAR,2pt,Jump Shot,[],1630558,82.9993429697766,21.568627450980394,1610612758,13,22,2021-11-09T03:24:51Z,900000,-142.0,107.0,1,right,MISS D. Mitchell 17' pullup Shot,[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,17.81,Missed,,,,,,,,,,,,,,,,,,,
