actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
30,PT09M45.00S,2021-12-31T23:13:02.7Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,10,8,2021-12-31T23:13:02Z,300000,,,0,,D. Powell REBOUND (Off:1 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,29.0,2.0,1.0,1.0,,,,,
31,PT09M40.00S,2021-12-31T23:13:11.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,10,8,2021-12-31T23:13:11Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M32.00S,2021-12-31T23:13:25.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628973,72.61826544021025,43.872549019607845,1610612742,10,10,2021-12-31T23:13:29Z,320000,-31.0,205.0,1,right,J. Brunson 20' pullup Jump Shot (2 PTS),[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,,,,,,Made,2.0,20.72,,,,,,,,,,,,
33,PT09M24.00S,2021-12-31T23:13:37.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,10,10,2021-12-31T23:13:37Z,330000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M10.00S,2021-12-31T23:16:41.5Z,1,REGULAR,3pt,Jump Shot,[],1628963,6.258212877792378,95.83333333333334,1610612758,10,10,2021-12-31T23:16:47Z,340000,-229.0,6.0,1,left,MISS M. Bagley III 3PT,[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,Missed,,22.93,,,,,,,,,,,,
35,PT09M07.00S,2021-12-31T23:16:44.5Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,10,10,2021-12-31T23:16:47Z,350000,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,
36,PT08M48.00S,2021-12-31T23:17:03.0Z,1,REGULAR,2pt,Jump Shot,[],1628973,89.43823915900131,78.18627450980392,1610612742,10,10,2021-12-31T23:17:08Z,360000,141.0,47.0,1,right,MISS J. Brunson 14' step back Shot,[1628973],1610612742.0,DAL,step back,,,Brunson,J. Brunson,,,,,,,,,,Missed,,14.85,,,,,,,,,,,,
37,PT08M44.00S,2021-12-31T23:17:07.0Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,10,10,2021-12-31T23:17:08Z,370000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,
38,PT08M36.00S,2021-12-31T23:17:14.6Z,1,REGULAR,3pt,Jump Shot,[],1630169,28.203022339027594,74.75490196078431,1610612758,13,10,2021-12-31T23:17:19Z,380000,-124.0,213.0,1,left,T. Haliburton 24' 3PT pullup (6 PTS),[1630169],1610612758.0,SAC,pullup,,,Haliburton,T. Haliburton,,,,,,,,,,Made,6.0,24.6,,,,,,,,,,,,
39,PT08M17.00S,2021-12-31T23:17:34.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,83.65637319316689,50.49019607843137,1610612742,13,12,2021-12-31T23:17:57Z,390000,2.0,101.0,1,right,K. Porzingis 10' turnaround fadeaway Jump Shot (7 PTS),[204001],1610612742.0,DAL,turnaround fadeaway,,,Porzingis,K. Porzingis,,,,,,,,,,Made,7.0,10.11,,,,,,,,,,,,
40,PT08M02.00S,2021-12-31T23:17:49.7Z,1,REGULAR,2pt,Jump Shot,[],1628368,22.28975032851511,37.254901960784316,1610612758,15,12,2021-12-31T23:17:54Z,400000,64.0,157.0,1,left,D. Fox 16' step back Jump Shot (4 PTS) (T. Haliburton 3 AST),"[1628368, 1630169]",1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,,,,,,Made,4.0,16.94,T. Haliburton,1630169.0,3.0,,,,,,,,,
42,PT07M46.00S,2021-12-31T23:18:04.7Z,1,REGULAR,3pt,Jump Shot,[],204001,67.88764783180025,75.49019607843137,1610612742,15,12,2021-12-31T23:18:10Z,420000,127.0,249.0,1,right,MISS K. Porzingis 28' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,Missed,,28.01,,,,,,,,,,,,
43,PT07M44.00S,2021-12-31T23:18:06.7Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,15,12,2021-12-31T23:18:10Z,430000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,42.0,1.0,0.0,1.0,,,,,
44,PT07M29.00S,2021-12-31T23:18:22.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628973,86.94152431011827,64.4607843137255,1610612742,15,12,2021-12-31T23:18:27Z,440000,72.0,70.0,1,right,MISS J. Brunson 10' floating Shot,[1628973],1610612742.0,DAL,floating,,,Brunson,J. Brunson,,,,,,,,,,Missed,,10.08,,,,,,,,,,,,
45,PT07M26.00S,2021-12-31T23:18:25.0Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,15,12,2021-12-31T23:18:25Z,450000,,,0,,R. Holmes REBOUND (Off:1 Def:2),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,44.0,3.0,2.0,1.0,,,,,
46,PT07M19.00S,2021-12-31T23:18:32.1Z,1,REGULAR,3pt,Jump Shot,[],1628368,23.866622864651774,12.009803921568627,1610612758,18,12,2021-12-31T23:18:37Z,460000,190.0,172.0,1,left,D. Fox 25' 3PT  (7 PTS) (T. Haliburton 4 AST),"[1628368, 1630169]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,Made,7.0,25.62,T. Haliburton,1630169.0,4.0,,,,,,,,,
48,PT06M57.00S,2021-12-31T23:18:55.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,93.51182654402102,55.392156862745104,1610612742,18,14,2021-12-31T23:19:00Z,480000,27.0,8.0,1,right,D. Powell Layup (2 PTS) (K. Porzingis 1 AST),"[203939, 204001]",1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,Made,2.0,2.83,K. Porzingis,204001.0,1.0,,,,,,,,,
50,PT06M57.00S,2021-12-31T23:19:00.0Z,1,REGULAR,foul,personal,['1freethrow'],1628963,,,1610612742,18,14,2021-12-31T23:19:23Z,500000,,,0,,M. Bagley III shooting personal FOUL (1 PF) (Powell 1 FT),"[1628963, 203939]",1610612758.0,SAC,shooting,,,Bagley III,M. Bagley III,,,,,2714.0,1.0,0.0,Powell,203939.0,,,,,,,,,,,,,,,
52,PT06M57.00S,2021-12-31T23:19:09.1Z,1,REGULAR,substitution,out,[],1630169,,,1610612742,18,14,2021-12-31T23:19:22Z,520000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M57.00S,2021-12-31T23:19:09.1Z,1,REGULAR,substitution,out,[],1626158,,,1610612742,18,14,2021-12-31T23:19:22Z,530000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M57.00S,2021-12-31T23:19:09.1Z,1,REGULAR,substitution,out,[],203493,,,1610612742,18,14,2021-12-31T23:19:22Z,540000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M57.00S,2021-12-31T23:19:09.1Z,1,REGULAR,substitution,in,[],1627741,,,1610612742,18,14,2021-12-31T23:19:22Z,550000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M57.00S,2021-12-31T23:19:09.1Z,1,REGULAR,substitution,in,[],1627745,,,1610612742,18,14,2021-12-31T23:19:22Z,560000,,,0,,SUB in: D. Jones,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M57.00S,2021-12-31T23:19:09.1Z,1,REGULAR,substitution,in,[],1630182,,,1610612742,18,14,2021-12-31T23:19:22Z,570000,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M57.00S,2021-12-31T23:19:30.7Z,1,REGULAR,freethrow,1 of 1,[],203939,,,1610612742,18,15,2021-12-31T23:19:30Z,580000,,,0,,D. Powell Free Throw 1 of 1 (3 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
59,PT06M39.00S,2021-12-31T23:19:49.1Z,1,REGULAR,2pt,Jump Shot,[],203084,10.85742444152431,33.33333333333333,1610612758,18,15,2021-12-31T23:19:59Z,590000,83.0,50.0,1,left,MISS H. Barnes 9' turnaround Shot,[203084],1610612758.0,SAC,turnaround,,,Barnes,H. Barnes,,,,,,,,,,Missed,,9.69,,,,,,,,,,,,
60,PT06M36.00S,2021-12-31T23:19:52.1Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,18,15,2021-12-31T23:19:59Z,600000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,
61,PT06M27.00S,2021-12-31T23:20:01.6Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612742,18,15,2021-12-31T23:20:07Z,610000,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 1628368]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,1.0,Fox,1628368.0,,
62,PT06M27.00S,2021-12-31T23:20:01.6Z,1,REGULAR,steal,,[],1628368,,,1610612758,18,15,2021-12-31T23:20:03Z,620000,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M23.00S,2021-12-31T23:20:05.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627741,6.783837056504599,49.26470588235294,1610612758,18,15,2021-12-31T23:20:13Z,630000,4.0,11.0,1,left,MISS B. Hield running Layup,[1627741],1610612758.0,SAC,running,,,Hield,B. Hield,,,,,,,,,,Missed,,1.19,,,,,,,,,,,,
64,PT06M17.00S,2021-12-31T23:20:11.5Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,18,15,2021-12-31T23:20:13Z,640000,,,0,,H. Barnes REBOUND (Off:1 Def:0),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,63.0,1.0,0.0,1.0,,,,,
65,PT06M17.00S,2021-12-31T23:20:11.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",203084,5.590000152587891,50.0,1610612758,20,15,2021-12-31T23:20:46Z,650000,0.0,0.0,1,left,H. Barnes tip DUNK (5 PTS),[203084],1610612758.0,SAC,tip,,,Barnes,H. Barnes,,,,,,,,,,Made,5.0,0.0,,,,,,,,,,,,
66,PT06M02.00S,2021-12-31T23:20:26.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630182,85.3646517739816,51.470588235294116,1610612742,20,15,2021-12-31T23:20:31Z,660000,7.0,85.0,1,right,MISS J. Green 8' pullup Shot,[1630182],1610612742.0,DAL,pullup,,,Green,J. Green,,,,,,,,,,Missed,,8.54,,,,,,,,,,,,
67,PT05M59.00S,2021-12-31T23:20:29.6Z,1,REGULAR,rebound,defensive,[],1627745,,,1610612758,20,15,2021-12-31T23:20:29Z,670000,,,0,,D. Jones REBOUND (Off:0 Def:1),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,66.0,1.0,1.0,0.0,,,,,
68,PT05M52.00S,2021-12-31T23:20:37.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628963,16.113666228646515,48.77450980392157,1610612758,22,15,2021-12-31T23:20:42Z,680000,6.0,99.0,1,left,M. Bagley III 9' turnaround Hook (2 PTS) (D. Fox 1 AST),"[1628963, 1628368]",1610612758.0,SAC,turnaround,,,Bagley III,M. Bagley III,,,,,,,,,,Made,2.0,9.92,D. Fox,1628368.0,1.0,,,,,,,,,
70,PT05M51.00S,2021-12-31T23:20:44.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,22,15,2021-12-31T23:20:45Z,700000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M51.00S,2021-12-31T23:23:02.1Z,1,REGULAR,substitution,out,[],204001,,,1610612742,22,15,2021-12-31T23:23:25Z,710000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M51.00S,2021-12-31T23:23:02.1Z,1,REGULAR,substitution,out,[],203939,,,1610612742,22,15,2021-12-31T23:23:25Z,720000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M51.00S,2021-12-31T23:23:02.1Z,1,REGULAR,substitution,in,[],1628425,,,1610612742,22,15,2021-12-31T23:23:25Z,730000,,,0,,SUB in: S. Brown,[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M51.00S,2021-12-31T23:23:02.1Z,1,REGULAR,substitution,in,[],1629650,,,1610612742,22,15,2021-12-31T23:23:25Z,740000,,,0,,SUB in: M. Brown,[1629650],1610612742.0,DAL,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M32.00S,2021-12-31T23:23:52.9Z,1,REGULAR,2pt,Jump Shot,[],1628425,79.58278580814718,53.67647058823529,1610612742,22,17,2021-12-31T23:23:58Z,750000,18.0,139.0,1,right,S. Brown 14' step back Jump Shot (2 PTS) (J. Brunson 1 AST),"[1628425, 1628973]",1610612742.0,DAL,step back,,,Brown,S. Brown,,,,,,,,,,Made,2.0,14.06,J. Brunson,1628973.0,1.0,,,,,,,,,
77,PT05M15.00S,2021-12-31T23:24:08.8Z,1,REGULAR,2pt,Jump Shot,[],1627741,20.71287779237845,43.13725490196079,1610612758,24,17,2021-12-31T23:24:14Z,770000,34.0,142.0,1,left,B. Hield 14' pullup Jump Shot (2 PTS) (D. Fox 2 AST),"[1627741, 1628368]",1610612758.0,SAC,pullup,,,Hield,B. Hield,,,,,,,,,,Made,2.0,14.63,D. Fox,1628368.0,2.0,,,,,,,,,
79,PT05M02.00S,2021-12-31T23:24:21.6Z,1,REGULAR,3pt,Jump Shot,[],1628973,66.96780551905388,48.28431372549019,1610612742,24,20,2021-12-31T23:24:27Z,790000,-9.0,258.0,1,right,J. Brunson 25' 3PT pullup (5 PTS),[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,,,,,,Made,5.0,25.81,,,,,,,,,,,,
80,PT04M54.00S,2021-12-31T23:24:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,5.732588699080158,51.470588235294116,1610612758,26,20,2021-12-31T23:24:38Z,800000,-7.0,1.0,1,left,D. Fox driving Layup (9 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,,,,,,Made,9.0,0.75,,,,,,,,,,,,
81,PT04M54.00S,2021-12-31T23:24:38.4Z,1,REGULAR,foul,personal,['1freethrow'],1629650,,,1610612758,26,20,2021-12-31T23:24:45Z,810000,,,0,,M. Brown shooting personal FOUL (1 PF) (Fox 1 FT),"[1629650, 1628368]",1610612742.0,DAL,shooting,,,Brown,M. Brown,,,,,2714.0,1.0,0.0,Fox,1628368.0,,,,,,,,,,,,,,,
83,PT04M54.00S,2021-12-31T23:24:45.8Z,1,REGULAR,substitution,out,[],1629650,,,1610612758,26,20,2021-12-31T23:25:19Z,830000,,,0,,SUB out: M. Brown,[1629650],1610612742.0,DAL,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M54.00S,2021-12-31T23:24:45.8Z,1,REGULAR,substitution,in,[],1627737,,,1610612758,26,20,2021-12-31T23:25:19Z,840000,,,0,,SUB in: M. Chriss,[1627737],1610612742.0,DAL,,,,Chriss,M. Chriss,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M54.00S,2021-12-31T23:25:09.7Z,1,REGULAR,freethrow,1 of 1,[],1628368,,,1610612758,27,20,2021-12-31T23:25:09Z,850000,,,0,,D. Fox Free Throw 1 of 1 (10 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,Made,10.0,,,,,,,,,,,,,
86,PT04M44.00S,2021-12-31T23:25:16.3Z,1,REGULAR,3pt,Jump Shot,[],1630182,91.93495400788436,3.1862745098039214,1610612742,27,20,2021-12-31T23:26:01Z,860000,-234.0,23.0,1,right,MISS J. Green 3PT,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,Missed,,23.53,,,,,,,,,,,,
87,PT04M41.00S,2021-12-31T23:25:19.9Z,1,REGULAR,rebound,defensive,[],1627745,,,1610612758,27,20,2021-12-31T23:25:19Z,870000,,,0,,D. Jones REBOUND (Off:0 Def:2),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,86.0,2.0,2.0,0.0,,,,,
88,PT04M36.00S,2021-12-31T23:25:24.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,21.76412614980289,89.70588235294117,1610612758,30,20,2021-12-31T23:26:09Z,880000,-199.0,152.0,1,left,B. Hield 25' 3PT  (5 PTS) (D. Fox 3 AST),"[1627741, 1628368]",1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,Made,5.0,25.01,D. Fox,1628368.0,3.0,,,,,,,,,
90,PT04M14.00S,2021-12-31T23:25:47.1Z,1,REGULAR,2pt,Jump Shot,[],1628425,83.65637319316689,16.666666666666664,1610612742,30,22,2021-12-31T23:27:04Z,900000,-167.0,101.0,1,right,S. Brown 19' pullup Jump Shot (4 PTS) (D. Finney-Smith 2 AST),"[1628425, 1627827]",1610612742.0,DAL,pullup,,,Brown,S. Brown,,,,,,,,,,Made,4.0,19.5,D. Finney-Smith,1627827.0,2.0,,,,,,,,,
92,PT03M53.00S,2021-12-31T23:26:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,15.588042049934298,48.529411764705884,1610612758,30,22,2021-12-31T23:26:19Z,920000,7.0,94.0,1,left,MISS D. Fox 9' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,,,,,,Missed,,9.43,,,,,,,,,,,,
