actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
40,PT08M54.00S,2021-12-30T03:44:57.2Z,1,REGULAR,turnover,lost ball,[],1630169,,,1610612758,6,10,2021-12-30T03:45:01Z,390000,,,0,,T. Haliburton lost ball TURNOVER (1 TO),"[1630169, 1628373]",1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,1.0,Ntilikina,1628373.0,
41,PT08M54.00S,2021-12-30T03:44:57.2Z,1,REGULAR,steal,,[],1628373,,,1610612742,6,10,2021-12-30T03:44:59Z,400000,,,0,,F. Ntilikina STEAL (1 STL),[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M54.00S,2021-12-30T03:45:00.4Z,1,REGULAR,foul,personal,[],1630169,,,1610612742,6,10,2021-12-30T03:45:07Z,410000,,,0,,T. Haliburton personal FOUL (1 PF),"[1630169, 1628373]",1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,1627964.0,1.0,0.0,Ntilikina,1628373.0,,,,,,,
44,PT08M46.00S,2021-12-30T03:45:29.2Z,1,REGULAR,foul,personal,[],1628963,,,1610612742,6,10,2021-12-30T03:45:37Z,430000,,,0,,M. Bagley III personal FOUL (2 PF),"[1628963, 204001]",1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,1627964.0,2.0,0.0,Porzingis,204001.0,,,,,,,
46,PT08M46.00S,2021-12-30T03:45:49.5Z,1,REGULAR,substitution,out,[],1628963,,,1610612742,6,10,2021-12-30T03:45:54Z,450000,,,0,,SUB out: M. Bagley III,[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M46.00S,2021-12-30T03:45:49.5Z,1,REGULAR,substitution,in,[],1629002,,,1610612742,6,10,2021-12-30T03:45:54Z,460000,,,0,,SUB in: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M37.00S,2021-12-30T03:46:11.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627827,90.3580814717477,3.431372549019608,1610612742,6,13,2021-12-30T03:46:16Z,470000,-233.0,38.0,1,right,D. Finney-Smith 3PT  (6 PTS) (K. Porzingis 2 AST),"[1627827, 204001]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,23.59,Made,,,,,,,6.0,,,,,,K. Porzingis,204001.0,2.0,,,,
50,PT08M15.00S,2021-12-30T03:46:33.0Z,1,REGULAR,3pt,Jump Shot,[],1629002,30.56833114323259,68.38235294117648,1610612758,6,13,2021-12-30T03:46:37Z,490000,-92.0,235.0,1,left,MISS C. Metu 25' 3PT,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,,
51,PT08M12.00S,2021-12-30T03:46:36.0Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,6,13,2021-12-30T03:46:37Z,500000,,,0,,D. Powell REBOUND (Off:0 Def:3),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,50.0,3.0,3.0,0.0,,,,,,,,,,,,,
52,PT08M06.00S,2021-12-30T03:46:41.8Z,1,REGULAR,3pt,Jump Shot,[],204001,71.69842312746385,80.14705882352942,1610612742,6,13,2021-12-30T03:46:46Z,510000,151.0,214.0,1,right,MISS K. Porzingis 26' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,26.13,Missed,,,,,,,,,,,,,,,,,,,
53,PT08M03.00S,2021-12-30T03:46:44.8Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,6,13,2021-12-30T03:46:46Z,520000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,
54,PT07M55.00S,2021-12-30T03:46:52.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,8.360709592641262,42.64705882352941,1610612758,6,13,2021-12-30T03:46:57Z,530000,37.0,26.0,1,left,MISS T. Haliburton driving Layup,[1630169],1610612758.0,SAC,driving,,,Haliburton,T. Haliburton,,,,,4.51,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M52.00S,2021-12-30T03:46:55.9Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,6,13,2021-12-30T03:46:55Z,540000,,,0,,R. Holmes REBOUND (Off:1 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,54.0,2.0,1.0,1.0,,,,,,,,,,,,,
56,PT07M52.00S,2021-12-30T03:46:55.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626158,5.590000152587891,50.0,1610612758,8,13,2021-12-30T03:46:55Z,550000,0.0,0.0,1,left,R. Holmes tip Layup (4 PTS),[1626158],1610612758.0,SAC,tip,,,Holmes,R. Holmes,,,,,0.0,Made,,,,,,,4.0,,,,,,,,,,,,
57,PT07M38.00S,2021-12-30T03:47:09.0Z,1,REGULAR,3pt,Jump Shot,[],1628973,69.07030223390277,32.84313725490196,1610612742,8,16,2021-12-30T03:47:48Z,560000,-86.0,238.0,1,right,J. Brunson 25' 3PT pullup (5 PTS),[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,25.32,Made,,,,,,,5.0,,,,,,,,,,,,
58,PT07M21.00S,2021-12-30T03:47:26.4Z,1,REGULAR,3pt,Jump Shot,[],203084,32.013797634691194,56.372549019607845,1610612758,8,16,2021-12-30T03:48:19Z,570000,-32.0,248.0,1,left,MISS H. Barnes 25' step back 3PT,[203084],1610612758.0,SAC,step back,,,Barnes,H. Barnes,,,,,25.04,Missed,,,,,,,,,,,,,,,,,,,
59,PT07M18.00S,2021-12-30T03:47:29.4Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,8,16,2021-12-30T03:47:31Z,580000,,,0,,D. Powell REBOUND (Off:0 Def:4),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,58.0,4.0,4.0,0.0,,,,,,,,,,,,,
60,PT07M12.00S,2021-12-30T03:47:39.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628368,,,1610612742,8,16,2021-12-30T03:47:50Z,590000,,,0,,D. Fox personal FOUL (1 PF) (Porzingis 2 FT),"[1628368, 204001]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,2002.0,1.0,0.0,Porzingis,204001.0,,,,,,,
62,PT07M12.00S,2021-12-30T03:48:04.6Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612742,8,17,2021-12-30T03:48:33Z,610000,,,0,,K. Porzingis Free Throw 1 of 2 (3 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
63,PT07M12.00S,2021-12-30T03:48:09.4Z,1,REGULAR,substitution,out,[],1630169,,,1610612742,8,17,2021-12-30T03:48:18Z,620000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M12.00S,2021-12-30T03:48:09.4Z,1,REGULAR,substitution,out,[],1626158,,,1610612742,8,17,2021-12-30T03:48:18Z,630000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M12.00S,2021-12-30T03:48:09.4Z,1,REGULAR,substitution,in,[],1627741,,,1610612742,8,17,2021-12-30T03:48:18Z,640000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M12.00S,2021-12-30T03:48:09.4Z,1,REGULAR,substitution,in,[],1627745,,,1610612742,8,17,2021-12-30T03:48:18Z,650000,,,0,,SUB in: D. Jones,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M12.00S,2021-12-30T03:48:04.6Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612742,8,17,2021-12-30T03:48:33Z,660000,,,0,,MISS K. Porzingis Free Throw 2 of 2,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
68,PT07M10.00S,2021-12-30T03:48:06.6Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,8,17,2021-12-30T03:48:33Z,670000,,,0,,C. Metu REBOUND (Off:0 Def:1),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,
69,PT06M59.00S,2021-12-30T03:48:46.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,10.5946123521682,64.70588235294117,1610612758,10,17,2021-12-30T03:48:50Z,680000,-74.0,47.0,1,left,D. Fox 8' turnaround bank Jump Shot (4 PTS),[1628368],1610612758.0,SAC,turnaround bank,,,Fox,D. Fox,,,,,8.73,Made,,,,,,,4.0,,,,,,,,,,,,
70,PT06M59.00S,2021-12-30T03:48:49.9Z,1,REGULAR,foul,personal,['1freethrow'],1628973,,,1610612758,10,17,2021-12-30T03:50:45Z,690000,,,0,,J. Brunson shooting personal FOUL (1 PF) (Fox 1 FT),"[1628973, 1628368]",1610612742.0,DAL,shooting,,,Brunson,J. Brunson,,,,,,,,,,,,,,2002.0,1.0,0.0,Fox,1628368.0,,,,,,,
72,PT06M59.00S,2021-12-30T03:48:59.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,10,17,2021-12-30T03:48:59Z,710000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M59.00S,2021-12-30T03:52:01.3Z,1,REGULAR,freethrow,1 of 1,[],1628368,,,1610612758,11,17,2021-12-30T03:52:01Z,720000,,,0,,D. Fox Free Throw 1 of 1 (5 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,Made,,,,,,,5.0,,,,,,,,,,,,
74,PT06M42.00S,2021-12-30T03:52:24.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629002,,,1610612742,11,17,2021-12-30T03:52:32Z,730000,,,0,,C. Metu personal FOUL (1 PF) (Porzingis 2 FT),"[1629002, 204001]",1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,2002.0,1.0,0.0,Porzingis,204001.0,,,,,,,
76,PT06M42.00S,2021-12-30T03:52:49.5Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612742,11,18,2021-12-30T03:52:49Z,750000,,,0,,K. Porzingis Free Throw 1 of 2 (4 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,,,4.0,,,,,,,,,,,,
77,PT06M42.00S,2021-12-30T03:53:06.8Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612742,11,19,2021-12-30T03:53:06Z,760000,,,0,,K. Porzingis Free Throw 2 of 2 (5 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,,,5.0,,,,,,,,,,,,
78,PT06M35.00S,2021-12-30T03:53:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,10.200394218134035,48.529411764705884,1610612758,11,19,2021-12-30T03:54:20Z,770000,7.0,43.0,1,left,MISS D. Fox driving Layup,[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,4.4,Missed,,,,,,,,,,,,,,,,,,,
79,PT06M33.00S,2021-12-30T03:53:20.1Z,1,REGULAR,rebound,offensive,[],1627745,,,1610612758,11,19,2021-12-30T03:54:20Z,780000,,,0,,D. Jones REBOUND (Off:1 Def:0),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,78.0,1.0,0.0,1.0,,,,,,,,,,,,,
80,PT06M32.00S,2021-12-30T03:53:24.8Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1627745,5.590000152587891,50.0,1610612758,13,19,2021-12-30T03:54:32Z,790000,0.0,0.0,1,left,D. Jones tip DUNK (2 PTS),[1627745],1610612758.0,SAC,tip,,,Jones,D. Jones,,,,,0.0,Made,,,,,,,2.0,,,,,,,,,,,,
81,PT06M07.00S,2021-12-30T03:53:45.2Z,1,REGULAR,turnover,out-of-bounds,[],203939,,,1610612742,13,19,2021-12-30T03:53:53Z,800000,,,0,,D. Powell bad pass out-of-bounds TURNOVER (1 TO),[203939],1610612742.0,DAL,bad pass,,,Powell,D. Powell,,,,,,,,,,,,,,2002.0,,,,,,,,1.0,,,
82,PT05M52.00S,2021-12-30T03:54:06.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629002,23.73521681997372,59.80392156862745,1610612758,13,19,2021-12-30T03:54:11Z,810000,-49.0,171.0,1,left,MISS C. Metu 17' pullup Shot,[1629002],1610612758.0,SAC,pullup,,,Metu,C. Metu,,,,,17.75,Missed,,,,,,,,,,,,,,,,,,,
83,PT05M48.00S,2021-12-30T03:54:10.6Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,13,19,2021-12-30T03:54:11Z,820000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,
84,PT05M40.00S,2021-12-30T03:54:18.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,91.93495400788436,35.53921568627451,1610612742,13,19,2021-12-30T03:54:23Z,830000,-72.0,23.0,1,right,MISS K. Porzingis 7' turnaround Shot,[204001],1610612742.0,DAL,turnaround,,,Porzingis,K. Porzingis,,,,,7.6,Missed,,,,,,,,,,,,,,,,,,,
86,PT05M36.00S,2021-12-30T03:54:22.1Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,13,19,2021-12-30T03:54:23Z,850000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,
87,PT05M18.00S,2021-12-30T03:54:40.1Z,1,REGULAR,3pt,Jump Shot,[],203084,28.728646517739815,78.92156862745098,1610612758,13,19,2021-12-30T03:54:44Z,860000,-145.0,218.0,1,left,MISS H. Barnes 26' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,26.12,Missed,,,,,,,,,,,,,,,,,,,
88,PT05M17.00S,2021-12-30T03:54:41.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,13,19,2021-12-30T03:54:44Z,870000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,
89,PT05M17.00S,2021-12-30T03:54:45.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,13,19,2021-12-30T03:54:45Z,880000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M17.00S,2021-12-30T03:54:46.1Z,1,REGULAR,substitution,out,[],204001,,,1610612742,13,19,2021-12-30T03:55:04Z,890000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M17.00S,2021-12-30T03:54:46.1Z,1,REGULAR,substitution,out,[],203939,,,1610612742,13,19,2021-12-30T03:55:04Z,900000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M17.00S,2021-12-30T03:54:46.1Z,1,REGULAR,substitution,in,[],1630182,,,1610612742,13,19,2021-12-30T03:55:04Z,910000,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M17.00S,2021-12-30T03:54:46.1Z,1,REGULAR,substitution,in,[],1629650,,,1610612742,13,19,2021-12-30T03:55:04Z,920000,,,0,,SUB in: M. Brown,[1629650],1610612742.0,DAL,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
