actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M45.00S,2022-03-19T02:12:16.5Z,1,REGULAR,foul,personal,['2freethrow'],203200,,,1610612738,0,4,2022-03-19T02:12:28Z,180000,,,0,,J. Holiday shooting personal FOUL (1 PF) (Brown 2 FT),"[203200, 1627759]",1610612758.0,SAC,shooting,,,Holiday,J. Holiday,,,,,,,,,,,1627541.0,,1.0,0.0,Brown,1627759.0,,,,,,,,
20,PT10M45.00S,2022-03-19T02:12:40.9Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,0,5,2022-03-19T02:12:40Z,200000,,,0,,J. Brown Free Throw 1 of 2 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
21,PT10M45.00S,2022-03-19T02:12:40.9Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,0,5,2022-03-19T02:12:58Z,210000,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,
22,PT10M43.00S,2022-03-19T02:12:42.9Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,5,2022-03-19T02:12:58Z,220000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,
23,PT10M27.00S,2022-03-19T02:13:11.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,94.1688567674113,36.029411764705884,1610612758,0,5,2022-03-19T02:13:17Z,230000,-70.0,2.0,1,right,MISS D. Sabonis 6' turnaround Hook,[1627734],1610612758.0,SAC,turnaround,,,Sabonis,D. Sabonis,,,,,6.99,Missed,,,,,,,,,,,,,,,,,,
24,PT10M25.00S,2022-03-19T02:13:13.9Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,5,2022-03-19T02:13:17Z,240000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,
25,PT10M15.00S,2022-03-19T02:13:25.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.1268068331143235,53.92156862745098,1610612738,0,5,2022-03-19T02:13:32Z,250000,-20.0,5.0,1,left,MISS J. Brown cutting Layup,[1627759],1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,2.03,Missed,,,,,,,,,,,,,,,,,,
26,PT10M15.00S,2022-03-19T02:13:25.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,0,5,2022-03-19T02:13:32Z,260000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,
27,PT10M15.00S,2022-03-19T02:13:29.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,0,5,2022-03-19T02:13:29Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT10M06.00S,2022-03-19T02:13:40.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630558,82.60512483574244,35.294117647058826,1610612758,0,5,2022-03-19T02:13:45Z,280000,-74.0,111.0,1,right,MISS D. Mitchell 13' driving floating Shot,[1630558],1610612758.0,SAC,driving floating,,,Mitchell,D. Mitchell,,,,,13.31,Missed,,,,,,,,,,,,,,,,,,
29,PT10M03.00S,2022-03-19T02:13:43.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,5,2022-03-19T02:13:45Z,290000,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,28.0,3.0,3.0,0.0,,,,
30,PT09M53.00S,2022-03-19T02:13:52.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,6.783837056504599,97.05882352941177,1610612738,0,5,2022-03-19T02:14:44Z,300000,-235.0,11.0,1,left,MISS J. Tatum step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,23.56,Missed,,,,,,,,,,,,,,,,,,
31,PT09M50.00S,2022-03-19T02:13:56.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,0,5,2022-03-19T02:13:56Z,310000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,30.0,1.0,0.0,1.0,,,,
32,PT09M42.00S,2022-03-19T02:14:04.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,6.915243101182654,49.50980392156863,1610612738,0,7,2022-03-19T02:14:11Z,320000,2.0,13.0,1,left,J. Brown driving finger roll Layup (5 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,1.27,Made,5.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,
33,PT09M41.00S,2022-03-19T02:14:11.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,0,7,2022-03-19T02:14:11Z,330000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M17.00S,2022-03-19T02:17:57.1Z,1,REGULAR,jumpball,recovered,[],1628369,,,1610612758,0,7,2022-03-19T02:17:57Z,340000,,,0,,Jump Ball M. Smart vs. H. Barnes: Tip to J. Tatum,"[1628369, 203935, 203084]",1610612738.0,BOS,heldball,J. Tatum,1628369.0,Tatum,J. Tatum,Smart,203935.0,Barnes,203084.0,,,,,,,,,,,,,,,,,,,,
38,PT09M17.00S,2022-03-19T02:17:57.1Z,1,REGULAR,turnover,bad pass,[],1630558,,,1610612758,0,7,2022-03-19T02:19:07Z,370000,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1630558, 203935]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,1.0,,,,,,,,,Smart,203935.0,,
39,PT09M17.00S,2022-03-19T02:17:57.1Z,1,REGULAR,steal,,[],203935,,,1610612738,0,7,2022-03-19T02:17:57Z,380000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M14.00S,2022-03-19T02:17:59.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628369,6.652431011826544,50.0,1610612738,0,9,2022-03-19T02:18:05Z,390000,0.0,10.0,1,left,J. Tatum running DUNK (2 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,1.0,Made,2.0,,,,,,,,,,,,,,,,,
41,PT09M00.00S,2022-03-19T02:18:14.1Z,1,REGULAR,turnover,bad pass,[],1630558,,,1610612758,0,9,2022-03-19T02:18:20Z,400000,,,0,,D. Mitchell bad pass TURNOVER (2 TO),"[1630558, 201143]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,2.0,,,,,,,,,Horford,201143.0,,
42,PT09M00.00S,2022-03-19T02:18:14.1Z,1,REGULAR,steal,,[],201143,,,1610612738,0,9,2022-03-19T02:18:17Z,410000,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M55.00S,2022-03-19T02:18:18.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201143,6.258212877792378,49.01960784313725,1610612738,0,11,2022-03-19T02:18:24Z,420000,5.0,6.0,1,left,A. Horford running DUNK (4 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,running,,,Horford,A. Horford,,,,,0.8,Made,4.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
45,PT08M39.00S,2022-03-19T02:18:34.6Z,1,REGULAR,3pt,Jump Shot,[],1627734,66.83639947437582,49.26470588235294,1610612758,3,11,2022-03-19T02:18:39Z,440000,-4.0,259.0,1,right,D. Sabonis 25' 3PT  (3 PTS) (T. Lyles 1 AST),"[1627734, 1626168]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,25.92,Made,3.0,T. Lyles,1626168.0,1.0,,,,,,,,,,,,,,
47,PT08M24.00S,2022-03-19T02:18:49.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,31.61957950065703,60.78431372549019,1610612738,3,14,2022-03-19T02:18:55Z,460000,-54.0,245.0,1,left,J. Brown 25' 3PT  (8 PTS) (M. Smart 3 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.06,Made,8.0,M. Smart,203935.0,3.0,,,,,,,,,,,,,,
49,PT08M11.00S,2022-03-19T02:19:02.3Z,1,REGULAR,3pt,Jump Shot,[],203200,69.99014454664915,71.32352941176471,1610612758,6,14,2022-03-19T02:21:18Z,480000,107.0,230.0,1,right,J. Holiday 25' 3PT pullup (3 PTS) (D. Sabonis 1 AST),"[203200, 1627734]",1610612758.0,SAC,pullup,,,Holiday,J. Holiday,,,,,25.31,Made,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,
51,PT07M51.00S,2022-03-19T02:19:23.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,12.040078843626807,34.55882352941176,1610612738,6,16,2022-03-19T02:21:50Z,500000,77.0,61.0,1,left,A. Horford 9' driving Hook (6 PTS),[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,9.82,Made,6.0,,,,,,,,,,,,,,,,,
52,PT07M28.00S,2022-03-19T02:19:45.8Z,1,REGULAR,2pt,Jump Shot,[],1626168,93.77463863337714,73.0392156862745,1610612758,6,16,2022-03-19T02:22:17Z,510000,115.0,6.0,1,right,MISS T. Lyles 11' Jump Shot - blocked,"[1626168, 1629057]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,11.54,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0
53,PT07M28.00S,2022-03-19T02:19:45.8Z,1,REGULAR,block,,[],1629057,,,1610612758,6,16,2022-03-19T02:19:49Z,520000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M25.00S,2022-03-19T02:19:48.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,6,16,2022-03-19T02:19:54Z,530000,,,0,,A. Horford REBOUND (Off:0 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,52.0,4.0,4.0,0.0,,,,
55,PT07M14.00S,2022-03-19T02:19:59.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,5.732588699080158,35.294117647058826,1610612738,6,16,2022-03-19T02:20:05Z,540000,74.0,1.0,1,left,MISS J. Brown 7' turnaround Shot,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,7.35,Missed,,,,,,,,,,,,,,,,,,
56,PT07M12.00S,2022-03-19T02:20:01.9Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,6,16,2022-03-19T02:20:05Z,550000,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,
57,PT07M05.00S,2022-03-19T02:20:08.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,88.25558475689881,47.794117647058826,1610612758,6,16,2022-03-19T02:20:17Z,560000,-11.0,58.0,1,right,MISS D. Sabonis driving Layup,[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,5.89,Missed,,,,,,,,,,,,,,,,,,
58,PT07M03.00S,2022-03-19T02:20:10.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,6,16,2022-03-19T02:20:17Z,570000,,,0,,A. Horford REBOUND (Off:0 Def:5),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,57.0,5.0,5.0,0.0,,,,
59,PT06M46.00S,2022-03-19T02:20:33.0Z,1,REGULAR,turnover,out-of-bounds,[],201143,,,1610612738,6,16,2022-03-19T02:20:45Z,580000,,,0,,A. Horford lost ball out-of-bounds TURNOVER (1 TO),[201143],1610612738.0,BOS,lost ball,,,Horford,A. Horford,,,,,,,,,,,2530.0,1.0,,,,,,,,,,,,
60,PT06M46.00S,2022-03-19T02:20:36.6Z,1,REGULAR,substitution,out,[],203084,,,1610612758,6,16,2022-03-19T02:20:46Z,590000,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M46.00S,2022-03-19T02:20:36.6Z,1,REGULAR,substitution,out,[],1626168,,,1610612758,6,16,2022-03-19T02:20:46Z,600000,,,0,,SUB out: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M46.00S,2022-03-19T02:20:36.6Z,1,REGULAR,substitution,in,[],1629002,,,1610612758,6,16,2022-03-19T02:20:46Z,610000,,,0,,SUB in: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M46.00S,2022-03-19T02:20:36.6Z,1,REGULAR,substitution,in,[],1628978,,,1610612758,6,16,2022-03-19T02:20:46Z,620000,,,0,,SUB in: D. DiVincenzo,[1628978],1610612758.0,SAC,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M35.00S,2022-03-19T02:20:58.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203200,93.77463863337714,3.6764705882352944,1610612758,9,16,2022-03-19T02:21:03Z,630000,-232.0,6.0,1,right,J. Holiday 3PT  (6 PTS) (D. DiVincenzo 1 AST),"[203200, 1628978]",1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,23.17,Made,6.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,,,,
66,PT06M19.00S,2022-03-19T02:21:13.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,7.835085413929041,45.588235294117645,1610612738,9,16,2022-03-19T02:26:55Z,650000,22.0,21.0,1,left,MISS J. Tatum DUNK - blocked,"[1628369, 203200]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,3.06,Missed,,,,,,,,,,,,,,,,,Holiday,203200.0
81,PT06M19.00S,2022-03-19T02:21:13.3Z,1,REGULAR,block,,[],203200,,,1610612738,9,16,2022-03-19T02:26:08Z,655000,,,0,,J. Holiday BLOCK (1 BLK),[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M18.00S,2022-03-19T02:21:14.3Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,9,16,2022-03-19T02:21:19Z,660000,,,0,,C. Metu REBOUND (Off:0 Def:1),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,66.0,1.0,1.0,0.0,,,,
68,PT06M18.00S,2022-03-19T02:21:19.4Z,1,REGULAR,turnover,traveling,[],1629002,,,1610612758,9,16,2022-03-19T02:28:14Z,670000,,,0,,C. Metu traveling TURNOVER (1 TO),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,1627541.0,1.0,,,,,,,,,,,,
69,PT06M08.00S,2022-03-19T02:21:42.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",201143,10.068988173455978,43.872549019607845,1610612738,9,16,2022-03-19T02:21:49Z,680000,31.0,42.0,1,left,MISS A. Horford turnaround Hook,[201143],1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,5.2,Missed,,,,,,,,,,,,,,,,,,
70,PT06M05.00S,2022-03-19T02:21:45.7Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612758,9,16,2022-03-19T02:21:49Z,690000,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612758.0,SAC,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,
71,PT05M55.00S,2022-03-19T02:21:55.5Z,1,REGULAR,3pt,Jump Shot,[],1629002,81.68528252299606,5.147058823529411,1610612758,12,16,2022-03-19T02:22:01Z,700000,-224.0,120.0,1,right,C. Metu 25' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1629002, 1630558]",1610612758.0,SAC,,,,Metu,C. Metu,,,,,25.42,Made,3.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,,,,,
73,PT05M54.00S,2022-03-19T02:22:05.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,12,16,2022-03-19T02:22:05Z,720000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M54.00S,2022-03-19T02:22:12.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,12,16,2022-03-19T02:25:10Z,730000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M54.00S,2022-03-19T02:22:12.9Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,12,16,2022-03-19T02:25:10Z,740000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M54.00S,2022-03-19T02:22:12.9Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,12,16,2022-03-19T02:25:10Z,750000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M54.00S,2022-03-19T02:22:12.9Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,12,16,2022-03-19T02:25:10Z,760000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M39.00S,2022-03-19T02:25:24.9Z,1,REGULAR,turnover,traveling,[],1627759,,,1610612738,12,16,2022-03-19T02:25:31Z,770000,,,0,,J. Brown traveling TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,1627541.0,1.0,,,,,,,,,,,,
79,PT05M26.00S,2022-03-19T02:25:47.5Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612758,12,16,2022-03-19T02:26:12Z,780000,,,0,,G. Williams shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1629684, 1630558]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,201245.0,,1.0,0.0,Mitchell,1630558.0,,,,,,,,
82,PT05M26.00S,2022-03-19T02:26:13.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630558,,,1610612758,12,16,2022-03-19T02:26:13Z,800000,,,0,,MISS D. Mitchell Free Throw 1 of 2,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,Missed,,,,,,,,,,,,,,,,,,
83,PT05M26.00S,2022-03-19T02:26:13.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,12,16,2022-03-19T02:26:13Z,810000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,
84,PT05M26.00S,2022-03-19T02:26:27.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630558,,,1610612758,13,16,2022-03-19T02:26:27Z,820000,,,0,,D. Mitchell Free Throw 2 of 2 (1 PTS),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
85,PT05M11.00S,2022-03-19T02:26:44.9Z,1,REGULAR,3pt,Jump Shot,[],203935,18.2161629434954,93.38235294117648,1610612738,13,16,2022-03-19T02:26:49Z,830000,-217.0,119.0,1,left,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,
86,PT05M09.00S,2022-03-19T02:26:46.9Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,13,16,2022-03-19T02:26:49Z,840000,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,85.0,3.0,3.0,0.0,,,,
87,PT05M00.00S,2022-03-19T02:26:55.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,92.85479632063075,48.28431372549019,1610612758,15,16,2022-03-19T02:27:00Z,850000,-9.0,15.0,1,right,D. Sabonis cutting DUNK (5 PTS) (D. DiVincenzo 2 AST),"[1627734, 1628978]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,1.7,Made,5.0,D. DiVincenzo,1628978.0,2.0,,,,,,,,,,,,,,
89,PT04M39.00S,2022-03-19T02:27:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,7.178055190538765,53.92156862745098,1610612738,15,18,2022-03-19T02:27:21Z,870000,-20.0,15.0,1,left,J. Brown cutting Layup (10 PTS) (G. Williams 1 AST),"[1627759, 1629684]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,2.47,Made,10.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,,,
91,PT04M29.00S,2022-03-19T02:27:30.8Z,1,REGULAR,foul,personal,[],1629684,,,1610612758,15,18,2022-03-19T02:27:54Z,890000,,,0,,G. Williams personal FOUL (2 PF),"[1629684, 1630558]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,201245.0,,2.0,0.0,Mitchell,1630558.0,,,,,,,,
93,PT04M20.00S,2022-03-19T02:27:52.1Z,1,REGULAR,3pt,Jump Shot,[],1629002,89.56964520367937,97.05882352941177,1610612758,15,18,2022-03-19T02:27:57Z,910000,235.0,46.0,1,right,MISS C. Metu 3PT,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,23.97,Missed,,,,,,,,,,,,,,,,,,
94,PT04M16.00S,2022-03-19T02:27:56.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,15,18,2022-03-19T02:27:57Z,920000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,93.0,1.0,1.0,0.0,,,,
