actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
22,PT09M53.00S,2021-12-09T03:12:54.0Z,1,REGULAR,foul,personal,[],203914,,,1610612758,4,2,2021-12-09T03:13:05Z,220000,,,0,,G. Harris personal FOUL (1 PF),"[203914, 1629056]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,202037.0,,,,,1.0,0.0,Davis,1629056.0,,,
24,PT09M50.00S,2021-12-09T03:13:11.6Z,1,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612758,4,2,2021-12-09T03:13:23Z,240000,,,0,,M. Bamba shooting personal FOUL (1 PF) (Fox 2 FT),"[1628964, 1628368]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,,,,202049.0,,,,,1.0,0.0,Fox,1628368.0,,,
26,PT09M50.00S,2021-12-09T03:13:36.0Z,1,REGULAR,freethrow,1 of 2,[],1628368,,,1610612758,5,2,2021-12-09T03:13:36Z,260000,,,0,,D. Fox Free Throw 1 of 2 (3 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
27,PT09M50.00S,2021-12-09T03:13:51.5Z,1,REGULAR,freethrow,2 of 2,[],1628368,,,1610612758,6,2,2021-12-09T03:13:51Z,270000,,,0,,D. Fox Free Throw 2 of 2 (4 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
28,PT09M40.00S,2021-12-09T03:14:05.1Z,1,REGULAR,foul,personal,['2freethrow'],1629056,,,1610612753,6,2,2021-12-09T03:14:25Z,280000,,,0,,T. Davis shooting personal FOUL (1 PF) (Wagner 2 FT),"[1629056, 1630532]",1610612758.0,SAC,shooting,,,Davis,T. Davis,,,,,,,,,,,,,,202049.0,,,,,1.0,0.0,Wagner,1630532.0,,,
30,PT09M40.00S,2021-12-09T03:14:26.2Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,6,3,2021-12-09T03:14:26Z,300000,,,0,,F. Wagner Free Throw 1 of 2 (1 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
31,PT09M40.00S,2021-12-09T03:14:39.2Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,6,4,2021-12-09T03:14:39Z,310000,,,0,,F. Wagner Free Throw 2 of 2 (2 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
32,PT09M27.00S,2021-12-09T03:14:53.0Z,1,REGULAR,3pt,Jump Shot,[],1630169,95.48291721419186,3.1862745098039214,1610612758,9,4,2021-12-09T03:14:58Z,320000,-234.0,-10.0,1,right,T. Haliburton 3PT  (3 PTS) (R. Holmes 1 AST),"[1630169, 1626158]",1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,23.43,Made,3.0,,,,R. Holmes,1626158.0,1.0,,,,,,,,,,,,
34,PT09M13.00S,2021-12-09T03:15:06.3Z,1,REGULAR,3pt,Jump Shot,[],203914,31.09395532194481,36.76470588235294,1610612753,9,7,2021-12-09T03:15:22Z,340000,66.0,240.0,1,left,G. Harris 24' 3PT  (3 PTS) (W. Carter Jr. 1 AST),"[203914, 1628976]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,24.88,Made,3.0,,,,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,,
36,PT08M57.00S,2021-12-09T03:15:22.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203084,86.5473061760841,50.98039215686274,1610612758,11,7,2021-12-09T03:15:27Z,360000,5.0,74.0,1,right,H. Barnes 7' driving Hook (2 PTS) (T. Haliburton 1 AST),"[203084, 1630169]",1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,7.42,Made,2.0,,,,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,
37,PT08M33.00S,2021-12-09T03:15:46.2Z,1,REGULAR,2pt,Hook,[],1628964,7.30946123521682,33.57843137254902,1610612753,11,7,2021-12-09T03:15:51Z,370000,82.0,16.0,1,left,MISS M. Bamba 8' turnaround Hook,[1628964],1610612753.0,ORL,turnaround,,,Bamba,M. Bamba,,,,,8.37,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M30.00S,2021-12-09T03:15:49.2Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,11,7,2021-12-09T03:15:51Z,380000,,,0,,R. Holmes REBOUND (Off:0 Def:2),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,37.0,2.0,2.0,0.0,,,,,,,
39,PT08M27.00S,2021-12-09T03:15:52.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203084,77.61169513797634,8.088235294117647,1610612758,11,7,2021-12-09T03:16:00Z,390000,-210.0,158.0,1,right,MISS H. Barnes 26' running 3PT,[203084],1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,26.25,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M23.00S,2021-12-09T03:15:56.6Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,11,7,2021-12-09T03:16:00Z,400000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,
41,PT08M19.00S,2021-12-09T03:16:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,7.440867279894875,50.0,1610612753,11,7,2021-12-09T03:26:49Z,402500,0.0,17.0,1,left,MISS C. Anthony running Layup,[1630175],1610612753.0,ORL,running,,,Anthony,C. Anthony,,,,,1.74,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M17.00S,2021-12-09T03:16:04.9Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,11,7,2021-12-09T03:26:49Z,403750,,,0,,M. Bamba REBOUND (Off:1 Def:0),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,41.0,1.0,0.0,1.0,,,,,,,
43,PT08M17.00S,2021-12-09T03:16:06.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628964,5.590000152587891,50.0,1610612753,11,7,2021-12-09T03:26:49Z,405000,0.0,0.0,1,left,MISS M. Bamba tip Layup,[1628964],1610612753.0,ORL,tip,,,Bamba,M. Bamba,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M16.00S,2021-12-09T03:16:07.4Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,11,7,2021-12-09T03:26:00Z,407500,,,0,,M. Bamba REBOUND (Off:2 Def:0),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,43.0,2.0,0.0,2.0,,,,,,,
87,PT08M15.00S,2021-12-09T03:16:11.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628964,8.065045992115643,51.22549019607843,1610612753,11,7,2021-12-09T03:24:18Z,425000,-6.0,23.0,1,left,MISS M. Bamba Layup - blocked,"[1628964, 1629056]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,2.41,Missed,,,,,,,,,,,,,,,,,Davis,1629056.0,
88,PT08M15.00S,2021-12-09T03:16:11.1Z,1,REGULAR,block,,[],1629056,,,1610612753,11,7,2021-12-09T03:23:46Z,427500,,,0,,T. Davis BLOCK (1 BLK),[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT08M13.00S,2021-12-09T03:16:13.1Z,1,REGULAR,rebound,defensive,[],1629056,,,1610612758,11,7,2021-12-09T03:24:18Z,428750,,,0,,T. Davis REBOUND (Off:0 Def:1),[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,87.0,1.0,1.0,0.0,,,,,,,
47,PT08M08.00S,2021-12-09T03:16:15.9Z,1,REGULAR,turnover,palming,[],1629056,,,1610612758,11,7,2021-12-09T03:16:24Z,470000,,,0,,T. Davis palming TURNOVER (1 TO),[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,1.0,,,,,,202037.0,,,,,,,,,,,
48,PT08M00.00S,2021-12-09T03:16:33.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630175,23.73521681997372,36.029411764705884,1610612753,11,7,2021-12-09T03:16:42Z,480000,70.0,171.0,1,left,MISS C. Anthony 18' pullup Shot,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,18.44,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M59.00S,2021-12-09T03:16:39.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,11,7,2021-12-09T03:16:39Z,490000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,
50,PT07M59.00S,2021-12-09T03:16:41.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,11,7,2021-12-09T03:16:41Z,500000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M54.00S,2021-12-09T03:17:03.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630532,23.866622864651774,14.950980392156863,1610612753,11,10,2021-12-09T03:17:14Z,510000,175.0,172.0,1,left,F. Wagner 24' 3PT pullup (5 PTS),[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,24.54,Made,5.0,,,,,,,,,,,,,,,,,,
52,PT07M43.00S,2021-12-09T03:17:14.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,92.59198423127464,44.85294117647059,1610612758,13,10,2021-12-09T03:17:20Z,520000,-26.0,17.0,1,right,D. Fox driving Layup (6 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,3.09,Made,6.0,,,,,,,,,,,,,,,,,,
53,PT07M34.00S,2021-12-09T03:17:22.8Z,1,REGULAR,3pt,Jump Shot,[],203914,18.478975032851512,91.17647058823529,1610612753,13,10,2021-12-09T03:17:27Z,530000,-206.0,121.0,1,left,MISS G. Harris 3PT - blocked,"[203914, 1630169]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,23.89,Missed,,,,,,,,,,,,,,,,,Haliburton,1630169.0,
54,PT07M34.00S,2021-12-09T03:17:22.8Z,1,REGULAR,block,,[],1630169,,,1610612753,13,10,2021-12-09T03:17:25Z,540000,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M31.00S,2021-12-09T03:17:25.8Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,13,10,2021-12-09T03:17:27Z,550000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,
56,PT07M24.00S,2021-12-09T03:17:34.3Z,1,REGULAR,turnover,out-of-bounds,[],1629056,,,1610612758,13,10,2021-12-09T03:17:41Z,560000,,,0,,T. Davis lost ball out-of-bounds TURNOVER (2 TO),[1629056],1610612758.0,SAC,lost ball,,,Davis,T. Davis,,,,,,,,2.0,,,,,,1627529.0,,,,,,,,,,,
57,PT07M14.00S,2021-12-09T03:17:56.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628976,14.668199737187912,49.26470588235294,1610612753,13,12,2021-12-09T03:18:03Z,570000,4.0,85.0,1,left,W. Carter Jr. 8' floating Jump Shot (4 PTS) (C. Anthony 1 AST),"[1628976, 1630175]",1610612753.0,ORL,floating,,,Carter Jr.,W. Carter Jr.,,,,,8.55,Made,4.0,,,,C. Anthony,1630175.0,1.0,,,,,,,,,,,,
59,PT07M02.00S,2021-12-09T03:18:07.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,82.21090670170827,48.28431372549019,1610612758,13,12,2021-12-09T03:18:12Z,590000,-9.0,115.0,1,right,MISS T. Haliburton 11' floating Shot - blocked,"[1630169, 1628964]",1610612758.0,SAC,floating,,,Haliburton,T. Haliburton,,,,,11.5,Missed,,,,,,,,,,,,,,,,,Bamba,1628964.0,
60,PT07M02.00S,2021-12-09T03:18:07.9Z,1,REGULAR,block,,[],1628964,,,1610612758,13,12,2021-12-09T03:18:11Z,600000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M02.00S,2021-12-09T03:18:07.9Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,13,12,2021-12-09T03:18:33Z,610000,,,0,,C. Anthony REBOUND (Off:0 Def:2),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,59.0,2.0,2.0,0.0,,,,,,,
62,PT07M00.00S,2021-12-09T03:18:13.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,5.863994743758213,49.754901960784316,1610612753,13,14,2021-12-09T03:18:20Z,620000,1.0,3.0,1,left,C. Anthony running Layup (2 PTS),[1630175],1610612753.0,ORL,running,,,Anthony,C. Anthony,,,,,0.29,Made,2.0,,,,,,,,,,,,,,,,,,
63,PT07M00.00S,2021-12-09T03:18:17.7Z,1,REGULAR,foul,personal,['1freethrow'],203084,,,1610612753,13,14,2021-12-09T03:18:38Z,630000,,,0,,H. Barnes shooting personal FOUL (1 PF) (Anthony 1 FT),"[203084, 1630175]",1610612758.0,SAC,shooting,,,Barnes,H. Barnes,,,,,,,,,,,,,,202037.0,,,,,1.0,0.0,Anthony,1630175.0,,,
65,PT07M00.00S,2021-12-09T03:18:37.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,13,14,2021-12-09T03:18:37Z,650000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M00.00S,2021-12-09T03:18:39.6Z,1,REGULAR,substitution,out,[],1629056,,,1610612753,13,14,2021-12-09T03:21:22Z,660000,,,0,,SUB out: T. Davis,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M00.00S,2021-12-09T03:18:39.6Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,13,14,2021-12-09T03:21:22Z,670000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M00.00S,2021-12-09T03:18:39.6Z,1,REGULAR,substitution,in,[],1627741,,,1610612753,13,14,2021-12-09T03:21:22Z,680000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M00.00S,2021-12-09T03:18:39.6Z,1,REGULAR,substitution,in,[],203082,,,1610612753,13,14,2021-12-09T03:21:22Z,690000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M00.00S,2021-12-09T03:21:36.7Z,1,REGULAR,freethrow,1 of 1,[],1630175,,,1610612753,13,15,2021-12-09T03:21:36Z,700000,,,0,,C. Anthony Free Throw 1 of 1 (3 PTS),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
72,PT06M49.00S,2021-12-09T03:21:52.6Z,1,REGULAR,2pt,Jump Shot,[],203084,90.75229960578186,65.93137254901961,1610612758,15,15,2021-12-09T03:21:59Z,710000,80.0,34.0,1,right,H. Barnes 8' floating Jump Shot (4 PTS) (T. Haliburton 2 AST),"[203084, 1630169]",1610612758.0,SAC,floating,,,Barnes,H. Barnes,,,,,8.68,Made,4.0,,,,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,
74,PT06M49.00S,2021-12-09T03:21:55.5Z,1,REGULAR,foul,personal,['1freethrow'],1628976,,,1610612758,15,15,2021-12-09T03:22:04Z,730000,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Barnes 1 FT),"[1628976, 203084]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,202037.0,,,,,1.0,0.0,Barnes,203084.0,,,
76,PT06M49.00S,2021-12-09T03:22:13.7Z,1,REGULAR,substitution,out,[],1630169,,,1610612758,15,15,2021-12-09T03:22:55Z,750000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M49.00S,2021-12-09T03:22:13.7Z,1,REGULAR,substitution,in,[],1630558,,,1610612758,15,15,2021-12-09T03:22:55Z,760000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M49.00S,2021-12-09T03:22:33.8Z,1,REGULAR,freethrow,1 of 1,[],203084,,,1610612758,16,15,2021-12-09T03:22:33Z,770000,,,0,,H. Barnes Free Throw 1 of 1 (5 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
79,PT06M40.00S,2021-12-09T03:22:45.2Z,1,REGULAR,foul,personal,['2freethrow'],1626158,,,1610612753,16,15,2021-12-09T03:23:00Z,780000,,,0,,R. Holmes shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[1626158, 1628976]",1610612758.0,SAC,shooting,,,Holmes,R. Holmes,,,,,,,,,,,,,,202049.0,,,,,1.0,0.0,Carter Jr.,1628976.0,,,
81,PT06M40.00S,2021-12-09T03:23:12.1Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,16,15,2021-12-09T03:23:12Z,800000,,,0,,MISS W. Carter Jr. Free Throw 1 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
82,PT06M40.00S,2021-12-09T03:23:12.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,16,15,2021-12-09T03:23:12Z,810000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,
83,PT06M40.00S,2021-12-09T03:23:13.6Z,1,REGULAR,substitution,out,[],1626158,,,1610612753,16,15,2021-12-09T03:23:19Z,820000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M40.00S,2021-12-09T03:23:13.6Z,1,REGULAR,substitution,in,[],203458,,,1610612753,16,15,2021-12-09T03:23:19Z,830000,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M40.00S,2021-12-09T03:23:32.5Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,16,16,2021-12-09T03:23:32Z,840000,,,0,,W. Carter Jr. Free Throw 2 of 2 (5 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
86,PT06M28.00S,2021-12-09T03:23:44.8Z,1,REGULAR,3pt,Jump Shot,[],1627741,66.70499342969777,44.11764705882353,1610612758,16,16,2021-12-09T03:23:52Z,850000,-29.0,260.0,1,right,MISS B. Hield 26' 3PT,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,26.22,Missed,,,,,,,,,,,,,,,,,,,
90,PT06M25.00S,2021-12-09T03:23:47.8Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,16,16,2021-12-09T03:23:52Z,860000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,86.0,2.0,2.0,0.0,,,,,,,
91,PT06M13.00S,2021-12-09T03:24:00.1Z,1,REGULAR,2pt,Jump Shot,[],203914,24.129434954007884,56.127450980392155,1610612753,16,18,2021-12-09T03:24:05Z,870000,-31.0,174.0,1,left,G. Harris 17' pullup Jump Shot (5 PTS) (W. Carter Jr. 2 AST),"[203914, 1628976]",1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,17.7,Made,5.0,,,,W. Carter Jr.,1628976.0,2.0,,,,,,,,,,,,
