actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
27,PT09M37.00S,2021-11-21T03:13:17.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,11.251642575558476,39.950980392156865,1610612762,5,5,2021-11-21T03:13:29Z,270000,50.0,53.0,1,left,M. Conley 7' turnaround fadeaway Jump Shot (5 PTS),[201144],1610612762.0,UTA,turnaround fadeaway,,,Conley,M. Conley,,,,,7.32,Made,,,,,,,5.0,,,,,,,,,,,,
28,PT09M16.00S,2021-11-21T03:13:38.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629002,93.11760840998686,49.50980392156863,1610612758,7,5,2021-11-21T03:13:47Z,280000,-2.0,12.0,1,right,C. Metu driving DUNK (2 PTS) (H. Barnes 2 AST),"[1629002, 203084]",1610612758.0,SAC,driving,,,Metu,C. Metu,,,,,1.25,Made,,,,,,,2.0,H. Barnes,203084.0,2.0,,,,,,,,,
30,PT08M59.00S,2021-11-21T03:13:54.8Z,1,REGULAR,3pt,Jump Shot,[],201144,31.750985545335087,41.66666666666667,1610612762,7,8,2021-11-21T03:14:03Z,300000,42.0,246.0,1,left,M. Conley 24' 3PT pullup (8 PTS),[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,24.95,Made,,,,,,,8.0,,,,,,,,,,,,
31,PT08M44.00S,2021-11-21T03:14:09.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,94.43166885676742,43.872549019607845,1610612758,7,8,2021-11-21T03:20:40Z,310000,-31.0,0.0,1,right,MISS H. Barnes driving Layup,[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,3.06,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M42.00S,2021-11-21T03:14:11.8Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,7,8,2021-11-21T03:14:20Z,320000,,,0,,R. Holmes REBOUND (Off:1 Def:0),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,31.0,,,1.0,0.0,1.0,,,,,,,,,,,,,
33,PT08M42.00S,2021-11-21T03:14:12.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1626158,93.77463863337714,50.73529411764706,1610612758,9,8,2021-11-21T03:14:26Z,330000,4.0,6.0,1,right,R. Holmes Hook (4 PTS),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,0.7,Made,,,,,,,4.0,,,,,,,,,,,,
34,PT08M32.00S,2021-11-21T03:14:24.8Z,1,REGULAR,foul,personal,[],1629002,,,1610612762,9,8,2021-11-21T03:14:46Z,340000,,,0,,C. Metu personal FOUL (1 PF),"[1629002, 202711]",1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,203177.0,1.0,0.0,Bogdanovic,202711.0,,,,
36,PT08M26.00S,2021-11-21T03:14:49.6Z,1,REGULAR,3pt,Jump Shot,[],1626220,5.469776609724048,96.07843137254902,1610612762,9,8,2021-11-21T03:15:01Z,360000,-230.0,-1.0,1,left,MISS R. O'Neale 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M22.00S,2021-11-21T03:14:53.6Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,9,8,2021-11-21T03:15:01Z,370000,,,0,,R. Holmes REBOUND (Off:1 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,36.0,,,2.0,1.0,1.0,,,,,,,,,,,,,
38,PT08M13.00S,2021-11-21T03:15:02.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,92.46057818659659,54.90196078431373,1610612758,11,8,2021-11-21T03:15:11Z,380000,25.0,18.0,1,right,H. Barnes Layup (5 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,3.06,Made,,,,,,,5.0,,,,,,,,,,,,
39,PT08M01.00S,2021-11-21T03:15:14.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,5.863994743758213,53.67647058823529,1610612762,11,10,2021-11-21T03:15:22Z,390000,-18.0,3.0,1,left,R. Gobert alley-oop Layup (2 PTS) (M. Conley 1 AST),"[203497, 201144]",1610612762.0,UTA,alley-oop,,,Gobert,R. Gobert,,,,,1.86,Made,,,,,,,2.0,M. Conley,201144.0,1.0,,,,,,,,,
41,PT07M45.00S,2021-11-21T03:15:30.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626158,91.14651773981603,42.8921568627451,1610612758,11,10,2021-11-21T03:15:37Z,410000,-36.0,31.0,1,right,MISS R. Holmes Layup,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,4.69,Missed,,,,,,,,,,,,,,,,,,,
42,PT07M42.00S,2021-11-21T03:15:33.8Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,11,10,2021-11-21T03:15:37Z,420000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,41.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
43,PT07M34.00S,2021-11-21T03:15:41.4Z,1,REGULAR,turnover,bad pass,[],202711,,,1610612762,11,10,2021-11-21T03:26:52Z,430000,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[202711, 1629002]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,1.0,Metu,1629002.0,
44,PT07M34.00S,2021-11-21T03:15:41.4Z,1,REGULAR,steal,,[],1629002,,,1610612758,11,10,2021-11-21T03:15:43Z,440000,,,0,,C. Metu STEAL (1 STL),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M29.00S,2021-11-21T03:15:46.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630169,69.33311432325887,27.450980392156865,1610612758,11,10,2021-11-21T03:23:17Z,450000,-113.0,236.0,1,right,MISS T. Haliburton 26' running 3PT,[1630169],1610612758.0,SAC,running,,,Haliburton,T. Haliburton,,,,,26.13,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M26.00S,2021-11-21T03:15:49.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,11,10,2021-11-21T03:15:49Z,460000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,45.0,,,2.0,2.0,0.0,,,,,,,,,,,,,
47,PT07M20.00S,2021-11-21T03:15:55.4Z,1,REGULAR,2pt,Jump Shot,[],1628378,20.97568988173456,31.862745098039213,1610612762,11,12,2021-11-21T03:16:07Z,470000,91.0,145.0,1,left,D. Mitchell 17' pullup Jump Shot (2 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,17.08,Made,,,,,,,2.0,,,,,,,,,,,,
48,PT07M04.00S,2021-11-21T03:16:13.8Z,1,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612758,11,12,2021-11-21T03:16:36Z,480000,,,0,,R. O'Neale shooting personal FOUL (1 PF) (Barnes 2 FT),"[1626220, 203084]",1610612762.0,UTA,shooting,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,203177.0,1.0,0.0,Barnes,203084.0,,,,
50,PT07M04.00S,2021-11-21T03:16:45.9Z,1,REGULAR,freethrow,1 of 2,[],203084,,,1610612758,12,12,2021-11-21T03:16:45Z,500000,,,0,,H. Barnes Free Throw 1 of 2 (6 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Made,,,,,,,6.0,,,,,,,,,,,,
51,PT07M04.00S,2021-11-21T03:16:48.0Z,1,REGULAR,substitution,out,[],203497,,,1610612758,12,12,2021-11-21T03:17:03Z,510000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M04.00S,2021-11-21T03:16:48.0Z,1,REGULAR,substitution,out,[],201144,,,1610612758,12,12,2021-11-21T03:17:03Z,520000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M04.00S,2021-11-21T03:16:48.0Z,1,REGULAR,substitution,in,[],202355,,,1610612758,12,12,2021-11-21T03:17:03Z,530000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M04.00S,2021-11-21T03:16:48.0Z,1,REGULAR,substitution,in,[],204060,,,1610612758,12,12,2021-11-21T03:17:03Z,540000,,,0,,SUB in: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M04.00S,2021-11-21T03:17:06.8Z,1,REGULAR,freethrow,2 of 2,[],203084,,,1610612758,13,12,2021-11-21T03:17:06Z,550000,,,0,,H. Barnes Free Throw 2 of 2 (7 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Made,,,,,,,7.0,,,,,,,,,,,,
56,PT06M39.00S,2021-11-21T03:17:33.1Z,1,REGULAR,2pt,Jump Shot,[],202711,15.982260183968464,82.35294117647058,1610612762,13,14,2021-11-21T03:17:43Z,560000,-162.0,98.0,1,left,B. Bogdanovic 18' fadeaway Jump Shot (2 PTS),[202711],1610612762.0,UTA,fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,18.9,Made,,,,,,,2.0,,,,,,,,,,,,
57,PT06M21.00S,2021-11-21T03:17:52.0Z,1,REGULAR,3pt,Jump Shot,[],1629002,75.90341655716163,86.76470588235294,1610612758,13,14,2021-11-21T03:17:58Z,570000,184.0,174.0,1,right,MISS C. Metu 25' 3PT,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M18.00S,2021-11-21T03:17:55.0Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,13,14,2021-11-21T03:17:58Z,580000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,57.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
59,PT06M13.00S,2021-11-21T03:17:59.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,27.808804204993432,76.22549019607843,1610612762,13,17,2021-11-21T03:18:07Z,590000,-131.0,209.0,1,left,D. Mitchell 24' 3PT pullup (5 PTS) (R. O'Neale 2 AST),"[1628378, 1626220]",1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,24.66,Made,,,,,,,5.0,R. O'Neale,1626220.0,2.0,,,,,,,,,
60,PT06M13.00S,2021-11-21T03:18:06.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,13,17,2021-11-21T03:18:06Z,600000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M13.00S,2021-11-21T03:18:08.7Z,1,REGULAR,substitution,out,[],1630169,,,1610612758,13,17,2021-11-21T03:21:05Z,610000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M13.00S,2021-11-21T03:18:08.7Z,1,REGULAR,substitution,out,[],1629002,,,1610612758,13,17,2021-11-21T03:21:05Z,620000,,,0,,SUB out: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M13.00S,2021-11-21T03:18:08.7Z,1,REGULAR,substitution,out,[],1626158,,,1610612758,13,17,2021-11-21T03:21:05Z,630000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M13.00S,2021-11-21T03:18:08.7Z,1,REGULAR,substitution,in,[],1627741,,,1610612758,13,17,2021-11-21T03:21:05Z,640000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M13.00S,2021-11-21T03:18:08.7Z,1,REGULAR,substitution,in,[],203458,,,1610612758,13,17,2021-11-21T03:21:05Z,650000,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M13.00S,2021-11-21T03:18:08.7Z,1,REGULAR,substitution,in,[],203090,,,1610612758,13,17,2021-11-21T03:21:05Z,660000,,,0,,SUB in: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M00.00S,2021-11-21T03:21:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,92.59198423127464,41.42156862745098,1610612758,15,17,2021-11-21T05:04:27Z,670000,-43.0,17.0,1,right,B. Hield driving finger roll Layup (2 PTS) (A. Len 1 AST),"[1627741, 203458]",1610612758.0,SAC,driving finger roll,,,Hield,B. Hield,,,,,4.62,Made,,,,,,,2.0,A. Len,203458.0,1.0,,,,,,,,,
69,PT05M44.00S,2021-11-21T03:22:08.5Z,1,REGULAR,3pt,Jump Shot,[],1626220,8.492115637319317,2.696078431372549,1610612762,15,20,2021-11-21T03:22:16Z,690000,237.0,27.0,1,left,R. O'Neale 3PT  (3 PTS) (J. Ingles 1 AST),"[1626220, 204060]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,23.81,Made,,,,,,,3.0,J. Ingles,204060.0,1.0,,,,,,,,,
71,PT05M36.00S,2021-11-21T03:22:17.0Z,1,REGULAR,2pt,Jump Shot,[],1628368,77.4802890932983,50.0,1610612758,15,20,2021-11-21T03:22:23Z,710000,0.0,159.0,1,right,MISS D. Fox 15' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,15.92,Missed,,,,,,,,,,,,,,,,,,,
72,PT05M33.00S,2021-11-21T03:22:20.0Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,15,20,2021-11-21T03:22:23Z,720000,,,0,,H. Whiteside REBOUND (Off:0 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,71.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
73,PT05M26.00S,2021-11-21T03:22:27.2Z,1,REGULAR,2pt,Jump Shot,[],1628378,23.603810775295663,61.76470588235294,1610612762,15,20,2021-11-21T03:29:10Z,730000,-59.0,169.0,1,left,MISS D. Mitchell 17' step back Shot,[1628378],1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,17.93,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M21.00S,2021-11-21T03:22:32.2Z,1,REGULAR,rebound,defensive,[],203458,,,1610612758,15,20,2021-11-21T03:22:36Z,740000,,,0,,A. Len REBOUND (Off:0 Def:1),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,73.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
75,PT05M12.00S,2021-11-21T03:22:40.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627741,82.7365308804205,48.77450980392157,1610612758,17,20,2021-11-21T03:22:50Z,750000,-6.0,110.0,1,right,B. Hield 11' floating Jump Shot (4 PTS),[1627741],1610612758.0,SAC,floating,,,Hield,B. Hield,,,,,11.0,Made,,,,,,,4.0,,,,,,,,,,,,
76,PT04M52.00S,2021-11-21T03:23:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,5.863994743758213,44.11764705882353,1610612762,17,22,2021-11-21T03:23:09Z,760000,29.0,3.0,1,left,B. Bogdanovic cutting Layup (4 PTS) (D. Mitchell 1 AST),"[202711, 1628378]",1610612762.0,UTA,cutting,,,Bogdanovic,B. Bogdanovic,,,,,2.95,Made,,,,,,,4.0,D. Mitchell,1628378.0,1.0,,,,,,,,,
78,PT04M37.00S,2021-11-21T03:23:15.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,84.44480946123521,49.754901960784316,1610612758,17,22,2021-11-21T03:30:15Z,780000,-1.0,94.0,1,right,MISS D. Fox 9' driving floating Shot,[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,9.37,Missed,,,,,,,,,,,,,,,,,,,
79,PT04M34.00S,2021-11-21T03:23:18.7Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,17,22,2021-11-21T03:23:26Z,790000,,,0,,H. Whiteside REBOUND (Off:0 Def:2),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,78.0,,,2.0,2.0,0.0,,,,,,,,,,,,,
80,PT04M15.00S,2021-11-21T03:23:38.1Z,1,REGULAR,3pt,Jump Shot,[],204060,19.004599211563733,5.637254901960785,1610612762,17,22,2021-11-21T03:23:46Z,800000,222.0,126.0,1,left,MISS J. Ingles 25' step back 3PT,[204060],1610612762.0,UTA,step back,,,Ingles,J. Ingles,,,,,25.51,Missed,,,,,,,,,,,,,,,,,,,
81,PT04M11.00S,2021-11-21T03:23:42.1Z,1,REGULAR,rebound,defensive,[],203458,,,1610612758,17,22,2021-11-21T03:31:28Z,810000,,,0,,A. Len REBOUND (Off:0 Def:2),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,80.0,,,2.0,2.0,0.0,,,,,,,,,,,,,
82,PT03M58.00S,2021-11-21T03:23:54.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203458,88.64980289093299,55.63725490196079,1610612758,17,22,2021-11-21T03:32:03Z,820000,28.0,54.0,1,right,MISS A. Len 6' driving Hook,[203458],1610612758.0,SAC,driving,,,Len,A. Len,,,,,6.11,Missed,,,,,,,,,,,,,,,,,,,
83,PT03M55.00S,2021-11-21T03:23:57.8Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,17,22,2021-11-21T03:24:01Z,830000,,,0,,H. Whiteside REBOUND (Off:0 Def:3),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,82.0,,,3.0,3.0,0.0,,,,,,,,,,,,,
84,PT03M47.00S,2021-11-21T03:24:05.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,29.77989487516426,28.431372549019606,1610612762,17,22,2021-11-21T03:32:38Z,840000,108.0,227.0,1,left,MISS D. Mitchell 25' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,,
85,PT03M44.00S,2021-11-21T03:24:08.5Z,1,REGULAR,rebound,defensive,[],203458,,,1610612758,17,22,2021-11-21T03:24:11Z,850000,,,0,,A. Len REBOUND (Off:0 Def:3),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,84.0,,,3.0,3.0,0.0,,,,,,,,,,,,,
86,PT03M37.00S,2021-11-21T03:24:15.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,93.24901445466492,43.627450980392155,1610612758,19,22,2021-11-21T05:05:16Z,860000,-32.0,11.0,1,right,B. Hield driving finger roll Layup (6 PTS),[1627741],1610612758.0,SAC,driving finger roll,,,Hield,B. Hield,,,,,3.37,Made,,,,,,,6.0,,,,,,,,,,,,
