actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
28,PT09M49.00S,2021-11-25T03:13:13.9Z,1,REGULAR,2pt,Jump Shot,[],203994,75.50919842312747,64.95098039215686,1610612757,9,6,2021-11-25T03:13:18Z,280000,75.0,178.0,1,right,J. Nurkic 19' Jump Shot (4 PTS) (C. McCollum 1 AST),"[203994, 203468]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,19.28,Made,,,,,4.0,,,,C. McCollum,203468.0,1.0,,,,,,,,
30,PT09M30.00S,2021-11-25T03:13:32.9Z,1,REGULAR,3pt,Jump Shot,[],1628368,30.962549277266753,36.27450980392157,1610612758,12,6,2021-11-25T03:13:38Z,300000,69.0,239.0,1,left,D. Fox 24' 3PT pullup (5 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,24.82,Made,,,,,5.0,,,,,,,,,,,,,,
31,PT09M19.00S,2021-11-25T03:13:45.2Z,1,REGULAR,3pt,Jump Shot,[],1626181,91.5407358738502,96.07843137254902,1610612757,12,9,2021-11-25T03:13:49Z,310000,230.0,27.0,1,right,N. Powell 3PT  (3 PTS) (D. Lillard 1 AST),"[1626181, 203081]",1610612757.0,POR,,,,Powell,N. Powell,,,,,23.2,Made,,,,,3.0,,,,D. Lillard,203081.0,1.0,,,,,,,,
33,PT09M02.00S,2021-11-25T03:14:01.1Z,1,REGULAR,3pt,Jump Shot,[],203090,30.962549277266753,37.00980392156863,1610612758,12,9,2021-11-25T03:14:05Z,330000,65.0,239.0,1,left,MISS M. Harkless 24' 3PT,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,24.72,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M58.00S,2021-11-25T03:14:05.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,12,9,2021-11-25T03:14:05Z,340000,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
35,PT08M51.00S,2021-11-25T03:14:12.7Z,1,REGULAR,3pt,Jump Shot,[],203081,63.41984231274639,61.029411764705884,1610612757,12,12,2021-11-25T03:14:17Z,350000,55.0,291.0,1,right,D. Lillard 29' 3PT  (3 PTS) (J. Nurkic 1 AST),"[203081, 203994]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,29.66,Made,,,,,3.0,,,,J. Nurkic,203994.0,1.0,,,,,,,,
37,PT08M36.00S,2021-11-25T03:14:27.5Z,1,REGULAR,3pt,Jump Shot,[],203458,5.863994743758213,96.07843137254902,1610612758,15,12,2021-11-25T03:14:33Z,370000,-230.0,3.0,1,left,A. Len 3PT  (5 PTS) (H. Barnes 1 AST),"[203458, 203084]",1610612758.0,SAC,,,,Len,A. Len,,,,,23.04,Made,,,,,5.0,,,,H. Barnes,203084.0,1.0,,,,,,,,
39,PT08M25.00S,2021-11-25T03:14:37.6Z,1,REGULAR,3pt,Jump Shot,[],203994,68.01905387647832,52.20588235294118,1610612757,15,12,2021-11-25T03:15:54Z,390000,11.0,248.0,1,right,MISS J. Nurkic 24' 3PT,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,24.83,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M25.00S,2021-11-25T03:14:37.6Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,15,12,2021-11-25T03:15:17Z,400000,,,0,,T. Haliburton REBOUND (Off:1 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
41,PT08M12.00S,2021-11-25T03:14:50.8Z,1,REGULAR,3pt,Jump Shot,[],203090,7.5722733245729295,2.696078431372549,1610612758,18,12,2021-11-25T03:14:57Z,410000,237.0,19.0,1,left,M. Harkless 3PT  (5 PTS) (A. Len 1 AST),"[203090, 203458]",1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,23.72,Made,,,,,5.0,,,,A. Len,203458.0,1.0,,,,,,,,
43,PT08M11.00S,2021-11-25T03:15:03.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,18,12,2021-11-25T03:15:03Z,430000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M54.00S,2021-11-25T03:18:06.4Z,1,REGULAR,3pt,Jump Shot,[],1626181,93.51182654402102,2.941176470588235,1610612757,18,12,2021-11-25T03:18:12Z,440000,-235.0,8.0,1,right,MISS N. Powell 3PT,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,23.55,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M50.00S,2021-11-25T03:18:10.4Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,18,12,2021-11-25T03:18:12Z,450000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
46,PT07M40.00S,2021-11-25T03:18:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,5.995400788436268,53.18627450980392,1610612758,20,12,2021-11-25T03:18:56Z,460000,-16.0,4.0,1,left,H. Barnes driving finger roll Layup (5 PTS),[203084],1610612758.0,SAC,driving finger roll,,,Barnes,H. Barnes,,,,,1.64,Made,,,,,5.0,,,,,,,,,,,,,,
47,PT07M31.00S,2021-11-25T03:18:33.9Z,1,REGULAR,turnover,out-of-bounds,[],203468,,,1610612757,20,12,2021-11-25T03:18:39Z,470000,,,0,,C. McCollum step out-of-bounds TURNOVER (1 TO),[203468],1610612757.0,POR,step,,,McCollum,C. McCollum,,,,,,,,,,,,1.0,,,,,,1627964.0,,,,,,,
56,PT07M31.00S,2021-11-25T03:18:38.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,20,12,2021-11-25T03:19:23Z,475000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M23.00S,2021-11-25T03:18:43.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630169,13.222733245729303,48.03921568627451,1610612758,22,12,2021-11-25T03:19:58Z,480000,10.0,72.0,1,left,T. Haliburton 7' driving floating Jump Shot (2 PTS),[1630169],1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,7.25,Made,,,,,2.0,,,,,,,,,,,,,,
49,PT07M08.00S,2021-11-25T03:18:58.6Z,1,REGULAR,3pt,Jump Shot,[],203468,67.09921156373193,54.65686274509803,1610612757,22,12,2021-11-25T03:19:03Z,490000,23.0,257.0,1,right,MISS C. McCollum 25' pullup 3PT,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,25.79,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M07.00S,2021-11-25T03:18:59.6Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,22,12,2021-11-25T03:19:03Z,500000,,,0,,J. Nurkic REBOUND (Off:2 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,49.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
51,PT07M06.00S,2021-11-25T03:19:01.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,91.80354796320631,48.77450980392157,1610612757,22,14,2021-11-25T03:20:27Z,510000,-6.0,25.0,1,right,J. Nurkic putback Layup (6 PTS),[203994],1610612757.0,POR,putback,,,Nurkic,J. Nurkic,,,,,2.52,Made,,,,,6.0,,,,,,,,,,,,,,
52,PT06M58.00S,2021-11-25T03:19:09.2Z,1,REGULAR,3pt,Jump Shot,[],203090,6.521024967148489,3.1862745098039214,1610612758,22,14,2021-11-25T03:19:18Z,520000,234.0,9.0,1,left,MISS M. Harkless 3PT,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,23.43,Missed,,,,,,,,,,,,,,,,,,,
53,PT06M54.00S,2021-11-25T03:19:13.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,22,14,2021-11-25T03:23:57Z,530000,,,0,,J. Nurkic REBOUND (Off:2 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,52.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
54,PT06M51.00S,2021-11-25T03:19:16.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626181,93.11760840998686,53.431372549019606,1610612757,22,14,2021-11-25T03:21:54Z,540000,17.0,12.0,1,right,MISS N. Powell running finger roll Layup,[1626181],1610612757.0,POR,running finger roll,,,Powell,N. Powell,,,,,2.11,Missed,,,,,,,,,,,,,,,,,,,
55,PT06M51.00S,2021-11-25T03:19:16.1Z,1,REGULAR,rebound,defensive,[],203458,,,1610612758,22,14,2021-11-25T03:19:23Z,550000,,,0,,A. Len REBOUND (Off:0 Def:2),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
57,PT06M35.00S,2021-11-25T03:19:32.4Z,1,REGULAR,3pt,Jump Shot,[],203084,32.933639947437584,39.705882352941174,1610612758,22,14,2021-11-25T03:19:37Z,560000,51.0,257.0,1,left,MISS H. Barnes 26' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,26.22,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M31.00S,2021-11-25T03:19:36.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,22,14,2021-11-25T03:19:37Z,570000,,,0,,J. Nurkic REBOUND (Off:2 Def:3),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,57.0,5.0,3.0,2.0,,,,,,,,,,,,,,,
59,PT06M21.00S,2021-11-25T03:19:46.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,93.51182654402102,53.92156862745098,1610612757,22,16,2021-11-25T03:19:51Z,580000,20.0,8.0,1,right,J. Nurkic Layup (8 PTS) (D. Lillard 2 AST),"[203994, 203081]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,2.14,Made,,,,,8.0,,,,D. Lillard,203081.0,2.0,,,,,,,,
61,PT06M08.00S,2021-11-25T03:19:58.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,17.16491458607096,58.08823529411765,1610612758,24,16,2021-11-25T03:20:05Z,600000,-40.0,109.0,1,left,D. Fox 11' pullup Jump Shot (7 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,11.62,Made,,,,,7.0,,,,,,,,,,,,,,
63,PT05M54.00S,2021-11-25T03:20:12.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,89.70105124835742,62.5,1610612757,24,18,2021-11-25T03:24:26Z,620000,62.0,44.0,1,right,J. Nurkic 7' floating Jump Shot (10 PTS) (C. McCollum 2 AST),"[203994, 203468]",1610612757.0,POR,floating,,,Nurkic,J. Nurkic,,,,,7.66,Made,,,,,10.0,,,,C. McCollum,203468.0,2.0,,,,,,,,
65,PT05M46.00S,2021-11-25T03:20:24.5Z,1,REGULAR,violation,kicked ball,[],203468,,,1610612758,24,18,2021-11-25T03:20:35Z,640000,,,0,,C. McCollum kicked ball VIOLATION,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,1627964.0,,,,,,,
66,PT05M46.00S,2021-11-25T03:20:29.6Z,1,REGULAR,substitution,out,[],1630169,,,1610612758,24,18,2021-11-25T03:20:47Z,650000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M46.00S,2021-11-25T03:20:29.6Z,1,REGULAR,substitution,out,[],203090,,,1610612758,24,18,2021-11-25T03:20:47Z,660000,,,0,,SUB out: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M46.00S,2021-11-25T03:20:29.6Z,1,REGULAR,substitution,out,[],203458,,,1610612758,24,18,2021-11-25T03:20:47Z,670000,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M46.00S,2021-11-25T03:20:29.6Z,1,REGULAR,substitution,out,[],203468,,,1610612758,24,18,2021-11-25T03:20:47Z,680000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M46.00S,2021-11-25T03:20:29.6Z,1,REGULAR,substitution,in,[],202684,,,1610612758,24,18,2021-11-25T03:20:47Z,690000,,,0,,SUB in: T. Thompson,[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M46.00S,2021-11-25T03:20:29.6Z,1,REGULAR,substitution,in,[],1627741,,,1610612758,24,18,2021-11-25T03:20:47Z,700000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M46.00S,2021-11-25T03:20:29.6Z,1,REGULAR,substitution,in,[],1630558,,,1610612758,24,18,2021-11-25T03:20:47Z,710000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M46.00S,2021-11-25T03:20:29.6Z,1,REGULAR,substitution,in,[],1628372,,,1610612758,24,18,2021-11-25T03:20:47Z,720000,,,0,,SUB in: D. Smith Jr.,[1628372],1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M40.00S,2021-11-25T03:20:59.6Z,1,REGULAR,3pt,Jump Shot,[],1628368,32.40801576872536,55.63725490196079,1610612758,24,18,2021-11-25T03:21:08Z,730000,-28.0,252.0,1,left,MISS D. Fox 25' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,25.37,Missed,,,,,,,,,,,,,,,,,,,
75,PT05M36.00S,2021-11-25T03:21:03.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,24,18,2021-11-25T03:21:08Z,740000,,,0,,J. Nurkic REBOUND (Off:2 Def:4),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,74.0,6.0,4.0,2.0,,,,,,,,,,,,,,,
76,PT05M25.00S,2021-11-25T03:21:14.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626181,93.38042049934296,50.0,1610612757,24,20,2021-11-25T03:21:19Z,750000,0.0,10.0,1,right,N. Powell driving DUNK (5 PTS) (D. Lillard 3 AST),"[1626181, 203081]",1610612757.0,POR,driving,,,Powell,N. Powell,,,,,0.97,Made,,,,,5.0,,,,D. Lillard,203081.0,3.0,,,,,,,,
78,PT05M10.00S,2021-11-25T03:21:29.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202684,7.046649145860711,39.46078431372549,1610612758,24,20,2021-11-25T03:21:38Z,770000,53.0,14.0,1,left,MISS T. Thompson fadeaway Shot,[202684],1610612758.0,SAC,fadeaway,,,Thompson,T. Thompson,,,,,5.45,Missed,,,,,,,,,,,,,,,,,,,
79,PT05M05.00S,2021-11-25T03:21:34.2Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612757,24,20,2021-11-25T03:21:38Z,780000,,,0,,D. Smith Jr. REBOUND (Off:0 Def:1),[1628372],1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
80,PT04M52.00S,2021-11-25T03:21:48.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,92.06636005256242,63.23529411764706,1610612757,24,22,2021-11-25T03:22:00Z,790000,66.0,22.0,1,right,J. Nurkic 6' turnaround bank Jump Shot (12 PTS) (D. Smith Jr. 1 AST),"[203994, 1628372]",1610612757.0,POR,turnaround bank,,,Nurkic,J. Nurkic,,,,,6.98,Made,,,,,12.0,,,,D. Smith Jr.,1628372.0,1.0,,,,,,,,
82,PT04M34.00S,2021-11-25T03:22:05.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630558,16.770696452036795,49.26470588235294,1610612758,24,22,2021-11-25T03:22:09Z,810000,4.0,105.0,1,left,MISS D. Mitchell 10' pullup Shot,[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,10.52,Missed,,,,,,,,,,,,,,,,,,,
83,PT04M31.00S,2021-11-25T03:22:08.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,24,22,2021-11-25T03:22:09Z,820000,,,0,,J. Nurkic REBOUND (Off:2 Def:5),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,82.0,7.0,5.0,2.0,,,,,,,,,,,,,,,
84,PT04M25.00S,2021-11-25T03:22:14.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,93.38042049934296,53.18627450980392,1610612757,24,24,2021-11-25T03:26:49Z,830000,16.0,10.0,1,right,D. Lillard driving finger roll Layup (5 PTS),[203081],1610612757.0,POR,driving finger roll,,,Lillard,D. Lillard,,,,,1.86,Made,,,,,5.0,,,,,,,,,,,,,,
85,PT04M20.00S,2021-11-25T03:22:22.3Z,1,REGULAR,turnover,lost ball,[],1628368,,,1610612758,24,24,2021-11-25T03:22:50Z,840000,,,0,,D. Fox lost ball TURNOVER (1 TO),"[1628368, 1628372]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,1.0,Smith Jr.,1628372.0,,,,,,,,,,,
86,PT04M20.00S,2021-11-25T03:22:22.3Z,1,REGULAR,steal,,[],1628372,,,1610612757,24,24,2021-11-25T03:22:27Z,850000,,,0,,D. Smith Jr. STEAL (1 STL),[1628372],1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M19.00S,2021-11-25T03:22:28.6Z,1,REGULAR,foul,personal,[],1628368,,,1610612757,24,24,2021-11-25T05:47:22Z,860000,,,0,,D. Fox take personal FOUL (1 PF),"[1628368, 1628372]",1610612758.0,SAC,take,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Smith Jr.,1628372.0,,,
89,PT04M19.00S,2021-11-25T03:22:41.2Z,1,REGULAR,substitution,out,[],1626181,,,1610612757,24,24,2021-11-25T03:22:49Z,880000,,,0,,SUB out: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
