actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M41.00S,2022-02-03T03:11:57.8Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612758,2,2,2022-02-03T03:12:02Z,170000,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,
18,PT10M30.00S,2022-02-03T03:12:08.4Z,1,REGULAR,3pt,Jump Shot,[],203084,16.113666228646515,3.9215686274509802,1610612758,5,2,2022-02-03T03:12:14Z,180000,230.0,99.0,1,left,H. Barnes 25' 3PT  (5 PTS) (D. Mitchell 1 AST),"[203084, 1630558]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,25.08,Made,5.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,,,,,
20,PT10M08.00S,2022-02-03T03:12:30.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,92.85479632063075,48.03921568627451,1610612751,5,4,2022-02-03T03:12:39Z,200000,-10.0,15.0,1,right,N. Claxton cutting DUNK (4 PTS) (K. Irving 1 AST),"[1629651, 202681]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,1.77,Made,4.0,K. Irving,202681.0,1.0,,,,,,,,,,,,,,
22,PT09M50.00S,2022-02-03T03:12:48.6Z,1,REGULAR,turnover,lost ball,[],1630558,,,1610612758,5,4,2022-02-03T03:12:59Z,220000,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1630558, 1629651]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,1.0,Claxton,1629651.0,,,,,
23,PT09M50.00S,2022-02-03T03:12:48.6Z,1,REGULAR,steal,,[],1629651,,,1610612751,5,4,2022-02-03T03:17:34Z,230000,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M45.00S,2022-02-03T03:12:56.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,5,4,2022-02-03T03:12:56Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M43.00S,2022-02-03T03:13:18.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201988,93.64323258869908,85.29411764705883,1610612751,5,6,2022-02-03T03:15:08Z,250000,176.0,7.0,1,right,P. Mills 17' fadeaway Jump Shot (2 PTS) (J. Harden 2 AST),"[201988, 201935]",1610612751.0,BKN,fadeaway,,,Mills,P. Mills,,,,,17.67,Made,2.0,J. Harden,201935.0,2.0,,,,,,,,,,,,,,
27,PT09M34.00S,2022-02-03T03:13:27.0Z,1,REGULAR,3pt,Jump Shot,[],1630169,32.013797634691194,41.66666666666667,1610612758,5,6,2022-02-03T03:13:33Z,270000,42.0,248.0,1,left,MISS T. Haliburton 25' pullup 3PT,[1630169],1610612758.0,SAC,pullup,,,Haliburton,T. Haliburton,,,,,25.19,Missed,,,,,,,,,,,,,,,,,,
28,PT09M31.00S,2022-02-03T03:13:30.0Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,5,6,2022-02-03T03:13:33Z,280000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,
29,PT09M25.00S,2022-02-03T03:13:35.8Z,1,REGULAR,3pt,Jump Shot,[],1630556,88.25558475689881,3.6764705882352944,1610612751,5,6,2022-02-03T03:13:43Z,290000,-232.0,58.0,1,right,MISS K. Edwards 3PT,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,23.87,Missed,,,,,,,,,,,,,,,,,,
30,PT09M22.00S,2022-02-03T03:13:38.8Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612758,5,6,2022-02-03T03:13:43Z,300000,,,0,,D. Mitchell REBOUND (Off:0 Def:3),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,29.0,3.0,3.0,0.0,,,,,,,,
31,PT09M18.00S,2022-02-03T03:13:43.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630558,5.469776609724048,46.07843137254902,1610612758,7,6,2022-02-03T03:13:56Z,310000,20.0,-1.0,1,left,D. Mitchell driving Layup (2 PTS),[1630558],1610612758.0,SAC,driving,,,Mitchell,D. Mitchell,,,,,1.96,Made,2.0,,,,,,,,,,,,,,,,,
32,PT09M10.00S,2022-02-03T03:13:51.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,87.99277266754271,58.82352941176471,1610612751,7,6,2022-02-03T03:16:34Z,320000,44.0,60.0,1,right,MISS K. Irving 7' turnaround fadeaway Shot,[202681],1610612751.0,BKN,turnaround fadeaway,,,Irving,K. Irving,,,,,7.48,Missed,,,,,,,,,,,,,,,,,,
33,PT09M10.00S,2022-02-03T03:13:51.0Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,7,6,2022-02-03T03:14:01Z,330000,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,
34,PT09M05.00S,2022-02-03T03:13:56.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629651,92.59198423127464,45.83333333333333,1610612751,7,8,2022-02-03T03:41:51Z,340000,-21.0,17.0,1,right,N. Claxton putback Layup (6 PTS),[1629651],1610612751.0,BKN,putback,,,Claxton,N. Claxton,,,,,2.69,Made,6.0,,,,,,,,,,,,,,,,,
35,PT08M55.00S,2022-02-03T03:14:06.4Z,1,REGULAR,3pt,Jump Shot,[],203084,28.597240473061763,22.30392156862745,1610612758,10,8,2022-02-03T03:14:12Z,350000,138.0,216.0,1,left,H. Barnes 25' 3PT  (8 PTS) (M. Harkless 1 AST),"[203084, 203090]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,25.68,Made,8.0,M. Harkless,203090.0,1.0,,,,,,,,,,,,,,
37,PT08M30.00S,2022-02-03T03:14:34.0Z,1,REGULAR,foul,personal,['2freethrow'],1626158,,,1610612751,10,8,2022-02-03T03:14:56Z,370000,,,0,,R. Holmes shooting personal FOUL (1 PF) (Claxton 2 FT),"[1626158, 1629651]",1610612758.0,SAC,shooting,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,1662.0,1.0,0.0,Claxton,1629651.0
39,PT08M30.00S,2022-02-03T03:15:05.7Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,10,9,2022-02-03T03:15:28Z,390000,,,0,,N. Claxton Free Throw 1 of 2 (7 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
40,PT08M30.00S,2022-02-03T03:15:05.7Z,1,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,10,9,2022-02-03T03:15:28Z,400000,,,0,,MISS N. Claxton Free Throw 2 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Missed,,,,,,,,,,,,,,,,,,
41,PT08M28.00S,2022-02-03T03:15:07.7Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,10,9,2022-02-03T03:15:28Z,410000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,
42,PT08M11.00S,2022-02-03T03:15:41.9Z,1,REGULAR,3pt,Jump Shot,[],203090,8.492115637319317,3.6764705882352944,1610612758,10,9,2022-02-03T03:15:48Z,420000,232.0,27.0,1,left,MISS M. Harkless 3PT,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,23.32,Missed,,,,,,,,,,,,,,,,,,
43,PT08M07.00S,2022-02-03T03:15:45.9Z,1,REGULAR,rebound,defensive,[],1630556,,,1610612751,10,9,2022-02-03T03:15:48Z,430000,,,0,,K. Edwards REBOUND (Off:0 Def:1),[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,
44,PT07M58.00S,2022-02-03T03:15:57.4Z,1,REGULAR,turnover,out-of-bounds,[],1630556,,,1610612751,10,9,2022-02-03T03:16:06Z,440000,,,0,,K. Edwards bad pass out-of-bounds TURNOVER (1 TO),[1630556],1610612751.0,BKN,bad pass,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,1.0,,,1627962.0,,,,
45,PT07M40.00S,2022-02-03T03:16:26.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626158,7.835085413929041,41.911764705882355,1610612758,12,9,2022-02-03T03:19:05Z,450000,40.0,21.0,1,left,R. Holmes driving Hook (2 PTS),[1626158],1610612758.0,SAC,driving,,,Holmes,R. Holmes,,,,,4.56,Made,2.0,,,,,,,,,,,,,,,,,
46,PT07M17.00S,2022-02-03T03:16:51.5Z,1,REGULAR,foul,personal,['2freethrow'],1630558,,,1610612751,12,9,2022-02-03T03:17:08Z,460000,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Irving 2 FT),"[1630558, 202681]",1610612758.0,SAC,shooting,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Irving,202681.0
48,PT07M17.00S,2022-02-03T03:17:20.9Z,1,REGULAR,freethrow,1 of 2,[],202681,,,1610612751,12,10,2022-02-03T03:17:20Z,480000,,,0,,K. Irving Free Throw 1 of 2 (1 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
49,PT07M17.00S,2022-02-03T03:17:24.2Z,1,REGULAR,substitution,out,[],201988,,,1610612751,12,10,2022-02-03T03:17:30Z,490000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M17.00S,2022-02-03T03:17:24.2Z,1,REGULAR,substitution,in,[],1630560,,,1610612751,12,10,2022-02-03T03:17:30Z,500000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M17.00S,2022-02-03T03:17:48.9Z,1,REGULAR,freethrow,2 of 2,[],202681,,,1610612751,12,11,2022-02-03T03:17:48Z,510000,,,0,,K. Irving Free Throw 2 of 2 (2 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
52,PT07M05.00S,2022-02-03T03:18:02.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626158,13.354139290407357,50.49019607843137,1610612758,12,11,2022-02-03T03:19:34Z,520000,-2.0,73.0,1,left,MISS R. Holmes 7' turnaround Hook,[1626158],1610612758.0,SAC,turnaround,,,Holmes,R. Holmes,,,,,7.3,Missed,,,,,,,,,,,,,,,,,,
53,PT07M02.00S,2022-02-03T03:18:05.8Z,1,REGULAR,rebound,defensive,[],1630556,,,1610612751,12,11,2022-02-03T03:18:16Z,530000,,,0,,K. Edwards REBOUND (Off:0 Def:2),[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,
54,PT06M52.00S,2022-02-03T03:18:15.9Z,1,REGULAR,3pt,Jump Shot,[],201935,73.66951379763469,81.86274509803921,1610612751,12,11,2022-02-03T03:41:58Z,540000,159.0,195.0,1,right,MISS J. Harden 25' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,25.18,Missed,,,,,,,,,,,,,,,,,,
55,PT06M48.00S,2022-02-03T03:18:20.0Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,12,11,2022-02-03T03:18:20Z,550000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,
56,PT06M43.00S,2022-02-03T03:18:25.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203090,5.732588699080158,46.568627450980394,1610612758,12,11,2022-02-03T03:21:23Z,560000,17.0,1.0,1,left,MISS M. Harkless running reverse Layup - blocked,"[203090, 1629651]",1610612758.0,SAC,running reverse,,,Harkless,M. Harkless,,,,,1.73,Missed,,,,,Claxton,1629651.0,,,,,,,,,,,,
57,PT06M43.00S,2022-02-03T03:18:25.2Z,1,REGULAR,block,,[],1629651,,,1610612758,12,11,2022-02-03T03:18:28Z,570000,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M38.00S,2022-02-03T03:18:30.2Z,1,REGULAR,rebound,offensive,[],203090,,,1610612758,12,11,2022-02-03T03:18:34Z,580000,,,0,,M. Harkless REBOUND (Off:1 Def:0),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,56.0,1.0,0.0,1.0,,,,,,,,
59,PT06M37.00S,2022-02-03T03:18:30.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203090,5.732588699080158,44.11764705882353,1610612758,12,11,2022-02-03T03:22:01Z,590000,29.0,1.0,1,left,MISS M. Harkless putback Layup - blocked,"[203090, 1629651]",1610612758.0,SAC,putback,,,Harkless,M. Harkless,,,,,2.94,Missed,,,,,Claxton,1629651.0,,,,,,,,,,,,
72,PT06M37.00S,2022-02-03T03:18:30.2Z,1,REGULAR,block,,[],1629651,,,1610612758,12,11,2022-02-03T03:21:09Z,595000,,,0,,N. Claxton BLOCK (2 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M35.00S,2022-02-03T03:18:32.2Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,12,11,2022-02-03T03:24:32Z,600000,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,59.0,2.0,1.0,1.0,,,,,,,,
61,PT06M33.00S,2022-02-03T03:18:34.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",202681,88.78120893561103,49.01960784313725,1610612751,12,13,2022-02-03T03:23:01Z,610000,-5.0,53.0,1,right,K. Irving driving floating Jump Shot (4 PTS),[202681],1610612751.0,BKN,driving floating,,,Irving,K. Irving,,,,,5.32,Made,4.0,,,,,,,,,,,,,,,,,
62,PT06M20.00S,2022-02-03T03:18:47.8Z,1,REGULAR,3pt,Jump Shot,[],1630169,4.812746386333772,96.32352941176471,1610612758,15,13,2022-02-03T03:19:03Z,620000,-232.0,-7.0,1,left,T. Haliburton 3PT  (3 PTS) (H. Barnes 1 AST),"[1630169, 203084]",1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,23.17,Made,3.0,H. Barnes,203084.0,1.0,,,,,,,,,,,,,,
64,PT06M06.00S,2022-02-03T03:19:01.9Z,1,REGULAR,3pt,Jump Shot,[],1630556,74.72076215505913,85.7843137254902,1610612751,15,13,2022-02-03T03:19:08Z,640000,179.0,185.0,1,right,MISS K. Edwards 25' 3PT,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,
65,PT06M06.00S,2022-02-03T03:19:01.9Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,15,13,2022-02-03T03:19:08Z,650000,,,0,,N. Claxton REBOUND (Off:2 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,64.0,3.0,1.0,2.0,,,,,,,,
66,PT06M03.00S,2022-02-03T03:19:04.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1629651,91.14651773981603,48.529411764705884,1610612751,15,15,2022-02-03T03:25:37Z,660000,-7.0,31.0,1,right,N. Claxton turnaround Hook (9 PTS),[1629651],1610612751.0,BKN,turnaround,,,Claxton,N. Claxton,,,,,3.16,Made,9.0,,,,,,,,,,,,,,,,,
67,PT05M53.00S,2022-02-03T03:19:14.5Z,1,REGULAR,3pt,Jump Shot,[],203090,6.389618922470433,2.941176470588235,1610612758,18,15,2022-02-03T03:19:19Z,670000,235.0,8.0,1,left,M. Harkless 3PT  (3 PTS) (H. Barnes 2 AST),"[203090, 203084]",1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,23.54,Made,3.0,H. Barnes,203084.0,2.0,,,,,,,,,,,,,,
69,PT05M42.00S,2022-02-03T03:19:27.4Z,1,REGULAR,foul,personal,['2freethrow'],203084,,,1610612751,18,15,2022-02-03T03:19:36Z,690000,,,0,,H. Barnes shooting personal FOUL (1 PF) (Claxton 2 FT),"[203084, 1629651]",1610612758.0,SAC,shooting,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Claxton,1629651.0
71,PT05M42.00S,2022-02-03T03:19:39.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,18,15,2022-02-03T03:19:39Z,710000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M42.00S,2022-02-03T03:19:42.0Z,1,REGULAR,substitution,out,[],1626158,,,1610612751,18,15,2022-02-03T03:22:43Z,720000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M42.00S,2022-02-03T03:19:42.0Z,1,REGULAR,substitution,out,[],1630556,,,1610612751,18,15,2022-02-03T03:22:43Z,730000,,,0,,SUB out: K. Edwards,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M42.00S,2022-02-03T03:19:42.0Z,1,REGULAR,substitution,in,[],1627745,,,1610612751,18,15,2022-02-03T03:22:43Z,740000,,,0,,SUB in: D. Jones,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M42.00S,2022-02-03T03:19:42.0Z,1,REGULAR,substitution,in,[],201949,,,1610612751,18,15,2022-02-03T03:22:43Z,750000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M42.00S,2022-02-03T03:22:52.2Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,18,16,2022-02-03T03:22:52Z,760000,,,0,,N. Claxton Free Throw 1 of 2 (10 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
78,PT05M42.00S,2022-02-03T03:23:07.2Z,1,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,18,17,2022-02-03T03:23:07Z,770000,,,0,,N. Claxton Free Throw 2 of 2 (11 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
79,PT05M35.00S,2022-02-03T03:23:18.9Z,1,REGULAR,foul,personal,[],201949,,,1610612758,18,17,2022-02-03T03:23:28Z,780000,,,0,,J. Johnson personal FOUL (1 PF),"[201949, 203084]",1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Barnes,203084.0
81,PT05M35.00S,2022-02-03T03:23:30.5Z,1,REGULAR,substitution,out,[],202681,,,1610612758,18,17,2022-02-03T03:23:40Z,800000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M35.00S,2022-02-03T03:23:30.5Z,1,REGULAR,substitution,out,[],1629651,,,1610612758,18,17,2022-02-03T03:23:40Z,810000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M35.00S,2022-02-03T03:23:30.5Z,1,REGULAR,substitution,in,[],1628971,,,1610612758,18,17,2022-02-03T03:23:40Z,820000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M35.00S,2022-02-03T03:23:30.5Z,1,REGULAR,substitution,in,[],201933,,,1610612758,18,17,2022-02-03T03:23:40Z,830000,,,0,,SUB in: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M28.00S,2022-02-03T03:23:52.3Z,1,REGULAR,turnover,out-of-bounds,[],203084,,,1610612758,18,17,2022-02-03T03:28:23Z,840000,,,0,,H. Barnes bad pass out-of-bounds TURNOVER (1 TO),[203084],1610612758.0,SAC,bad pass,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,1.0,,,1627962.0,,,,
86,PT05M04.00S,2022-02-03T03:24:21.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630560,88.12417871222075,10.53921568627451,1610612751,18,19,2022-02-03T03:24:28Z,850000,-197.0,59.0,1,right,C. Thomas 20' pullup Jump Shot (2 PTS) (J. Johnson 1 AST),"[1630560, 201949]",1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,20.6,Made,2.0,J. Johnson,201949.0,1.0,,,,,,,,,,,,,,
88,PT04M54.00S,2022-02-03T03:24:31.1Z,1,REGULAR,3pt,Jump Shot,[],1630558,31.61957950065703,36.76470588235294,1610612758,18,19,2022-02-03T03:29:17Z,870000,66.0,245.0,1,left,MISS D. Mitchell 25' step back 3PT,[1630558],1610612758.0,SAC,step back,,,Mitchell,D. Mitchell,,,,,25.35,Missed,,,,,,,,,,,,,,,,,,
89,PT04M51.00S,2022-02-03T03:24:34.1Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,18,19,2022-02-03T03:24:38Z,880000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,88.0,2.0,2.0,0.0,,,,,,,,
