actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
433,PT06M52.00S,2026-02-25T01:39:37.1Z,3,REGULAR,3pt,Jump Shot,[],203954,66.17936925098554,65.68627450980392,1610612755,74,86,2026-02-25T01:39:40Z,4190000,False,78.0,265.0,1,right,MISS J. Embiid 27' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,27.67,Missed,,,,,,,,,,,,,,,,,,
434,PT06M50.00S,2026-02-25T01:39:39.1Z,3,REGULAR,rebound,defensive,[],1642880,,,1610612754,74,86,2026-02-25T01:39:40Z,4200000,False,,,0,,K. Jones REBOUND (Off:1 Def:4),[1642880],1610612754.0,IND,,,,Jones,K. Jones,,,,,Above the Break 3,24+ Center,,,,,,,433.0,5.0,4.0,1.0,,,,,,,,,,
435,PT06M35.00S,2026-02-25T01:39:54.5Z,3,REGULAR,3pt,Jump Shot,[],1642880,32.53942181340342,63.725490196078425,1610612754,74,86,2026-02-25T01:39:58Z,4210000,False,-69.0,253.0,1,left,MISS K. Jones 26' 3PT,[1642880],1610612754.0,IND,,,,Jones,K. Jones,,,,,Above the Break 3,24+ Center,26.25,Missed,,,,,,,,,,,,,,,,,,
436,PT06M32.00S,2026-02-25T01:39:57.5Z,3,REGULAR,rebound,offensive,[],1641738,,,1610612754,74,86,2026-02-25T01:39:58Z,4220000,False,,,0,,K. Brown REBOUND (Off:3 Def:3),[1641738],1610612754.0,IND,,,,Brown,K. Brown,,,,,Above the Break 3,24+ Center,,,,,,,435.0,6.0,3.0,3.0,,,,,,,,,,
437,PT06M30.00S,2026-02-25T01:39:59.1Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1629614,25.312089356110377,11.519607843137255,1610612754,77,86,2026-02-25T01:40:02Z,4230000,False,192.0,185.0,1,left,A. Nembhard 26' 3PT  (19 PTS) (K. Brown 2 AST),"[1629614, 1641738]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,26.72,Made,19.0,K. Brown,1641738.0,2.0,,,,,,,,,,,,,,
439,PT06M18.00S,2026-02-25T01:40:15.5Z,3,REGULAR,foul,personal,[],1642880,,,1610612755,77,86,2026-02-25T01:42:35Z,4250000,False,,,0,,K. Jones personal FOUL (2 PF),"[1642880, 1630178]",1610612754.0,IND,,,,Jones,K. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627524.0,2.0,0.0,Maxey,1630178.0,,,,,
442,PT06M18.00S,2026-02-25T01:40:21.4Z,3,REGULAR,substitution,out,[],1629614,,,1610612755,77,86,2026-02-25T01:42:23Z,4280000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
443,PT06M18.00S,2026-02-25T01:40:21.4Z,3,REGULAR,substitution,in,[],1631245,,,1610612755,77,86,2026-02-25T01:42:23Z,4290000,False,,,0,,SUB in: Q. Jackson,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
444,PT06M18.00S,2026-02-25T01:40:33.3Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,77,86,2026-02-25T01:42:45Z,4300000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,PT06M18.00S,2026-02-25T01:42:51.3Z,3,REGULAR,substitution,out,[],1642880,,,1610612755,77,86,2026-02-25T01:43:13Z,4320000,False,,,0,,SUB out: K. Jones,[1642880],1610612754.0,IND,,,,Jones,K. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
