actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
19,PT11M01.00S,2025-10-23T23:47:06.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628983,,,1610612760,0,1,2025-10-23T23:47:25Z,190000,False,,,0,,MISS S. Gilgeous-Alexander Free Throw 2 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
20,PT11M01.00S,2025-10-23T23:47:06.3Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,0,1,2025-10-23T23:47:25Z,200000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,19.0,,,,,,,,1.0,1.0,0.0,,,,,,,
21,PT10M48.00S,2025-10-23T23:47:34.9Z,1,REGULAR,2pt,Jump Shot,[],1629614,5.338370565045992,79.65686274509804,1610612754,0,1,2025-10-23T23:47:45Z,210000,False,-148.0,-2.0,1,left,MISS A. Nembhard 14' fadeaway Shot,[1629614],1610612754.0,IND,fadeaway,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Left,14.83,Missed,,,,,,,,,,,,,,,,,,
22,PT10M46.00S,2025-10-23T23:47:36.9Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,0,1,2025-10-23T23:47:45Z,220000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,21.0,,,,,,,,1.0,1.0,0.0,,,,,,,
23,PT10M34.00S,2025-10-23T23:47:50.2Z,1,REGULAR,3pt,Jump Shot,[],1631096,93.24901445466492,1.715686274509804,1610612760,0,1,2025-10-23T23:47:54Z,230000,False,-241.0,11.0,1,right,MISS C. Holmgren 24' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Left Corner 3,24+ Left,24.17,Missed,,,,,,,,,,,,,,,,,,
24,PT10M32.00S,2025-10-23T23:47:52.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,0,1,2025-10-23T23:47:54Z,240000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,,,23.0,,,,,,,,1.0,1.0,0.0,,,,,,,
25,PT10M26.00S,2025-10-23T23:47:57.3Z,1,REGULAR,turnover,lost ball,[],1629614,,,1610612754,0,1,2025-10-23T23:48:01Z,250000,False,,,0,,A. Nembhard lost ball TURNOVER (1 TO),"[1629614, 1631096]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,,,,,Holmgren,1631096.0,,,,,
26,PT10M26.00S,2025-10-23T23:47:57.3Z,1,REGULAR,steal,,[],1631096,,,1610612760,0,1,2025-10-23T23:47:58Z,260000,False,,,0,,C. Holmgren STEAL (1 STL),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
27,PT10M19.00S,2025-10-23T23:48:04.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631096,91.14651773981603,56.127450980392155,1610612760,0,3,2025-10-23T23:48:50Z,270000,False,31.0,31.0,1,right,C. Holmgren driving Layup (2 PTS),[1631096],1610612760.0,OKC,driving,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,4.33,Made,,,,,,,,2.0,,,,,,,,,,
28,PT10M00.00S,2025-10-23T23:48:27.6Z,1,REGULAR,turnover,lost ball,[],1631097,,,1610612754,0,3,2025-10-23T23:48:33Z,280000,False,,,0,,B. Mathurin lost ball TURNOVER (1 TO),"[1631097, 1628983]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Left,,,,,,,,,1.0,,,,,Gilgeous-Alexander,1628983.0,,,,,
29,PT10M00.00S,2025-10-23T23:48:27.6Z,1,REGULAR,steal,,[],1628983,,,1610612760,0,3,2025-10-23T23:48:29Z,290000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
30,PT10M00.00S,2025-10-23T23:48:30.3Z,1,REGULAR,turnover,out-of-bounds,[],1628983,,,1610612760,0,3,2025-10-23T23:48:38Z,300000,False,,,0,,S. Gilgeous-Alexander bad pass out-of-bounds TURNOVER (1 TO),[1628983],1610612760.0,OKC,bad pass,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,,,,,,
31,PT09M56.00S,2025-10-23T23:48:43.4Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612754,0,3,2025-10-23T23:49:02Z,310000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1628392, 1631097]",1610612760.0,OKC,shooting,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,1628171.0,1.0,0.0,Mathurin,1631097.0,,,,,,,,,,,,
33,PT09M56.00S,2025-10-23T23:49:20.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631097,,,1610612754,1,3,2025-10-23T23:49:20Z,330000,False,,,0,,B. Mathurin Free Throw 1 of 2 (1 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
34,PT09M56.00S,2025-10-23T23:49:35.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631097,,,1610612754,2,3,2025-10-23T23:49:35Z,340000,False,,,0,,B. Mathurin Free Throw 2 of 2 (2 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
35,PT09M43.00S,2025-10-23T23:49:53.4Z,1,REGULAR,foul,offensive,[],1629652,,,1610612760,2,3,2025-10-23T23:49:59Z,350000,False,,,0,,L. Dort offensive FOUL (2 PF),"[1629652, 1630174]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,16-24 Center,,,,1155.0,2.0,0.0,Nesmith,1630174.0,,,,,,,,,,,,
37,PT09M43.00S,2025-10-23T23:49:53.4Z,1,REGULAR,turnover,offensive foul,[],1629652,,,1610612760,2,3,2025-10-23T23:49:53Z,370000,False,,,0,,L. Dort offensive foul TURNOVER (2 TO),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,16-24 Center,,,,1155.0,,,,,2.0,,,,,,,,,,,
38,PT09M43.00S,2025-10-23T23:50:02.6Z,1,REGULAR,substitution,out,[],1629652,,,1610612754,2,3,2025-10-23T23:50:12Z,380000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT09M43.00S,2025-10-23T23:50:02.6Z,1,REGULAR,substitution,in,[],1642964,,,1610612754,2,3,2025-10-23T23:50:12Z,390000,False,,,0,,SUB in: B. Barnhizer,[1642964],1610612760.0,OKC,,,,Barnhizer,B. Barnhizer,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M37.00S,2025-10-23T23:50:23.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629614,8.754927726675426,44.6078431372549,1610612754,2,3,2025-10-23T23:50:29Z,410000,False,27.0,30.0,1,left,MISS A. Nembhard driving finger roll Layup,[1629614],1610612754.0,IND,driving finger roll,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,4.02,Missed,,,,,,,,,,,,,,,,,,
42,PT09M36.00S,2025-10-23T23:50:25.7Z,1,REGULAR,rebound,offensive,[],1631097,,,1610612754,2,3,2025-10-23T23:50:25Z,420000,False,,,0,,B. Mathurin REBOUND (Off:1 Def:0),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,41.0,,,,,,,,1.0,0.0,1.0,,,,,,,
43,PT09M22.00S,2025-10-23T23:50:38.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631097,27.94021024967148,20.833333333333336,1610612754,5,3,2025-10-23T23:50:44Z,430000,False,146.0,210.0,1,left,B. Mathurin 25' 3PT pullup (5 PTS) (A. Nembhard 1 AST),"[1631097, 1629614]",1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,25.57,Made,,,,,,,,5.0,,,,,,A. Nembhard,1629614.0,1.0,,
45,PT09M11.00S,2025-10-23T23:50:51.7Z,1,REGULAR,foul,personal,['2freethrow'],1629614,,,1610612760,5,3,2025-10-23T23:50:57Z,450000,False,,,0,,A. Nembhard shooting personal FOUL (2 PF) (Gilgeous-Alexander 2 FT),"[1629614, 1628983]",1610612754.0,IND,shooting,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,,,,201639.0,2.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,
47,PT09M11.00S,2025-10-23T23:51:17.3Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,5,4,2025-10-23T23:51:17Z,470000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (2 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
48,PT09M11.00S,2025-10-23T23:51:32.2Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,5,5,2025-10-23T23:51:32Z,480000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (3 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
49,PT09M07.00S,2025-10-23T23:51:44.4Z,1,REGULAR,foul,personal,[],1630598,,,1610612754,5,5,2025-10-23T23:51:49Z,490000,False,,,0,,A. Wiggins personal FOUL (1 PF),"[1630598, 1627783]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Center,,,,1155.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,,,,
51,PT09M00.00S,2025-10-23T23:52:06.7Z,1,REGULAR,turnover,lost ball,[],1631097,,,1610612754,5,5,2025-10-23T23:52:10Z,510000,False,,,0,,B. Mathurin lost ball TURNOVER (2 TO),"[1631097, 1631096]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,2.0,,,,,Holmgren,1631096.0,,,,,
52,PT09M00.00S,2025-10-23T23:52:06.7Z,1,REGULAR,steal,,[],1631096,,,1610612760,5,5,2025-10-23T23:52:08Z,520000,False,,,0,,C. Holmgren STEAL (2 STL),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
53,PT08M52.00S,2025-10-23T23:52:15.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628983,80.89684625492772,36.029411764705884,1610612760,5,5,2025-10-23T23:52:21Z,530000,False,-70.0,127.0,1,right,MISS S. Gilgeous-Alexander 14' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,14.51,Missed,,,,,,,,,,,,,,,,,,
54,PT08M48.00S,2025-10-23T23:52:19.4Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,5,5,2025-10-23T23:52:21Z,540000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),8-16 Center,,,53.0,,,,,,,,1.0,1.0,0.0,,,,,,,
55,PT08M43.00S,2025-10-23T23:52:24.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630174,30.436925098554536,27.941176470588236,1610612754,8,5,2025-10-23T23:52:32Z,550000,False,110.0,234.0,1,left,A. Nesmith 25' 3PT running (3 PTS) (A. Nembhard 2 AST),"[1630174, 1629614]",1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,25.83,Made,,,,,,,,3.0,,,,,,A. Nembhard,1629614.0,2.0,,
57,PT08M17.00S,2025-10-23T23:52:49.5Z,1,REGULAR,2pt,Hook,[],1628392,91.01511169513797,26.715686274509803,1610612760,8,7,2025-10-23T23:52:54Z,570000,False,-116.0,32.0,1,right,I. Hartenstein 12' turnaround Hook (2 PTS),[1628392],1610612760.0,OKC,turnaround,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,12.07,Made,,,,,,,,2.0,,,,,,,,,,
59,PT08M08.00S,2025-10-23T23:52:58.6Z,1,REGULAR,3pt,Jump Shot,[],1627783,30.305519053876477,23.774509803921568,1610612754,11,7,2025-10-23T23:53:05Z,590000,False,131.0,232.0,1,left,P. Siakam 26' 3PT pullup (3 PTS),[1627783],1610612754.0,IND,pullup,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,26.68,Made,,,,,,,,3.0,,,,,,,,,,
60,PT07M55.00S,2025-10-23T23:53:12.4Z,1,REGULAR,foul,personal,['2freethrow'],1630543,,,1610612760,11,7,2025-10-23T23:53:21Z,600000,False,,,0,,I. Jackson shooting personal FOUL (2 PF) (Gilgeous-Alexander 2 FT),"[1630543, 1628983]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,,,,1155.0,2.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,
62,PT07M55.00S,2025-10-23T23:53:39.2Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,11,8,2025-10-23T23:53:39Z,620000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (4 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,,4.0,,,,,,,,,,
63,PT07M55.00S,2025-10-23T23:53:39.7Z,1,REGULAR,substitution,out,[],1629614,,,1610612760,11,8,2025-10-23T23:53:46Z,630000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M55.00S,2025-10-23T23:53:39.7Z,1,REGULAR,substitution,out,[],1630543,,,1610612760,11,8,2025-10-23T23:53:46Z,640000,False,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M55.00S,2025-10-23T23:53:39.7Z,1,REGULAR,substitution,in,[],1630167,,,1610612760,11,8,2025-10-23T23:53:46Z,650000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M55.00S,2025-10-23T23:53:39.7Z,1,REGULAR,substitution,in,[],1643007,,,1610612760,11,8,2025-10-23T23:53:46Z,660000,False,,,0,,SUB in: T. Peter,[1643007],1610612754.0,IND,,,,Peter,T. Peter,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M55.00S,2025-10-23T23:54:08.6Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,11,9,2025-10-23T23:54:08Z,670000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (5 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,,5.0,,,,,,,,,,
68,PT07M45.00S,2025-10-23T23:54:22.4Z,1,REGULAR,2pt,Jump Shot,[],1627783,20.05584756898817,73.0392156862745,1610612754,13,9,2025-10-23T23:54:27Z,680000,False,-115.0,136.0,1,left,P. Siakam 17' step back Jump Shot (5 PTS),[1627783],1610612754.0,IND,step back,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,17.82,Made,,,,,,,,5.0,,,,,,,,,,
69,PT07M29.00S,2025-10-23T23:54:38.8Z,1,REGULAR,turnover,traveling,[],1628983,,,1610612760,13,9,2025-10-23T23:54:44Z,690000,False,,,0,,S. Gilgeous-Alexander traveling TURNOVER (2 TO),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,,,,201639.0,,,,,2.0,,,,,,,,,,,
70,PT07M21.00S,2025-10-23T23:55:01.0Z,1,REGULAR,foul,personal,[],1642964,,,1610612754,13,9,2025-10-23T23:55:09Z,700000,False,,,0,,B. Barnhizer personal FOUL (1 PF),"[1642964, 1631097]",1610612760.0,OKC,,,,Barnhizer,B. Barnhizer,,,,,Restricted Area,0-8 Center,,,,201639.0,1.0,0.0,Mathurin,1631097.0,,,,,,,,,,,,
72,PT07M09.00S,2025-10-23T23:55:31.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631097,33.85348226018397,51.71568627450981,1610612754,13,9,2025-10-23T23:55:37Z,720000,False,-9.0,266.0,1,left,MISS B. Mathurin 26' pullup 3PT,[1631097],1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Center,26.58,Missed,,,,,,,,,,,,,,,,,,
73,PT07M05.00S,2025-10-23T23:55:35.4Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,13,9,2025-10-23T23:55:37Z,730000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Center,,,72.0,,,,,,,,1.0,1.0,0.0,,,,,,,
74,PT06M56.00S,2025-10-23T23:55:46.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,83.52496714848883,58.333333333333336,1610612760,13,11,2025-10-23T23:55:56Z,740000,False,42.0,102.0,1,right,S. Gilgeous-Alexander 11' driving floating bank Jump Shot (7 PTS),[1628983],1610612760.0,OKC,driving floating bank,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,11.06,Made,,,,,,,,7.0,,,,,,,,,,
75,PT06M56.00S,2025-10-23T23:55:51.0Z,1,REGULAR,foul,personal,['1freethrow'],1630174,,,1610612760,13,11,2025-10-23T23:55:56Z,750000,False,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Gilgeous-Alexander 1 FT),"[1630174, 1628983]",1610612754.0,IND,shooting,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),8-16 Center,,,,201639.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,
77,PT06M56.00S,2025-10-23T23:55:59.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,13,11,2025-10-23T23:59:52Z,770000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M56.00S,2025-10-23T23:58:52.1Z,1,REGULAR,substitution,out,[],1630174,,,1610612760,13,11,2025-10-23T23:59:52Z,780000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M56.00S,2025-10-23T23:58:52.1Z,1,REGULAR,substitution,out,[],1628392,,,1610612760,13,11,2025-10-23T23:59:52Z,790000,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M56.00S,2025-10-23T23:58:52.1Z,1,REGULAR,substitution,in,[],1641767,,,1610612760,13,11,2025-10-23T23:59:52Z,800000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M56.00S,2025-10-23T23:58:52.1Z,1,REGULAR,substitution,in,[],1631119,,,1610612760,13,11,2025-10-23T23:59:52Z,810000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M56.00S,2025-10-23T23:59:31.6Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,13,12,2025-10-23T23:59:31Z,820000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 1 (8 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,,8.0,,,,,,,,,,
84,PT06M36.00S,2025-10-23T23:59:53.0Z,1,REGULAR,3pt,Jump Shot,[],1643007,28.728646517739815,78.43137254901961,1610612754,13,12,2025-10-24T00:00:02Z,840000,False,-142.0,218.0,1,left,MISS T. Peter 25' 3PT,[1643007],1610612754.0,IND,,,,Peter,T. Peter,,,,,Above the Break 3,24+ Left Center,25.99,Missed,,,,,,,,,,,,,,,,,,
85,PT06M34.00S,2025-10-23T23:59:55.9Z,1,REGULAR,rebound,offensive,[],1631097,,,1610612754,13,12,2025-10-23T23:59:55Z,850000,False,,,0,,B. Mathurin REBOUND (Off:2 Def:0),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,,,84.0,,,,,,,,2.0,0.0,2.0,,,,,,,
86,PT06M32.00S,2025-10-23T23:59:57.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630167,5.601182654402102,48.03921568627451,1610612754,15,12,2025-10-24T00:00:57Z,860000,False,10.0,0.0,1,left,O. Toppin cutting DUNK (2 PTS) (B. Mathurin 1 AST),"[1630167, 1631097]",1610612754.0,IND,cutting,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,0.98,Made,,,,,,,,2.0,,,,,,B. Mathurin,1631097.0,1.0,,
