actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
25,PT10M46.00S,2025-11-04T00:13:51.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641716,91.67214191852825,59.31372549019608,1610612754,0,3,2025-11-04T00:13:58Z,250000,False,47.0,26.0,1,right,MISS J. Walker driving Layup - blocked,"[1641716, 1626167]",1610612754.0,IND,driving,,,Walker,J. Walker,,,,,In The Paint (Non-RA),0-8 Center,5.33,Missed,Turner,1626167.0,,,,,,,,,,,,,,,,
26,PT10M46.00S,2025-11-04T00:13:51.1Z,1,REGULAR,block,,[],1626167,,,1610612754,0,3,2025-11-04T00:13:53Z,260000,False,,,0,,M. Turner BLOCK (2 BLK),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT10M43.00S,2025-11-04T00:13:54.1Z,1,REGULAR,rebound,offensive,[],1630543,,,1610612754,0,3,2025-11-04T00:14:22Z,270000,False,,,0,,I. Jackson REBOUND (Off:2 Def:0),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,25.0,2.0,0.0,2.0,,,,,,,,,,,,
28,PT10M43.00S,2025-11-04T00:13:56.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630543,94.40999984741211,50.0,1610612754,2,3,2025-11-04T00:14:25Z,280000,False,0.0,0.0,1,right,I. Jackson putback Layup (2 PTS),[1630543],1610612754.0,IND,putback,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,,,,,,2.0,,,
30,PT10M28.00S,2025-11-04T00:14:10.9Z,1,REGULAR,foul,offensive,[],1626167,,,1610612749,2,3,2025-11-04T00:14:17Z,300000,False,,,0,,M. Turner offensive FOUL (1 PF),"[1626167, 1630174]",1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,,,,,,,203054.0,1.0,0.0,Nesmith,1630174.0,,,,,,,
32,PT10M28.00S,2025-11-04T00:14:10.9Z,1,REGULAR,turnover,offensive foul,[],1626167,,,1610612749,2,3,2025-11-04T00:14:10Z,320000,False,,,0,,M. Turner offensive foul TURNOVER (1 TO),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,,,,,,,203054.0,,,,,1.0,,,,,,
33,PT10M23.00S,2025-11-04T00:14:29.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627783,74.85216819973719,76.7156862745098,1610612754,2,3,2025-11-04T00:14:33Z,330000,False,134.0,184.0,1,right,MISS P. Siakam 22' pullup Shot,[1627783],1610612754.0,IND,pullup,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Right Center,22.73,Missed,,,,,,,,,,,,,,,,,,
34,PT10M21.00S,2025-11-04T00:14:31.2Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612749,2,3,2025-11-04T00:14:34Z,340000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:2),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Right Center,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,
35,PT10M12.00S,2025-11-04T00:14:39.6Z,1,REGULAR,turnover,bad pass,[],1631260,,,1610612749,2,3,2025-11-04T00:14:42Z,350000,False,,,0,,A. Green bad pass TURNOVER (1 TO),"[1631260, 1627783]",1610612749.0,MIL,,,,Green,A. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,1.0,Siakam,1627783.0,,,,
36,PT10M12.00S,2025-11-04T00:14:39.6Z,1,REGULAR,steal,,[],1627783,,,1610612754,2,3,2025-11-04T00:14:41Z,360000,False,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
37,PT10M07.00S,2025-11-04T00:14:47.3Z,1,REGULAR,foul,personal,['2freethrow'],1631260,,,1610612754,2,3,2025-11-04T00:14:53Z,370000,False,,,0,,A. Green shooting personal FOUL (1 PF) (Nesmith 2 FT),"[1631260, 1630174]",1610612749.0,MIL,shooting,,,Green,A. Green,,,,,Mid-Range,8-16 Right,,,,,,,,,1627529.0,1.0,0.0,Nesmith,1630174.0,,,,,,,
39,PT10M07.00S,2025-11-04T00:15:15.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630174,,,1610612754,3,3,2025-11-04T00:15:15Z,390000,False,,,0,,A. Nesmith Free Throw 1 of 2 (1 PTS),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
40,PT10M07.00S,2025-11-04T00:15:32.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630174,,,1610612754,4,3,2025-11-04T00:15:32Z,400000,False,,,0,,A. Nesmith Free Throw 2 of 2 (2 PTS),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Made,,,,,,,,,,,,,,,2.0,,,
41,PT10M00.00S,2025-11-04T00:15:40.1Z,1,REGULAR,turnover,lost ball,[],1631157,,,1610612749,4,3,2025-11-04T00:15:43Z,410000,False,,,0,,R. Rollins lost ball TURNOVER (1 TO),"[1631157, 1627783]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,1.0,Siakam,1627783.0,,,,
42,PT10M00.00S,2025-11-04T00:15:40.1Z,1,REGULAR,steal,,[],1627783,,,1610612754,4,3,2025-11-04T00:15:41Z,420000,False,,,0,,P. Siakam STEAL (2 STL),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
43,PT09M47.00S,2025-11-04T00:15:53.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631245,93.38042049934296,2.941176470588235,1610612754,4,3,2025-11-04T00:15:57Z,430000,False,-235.0,10.0,1,right,MISS Q. Jackson 3PT,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Left Corner 3,24+ Left,23.55,Missed,,,,,,,,,,,,,,,,,,
44,PT09M45.00S,2025-11-04T00:15:55.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,3,2025-11-04T00:15:57Z,440000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Left Corner 3,24+ Left,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,
45,PT09M41.00S,2025-11-04T00:16:00.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629018,7.178055190538765,97.05882352941177,1610612749,4,6,2025-11-04T00:16:04Z,450000,False,-235.0,15.0,1,left,G. Trent Jr. 3PT running (3 PTS) (A. Green 1 AST),"[1629018, 1631260]",1610612749.0,MIL,running,,,Trent Jr.,G. Trent Jr.,,,,,Left Corner 3,24+ Left,23.58,Made,,,,,,,,,,,,,,,3.0,A. Green,1631260.0,1.0
47,PT09M28.00S,2025-11-04T00:16:12.7Z,1,REGULAR,3pt,Jump Shot,[],1627783,69.99014454664915,29.411764705882355,1610612754,7,6,2025-11-04T00:16:18Z,470000,False,-103.0,230.0,1,right,P. Siakam 25' 3PT pullup (3 PTS),[1627783],1610612754.0,IND,pullup,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,25.16,Made,,,,,,,,,,,,,,,3.0,,,
48,PT09M20.00S,2025-11-04T00:16:20.8Z,1,REGULAR,3pt,Jump Shot,[],1626167,26.10052562417871,86.27450980392157,1610612749,7,9,2025-11-04T00:16:24Z,480000,False,-181.0,193.0,1,left,M. Turner 26' 3PT  (4 PTS) (A. Green 2 AST),"[1626167, 1631260]",1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,26.47,Made,,,,,,,,,,,,,,,4.0,A. Green,1631260.0,2.0
50,PT09M06.00S,2025-11-04T00:16:34.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,93.77463863337714,54.41176470588235,1610612754,7,9,2025-11-04T00:16:38Z,500000,False,22.0,6.0,1,right,MISS A. Nesmith driving Layup,[1630174],1610612754.0,IND,driving,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,2.29,Missed,,,,,,,,,,,,,,,,,,
51,PT09M02.00S,2025-11-04T00:16:38.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612749,7,9,2025-11-04T00:17:44Z,510000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,
52,PT08M58.00S,2025-11-04T00:16:42.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631260,26.10052562417871,87.74509803921569,1610612749,7,12,2025-11-04T00:16:47Z,520000,False,-189.0,193.0,1,left,A. Green 26' 3PT running pullup (3 PTS),[1631260],1610612749.0,MIL,running pullup,,,Green,A. Green,,,,,Above the Break 3,24+ Left Center,26.98,Made,,,,,,,,,,,,,,,3.0,,,
53,PT08M45.00S,2025-11-04T00:16:56.1Z,1,REGULAR,turnover,lost ball,[],1641716,,,1610612754,7,12,2025-11-04T00:16:58Z,530000,False,,,0,,J. Walker lost ball TURNOVER (1 TO),"[1641716, 1631157]",1610612754.0,IND,,,,Walker,J. Walker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,Rollins,1631157.0,,,,
54,PT08M45.00S,2025-11-04T00:16:56.1Z,1,REGULAR,steal,,[],1631157,,,1610612749,7,12,2025-11-04T00:16:57Z,540000,False,,,0,,R. Rollins STEAL (1 STL),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
55,PT08M42.00S,2025-11-04T00:17:01.2Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612749,7,12,2025-11-04T00:19:49Z,550000,False,,,0,,A. Nesmith flagrant-type-1 personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1630174, 203507]",1610612754.0,IND,flagrant-type-1,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1627529.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,
58,PT08M42.00S,2025-11-04T00:20:25.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203507,,,1610612749,7,12,2025-11-04T00:20:45Z,580000,False,,,0,,MISS G. Antetokounmpo flagrant Free Throw 1 of 2,[203507],1610612749.0,MIL,flagrant,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
59,PT08M42.00S,2025-11-04T00:20:25.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612749,7,12,2025-11-04T00:20:45Z,590000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,
60,PT08M42.00S,2025-11-04T00:20:25.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203507,,,1610612749,7,12,2025-11-04T00:20:45Z,600000,False,,,0,,MISS G. Antetokounmpo flagrant Free Throw 2 of 2,[203507],1610612749.0,MIL,flagrant,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
61,PT08M42.00S,2025-11-04T00:20:25.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,7,12,2025-11-04T00:20:45Z,610000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,
62,PT08M41.00S,2025-11-04T00:20:58.5Z,1,REGULAR,turnover,bad pass,[],1631157,,,1610612749,7,12,2025-11-04T00:21:01Z,620000,False,,,0,,R. Rollins bad pass TURNOVER (2 TO),"[1631157, 1630543]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,2.0,Jackson,1630543.0,,,,
63,PT08M41.00S,2025-11-04T00:20:58.5Z,1,REGULAR,steal,,[],1630543,,,1610612754,7,12,2025-11-04T00:21:00Z,630000,False,,,0,,I. Jackson STEAL (1 STL),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
64,PT08M24.00S,2025-11-04T00:21:17.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630543,91.14651773981603,43.627450980392155,1610612754,7,12,2025-11-04T00:21:20Z,640000,False,-32.0,31.0,1,right,MISS I. Jackson driving Layup,[1630543],1610612754.0,IND,driving,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,4.43,Missed,,,,,,,,,,,,,,,,,,
65,PT08M21.00S,2025-11-04T00:21:20.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,7,12,2025-11-04T00:21:20Z,650000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,64.0,3.0,3.0,0.0,,,,,,,,,,,,
66,PT08M13.00S,2025-11-04T00:21:27.9Z,1,REGULAR,3pt,Jump Shot,[],1629018,19.267411300919843,92.40196078431373,1610612749,7,12,2025-11-04T00:21:31Z,660000,False,-212.0,129.0,1,left,MISS G. Trent Jr. 24' 3PT,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,24.8,Missed,,,,,,,,,,,,,,,,,,
67,PT08M10.00S,2025-11-04T00:21:30.9Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,7,12,2025-11-04T00:21:31Z,670000,False,,,0,,I. Jackson REBOUND (Off:2 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,66.0,3.0,1.0,2.0,,,,,,,,,,,,
68,PT07M54.00S,2025-11-04T00:21:46.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,89.43823915900131,49.26470588235294,1610612754,7,12,2025-11-04T00:21:50Z,680000,False,-4.0,47.0,1,right,MISS A. Nesmith driving finger roll Layup - blocked,"[1630174, 1626167]",1610612754.0,IND,driving finger roll,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,4.69,Missed,Turner,1626167.0,,,,,,,,,,,,,,,,
69,PT07M54.00S,2025-11-04T00:21:46.2Z,1,REGULAR,block,,[],1626167,,,1610612754,7,12,2025-11-04T00:21:47Z,690000,False,,,0,,M. Turner BLOCK (3 BLK),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
70,PT07M50.00S,2025-11-04T00:21:50.2Z,1,REGULAR,rebound,defensive,[],1631157,,,1610612749,7,12,2025-11-04T00:21:50Z,700000,False,,,0,,R. Rollins REBOUND (Off:0 Def:1),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),0-8 Center,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,
71,PT07M48.00S,2025-11-04T00:21:52.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",203507,13.748357424441524,53.67647058823529,1610612749,7,12,2025-11-04T00:23:34Z,710000,False,-18.0,77.0,1,left,MISS G. Antetokounmpo 7' driving floating bank Shot,[203507],1610612749.0,MIL,driving floating bank,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,7.89,Missed,,,,,,,,,,,,,,,,,,
72,PT07M48.00S,2025-11-04T00:21:52.1Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,7,12,2025-11-04T00:21:56Z,720000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,71.0,4.0,3.0,1.0,,,,,,,,,,,,
73,PT07M48.00S,2025-11-04T00:21:55.1Z,1,REGULAR,foul,personal,['2freethrow'],1641716,,,1610612749,7,12,2025-11-04T00:22:01Z,730000,False,,,0,,J. Walker shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1641716, 203507]",1610612754.0,IND,shooting,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,,,,,,,,,203054.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,
75,PT07M48.00S,2025-11-04T00:22:34.8Z,1,REGULAR,freethrow,1 of 2,"['2ndchance', 'fastbreak']",203507,,,1610612749,7,13,2025-11-04T00:22:34Z,750000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,,,,,,,3.0,,,
76,PT07M48.00S,2025-11-04T00:22:58.3Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', '2ndchance']",203507,,,1610612749,7,14,2025-11-04T00:22:58Z,760000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (4 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,,,,,,,4.0,,,
77,PT07M29.00S,2025-11-04T00:23:18.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,90.75229960578186,48.529411764705884,1610612754,9,14,2025-11-04T00:23:22Z,770000,False,-7.0,34.0,1,right,I. Jackson finger roll Layup (4 PTS) (P. Siakam 1 AST),"[1630543, 1627783]",1610612754.0,IND,finger roll,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,3.52,Made,,,,,,,,,,,,,,,4.0,P. Siakam,1627783.0,1.0
79,PT07M13.00S,2025-11-04T00:23:35.0Z,1,REGULAR,3pt,Jump Shot,[],1626167,32.53942181340342,30.637254901960787,1610612749,9,17,2025-11-04T00:23:38Z,790000,False,97.0,253.0,1,left,M. Turner 27' 3PT  (7 PTS) (R. Rollins 1 AST),"[1626167, 1631157]",1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,27.13,Made,,,,,,,,,,,,,,,7.0,R. Rollins,1631157.0,1.0
81,PT06M59.00S,2025-11-04T00:23:49.4Z,1,REGULAR,3pt,Jump Shot,[],1641716,68.9388961892247,23.03921568627451,1610612754,9,17,2025-11-04T00:23:53Z,810000,False,-135.0,239.0,1,right,MISS J. Walker 27' 3PT,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Left Center,27.48,Missed,,,,,,,,,,,,,,,,,,
