actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
89,PT06M25.00S,2026-03-01T22:25:33.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641707,5.590000152587891,50.0,1610612763,19,15,2026-03-01T22:25:59Z,890000,False,0.0,0.0,1,left,MISS T. Hendricks tip Layup - blocked,"[1641707, 1630695]",1610612763.0,MEM,tip,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,0.0,Missed,Potter,1630695.0,,,,,,,,,,,,,,,,
110,PT06M25.00S,2026-03-01T22:25:33.5Z,1,REGULAR,block,,[],1630695,,,1610612763,19,15,2026-03-01T22:28:30Z,895000,False,,,0,,M. Potter BLOCK (1 BLK),[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
90,PT06M24.00S,2026-03-01T22:25:34.5Z,1,REGULAR,rebound,offensive,[],1642377,,,1610612763,19,15,2026-03-01T22:25:59Z,900000,False,,,0,,J. Wells REBOUND (Off:1 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,,,,,89.0,,,,,,,,,,,,,2.0,1.0,1.0
91,PT06M22.00S,2026-03-01T22:25:34.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642377,6.389618922470433,45.34313725490196,1610612763,19,17,2026-03-01T22:25:39Z,910000,False,23.0,8.0,1,left,J. Wells driving Layup (7 PTS),[1642377],1610612763.0,MEM,driving,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,2.45,Made,,,,7.0,,,,,,,,,,,,,,
92,PT06M16.00S,2026-03-01T22:25:43.3Z,1,REGULAR,turnover,out-of-bounds,[],1631245,,,1610612754,19,17,2026-03-01T22:25:47Z,920000,False,,,0,,Q. Jackson lost ball out-of-bounds TURNOVER (1 TO),[1631245],1610612754.0,IND,lost ball,,,Jackson,Q. Jackson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1.0,,,1628951.0,,,,,,,
93,PT05M56.00S,2026-03-01T22:26:10.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642377,7.835085413929041,52.20588235294118,1610612763,19,19,2026-03-01T22:28:00Z,930000,False,-11.0,21.0,1,left,J. Wells driving Layup (9 PTS),[1642377],1610612763.0,MEM,driving,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,2.38,Made,,,,9.0,,,,,,,,,,,,,,
94,PT05M48.00S,2026-03-01T22:26:20.4Z,1,REGULAR,foul,personal,[],1641707,,,1610612754,19,19,2026-03-01T22:26:31Z,940000,False,,,0,,T. Hendricks personal FOUL (1 PF),"[1641707, 1631245]",1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1628951.0,1.0,0.0,Jackson,1631245.0,,,
96,PT05M48.00S,2026-03-01T22:26:28.8Z,1,REGULAR,substitution,out,[],1642377,,,1610612754,19,19,2026-03-01T22:26:32Z,960000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M48.00S,2026-03-01T22:26:28.8Z,1,REGULAR,substitution,in,[],1642285,,,1610612754,19,19,2026-03-01T22:26:32Z,970000,False,,,0,,SUB in: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M41.00S,2026-03-01T22:26:51.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631245,90.75229960578186,58.57843137254902,1610612754,19,19,2026-03-01T22:26:54Z,980000,False,43.0,34.0,1,right,MISS Q. Jackson driving Layup,[1631245],1610612754.0,IND,driving,,,Jackson,Q. Jackson,,,,,In The Paint (Non-RA),0-8 Center,5.5,Missed,,,,,,,,,,,,,,,,,,
99,PT05M39.00S,2026-03-01T22:26:53.3Z,1,REGULAR,rebound,offensive,[],1630695,,,1610612754,19,19,2026-03-01T22:26:54Z,990000,False,,,0,,M. Potter REBOUND (Off:1 Def:0),[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,In The Paint (Non-RA),0-8 Center,,,,,98.0,,,,,,,,,,,,,1.0,0.0,1.0
100,PT05M39.00S,2026-03-01T22:26:53.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630695,94.40999984741211,50.0,1610612754,21,19,2026-03-01T22:26:53Z,1000000,False,0.0,0.0,1,right,M. Potter tip Layup (2 PTS),[1630695],1610612754.0,IND,tip,,,Potter,M. Potter,,,,,Mid-Range,8-16 Left,0.0,Made,,,,2.0,,,,,,,,,,,,,,
101,PT05M28.00S,2026-03-01T22:27:04.1Z,1,REGULAR,3pt,Jump Shot,[],1642914,26.231931668856767,81.12745098039215,1610612763,21,22,2026-03-01T22:27:08Z,1010000,False,-156.0,194.0,1,left,J. Small 24' 3PT step back (3 PTS),[1642914],1610612763.0,MEM,step back,,,Small,J. Small,,,,,Above the Break 3,24+ Left Center,24.88,Made,,,,3.0,,,,,,,,,,,,,,
102,PT05M14.00S,2026-03-01T22:27:18.4Z,1,REGULAR,3pt,Jump Shot,[],1643007,66.04796320630749,50.98039215686274,1610612754,24,22,2026-03-01T22:27:22Z,1020000,False,5.0,267.0,1,right,T. Peter 26' 3PT  (3 PTS) (K. Jones 3 AST),"[1643007, 1642880]",1610612754.0,IND,,,,Peter,T. Peter,,,,,Above the Break 3,24+ Center,26.66,Made,,,,3.0,K. Jones,1642880.0,3.0,,,,,,,,,,,
104,PT04M59.00S,2026-03-01T22:27:33.6Z,1,REGULAR,3pt,Jump Shot,[],1641707,6.389618922470433,96.81372549019608,1610612763,24,25,2026-03-01T22:27:38Z,1040000,False,-234.0,8.0,1,left,T. Hendricks 3PT  (3 PTS) (C. Spencer 1 AST),"[1641707, 1642285]",1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Left Corner 3,24+ Left,23.42,Made,,,,3.0,C. Spencer,1642285.0,1.0,,,,,,,,,,,
106,PT04M34.00S,2026-03-01T22:27:57.9Z,1,REGULAR,3pt,Jump Shot,[],1642880,79.58278580814718,95.34313725490196,1610612754,24,25,2026-03-01T22:28:02Z,1060000,False,227.0,139.0,1,right,MISS K. Jones 26' 3PT,[1642880],1610612754.0,IND,,,,Jones,K. Jones,,,,,Above the Break 3,24+ Right Center,26.61,Missed,,,,,,,,,,,,,,,,,,
107,PT04M32.00S,2026-03-01T22:27:59.9Z,1,REGULAR,rebound,defensive,[],1642285,,,1610612763,24,25,2026-03-01T22:28:06Z,1070000,False,,,0,,C. Spencer REBOUND (Off:0 Def:1),[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Right Center,,,,,106.0,,,,,,,,,,,,,1.0,1.0,0.0
108,PT04M21.00S,2026-03-01T22:28:11.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641707,5.732588699080158,50.49019607843137,1610612763,24,27,2026-03-01T22:30:55Z,1080000,False,-2.0,1.0,1,left,T. Hendricks driving DUNK (5 PTS) (J. Small 1 AST),"[1641707, 1642914]",1610612763.0,MEM,driving,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,0.29,Made,,,,5.0,J. Small,1642914.0,1.0,,,,,,,,,,,
111,PT04M01.00S,2026-03-01T22:28:31.4Z,1,REGULAR,3pt,Jump Shot,[],1643007,65.25952693823915,28.186274509803923,1610612754,24,27,2026-03-01T22:28:36Z,1100000,False,-109.0,274.0,1,right,MISS T. Peter 29' 3PT,[1643007],1610612754.0,IND,,,,Peter,T. Peter,,,,,Above the Break 3,24+ Left Center,29.5,Missed,,,,,,,,,,,,,,,,,,
112,PT03M59.00S,2026-03-01T22:28:33.4Z,1,REGULAR,rebound,defensive,[],1641707,,,1610612763,24,27,2026-03-01T22:28:39Z,1110000,False,,,0,,T. Hendricks REBOUND (Off:1 Def:1),[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Left Center,,,,,111.0,,,,,,,,,,,,,2.0,1.0,1.0
113,PT03M49.00S,2026-03-01T22:28:43.7Z,1,REGULAR,3pt,Jump Shot,[],1642914,30.831143232588698,73.2843137254902,1610612763,24,27,2026-03-01T22:31:51Z,1120000,False,-116.0,237.0,1,left,MISS J. Small 26' step back 3PT,[1642914],1610612763.0,MEM,step back,,,Small,J. Small,,,,,Above the Break 3,24+ Left Center,26.43,Missed,,,,,,,,,,,,,,,,,,
114,PT03M47.00S,2026-03-01T22:28:45.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,24,27,2026-03-01T22:28:48Z,1130000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,113.0,,,,,,,,,,,,,,,
116,PT03M47.00S,2026-03-01T22:28:48.4Z,1,REGULAR,substitution,out,[],1642880,,,1610612754,24,27,2026-03-01T22:28:52Z,1150000,False,,,0,,SUB out: K. Jones,[1642880],1610612754.0,IND,,,,Jones,K. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M47.00S,2026-03-01T22:28:48.4Z,1,REGULAR,substitution,in,[],204456,,,1610612754,24,27,2026-03-01T22:28:52Z,1160000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M28.00S,2026-03-01T22:29:20.1Z,1,REGULAR,3pt,Jump Shot,[],1630695,92.72339027595268,2.696078431372549,1610612754,27,27,2026-03-01T22:29:24Z,1170000,False,-237.0,16.0,1,right,M. Potter 3PT  (5 PTS) (T. McConnell 1 AST),"[1630695, 204456]",1610612754.0,IND,,,,Potter,M. Potter,,,,,Left Corner 3,24+ Left,23.7,Made,,,,5.0,T. McConnell,204456.0,1.0,,,,,,,,,,,
120,PT03M06.00S,2026-03-01T22:29:42.5Z,1,REGULAR,3pt,Jump Shot,[],1641707,33.590670170827856,46.32352941176471,1610612763,27,30,2026-03-01T22:29:46Z,1190000,False,18.0,263.0,1,left,T. Hendricks 26' 3PT  (8 PTS) (J. Small 2 AST),"[1641707, 1642914]",1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Center,26.39,Made,,,,8.0,J. Small,1642914.0,2.0,,,,,,,,,,,
122,PT02M48.00S,2026-03-01T22:30:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204456,92.46057818659659,42.8921568627451,1610612754,27,30,2026-03-01T22:30:21Z,1210000,False,-36.0,18.0,1,right,MISS T. McConnell driving finger roll Layup,[204456],1610612754.0,IND,driving finger roll,,,McConnell,T. McConnell,,,,,Restricted Area,0-8 Center,4.0,Missed,,,,,,,,,,,,,,,,,,
123,PT02M47.00S,2026-03-01T22:30:01.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,27,30,2026-03-01T22:30:21Z,1220000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,,,122.0,,,,,,,,,,,,,,,
124,PT02M47.00S,2026-03-01T22:30:06.9Z,1,REGULAR,foul,personal,[],1642914,,,1610612754,27,30,2026-03-01T22:30:15Z,1230000,False,,,0,,J. Small loose ball personal FOUL (2 PF),"[1642914, 1630695]",1610612763.0,MEM,loose ball,,,Small,J. Small,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2004.0,2.0,0.0,Potter,1630695.0,,,
126,PT02M47.00S,2026-03-01T22:30:22.3Z,1,REGULAR,substitution,out,[],1642914,,,1610612754,27,30,2026-03-01T22:30:23Z,1250000,False,,,0,,SUB out: J. Small,[1642914],1610612763.0,MEM,,,,Small,J. Small,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M47.00S,2026-03-01T22:30:22.3Z,1,REGULAR,substitution,in,[],1642383,,,1610612754,27,30,2026-03-01T22:30:23Z,1260000,False,,,0,,SUB in: W. Clayton Jr.,[1642383],1610612763.0,MEM,,,,Clayton Jr.,W. Clayton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M40.00S,2026-03-01T22:30:47.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631245,90.3580814717477,96.56862745098039,1610612754,27,30,2026-03-01T22:30:52Z,1270000,False,233.0,38.0,1,right,MISS Q. Jackson step back 3PT,[1631245],1610612754.0,IND,step back,,,Jackson,Q. Jackson,,,,,Right Corner 3,24+ Right,23.59,Missed,,,,,,,,,,,,,,,,,,
129,PT02M38.00S,2026-03-01T22:30:49.2Z,1,REGULAR,rebound,defensive,[],1642285,,,1610612763,27,30,2026-03-01T22:30:56Z,1280000,False,,,0,,C. Spencer REBOUND (Off:0 Def:2),[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Right Corner 3,24+ Right,,,,,128.0,,,,,,,,,,,,,2.0,2.0,0.0
130,PT02M27.00S,2026-03-01T22:30:59.6Z,1,REGULAR,3pt,Jump Shot,[],1642942,31.61957950065703,49.01960784313725,1610612763,27,30,2026-03-01T22:31:04Z,1290000,False,5.0,245.0,1,left,MISS J. Mashack 24' 3PT,[1642942],1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,Above the Break 3,24+ Center,24.47,Missed,,,,,,,,,,,,,,,,,,
131,PT02M25.00S,2026-03-01T22:31:01.6Z,1,REGULAR,rebound,defensive,[],1631245,,,1610612754,27,30,2026-03-01T22:31:04Z,1300000,False,,,0,,Q. Jackson REBOUND (Off:0 Def:1),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Above the Break 3,24+ Center,,,,,130.0,,,,,,,,,,,,,1.0,1.0,0.0
132,PT02M21.00S,2026-03-01T22:31:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631245,93.38042049934296,45.83333333333333,1610612754,27,30,2026-03-01T22:31:12Z,1310000,False,-21.0,10.0,1,right,MISS Q. Jackson running Layup - blocked,"[1631245, 1642942]",1610612754.0,IND,running,,,Jackson,Q. Jackson,,,,,Restricted Area,0-8 Center,2.3,Missed,Mashack,1642942.0,,,,,,,,,,,,,,,,
133,PT02M21.00S,2026-03-01T22:31:06.9Z,1,REGULAR,block,,[],1642942,,,1610612754,27,30,2026-03-01T22:31:09Z,1320000,False,,,0,,J. Mashack BLOCK (1 BLK),[1642942],1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
134,PT02M18.00S,2026-03-01T22:31:09.9Z,1,REGULAR,rebound,defensive,[],1641707,,,1610612763,27,30,2026-03-01T22:31:12Z,1330000,False,,,0,,T. Hendricks REBOUND (Off:1 Def:2),[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,,,,,132.0,,,,,,,,,,,,,3.0,2.0,1.0
136,PT02M07.00S,2026-03-01T22:31:35.4Z,1,REGULAR,3pt,Jump Shot,[],1642383,19.530223390275953,91.42156862745098,1610612763,27,30,2026-03-01T22:31:41Z,1350000,False,-207.0,131.0,1,left,MISS W. Clayton Jr. 24' 3PT,[1642383],1610612763.0,MEM,,,,Clayton Jr.,W. Clayton Jr.,,,,,Above the Break 3,24+ Left Center,24.51,Missed,,,,,,,,,,,,,,,,,,
137,PT02M02.00S,2026-03-01T22:31:40.4Z,1,REGULAR,rebound,defensive,[],1631245,,,1610612754,27,30,2026-03-01T22:31:41Z,1360000,False,,,0,,Q. Jackson REBOUND (Off:0 Def:2),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,136.0,,,,,,,,,,,,,2.0,2.0,0.0
138,PT01M55.00S,2026-03-01T22:31:47.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630695,88.25558475689881,45.83333333333333,1610612754,27,30,2026-03-01T22:31:52Z,1370000,False,-21.0,58.0,1,right,MISS M. Potter 6' driving finger roll Layup,[1630695],1610612754.0,IND,driving finger roll,,,Potter,M. Potter,,,,,In The Paint (Non-RA),0-8 Center,6.15,Missed,,,,,,,,,,,,,,,,,,
139,PT01M53.00S,2026-03-01T22:31:49.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,27,30,2026-03-01T22:31:52Z,1380000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,138.0,,,,,,,,,,,,,,,
141,PT01M53.00S,2026-03-01T22:31:54.3Z,1,REGULAR,substitution,out,[],1642942,,,1610612763,27,30,2026-03-01T22:32:02Z,1400000,False,,,0,,SUB out: J. Mashack,[1642942],1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M53.00S,2026-03-01T22:31:54.3Z,1,REGULAR,substitution,in,[],1641713,,,1610612763,27,30,2026-03-01T22:32:02Z,1410000,False,,,0,,SUB in: G. Jackson,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M36.00S,2026-03-01T22:32:26.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641713,7.178055190538765,57.84313725490197,1610612763,27,32,2026-03-01T22:32:30Z,1420000,False,-39.0,15.0,1,left,G. Jackson driving Layup (5 PTS) (C. Spencer 2 AST),"[1641713, 1642285]",1610612763.0,MEM,driving,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,4.2,Made,,,,5.0,C. Spencer,1642285.0,2.0,,,,,,,,,,,
145,PT01M24.00S,2026-03-01T22:32:37.2Z,1,REGULAR,3pt,Jump Shot,[],1641738,91.80354796320631,4.166666666666666,1610612754,30,32,2026-03-01T22:32:41Z,1440000,False,-229.0,25.0,1,right,K. Brown 3PT  (3 PTS) (Q. Jackson 1 AST),"[1641738, 1631245]",1610612754.0,IND,,,,Brown,K. Brown,,,,,Left Corner 3,24+ Left,23.05,Made,,,,3.0,Q. Jackson,1631245.0,1.0,,,,,,,,,,,
147,PT01M15.00S,2026-03-01T22:32:48.6Z,1,REGULAR,foul,personal,[],1631245,,,1610612763,30,32,2026-03-01T22:32:53Z,1460000,False,,,0,,Q. Jackson take personal FOUL (1 PF),"[1631245, 1642285]",1610612754.0,IND,take,,,Jackson,Q. Jackson,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,1628951.0,1.0,0.0,Spencer,1642285.0,,,
149,PT01M15.00S,2026-03-01T22:32:53.2Z,1,REGULAR,substitution,out,[],1643007,,,1610612763,30,32,2026-03-01T22:32:58Z,1480000,False,,,0,,SUB out: T. Peter,[1643007],1610612754.0,IND,,,,Peter,T. Peter,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M15.00S,2026-03-01T22:32:53.2Z,1,REGULAR,substitution,in,[],1630167,,,1610612763,30,32,2026-03-01T22:32:58Z,1490000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M08.00S,2026-03-01T22:33:15.5Z,1,REGULAR,3pt,Jump Shot,[],1642285,22.158344283837057,91.42156862745098,1610612763,30,32,2026-03-01T22:33:21Z,1500000,False,-207.0,156.0,1,left,MISS C. Spencer 25' pullup 3PT,[1642285],1610612763.0,MEM,pullup,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Left Center,25.92,Missed,,,,,,,,,,,,,,,,,,
152,PT01M04.00S,2026-03-01T22:33:19.5Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,30,32,2026-03-01T22:33:21Z,1510000,False,,,0,,O. Toppin REBOUND (Off:0 Def:3),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Left Center,,,,,151.0,,,,,,,,,,,,,3.0,3.0,0.0
153,PT00M59.90S,2026-03-01T22:33:23.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",204456,92.85479632063075,53.18627450980392,1610612754,32,32,2026-03-01T22:33:28Z,1520000,False,16.0,15.0,1,right,T. McConnell running finger roll Layup (2 PTS),[204456],1610612754.0,IND,running finger roll,,,McConnell,T. McConnell,,,,,Restricted Area,0-8 Center,2.17,Made,,,,2.0,,,,,,,,,,,,,,
154,PT00M49.40S,2026-03-01T22:33:36.6Z,1,REGULAR,3pt,Jump Shot,[],1641707,34.90473061760841,38.72549019607843,1610612763,32,32,2026-03-01T22:33:41Z,1530000,False,56.0,276.0,1,left,MISS T. Hendricks 28' 3PT,[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Center,28.13,Missed,,,,,,,,,,,,,,,,,,
155,PT00M46.40S,2026-03-01T22:33:39.6Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,32,32,2026-03-01T22:33:41Z,1540000,False,,,0,,O. Toppin REBOUND (Off:0 Def:4),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Center,,,,,154.0,,,,,,,,,,,,,4.0,4.0,0.0
156,PT00M33.10S,2026-03-01T22:33:54.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642383,,,1610612754,32,32,2026-03-01T22:34:00Z,1550000,False,,,0,,W. Clayton Jr. shooting personal FOUL (1 PF) (Brown 2 FT),"[1642383, 1641738]",1610612763.0,MEM,shooting,,,Clayton Jr.,W. Clayton Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1628951.0,1.0,0.0,Brown,1641738.0,,,
158,PT00M33.10S,2026-03-01T22:34:18.6Z,1,REGULAR,freethrow,1 of 2,[],1641738,,,1610612754,33,32,2026-03-01T22:34:18Z,1570000,False,,,0,,K. Brown Free Throw 1 of 2 (4 PTS),[1641738],1610612754.0,IND,,,,Brown,K. Brown,,,,,,,,Made,,,,4.0,,,,,,,,,,,,,,
159,PT00M33.10S,2026-03-01T22:34:33.6Z,1,REGULAR,freethrow,2 of 2,[],1641738,,,1610612754,34,32,2026-03-01T22:34:33Z,1580000,False,,,0,,K. Brown Free Throw 2 of 2 (5 PTS),[1641738],1610612754.0,IND,,,,Brown,K. Brown,,,,,,,,Made,,,,5.0,,,,,,,,,,,,,,
160,PT00M28.70S,2026-03-01T22:34:43.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641738,,,1610612763,34,32,2026-03-01T22:34:48Z,1590000,False,,,0,,K. Brown shooting personal FOUL (1 PF) (Clayton Jr. 2 FT),"[1641738, 1642383]",1610612754.0,IND,shooting,,,Brown,K. Brown,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1628951.0,1.0,0.0,Clayton Jr.,1642383.0,,,
162,PT00M28.70S,2026-03-01T22:35:05.6Z,1,REGULAR,freethrow,1 of 2,[],1642383,,,1610612763,34,33,2026-03-01T22:35:05Z,1610000,False,,,0,,W. Clayton Jr. Free Throw 1 of 2 (1 PTS),[1642383],1610612763.0,MEM,,,,Clayton Jr.,W. Clayton Jr.,,,,,,,,Made,,,,1.0,,,,,,,,,,,,,,
163,PT00M28.70S,2026-03-01T22:35:06.2Z,1,REGULAR,substitution,out,[],1630695,,,1610612763,34,33,2026-03-01T22:35:11Z,1620000,False,,,0,,SUB out: M. Potter,[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M28.70S,2026-03-01T22:35:06.2Z,1,REGULAR,substitution,out,[],1631245,,,1610612763,34,33,2026-03-01T22:35:11Z,1630000,False,,,0,,SUB out: Q. Jackson,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M28.70S,2026-03-01T22:35:06.2Z,1,REGULAR,substitution,in,[],1643007,,,1610612763,34,33,2026-03-01T22:35:11Z,1640000,False,,,0,,SUB in: T. Peter,[1643007],1610612754.0,IND,,,,Peter,T. Peter,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M28.70S,2026-03-01T22:35:06.2Z,1,REGULAR,substitution,in,[],1630643,,,1610612763,34,33,2026-03-01T22:35:11Z,1650000,False,,,0,,SUB in: J. Huff,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M28.70S,2026-03-01T22:35:30.7Z,1,REGULAR,freethrow,2 of 2,[],1642383,,,1610612763,34,34,2026-03-01T22:35:30Z,1660000,False,,,0,,W. Clayton Jr. Free Throw 2 of 2 (2 PTS),[1642383],1610612763.0,MEM,,,,Clayton Jr.,W. Clayton Jr.,,,,,,,,Made,,,,2.0,,,,,,,,,,,,,,
168,PT00M10.30S,2026-03-01T22:35:51.1Z,1,REGULAR,3pt,Jump Shot,[],1630167,68.15045992115637,66.66666666666666,1610612754,34,34,2026-03-01T22:35:56Z,1670000,False,83.0,247.0,1,right,MISS O. Toppin 26' pullup 3PT,[1630167],1610612754.0,IND,pullup,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Right Center,26.06,Missed,,,,,,,,,,,,,,,,,,
169,PT00M07.00S,2026-03-01T22:35:54.4Z,1,REGULAR,rebound,defensive,[],1641713,,,1610612763,34,34,2026-03-01T22:35:54Z,1680000,False,,,0,,G. Jackson REBOUND (Off:0 Def:1),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Right Center,,,,,168.0,,,,,,,,,,,,,1.0,1.0,0.0
170,PT00M02.70S,2026-03-01T22:35:58.7Z,1,REGULAR,turnover,lost ball,[],1641712,,,1610612763,34,34,2026-03-01T22:36:11Z,1690000,False,,,0,,R. Rupert lost ball TURNOVER (1 TO),"[1641712, 1630167]",1610612763.0,MEM,,,,Rupert,R. Rupert,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1.0,Toppin,1630167.0,,,,,,,,
171,PT00M02.70S,2026-03-01T22:35:58.7Z,1,REGULAR,steal,,[],1630167,,,1610612754,34,34,2026-03-01T22:36:11Z,1700000,False,,,0,,O. Toppin STEAL (2 STL),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
172,PT00M00.30S,2026-03-01T22:36:01.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641738,85.75886990801577,47.794117647058826,1610612754,34,34,2026-03-01T22:41:40Z,1710000,False,-11.0,81.0,1,right,MISS K. Brown 8' running pullup Shot,[1641738],1610612754.0,IND,running pullup,,,Brown,K. Brown,,,,,In The Paint (Non-RA),8-16 Center,8.21,Missed,,,,,,,,,,,,,,,,,,
173,PT00M00.10S,2026-03-01T22:36:01.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,34,34,2026-03-01T22:41:40Z,1720000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,172.0,,,,,,,,,,,,,,,
