actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M10.00S,2025-10-31T23:12:31.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,5,4,2025-10-31T23:12:30Z,190000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M04.00S,2025-10-31T23:12:37.1Z,1,REGULAR,3pt,Jump Shot,[],1627783,65.39093298291722,67.8921568627451,1610612754,8,4,2025-10-31T23:12:49Z,200000,False,89.0,273.0,1,right,P. Siakam 28' 3PT step back bank (5 PTS) (Q. Jackson 1 AST),"[1627783, 1631245]",1610612754.0,IND,step back bank,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,28.71,Made,5.0,,,,,,,,,,Q. Jackson,1631245.0,1.0,,,,,
21,PT09M52.00S,2025-10-31T23:12:47.9Z,1,REGULAR,3pt,Jump Shot,[],1629638,33.98488830486202,60.78431372549019,1610612737,8,4,2025-10-31T23:12:53Z,210000,False,-54.0,267.0,1,left,MISS N. Alexander-Walker 27' 3PT,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,27.24,Missed,,,,,,,,,,,,,,,,,,
22,PT09M48.00S,2025-10-31T23:12:51.9Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,8,4,2025-10-31T23:12:53Z,220000,False,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Above the Break 3,24+ Center,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT09M43.00S,2025-10-31T23:12:58.8Z,1,REGULAR,foul,personal,['2freethrow'],1642258,,,1610612754,8,4,2025-10-31T23:13:05Z,230000,False,,,0,,Z. Risacher shooting personal FOUL (1 PF) (Siakam 2 FT),"[1642258, 1627783]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Siakam,1627783.0
25,PT09M43.00S,2025-10-31T23:13:32.0Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612754,9,4,2025-10-31T23:18:56Z,250000,False,,,0,,P. Siakam Free Throw 1 of 2 (6 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
26,PT09M43.00S,2025-10-31T23:13:32.0Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612754,10,4,2025-10-31T23:18:56Z,260000,False,,,0,,P. Siakam Free Throw 2 of 2 (7 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
29,PT09M30.00S,2025-10-31T23:14:02.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,5.863994743758213,54.41176470588235,1610612737,10,6,2025-10-31T23:14:07Z,270000,False,-22.0,3.0,1,left,J. Johnson cutting Layup (4 PTS) (K. Porziņģis 1 AST),"[1630552, 204001]",1610612737.0,ATL,cutting,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,2.23,Made,4.0,,,,,,,,,,K. Porziņģis,204001.0,1.0,,,,,
31,PT09M19.00S,2025-10-31T23:14:13.5Z,1,REGULAR,3pt,Jump Shot,[],1630174,72.7496714848883,9.558823529411764,1610612754,13,6,2025-10-31T23:14:17Z,290000,False,-202.0,204.0,1,right,A. Nesmith 28' 3PT  (3 PTS) (P. Siakam 1 AST),"[1630174, 1627783]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,28.7,Made,3.0,,,,,,,,,,P. Siakam,1627783.0,1.0,,,,,
33,PT09M07.00S,2025-10-31T23:14:26.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,9.937582128777924,54.41176470588235,1610612737,13,6,2025-10-31T23:14:30Z,310000,False,-22.0,41.0,1,left,MISS D. Daniels turnaround Shot,[1630700],1610612737.0,ATL,turnaround,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,4.65,Missed,,,,,,,,,,,,,,,,,,
34,PT09M06.00S,2025-10-31T23:14:27.2Z,1,REGULAR,rebound,offensive,[],204001,,,1610612737,13,6,2025-10-31T23:14:43Z,320000,False,,,0,,K. Porziņģis REBOUND (Off:1 Def:1),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,,
35,PT09M05.00S,2025-10-31T23:14:30.0Z,1,REGULAR,foul,personal,[],1630543,,,1610612737,13,6,2025-10-31T23:14:49Z,330000,False,,,0,,I. Jackson personal FOUL (1 PF),"[1630543, 204001]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Porziņģis,204001.0
38,PT08M54.00S,2025-10-31T23:15:13.2Z,1,REGULAR,turnover,bad pass,[],204001,,,1610612737,13,6,2025-10-31T23:15:16Z,360000,False,,,0,,K. Porziņģis bad pass TURNOVER (1 TO),"[204001, 1630174]",1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,16-24 Center,,,,,,,,,,1.0,Nesmith,1630174.0,,,,,,,,
39,PT08M54.00S,2025-10-31T23:15:13.2Z,1,REGULAR,steal,,[],1630174,,,1610612754,13,6,2025-10-31T23:16:56Z,370000,False,,,0,,A. Nesmith STEAL (1 STL),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
40,PT08M48.00S,2025-10-31T23:15:22.2Z,1,REGULAR,foul,personal,['2freethrow'],1630552,,,1610612754,13,6,2025-10-31T23:15:34Z,380000,False,,,0,,J. Johnson shooting personal FOUL (1 PF) (Nesmith 2 FT),"[1630552, 1630174]",1610612737.0,ATL,shooting,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Nesmith,1630174.0
42,PT08M48.00S,2025-10-31T23:15:50.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630174,,,1610612754,14,6,2025-10-31T23:15:50Z,400000,False,,,0,,A. Nesmith Free Throw 1 of 2 (4 PTS),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
43,PT08M48.00S,2025-10-31T23:16:08.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630174,,,1610612754,15,6,2025-10-31T23:16:08Z,410000,False,,,0,,A. Nesmith Free Throw 2 of 2 (5 PTS),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
44,PT08M33.00S,2025-10-31T23:16:24.2Z,1,REGULAR,2pt,Jump Shot,[],204001,20.71287779237845,28.921568627450984,1610612737,15,6,2025-10-31T23:16:28Z,420000,False,105.0,142.0,1,left,MISS K. Porziņģis 17' pullup Shot,[204001],1610612737.0,ATL,pullup,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,16-24 Right Center,17.7,Missed,,,,,,,,,,,,,,,,,,
45,PT08M32.00S,2025-10-31T23:16:25.2Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,15,6,2025-10-31T23:16:28Z,430000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Mid-Range,16-24 Right Center,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,
46,PT08M10.00S,2025-10-31T23:16:47.0Z,1,REGULAR,2pt,Jump Shot,[],1641716,94.30026281208936,74.50980392156863,1610612754,17,6,2025-10-31T23:16:51Z,440000,False,123.0,1.0,1,right,J. Walker 12' fadeaway Jump Shot (5 PTS),[1641716],1610612754.0,IND,fadeaway,,,Walker,J. Walker,,,,,Mid-Range,8-16 Right,12.25,Made,5.0,,,,,,,,,,,,,,,,,
47,PT07M44.00S,2025-10-31T23:17:14.1Z,1,REGULAR,3pt,Jump Shot,[],1642258,22.946780551905388,9.313725490196079,1610612737,17,6,2025-10-31T23:17:18Z,450000,False,203.0,163.0,1,left,MISS Z. Risacher 26' pullup 3PT,[1642258],1610612737.0,ATL,pullup,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,26.08,Missed,,,,,,,,,,,,,,,,,,
48,PT07M41.00S,2025-10-31T23:17:17.1Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,17,6,2025-10-31T23:17:18Z,460000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,
49,PT07M29.00S,2025-10-31T23:17:29.3Z,1,REGULAR,3pt,Jump Shot,[],1641716,65.78515111695138,47.549019607843135,1610612754,17,6,2025-10-31T23:17:35Z,470000,False,-12.0,269.0,1,right,MISS J. Walker 26' pullup 3PT,[1641716],1610612754.0,IND,pullup,,,Walker,J. Walker,,,,,Above the Break 3,24+ Center,26.94,Missed,,,,,,,,,,,,,,,,,,
50,PT07M26.00S,2025-10-31T23:17:32.3Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612737,17,6,2025-10-31T23:17:47Z,480000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,
51,PT07M20.00S,2025-10-31T23:17:39.6Z,1,REGULAR,violation,kicked ball,[],1631245,,,1610612737,17,6,2025-10-31T23:17:43Z,490000,False,,,0,,Q. Jackson kicked ball VIOLATION,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,,,,,,,,,,,,,,,1627524.0,,,,
52,PT07M15.00S,2025-10-31T23:18:00.0Z,1,REGULAR,2pt,Hook,[],1642258,6.521024967148489,69.85294117647058,1610612737,17,6,2025-10-31T23:18:04Z,500000,False,-99.0,9.0,1,left,MISS Z. Risacher 9' Hook,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Mid-Range,8-16 Left,9.97,Missed,,,,,,,,,,,,,,,,,,
54,PT07M14.00S,2025-10-31T23:18:01.0Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,17,6,2025-10-31T23:18:04Z,510000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Mid-Range,8-16 Left,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,
55,PT07M08.00S,2025-10-31T23:18:10.3Z,1,REGULAR,foul,personal,['2freethrow'],1642258,,,1610612754,17,6,2025-10-31T23:18:16Z,520000,False,,,0,,Z. Risacher shooting personal FOUL (2 PF) (Siakam 2 FT),"[1642258, 1627783]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627524.0,2.0,0.0,Siakam,1627783.0
57,PT07M08.00S,2025-10-31T23:18:42.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627783,,,1610612754,18,6,2025-10-31T23:22:04Z,540000,False,,,0,,P. Siakam Free Throw 1 of 2 (8 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
58,PT07M08.00S,2025-10-31T23:18:45.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,18,6,2025-10-31T23:18:45Z,550000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M08.00S,2025-10-31T23:21:10.9Z,1,REGULAR,substitution,out,[],1630543,,,1610612754,18,6,2025-10-31T23:21:29Z,560000,False,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M08.00S,2025-10-31T23:21:10.9Z,1,REGULAR,substitution,out,[],1631245,,,1610612754,18,6,2025-10-31T23:21:29Z,570000,False,,,0,,SUB out: Q. Jackson,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M08.00S,2025-10-31T23:21:10.9Z,1,REGULAR,substitution,out,[],1630700,,,1610612754,18,6,2025-10-31T23:21:29Z,580000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M08.00S,2025-10-31T23:21:10.9Z,1,REGULAR,substitution,out,[],204001,,,1610612754,18,6,2025-10-31T23:21:29Z,590000,False,,,0,,SUB out: K. Porziņģis,[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M08.00S,2025-10-31T23:21:10.9Z,1,REGULAR,substitution,out,[],1642258,,,1610612754,18,6,2025-10-31T23:21:29Z,600000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M08.00S,2025-10-31T23:21:10.9Z,1,REGULAR,substitution,in,[],1630643,,,1610612754,18,6,2025-10-31T23:21:29Z,610000,False,,,0,,SUB in: J. Huff,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M08.00S,2025-10-31T23:21:10.9Z,1,REGULAR,substitution,in,[],1642484,,,1610612754,18,6,2025-10-31T23:21:29Z,620000,False,,,0,,SUB in: R. Dennis,[1642484],1610612754.0,IND,,,,Dennis,R. Dennis,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M08.00S,2025-10-31T23:21:10.9Z,1,REGULAR,substitution,in,[],1628379,,,1610612754,18,6,2025-10-31T23:21:29Z,630000,False,,,0,,SUB in: L. Kennard,[1628379],1610612737.0,ATL,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M08.00S,2025-10-31T23:21:10.9Z,1,REGULAR,substitution,in,[],1631243,,,1610612754,18,6,2025-10-31T23:21:29Z,640000,False,,,0,,SUB in: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M08.00S,2025-10-31T23:21:10.9Z,1,REGULAR,substitution,in,[],1630168,,,1610612754,18,6,2025-10-31T23:21:29Z,650000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M08.00S,2025-10-31T23:18:42.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627783,,,1610612754,18,6,2025-10-31T23:22:04Z,660000,False,,,0,,MISS P. Siakam Free Throw 2 of 2,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
70,PT07M04.00S,2025-10-31T23:18:46.5Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,18,6,2025-10-31T23:22:04Z,670000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,
71,PT06M58.00S,2025-10-31T23:22:10.4Z,1,REGULAR,turnover,out-of-bounds,[],1629638,,,1610612737,18,6,2025-10-31T23:22:18Z,680000,False,,,0,,N. Alexander-Walker lost ball out-of-bounds TURNOVER (2 TO),[1629638],1610612737.0,ATL,lost ball,,,Alexander-Walker,N. Alexander-Walker,,,,,Right Corner 3,24+ Right,,,,,,,,,,2.0,,,,,,204059.0,,,,
72,PT06M58.00S,2025-10-31T23:22:19.1Z,1,REGULAR,substitution,out,[],1627783,,,1610612754,18,6,2025-10-31T23:22:21Z,690000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M58.00S,2025-10-31T23:22:19.1Z,1,REGULAR,substitution,in,[],1641767,,,1610612754,18,6,2025-10-31T23:22:21Z,700000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M43.00S,2025-10-31T23:22:42.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642484,70.64717477003943,10.784313725490197,1610612754,18,6,2025-10-31T23:22:47Z,710000,False,-196.0,223.0,1,right,MISS R. Dennis 29' 3PT,[1642484],1610612754.0,IND,,,,Dennis,R. Dennis,,,,,Above the Break 3,24+ Left Center,29.73,Missed,,,,,,,,,,,,,,,,,,
75,PT06M38.00S,2025-10-31T23:22:47.0Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,18,6,2025-10-31T23:22:47Z,720000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,
76,PT06M33.00S,2025-10-31T23:22:53.5Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612737,18,6,2025-10-31T23:29:09Z,730000,False,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Alexander-Walker 2 FT),"[1630174, 1629638]",1610612754.0,IND,shooting,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Alexander-Walker,1629638.0
78,PT06M33.00S,2025-10-31T23:23:17.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629638,,,1610612737,18,7,2025-10-31T23:29:14Z,750000,False,,,0,,N. Alexander-Walker Free Throw 1 of 2 (1 PTS),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
79,PT06M33.00S,2025-10-31T23:23:17.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629638,,,1610612737,18,8,2025-10-31T23:29:14Z,760000,False,,,0,,N. Alexander-Walker Free Throw 2 of 2 (2 PTS),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
80,PT06M28.00S,2025-10-31T23:23:42.5Z,1,REGULAR,foul,personal,['3freethrow'],1630552,,,1610612754,18,8,2025-10-31T23:23:50Z,770000,False,,,0,,J. Johnson shooting personal FOUL (2 PF) (Nesmith 3 FT),"[1630552, 1630174]",1610612737.0,ATL,shooting,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,204059.0,2.0,0.0,Nesmith,1630174.0
82,PT06M28.00S,2025-10-31T23:24:12.3Z,1,REGULAR,freethrow,1 of 3,[],1630174,,,1610612754,19,8,2025-10-31T23:24:48Z,790000,False,,,0,,A. Nesmith Free Throw 1 of 3 (6 PTS),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
83,PT06M28.00S,2025-10-31T23:24:12.3Z,1,REGULAR,freethrow,2 of 3,[],1630174,,,1610612754,20,8,2025-10-31T23:24:48Z,800000,False,,,0,,A. Nesmith Free Throw 2 of 3 (7 PTS),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
84,PT06M28.00S,2025-10-31T23:24:12.3Z,1,REGULAR,freethrow,3 of 3,[],1630174,,,1610612754,20,8,2025-10-31T23:24:48Z,810000,False,,,0,,MISS A. Nesmith Free Throw 3 of 3,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
85,PT06M26.00S,2025-10-31T23:24:14.3Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,20,8,2025-10-31T23:24:48Z,820000,False,,,0,,J. Johnson REBOUND (Off:0 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,84.0,2.0,2.0,0.0,,,,,,,,,,,
86,PT06M12.00S,2025-10-31T23:25:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,19.004599211563733,43.627450980392155,1610612737,20,10,2025-10-31T23:25:05Z,830000,False,32.0,126.0,1,left,J. Johnson 13' turnaround fadeaway Jump Shot (6 PTS),[1630552],1610612737.0,ATL,turnaround fadeaway,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,13.01,Made,6.0,,,,,,,,,,,,,,,,,
