actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M46.00S,2026-04-10T23:42:50.4Z,1,REGULAR,3pt,Jump Shot,[],1631245,67.49342969776609,79.41176470588235,1610612754,3,3,2026-04-10T23:42:55Z,180000,False,147.0,253.0,1,right,Q. Jackson 29' 3PT  (3 PTS) (E. Thompson 1 AST),"[1631245, 1630679]",1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Above the Break 3,24+ Right Center,,,,,,,29.27,Made,,,,,3.0,E. Thompson,1630679.0,1.0,,,,
20,PT10M34.00S,2026-04-10T23:43:01.9Z,1,REGULAR,2pt,Jump Shot,[],202331,6.389618922470433,27.205882352941174,1610612755,3,3,2026-04-10T23:43:48Z,200000,False,114.0,8.0,1,left,MISS P. George 11' step back Shot,[202331],1610612755.0,PHI,step back,,,George,P. George,,,,,Mid-Range,8-16 Right,,,,,,,11.43,Missed,,,,,,,,,,,,
21,PT10M31.00S,2026-04-10T23:43:04.9Z,1,REGULAR,rebound,defensive,[],1630695,,,1610612754,3,3,2026-04-10T23:43:07Z,210000,False,,,0,,M. Potter REBOUND (Off:0 Def:2),[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,Mid-Range,8-16 Right,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,
22,PT10M25.00S,2026-04-10T23:43:10.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630695,66.44218134034165,50.98039215686274,1610612754,6,3,2026-04-10T23:43:15Z,220000,False,5.0,263.0,1,right,M. Potter 26' 3PT running (3 PTS) (Q. Jackson 1 AST),"[1630695, 1631245]",1610612754.0,IND,running,,,Potter,M. Potter,,,,,Above the Break 3,24+ Center,,,,,,,26.29,Made,,,,,3.0,Q. Jackson,1631245.0,1.0,,,,
24,PT10M10.00S,2026-04-10T23:43:26.1Z,1,REGULAR,2pt,Jump Shot,[],202331,15.982260183968464,23.03921568627451,1610612755,6,3,2026-04-10T23:43:30Z,240000,False,135.0,98.0,1,left,MISS P. George 16' pullup Shot,[202331],1610612755.0,PHI,pullup,,,George,P. George,,,,,Mid-Range,16-24 Right,,,,,,,16.65,Missed,,,,,,,,,,,,
25,PT10M08.00S,2026-04-10T23:43:29.2Z,1,REGULAR,rebound,offensive,[],1641737,,,1610612755,6,3,2026-04-10T23:43:29Z,250000,False,,,0,,A. Bona REBOUND (Off:1 Def:1),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Mid-Range,16-24 Right,,,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,
26,PT10M07.00S,2026-04-10T23:43:29.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641737,6.521024967148489,51.71568627450981,1610612755,6,3,2026-04-10T23:43:33Z,260000,False,-9.0,9.0,1,left,MISS A. Bona putback Layup,[1641737],1610612755.0,PHI,putback,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,,,,,,,1.23,Missed,,,,,,,,,,,,
27,PT10M05.00S,2026-04-10T23:43:31.7Z,1,REGULAR,rebound,defensive,[],1630695,,,1610612754,6,3,2026-04-10T23:43:33Z,270000,False,,,0,,M. Potter REBOUND (Off:0 Def:3),[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,Restricted Area,0-8 Center,,,,,,,,,26.0,3.0,3.0,0.0,,,,,,,,
28,PT09M53.00S,2026-04-10T23:43:43.1Z,1,REGULAR,3pt,Jump Shot,[],1641716,65.78515111695138,46.07843137254902,1610612754,9,3,2026-04-10T23:43:47Z,280000,False,-20.0,269.0,1,right,J. Walker 26' 3PT  (3 PTS) (Q. Jackson 2 AST),"[1641716, 1631245]",1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Center,,,,,,,26.98,Made,,,,,3.0,Q. Jackson,1631245.0,2.0,,,,
30,PT09M35.00S,2026-04-10T23:44:00.8Z,1,REGULAR,3pt,Jump Shot,[],1630178,26.62614980289093,87.00980392156863,1610612755,9,3,2026-04-10T23:44:05Z,300000,False,-185.0,198.0,1,left,MISS T. Maxey 27' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,27.08,Missed,,,,,,,,,,,,
31,PT09M33.00S,2026-04-10T23:44:02.8Z,1,REGULAR,rebound,defensive,[],1630695,,,1610612754,9,3,2026-04-10T23:44:05Z,310000,False,,,0,,M. Potter REBOUND (Off:0 Def:4),[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,30.0,4.0,4.0,0.0,,,,,,,,
32,PT09M24.00S,2026-04-10T23:44:12.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641738,91.93495400788436,52.94117647058824,1610612754,11,3,2026-04-10T23:45:52Z,320000,False,15.0,23.0,1,right,K. Brown driving Layup (2 PTS) (Q. Jackson 3 AST),"[1641738, 1631245]",1610612754.0,IND,driving,,,Brown,K. Brown,,,,,Restricted Area,0-8 Center,,,,,,,2.75,Made,,,,,2.0,Q. Jackson,1631245.0,3.0,,,,
34,PT09M10.00S,2026-04-10T23:44:25.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,12.171484888304862,47.794117647058826,1610612755,11,5,2026-04-10T23:44:29Z,340000,False,11.0,62.0,1,left,K. Oubre Jr. 6' pullup Jump Shot (2 PTS) (V. Edgecombe 1 AST),"[1626162, 1642845]",1610612755.0,PHI,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,6.29,Made,,,,,2.0,V. Edgecombe,1642845.0,1.0,,,,
36,PT09M02.00S,2026-04-10T23:44:36.5Z,1,REGULAR,2pt,Jump Shot,[],1641716,91.27792378449409,25.98039215686275,1610612754,13,5,2026-04-10T23:44:41Z,360000,False,-120.0,29.0,1,right,J. Walker 12' driving floating Jump Shot (5 PTS),[1641716],1610612754.0,IND,driving floating,,,Walker,J. Walker,,,,,Mid-Range,8-16 Left,,,,,,,12.37,Made,,,,,5.0,,,,,,,
37,PT09M02.00S,2026-04-10T23:44:38.4Z,1,REGULAR,foul,personal,['1freethrow'],1642845,,,1610612754,13,5,2026-04-10T23:44:48Z,370000,False,,,0,,V. Edgecombe shooting personal FOUL (1 PF) (Walker 1 FT),"[1642845, 1641716]",1610612755.0,PHI,shooting,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,8-16 Left,1627524.0,1.0,0.0,Walker,1641716.0,,,,,,,,,,,,,,,
39,PT09M02.00S,2026-04-10T23:45:05.2Z,1,REGULAR,freethrow,1 of 1,[],1641716,,,1610612754,13,5,2026-04-10T23:45:05Z,390000,False,,,0,,MISS J. Walker Free Throw 1 of 1,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,Missed,,,,,,,,,,,,
40,PT09M00.00S,2026-04-10T23:45:07.2Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,13,5,2026-04-10T23:45:08Z,400000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,
41,PT08M46.00S,2026-04-10T23:45:20.9Z,1,REGULAR,3pt,Jump Shot,[],202331,23.603810775295663,88.72549019607843,1610612755,13,8,2026-04-10T23:45:24Z,410000,False,-194.0,169.0,1,left,P. George 25' 3PT  (3 PTS) (V. Edgecombe 2 AST),"[202331, 1642845]",1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,25.72,Made,,,,,3.0,V. Edgecombe,1642845.0,2.0,,,,
43,PT08M24.00S,2026-04-10T23:45:42.5Z,1,REGULAR,3pt,Jump Shot,[],1631245,67.23061760840999,32.1078431372549,1610612754,13,8,2026-04-10T23:45:46Z,430000,False,-89.0,256.0,1,right,MISS Q. Jackson 27' 3PT,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,,,27.07,Missed,,,,,,,,,,,,
44,PT08M22.00S,2026-04-10T23:45:44.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,13,8,2026-04-10T23:45:46Z,440000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,
45,PT08M15.00S,2026-04-10T23:45:51.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,16.113666228646515,40.931372549019606,1610612755,13,8,2026-04-10T23:45:56Z,450000,False,45.0,99.0,1,left,MISS K. Oubre Jr. 10' pullup Shot,[1626162],1610612755.0,PHI,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,10.89,Missed,,,,,,,,,,,,
46,PT08M12.00S,2026-04-10T23:45:54.8Z,1,REGULAR,rebound,defensive,[],1630695,,,1610612754,13,8,2026-04-10T23:45:56Z,460000,False,,,0,,M. Potter REBOUND (Off:0 Def:5),[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,45.0,5.0,5.0,0.0,,,,,,,,
48,PT08M07.00S,2026-04-10T23:46:06.3Z,1,REGULAR,substitution,out,[],1641738,,,1610612754,13,8,2026-04-10T23:46:11Z,480000,False,,,0,,SUB out: K. Brown,[1641738],1610612754.0,IND,,,,Brown,K. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M07.00S,2026-04-10T23:46:06.3Z,1,REGULAR,substitution,in,[],1643007,,,1610612754,13,8,2026-04-10T23:46:11Z,490000,False,,,0,,SUB in: T. Peter,[1643007],1610612754.0,IND,,,,Peter,T. Peter,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M00.00S,2026-04-10T23:46:30.0Z,1,REGULAR,2pt,Jump Shot,[],1641716,85.10183968462549,85.5392156862745,1610612754,13,8,2026-04-10T23:46:33Z,500000,False,178.0,88.0,1,right,MISS J. Walker 19' step back Shot,[1641716],1610612754.0,IND,step back,,,Walker,J. Walker,,,,,Mid-Range,16-24 Right,,,,,,,19.81,Missed,,,,,,,,,,,,
51,PT08M00.00S,2026-04-10T23:46:30.0Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,13,8,2026-04-10T23:46:52Z,510000,False,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,16-24 Right,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,
52,PT07M53.00S,2026-04-10T23:46:40.3Z,1,REGULAR,foul,personal,['2freethrow'],1630695,,,1610612755,13,8,2026-04-10T23:46:45Z,520000,False,,,0,,M. Potter shooting personal FOUL (1 PF) (Edgecombe 2 FT),"[1630695, 1642845]",1610612754.0,IND,shooting,,,Potter,M. Potter,,,,,In The Paint (Non-RA),0-8 Center,1627524.0,1.0,0.0,Edgecombe,1642845.0,,,,,,,,,,,,,,,
54,PT07M53.00S,2026-04-10T23:47:08.0Z,1,REGULAR,freethrow,1 of 2,[],1642845,,,1610612755,13,9,2026-04-10T23:47:08Z,540000,False,,,0,,V. Edgecombe Free Throw 1 of 2 (1 PTS),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,Made,,,,,1.0,,,,,,,
55,PT07M53.00S,2026-04-10T23:47:08.5Z,1,REGULAR,substitution,out,[],1630695,,,1610612755,13,9,2026-04-10T23:47:13Z,550000,False,,,0,,SUB out: M. Potter,[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M53.00S,2026-04-10T23:47:08.5Z,1,REGULAR,substitution,in,[],1630643,,,1610612755,13,9,2026-04-10T23:47:13Z,560000,False,,,0,,SUB in: J. Huff,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M53.00S,2026-04-10T23:47:28.3Z,1,REGULAR,freethrow,2 of 2,[],1642845,,,1610612755,13,10,2026-04-10T23:47:28Z,570000,False,,,0,,V. Edgecombe Free Throw 2 of 2 (2 PTS),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,Made,,,,,2.0,,,,,,,
58,PT07M41.00S,2026-04-10T23:47:46.1Z,1,REGULAR,turnover,lost ball,[],1643007,,,1610612754,13,10,2026-04-10T23:47:52Z,580000,False,,,0,,T. Peter lost ball TURNOVER (1 TO),"[1643007, 1626162]",1610612754.0,IND,,,,Peter,T. Peter,,,,,Above the Break 3,24+ Center,,,,,,1.0,,,,,,,,,,,Oubre Jr.,1626162.0,,
59,PT07M41.00S,2026-04-10T23:47:46.1Z,1,REGULAR,steal,,[],1626162,,,1610612755,13,10,2026-04-10T23:47:48Z,590000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
60,PT07M27.00S,2026-04-10T23:47:59.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642845,10.33180026281209,36.029411764705884,1610612755,13,10,2026-04-10T23:49:13Z,600000,False,70.0,45.0,1,left,MISS V. Edgecombe 8' driving finger roll Layup,[1642845],1610612755.0,PHI,driving finger roll,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,8.29,Missed,,,,,,,,,,,,
61,PT07M23.00S,2026-04-10T23:48:03.8Z,1,REGULAR,rebound,defensive,[],1630643,,,1610612754,13,10,2026-04-10T23:48:04Z,610000,False,,,0,,J. Huff REBOUND (Off:0 Def:1),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,60.0,1.0,1.0,0.0,,,,,,,,
62,PT07M18.00S,2026-04-10T23:48:08.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631245,92.59198423127464,54.166666666666664,1610612754,13,10,2026-04-10T23:48:14Z,620000,False,21.0,17.0,1,right,MISS Q. Jackson running Layup,[1631245],1610612754.0,IND,running,,,Jackson,Q. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,2.69,Missed,,,,,,,,,,,,
63,PT07M15.00S,2026-04-10T23:48:11.8Z,1,REGULAR,rebound,defensive,[],1641737,,,1610612755,13,10,2026-04-10T23:48:14Z,630000,False,,,0,,A. Bona REBOUND (Off:1 Def:2),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,,,,,,,,,62.0,3.0,2.0,1.0,,,,,,,,
64,PT07M06.00S,2026-04-10T23:48:19.9Z,1,REGULAR,3pt,Jump Shot,[],1626162,22.552562417871222,89.70588235294117,1610612755,13,10,2026-04-10T23:48:24Z,640000,False,-199.0,159.0,1,left,MISS K. Oubre Jr. 25' 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,25.46,Missed,,,,,,,,,,,,
65,PT07M04.00S,2026-04-10T23:48:21.9Z,1,REGULAR,rebound,defensive,[],1630643,,,1610612754,13,10,2026-04-10T23:48:24Z,650000,False,,,0,,J. Huff REBOUND (Off:0 Def:2),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Left Center,,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,
66,PT06M53.00S,2026-04-10T23:48:34.0Z,1,REGULAR,3pt,Jump Shot,[],1631245,65.78515111695138,23.03921568627451,1610612754,16,10,2026-04-10T23:48:37Z,660000,False,-135.0,269.0,1,right,Q. Jackson 30' 3PT  (6 PTS) (E. Thompson 2 AST),"[1631245, 1630679]",1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,,,30.1,Made,,,,,6.0,E. Thompson,1630679.0,2.0,,,,
68,PT06M33.00S,2026-04-10T23:48:53.2Z,1,REGULAR,2pt,Jump Shot,[],202331,6.258212877792378,19.11764705882353,1610612755,16,12,2026-04-10T23:48:56Z,680000,False,154.0,6.0,1,left,P. George 15' pullup Jump Shot (5 PTS),[202331],1610612755.0,PHI,pullup,,,George,P. George,,,,,Mid-Range,8-16 Right,,,,,,,15.45,Made,,,,,5.0,,,,,,,
70,PT06M24.00S,2026-04-10T23:49:07.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,16,12,2026-04-10T23:49:07Z,700000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M24.00S,2026-04-10T23:51:34.6Z,1,REGULAR,substitution,out,[],1641716,,,1610612754,16,12,2026-04-10T23:51:56Z,710000,False,,,0,,SUB out: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M24.00S,2026-04-10T23:51:34.6Z,1,REGULAR,substitution,out,[],1631245,,,1610612754,16,12,2026-04-10T23:51:56Z,720000,False,,,0,,SUB out: Q. Jackson,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M24.00S,2026-04-10T23:51:34.6Z,1,REGULAR,substitution,out,[],1630679,,,1610612754,16,12,2026-04-10T23:51:56Z,730000,False,,,0,,SUB out: E. Thompson,[1630679],1610612754.0,IND,,,,Thompson,E. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M24.00S,2026-04-10T23:51:34.6Z,1,REGULAR,substitution,out,[],1641737,,,1610612754,16,12,2026-04-10T23:51:56Z,740000,False,,,0,,SUB out: A. Bona,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M24.00S,2026-04-10T23:51:34.6Z,1,REGULAR,substitution,in,[],1642880,,,1610612754,16,12,2026-04-10T23:51:56Z,750000,False,,,0,,SUB in: K. Jones,[1642880],1610612754.0,IND,,,,Jones,K. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M24.00S,2026-04-10T23:51:34.6Z,1,REGULAR,substitution,in,[],1641771,,,1610612754,16,12,2026-04-10T23:51:56Z,760000,False,,,0,,SUB in: J. Slawson,[1641771],1610612754.0,IND,,,,Slawson,J. Slawson,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M24.00S,2026-04-10T23:51:34.6Z,1,REGULAR,substitution,in,[],1641738,,,1610612754,16,12,2026-04-10T23:51:56Z,770000,False,,,0,,SUB in: K. Brown,[1641738],1610612754.0,IND,,,,Brown,K. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M24.00S,2026-04-10T23:51:34.6Z,1,REGULAR,substitution,in,[],203083,,,1610612754,16,12,2026-04-10T23:51:56Z,780000,False,,,0,,SUB in: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M17.00S,2026-04-10T23:52:17.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642880,86.94152431011827,49.01960784313725,1610612754,16,12,2026-04-10T23:54:51Z,790000,False,-5.0,70.0,1,right,MISS K. Jones 7' pullup Shot - blocked,"[1642880, 1626162]",1610612754.0,IND,pullup,,,Jones,K. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,7.04,Missed,,,,,,,,,,,Oubre Jr.,1626162.0
80,PT06M17.00S,2026-04-10T23:52:17.7Z,1,REGULAR,block,,[],1626162,,,1610612754,16,12,2026-04-10T23:52:19Z,800000,False,,,0,,K. Oubre Jr. BLOCK (1 BLK),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
81,PT06M14.00S,2026-04-10T23:52:20.7Z,1,REGULAR,rebound,offensive,[],1641771,,,1610612754,16,12,2026-04-10T23:52:20Z,810000,False,,,0,,J. Slawson REBOUND (Off:1 Def:0),[1641771],1610612754.0,IND,,,,Slawson,J. Slawson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,79.0,1.0,0.0,1.0,,,,,,,,
82,PT06M13.00S,2026-04-10T23:52:21.3Z,1,REGULAR,turnover,out-of-bounds,[],1641771,,,1610612754,16,12,2026-04-10T23:52:36Z,820000,False,,,0,,J. Slawson lost ball out-of-bounds TURNOVER (1 TO),[1641771],1610612754.0,IND,lost ball,,,Slawson,J. Slawson,,,,,Above the Break 3,24+ Left Center,1626300.0,,,,,1.0,,,,,,,,,,,,,,
83,PT06M00.00S,2026-04-10T23:52:43.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626162,7.703679369250986,40.68627450980392,1610612755,16,12,2026-04-10T23:52:47Z,830000,False,47.0,20.0,1,left,MISS K. Oubre Jr. Layup - blocked,"[1626162, 1630643]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,5.07,Missed,,,,,,,,,,,Huff,1630643.0
84,PT06M00.00S,2026-04-10T23:52:43.7Z,1,REGULAR,block,,[],1630643,,,1610612755,16,12,2026-04-10T23:52:45Z,840000,False,,,0,,J. Huff BLOCK (1 BLK),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
85,PT05M58.00S,2026-04-10T23:52:45.7Z,1,REGULAR,rebound,defensive,[],1630643,,,1610612754,16,12,2026-04-10T23:52:47Z,850000,False,,,0,,J. Huff REBOUND (Off:0 Def:3),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,83.0,3.0,3.0,0.0,,,,,,,,
