actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
26,PT10M44.00S,2025-10-22T23:48:12.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,89.96386333771353,50.49019607843137,1610612761,4,2,2025-10-22T23:48:21Z,260000,False,2.0,42.0,1,right,MISS B. Ingram driving Layup,[1627742],1610612761.0,TOR,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,4.19,Missed,,,,,,,,,,,,,,,,,,
27,PT10M41.00S,2025-10-22T23:48:14.9Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612761,4,2,2025-10-22T23:48:14Z,270000,False,,,0,,R. Barrett REBOUND (Off:1 Def:0),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,,,
28,PT10M41.00S,2025-10-22T23:48:15.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629628,92.72339027595268,50.73529411764706,1610612761,4,4,2025-10-22T23:48:23Z,280000,False,4.0,16.0,1,right,R. Barrett putback Layup (2 PTS),[1629628],1610612761.0,TOR,putback,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,1.63,Made,,,,,,,,,,,2.0,,,,,,,
29,PT10M20.00S,2025-10-22T23:48:36.0Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,4,4,2025-10-22T23:48:40Z,290000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1629628]",1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,,,,,,,,,,,Barrett,1629628.0
30,PT10M20.00S,2025-10-22T23:48:36.0Z,1,REGULAR,steal,,[],1629628,,,1610612761,4,4,2025-10-22T23:48:38Z,300000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT10M13.00S,2025-10-22T23:48:43.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629628,72.35545335085413,20.098039215686274,1610612761,4,7,2025-10-22T23:48:48Z,310000,False,-150.0,207.0,1,right,R. Barrett 25' 3PT  (5 PTS) (S. Barnes 2 AST),"[1629628, 1630567]",1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,25.57,Made,,,,,,,,,,,5.0,S. Barnes,1630567.0,2.0,,,,
34,PT09M55.00S,2025-10-22T23:49:14.2Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612737,4,7,2025-10-22T23:49:36Z,340000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Young 2 FT),"[1627751, 1629027]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,201638.0,,1.0,0.0,Young,1629027.0,,,,,,,,
36,PT09M55.00S,2025-10-22T23:49:48.6Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,5,7,2025-10-22T23:49:48Z,360000,False,,,0,,T. Young Free Throw 1 of 2 (1 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
37,PT09M55.00S,2025-10-22T23:50:05.1Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,6,7,2025-10-22T23:50:05Z,370000,False,,,0,,T. Young Free Throw 2 of 2 (2 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
38,PT09M43.00S,2025-10-22T23:50:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,93.51182654402102,47.30392156862745,1610612761,6,7,2025-10-22T23:50:50Z,380000,False,-13.0,8.0,1,right,MISS S. Barnes driving reverse Layup,[1630567],1610612761.0,TOR,driving reverse,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,1.6,Missed,,,,,,,,,,,,,,,,,,
39,PT09M42.00S,2025-10-22T23:50:19.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,6,7,2025-10-22T23:50:50Z,390000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,38.0,,,,,,,,,,,,,,,,,
41,PT09M37.00S,2025-10-22T23:50:32.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,11.777266754270697,46.32352941176471,1610612737,6,7,2025-10-22T23:50:39Z,410000,False,18.0,58.0,1,left,MISS T. Young 6' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,6.1,Missed,,,,,,,,,,,,,,,,,,
42,PT09M33.00S,2025-10-22T23:50:36.9Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,6,7,2025-10-22T23:50:39Z,420000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT09M30.00S,2025-10-22T23:50:39.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630193,72.7496714848883,78.92156862745098,1610612761,6,7,2025-10-22T23:50:46Z,430000,False,145.0,204.0,1,right,MISS I. Quickley 24' running 3PT,[1630193],1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,24.98,Missed,,,,,,,,,,,,,,,,,,
44,PT09M27.00S,2025-10-22T23:50:42.2Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,6,7,2025-10-22T23:50:46Z,440000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
45,PT09M16.00S,2025-10-22T23:50:53.2Z,1,REGULAR,turnover,lost ball,[],1630700,,,1610612737,6,7,2025-10-22T23:50:57Z,450000,False,,,0,,D. Daniels lost ball TURNOVER (1 TO),"[1630700, 1630193]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,,,,,,,,,,,Quickley,1630193.0
46,PT09M16.00S,2025-10-22T23:50:53.2Z,1,REGULAR,steal,,[],1630193,,,1610612761,6,7,2025-10-23T00:19:16Z,460000,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT09M09.00S,2025-10-22T23:51:00.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,93.24901445466492,50.98039215686274,1610612761,6,9,2025-10-22T23:51:43Z,470000,False,5.0,11.0,1,right,S. Barnes running DUNK (2 PTS) (I. Quickley 1 AST),"[1630567, 1630193]",1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,1.2,Made,,,,,,,,,,,2.0,I. Quickley,1630193.0,1.0,,,,
49,PT09M04.00S,2025-10-22T23:51:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,7.440867279894875,48.28431372549019,1610612737,8,9,2025-10-22T23:51:14Z,490000,False,9.0,17.0,1,left,Z. Risacher finger roll Layup (2 PTS) (J. Johnson 1 AST),"[1642258, 1630552]",1610612737.0,ATL,finger roll,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,1.94,Made,,,,,,,,,,,2.0,J. Johnson,1630552.0,1.0,,,,
51,PT08M53.00S,2025-10-22T23:51:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,93.11760840998686,48.03921568627451,1610612761,8,9,2025-10-22T23:51:21Z,510000,False,-10.0,12.0,1,right,MISS S. Barnes driving Layup - blocked,"[1630567, 204001]",1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,1.56,Missed,,,,,,,,,,,,,,,Porziņģis,204001.0,,
52,PT08M53.00S,2025-10-22T23:51:16.3Z,1,REGULAR,block,,[],204001,,,1610612761,8,9,2025-10-22T23:51:19Z,520000,False,,,0,,K. Porziņģis BLOCK (1 BLK),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
53,PT08M49.00S,2025-10-22T23:51:20.3Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,8,9,2025-10-22T23:51:21Z,530000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,51.0,2.0,1.0,1.0,,,,,,,,,,,,,,
54,PT08M42.00S,2025-10-22T23:51:28.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627742,82.21090670170827,57.35294117647059,1610612761,8,9,2025-10-22T23:51:34Z,540000,False,37.0,115.0,1,right,MISS B. Ingram 12' pullup Shot,[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,12.05,Missed,,,,,,,,,,,,,,,,,,
55,PT08M38.00S,2025-10-22T23:51:32.0Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,8,9,2025-10-22T23:55:39Z,550000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,54.0,3.0,1.0,2.0,,,,,,,,,,,,,,
56,PT08M37.00S,2025-10-22T23:51:32.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,74.58935611038108,83.08823529411765,1610612761,8,12,2025-10-22T23:51:40Z,560000,False,165.0,186.0,1,right,R. Barrett 24' 3PT  (8 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,24.92,Made,,,,,,,,,,,8.0,,,,,,,
57,PT08M29.00S,2025-10-22T23:51:43.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630552,7.5722733245729295,49.01960784313725,1610612737,8,12,2025-10-22T23:52:06Z,570000,False,5.0,19.0,1,left,MISS J. Johnson running DUNK - blocked,"[1630552, 1630567]",1610612737.0,ATL,running,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,1.93,Missed,,,,,,,,,,,,,,,Barnes,1630567.0,,
58,PT08M29.00S,2025-10-22T23:51:43.0Z,1,REGULAR,block,,[],1630567,,,1610612737,8,12,2025-10-22T23:51:47Z,580000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT08M28.00S,2025-10-22T23:51:44.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,8,12,2025-10-22T23:52:06Z,590000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,57.0,,,,,,,,,,,,,,,,,
61,PT08M20.00S,2025-10-22T23:51:59.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,86.41590013140605,50.98039215686274,1610612761,8,14,2025-10-22T23:52:07Z,610000,False,5.0,75.0,1,right,I. Quickley 7' driving floating Jump Shot (2 PTS),[1630193],1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,7.54,Made,,,,,,,,,,,2.0,,,,,,,
62,PT08M12.00S,2025-10-22T23:52:08.1Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,8,14,2025-10-22T23:52:12Z,620000,False,,,0,,T. Young bad pass TURNOVER (2 TO),"[1629027, 1630567]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,8-16 Center,,,,,,,,2.0,,,,,,,,,,,Barnes,1630567.0
63,PT08M12.00S,2025-10-22T23:52:08.1Z,1,REGULAR,steal,,[],1630567,,,1610612761,8,14,2025-10-22T23:52:10Z,630000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
64,PT08M06.00S,2025-10-22T23:52:14.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630193,91.67214191852825,94.85294117647058,1610612761,8,14,2025-10-22T23:52:21Z,640000,False,224.0,26.0,1,right,MISS I. Quickley running 3PT,[1630193],1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Right Corner 3,24+ Right,22.58,Missed,,,,,,,,,,,,,,,,,,
65,PT08M02.00S,2025-10-22T23:52:18.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612737,8,14,2025-10-22T23:52:21Z,650000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:1),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Right Corner 3,24+ Right,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,
66,PT07M48.00S,2025-10-22T23:52:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,7.703679369250986,50.0,1610612737,10,14,2025-10-22T23:52:38Z,660000,False,0.0,20.0,1,left,J. Johnson cutting Layup (4 PTS) (D. Daniels 1 AST),"[1630552, 1630700]",1610612737.0,ATL,cutting,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,1.99,Made,,,,,,,,,,,4.0,D. Daniels,1630700.0,1.0,,,,
68,PT07M32.00S,2025-10-22T23:52:47.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,81.94809461235218,52.69607843137255,1610612761,10,16,2025-10-22T23:52:52Z,680000,False,13.0,117.0,1,right,B. Ingram 11' pullup Jump Shot (4 PTS) (S. Barnes 3 AST),"[1627742, 1630567]",1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,11.8,Made,,,,,,,,,,,4.0,S. Barnes,1630567.0,3.0,,,,
70,PT07M26.00S,2025-10-22T23:52:57.2Z,1,REGULAR,foul,offensive,[],1630700,,,1610612737,10,16,2025-10-22T23:53:06Z,700000,False,,,0,,D. Daniels off-the-ball offensive FOUL (2 PF),"[1630700, 1630193]",1610612737.0,ATL,off-the-ball,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,,,201638.0,,2.0,0.0,Quickley,1630193.0,,,,,,,,
72,PT07M26.00S,2025-10-22T23:52:57.2Z,1,REGULAR,turnover,offensive foul,[],1630700,,,1610612737,10,16,2025-10-22T23:52:57Z,720000,False,,,0,,D. Daniels offensive foul TURNOVER (2 TO),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,,,201638.0,2.0,,,,,,,,,,,,
73,PT07M26.00S,2025-10-22T23:53:17.2Z,1,REGULAR,substitution,out,[],1630700,,,1610612761,10,16,2025-10-22T23:53:22Z,730000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M26.00S,2025-10-22T23:53:17.2Z,1,REGULAR,substitution,in,[],1629638,,,1610612761,10,16,2025-10-22T23:53:22Z,740000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT07M12.00S,2025-10-22T23:53:41.1Z,1,REGULAR,turnover,out-of-bounds,[],1627742,,,1610612761,10,16,2025-10-22T23:53:49Z,750000,False,,,0,,B. Ingram step out-of-bounds TURNOVER (1 TO),[1627742],1610612761.0,TOR,step,,,Ingram,B. Ingram,,,,,Left Corner 3,24+ Left,,,,,,,2882.0,1.0,,,,,,,,,,,,
76,PT07M03.00S,2025-10-22T23:53:56.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630552,7.30946123521682,48.28431372549019,1610612737,12,16,2025-10-22T23:54:01Z,760000,False,9.0,16.0,1,left,J. Johnson cutting DUNK (6 PTS) (N. Alexander-Walker 1 AST),"[1630552, 1629638]",1610612737.0,ATL,cutting,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,1.83,Made,,,,,,,,,,,6.0,N. Alexander-Walker,1629638.0,1.0,,,,
78,PT06M50.00S,2025-10-22T23:54:09.9Z,1,REGULAR,2pt,Jump Shot,[],1627742,91.67214191852825,67.15686274509804,1610612761,12,16,2025-10-22T23:54:16Z,780000,False,86.0,26.0,1,right,MISS B. Ingram 8' driving floating Shot,[1627742],1610612761.0,TOR,driving floating,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,8.96,Missed,,,,,,,,,,,,,,,,,,
79,PT06M48.00S,2025-10-22T23:54:11.9Z,1,REGULAR,rebound,defensive,[],204001,,,1610612737,12,16,2025-10-22T23:54:16Z,790000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:2),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,8-16 Right,,,78.0,2.0,2.0,0.0,,,,,,,,,,,,,,
80,PT06M40.00S,2025-10-22T23:54:20.1Z,1,REGULAR,3pt,Jump Shot,[],1642258,25.312089356110377,83.82352941176471,1610612737,12,16,2025-10-22T23:54:26Z,800000,False,-169.0,185.0,1,left,MISS Z. Risacher 25' 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,25.09,Missed,,,,,,,,,,,,,,,,,,
81,PT06M39.00S,2025-10-22T23:54:21.1Z,1,REGULAR,rebound,offensive,[],204001,,,1610612737,12,16,2025-10-22T23:54:26Z,810000,False,,,0,,K. Porziņģis REBOUND (Off:1 Def:2),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Left Center,,,80.0,3.0,2.0,1.0,,,,,,,,,,,,,,
82,PT06M39.00S,2025-10-22T23:54:25.3Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612737,12,16,2025-10-22T23:55:59Z,820000,False,,,0,,J. Poeltl shooting personal FOUL (2 PF) (Porziņģis 2 FT),"[1627751, 204001]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,2882.0,,2.0,0.0,Porziņģis,204001.0,,,,,,,,
84,PT06M39.00S,2025-10-22T23:54:41.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,12,16,2025-10-22T23:54:41Z,840000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M39.00S,2025-10-22T23:57:09.8Z,1,REGULAR,substitution,out,[],1642258,,,1610612737,12,16,2025-10-22T23:57:56Z,850000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M39.00S,2025-10-22T23:57:09.8Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,12,16,2025-10-22T23:57:56Z,860000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M39.00S,2025-10-22T23:57:09.8Z,1,REGULAR,substitution,out,[],1630567,,,1610612737,12,16,2025-10-22T23:57:56Z,870000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
