actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
18,PT10M28.00S,2025-12-06T00:42:58.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612737,5,0,2025-12-06T00:43:06Z,180000,False,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1629183.0,,,,,,,,,,
19,PT10M12.00S,2025-12-06T00:43:28.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203999,82.07950065703022,50.49019607843137,1610612743,5,0,2025-12-06T00:43:35Z,190000,False,2.0,116.0,1,right,MISS N. Jokić 11' turnaround Hook,[203999],1610612743.0,DEN,turnaround,,,,,,In The Paint (Non-RA),8-16 Center,11.6,Missed,Jokić,N. Jokić,,,,,,,,,,,,,,,,,,,
20,PT10M08.00S,2025-12-06T00:43:32.2Z,1,REGULAR,rebound,offensive,[],1642461,,,1610612743,5,0,2025-12-06T00:43:35Z,200000,False,,,0,,S. Jones REBOUND (Off:1 Def:0),[1642461],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Center,,,Jones,S. Jones,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
21,PT10M06.00S,2025-12-06T00:43:34.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203999,90.75229960578186,50.73529411764706,1610612743,5,2,2025-12-06T00:43:44Z,210000,False,4.0,34.0,1,right,N. Jokić driving finger roll Layup (2 PTS) (S. Jones 1 AST),"[203999, 1642461]",1610612743.0,DEN,driving finger roll,,,,,,Restricted Area,0-8 Center,3.46,Made,Jokić,N. Jokić,,,,,2.0,S. Jones,1642461.0,1.0,,,,,,,,,,,
23,PT09M53.00S,2025-12-06T00:43:47.1Z,1,REGULAR,turnover,bad pass,[],1630552,,,1610612737,5,2,2025-12-06T00:43:54Z,230000,False,,,0,,J. Johnson bad pass TURNOVER (1 TO),"[1630552, 1629661]",1610612737.0,ATL,,,,,,,Above the Break 3,24+ Left Center,,,Johnson,J. Johnson,,,,,,,,,,1.0,Johnson,1629661.0,,,,,,,
24,PT09M53.00S,2025-12-06T00:43:47.1Z,1,REGULAR,steal,,[],1629661,,,1610612743,5,2,2025-12-06T00:44:00Z,240000,False,,,0,,C. Johnson STEAL (1 STL),[1629661],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,
25,PT09M51.00S,2025-12-06T00:43:51.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629661,92.46057818659659,51.71568627450981,1610612743,5,4,2025-12-06T00:44:00Z,250000,False,9.0,18.0,1,right,C. Johnson running Layup (2 PTS),[1629661],1610612743.0,DEN,running,,,,,,Restricted Area,0-8 Center,2.03,Made,Johnson,C. Johnson,,,,,2.0,,,,,,,,,,,,,,
26,PT09M51.00S,2025-12-06T00:44:05.0Z,1,REGULAR,foul,personal,['1freethrow'],1629638,,,1610612743,5,4,2025-12-06T00:44:12Z,260000,False,,,0,,N. Alexander-Walker shooting personal FOUL (1 PF) (Johnson 1 FT),"[1629638, 1629661]",1610612737.0,ATL,shooting,,,,,,Restricted Area,0-8 Center,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,1629183.0,,,,1.0,0.0,Johnson,1629661.0,,,
28,PT09M51.00S,2025-12-06T00:44:28.4Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1629661,,,1610612743,5,4,2025-12-06T00:44:30Z,280000,False,,,0,,MISS C. Johnson Free Throw 1 of 1,[1629661],1610612743.0,DEN,,,,,,,,,,Missed,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,
29,PT09M48.00S,2025-12-06T00:44:31.4Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,5,4,2025-12-06T00:44:30Z,290000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,,,,,,,,Johnson,J. Johnson,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
30,PT09M34.00S,2025-12-06T00:44:44.3Z,1,REGULAR,2pt,Jump Shot,[],1630552,2.7102496714848883,20.34313725490196,1610612737,5,4,2025-12-06T00:44:50Z,300000,False,148.0,-27.0,1,left,MISS J. Johnson 15' pullup Shot,[1630552],1610612737.0,ATL,pullup,,,,,,Mid-Range,8-16 Right,15.07,Missed,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,
31,PT09M30.00S,2025-12-06T00:44:48.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,4,2025-12-06T00:44:50Z,310000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,,,,Mid-Range,8-16 Right,,,Jokić,N. Jokić,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
32,PT09M20.00S,2025-12-06T00:44:57.6Z,1,REGULAR,2pt,Jump Shot,[],1627750,77.08607095926413,68.62745098039215,1610612743,5,4,2025-12-06T00:45:03Z,320000,False,93.0,163.0,1,right,MISS J. Murray 18' step back Shot,[1627750],1610612743.0,DEN,step back,,,,,,Mid-Range,16-24 Right Center,18.76,Missed,Murray,J. Murray,,,,,,,,,,,,,,,,,,,
33,PT09M16.00S,2025-12-06T00:45:01.6Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,5,4,2025-12-06T00:45:03Z,330000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:3),[1630168],1610612737.0,ATL,,,,,,,Mid-Range,16-24 Right Center,,,Okongwu,O. Okongwu,32.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
34,PT09M08.00S,2025-12-06T00:45:09.4Z,1,REGULAR,turnover,lost ball,[],1630700,,,1610612737,5,4,2025-12-06T00:45:19Z,340000,False,,,0,,D. Daniels lost ball TURNOVER (1 TO),"[1630700, 203999]",1610612737.0,ATL,,,,,,,Mid-Range,8-16 Right,,,Daniels,D. Daniels,,,,,,,,,,1.0,Jokić,203999.0,,,,,,,
35,PT09M08.00S,2025-12-06T00:45:09.4Z,1,REGULAR,steal,,[],203999,,,1610612743,5,4,2025-12-06T00:55:26Z,350000,False,,,0,,N. Jokić STEAL (1 STL),[203999],1610612743.0,DEN,,,,,,,Mid-Range,8-16 Right,,,Jokić,N. Jokić,,,,,,,,,,,,,,,,,,,
36,PT08M58.00S,2025-12-06T00:45:19.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629661,70.38436268068331,77.94117647058823,1610612743,5,4,2025-12-06T00:45:24Z,360000,False,140.0,226.0,1,right,MISS C. Johnson 26' 3PT,[1629661],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,26.56,Missed,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,
37,PT08M54.00S,2025-12-06T00:45:23.6Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,5,4,2025-12-06T00:45:23Z,370000,False,,,0,,N. Jokić REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,Jokić,N. Jokić,36.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
38,PT08M53.00S,2025-12-06T00:45:24.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631212,91.93495400788436,50.49019607843137,1610612743,5,6,2025-12-06T00:49:51Z,380000,False,2.0,23.0,1,right,P. Watson DUNK (2 PTS) (N. Jokić 1 AST),"[1631212, 203999]",1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,2.34,Made,Watson,P. Watson,,,,,2.0,N. Jokić,203999.0,1.0,,,,,,,,,,,
40,PT08M41.00S,2025-12-06T00:45:36.1Z,1,REGULAR,3pt,Jump Shot,[],1630700,20.844283837056505,90.44117647058823,1610612737,8,6,2025-12-06T00:45:41Z,400000,False,-202.0,143.0,1,left,D. Daniels 24' 3PT  (5 PTS) (J. Johnson 2 AST),"[1630700, 1630552]",1610612737.0,ATL,,,,,,,Above the Break 3,24+ Left Center,24.79,Made,Daniels,D. Daniels,,,,,5.0,J. Johnson,1630552.0,2.0,,,,,,,,,,,
42,PT08M25.00S,2025-12-06T00:45:52.4Z,1,REGULAR,3pt,Jump Shot,[],1631212,84.31340341655716,4.166666666666666,1610612743,8,6,2025-12-06T00:51:50Z,420000,False,-229.0,95.0,1,right,MISS P. Watson 24' 3PT,[1631212],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,24.81,Missed,Watson,P. Watson,,,,,,,,,,,,,,,,,,,
43,PT08M22.00S,2025-12-06T00:45:55.4Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,8,6,2025-12-06T00:45:58Z,430000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Left Center,,,Daniels,D. Daniels,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
44,PT08M15.00S,2025-12-06T00:46:02.7Z,1,REGULAR,3pt,Jump Shot,[],1630168,31.225361366622867,57.107843137254896,1610612737,11,6,2025-12-06T00:46:07Z,440000,False,-36.0,241.0,1,left,O. Okongwu 24' 3PT  (6 PTS) (D. Daniels 1 AST),"[1630168, 1630700]",1610612737.0,ATL,,,,,,,Above the Break 3,24+ Center,24.36,Made,Okongwu,O. Okongwu,,,,,6.0,D. Daniels,1630700.0,1.0,,,,,,,,,,,
46,PT08M00.00S,2025-12-06T00:46:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,91.01511169513797,55.63725490196079,1610612743,11,6,2025-12-06T00:46:24Z,460000,False,28.0,32.0,1,right,MISS J. Murray driving Layup,[1627750],1610612743.0,DEN,driving,,,,,,Restricted Area,0-8 Center,4.27,Missed,Murray,J. Murray,,,,,,,,,,,,,,,,,,,
47,PT07M54.00S,2025-12-06T00:46:23.6Z,1,REGULAR,rebound,offensive,[],1642461,,,1610612743,11,6,2025-12-06T00:46:23Z,470000,False,,,0,,S. Jones REBOUND (Off:2 Def:0),[1642461],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,Jones,S. Jones,46.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
48,PT07M51.00S,2025-12-06T00:46:26.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629661,71.82982917214193,80.3921568627451,1610612743,11,6,2025-12-06T00:46:32Z,480000,False,152.0,212.0,1,right,MISS C. Johnson 26' 3PT,[1629661],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,26.11,Missed,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,
49,PT07M46.00S,2025-12-06T00:46:31.8Z,1,REGULAR,rebound,offensive,[],1627750,,,1610612743,11,6,2025-12-06T00:46:32Z,490000,False,,,0,,J. Murray REBOUND (Off:1 Def:0),[1627750],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,Murray,J. Murray,48.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
50,PT07M45.00S,2025-12-06T00:46:32.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627750,69.07030223390277,29.65686274509804,1610612743,11,9,2025-12-06T00:55:20Z,500000,False,-102.0,238.0,1,right,J. Murray 25' 3PT pullup (3 PTS),[1627750],1610612743.0,DEN,pullup,,,,,,Above the Break 3,24+ Left Center,25.9,Made,Murray,J. Murray,,,,,3.0,,,,,,,,,,,,,,
51,PT07M37.00S,2025-12-06T00:46:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,5.206964520367937,54.166666666666664,1610612737,13,9,2025-12-06T00:46:45Z,510000,False,-21.0,-4.0,1,left,N. Alexander-Walker driving Layup (2 PTS),[1629638],1610612737.0,ATL,driving,,,,,,Restricted Area,0-8 Center,2.11,Made,Alexander-Walker,N. Alexander-Walker,,,,,2.0,,,,,,,,,,,,,,
52,PT07M25.00S,2025-12-06T00:46:52.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,93.11760840998686,52.20588235294118,1610612743,13,11,2025-12-06T00:47:00Z,520000,False,11.0,12.0,1,right,J. Murray driving Layup (5 PTS),[1627750],1610612743.0,DEN,driving,,,,,,Restricted Area,0-8 Center,1.64,Made,Murray,J. Murray,,,,,5.0,,,,,,,,,,,,,,
53,PT07M16.00S,2025-12-06T00:47:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,7.440867279894875,50.98039215686274,1610612737,15,11,2025-12-06T00:47:09Z,530000,False,-5.0,17.0,1,left,D. Daniels driving floating Jump Shot (7 PTS) (J. Johnson 3 AST),"[1630700, 1630552]",1610612737.0,ATL,driving floating,,,,,,Restricted Area,0-8 Center,1.81,Made,Daniels,D. Daniels,,,,,7.0,J. Johnson,1630552.0,3.0,,,,,,,,,,,
55,PT07M00.00S,2025-12-06T00:47:16.9Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,15,11,2025-12-06T00:47:25Z,550000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1630168]",1610612743.0,DEN,,,,,,,Mid-Range,8-16 Center,,,Murray,J. Murray,,,,,,,,,,1.0,Okongwu,1630168.0,,,,,,,
56,PT07M00.00S,2025-12-06T00:47:16.9Z,1,REGULAR,steal,,[],1630168,,,1610612737,15,11,2025-12-06T00:47:19Z,560000,False,,,0,,O. Okongwu STEAL (1 STL),[1630168],1610612737.0,ATL,,,,,,,Mid-Range,8-16 Center,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,
57,PT06M55.00S,2025-12-06T00:47:21.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630552,7.835085413929041,46.81372549019608,1610612737,17,11,2025-12-06T00:47:33Z,570000,False,16.0,21.0,1,left,J. Johnson running Layup (2 PTS),[1630552],1610612737.0,ATL,running,,,,,,Restricted Area,0-8 Center,2.64,Made,Johnson,J. Johnson,,,,,2.0,,,,,,,,,,,,,,
58,PT06M55.00S,2025-12-06T00:47:28.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,17,11,2025-12-06T00:52:47Z,580000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M55.00S,2025-12-06T00:49:48.1Z,1,REGULAR,substitution,out,[],1629661,,,1610612743,17,11,2025-12-06T00:50:09Z,590000,False,,,0,,SUB out: C. Johnson,[1629661],1610612743.0,DEN,,,,,,,,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,
60,PT06M55.00S,2025-12-06T00:49:48.1Z,1,REGULAR,substitution,in,[],203501,,,1610612743,17,11,2025-12-06T00:50:09Z,600000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612743.0,DEN,,,,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,
61,PT06M41.00S,2025-12-06T00:50:36.5Z,1,REGULAR,2pt,Jump Shot,[],203999,82.86793692509855,28.186274509803923,1610612743,17,11,2025-12-06T00:50:45Z,610000,False,-109.0,109.0,1,right,MISS N. Jokić 15' turnaround Shot,[203999],1610612743.0,DEN,turnaround,,,,,,Mid-Range,8-16 Left,15.39,Missed,Jokić,N. Jokić,,,,,,,,,,,,,,,,,,,
62,PT06M38.00S,2025-12-06T00:50:39.5Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,17,11,2025-12-06T00:50:45Z,620000,False,,,0,,J. Johnson REBOUND (Off:0 Def:2),[1630552],1610612737.0,ATL,,,,,,,Mid-Range,8-16 Left,,,Johnson,J. Johnson,61.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
63,PT06M27.00S,2025-12-06T00:50:59.8Z,1,REGULAR,foul,offensive,[],1630700,,,1610612737,17,11,2025-12-06T00:51:13Z,630000,False,,,0,,D. Daniels off-the-ball offensive FOUL (1 PF),"[1630700, 1627750]",1610612737.0,ATL,off-the-ball,,,,,,In The Paint (Non-RA),8-16 Center,,,Daniels,D. Daniels,,,,,,,,,1162.0,,,,1.0,0.0,Murray,1627750.0,,,
65,PT06M27.00S,2025-12-06T00:50:59.8Z,1,REGULAR,turnover,offensive foul,[],1630700,,,1610612737,17,11,2025-12-06T00:50:59Z,650000,False,,,0,,D. Daniels offensive foul TURNOVER (2 TO),[1630700],1610612737.0,ATL,,,,,,,In The Paint (Non-RA),8-16 Center,,,Daniels,D. Daniels,,,,,,,,,1162.0,2.0,,,,,,,,,
66,PT06M17.00S,2025-12-06T00:51:18.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627750,92.85479632063075,50.245098039215684,1610612743,17,13,2025-12-06T00:51:27Z,660000,False,1.0,15.0,1,right,J. Murray cutting Layup (7 PTS) (N. Jokić 2 AST),"[1627750, 203999]",1610612743.0,DEN,cutting,,,,,,Restricted Area,0-8 Center,1.47,Made,Murray,J. Murray,,,,,7.0,N. Jokić,203999.0,2.0,,,,,,,,,,,
68,PT05M58.00S,2025-12-06T00:51:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,5.206964520367937,50.49019607843137,1610612737,19,13,2025-12-06T00:51:46Z,680000,False,-2.0,-4.0,1,left,Z. Risacher cutting Layup (2 PTS) (J. Johnson 4 AST),"[1642258, 1630552]",1610612737.0,ATL,cutting,,,,,,Restricted Area,0-8 Center,0.44,Made,Risacher,Z. Risacher,,,,,2.0,J. Johnson,1630552.0,4.0,,,,,,,,,,,
70,PT05M58.00S,2025-12-06T00:51:43.9Z,1,REGULAR,foul,personal,['1freethrow'],1631212,,,1610612737,19,13,2025-12-06T00:51:58Z,700000,False,,,0,,P. Watson shooting personal FOUL (1 PF) (Risacher 1 FT),"[1631212, 1642258]",1610612743.0,DEN,shooting,,,,,,Restricted Area,0-8 Center,,,Watson,P. Watson,,,,,,,,,1629183.0,,,,1.0,0.0,Risacher,1642258.0,,,
72,PT05M58.00S,2025-12-06T00:52:03.2Z,1,REGULAR,freethrow,1 of 1,[],1642258,,,1610612737,20,13,2025-12-06T00:52:03Z,720000,False,,,0,,Z. Risacher Free Throw 1 of 1 (3 PTS),[1642258],1610612737.0,ATL,,,,,,,,,,Made,Risacher,Z. Risacher,,,,,3.0,,,,,,,,,,,,,,
73,PT05M53.00S,2025-12-06T00:52:16.6Z,1,REGULAR,foul,personal,[],1642258,,,1610612743,20,13,2025-12-06T00:52:23Z,730000,False,,,0,,Z. Risacher personal FOUL (1 PF),"[1642258, 203501]",1610612737.0,ATL,,,,,,,In The Paint (Non-RA),8-16 Center,,,Risacher,Z. Risacher,,,,,,,,,1626301.0,,,,1.0,0.0,Hardaway Jr.,203501.0,,,
76,PT05M44.00S,2025-12-06T00:52:40.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,87.20433639947439,55.88235294117647,1610612743,20,13,2025-12-06T00:52:46Z,760000,False,29.0,68.0,1,right,MISS N. Jokić 7' driving floating Shot,[203999],1610612743.0,DEN,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.39,Missed,Jokić,N. Jokić,,,,,,,,,,,,,,,,,,,
77,PT05M41.00S,2025-12-06T00:52:44.3Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612737,20,13,2025-12-06T00:52:44Z,770000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:2),[1629638],1610612737.0,ATL,,,,,,,In The Paint (Non-RA),0-8 Center,,,Alexander-Walker,N. Alexander-Walker,76.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
78,PT05M35.00S,2025-12-06T00:52:51.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629638,24.26084099868594,87.74509803921569,1610612737,23,13,2025-12-06T00:59:45Z,780000,False,-189.0,176.0,1,left,N. Alexander-Walker 25' 3PT running pullup (5 PTS) (J. Johnson 5 AST),"[1629638, 1630552]",1610612737.0,ATL,running pullup,,,,,,Above the Break 3,24+ Left Center,25.78,Made,Alexander-Walker,N. Alexander-Walker,,,,,5.0,J. Johnson,1630552.0,5.0,,,,,,,,,,,
80,PT05M14.00S,2025-12-06T00:53:10.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,86.81011826544021,53.67647058823529,1610612743,23,15,2025-12-06T00:53:54Z,800000,False,18.0,71.0,1,right,N. Jokić 7' driving floating Jump Shot (4 PTS),[203999],1610612743.0,DEN,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.38,Made,Jokić,N. Jokić,,,,,4.0,,,,,,,,,,,,,,
81,PT05M06.00S,2025-12-06T00:53:19.2Z,1,REGULAR,3pt,Jump Shot,[],1629638,26.363337713534822,19.852941176470587,1610612737,23,15,2025-12-06T00:53:24Z,810000,False,151.0,195.0,1,left,MISS N. Alexander-Walker 24' pullup 3PT,[1629638],1610612737.0,ATL,pullup,,,,,,Above the Break 3,24+ Right Center,24.67,Missed,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,
82,PT05M03.00S,2025-12-06T00:53:22.2Z,1,REGULAR,rebound,defensive,[],203501,,,1610612743,23,15,2025-12-06T00:53:24Z,820000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,Hardaway Jr.,T. Hardaway Jr.,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
83,PT04M45.00S,2025-12-06T00:53:39.5Z,1,REGULAR,3pt,Jump Shot,[],203999,76.2976346911958,89.70588235294117,1610612743,23,15,2025-12-06T00:53:44Z,830000,False,199.0,170.0,1,right,MISS N. Jokić 26' 3PT,[203999],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,26.15,Missed,Jokić,N. Jokić,,,,,,,,,,,,,,,,,,,
