actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
15,PT10M38.00S,2025-11-08T00:46:30.8Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,2,2,2025-11-08T00:46:33Z,150000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,
16,PT10M36.00S,2025-11-08T00:46:32.9Z,1,REGULAR,turnover,bad pass,[],1627751,,,1610612761,2,2,2025-11-08T00:46:43Z,160000,False,,,0,,J. Poeltl bad pass TURNOVER (1 TO),"[1627751, 1630552]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Johnson,1630552.0,,,,,,,,,,
17,PT10M36.00S,2025-11-08T00:46:32.9Z,1,REGULAR,steal,,[],1630552,,,1610612737,2,2,2025-11-08T00:46:37Z,170000,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M29.00S,2025-11-08T00:46:38.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630552,7.703679369250986,49.50980392156863,1610612737,4,2,2025-11-08T00:46:51Z,180000,False,2.0,20.0,1,left,J. Johnson running DUNK (2 PTS),[1630552],1610612737.0,ATL,running,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,2.01,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M18.00S,2025-11-08T00:46:51.6Z,1,REGULAR,foul,personal,['2freethrow'],1629638,,,1610612761,4,2,2025-11-08T00:47:17Z,190000,False,,,0,,N. Alexander-Walker shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1629638, 1627751]",1610612737.0,ATL,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202053.0,1.0,0.0,Poeltl,1627751.0,,,
21,PT10M18.00S,2025-11-08T00:47:20.0Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612761,4,3,2025-11-08T00:47:20Z,210000,False,,,0,,J. Poeltl Free Throw 1 of 2 (1 PTS),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
22,PT10M18.00S,2025-11-08T00:47:36.6Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612761,4,4,2025-11-08T00:47:36Z,220000,False,,,0,,J. Poeltl Free Throw 2 of 2 (2 PTS),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M54.00S,2025-11-08T00:48:14.8Z,1,REGULAR,2pt,Jump Shot,[],204001,25.443495400788436,68.87254901960785,1610612737,6,4,2025-11-08T00:50:41Z,240000,False,-94.0,187.0,1,left,K. Porziņģis 20' step back Jump Shot (2 PTS) (N. Alexander-Walker 1 AST),"[204001, 1629638]",1610612737.0,ATL,step back,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,16-24 Left Center,20.92,Made,2.0,,,,,,,,,,,,,,,N. Alexander-Walker,1629638.0,1.0
26,PT09M32.00S,2025-11-08T00:48:39.7Z,1,REGULAR,turnover,traveling,[],1630193,,,1610612761,6,4,2025-11-08T00:48:51Z,260000,False,,,0,,I. Quickley traveling TURNOVER (1 TO),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Center,,,,,,,,1.0,,,,,202053.0,,,,,,,
27,PT09M15.00S,2025-11-08T00:49:11.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630552,7.046649145860711,49.26470588235294,1610612737,8,4,2025-11-08T00:49:17Z,270000,False,4.0,14.0,1,left,J. Johnson reverse Layup (4 PTS) (N. Alexander-Walker 2 AST),"[1630552, 1629638]",1610612737.0,ATL,reverse,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,1.42,Made,4.0,,,,,,,,,,,,,,,N. Alexander-Walker,1629638.0,2.0
29,PT09M03.00S,2025-11-08T00:49:22.2Z,1,REGULAR,3pt,Jump Shot,[],1629628,73.80091984231275,82.35294117647058,1610612761,8,4,2025-11-08T00:49:28Z,290000,False,162.0,194.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,25.25,Missed,,,,,,,,,,,,,,,,,,
30,PT09M01.00S,2025-11-08T00:49:24.2Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,8,4,2025-11-08T00:49:28Z,300000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT08M46.00S,2025-11-08T00:49:40.0Z,1,REGULAR,3pt,Jump Shot,[],1630552,22.815374507227332,88.97058823529412,1610612737,8,4,2025-11-08T00:49:45Z,310000,False,-195.0,162.0,1,left,MISS J. Johnson 25' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,25.34,Missed,,,,,,,,,,,,,,,,,,
32,PT08M42.00S,2025-11-08T00:49:43.1Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,8,4,2025-11-08T00:49:43Z,320000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT08M36.00S,2025-11-08T00:49:49.4Z,1,REGULAR,3pt,Jump Shot,[],1627742,92.85479632063075,3.6764705882352944,1610612761,8,7,2025-11-08T00:49:55Z,330000,False,-232.0,15.0,1,right,B. Ingram 3PT  (5 PTS) (I. Quickley 1 AST),"[1627742, 1630193]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Left Corner 3,24+ Left,23.21,Made,5.0,,,,,,,,,,,,,,,I. Quickley,1630193.0,1.0
35,PT08M11.00S,2025-11-08T00:50:14.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,6.783837056504599,49.754901960784316,1610612737,10,7,2025-11-08T00:50:22Z,350000,False,1.0,11.0,1,left,Z. Risacher reverse Layup (4 PTS) (D. Daniels 1 AST),"[1642258, 1630700]",1610612737.0,ATL,reverse,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,1.14,Made,4.0,,,,,,,,,,,,,,,D. Daniels,1630700.0,1.0
37,PT08M01.00S,2025-11-08T00:50:24.5Z,1,REGULAR,turnover,bad pass,[],1627751,,,1610612761,10,7,2025-11-08T00:50:29Z,370000,False,,,0,,J. Poeltl bad pass TURNOVER (2 TO),"[1627751, 1630700]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,2.0,Daniels,1630700.0,,,,,,,,,,
38,PT08M01.00S,2025-11-08T00:50:24.5Z,1,REGULAR,steal,,[],1630700,,,1610612737,10,7,2025-11-08T00:50:27Z,380000,False,,,0,,D. Daniels STEAL (2 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
39,PT07M49.00S,2025-11-08T00:50:39.3Z,1,REGULAR,foul,personal,[],1627751,,,1610612737,10,7,2025-11-08T00:50:55Z,390000,False,,,0,,J. Poeltl personal FOUL (1 PF),"[1627751, 204001]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Porziņģis,204001.0,,,
41,PT07M35.00S,2025-11-08T00:51:13.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629638,7.440867279894875,51.470588235294116,1610612737,12,7,2025-11-08T00:51:20Z,410000,False,-7.0,17.0,1,left,N. Alexander-Walker driving Layup (2 PTS),[1629638],1610612737.0,ATL,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,1.89,Made,2.0,,,,,,,,,,,,,,,,,
42,PT07M35.00S,2025-11-08T00:51:20.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,12,7,2025-11-08T00:51:20Z,420000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M35.00S,2025-11-08T00:53:00.5Z,1,REGULAR,substitution,out,[],204001,,,1610612761,12,7,2025-11-08T00:54:10Z,430000,False,,,0,,SUB out: K. Porziņģis,[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M35.00S,2025-11-08T00:53:00.5Z,1,REGULAR,substitution,in,[],1630168,,,1610612761,12,7,2025-11-08T00:54:10Z,440000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M22.00S,2025-11-08T00:54:35.6Z,1,REGULAR,3pt,Jump Shot,[],1627742,69.20170827858082,70.09803921568627,1610612761,12,10,2025-11-08T00:54:41Z,450000,False,100.0,237.0,1,right,B. Ingram 25' 3PT  (8 PTS) (I. Quickley 2 AST),"[1627742, 1630193]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,25.74,Made,8.0,,,,,,,,,,,,,,,I. Quickley,1630193.0,2.0
47,PT07M09.00S,2025-11-08T00:54:48.8Z,1,REGULAR,turnover,bad pass,[],1629638,,,1610612737,12,10,2025-11-08T00:54:57Z,470000,False,,,0,,N. Alexander-Walker bad pass TURNOVER (1 TO),"[1629638, 1630567]",1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,Barnes,1630567.0,,,,,,,,,,
48,PT07M09.00S,2025-11-08T00:54:48.8Z,1,REGULAR,steal,,[],1630567,,,1610612761,12,10,2025-11-08T00:54:51Z,480000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
49,PT07M06.00S,2025-11-08T00:54:53.3Z,1,REGULAR,foul,personal,['2freethrow'],1642258,,,1610612761,12,10,2025-11-08T00:55:20Z,490000,False,,,0,,Z. Risacher shooting personal FOUL (1 PF) (Quickley 2 FT),"[1642258, 1630193]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Quickley,1630193.0,,,
51,PT07M06.00S,2025-11-08T00:55:23.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630193,,,1610612761,12,10,2025-11-08T00:55:23Z,510000,False,,,0,,MISS I. Quickley Free Throw 1 of 2,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
52,PT07M06.00S,2025-11-08T00:55:23.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,12,10,2025-11-08T00:55:23Z,520000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,
53,PT07M06.00S,2025-11-08T00:55:25.3Z,1,REGULAR,substitution,out,[],1630700,,,1610612761,12,10,2025-11-08T00:55:32Z,530000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M06.00S,2025-11-08T00:55:25.3Z,1,REGULAR,substitution,out,[],1627751,,,1610612761,12,10,2025-11-08T00:55:32Z,540000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M06.00S,2025-11-08T00:55:25.3Z,1,REGULAR,substitution,in,[],1631243,,,1610612761,12,10,2025-11-08T00:55:32Z,550000,False,,,0,,SUB in: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M06.00S,2025-11-08T00:55:25.3Z,1,REGULAR,substitution,in,[],1630572,,,1610612761,12,10,2025-11-08T00:55:32Z,560000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M06.00S,2025-11-08T00:55:46.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630193,,,1610612761,12,11,2025-11-08T00:55:46Z,570000,False,,,0,,I. Quickley Free Throw 2 of 2 (1 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
58,PT06M51.00S,2025-11-08T00:56:04.0Z,1,REGULAR,3pt,Jump Shot,[],1642258,27.151773981603156,18.627450980392158,1610612737,12,11,2025-11-08T00:56:10Z,580000,False,157.0,203.0,1,left,MISS Z. Risacher 25' step back 3PT,[1642258],1610612737.0,ATL,step back,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,25.63,Missed,,,,,,,,,,,,,,,,,,
59,PT06M48.00S,2025-11-08T00:56:07.0Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,12,11,2025-11-08T00:56:10Z,590000,False,,,0,,I. Quickley REBOUND (Off:0 Def:2),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,
60,PT06M43.00S,2025-11-08T00:56:11.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629628,67.62483574244416,46.07843137254902,1610612761,12,11,2025-11-08T00:57:46Z,600000,False,-20.0,252.0,1,right,MISS R. Barrett 25' running 3PT,[1629628],1610612761.0,TOR,running,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Center,25.26,Missed,,,,,,,,,,,,,,,,,,
61,PT06M41.00S,2025-11-08T00:56:13.3Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,12,11,2025-11-08T00:56:17Z,610000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,
62,PT06M32.00S,2025-11-08T00:56:23.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,11.12023653088042,54.41176470588235,1610612737,12,11,2025-11-08T00:59:29Z,620000,False,-22.0,52.0,1,left,MISS O. Okongwu turnaround Hook - blocked,"[1630168, 1630567]",1610612737.0,ATL,turnaround,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,5.65,Missed,,,,,,,,,Barnes,1630567.0,,,,,,,,
63,PT06M32.00S,2025-11-08T00:56:23.1Z,1,REGULAR,block,,[],1630567,,,1610612737,12,11,2025-11-08T00:56:26Z,630000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT06M29.00S,2025-11-08T00:56:26.1Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,12,11,2025-11-08T00:56:30Z,640000,False,,,0,,I. Quickley REBOUND (Off:0 Def:3),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,,62.0,3.0,3.0,0.0,,,,,,,,,,,,,
65,PT06M26.00S,2025-11-08T00:56:28.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629628,92.32917214191852,46.81372549019608,1610612761,12,11,2025-11-08T01:00:08Z,650000,False,-16.0,20.0,1,right,MISS R. Barrett driving Layup,[1629628],1610612761.0,TOR,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,2.52,Missed,,,,,,,,,,,,,,,,,,
66,PT06M23.00S,2025-11-08T00:56:31.9Z,1,REGULAR,rebound,defensive,[],1631243,,,1610612737,12,11,2025-11-08T00:56:37Z,660000,False,,,0,,M. Gueye REBOUND (Off:0 Def:1),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,
67,PT06M12.00S,2025-11-08T00:56:43.8Z,1,REGULAR,3pt,Jump Shot,[],1631243,9.017739816031538,4.411764705882353,1610612737,12,11,2025-11-08T00:56:49Z,670000,False,228.0,32.0,1,left,MISS M. Gueye 3PT,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Right Corner 3,24+ Right,23.02,Missed,,,,,,,,,,,,,,,,,,
68,PT06M08.00S,2025-11-08T00:56:47.8Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,12,11,2025-11-08T00:56:49Z,680000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,
69,PT06M03.00S,2025-11-08T00:56:51.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630193,73.40670170827858,17.647058823529413,1610612761,12,11,2025-11-08T00:57:00Z,690000,False,-162.0,197.0,1,right,MISS I. Quickley 25' running pullup 3PT,[1630193],1610612761.0,TOR,running pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,25.53,Missed,,,,,,,,,,,,,,,,,,
70,PT06M01.00S,2025-11-08T00:56:53.4Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,12,11,2025-11-08T00:57:00Z,700000,False,,,0,,J. Johnson REBOUND (Off:0 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,69.0,2.0,2.0,0.0,,,,,,,,,,,,,
71,PT05M54.00S,2025-11-08T00:57:01.7Z,1,REGULAR,3pt,Jump Shot,[],1629638,13.354139290407357,93.87254901960785,1610612737,15,11,2025-11-08T00:57:07Z,710000,False,-219.0,73.0,1,left,N. Alexander-Walker 3PT  (5 PTS) (J. Johnson 1 AST),"[1629638, 1630552]",1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Left Corner 3,24+ Left,23.12,Made,5.0,,,,,,,,,,,,,,,J. Johnson,1630552.0,1.0
73,PT05M37.00S,2025-11-08T00:57:18.3Z,1,REGULAR,3pt,Jump Shot,[],1630193,65.65374507227332,60.78431372549019,1610612761,15,14,2025-11-08T00:57:24Z,730000,False,54.0,270.0,1,right,I. Quickley 27' 3PT  (4 PTS) (S. Mamukelashvili 1 AST),"[1630193, 1630572]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,27.57,Made,4.0,,,,,,,,,,,,,,,S. Mamukelashvili,1630572.0,1.0
75,PT05M17.00S,2025-11-08T00:57:37.8Z,1,REGULAR,2pt,Jump Shot,[],1630552,13.222733245729303,24.509803921568626,1610612737,17,14,2025-11-08T00:57:44Z,750000,False,127.0,72.0,1,left,J. Johnson 14' turnaround bank Jump Shot (6 PTS),[1630552],1610612737.0,ATL,turnaround bank,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Right,14.63,Made,6.0,,,,,,,,,,,,,,,,,
76,PT04M58.00S,2025-11-08T00:57:56.7Z,1,REGULAR,2pt,Jump Shot,[],1630193,84.97043363994744,10.294117647058822,1610612761,17,16,2025-11-08T00:58:03Z,760000,False,-199.0,89.0,1,right,I. Quickley 21' Jump Shot (6 PTS) (R. Barrett 1 AST),"[1630193, 1629628]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,16-24 Left,21.75,Made,6.0,,,,,,,,,,,,,,,R. Barrett,1629628.0,1.0
78,PT04M45.00S,2025-11-08T00:58:09.7Z,1,REGULAR,3pt,Jump Shot,[],1630552,32.40801576872536,58.82352941176471,1610612737,17,16,2025-11-08T01:02:22Z,780000,False,-44.0,252.0,1,left,MISS J. Johnson 25' step back 3PT,[1630552],1610612737.0,ATL,step back,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,25.59,Missed,,,,,,,,,,,,,,,,,,
79,PT04M44.00S,2025-11-08T00:58:10.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,17,16,2025-11-08T00:58:15Z,790000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Center,,,,78.0,,,,,,,,,,,,,,,,
81,PT04M44.00S,2025-11-08T00:58:19.6Z,1,REGULAR,substitution,out,[],1642258,,,1610612737,17,16,2025-11-08T00:58:34Z,810000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M44.00S,2025-11-08T00:58:19.6Z,1,REGULAR,substitution,out,[],1630567,,,1610612737,17,16,2025-11-08T00:58:34Z,820000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M44.00S,2025-11-08T00:58:19.6Z,1,REGULAR,substitution,out,[],1630193,,,1610612737,17,16,2025-11-08T00:58:34Z,830000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M44.00S,2025-11-08T00:58:19.6Z,1,REGULAR,substitution,in,[],1630249,,,1610612737,17,16,2025-11-08T00:58:34Z,840000,False,,,0,,SUB in: V. Krejčí,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,,,,,,,,,,,,,,,,,,,,,,
