actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
15,PT10M26.00S,2025-12-20T00:41:59.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630168,67.23061760840999,44.36274509803921,1610612737,0,2,2025-12-20T00:42:08Z,150000,False,-28.0,256.0,1,right,MISS O. Okongwu 25' running 3PT,[1630168],1610612737.0,ATL,running,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,25.71,Missed,,,,,,,,,,,,,,,,,,
16,PT10M21.00S,2025-12-20T00:42:04.2Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,0,2,2025-12-20T00:42:08Z,160000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M13.00S,2025-12-20T00:42:16.0Z,1,REGULAR,turnover,out-of-bounds,[],1628436,,,1610612759,0,2,2025-12-20T00:58:30Z,170000,False,,,0,,L. Kornet lost ball out-of-bounds TURNOVER (1 TO),[1628436],1610612759.0,SAS,lost ball,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,,202041.0,1.0,,,,,,,,,,,,,,,
18,PT10M03.00S,2025-12-20T00:42:34.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629638,69.72733245729303,23.284313725490197,1610612737,0,2,2025-12-20T00:42:40Z,180000,False,-134.0,232.0,1,right,MISS N. Alexander-Walker 26' 3PT,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Left Center,26.78,Missed,,,,,,,,,,,,,,,,,,
19,PT09M59.00S,2025-12-20T00:42:38.9Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612759,0,2,2025-12-20T00:42:40Z,190000,False,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Left Center,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT09M56.00S,2025-12-20T00:42:41.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,25.706307490144546,17.647058823529413,1610612759,0,5,2025-12-20T00:42:47Z,200000,False,162.0,189.0,1,left,D. Vassell 24' 3PT running pullup (3 PTS) (D. Fox 1 AST),"[1630170, 1628368]",1610612759.0,SAS,running pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,24.89,Made,3.0,,,,,,,,,D. Fox,1628368.0,1.0,,,,,,
22,PT09M47.00S,2025-12-20T00:42:50.4Z,1,REGULAR,3pt,Jump Shot,[],1642258,91.40932982917214,96.81372549019608,1610612737,3,5,2025-12-20T00:42:55Z,220000,False,234.0,28.0,1,right,Z. Risacher 3PT  (3 PTS) (N. Alexander-Walker 1 AST),"[1642258, 1629638]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Right Corner 3,24+ Right,23.58,Made,3.0,,,,,,,,,N. Alexander-Walker,1629638.0,1.0,,,,,,
140,PT09M36.00S,2025-12-20T00:43:05.4Z,1,REGULAR,turnover,lost ball,[],1642264,,,1610612759,3,5,2025-12-20T00:59:52Z,265000,False,,,0,,S. Castle lost ball TURNOVER (2 TO),"[1642264, 1630552]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,In The Paint (Non-RA),8-16 Center,,,,,2.0,Johnson,1630552.0,,,,,,,,,,,,,
141,PT09M36.00S,2025-12-20T00:43:05.4Z,1,REGULAR,steal,,[],1630552,,,1610612737,3,5,2025-12-20T00:59:52Z,267500,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M29.00S,2025-12-20T00:43:09.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630168,70.64717477003943,76.7156862745098,1610612737,6,5,2025-12-20T00:59:52Z,270000,False,134.0,223.0,1,right,O. Okongwu 26' 3PT running (3 PTS) (J. Johnson 1 AST),"[1630168, 1630552]",1610612737.0,ATL,running,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,26.03,Made,3.0,,,,,,,,,J. Johnson,1630552.0,1.0,,,,,,
29,PT09M19.00S,2025-12-20T00:43:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,5.206964520367937,52.450980392156865,1610612759,6,5,2025-12-20T00:43:28Z,290000,False,-12.0,-4.0,1,left,MISS D. Fox driving Layup,[1628368],1610612759.0,SAS,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,1.28,Missed,,,,,,,,,,,,,,,,,,
30,PT09M19.00S,2025-12-20T00:43:19.1Z,1,REGULAR,rebound,offensive,[],1628368,,,1610612759,6,5,2025-12-20T00:43:28Z,300000,False,,,0,,D. Fox REBOUND (Off:1 Def:0),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,,
31,PT09M15.00S,2025-12-20T00:43:23.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628368,5.590000152587891,50.0,1610612759,6,5,2025-12-20T00:43:23Z,310000,False,0.0,0.0,1,left,MISS D. Fox tip Layup,[1628368],1610612759.0,SAS,tip,,,Fox,D. Fox,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
32,PT09M14.00S,2025-12-20T00:43:23.7Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612737,6,5,2025-12-20T00:43:23Z,320000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,8-16 Left,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,
33,PT09M07.00S,2025-12-20T00:43:30.8Z,1,REGULAR,3pt,Jump Shot,[],1642258,72.7496714848883,19.11764705882353,1610612737,6,5,2025-12-20T00:43:35Z,330000,False,-154.0,204.0,1,right,MISS Z. Risacher 25' step back 3PT,[1642258],1610612737.0,ATL,step back,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,25.56,Missed,,,,,,,,,,,,,,,,,,
34,PT09M04.00S,2025-12-20T00:43:33.8Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,6,5,2025-12-20T00:43:35Z,340000,False,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,
35,PT08M56.00S,2025-12-20T00:43:42.5Z,1,REGULAR,3pt,Jump Shot,[],1630170,10.85742444152431,3.9215686274509802,1610612759,6,8,2025-12-20T00:43:48Z,350000,False,230.0,50.0,1,left,D. Vassell 3PT  (6 PTS) (D. Fox 2 AST),"[1630170, 1628368]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,23.57,Made,6.0,,,,,,,,,D. Fox,1628368.0,2.0,,,,,,
37,PT08M39.00S,2025-12-20T00:43:58.9Z,1,REGULAR,3pt,Jump Shot,[],1630700,88.25558475689881,97.30392156862744,1610612737,6,8,2025-12-20T00:44:04Z,370000,False,237.0,58.0,1,right,MISS D. Daniels 24' 3PT,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Right Corner 3,24+ Right,24.35,Missed,,,,,,,,,,,,,,,,,,
38,PT08M35.00S,2025-12-20T00:44:02.9Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612759,6,8,2025-12-20T00:44:04Z,380000,False,,,0,,L. Kornet REBOUND (Off:0 Def:2),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Right Corner 3,24+ Right,,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,
39,PT08M28.00S,2025-12-20T00:44:09.7Z,1,REGULAR,3pt,Jump Shot,[],1630170,23.078186596583443,13.725490196078432,1610612759,6,8,2025-12-20T00:44:15Z,390000,False,181.0,164.0,1,left,MISS D. Vassell 24' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,24.48,Missed,,,,,,,,,,,,,,,,,,
40,PT08M26.00S,2025-12-20T00:44:11.7Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612759,6,8,2025-12-20T00:44:15Z,400000,False,,,0,,L. Kornet REBOUND (Off:1 Def:2),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Right Center,,,,,,,,39.0,3.0,2.0,1.0,,,,,,,,,
41,PT08M22.00S,2025-12-20T00:44:16.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630170,31.488173455978973,41.66666666666667,1610612759,6,11,2025-12-20T00:44:21Z,410000,False,42.0,243.0,1,left,D. Vassell 24' 3PT  (9 PTS) (S. Castle 1 AST),"[1630170, 1642264]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,24.7,Made,9.0,,,,,,,,,S. Castle,1642264.0,1.0,,,,,,
43,PT08M04.00S,2025-12-20T00:44:34.0Z,1,REGULAR,turnover,bad pass,[],1630552,,,1610612737,6,11,2025-12-20T00:44:38Z,430000,False,,,0,,J. Johnson bad pass TURNOVER (1 TO),"[1630552, 1628436]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,1.0,Kornet,1628436.0,,,,,,,,,,,,,
44,PT08M04.00S,2025-12-20T00:44:34.0Z,1,REGULAR,steal,,[],1628436,,,1610612759,6,11,2025-12-20T00:44:36Z,440000,False,,,0,,L. Kornet STEAL (1 STL),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT07M53.00S,2025-12-20T00:44:45.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642264,4.155716162943495,97.30392156862744,1610612759,6,11,2025-12-20T00:44:50Z,450000,False,-237.0,-13.0,1,left,MISS S. Castle 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Left Corner 3,24+ Left,23.69,Missed,,,,,,,,,,,,,,,,,,
46,PT07M49.00S,2025-12-20T00:44:49.0Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,6,11,2025-12-20T00:44:50Z,460000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Left Corner 3,24+ Left,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,
47,PT07M43.00S,2025-12-20T00:44:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,90.75229960578186,53.431372549019606,1610612737,6,11,2025-12-20T00:45:01Z,470000,False,17.0,34.0,1,right,MISS J. Johnson alley-oop Layup,[1630552],1610612737.0,ATL,alley-oop,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,3.85,Missed,,,,,,,,,,,,,,,,,,
48,PT07M42.00S,2025-12-20T00:44:56.6Z,1,REGULAR,rebound,offensive,[],1630552,,,1610612737,6,11,2025-12-20T00:45:01Z,480000,False,,,0,,J. Johnson REBOUND (Off:1 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,47.0,2.0,1.0,1.0,,,,,,,,,
49,PT07M42.00S,2025-12-20T00:45:01.7Z,1,REGULAR,foul,personal,['2freethrow'],1628436,,,1610612737,6,11,2025-12-20T00:45:20Z,490000,False,,,0,,L. Kornet shooting personal FOUL (1 PF) (Johnson 2 FT),"[1628436, 1630552]",1610612759.0,SAS,shooting,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,,1193.0,,,,,,,,,,,1.0,0.0,Johnson,1630552.0,,
51,PT07M42.00S,2025-12-20T00:45:21.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630552,,,1610612737,7,11,2025-12-20T00:45:21Z,510000,False,,,0,,J. Johnson Free Throw 1 of 2 (1 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
52,PT07M42.00S,2025-12-20T00:45:40.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630552,,,1610612737,8,11,2025-12-20T00:45:40Z,520000,False,,,0,,J. Johnson Free Throw 2 of 2 (2 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
53,PT07M21.00S,2025-12-20T00:46:04.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628436,5.338370565045992,47.794117647058826,1610612759,8,13,2025-12-20T00:46:10Z,530000,False,11.0,-2.0,1,left,L. Kornet cutting DUNK (2 PTS) (S. Castle 2 AST),"[1628436, 1642264]",1610612759.0,SAS,cutting,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,1.12,Made,2.0,,,,,,,,,S. Castle,1642264.0,2.0,,,,,,
55,PT07M10.00S,2025-12-20T00:46:14.5Z,1,REGULAR,3pt,Jump Shot,[],1629638,85.3646517739816,95.58823529411765,1610612737,11,13,2025-12-20T00:46:19Z,550000,False,228.0,85.0,1,right,N. Alexander-Walker 24' 3PT  (3 PTS) (D. Daniels 1 AST),"[1629638, 1630700]",1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Right Corner 3,24+ Right,24.33,Made,3.0,,,,,,,,,D. Daniels,1630700.0,1.0,,,,,,
57,PT06M58.00S,2025-12-20T00:46:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628436,5.206964520367937,47.05882352941176,1610612759,11,13,2025-12-20T00:46:31Z,570000,False,15.0,-4.0,1,left,MISS L. Kornet alley-oop Layup,[1628436],1610612759.0,SAS,alley-oop,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,1.51,Missed,,,,,,,,,,,,,,,,,,
58,PT06M55.00S,2025-12-20T00:46:29.9Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612759,11,13,2025-12-20T00:46:31Z,580000,False,,,0,,L. Kornet REBOUND (Off:2 Def:2),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,,,,,,57.0,4.0,2.0,2.0,,,,,,,,,
59,PT06M55.00S,2025-12-20T00:46:30.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628436,5.590000152587891,50.0,1610612759,11,15,2025-12-20T00:46:30Z,590000,False,0.0,0.0,1,left,L. Kornet tip Layup (4 PTS),[1628436],1610612759.0,SAS,tip,,,Kornet,L. Kornet,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
60,PT06M46.00S,2025-12-20T00:46:38.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,85.23324572930355,41.66666666666667,1610612737,11,15,2025-12-20T00:46:43Z,600000,False,-42.0,86.0,1,right,MISS J. Johnson 9' driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,9.58,Missed,,,,,,,,,,,,,,,,,,
61,PT06M43.00S,2025-12-20T00:46:41.6Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612759,11,15,2025-12-20T00:46:43Z,610000,False,,,0,,D. Fox REBOUND (Off:1 Def:1),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,60.0,2.0,1.0,1.0,,,,,,,,,
62,PT06M41.00S,2025-12-20T00:46:44.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,26.62614980289093,76.7156862745098,1610612759,11,15,2025-12-20T00:46:50Z,620000,False,-134.0,198.0,1,left,MISS D. Vassell running pullup 3PT,[1630170],1610612759.0,SAS,running pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,23.87,Missed,,,,,,,,,,,,,,,,,,
63,PT06M38.00S,2025-12-20T00:46:47.5Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,11,15,2025-12-20T00:46:50Z,630000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,
64,PT06M29.00S,2025-12-20T00:46:56.6Z,1,REGULAR,3pt,Jump Shot,[],1629638,67.62483574244416,44.6078431372549,1610612737,11,15,2025-12-20T00:47:01Z,640000,False,-27.0,252.0,1,right,MISS N. Alexander-Walker 25' 3PT,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,25.32,Missed,,,,,,,,,,,,,,,,,,
65,PT06M25.00S,2025-12-20T00:47:00.6Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,11,15,2025-12-20T00:47:01Z,650000,False,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,
66,PT06M17.00S,2025-12-20T00:47:07.8Z,1,REGULAR,3pt,Jump Shot,[],1642264,11.777266754270697,2.2058823529411766,1610612759,11,18,2025-12-20T00:47:12Z,660000,False,239.0,58.0,1,left,S. Castle 24' 3PT  (3 PTS) (D. Fox 3 AST),"[1642264, 1628368]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Right Corner 3,24+ Right,24.6,Made,3.0,,,,,,,,,D. Fox,1628368.0,3.0,,,,,,
68,PT06M15.00S,2025-12-20T00:47:13.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,11,18,2025-12-20T00:47:13Z,680000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M15.00S,2025-12-20T00:49:22.5Z,1,REGULAR,substitution,out,[],1629638,,,1610612737,11,18,2025-12-20T00:50:05Z,690000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M15.00S,2025-12-20T00:49:22.5Z,1,REGULAR,substitution,out,[],1630168,,,1610612737,11,18,2025-12-20T00:50:05Z,700000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M15.00S,2025-12-20T00:49:22.5Z,1,REGULAR,substitution,out,[],1628436,,,1610612737,11,18,2025-12-20T00:50:05Z,710000,False,,,0,,SUB out: L. Kornet,[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M15.00S,2025-12-20T00:49:22.5Z,1,REGULAR,substitution,out,[],1628368,,,1610612737,11,18,2025-12-20T00:50:05Z,720000,False,,,0,,SUB out: D. Fox,[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M15.00S,2025-12-20T00:49:22.5Z,1,REGULAR,substitution,in,[],1631243,,,1610612737,11,18,2025-12-20T00:50:05Z,730000,False,,,0,,SUB in: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M15.00S,2025-12-20T00:49:22.5Z,1,REGULAR,substitution,in,[],1630249,,,1610612737,11,18,2025-12-20T00:50:05Z,740000,False,,,0,,SUB in: V. Krejčí,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M15.00S,2025-12-20T00:49:22.5Z,1,REGULAR,substitution,in,[],1641705,,,1610612737,11,18,2025-12-20T00:50:05Z,750000,False,,,0,,SUB in: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M15.00S,2025-12-20T00:49:22.5Z,1,REGULAR,substitution,in,[],1642844,,,1610612737,11,18,2025-12-20T00:50:05Z,760000,False,,,0,,SUB in: D. Harper,[1642844],1610612759.0,SAS,,,,Harper,D. Harper,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M01.00S,2025-12-20T00:50:30.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,82.47371879106439,43.627450980392155,1610612737,13,18,2025-12-20T00:50:36Z,770000,False,-32.0,112.0,1,right,D. Daniels 11' driving floating Jump Shot (2 PTS) (V. Krejčí 1 AST),"[1630700, 1630249]",1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,11.66,Made,2.0,,,,,,,,,V. Krejčí,1630249.0,1.0,,,,,,
79,PT05M45.00S,2025-12-20T00:50:49.0Z,1,REGULAR,foul,personal,['2freethrow'],1642258,,,1610612759,13,18,2025-12-20T00:51:10Z,790000,False,,,0,,Z. Risacher shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1642258, 1641705]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,202041.0,,,,,,,,,,,1.0,0.0,Wembanyama,1641705.0,,
81,PT05M45.00S,2025-12-20T00:51:17.9Z,1,REGULAR,freethrow,1 of 2,[],1641705,,,1610612759,13,18,2025-12-20T00:51:17Z,810000,False,,,0,,MISS V. Wembanyama Free Throw 1 of 2,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
82,PT05M45.00S,2025-12-20T00:51:17.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,13,18,2025-12-20T00:51:17Z,820000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,
