actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
31,PT08M51.00S,2026-01-18T00:44:39.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,25.443495400788436,81.12745098039215,1610612738,2,5,2026-01-18T00:44:44Z,310000,False,-156.0,187.0,1,left,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,24.3,Missed,,,,,,,,,,,,,,,,,,
32,PT08M47.00S,2026-01-18T00:44:43.1Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,2,5,2026-01-18T00:44:44Z,320000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT08M44.00S,2026-01-18T00:44:45.9Z,1,REGULAR,turnover,lost ball,[],1630552,,,1610612737,2,5,2026-01-18T00:44:50Z,330000,False,,,0,,J. Johnson lost ball TURNOVER (1 TO),"[1630552, 1628401]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,16-24 Center,,,,,,,,,1.0,,,,,,,,,,White,1628401.0
34,PT08M44.00S,2026-01-18T00:44:45.9Z,1,REGULAR,steal,,[],1628401,,,1610612738,2,5,2026-01-18T00:49:32Z,340000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
35,PT08M35.00S,2026-01-18T00:44:54.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,7.5722733245729295,50.0,1610612738,2,7,2026-01-18T00:45:02Z,350000,False,0.0,19.0,1,left,J. Brown driving floating Jump Shot (2 PTS) (S. Hauser 1 AST),"[1627759, 1630573]",1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.87,Made,,,,,2.0,,,,,S. Hauser,1630573.0,1.0,,,,,,
37,PT08M21.00S,2026-01-18T00:45:09.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630168,81.15965834428384,50.98039215686274,1610612737,4,7,2026-01-18T00:45:14Z,370000,False,5.0,125.0,1,right,O. Okongwu 12' driving floating Jump Shot (2 PTS) (C. McCollum 1 AST),"[1630168, 203468]",1610612737.0,ATL,driving floating,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,12.47,Made,,,,,2.0,,,,,C. McCollum,203468.0,1.0,,,,,,
39,PT08M02.00S,2026-01-18T00:45:27.5Z,1,REGULAR,3pt,Jump Shot,[],1630573,5.469776609724048,97.05882352941177,1610612738,4,10,2026-01-18T00:45:33Z,390000,False,-235.0,-1.0,1,left,S. Hauser 3PT  (3 PTS) (B. Scheierman 1 AST),"[1630573, 1631248]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,23.53,Made,,,,,3.0,,,,,B. Scheierman,1631248.0,1.0,,,,,,
41,PT08M01.00S,2026-01-18T00:45:33.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,4,10,2026-01-18T00:45:33Z,410000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M43.00S,2026-01-18T00:48:44.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630249,82.86793692509855,56.86274509803921,1610612737,4,10,2026-01-18T00:48:50Z,420000,False,34.0,109.0,1,right,MISS V. Krejčí 11' pullup Shot,[1630249],1610612737.0,ATL,pullup,,,Krejčí,V. Krejčí,,,,,In The Paint (Non-RA),8-16 Center,11.38,Missed,,,,,,,,,,,,,,,,,,
46,PT07M40.00S,2026-01-18T00:48:47.7Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,4,10,2026-01-18T00:48:50Z,430000,False,,,0,,N. Queta REBOUND (Off:1 Def:2),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),8-16 Center,,,45.0,3.0,2.0,1.0,,,,,,,,,,,,,,
47,PT07M29.00S,2026-01-18T00:48:59.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,18.610381077529567,42.15686274509804,1610612738,4,10,2026-01-18T00:53:02Z,440000,False,39.0,122.0,1,left,MISS J. Brown 12' pullup Shot - blocked,"[1627759, 203468]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,12.85,Missed,,,,,,,,McCollum,203468.0,,,,,,,,,
48,PT07M29.00S,2026-01-18T00:48:59.5Z,1,REGULAR,block,,[],203468,,,1610612738,4,10,2026-01-18T00:49:02Z,450000,False,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
49,PT07M26.00S,2026-01-18T00:49:02.5Z,1,REGULAR,rebound,defensive,[],203468,,,1610612737,4,10,2026-01-18T00:49:05Z,460000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,
50,PT07M24.00S,2026-01-18T00:49:04.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629638,92.9862023653088,51.9607843137255,1610612737,6,10,2026-01-18T00:49:11Z,470000,False,10.0,13.0,1,right,N. Alexander-Walker running Layup (2 PTS) (C. McCollum 2 AST),"[1629638, 203468]",1610612737.0,ATL,running,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,1.66,Made,,,,,2.0,,,,,C. McCollum,203468.0,2.0,,,,,,
52,PT07M06.00S,2026-01-18T00:49:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,5.732588699080158,47.30392156862745,1610612738,6,12,2026-01-18T00:49:26Z,490000,False,13.0,1.0,1,left,J. Brown driving Layup (4 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.36,Made,,,,,4.0,,,,,,,,,,,,,
53,PT06M50.00S,2026-01-18T00:49:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,80.50262812089356,50.245098039215684,1610612737,6,12,2026-01-18T00:49:44Z,500000,False,1.0,131.0,1,right,MISS C. McCollum 13' fadeaway Shot,[203468],1610612737.0,ATL,fadeaway,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,13.08,Missed,,,,,,,,,,,,,,,,,,
54,PT06M47.00S,2026-01-18T00:49:40.8Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,6,12,2026-01-18T00:49:44Z,510000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,
55,PT06M39.00S,2026-01-18T00:49:48.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,16.245072273324574,53.92156862745098,1610612738,6,14,2026-01-18T00:49:54Z,520000,False,-20.0,100.0,1,left,J. Brown 10' pullup Jump Shot (6 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,10.21,Made,,,,,6.0,,,,,D. White,1628401.0,1.0,,,,,,
57,PT06M20.00S,2026-01-18T00:50:07.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,87.59855453350855,56.86274509803921,1610612737,6,14,2026-01-18T00:50:16Z,540000,False,34.0,64.0,1,right,MISS J. Johnson 7' driving floating Shot - blocked,"[1630552, 1630573]",1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,7.27,Missed,,,,,,,,Hauser,1630573.0,,,,,,,,,
58,PT06M20.00S,2026-01-18T00:50:07.2Z,1,REGULAR,block,,[],1630573,,,1610612737,6,14,2026-01-18T00:50:10Z,550000,False,,,0,,S. Hauser BLOCK (1 BLK),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT06M17.00S,2026-01-18T00:50:10.2Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,6,14,2026-01-18T00:50:16Z,560000,False,,,0,,S. Hauser REBOUND (Off:0 Def:2),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),0-8 Center,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT06M15.00S,2026-01-18T00:50:12.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631248,27.54599211563732,22.794117647058822,1610612738,6,14,2026-01-18T00:50:20Z,570000,False,136.0,206.0,1,left,MISS B. Scheierman 24' running 3PT,[1631248],1610612738.0,BOS,running,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Right Center,24.72,Missed,,,,,,,,,,,,,,,,,,
61,PT06M12.00S,2026-01-18T00:50:15.9Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612737,6,14,2026-01-18T00:50:20Z,580000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right Center,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,,
62,PT06M05.00S,2026-01-18T00:50:22.8Z,1,REGULAR,3pt,Jump Shot,[],1629638,74.06373193166885,14.705882352941178,1610612737,9,14,2026-01-18T00:50:28Z,590000,False,-176.0,191.0,1,right,N. Alexander-Walker 26' 3PT  (5 PTS) (J. Johnson 1 AST),"[1629638, 1630552]",1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Left Center,26.03,Made,,,,,5.0,,,,,J. Johnson,1630552.0,1.0,,,,,,
64,PT05M47.00S,2026-01-18T00:50:40.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629674,6.652431011826544,48.529411764705884,1610612738,9,14,2026-01-18T00:50:45Z,610000,False,7.0,10.0,1,left,MISS N. Queta cutting Layup,[1629674],1610612738.0,BOS,cutting,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,1.24,Missed,,,,,,,,,,,,,,,,,,
66,PT05M45.00S,2026-01-18T00:50:42.2Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,9,14,2026-01-18T00:50:45Z,630000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
67,PT05M37.00S,2026-01-18T00:50:51.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630168,82.7365308804205,50.49019607843137,1610612737,11,14,2026-01-18T00:55:21Z,640000,False,2.0,110.0,1,right,O. Okongwu 10' driving floating Jump Shot (4 PTS),[1630168],1610612737.0,ATL,driving floating,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,10.98,Made,,,,,4.0,,,,,,,,,,,,,
68,PT05M36.00S,2026-01-18T00:50:56.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,11,14,2026-01-18T00:50:56Z,650000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,out,[],1629638,,,1610612738,11,14,2026-01-18T00:53:45Z,660000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,out,[],1630249,,,1610612738,11,14,2026-01-18T00:53:45Z,670000,False,,,0,,SUB out: V. Krejčí,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,out,[],1630168,,,1610612738,11,14,2026-01-18T00:53:45Z,680000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,out,[],1630573,,,1610612738,11,14,2026-01-18T00:53:45Z,690000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,out,[],1629674,,,1610612738,11,14,2026-01-18T00:53:45Z,700000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,out,[],1631248,,,1610612738,11,14,2026-01-18T00:53:45Z,710000,False,,,0,,SUB out: B. Scheierman,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,11,14,2026-01-18T00:53:45Z,720000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,in,[],1631243,,,1610612738,11,14,2026-01-18T00:53:45Z,730000,False,,,0,,SUB in: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,in,[],1628379,,,1610612738,11,14,2026-01-18T00:53:45Z,740000,False,,,0,,SUB in: L. Kennard,[1628379],1610612737.0,ATL,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,in,[],1630811,,,1610612738,11,14,2026-01-18T00:53:45Z,750000,False,,,0,,SUB in: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,in,[],1630568,,,1610612738,11,14,2026-01-18T00:53:45Z,760000,False,,,0,,SUB in: L. Garza,[1630568],1610612738.0,BOS,,,,Garza,L. Garza,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,in,[],1642864,,,1610612738,11,14,2026-01-18T00:53:45Z,770000,False,,,0,,SUB in: H. González,[1642864],1610612738.0,BOS,,,,González,H. González,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,in,[],1629014,,,1610612738,11,14,2026-01-18T00:53:45Z,780000,False,,,0,,SUB in: A. Simons,[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M36.00S,2026-01-18T00:53:15.8Z,1,REGULAR,substitution,in,[],1641775,,,1610612738,11,14,2026-01-18T00:53:45Z,790000,False,,,0,,SUB in: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M14.00S,2026-01-18T00:54:20.2Z,1,REGULAR,2pt,Jump Shot,[],1627759,5.863994743758213,73.2843137254902,1610612738,11,14,2026-01-18T00:54:26Z,800000,False,-116.0,3.0,1,left,MISS J. Brown 11' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,11.64,Missed,,,,,,,,,,,,,,,,,,
