actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
17,PT10M25.00S,2026-04-06T23:14:53.0Z,1,REGULAR,foul,personal,['2freethrow'],1628404,,,1610612737,5,3,2026-04-06T23:15:33Z,170000,False,,,0,,J. Hart shooting personal FOUL (1 PF) (Okongwu 2 FT),"[1628404, 1630168]",1610612752.0,NYK,shooting,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2002.0,,,,1.0,0.0,Okongwu,1630168.0,,
19,PT10M25.00S,2026-04-06T23:15:33.8Z,1,REGULAR,freethrow,1 of 2,[],1630168,,,1610612737,6,3,2026-04-06T23:15:33Z,190000,False,,,0,,O. Okongwu Free Throw 1 of 2 (3 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
20,PT10M25.00S,2026-04-06T23:15:48.1Z,1,REGULAR,freethrow,2 of 2,[],1630168,,,1610612737,7,3,2026-04-06T23:15:48Z,200000,False,,,0,,O. Okongwu Free Throw 2 of 2 (4 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,,,,,,,,4.0,,,,,,,,,,
21,PT10M13.00S,2026-04-06T23:16:02.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628969,5.338370565045992,50.245098039215684,1610612752,7,5,2026-04-06T23:16:07Z,210000,False,-1.0,-2.0,1,left,M. Bridges cutting DUNK (2 PTS) (K. Towns 1 AST),"[1628969, 1626157]",1610612752.0,NYK,cutting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,0.26,Made,,,,,,,,2.0,,K. Towns,1626157.0,1.0,,,,,,
23,PT10M00.00S,2026-04-06T23:16:14.9Z,1,REGULAR,3pt,Jump Shot,[],1630552,71.30420499342969,80.63725490196079,1610612737,10,5,2026-04-06T23:16:19Z,230000,False,153.0,217.0,1,right,J. Johnson 26' 3PT  (3 PTS) (C. McCollum 2 AST),"[1630552, 203468]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,26.58,Made,,,,,,,,3.0,,C. McCollum,203468.0,2.0,,,,,,
25,PT09M41.00S,2026-04-06T23:16:34.1Z,1,REGULAR,3pt,Jump Shot,[],1628384,30.305519053876477,68.13725490196079,1610612752,10,8,2026-04-06T23:16:38Z,250000,False,-91.0,232.0,1,left,O. Anunoby 24' 3PT  (3 PTS) (M. Bridges 1 AST),"[1628384, 1628969]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,24.95,Made,,,,,,,,3.0,,M. Bridges,1628969.0,1.0,,,,,,
27,PT09M30.00S,2026-04-06T23:16:46.6Z,1,REGULAR,turnover,out-of-bounds,[],1630552,,,1610612737,10,8,2026-04-06T23:16:53Z,270000,False,,,0,,J. Johnson bad pass out-of-bounds TURNOVER (1 TO),[1630552],1610612737.0,ATL,bad pass,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Right,,,,,,,1.0,,,,1626300.0,,,,,,,,,
28,PT09M09.00S,2026-04-06T23:17:13.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628969,4.812746386333772,50.73529411764706,1610612752,10,10,2026-04-06T23:17:18Z,280000,False,-4.0,-7.0,1,left,M. Bridges cutting DUNK (4 PTS) (K. Towns 2 AST),"[1628969, 1626157]",1610612752.0,NYK,cutting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,0.82,Made,,,,,,,,4.0,,K. Towns,1626157.0,2.0,,,,,,
30,PT08M58.00S,2026-04-06T23:17:23.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,92.32917214191852,47.05882352941176,1610612737,10,10,2026-04-06T23:17:27Z,300000,False,-15.0,20.0,1,right,MISS C. McCollum driving floating bank Shot,[203468],1610612737.0,ATL,driving floating bank,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
31,PT08M56.00S,2026-04-06T23:17:25.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,10,10,2026-04-06T23:17:27Z,310000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT08M54.00S,2026-04-06T23:17:29.4Z,1,REGULAR,turnover,out-of-bounds,[],1628973,,,1610612752,10,10,2026-04-06T23:17:35Z,320000,False,,,0,,J. Brunson bad pass out-of-bounds TURNOVER (1 TO),[1628973],1610612752.0,NYK,bad pass,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,,,,,,,1.0,,,,2002.0,,,,,,,,,
33,PT08M44.00S,2026-04-06T23:17:45.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630552,66.96780551905388,60.29411764705882,1610612737,10,10,2026-04-06T23:17:51Z,330000,False,51.0,258.0,1,right,MISS J. Johnson 26' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,26.31,Missed,,,,,,,,,,,,,,,,,,
34,PT08M42.00S,2026-04-06T23:17:50.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,10,10,2026-04-06T23:17:50Z,340000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Center,,,33.0,,,,,,,,,,,,,,,,,
35,PT08M42.00S,2026-04-06T23:17:51.6Z,1,REGULAR,foul,personal,[],1628969,,,1610612737,10,10,2026-04-06T23:17:57Z,350000,False,,,0,,M. Bridges loose ball personal FOUL (1 PF),"[1628969, 1629638]",1610612752.0,NYK,loose ball,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204058.0,,,,1.0,0.0,Alexander-Walker,1629638.0,,
37,PT08M40.00S,2026-04-06T23:18:11.0Z,1,REGULAR,turnover,bad pass,[],1630552,,,1610612737,10,10,2026-04-06T23:18:16Z,370000,False,,,0,,J. Johnson bad pass TURNOVER (2 TO),"[1630552, 1626157]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,2.0,Towns,1626157.0,,,,,,,,,,,
38,PT08M40.00S,2026-04-06T23:18:11.0Z,1,REGULAR,steal,,[],1626157,,,1610612752,10,10,2026-04-06T23:18:12Z,380000,False,,,0,,K. Towns STEAL (1 STL),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
39,PT08M40.00S,2026-04-06T23:18:14.9Z,1,REGULAR,turnover,out-of-bounds,[],1626157,,,1610612752,10,10,2026-04-06T23:18:20Z,390000,False,,,0,,K. Towns lost ball out-of-bounds TURNOVER (2 TO),[1626157],1610612752.0,NYK,lost ball,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,,2.0,,,,204058.0,,,,,,,,,
40,PT08M22.00S,2026-04-06T23:18:42.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630552,83.13074901445466,45.83333333333333,1610612737,10,10,2026-04-06T23:18:48Z,400000,False,-21.0,106.0,1,right,MISS J. Johnson 10' driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,10.81,Missed,,,,,,,,,,,,,,,,,,
41,PT08M19.00S,2026-04-06T23:18:45.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,10,10,2026-04-06T23:18:48Z,410000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,
42,PT08M13.00S,2026-04-06T23:18:53.4Z,1,REGULAR,foul,personal,['2freethrow'],1630700,,,1610612752,10,10,2026-04-06T23:19:29Z,420000,False,,,0,,D. Daniels shooting personal FOUL (1 PF) (Brunson 2 FT),"[1630700, 1628973]",1610612737.0,ATL,shooting,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204058.0,,,,1.0,0.0,Brunson,1628973.0,,
44,PT08M13.00S,2026-04-06T23:19:39.0Z,1,REGULAR,freethrow,1 of 2,[],1628973,,,1610612752,10,10,2026-04-06T23:19:39Z,440000,False,,,0,,MISS J. Brunson Free Throw 1 of 2,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
45,PT08M13.00S,2026-04-06T23:19:39.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,10,10,2026-04-06T23:19:39Z,450000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,
46,PT08M13.00S,2026-04-06T23:20:01.4Z,1,REGULAR,freethrow,2 of 2,[],1628973,,,1610612752,10,11,2026-04-06T23:20:01Z,460000,False,,,0,,J. Brunson Free Throw 2 of 2 (1 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
47,PT07M57.00S,2026-04-06T23:20:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,88.78120893561103,51.9607843137255,1610612737,10,11,2026-04-06T23:20:24Z,470000,False,10.0,53.0,1,right,MISS J. Johnson driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,5.39,Missed,,,,,,,,,,,,,,,,,,
48,PT07M55.00S,2026-04-06T23:20:21.5Z,1,REGULAR,rebound,offensive,[],1630552,,,1610612737,10,11,2026-04-06T23:36:05Z,480000,False,,,0,,J. Johnson REBOUND (Off:1 Def:0),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,47.0,1.0,0.0,1.0,,,,,,,,,,,,,,
49,PT07M55.00S,2026-04-06T23:20:22.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630552,92.06636005256242,49.50980392156863,1610612737,10,11,2026-04-06T23:35:54Z,482500,False,-2.0,22.0,1,right,MISS J. Johnson putback Layup,[1630552],1610612737.0,ATL,putback,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,2.22,Missed,,,,,,,,,,,,,,,,,,
50,PT07M54.00S,2026-04-06T23:20:23.8Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,10,11,2026-04-06T23:35:54Z,483750,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,49.0,1.0,0.0,1.0,,,,,,,,,,,,,,
112,PT07M54.00S,2026-04-06T23:20:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630700,87.99277266754271,41.42156862745098,1610612737,10,11,2026-04-06T23:34:33Z,485000,False,-43.0,60.0,1,right,MISS D. Daniels 7' tip Layup,[1630700],1610612737.0,ATL,tip,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,7.41,Missed,,,,,,,,,,,,,,,,,,
113,PT07M49.00S,2026-04-06T23:20:31.3Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,10,11,2026-04-06T23:34:33Z,487500,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,112.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT07M39.00S,2026-04-06T23:20:36.9Z,1,REGULAR,2pt,Jump Shot,[],1628973,22.552562417871222,70.58823529411765,1610612752,10,13,2026-04-06T23:20:41Z,510000,False,-103.0,159.0,1,left,J. Brunson 18' pullup Jump Shot (3 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,18.98,Made,,,,,,,,3.0,,,,,,,,,,
52,PT07M26.00S,2026-04-06T23:20:52.1Z,1,REGULAR,foul,personal,[],1628973,,,1610612737,10,13,2026-04-06T23:20:59Z,520000,False,,,0,,J. Brunson personal FOUL (1 PF),"[1628973, 1630168]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,204058.0,,,,1.0,0.0,Okongwu,1630168.0,,
54,PT07M26.00S,2026-04-06T23:21:07.0Z,1,REGULAR,substitution,out,[],1628969,,,1610612737,10,13,2026-04-06T23:21:12Z,540000,False,,,0,,SUB out: M. Bridges,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M26.00S,2026-04-06T23:21:07.0Z,1,REGULAR,substitution,in,[],1630540,,,1610612737,10,13,2026-04-06T23:21:12Z,550000,False,,,0,,SUB in: M. McBride,[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M16.00S,2026-04-06T23:21:34.9Z,1,REGULAR,foul,offensive,[],1630168,,,1610612737,10,13,2026-04-06T23:21:43Z,560000,False,,,0,,O. Okongwu off-the-ball offensive FOUL (1 PF),"[1630168, 1628973]",1610612737.0,ATL,off-the-ball,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,2002.0,,,,1.0,0.0,Brunson,1628973.0,,
58,PT07M16.00S,2026-04-06T23:21:34.9Z,1,REGULAR,turnover,offensive foul,[],1630168,,,1610612737,10,13,2026-04-06T23:21:34Z,580000,False,,,0,,O. Okongwu offensive foul TURNOVER (1 TO),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,,,,2002.0,,,,,,,,,
59,PT06M51.00S,2026-04-06T23:22:10.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628404,31.09395532194481,42.40196078431372,1610612752,10,13,2026-04-06T23:22:14Z,590000,False,38.0,240.0,1,left,MISS J. Hart 24' step back 3PT,[1628404],1610612752.0,NYK,step back,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,24.28,Missed,,,,,,,,,,,,,,,,,,
60,PT06M49.00S,2026-04-06T23:22:13.3Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,10,13,2026-04-06T23:22:13Z,600000,False,,,0,,D. Daniels REBOUND (Off:1 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,59.0,2.0,1.0,1.0,,,,,,,,,,,,,,
61,PT06M39.00S,2026-04-06T23:22:22.5Z,1,REGULAR,2pt,Jump Shot,[],203468,75.3777923784494,50.245098039215684,1610612737,10,13,2026-04-06T23:22:26Z,610000,False,1.0,179.0,1,right,MISS C. McCollum 17' pullup Shot,[203468],1610612737.0,ATL,pullup,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,17.89,Missed,,,,,,,,,,,,,,,,,,
62,PT06M36.00S,2026-04-06T23:22:25.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,10,13,2026-04-06T23:22:26Z,620000,False,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Center,,,61.0,3.0,3.0,0.0,,,,,,,,,,,,,,
63,PT06M35.00S,2026-04-06T23:22:29.9Z,1,REGULAR,foul,personal,[],203468,,,1610612752,10,13,2026-04-06T23:22:36Z,630000,False,,,0,,C. McCollum personal FOUL (1 PF),"[203468, 1628384]",1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2002.0,,,,1.0,0.0,Anunoby,1628384.0,,
65,PT06M35.00S,2026-04-06T23:22:38.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,10,13,2026-04-06T23:22:38Z,650000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M35.00S,2026-04-06T23:25:37.8Z,1,REGULAR,substitution,out,[],203468,,,1610612752,10,13,2026-04-06T23:26:05Z,660000,False,,,0,,SUB out: C. McCollum,[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M35.00S,2026-04-06T23:25:37.8Z,1,REGULAR,substitution,in,[],1629216,,,1610612752,10,13,2026-04-06T23:26:05Z,670000,False,,,0,,SUB in: G. Vincent,[1629216],1610612737.0,ATL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M24.00S,2026-04-06T23:26:34.3Z,1,REGULAR,3pt,Jump Shot,[],1630540,18.478975032851512,94.6078431372549,1610612752,10,16,2026-04-06T23:26:39Z,680000,False,-223.0,121.0,1,left,M. McBride 25' 3PT pullup (3 PTS) (O. Anunoby 1 AST),"[1630540, 1628384]",1610612752.0,NYK,pullup,,,McBride,M. McBride,,,,,Above the Break 3,24+ Left Center,25.38,Made,,,,,,,,3.0,,O. Anunoby,1628384.0,1.0,,,,,,
71,PT05M57.00S,2026-04-06T23:27:00.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,93.11760840998686,49.26470588235294,1610612737,12,16,2026-04-06T23:27:06Z,700000,False,-4.0,12.0,1,right,J. Johnson driving Layup (5 PTS),[1630552],1610612737.0,ATL,driving,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,1.27,Made,,,,,,,,5.0,,,,,,,,,,
72,PT05M43.00S,2026-04-06T23:27:14.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628384,5.995400788436268,51.71568627450981,1610612752,12,18,2026-04-06T23:27:22Z,710000,False,-9.0,4.0,1,left,O. Anunoby cutting DUNK (5 PTS) (K. Towns 3 AST),"[1628384, 1626157]",1610612752.0,NYK,cutting,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.94,Made,,,,,,,,5.0,,K. Towns,1626157.0,3.0,,,,,,
74,PT05M32.00S,2026-04-06T23:27:25.4Z,1,REGULAR,3pt,Jump Shot,[],1630700,88.51839684625493,96.07843137254902,1610612737,15,18,2026-04-06T23:27:30Z,730000,False,230.0,55.0,1,right,D. Daniels 3PT  (3 PTS) (N. Alexander-Walker 1 AST),"[1630700, 1629638]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Right Corner 3,24+ Right,23.7,Made,,,,,,,,3.0,,N. Alexander-Walker,1629638.0,1.0,,,,,,
76,PT05M18.00S,2026-04-06T23:27:39.8Z,1,REGULAR,2pt,Jump Shot,[],1628973,14.668199737187912,31.127450980392158,1610612752,15,18,2026-04-06T23:27:45Z,750000,False,94.0,85.0,1,left,MISS J. Brunson 12' step back Shot,[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,12.73,Missed,,,,,,,,,,,,,,,,,,
77,PT05M14.00S,2026-04-06T23:27:43.8Z,1,REGULAR,rebound,defensive,[],1629216,,,1610612737,15,18,2026-04-06T23:27:45Z,760000,False,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612737.0,ATL,,,,Vincent,G. Vincent,,,,,Mid-Range,8-16 Right,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,
78,PT05M07.00S,2026-04-06T23:27:50.3Z,1,REGULAR,3pt,Jump Shot,[],1629216,67.7562417871222,38.23529411764706,1610612737,15,18,2026-04-06T23:27:56Z,770000,False,-59.0,251.0,1,right,MISS G. Vincent 25' 3PT,[1629216],1610612737.0,ATL,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Center,25.74,Missed,,,,,,,,,,,,,,,,,,
79,PT05M03.00S,2026-04-06T23:27:54.3Z,1,REGULAR,rebound,offensive,[],1629638,,,1610612737,15,18,2026-04-06T23:27:56Z,780000,False,,,0,,N. Alexander-Walker REBOUND (Off:1 Def:0),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,,,78.0,1.0,0.0,1.0,,,,,,,,,,,,,,
80,PT05M02.00S,2026-04-06T23:27:54.6Z,1,REGULAR,turnover,bad pass,[],1629638,,,1610612737,15,18,2026-04-06T23:27:58Z,790000,False,,,0,,N. Alexander-Walker bad pass TURNOVER (1 TO),"[1629638, 1630540]",1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,McBride,1630540.0,,,,,,,,,,,
81,PT05M02.00S,2026-04-06T23:27:54.6Z,1,REGULAR,steal,,[],1630540,,,1610612752,15,18,2026-04-06T23:27:56Z,800000,False,,,0,,M. McBride STEAL (1 STL),[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
82,PT04M59.00S,2026-04-06T23:27:58.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626157,5.075558475689881,49.754901960784316,1610612752,15,20,2026-04-06T23:28:09Z,810000,False,1.0,-5.0,1,left,K. Towns running DUNK (5 PTS) (M. McBride 1 AST),"[1626157, 1630540]",1610612752.0,NYK,running,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,0.49,Made,,,,,,,,5.0,,M. McBride,1630540.0,1.0,,,,,,
84,PT04M53.00S,2026-04-06T23:28:05.3Z,1,REGULAR,foul,personal,['3freethrow'],1630540,,,1610612737,15,20,2026-04-06T23:28:41Z,830000,False,,,0,,M. McBride shooting personal FOUL (1 PF) (Alexander-Walker 3 FT),"[1630540, 1629638]",1610612752.0,NYK,shooting,,,McBride,M. McBride,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,204058.0,,,,1.0,0.0,Alexander-Walker,1629638.0,,
