actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal
22,PT10M46.00S,2025-11-29T00:43:34.0Z,1,REGULAR,3pt,Jump Shot,[],1630168,11.251642575558476,93.87254901960785,1610612737,0,4,2025-11-29T00:43:40Z,220000,False,-219.0,53.0,1,left,MISS O. Okongwu step back 3PT,[1630168],1610612737.0,ATL,step back,,,Okongwu,O. Okongwu,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,22.58,,,,,,,,,
23,PT10M41.00S,2025-11-29T00:43:39.0Z,1,REGULAR,rebound,offensive,[],1630552,,,1610612737,0,4,2025-11-29T00:43:40Z,230000,False,,,0,,J. Johnson REBOUND (Off:1 Def:0),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,22.0,1.0,0.0,1.0,,,
24,PT10M41.00S,2025-11-29T00:43:38.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630552,5.590000152587891,50.0,1610612737,0,4,2025-11-29T00:43:38Z,240000,False,0.0,0.0,1,left,MISS J. Johnson tip Layup,[1630552],1610612737.0,ATL,tip,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Left,,,,,,Missed,,,,,0.0,,,,,,,,,
25,PT10M40.00S,2025-11-29T00:43:39.1Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,4,2025-11-29T00:43:39Z,250000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,
26,PT10M36.00S,2025-11-29T00:43:43.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629631,93.9060446780552,95.83333333333334,1610612739,0,7,2025-11-29T00:43:51Z,260000,False,229.0,5.0,1,right,D. Hunter 3PT running (3 PTS) (D. Garland 1 AST),"[1629631, 1629636]",1610612739.0,CLE,running,,,Hunter,D. Hunter,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,,,,22.93,,,,,,,D. Garland,1629636.0,1.0
28,PT10M19.00S,2025-11-29T00:44:02.4Z,1,REGULAR,turnover,out-of-bounds,[],1630700,,,1610612737,0,7,2025-11-29T00:44:08Z,280000,False,,,0,,D. Daniels bad pass out-of-bounds TURNOVER (1 TO),[1630700],1610612737.0,ATL,bad pass,,,Daniels,D. Daniels,,,,,Mid-Range,16-24 Right,202027.0,,,,,,,1.0,,,,,,,,,,,,
29,PT10M06.00S,2025-11-29T00:44:19.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630596,82.34231274638634,55.392156862745104,1610612739,0,7,2025-11-29T00:44:26Z,290000,False,27.0,113.0,1,right,MISS E. Mobley 11' turnaround fadeaway Shot,[1630596],1610612739.0,CLE,turnaround fadeaway,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,11.67,,,,,,,,,
30,PT10M03.00S,2025-11-29T00:44:22.9Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,0,7,2025-11-29T00:44:26Z,300000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,
31,PT09M53.00S,2025-11-29T00:44:35.6Z,1,REGULAR,turnover,traveling,[],1630552,,,1610612737,0,7,2025-11-29T00:44:42Z,310000,False,,,0,,J. Johnson traveling TURNOVER (1 TO),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,1146.0,,,,,,,1.0,,,,,,,,,,,,
32,PT09M42.00S,2025-11-29T00:44:55.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629636,66.04796320630749,65.44117647058823,1610612739,0,7,2025-11-29T00:45:01Z,320000,False,77.0,267.0,1,right,MISS D. Garland 27' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,27.76,,,,,,,,,
33,PT09M39.00S,2025-11-29T00:44:58.8Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,0,7,2025-11-29T00:45:01Z,330000,False,,,0,,J. Johnson REBOUND (Off:1 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,32.0,2.0,1.0,1.0,,,
34,PT09M32.00S,2025-11-29T00:45:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,7.835085413929041,52.20588235294118,1610612737,0,7,2025-11-29T00:45:46Z,340000,False,-11.0,21.0,1,left,MISS J. Johnson driving finger roll Layup,[1630552],1610612737.0,ATL,driving finger roll,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,2.38,,,,,,,,,
35,PT09M29.00S,2025-11-29T00:45:09.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,7,2025-11-29T00:45:12Z,350000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,
129,PT09M23.00S,2025-11-29T00:45:32.5Z,1,REGULAR,turnover,lost ball,[],1628386,,,1610612739,0,7,2025-11-29T00:58:29Z,385000,False,,,0,,J. Allen lost ball TURNOVER (1 TO),"[1628386, 1630168]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Okongwu,1630168.0,,,,,,,,,,
130,PT09M23.00S,2025-11-29T00:45:32.5Z,1,REGULAR,steal,,[],1630168,,,1610612737,0,7,2025-11-29T00:58:29Z,387500,False,,,0,,O. Okongwu STEAL (1 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT09M22.00S,2025-11-29T00:45:45.8Z,1,REGULAR,jumpball,recovered,[],1630168,,,1610612737,0,7,2025-11-29T00:47:28Z,390000,False,,,0,,Jump Ball O. Okongwu vs. J. Allen: Tip to O. Okongwu,"[1630168, 1630168, 1628386]",1610612737.0,ATL,heldball,O. Okongwu,1630168.0,Okongwu,O. Okongwu,Okongwu,1630168.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
42,PT09M12.00S,2025-11-29T00:45:51.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630168,8.09789750328515,49.50980392156863,1610612737,2,7,2025-11-29T00:58:29Z,420000,False,2.0,24.0,1,left,O. Okongwu running Layup (2 PTS),[1630168],1610612737.0,ATL,running,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,2.37,,,,,,,,,
43,PT08M56.00S,2025-11-29T00:46:06.9Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,2,7,2025-11-29T00:46:12Z,430000,False,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 1630552]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Johnson,1630552.0,,,,,,,,,,
44,PT08M56.00S,2025-11-29T00:46:06.9Z,1,REGULAR,steal,,[],1630552,,,1610612737,2,7,2025-11-29T00:46:09Z,440000,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
45,PT08M52.00S,2025-11-29T00:46:13.1Z,1,REGULAR,foul,personal,['2freethrow'],1629631,,,1610612737,2,7,2025-11-29T00:46:20Z,450000,False,,,0,,D. Hunter shooting personal FOUL (1 PF) (Alexander-Walker 2 FT),"[1629631, 1629638]",1610612739.0,CLE,shooting,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,1146.0,1.0,0.0,Alexander-Walker,1629638.0,,,,,,,,,,,,,,,
47,PT08M52.00S,2025-11-29T00:46:40.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629638,,,1610612737,3,7,2025-11-29T00:46:40Z,470000,False,,,0,,N. Alexander-Walker Free Throw 1 of 2 (1 PTS),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
48,PT08M52.00S,2025-11-29T00:46:54.9Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629638,,,1610612737,4,7,2025-11-29T00:46:54Z,480000,False,,,0,,N. Alexander-Walker Free Throw 2 of 2 (2 PTS),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
49,PT08M43.00S,2025-11-29T00:47:12.0Z,1,REGULAR,foul,personal,[],1630168,,,1610612739,4,7,2025-11-29T00:47:17Z,490000,False,,,0,,O. Okongwu personal FOUL (1 PF),"[1630168, 1628386]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,1146.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,
51,PT08M35.00S,2025-11-29T00:47:41.0Z,1,REGULAR,2pt,Jump Shot,[],1629631,77.61169513797634,27.696078431372552,1610612739,4,9,2025-11-29T00:47:46Z,510000,False,-112.0,158.0,1,right,D. Hunter 19' pullup Jump Shot (5 PTS),[1629631],1610612739.0,CLE,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Left Center,,,,,,Made,5.0,,,,19.34,,,,,,,,,
52,PT08M15.00S,2025-11-29T00:48:00.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,19.398817345597898,45.588235294117645,1610612737,6,9,2025-11-29T00:48:05Z,520000,False,22.0,130.0,1,left,J. Johnson 13' turnaround fadeaway Jump Shot (2 PTS) (N. Alexander-Walker 1 AST),"[1630552, 1629638]",1610612737.0,ATL,turnaround fadeaway,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,,,,13.17,,,,,,,N. Alexander-Walker,1629638.0,1.0
54,PT08M00.00S,2025-11-29T00:48:15.3Z,1,REGULAR,3pt,Jump Shot,[],1629631,70.25295663600527,27.696078431372552,1610612739,6,9,2025-11-29T00:48:22Z,540000,False,-112.0,227.0,1,right,MISS D. Hunter 25' step back 3PT,[1629631],1610612739.0,CLE,step back,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,25.3,,,,,,,,,
55,PT07M57.00S,2025-11-29T00:48:18.3Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,6,9,2025-11-29T00:48:22Z,550000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,54.0,2.0,2.0,0.0,,,
56,PT07M56.00S,2025-11-29T00:48:20.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1642258,6.915243101182654,48.03921568627451,1610612737,8,9,2025-11-29T00:48:29Z,560000,False,10.0,13.0,1,left,Z. Risacher running DUNK (2 PTS) (D. Daniels 1 AST),"[1642258, 1630700]",1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,1.59,,,,,,,D. Daniels,1630700.0,1.0
58,PT07M39.00S,2025-11-29T00:48:36.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,92.32917214191852,52.450980392156865,1610612739,8,9,2025-11-29T00:48:42Z,580000,False,12.0,20.0,1,right,MISS D. Garland driving finger roll Layup,[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,2.31,,,,,,,,,
59,PT07M37.00S,2025-11-29T00:48:38.5Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,8,9,2025-11-29T00:48:42Z,590000,False,,,0,,J. Johnson REBOUND (Off:1 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,58.0,3.0,2.0,1.0,,,
60,PT07M35.00S,2025-11-29T00:48:41.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630552,32.802233902759525,37.00980392156863,1610612737,11,9,2025-11-29T00:48:47Z,600000,False,65.0,256.0,1,left,J. Johnson 26' 3PT running pullup (5 PTS),[1630552],1610612737.0,ATL,running pullup,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,,,,Made,5.0,,,,26.39,,,,,,,,,
61,PT07M33.00S,2025-11-29T00:48:46.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,11,9,2025-11-29T00:48:46Z,610000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M33.00S,2025-11-29T00:51:25.5Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,11,9,2025-11-29T00:51:40Z,620000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M33.00S,2025-11-29T00:51:25.5Z,1,REGULAR,substitution,in,[],1628366,,,1610612739,11,9,2025-11-29T00:51:40Z,630000,False,,,0,,SUB in: L. Ball,[1628366],1610612739.0,CLE,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M14.00S,2025-11-29T00:52:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,93.9060446780552,51.9607843137255,1610612739,11,11,2025-11-29T00:52:08Z,640000,False,10.0,5.0,1,right,J. Allen Layup (2 PTS) (E. Mobley 1 AST),"[1628386, 1630596]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,1.09,,,,,,,E. Mobley,1630596.0,1.0
66,PT06M48.00S,2025-11-29T00:52:28.6Z,1,REGULAR,turnover,bad pass,[],1642258,,,1610612737,11,11,2025-11-29T00:52:33Z,660000,False,,,0,,Z. Risacher bad pass TURNOVER (1 TO),"[1642258, 1629631]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Hunter,1629631.0,,,,,,,,,,
67,PT06M48.00S,2025-11-29T00:52:28.6Z,1,REGULAR,steal,,[],1629631,,,1610612739,11,11,2025-11-29T01:00:15Z,670000,False,,,0,,D. Hunter STEAL (1 STL),[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
68,PT06M40.00S,2025-11-29T00:52:37.1Z,1,REGULAR,turnover,bad pass,[],1629631,,,1610612739,11,11,2025-11-29T00:52:43Z,680000,False,,,0,,D. Hunter bad pass TURNOVER (1 TO),"[1629631, 1630700]",1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Daniels,1630700.0,,,,,,,,,,
69,PT06M40.00S,2025-11-29T00:52:37.1Z,1,REGULAR,steal,,[],1630700,,,1610612737,11,11,2025-11-29T00:52:42Z,690000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
70,PT06M31.00S,2025-11-29T00:52:46.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629638,7.30946123521682,50.73529411764706,1610612737,13,11,2025-11-29T00:52:51Z,700000,False,-4.0,16.0,1,left,N. Alexander-Walker driving Layup (4 PTS),[1629638],1610612737.0,ATL,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,,,1.66,,,,,,,,,
71,PT06M16.00S,2025-11-29T00:53:02.1Z,1,REGULAR,3pt,Jump Shot,[],1630596,68.54467805519053,59.80392156862745,1610612739,13,11,2025-11-29T00:53:06Z,710000,False,49.0,243.0,1,right,MISS E. Mobley 24' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,24.81,,,,,,,,,
72,PT06M12.00S,2025-11-29T00:53:06.1Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,13,11,2025-11-29T00:53:06Z,720000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,71.0,2.0,2.0,0.0,,,
73,PT06M09.00S,2025-11-29T00:53:10.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629638,8.360709592641262,50.245098039215684,1610612737,13,11,2025-11-29T00:53:33Z,730000,False,-1.0,26.0,1,left,MISS N. Alexander-Walker running Layup - blocked,"[1629638, 1630596]",1610612737.0,ATL,running,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,2.61,Mobley,1630596.0,,,,,,,
74,PT06M09.00S,2025-11-29T00:53:10.0Z,1,REGULAR,block,,[],1630596,,,1610612737,13,11,2025-11-29T00:53:12Z,740000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
75,PT06M08.00S,2025-11-29T00:53:11.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,13,11,2025-11-29T00:53:33Z,750000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,73.0,,,,,,
77,PT06M08.00S,2025-11-29T00:53:17.3Z,1,REGULAR,substitution,out,[],1630168,,,1610612737,13,11,2025-11-29T00:53:22Z,770000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M08.00S,2025-11-29T00:53:17.3Z,1,REGULAR,substitution,out,[],1630596,,,1610612737,13,11,2025-11-29T00:53:22Z,780000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M08.00S,2025-11-29T00:53:17.3Z,1,REGULAR,substitution,in,[],1631243,,,1610612737,13,11,2025-11-29T00:53:22Z,790000,False,,,0,,SUB in: M. Gueye,[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M08.00S,2025-11-29T00:53:17.3Z,1,REGULAR,substitution,in,[],1642281,,,1610612737,13,11,2025-11-29T00:53:22Z,800000,False,,,0,,SUB in: J. Tyson,[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M02.00S,2025-11-29T00:53:41.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629638,32.670827858081466,42.8921568627451,1610612737,16,11,2025-11-29T00:53:47Z,810000,False,36.0,255.0,1,left,N. Alexander-Walker 25' 3PT pullup (7 PTS) (M. Gueye 1 AST),"[1629638, 1631243]",1610612737.0,ATL,pullup,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,,,,,,Made,7.0,,,,25.71,,,,,,,M. Gueye,1631243.0,1.0
83,PT05M45.00S,2025-11-29T00:53:58.1Z,1,REGULAR,3pt,Jump Shot,[],1628366,94.56307490144546,2.450980392156863,1610612739,16,11,2025-11-29T00:54:03Z,830000,False,-238.0,-1.0,1,right,MISS L. Ball 3PT,[1628366],1610612739.0,CLE,,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,23.77,,,,,,,,,
