actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
17,PT11M04.00S,2026-02-06T00:44:33.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630552,21.50131406044678,48.77450980392157,1610612737,0,0,2026-02-06T00:45:39Z,170000,False,6.0,150.0,1,left,MISS J. Johnson 14' driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Center,14.97,Missed,,,,,,,,,,,,,,,,,,
18,PT11M02.00S,2026-02-06T00:44:35.0Z,1,REGULAR,rebound,offensive,[],1642258,,,1610612737,0,0,2026-02-06T00:45:15Z,180000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Mid-Range,8-16 Center,,,17.0,2.0,1.0,1.0,,,,,,,,,,,,,,
19,PT11M02.00S,2026-02-06T00:44:37.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642258,5.590000152587891,50.0,1610612737,0,0,2026-02-06T00:45:19Z,190000,False,0.0,0.0,1,left,MISS Z. Risacher tip Layup,[1642258],1610612737.0,ATL,tip,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
20,PT11M01.00S,2026-02-06T00:44:38.4Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612737,0,0,2026-02-06T00:45:19Z,200000,False,,,0,,J. Landale REBOUND (Off:3 Def:0),[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,19.0,3.0,0.0,3.0,,,,,,,,,,,,,,
21,PT11M01.00S,2026-02-06T00:44:40.4Z,1,REGULAR,foul,personal,['2freethrow'],1628374,,,1610612737,0,0,2026-02-06T00:44:47Z,210000,False,,,0,,L. Markkanen shooting personal FOUL (1 PF) (Landale 2 FT),"[1628374, 1629111]",1610612762.0,UTA,shooting,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,,1.0,0.0,Landale,1629111.0,,,,,,,,
23,PT11M01.00S,2026-02-06T00:45:01.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629111,,,1610612737,0,0,2026-02-06T00:45:01Z,230000,False,,,0,,MISS J. Landale Free Throw 1 of 2,[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
24,PT11M01.00S,2026-02-06T00:45:01.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,0,0,2026-02-06T00:45:01Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,
25,PT11M01.00S,2026-02-06T00:45:08.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629111,,,1610612737,1,0,2026-02-06T00:45:08Z,250000,False,,,0,,J. Landale Free Throw 2 of 2 (1 PTS),[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
26,PT10M49.00S,2026-02-06T00:45:22.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642846,85.23324572930355,58.08823529411765,1610612762,1,0,2026-02-06T00:45:28Z,260000,False,40.0,86.0,1,right,MISS A. Bailey 9' turnaround Shot,[1642846],1610612762.0,UTA,turnaround,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),8-16 Center,9.53,Missed,,,,,,,,,,,,,,,,,,
27,PT10M46.00S,2026-02-06T00:45:25.1Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612737,1,0,2026-02-06T00:45:28Z,270000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT10M38.00S,2026-02-06T00:45:32.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,12.697109067017081,48.77450980392157,1610612737,1,0,2026-02-06T00:45:41Z,280000,False,6.0,67.0,1,left,MISS J. Johnson 6' turnaround Shot,[1630552],1610612737.0,ATL,turnaround,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,6.72,Missed,,,,,,,,,,,,,,,,,,
29,PT10M35.00S,2026-02-06T00:45:35.2Z,1,REGULAR,rebound,offensive,[],1630552,,,1610612737,1,0,2026-02-06T00:45:35Z,290000,False,,,0,,J. Johnson REBOUND (Off:1 Def:0),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,
30,PT10M35.00S,2026-02-06T00:45:35.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630552,6.521024967148489,50.73529411764706,1610612737,1,0,2026-02-06T00:45:44Z,300000,False,-4.0,9.0,1,left,MISS J. Johnson putback Layup - blocked,"[1630552, 1642262]",1610612737.0,ATL,putback,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,0.95,Missed,,,,,,,,,,,,Williams,1642262.0,,,,,
31,PT10M35.00S,2026-02-06T00:45:35.8Z,1,REGULAR,block,,[],1642262,,,1610612737,1,0,2026-02-06T00:45:38Z,310000,False,,,0,,C. Williams BLOCK (1 BLK),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT10M32.00S,2026-02-06T00:45:38.8Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,1,0,2026-02-06T00:45:44Z,320000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT10M28.00S,2026-02-06T00:45:45.3Z,1,REGULAR,foul,personal,['2freethrow'],1630700,,,1610612762,1,0,2026-02-06T00:46:09Z,330000,False,,,0,,D. Daniels shooting personal FOUL (1 PF) (Collier 2 FT),"[1630700, 1642268]",1610612737.0,ATL,shooting,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,101284.0,,1.0,0.0,Collier,1642268.0,,,,,,,,
35,PT10M28.00S,2026-02-06T00:46:13.8Z,1,REGULAR,freethrow,1 of 2,[],1642268,,,1610612762,1,0,2026-02-06T00:46:13Z,350000,False,,,0,,MISS I. Collier Free Throw 1 of 2,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
36,PT10M28.00S,2026-02-06T00:46:13.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,1,0,2026-02-06T00:46:13Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,
37,PT10M28.00S,2026-02-06T00:46:32.1Z,1,REGULAR,freethrow,2 of 2,[],1642268,,,1610612762,1,1,2026-02-06T00:46:32Z,370000,False,,,0,,I. Collier Free Throw 2 of 2 (1 PTS),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
38,PT10M18.00S,2026-02-06T00:46:43.2Z,1,REGULAR,3pt,Jump Shot,[],1630552,28.86005256241787,74.75490196078431,1610612737,1,1,2026-02-06T00:46:48Z,380000,False,-124.0,219.0,1,left,MISS J. Johnson 25' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,25.14,Missed,,,,,,,,,,,,,,,,,,
39,PT10M15.00S,2026-02-06T00:46:46.2Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,1,1,2026-02-06T00:46:48Z,390000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT10M09.00S,2026-02-06T00:46:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642271,92.06636005256242,48.03921568627451,1610612762,1,1,2026-02-06T00:46:58Z,400000,False,-10.0,22.0,1,right,MISS K. Filipowski driving Layup - blocked,"[1642271, 1629111]",1610612762.0,UTA,driving,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,2.42,Missed,,,,,,,,,,,,Landale,1629111.0,,,,,
41,PT10M09.00S,2026-02-06T00:46:51.7Z,1,REGULAR,block,,[],1629111,,,1610612762,1,1,2026-02-06T00:46:54Z,410000,False,,,0,,J. Landale BLOCK (1 BLK),[1629111],1610612737.0,ATL,,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT10M06.00S,2026-02-06T00:46:54.7Z,1,REGULAR,rebound,offensive,[],1642271,,,1610612762,1,1,2026-02-06T00:46:58Z,420000,False,,,0,,K. Filipowski REBOUND (Off:1 Def:0),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,40.0,1.0,0.0,1.0,,,,,,,,,,,,,,
43,PT10M06.00S,2026-02-06T00:46:58.2Z,1,REGULAR,turnover,backcourt,[],1642271,,,1610612762,1,1,2026-02-06T00:47:08Z,430000,False,,,0,,K. Filipowski backcourt TURNOVER (1 TO),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Right Center,,,,,,,101284.0,1.0,,,,,,,,,,,,
44,PT09M50.00S,2026-02-06T00:47:28.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630700,19.793035479632064,91.66666666666666,1610612737,4,1,2026-02-06T00:47:32Z,440000,False,-208.0,134.0,1,left,D. Daniels 24' 3PT  (3 PTS) (J. Johnson 1 AST),"[1630700, 1630552]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,24.75,Made,,,,,,,,,,,3.0,,,J. Johnson,1630552.0,1.0,,
46,PT09M26.00S,2026-02-06T00:47:52.0Z,1,REGULAR,2pt,Jump Shot,[],1642846,73.53810775295663,63.48039215686274,1610612762,4,1,2026-02-06T00:47:58Z,460000,False,67.0,196.0,1,right,MISS A. Bailey 20' pullup Shot,[1642846],1610612762.0,UTA,pullup,,,Bailey,A. Bailey,,,,,Mid-Range,16-24 Right Center,20.75,Missed,,,,,,,,,,,,,,,,,,
47,PT09M24.00S,2026-02-06T00:47:54.0Z,1,REGULAR,rebound,offensive,[],1642271,,,1610612762,4,1,2026-02-06T00:47:58Z,470000,False,,,0,,K. Filipowski REBOUND (Off:2 Def:0),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Mid-Range,16-24 Right Center,,,46.0,2.0,0.0,2.0,,,,,,,,,,,,,,
48,PT09M11.00S,2026-02-06T00:48:07.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642268,85.23324572930355,44.85294117647059,1610612762,4,3,2026-02-06T00:48:13Z,480000,False,-26.0,86.0,1,right,I. Collier 9' driving floating Jump Shot (3 PTS),[1642268],1610612762.0,UTA,driving floating,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Center,9.0,Made,,,,,,,,,,,3.0,,,,,,,
49,PT08M55.00S,2026-02-06T00:48:22.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,7.440867279894875,44.36274509803921,1610612737,6,3,2026-02-06T00:48:31Z,490000,False,28.0,17.0,1,left,N. Alexander-Walker driving floating bank Jump Shot (2 PTS) (J. Johnson 2 AST),"[1629638, 1630552]",1610612737.0,ATL,driving floating bank,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,3.31,Made,,,,,,,,,,,2.0,,,J. Johnson,1630552.0,2.0,,
51,PT08M39.00S,2026-02-06T00:48:38.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642846,92.9862023653088,51.9607843137255,1610612762,6,3,2026-02-06T00:50:38Z,510000,False,10.0,13.0,1,right,MISS A. Bailey cutting finger roll Layup,[1642846],1610612762.0,UTA,cutting finger roll,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,1.66,Missed,,,,,,,,,,,,,,,,,,
52,PT08M37.00S,2026-02-06T00:48:40.5Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,6,3,2026-02-06T00:48:48Z,520000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:2),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,51.0,3.0,2.0,1.0,,,,,,,,,,,,,,
53,PT08M30.00S,2026-02-06T00:48:48.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,5.075558475689881,51.9607843137255,1610612737,8,3,2026-02-06T00:48:54Z,530000,False,-10.0,-5.0,1,left,N. Alexander-Walker driving reverse Layup (4 PTS) (J. Johnson 3 AST),"[1629638, 1630552]",1610612737.0,ATL,driving reverse,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,,,,,,,4.0,,,J. Johnson,1630552.0,3.0,,
55,PT08M10.00S,2026-02-06T00:49:07.4Z,1,REGULAR,2pt,Jump Shot,[],1628374,87.86136662286465,29.901960784313726,1610612762,8,5,2026-02-06T00:49:12Z,550000,False,-100.0,62.0,1,right,L. Markkanen 11' pullup Jump Shot (2 PTS),[1628374],1610612762.0,UTA,pullup,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Left,11.79,Made,,,,,,,,,,,2.0,,,,,,,
56,PT07M54.00S,2026-02-06T00:49:24.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,5.075558475689881,51.225490196078425,1610612737,10,5,2026-02-06T00:49:31Z,560000,False,-6.0,-5.0,1,left,D. Daniels cutting finger roll Layup (5 PTS) (J. Landale 1 AST),"[1630700, 1629111]",1610612737.0,ATL,cutting finger roll,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,0.78,Made,,,,,,,,,,,5.0,,,J. Landale,1629111.0,1.0,,
58,PT07M32.00S,2026-02-06T00:49:46.1Z,1,REGULAR,3pt,Jump Shot,[],1642271,67.36202365308804,43.38235294117647,1610612762,10,8,2026-02-06T00:49:51Z,580000,False,-33.0,254.0,1,right,K. Filipowski 25' 3PT  (3 PTS) (L. Markkanen 1 AST),"[1642271, 1628374]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Center,25.64,Made,,,,,,,,,,,3.0,,,L. Markkanen,1628374.0,1.0,,
60,PT07M25.00S,2026-02-06T00:49:53.6Z,1,REGULAR,3pt,Jump Shot,[],1629111,8.886333771353483,97.54901960784314,1610612737,13,8,2026-02-06T00:49:58Z,600000,False,-238.0,31.0,1,left,J. Landale 3PT  (4 PTS) (D. Daniels 1 AST),"[1629111, 1630700]",1610612737.0,ATL,,,,Landale,J. Landale,,,,,Left Corner 3,24+ Left,23.97,Made,,,,,,,,,,,4.0,,,D. Daniels,1630700.0,1.0,,
62,PT07M12.00S,2026-02-06T00:50:05.5Z,1,REGULAR,3pt,Jump Shot,[],1642271,75.24638633377135,86.76470588235294,1610612762,13,11,2026-02-06T00:50:11Z,620000,False,184.0,180.0,1,right,K. Filipowski 25' 3PT  (6 PTS) (I. Collier 1 AST),"[1642271, 1642268]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Right Center,25.74,Made,,,,,,,,,,,6.0,,,I. Collier,1642268.0,1.0,,
64,PT07M00.00S,2026-02-06T00:50:18.5Z,1,REGULAR,2pt,Jump Shot,[],1642258,5.206964520367937,12.009803921568627,1610612737,13,11,2026-02-06T00:50:24Z,640000,False,190.0,-4.0,1,left,MISS Z. Risacher 19' Jump Shot,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Mid-Range,16-24 Right,19.0,Missed,,,,,,,,,,,,,,,,,,
65,PT06M58.00S,2026-02-06T00:50:20.5Z,1,REGULAR,rebound,defensive,[],1642268,,,1610612762,13,11,2026-02-06T00:50:24Z,650000,False,,,0,,I. Collier REBOUND (Off:0 Def:1),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Mid-Range,16-24 Right,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,
70,PT06M48.00S,2026-02-06T00:50:41.9Z,1,REGULAR,substitution,out,[],1629638,,,1610612762,13,11,2026-02-06T00:50:55Z,700000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M48.00S,2026-02-06T00:50:41.9Z,1,REGULAR,substitution,out,[],1642271,,,1610612762,13,11,2026-02-06T00:50:55Z,710000,False,,,0,,SUB out: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M48.00S,2026-02-06T00:50:41.9Z,1,REGULAR,substitution,in,[],203468,,,1610612762,13,11,2026-02-06T00:50:55Z,720000,False,,,0,,SUB in: C. McCollum,[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M48.00S,2026-02-06T00:50:41.9Z,1,REGULAR,substitution,in,[],1641729,,,1610612762,13,11,2026-02-06T00:50:55Z,730000,False,,,0,,SUB in: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M37.00S,2026-02-06T00:51:11.5Z,1,REGULAR,3pt,Jump Shot,[],1642846,91.80354796320631,3.1862745098039214,1610612762,13,11,2026-02-06T00:52:50Z,740000,False,-234.0,25.0,1,right,MISS A. Bailey 3PT,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Left Corner 3,24+ Left,23.54,Missed,,,,,,,,,,,,,,,,,,
75,PT06M35.00S,2026-02-06T00:51:13.5Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,13,11,2026-02-06T00:51:16Z,750000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:3),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Left Corner 3,24+ Left,,,74.0,4.0,3.0,1.0,,,,,,,,,,,,,,
76,PT06M31.00S,2026-02-06T00:51:18.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,22.28975032851511,88.97058823529412,1610612737,13,11,2026-02-06T00:51:25Z,760000,False,-195.0,157.0,1,left,MISS C. McCollum 25' running 3PT,[203468],1610612737.0,ATL,running,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.03,Missed,,,,,,,,,,,,,,,,,,
77,PT06M27.00S,2026-02-06T00:51:22.7Z,1,REGULAR,rebound,defensive,[],1641729,,,1610612762,13,11,2026-02-06T00:51:25Z,770000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:1),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Left Center,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,
78,PT06M18.00S,2026-02-06T00:51:30.6Z,1,REGULAR,3pt,Jump Shot,[],1628374,67.23061760840999,37.745098039215684,1610612762,13,14,2026-02-06T00:51:35Z,780000,False,-61.0,256.0,1,right,L. Markkanen 26' 3PT  (5 PTS) (I. Collier 2 AST),"[1628374, 1642268]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,26.28,Made,,,,,,,,,,,5.0,,,I. Collier,1642268.0,2.0,,
80,PT06M06.00S,2026-02-06T00:51:42.5Z,1,REGULAR,turnover,bad pass,[],1642258,,,1610612737,13,14,2026-02-06T00:51:49Z,800000,False,,,0,,Z. Risacher bad pass TURNOVER (1 TO),"[1642258, 1642268]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,,,,,,,,,,,Collier,1642268.0
81,PT06M06.00S,2026-02-06T00:51:42.5Z,1,REGULAR,steal,,[],1642268,,,1610612762,13,14,2026-02-06T00:51:44Z,810000,False,,,0,,I. Collier STEAL (1 STL),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
82,PT06M04.00S,2026-02-06T00:51:46.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642268,93.77463863337714,49.01960784313725,1610612762,13,16,2026-02-06T00:51:54Z,820000,False,-5.0,6.0,1,right,I. Collier running Layup (5 PTS),[1642268],1610612762.0,UTA,running,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,,,,,,,5.0,,,,,,,
83,PT06M04.00S,2026-02-06T00:51:50.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,13,16,2026-02-06T00:51:50Z,830000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M49.00S,2026-02-06T00:54:57.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629111,4.812746386333772,52.69607843137255,1610612737,15,16,2026-02-06T00:55:04Z,840000,False,-13.0,-7.0,1,left,J. Landale cutting Layup (6 PTS) (J. Johnson 4 AST),"[1629111, 1630552]",1610612737.0,ATL,cutting,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,1.53,Made,,,,,,,,,,,6.0,,,J. Johnson,1630552.0,4.0,,
86,PT05M28.00S,2026-02-06T00:55:21.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642846,92.19776609724047,48.529411764705884,1610612762,15,16,2026-02-06T00:57:31Z,860000,False,-7.0,21.0,1,right,MISS A. Bailey driving Layup - blocked,"[1642846, 1629111]",1610612762.0,UTA,driving,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,2.21,Missed,,,,,,,,,,,,Landale,1629111.0,,,,,
