actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M09.00S,2022-11-05T00:41:14.2Z,1,REGULAR,steal,,[],1627783,,,1610612761,0,2,2022-11-05T00:41:15Z,150000,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
16,PT11M05.00S,2022-11-05T00:41:18.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628384,6.521024967148489,48.77450980392157,1610612761,0,4,2022-11-05T00:44:59Z,160000,6.0,9.0,1,left,O. Anunoby running Layup (4 PTS) (P. Siakam 1 AST),"[1628384, 1627783]",1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,1.07,Made,,,,,4.0,P. Siakam,1627783.0,1.0,,,,,,,
18,PT11M00.00S,2022-11-05T00:41:23.0Z,1,REGULAR,turnover,bad pass,[],1627827,,,1610612742,0,4,2022-11-05T00:41:49Z,180000,,,0,,D. Finney-Smith bad pass TURNOVER (1 TO),"[1627827, 1628384]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,8-16 Left,1.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,,
19,PT11M00.00S,2022-11-05T00:41:23.0Z,1,REGULAR,steal,,[],1628384,,,1610612761,0,4,2022-11-05T00:41:24Z,190000,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
20,PT10M57.00S,2022-11-05T00:41:26.3Z,1,REGULAR,turnover,bad pass,[],1628384,,,1610612761,0,4,2022-11-05T00:42:27Z,200000,,,0,,O. Anunoby bad pass TURNOVER (1 TO),"[1628384, 203493]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,1.0,Bullock,203493.0,,,,,,,,,,,,,,,,,
21,PT10M57.00S,2022-11-05T00:41:26.3Z,1,REGULAR,steal,,[],203493,,,1610612742,0,4,2022-11-05T00:41:27Z,210000,,,0,,R. Bullock STEAL (1 STL),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
22,PT10M40.00S,2022-11-05T00:41:43.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203493,93.51182654402102,94.85294117647058,1610612742,0,4,2022-11-05T00:42:31Z,220000,224.0,8.0,1,right,MISS R. Bullock 3PT - blocked,"[203493, 1631132]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Right Corner 3,24+ Right,,,,22.45,Missed,,,,,,,,,Koloko,1631132.0,,,,,
23,PT10M40.00S,2022-11-05T00:41:43.8Z,1,REGULAR,block,,[],1631132,,,1610612742,0,4,2022-11-05T00:41:46Z,230000,,,0,,C. Koloko BLOCK (1 BLK),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
24,PT10M38.00S,2022-11-05T00:41:45.8Z,1,REGULAR,rebound,offensive,[],203493,,,1610612742,0,4,2022-11-05T01:00:15Z,240000,,,0,,R. Bullock REBOUND (Off:1 Def:0),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Right Corner 3,24+ Right,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,
26,PT10M37.00S,2022-11-05T00:41:52.1Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",203493,93.24901445466492,66.66666666666666,1610612742,2,4,2022-11-05T01:00:23Z,260000,83.0,11.0,1,right,R. Bullock 8' Jump Shot (2 PTS),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Mid-Range,8-16 Right,,,,8.4,Made,,,,,2.0,,,,,,,,,,
27,PT10M19.00S,2022-11-05T00:42:04.0Z,1,REGULAR,3pt,Jump Shot,[],1627783,5.863994743758213,95.34313725490196,1610612761,2,4,2022-11-05T00:42:50Z,270000,-227.0,3.0,1,left,MISS P. Siakam 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,,,,22.67,Missed,,,,,,,,,,,,,,,
28,PT10M16.00S,2022-11-05T00:42:07.4Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,2,4,2022-11-05T00:42:07Z,280000,,,0,,S. Barnes REBOUND (Off:1 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,,,,,,27.0,2.0,1.0,1.0,,,,,,,,,,,
29,PT10M15.00S,2022-11-05T00:42:08.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629018,33.065045992115635,37.745098039215684,1610612761,2,4,2022-11-05T00:42:53Z,290000,61.0,258.0,1,left,MISS G. Trent Jr. 26' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Center,,,,26.55,Missed,,,,,,,,,,,,,,,
30,PT10M13.00S,2022-11-05T00:42:10.4Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,2,4,2022-11-05T00:42:53Z,300000,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,,,,29.0,1.0,0.0,1.0,,,,,,,,,,,
31,PT10M12.00S,2022-11-05T00:42:12.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627783,9.280551905387648,51.9607843137255,1610612761,2,6,2022-11-05T00:42:19Z,310000,-10.0,35.0,1,left,P. Siakam putback Layup (2 PTS),[1627783],1610612761.0,TOR,putback,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,3.61,Made,,,,,2.0,,,,,,,,,,
32,PT09M59.00S,2022-11-05T00:42:24.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,82.21090670170827,44.6078431372549,1610612742,2,6,2022-11-05T00:42:31Z,320000,-27.0,115.0,1,right,MISS S. Dinwiddie 11' pullup Shot,[203915],1610612742.0,DAL,pullup,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Center,,,,11.78,Missed,,,,,,,,,,,,,,,
33,PT09M56.00S,2022-11-05T00:42:27.3Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,2,6,2022-11-05T00:42:27Z,330000,,,0,,O. Anunoby REBOUND (Off:1 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,,,,,,32.0,2.0,1.0,1.0,,,,,,,,,,,
34,PT09M55.00S,2022-11-05T00:42:33.6Z,1,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,2,6,2022-11-05T00:42:42Z,340000,,,0,,S. Barnes step out-of-bounds TURNOVER (1 TO),[1630567],1610612761.0,TOR,step,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,,,,,,1626302.0,,,,
35,PT09M39.00S,2022-11-05T00:42:52.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627827,92.9862023653088,94.6078431372549,1610612742,5,6,2022-11-05T00:42:57Z,350000,223.0,13.0,1,right,D. Finney-Smith 3PT  (3 PTS) (L. Doncic 1 AST),"[1627827, 1629029]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Right Corner 3,24+ Right,,,,22.34,Made,,,,,3.0,L. Doncic,1629029.0,1.0,,,,,,,
37,PT09M25.00S,2022-11-05T00:43:06.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,18.2161629434954,42.15686274509804,1610612761,5,6,2022-11-05T00:43:15Z,370000,39.0,119.0,1,left,MISS P. Siakam 12' turnaround fadeaway bank Shot,[1627783],1610612761.0,TOR,turnaround fadeaway bank,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,12.5,Missed,,,,,,,,,,,,,,,
38,PT09M21.00S,2022-11-05T00:43:10.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,5,6,2022-11-05T00:43:15Z,380000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,
39,PT09M16.00S,2022-11-05T00:43:19.2Z,1,REGULAR,foul,personal,['2freethrow'],1631132,,,1610612742,5,6,2022-11-05T00:43:28Z,390000,,,0,,C. Koloko shooting personal FOUL (1 PF) (Powell 2 FT),"[1631132, 203939]",1610612761.0,TOR,shooting,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Powell,203939.0
41,PT09M16.00S,2022-11-05T00:43:51.0Z,1,REGULAR,freethrow,1 of 2,[],203939,,,1610612742,6,6,2022-11-05T00:43:51Z,410000,,,0,,D. Powell Free Throw 1 of 2 (1 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,
42,PT09M16.00S,2022-11-05T00:44:12.6Z,1,REGULAR,freethrow,2 of 2,[],203939,,,1610612742,7,6,2022-11-05T00:44:12Z,420000,,,0,,D. Powell Free Throw 2 of 2 (2 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,
43,PT09M08.00S,2022-11-05T00:44:25.4Z,1,REGULAR,foul,personal,[],203493,,,1610612761,7,6,2022-11-05T00:44:31Z,430000,,,0,,R. Bullock personal FOUL (1 PF),"[203493, 1630567]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1628487.0,1.0,0.0,Barnes,1630567.0
45,PT09M08.00S,2022-11-05T00:44:46.7Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,7,6,2022-11-05T00:44:52Z,450000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT09M08.00S,2022-11-05T00:44:46.7Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,7,6,2022-11-05T00:44:52Z,460000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M59.00S,2022-11-05T00:45:18.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,14.668199737187912,47.30392156862745,1610612761,7,8,2022-11-05T00:45:25Z,480000,13.0,85.0,1,left,P. Siakam 8' driving floating Jump Shot (4 PTS),[1627783],1610612761.0,TOR,driving floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,8.65,Made,,,,,4.0,,,,,,,,,,
49,PT08M46.00S,2022-11-05T00:45:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,93.77463863337714,54.166666666666664,1610612742,7,8,2022-11-05T00:45:39Z,490000,21.0,6.0,1,right,MISS L. Doncic driving Layup,[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,2.16,Missed,,,,,,,,,,,,,,,
50,PT08M44.00S,2022-11-05T00:45:33.3Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,7,8,2022-11-05T00:45:39Z,500000,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,49.0,2.0,1.0,1.0,,,,,,,,,,,
51,PT08M40.00S,2022-11-05T00:45:37.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628384,30.56833114323259,29.166666666666668,1610612761,7,8,2022-11-05T00:49:52Z,510000,104.0,235.0,1,left,MISS O. Anunoby 25' running 3PT,[1628384],1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,,25.69,Missed,,,,,,,,,,,,,,,
52,PT08M40.00S,2022-11-05T00:45:37.0Z,1,REGULAR,rebound,offensive,[],1631132,,,1610612761,7,8,2022-11-05T00:45:45Z,520000,,,0,,C. Koloko REBOUND (Off:1 Def:0),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Above the Break 3,24+ Right Center,,,,,,51.0,1.0,0.0,1.0,,,,,,,,,,,
53,PT08M32.00S,2022-11-05T00:45:44.7Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1631132,5.590000152587891,50.0,1610612761,7,10,2022-11-05T00:45:51Z,530000,0.0,0.0,1,left,C. Koloko tip DUNK (2 PTS),[1631132],1610612761.0,TOR,tip,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,2.0,,,,,,,,,,
54,PT08M27.00S,2022-11-05T00:45:51.8Z,1,REGULAR,foul,personal,['2freethrow'],1631132,,,1610612742,7,10,2022-11-05T00:46:02Z,540000,,,0,,C. Koloko shooting personal FOUL (2 PF) (Doncic 2 FT),"[1631132, 1629029]",1610612761.0,TOR,shooting,,,Koloko,C. Koloko,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1628487.0,2.0,0.0,Doncic,1629029.0
56,PT08M27.00S,2022-11-05T00:46:22.7Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,8,10,2022-11-05T00:46:22Z,560000,,,0,,L. Doncic Free Throw 1 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,
57,PT08M27.00S,2022-11-05T00:46:23.7Z,1,REGULAR,substitution,out,[],1631132,,,1610612742,8,10,2022-11-05T00:46:33Z,570000,,,0,,SUB out: C. Koloko,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT08M27.00S,2022-11-05T00:46:23.7Z,1,REGULAR,substitution,in,[],1630567,,,1610612742,8,10,2022-11-05T00:46:33Z,580000,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT08M27.00S,2022-11-05T00:46:47.9Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,9,10,2022-11-05T00:46:47Z,590000,,,0,,L. Doncic Free Throw 2 of 2 (2 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,
60,PT08M17.00S,2022-11-05T00:47:03.8Z,1,REGULAR,3pt,Jump Shot,[],1628449,30.962549277266753,34.068627450980394,1610612761,9,10,2022-11-05T00:47:09Z,600000,80.0,239.0,1,left,MISS C. Boucher 25' 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Above the Break 3,24+ Center,,,,25.15,Missed,,,,,,,,,,,,,,,
61,PT08M12.00S,2022-11-05T00:47:08.8Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,9,10,2022-11-05T00:47:09Z,610000,,,0,,R. Bullock REBOUND (Off:1 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Center,,,,,,60.0,2.0,1.0,1.0,,,,,,,,,,,
62,PT08M01.00S,2022-11-05T00:47:23.6Z,1,REGULAR,foul,technical,['1freethrow'],1627783,,,1610612742,9,10,2022-11-05T00:47:32Z,620000,,,0,,P. Siakam defensive-3-second technical FOUL (1 Tech),[1627783],1610612761.0,TOR,defensive-3-second,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,1146.0,0.0,1.0,,
63,PT08M01.00S,2022-11-05T00:47:46.8Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612742,10,10,2022-11-05T00:47:46Z,630000,,,0,,L. Doncic technical Free Throw 1 of 1 (3 PTS),[1629029],1610612742.0,DAL,technical,,,Doncic,L. Doncic,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,
64,PT07M49.00S,2022-11-05T00:48:11.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,91.93495400788436,64.95098039215686,1610612742,10,10,2022-11-05T00:48:16Z,640000,75.0,23.0,1,right,MISS S. Dinwiddie 7' turnaround Shot,[203915],1610612742.0,DAL,turnaround,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,,,,7.83,Missed,,,,,,,,,,,,,,,
65,PT07M47.00S,2022-11-05T00:48:13.5Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,10,10,2022-11-05T00:48:16Z,650000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,In The Paint (Non-RA),0-8 Center,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,
66,PT07M43.00S,2022-11-05T00:48:17.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629018,25.443495400788436,80.63725490196079,1610612761,10,10,2022-11-05T00:51:26Z,660000,-153.0,187.0,1,left,MISS G. Trent Jr. 24' running pullup 3PT,[1629018],1610612761.0,TOR,running pullup,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,,,,24.15,Missed,,,,,,,,,,,,,,,
67,PT07M39.00S,2022-11-05T00:48:21.6Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,10,10,2022-11-05T00:48:26Z,670000,,,0,,R. Bullock REBOUND (Off:1 Def:2),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Left Center,,,,,,66.0,3.0,2.0,1.0,,,,,,,,,,,
68,PT07M35.00S,2022-11-05T00:48:24.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629029,69.85873850197109,19.362745098039216,1610612742,13,10,2022-11-05T00:48:31Z,680000,-153.0,231.0,1,right,L. Doncic 27' 3PT  (6 PTS) (R. Bullock 1 AST),"[1629029, 203493]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,,27.7,Made,,,,,6.0,R. Bullock,203493.0,1.0,,,,,,,
70,PT07M16.00S,2022-11-05T00:48:47.9Z,1,REGULAR,foul,technical,['1freethrow'],203939,,,1610612761,13,10,2022-11-05T00:48:56Z,700000,,,0,,D. Powell defensive-3-second technical FOUL (1 Tech),[203939],1610612742.0,DAL,defensive-3-second,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,1146.0,0.0,1.0,,
71,PT07M16.00S,2022-11-05T00:49:07.5Z,1,REGULAR,freethrow,1 of 1,[],1629018,,,1610612761,13,11,2022-11-05T00:49:07Z,710000,,,0,,G. Trent Jr. technical Free Throw 1 of 1 (1 PTS),[1629018],1610612761.0,TOR,technical,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,
72,PT07M03.00S,2022-11-05T00:49:33.6Z,1,REGULAR,2pt,Jump Shot,[],1627783,19.053876478318003,26.20251225490196,1610612761,13,13,2022-11-05T00:52:49Z,720000,119.0,127.0,1,left,P. Siakam 17' pullup Jump Shot (6 PTS),[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Right Center,,,,17.37,Made,,,,,6.0,,,,,,,,,,
73,PT06M51.00S,2022-11-05T00:49:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,94.30026281208936,54.65686274509803,1610612742,13,13,2022-11-05T00:49:52Z,730000,23.0,1.0,1,right,MISS L. Doncic driving Layup - blocked,"[1629029, 1628449]",1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,2.33,Missed,,,,,,,,,Boucher,1628449.0,,,,,
74,PT06M51.00S,2022-11-05T00:49:46.1Z,1,REGULAR,block,,[],1628449,,,1610612742,13,13,2022-11-05T00:49:48Z,740000,,,0,,C. Boucher BLOCK (1 BLK),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
75,PT06M48.00S,2022-11-05T00:49:49.1Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,13,13,2022-11-05T00:49:52Z,750000,,,0,,S. Barnes REBOUND (Off:1 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,73.0,3.0,2.0,1.0,,,,,,,,,,,
76,PT06M45.00S,2022-11-05T00:49:52.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629018,8.015768725361369,95.56525735294117,1610612761,13,13,2022-11-05T00:53:49Z,760000,-228.0,23.0,1,left,MISS G. Trent Jr. running 3PT,[1629018],1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,Left Corner 3,24+ Left,,,,22.89,Missed,,,,,,,,,,,,,,,
77,PT06M40.00S,2022-11-05T00:49:57.1Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,13,13,2022-11-05T00:50:02Z,770000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Left Corner 3,24+ Left,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,
78,PT06M37.00S,2022-11-05T00:50:00.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203915,92.59198423127464,48.03921568627451,1610612742,15,13,2022-11-05T00:50:10Z,780000,-10.0,17.0,1,right,S. Dinwiddie running Layup (2 PTS),[203915],1610612742.0,DAL,running,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,1.97,Made,,,,,2.0,,,,,,,,,,
79,PT06M17.00S,2022-11-05T00:50:22.5Z,1,REGULAR,foul,personal,['2freethrow'],203939,,,1610612761,15,13,2022-11-05T00:53:26Z,790000,,,0,,D. Powell shooting personal FOUL (1 PF) (Siakam 2 FT),"[203939, 1627783]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1626302.0,1.0,1.0,Siakam,1627783.0
