actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M05.00S,2022-10-30T23:42:58.8Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,4,2022-10-30T23:43:00Z,170000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT09M57.00S,2022-10-30T23:43:07.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629626,6.389618922470433,53.431372549019606,1610612753,2,4,2022-10-30T23:49:17Z,180000,-17.0,8.0,1,left,MISS B. Bol Layup,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,1.88,Missed,,,,,,,,,,,,,,,,,,
19,PT09M57.00S,2022-10-30T23:43:07.5Z,1,REGULAR,rebound,offensive,[],1629626,,,1610612753,2,4,2022-10-30T23:43:31Z,190000,,,0,,B. Bol REBOUND (Off:1 Def:0),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,
20,PT09M57.00S,2022-10-30T23:43:10.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629626,5.590000152587891,50.0,1610612753,2,6,2022-10-30T23:43:20Z,200000,0.0,0.0,1,left,B. Bol tip Layup (2 PTS),[1629626],1610612753.0,ORL,tip,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
21,PT09M57.00S,2022-10-30T23:43:14.6Z,1,REGULAR,foul,personal,['1freethrow'],203915,,,1610612753,2,6,2022-10-30T23:43:21Z,210000,,,0,,S. Dinwiddie shooting personal FOUL (1 PF) (Bol 1 FT),"[203915, 1629626]",1610612742.0,DAL,shooting,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201246.0,1.0,0.0,Bol,1629626.0,,,,,
23,PT09M57.00S,2022-10-30T23:43:31.2Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629626,,,1610612753,2,7,2022-10-30T23:43:31Z,230000,,,0,,B. Bol Free Throw 1 of 1 (3 PTS),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
24,PT09M44.00S,2022-10-30T23:43:45.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,68.15045992115637,67.64705882352942,1610612742,5,7,2022-10-30T23:43:49Z,240000,88.0,247.0,1,right,L. Doncic 26' 3PT step back (5 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,26.22,Made,5.0,,,,,,,,,,,,,,,,,
25,PT09M26.00S,2022-10-30T23:44:02.6Z,1,REGULAR,3pt,Jump Shot,[],1631094,6.521024967148489,94.36274509803921,1610612753,5,10,2022-10-30T23:44:06Z,250000,-222.0,9.0,1,left,P. Banchero 3PT  (3 PTS) (W. Carter Jr. 1 AST),"[1631094, 1628976]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Left Corner 3,24+ Left,22.2,Made,3.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,,,,
27,PT08M57.00S,2022-10-30T23:44:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,94.43166885676742,50.49019607843137,1610612742,7,10,2022-10-30T23:44:35Z,270000,2.0,0.0,1,right,L. Doncic driving Layup (7 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,0.25,Made,7.0,,,,,,,,,,,,,,,,,
28,PT08M41.00S,2022-10-30T23:44:47.7Z,1,REGULAR,2pt,Jump Shot,[],203082,13.61695137976347,18.38235294117647,1610612753,7,10,2022-10-30T23:44:52Z,280000,158.0,75.0,1,left,MISS T. Ross 17' pullup Shot,[203082],1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,Mid-Range,16-24 Right,17.52,Missed,,,,,,,,,,,,,,,,,,
29,PT08M37.00S,2022-10-30T23:44:51.7Z,1,REGULAR,rebound,defensive,[],201580,,,1610612742,7,10,2022-10-30T23:44:52Z,290000,,,0,,J. McGee REBOUND (Off:0 Def:2),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,Mid-Range,16-24 Right,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,
30,PT08M31.00S,2022-10-30T23:44:58.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,93.77463863337714,52.450980392156865,1610612742,9,10,2022-10-30T23:45:02Z,300000,12.0,6.0,1,right,S. Dinwiddie driving Layup (2 PTS),[203915],1610612742.0,DAL,driving,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,1.37,Made,2.0,,,,,,,,,,,,,,,,,
31,PT08M16.00S,2022-10-30T23:45:12.7Z,1,REGULAR,3pt,Jump Shot,[],203082,5.995400788436268,95.09803921568627,1610612753,9,13,2022-10-30T23:45:17Z,310000,-225.0,4.0,1,left,T. Ross 3PT  (3 PTS) (P. Banchero 1 AST),"[203082, 1631094]",1610612753.0,ORL,,,,Ross,T. Ross,,,,,Left Corner 3,24+ Left,22.55,Made,3.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,,,,
33,PT08M06.00S,2022-10-30T23:45:22.7Z,1,REGULAR,3pt,Jump Shot,[],1629029,69.33311432325887,70.58823529411765,1610612742,9,13,2022-10-30T23:45:28Z,330000,103.0,236.0,1,right,MISS L. Doncic 25' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,25.73,Missed,,,,,,,,,,,,,,,,,,
34,PT08M03.00S,2022-10-30T23:45:25.7Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,9,13,2022-10-30T23:45:28Z,340000,,,0,,B. Bol REBOUND (Off:1 Def:1),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Above the Break 3,24+ Right Center,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,
35,PT07M52.00S,2022-10-30T23:45:36.4Z,1,REGULAR,3pt,Jump Shot,[],1628976,6.652431011826544,4.901960784313726,1610612753,9,16,2022-10-30T23:45:44Z,350000,225.0,10.0,1,left,W. Carter Jr. 3PT  (5 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Right Corner 3,24+ Right,22.57,Made,5.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,
37,PT07M32.00S,2022-10-30T23:45:56.8Z,1,REGULAR,3pt,Jump Shot,[],203493,74.58935611038108,15.686274509803921,1610612742,9,16,2022-10-30T23:46:00Z,370000,-172.0,186.0,1,right,MISS R. Bullock 25' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Left Center,25.34,Missed,,,,,,,,,,,,,,,,,,
38,PT07M29.00S,2022-10-30T23:45:59.8Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,9,16,2022-10-30T23:46:00Z,380000,,,0,,B. Bol REBOUND (Off:1 Def:2),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Above the Break 3,24+ Left Center,,,,,,,37.0,3.0,2.0,1.0,,,,,,,,,,
39,PT07M23.00S,2022-10-30T23:46:06.1Z,1,REGULAR,3pt,Jump Shot,[],203082,5.863994743758213,3.9215686274509802,1610612753,9,19,2022-10-30T23:46:11Z,390000,230.0,3.0,1,left,T. Ross 3PT  (6 PTS) (F. Wagner 2 AST),"[203082, 1630532]",1610612753.0,ORL,,,,Ross,T. Ross,,,,,Right Corner 3,24+ Right,23.04,Made,6.0,F. Wagner,1630532.0,2.0,,,,,,,,,,,,,,
41,PT07M22.00S,2022-10-30T23:46:13.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,9,19,2022-10-30T23:46:13Z,410000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M22.00S,2022-10-30T23:47:05.8Z,1,REGULAR,substitution,out,[],201580,,,1610612742,9,19,2022-10-30T23:49:05Z,420000,,,0,,SUB out: J. McGee,[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M22.00S,2022-10-30T23:47:05.8Z,1,REGULAR,substitution,in,[],1626174,,,1610612742,9,19,2022-10-30T23:49:05Z,430000,,,0,,SUB in: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M00.00S,2022-10-30T23:49:29.1Z,1,REGULAR,foul,personal,['2freethrow'],1631094,,,1610612742,9,19,2022-10-30T23:49:35Z,440000,,,0,,P. Banchero shooting personal FOUL (1 PF) (Dinwiddie 2 FT),"[1631094, 203915]",1610612753.0,ORL,shooting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201246.0,1.0,0.0,Dinwiddie,203915.0,,,,,
46,PT07M00.00S,2022-10-30T23:49:50.9Z,1,REGULAR,freethrow,1 of 2,[],203915,,,1610612742,10,19,2022-10-30T23:49:50Z,460000,,,0,,S. Dinwiddie Free Throw 1 of 2 (3 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
47,PT07M00.00S,2022-10-30T23:50:04.8Z,1,REGULAR,freethrow,2 of 2,[],203915,,,1610612742,11,19,2022-10-30T23:50:04Z,470000,,,0,,S. Dinwiddie Free Throw 2 of 2 (4 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
48,PT06M47.00S,2022-10-30T23:50:19.8Z,1,REGULAR,3pt,Jump Shot,[],1629626,5.075558475689881,95.34313725490196,1610612753,11,19,2022-10-30T23:50:23Z,480000,-227.0,-5.0,1,left,MISS B. Bol 3PT,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Left Corner 3,24+ Left,22.68,Missed,,,,,,,,,,,,,,,,,,
49,PT06M44.00S,2022-10-30T23:50:22.8Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,11,19,2022-10-30T23:50:23Z,490000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Left Corner 3,24+ Left,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,
50,PT06M23.00S,2022-10-30T23:50:43.8Z,1,REGULAR,3pt,Jump Shot,[],203915,69.07030223390277,23.284313725490197,1610612742,11,19,2022-10-30T23:50:49Z,500000,-134.0,238.0,1,right,MISS S. Dinwiddie 27' pullup 3PT,[203915],1610612742.0,DAL,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,27.31,Missed,,,,,,,,,,,,,,,,,,
51,PT06M20.00S,2022-10-30T23:50:46.8Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,11,19,2022-10-30T23:50:49Z,510000,,,0,,B. Bol REBOUND (Off:1 Def:3),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Above the Break 3,24+ Left Center,,,,,,,50.0,4.0,3.0,1.0,,,,,,,,,,
52,PT06M15.00S,2022-10-30T23:50:51.6Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629626,5.732588699080158,50.245098039215684,1610612753,11,21,2022-10-30T23:53:14Z,520000,-1.0,1.0,1,left,B. Bol floating Jump Shot (5 PTS),[1629626],1610612753.0,ORL,floating,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,0.18,Made,5.0,,,,,,,,,,,,,,,,,
53,PT06M07.00S,2022-10-30T23:51:02.3Z,1,REGULAR,foul,personal,[],203082,,,1610612742,11,21,2022-10-30T23:51:18Z,530000,,,0,,T. Ross personal FOUL (1 PF),"[203082, 1629029]",1610612753.0,ORL,,,,Ross,T. Ross,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1627963.0,1.0,0.0,Doncic,1629029.0,,,,,
55,PT06M07.00S,2022-10-30T23:51:07.4Z,1,REGULAR,substitution,out,[],203915,,,1610612742,11,21,2022-10-30T23:51:19Z,550000,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M07.00S,2022-10-30T23:51:07.4Z,1,REGULAR,substitution,out,[],1631094,,,1610612742,11,21,2022-10-30T23:51:19Z,560000,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M07.00S,2022-10-30T23:51:07.4Z,1,REGULAR,substitution,in,[],203501,,,1610612742,11,21,2022-10-30T23:51:19Z,570000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M07.00S,2022-10-30T23:51:07.4Z,1,REGULAR,substitution,in,[],1629643,,,1610612742,11,21,2022-10-30T23:51:19Z,580000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT05M55.00S,2022-10-30T23:51:37.8Z,1,REGULAR,turnover,traveling,[],1626174,,,1610612742,11,21,2022-10-30T23:51:42Z,590000,,,0,,C. Wood traveling TURNOVER (1 TO),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201246.0,,,,,1.0,,,,
60,PT05M42.00S,2022-10-30T23:52:02.1Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612753,11,21,2022-10-30T23:52:09Z,600000,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[1627827, 1628976]",1610612742.0,DAL,shooting,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627963.0,1.0,0.0,Carter Jr.,1628976.0,,,,,
62,PT05M42.00S,2022-10-30T23:52:35.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628976,,,1610612753,11,21,2022-10-30T23:53:01Z,620000,,,0,,MISS W. Carter Jr. Free Throw 1 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
63,PT05M42.00S,2022-10-30T23:52:35.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612753,11,21,2022-10-30T23:53:01Z,630000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,
64,PT05M42.00S,2022-10-30T23:52:36.2Z,1,REGULAR,substitution,out,[],1627827,,,1610612753,11,21,2022-10-30T23:52:49Z,640000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M42.00S,2022-10-30T23:52:36.2Z,1,REGULAR,substitution,in,[],1628467,,,1610612753,11,21,2022-10-30T23:52:49Z,650000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M42.00S,2022-10-30T23:52:35.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628976,,,1610612753,11,21,2022-10-30T23:53:01Z,660000,,,0,,MISS W. Carter Jr. Free Throw 2 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
67,PT05M39.00S,2022-10-30T23:52:38.4Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,11,21,2022-10-30T23:53:01Z,670000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,
68,PT05M27.00S,2022-10-30T23:53:12.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,93.24901445466492,55.14705882352941,1610612742,13,21,2022-10-30T23:53:19Z,680000,26.0,11.0,1,right,L. Doncic turnaround bank Jump Shot (9 PTS),[1629029],1610612742.0,DAL,turnaround bank,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,2.8,Made,9.0,,,,,,,,,,,,,,,,,
69,PT05M10.00S,2022-10-30T23:53:29.2Z,1,REGULAR,2pt,Jump Shot,[],203082,6.258212877792378,73.2843137254902,1610612753,13,23,2022-10-30T23:53:34Z,690000,-116.0,6.0,1,left,T. Ross 11' driving floating Jump Shot (8 PTS),[203082],1610612753.0,ORL,driving floating,,,Ross,T. Ross,,,,,Mid-Range,8-16 Left,11.66,Made,8.0,,,,,,,,,,,,,,,,,
70,PT04M58.00S,2022-10-30T23:53:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,92.9862023653088,49.754901960784316,1610612742,15,23,2022-10-30T23:53:45Z,700000,-1.0,13.0,1,right,L. Doncic driving Layup (11 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,1.35,Made,11.0,,,,,,,,,,,,,,,,,
71,PT04M46.00S,2022-10-30T23:53:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,6.258212877792378,51.470588235294116,1610612753,15,23,2022-10-30T23:53:57Z,710000,-7.0,6.0,1,left,MISS W. Carter Jr. cutting finger roll Layup,[1628976],1610612753.0,ORL,cutting finger roll,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,0.97,Missed,,,,,,,,,,,,,,,,,,
72,PT04M43.00S,2022-10-30T23:53:56.2Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,15,23,2022-10-30T23:53:57Z,720000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,
73,PT04M38.00S,2022-10-30T23:54:00.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203493,92.9862023653088,5.637254901960785,1610612742,18,23,2022-10-30T23:54:09Z,730000,-222.0,13.0,1,right,R. Bullock 3PT  (3 PTS) (L. Doncic 1 AST),"[203493, 1629029]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Left Corner 3,24+ Left,22.22,Made,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
75,PT04M37.00S,2022-10-30T23:54:06.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,18,23,2022-10-30T23:54:06Z,750000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M37.00S,2022-10-30T23:54:09.3Z,1,REGULAR,substitution,out,[],203082,,,1610612753,18,23,2022-10-30T23:57:00Z,760000,,,0,,SUB out: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M37.00S,2022-10-30T23:54:09.3Z,1,REGULAR,substitution,in,[],1630284,,,1610612753,18,23,2022-10-30T23:57:00Z,770000,,,0,,SUB in: K. Harris,[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M17.00S,2022-10-30T23:57:20.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,7.966491458607096,56.86274509803921,1610612753,18,25,2022-10-30T23:59:10Z,780000,-34.0,22.0,1,left,W. Carter Jr. floating Jump Shot (7 PTS) (F. Wagner 3 AST),"[1628976, 1630532]",1610612753.0,ORL,floating,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,4.1,Made,7.0,F. Wagner,1630532.0,3.0,,,,,,,,,,,,,,
80,PT03M58.00S,2022-10-30T23:57:38.2Z,1,REGULAR,3pt,Jump Shot,[],203493,76.69185282522996,13.970588235294118,1610612742,21,25,2022-10-30T23:57:43Z,800000,-180.0,167.0,1,right,R. Bullock 24' 3PT  (6 PTS) (T. Hardaway Jr. 1 AST),"[203493, 203501]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Left Center,24.53,Made,6.0,T. Hardaway Jr.,203501.0,1.0,,,,,,,,,,,,,,
82,PT03M40.00S,2022-10-30T23:57:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630284,7.046649145860711,50.0,1610612753,21,27,2022-10-30T23:58:05Z,820000,0.0,14.0,1,left,K. Harris cutting Layup (2 PTS) (W. Carter Jr. 2 AST),"[1630284, 1628976]",1610612753.0,ORL,cutting,,,Harris,K. Harris,,,,,Restricted Area,0-8 Center,1.37,Made,2.0,W. Carter Jr.,1628976.0,2.0,,,,,,,,,,,,,,
84,PT03M40.00S,2022-10-30T23:58:01.8Z,1,REGULAR,foul,personal,['1freethrow'],1626174,,,1610612753,21,27,2022-10-30T23:58:08Z,840000,,,0,,C. Wood shooting personal FOUL (1 PF) (Harris 1 FT),"[1626174, 1630284]",1610612742.0,DAL,shooting,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,,,,,,,,200832.0,1.0,0.0,Harris,1630284.0,,,,,
86,PT03M40.00S,2022-10-30T23:58:09.6Z,1,REGULAR,substitution,out,[],203493,,,1610612753,21,27,2022-10-30T23:59:10Z,860000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT03M40.00S,2022-10-30T23:58:09.6Z,1,REGULAR,substitution,in,[],1630182,,,1610612753,21,27,2022-10-30T23:59:10Z,870000,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
