actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
21,PT10M16.00S,2022-10-30T01:13:09.2Z,1,REGULAR,violation,kicked ball,[],203915,,,1610612760,8,4,2022-10-30T01:13:38Z,210000,,,0,,S. Dinwiddie kicked ball VIOLATION,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,2530.0,,,,,,,,,,,,,
22,PT10M02.00S,2022-10-30T01:13:34.7Z,1,REGULAR,2pt,Jump Shot,[],1629652,10.85742444152431,29.65686274509804,1610612760,8,4,2022-10-30T01:13:44Z,220000,102.0,50.0,1,left,MISS L. Dort 11' driving floating bank Shot,[1629652],1610612760.0,OKC,driving floating bank,,,Dort,L. Dort,,,,,Mid-Range,8-16 Right,11.32,Missed,,,,,,,,,,,,,,,,,,
23,PT10M00.00S,2022-10-30T01:13:37.3Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,8,4,2022-10-30T01:13:37Z,230000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Mid-Range,8-16 Right,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,
24,PT09M54.00S,2022-10-30T01:13:43.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629029,88.2227332457293,51.71568627450981,1610612742,8,4,2022-10-30T01:19:02Z,240000,9.0,58.0,1,right,MISS L. Doncic running pullup Shot,[1629029],1610612742.0,DAL,running pullup,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,5.88,Missed,,,,,,,,,,,,,,,,,,
26,PT09M49.00S,2022-10-30T01:13:48.3Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,8,4,2022-10-30T01:13:50Z,260000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,24.0,1.0,0.0,1.0,,,,,,,
27,PT09M48.00S,2022-10-30T01:13:48.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629029,90.22667542706965,50.245098039215684,1610612742,8,4,2022-10-30T01:13:58Z,270000,1.0,39.0,1,right,MISS L. Doncic Layup - blocked,"[1629029, 1628983]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,3.94,Missed,,,,,,,,,,,,Gilgeous-Alexander,1628983.0,,,,,
28,PT09M48.00S,2022-10-30T01:13:48.3Z,1,REGULAR,block,,[],1628983,,,1610612742,8,4,2022-10-30T01:13:51Z,280000,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M44.00S,2022-10-30T01:13:52.3Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,8,4,2022-10-30T01:13:58Z,290000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,
30,PT09M40.00S,2022-10-30T01:13:56.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,29.517082785808146,25.735294117647058,1610612760,8,4,2022-10-30T01:14:07Z,300000,121.0,225.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.56,Missed,,,,,,,,,,,,,,,,,,
31,PT09M40.00S,2022-10-30T01:13:56.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,8,4,2022-10-30T01:14:07Z,310000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,
32,PT09M24.00S,2022-10-30T01:14:12.5Z,1,REGULAR,3pt,Jump Shot,[],1627827,95.22010512483574,4.6568627450980395,1610612742,8,4,2022-10-30T01:14:17Z,320000,-227.0,-8.0,1,right,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Left Corner 3,24+ Left,22.68,Missed,,,,,,,,,,,,,,,,,,
33,PT09M21.00S,2022-10-30T01:14:15.2Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,8,4,2022-10-30T01:14:15Z,330000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,
34,PT09M17.00S,2022-10-30T01:14:19.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628983,5.338370565045992,53.18627450980392,1610612760,8,6,2022-10-30T01:14:24Z,340000,-16.0,-2.0,1,left,S. Gilgeous-Alexander running Layup (2 PTS) (A. Pokusevski 2 AST),"[1628983, 1630197]",1610612760.0,OKC,running,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.61,Made,2.0,A. Pokusevski,1630197.0,2.0,,,,,,,,,,,,,,
36,PT09M05.00S,2022-10-30T01:14:33.7Z,1,REGULAR,foul,offensive,[],203915,,,1610612742,8,6,2022-10-30T01:14:46Z,360000,,,0,,S. Dinwiddie offensive FOUL (1 PF),"[203915, 1630598]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,16-24 Right,,,,,,,2530.0,1.0,0.0,,,,,,,Wiggins,1630598.0,,,
38,PT09M05.00S,2022-10-30T01:14:33.7Z,1,REGULAR,turnover,offensive foul,[],203915,,,1610612742,8,6,2022-10-30T01:14:33Z,380000,,,0,,S. Dinwiddie offensive foul TURNOVER (1 TO),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,16-24 Right,,,,,,,2530.0,,,,,,,,,,,1.0,,
39,PT08M56.00S,2022-10-30T01:14:53.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628983,12.302890932982917,55.14705882352941,1610612760,8,8,2022-10-30T01:15:08Z,390000,-26.0,63.0,1,left,S. Gilgeous-Alexander 6' driving floating bank Jump Shot (4 PTS),[1628983],1610612760.0,OKC,driving floating bank,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,6.81,Made,4.0,,,,,,,,,,,,,,,,,
40,PT08M56.00S,2022-10-30T01:14:56.8Z,1,REGULAR,foul,personal,['1freethrow'],203939,,,1610612760,8,8,2022-10-30T01:15:10Z,400000,,,0,,D. Powell shooting personal FOUL (1 PF) (Gilgeous-Alexander 1 FT),"[203939, 1628983]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2530.0,1.0,0.0,,,,,,,Gilgeous-Alexander,1628983.0,,,
42,PT08M56.00S,2022-10-30T01:15:27.3Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628983,,,1610612760,8,9,2022-10-30T01:15:27Z,420000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 1 (5 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
43,PT08M49.00S,2022-10-30T01:15:39.4Z,1,REGULAR,foul,personal,[],1628983,,,1610612742,8,9,2022-10-30T01:15:45Z,430000,,,0,,S. Gilgeous-Alexander personal FOUL (1 PF),"[1628983, 1627827]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,,,,,,,1627541.0,1.0,0.0,,,,,,,Finney-Smith,1627827.0,,,
45,PT08M41.00S,2022-10-30T01:16:02.3Z,1,REGULAR,3pt,Jump Shot,[],203493,94.03745072273325,3.9215686274509802,1610612742,11,9,2022-10-30T01:16:06Z,450000,-230.0,4.0,1,right,R. Bullock 3PT  (4 PTS) (L. Doncic 4 AST),"[203493, 1629029]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Left Corner 3,24+ Left,23.04,Made,4.0,L. Doncic,1629029.0,4.0,,,,,,,,,,,,,,
47,PT08M26.00S,2022-10-30T01:16:16.1Z,1,REGULAR,turnover,bad pass,[],1630197,,,1610612760,11,9,2022-10-30T01:16:22Z,470000,,,0,,A. Pokusevski bad pass TURNOVER (1 TO),"[1630197, 203915]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Dinwiddie,203915.0
48,PT08M26.00S,2022-10-30T01:16:16.1Z,1,REGULAR,steal,,[],203915,,,1610612742,11,9,2022-10-30T01:16:19Z,480000,,,0,,S. Dinwiddie STEAL (1 STL),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
49,PT08M17.00S,2022-10-30T01:16:25.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203915,91.93495400788436,48.28431372549019,1610612742,11,9,2022-10-30T01:16:35Z,490000,-9.0,23.0,1,right,MISS S. Dinwiddie running finger roll Layup,[203915],1610612742.0,DAL,running finger roll,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,2.48,Missed,,,,,,,,,,,,,,,,,,
50,PT08M15.00S,2022-10-30T01:16:27.2Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,11,9,2022-10-30T01:16:35Z,500000,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,
51,PT08M08.00S,2022-10-30T01:16:34.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,12.697109067017081,49.01960784313725,1610612760,11,9,2022-10-30T01:21:03Z,510000,5.0,67.0,1,left,MISS S. Gilgeous-Alexander 6' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,6.71,Missed,,,,,,,,,,,,,,,,,,
52,PT08M06.00S,2022-10-30T01:16:36.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,11,9,2022-10-30T01:16:41Z,520000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,
53,PT08M03.00S,2022-10-30T01:16:44.6Z,1,REGULAR,foul,offensive,[],203493,,,1610612742,11,9,2022-10-30T01:17:26Z,530000,,,0,,R. Bullock off-the-ball offensive FOUL (1 PF),"[203493, 1629652]",1610612742.0,DAL,off-the-ball,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Right Center,,,,,,,2530.0,1.0,0.0,,,,,,,Dort,1629652.0,,,
55,PT08M03.00S,2022-10-30T01:16:44.6Z,1,REGULAR,turnover,offensive foul,[],203493,,,1610612742,11,9,2022-10-30T01:16:44Z,550000,,,0,,R. Bullock offensive foul TURNOVER (1 TO),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Right Center,,,,,,,2530.0,,,,,,,,,,,1.0,,
56,PT07M49.00S,2022-10-30T01:17:14.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630197,6.915243101182654,52.20588235294118,1610612760,11,11,2022-10-30T01:17:22Z,560000,-11.0,13.0,1,left,A. Pokusevski reverse Layup (4 PTS) (A. Wiggins 1 AST),"[1630197, 1630598]",1610612760.0,OKC,reverse,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,1.67,Made,4.0,A. Wiggins,1630598.0,1.0,,,,,,,,,,,,,,
58,PT07M30.00S,2022-10-30T01:17:33.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,93.24901445466492,52.69607843137255,1610612742,13,11,2022-10-30T01:17:38Z,580000,13.0,11.0,1,right,L. Doncic driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,1.74,Made,2.0,,,,,,,,,,,,,,,,,
59,PT07M09.00S,2022-10-30T01:17:53.8Z,1,REGULAR,2pt,Jump Shot,[],1630544,12.565703022339028,71.32352941176471,1610612760,13,13,2022-10-30T01:23:00Z,590000,-107.0,66.0,1,left,T. Mann 12' driving floating Jump Shot (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1630544, 1628983]",1610612760.0,OKC,driving floating,,,Mann,T. Mann,,,,,Mid-Range,8-16 Left,12.52,Made,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,,,,
61,PT06M54.00S,2022-10-30T01:18:09.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,92.9862023653088,47.30392156862745,1610612742,15,13,2022-10-30T01:18:14Z,610000,-13.0,13.0,1,right,L. Doncic driving Layup (4 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,1.9,Made,4.0,,,,,,,,,,,,,,,,,
62,PT06M40.00S,2022-10-30T01:18:22.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630544,16.770696452036795,44.36274509803921,1610612760,15,15,2022-10-30T01:18:27Z,620000,28.0,105.0,1,left,T. Mann 10' turnaround fadeaway Jump Shot (4 PTS),[1630544],1610612760.0,OKC,turnaround fadeaway,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,10.88,Made,4.0,,,,,,,,,,,,,,,,,
63,PT06M20.00S,2022-10-30T01:18:43.1Z,1,REGULAR,3pt,Jump Shot,[],203939,67.36202365308804,33.33333333333333,1610612742,15,15,2022-10-30T01:18:49Z,630000,-83.0,254.0,1,right,MISS D. Powell 26' 3PT,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Left Center,26.76,Missed,,,,,,,,,,,,,,,,,,
64,PT06M18.00S,2022-10-30T01:18:45.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,15,15,2022-10-30T01:18:49Z,640000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,63.0,,,,,,,,,,
66,PT06M18.00S,2022-10-30T01:18:51.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,15,15,2022-10-30T01:18:51Z,660000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M18.00S,2022-10-30T01:19:05.4Z,1,REGULAR,substitution,out,[],203915,,,1610612760,15,15,2022-10-30T01:21:38Z,670000,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M18.00S,2022-10-30T01:19:05.4Z,1,REGULAR,substitution,out,[],203939,,,1610612760,15,15,2022-10-30T01:21:38Z,680000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M18.00S,2022-10-30T01:19:05.4Z,1,REGULAR,substitution,in,[],203501,,,1610612760,15,15,2022-10-30T01:21:38Z,690000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M18.00S,2022-10-30T01:19:05.4Z,1,REGULAR,substitution,in,[],1626174,,,1610612760,15,15,2022-10-30T01:21:38Z,700000,,,0,,SUB in: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M01.00S,2022-10-30T01:22:02.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630544,14.668199737187912,53.67647058823529,1610612760,15,15,2022-10-30T01:22:06Z,710000,-18.0,85.0,1,left,MISS T. Mann 8' driving floating Shot,[1630544],1610612760.0,OKC,driving floating,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,8.74,Missed,,,,,,,,,,,,,,,,,,
72,PT05M57.00S,2022-10-30T01:22:06.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,15,15,2022-10-30T01:22:06Z,720000,,,0,,L. Doncic REBOUND (Off:0 Def:3),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,71.0,3.0,3.0,0.0,,,,,,,
73,PT05M50.00S,2022-10-30T01:22:13.3Z,1,REGULAR,foul,offensive,[],1626174,,,1610612742,15,15,2022-10-30T01:22:23Z,730000,,,0,,C. Wood off-the-ball offensive FOUL (1 PF),"[1626174, 1629652]",1610612742.0,DAL,off-the-ball,,,Wood,C. Wood,,,,,Mid-Range,16-24 Right Center,,,,,,,1627541.0,1.0,0.0,,,,,,,Dort,1629652.0,,,
75,PT05M50.00S,2022-10-30T01:22:13.3Z,1,REGULAR,turnover,offensive foul,[],1626174,,,1610612742,15,15,2022-10-30T01:22:13Z,750000,,,0,,C. Wood offensive foul TURNOVER (1 TO),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Mid-Range,16-24 Right Center,,,,,,,1627541.0,,,,,,,,,,,1.0,,
76,PT05M38.00S,2022-10-30T01:22:37.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630598,7.966491458607096,51.9607843137255,1610612760,15,17,2022-10-30T01:22:41Z,760000,-10.0,22.0,1,left,A. Wiggins cutting Layup (2 PTS) (A. Pokusevski 3 AST),"[1630598, 1630197]",1610612760.0,OKC,cutting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,2.44,Made,2.0,A. Pokusevski,1630197.0,3.0,,,,,,,,,,,,,,
78,PT05M29.00S,2022-10-30T01:22:47.0Z,1,REGULAR,3pt,Jump Shot,[],203501,70.64717477003943,21.568627450980394,1610612742,15,17,2022-10-30T01:22:54Z,780000,-142.0,223.0,1,right,MISS T. Hardaway Jr. 26' pullup 3PT,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,26.48,Missed,,,,,,,,,,,,,,,,,,
79,PT05M24.00S,2022-10-30T01:22:52.3Z,1,REGULAR,rebound,offensive,[],203493,,,1610612742,15,17,2022-10-30T01:22:52Z,790000,,,0,,R. Bullock REBOUND (Off:1 Def:0),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,78.0,1.0,0.0,1.0,,,,,,,
80,PT05M13.00S,2022-10-30T01:23:03.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629029,89.30683311432325,49.754901960784316,1610612742,15,17,2022-10-30T01:23:11Z,800000,-1.0,48.0,1,right,MISS L. Doncic driving Layup,[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,4.8,Missed,,,,,,,,,,,,,,,,,,
81,PT05M12.00S,2022-10-30T01:23:04.8Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,15,17,2022-10-30T01:23:11Z,810000,,,0,,A. Pokusevski REBOUND (Off:0 Def:2),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,80.0,2.0,2.0,0.0,,,,,,,
82,PT05M12.00S,2022-10-30T01:23:07.1Z,1,REGULAR,foul,personal,[],1629029,,,1610612760,15,17,2022-10-30T01:23:33Z,820000,,,0,,L. Doncic personal FOUL (1 PF),"[1629029, 1630197]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Center,,,,,,,1627541.0,1.0,0.0,,,,,,,Pokusevski,1630197.0,,,
84,PT05M12.00S,2022-10-30T01:23:17.6Z,1,REGULAR,substitution,out,[],1630197,,,1610612760,15,17,2022-10-30T01:23:29Z,840000,,,0,,SUB out: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M12.00S,2022-10-30T01:23:17.6Z,1,REGULAR,substitution,out,[],1630544,,,1610612760,15,17,2022-10-30T01:23:29Z,850000,,,0,,SUB out: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M12.00S,2022-10-30T01:23:17.6Z,1,REGULAR,substitution,in,[],1631114,,,1610612760,15,17,2022-10-30T01:23:29Z,860000,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M12.00S,2022-10-30T01:23:17.6Z,1,REGULAR,substitution,in,[],1629647,,,1610612760,15,17,2022-10-30T01:23:29Z,870000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M04.00S,2022-10-30T01:23:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,6.389618922470433,53.67647058823529,1610612760,15,17,2022-10-30T01:26:46Z,880000,-18.0,8.0,1,left,MISS L. Dort cutting Layup - blocked,"[1629652, 1627827]",1610612760.0,OKC,cutting,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,1.99,Missed,,,,,,,,,,,,Finney-Smith,1627827.0,,,,,
