actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
15,PT10M30.00S,2023-01-21T00:46:52.4Z,1,REGULAR,turnover,out-of-bounds,[],1628997,,,1610612748,2,2,2023-01-21T00:46:59Z,150000,False,,,0,,C. Martin step out-of-bounds TURNOVER (1 TO),[1628997],1610612748.0,MIA,step,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,,,,,1151.0,1.0,,,,,,,,,,,
16,PT10M15.00S,2023-01-21T00:47:20.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203501,82.07950065703022,30.637254901960787,1610612742,2,2,2023-01-21T00:47:24Z,160000,False,-97.0,116.0,1,right,MISS T. Hardaway Jr. 15' pullup Shot,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,8-16 Left,15.11,Missed,,,,,,,,,,,,,,,,,,
17,PT10M12.00S,2023-01-21T00:47:23.0Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,2,2,2023-01-21T00:47:24Z,170000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Mid-Range,8-16 Left,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT09M53.00S,2023-01-21T00:47:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,6.389618922470433,47.549019607843135,1610612748,2,2,2023-01-21T00:47:57Z,180000,False,12.0,8.0,1,left,MISS J. Butler driving Layup,[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,1.45,Missed,,,,,,,,,,,,,,,,,,
19,PT09M51.00S,2023-01-21T00:47:42.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,2,2,2023-01-21T00:47:57Z,190000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Restricted Area,0-8 Center,,,18.0,,,,,,,,,,,,,,,,,
21,PT09M36.00S,2023-01-21T00:48:06.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203939,91.01511169513797,45.83333333333333,1610612742,4,2,2023-01-21T00:48:12Z,210000,False,-21.0,32.0,1,right,D. Powell Hook (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,3.82,Made,,,,,2.0,,,L. Doncic,1629029.0,1.0,,,,,,,,
23,PT09M24.00S,2023-01-21T00:48:17.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,15.588042049934298,45.09803921568628,1610612748,4,2,2023-01-21T00:48:21Z,230000,False,25.0,94.0,1,left,MISS B. Adebayo 9' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,9.71,Missed,,,,,,,,,,,,,,,,,,
24,PT09M22.00S,2023-01-21T00:48:19.3Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,4,2,2023-01-21T00:48:21Z,240000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),8-16 Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M15.00S,2023-01-21T00:48:27.2Z,1,REGULAR,3pt,Jump Shot,[],203501,69.85873850197109,25.49019607843137,1610612742,4,2,2023-01-21T00:48:34Z,250000,False,-123.0,231.0,1,right,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,26.13,Missed,,,,,,,,,,,,,,,,,,
26,PT09M14.00S,2023-01-21T00:48:28.2Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,4,2,2023-01-21T00:52:11Z,260000,False,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Left Center,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
27,PT09M14.00S,2023-01-21T00:48:32.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203939,94.40999984741211,50.0,1610612742,6,2,2023-01-21T00:52:27Z,270000,False,0.0,0.0,1,right,D. Powell tip Layup (4 PTS),[203939],1610612742.0,DAL,tip,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,4.0,,,,,,,,,,,,,
28,PT09M01.00S,2023-01-21T00:48:45.7Z,1,REGULAR,violation,kicked ball,[],1627827,,,1610612748,6,2,2023-01-21T00:48:50Z,280000,False,,,0,,D. Finney-Smith kicked ball VIOLATION,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,1626300.0,,,,,,,,,,,,
29,PT08M56.00S,2023-01-21T00:48:59.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,7.703679369250986,57.107843137254896,1610612748,6,2,2023-01-21T00:49:17Z,290000,False,-36.0,20.0,1,left,MISS T. Herro driving finger roll Layup,[1629639],1610612748.0,MIA,driving finger roll,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,4.07,Missed,,,,,,,,,,,,,,,,,,
30,PT08M55.00S,2023-01-21T00:49:00.5Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,6,2,2023-01-21T00:49:17Z,300000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,29.0,2.0,1.0,1.0,,,,,,,,,,,,,,
31,PT08M55.00S,2023-01-21T00:49:02.1Z,1,REGULAR,foul,personal,['2freethrow'],203501,,,1610612748,6,2,2023-01-21T00:49:11Z,310000,False,,,0,,T. Hardaway Jr. shooting personal FOUL (1 PF) (Adebayo 2 FT),"[203501, 1628389]",1610612742.0,DAL,shooting,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,1151.0,,,,,1.0,0.0,Adebayo,1628389.0,,,,
33,PT08M55.00S,2023-01-21T00:49:35.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628389,,,1610612748,6,3,2023-01-21T00:49:35Z,330000,False,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
34,PT08M55.00S,2023-01-21T00:49:54.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628389,,,1610612748,6,4,2023-01-21T00:49:54Z,340000,False,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
35,PT08M39.00S,2023-01-21T00:50:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,93.11760840998686,51.470588235294116,1610612742,8,4,2023-01-21T00:50:18Z,350000,False,7.0,12.0,1,right,L. Doncic driving finger roll Layup (2 PTS),[1629029],1610612742.0,DAL,driving finger roll,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,1.43,Made,,,,,2.0,,,,,,,,,,,,,
36,PT08M25.00S,2023-01-21T00:50:24.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,15.982260183968464,45.34313725490196,1610612748,8,6,2023-01-21T00:50:29Z,360000,False,23.0,98.0,1,left,T. Herro 10' driving floating Jump Shot (2 PTS) (B. Adebayo 1 AST),"[1629639, 1628389]",1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,10.04,Made,,,,,2.0,,,B. Adebayo,1628389.0,1.0,,,,,,,,
38,PT08M18.00S,2023-01-21T00:50:32.5Z,1,REGULAR,3pt,Jump Shot,[],203915,74.58935611038108,82.59803921568627,1610612742,8,6,2023-01-21T00:50:38Z,380000,False,163.0,186.0,1,right,MISS S. Dinwiddie 24' pullup 3PT,[203915],1610612742.0,DAL,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,24.76,Missed,,,,,,,,,,,,,,,,,,
39,PT08M16.00S,2023-01-21T00:50:34.5Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,8,6,2023-01-21T00:50:38Z,390000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT08M11.00S,2023-01-21T00:50:42.7Z,1,REGULAR,foul,personal,[],203915,,,1610612748,8,6,2023-01-21T00:51:03Z,400000,False,,,0,,S. Dinwiddie personal FOUL (1 PF),"[203915, 1628389]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,16-24 Right Center,,,,,,,,1626300.0,,,,,1.0,0.0,Adebayo,1628389.0,,,,
42,PT08M11.00S,2023-01-21T00:50:51.4Z,1,REGULAR,substitution,out,[],1627827,,,1610612748,8,6,2023-01-21T00:50:53Z,420000,False,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M11.00S,2023-01-21T00:50:51.4Z,1,REGULAR,substitution,in,[],203493,,,1610612748,8,6,2023-01-21T00:50:53Z,430000,False,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M54.00S,2023-01-21T00:51:22.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,9.674770039421814,34.31372549019608,1610612748,8,6,2023-01-21T00:51:45Z,440000,False,78.0,38.0,1,left,MISS J. Butler 8' turnaround fadeaway Shot,[202710],1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Right,8.73,Missed,,,,,,,,,,,,,,,,,,
45,PT07M53.00S,2023-01-21T00:51:23.1Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,8,6,2023-01-21T00:51:45Z,450000,False,,,0,,D. Powell REBOUND (Off:1 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,In The Paint (Non-RA),8-16 Right,,,44.0,2.0,1.0,1.0,,,,,,,,,,,,,,
47,PT07M36.00S,2023-01-21T00:51:52.1Z,1,REGULAR,violation,kicked ball,[],1628997,,,1610612742,8,6,2023-01-21T00:51:59Z,470000,False,,,0,,C. Martin kicked ball VIOLATION,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,1626300.0,,,,,,,,,,,,
48,PT07M28.00S,2023-01-21T00:52:12.0Z,1,REGULAR,3pt,Jump Shot,[],1629029,70.64717477003943,21.07843137254902,1610612742,11,6,2023-01-21T00:52:17Z,480000,False,-145.0,223.0,1,right,L. Doncic 26' 3PT step back (5 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,26.61,Made,,,,,5.0,,,,,,,,,,,,,
49,PT07M15.00S,2023-01-21T00:52:30.5Z,1,REGULAR,foul,personal,['2freethrow'],203493,,,1610612748,11,6,2023-01-21T00:52:35Z,490000,False,,,0,,R. Bullock shooting personal FOUL (1 PF) (Butler 2 FT),"[203493, 202710]",1610612742.0,DAL,shooting,,,Bullock,R. Bullock,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1151.0,,,,,1.0,0.0,Butler,202710.0,,,,
51,PT07M15.00S,2023-01-21T00:52:56.7Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,11,7,2023-01-21T00:52:56Z,510000,False,,,0,,J. Butler Free Throw 1 of 2 (1 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
52,PT07M15.00S,2023-01-21T00:53:15.5Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,11,8,2023-01-21T00:53:15Z,520000,False,,,0,,J. Butler Free Throw 2 of 2 (2 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
53,PT06M53.00S,2023-01-21T00:53:40.9Z,1,REGULAR,2pt,Jump Shot,[],203493,92.32917214191852,79.16666666666666,1610612742,11,8,2023-01-21T00:53:49Z,530000,False,146.0,20.0,1,right,MISS R. Bullock 14' pullup Shot,[203493],1610612742.0,DAL,pullup,,,Bullock,R. Bullock,,,,,Mid-Range,8-16 Right,14.71,Missed,,,,,,,,,,,,,,,,,,
54,PT06M51.00S,2023-01-21T00:53:42.7Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,11,8,2023-01-21T00:53:42Z,540000,False,,,0,,D. Powell REBOUND (Off:2 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Mid-Range,8-16 Right,,,53.0,3.0,1.0,2.0,,,,,,,,,,,,,,
55,PT06M49.00S,2023-01-21T00:53:44.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203915,74.72076215505913,12.009803921568627,1610612742,11,8,2023-01-21T00:54:03Z,550000,False,-190.0,185.0,1,right,MISS S. Dinwiddie 26' 3PT,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,26.53,Missed,,,,,,,,,,,,,,,,,,
56,PT06M45.00S,2023-01-21T00:53:48.4Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,11,8,2023-01-21T00:53:48Z,560000,False,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,
57,PT06M34.00S,2023-01-21T00:53:59.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,17.559132720105126,43.872549019607845,1610612748,11,8,2023-01-21T00:54:11Z,570000,False,31.0,113.0,1,left,MISS B. Adebayo 11' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,11.67,Missed,,,,,,,,,,,,,,,,,,
58,PT06M32.00S,2023-01-21T00:54:01.4Z,1,REGULAR,rebound,offensive,[],200768,,,1610612748,11,8,2023-01-21T00:54:11Z,580000,False,,,0,,K. Lowry REBOUND (Off:1 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Center,,,57.0,2.0,1.0,1.0,,,,,,,,,,,,,,
59,PT06M23.00S,2023-01-21T00:54:10.6Z,1,REGULAR,turnover,bad pass,[],1628997,,,1610612748,11,8,2023-01-21T00:54:14Z,590000,False,,,0,,C. Martin bad pass TURNOVER (2 TO),"[1628997, 203493]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,Mid-Range,8-16 Right,,,,,,,,,2.0,,,,,,,,Bullock,203493.0,,
60,PT06M23.00S,2023-01-21T00:54:10.6Z,1,REGULAR,steal,,[],203493,,,1610612742,11,8,2023-01-21T00:54:12Z,600000,False,,,0,,R. Bullock STEAL (1 STL),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
61,PT06M14.00S,2023-01-21T00:54:20.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203501,82.47371879106439,95.34313725490196,1610612742,14,8,2023-01-21T00:54:24Z,610000,False,227.0,112.0,1,right,T. Hardaway Jr. 25' 3PT  (3 PTS) (R. Bullock 1 AST),"[203501, 203493]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,25.29,Made,,,,,3.0,,,R. Bullock,203493.0,1.0,,,,,,,,
63,PT05M52.00S,2023-01-21T00:54:42.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,5.075558475689881,49.01960784313725,1610612748,14,8,2023-01-21T00:54:47Z,630000,False,5.0,-5.0,1,left,MISS B. Adebayo driving Layup,[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,0.69,Missed,,,,,,,,,,,,,,,,,,
64,PT05M49.00S,2023-01-21T00:54:45.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,14,8,2023-01-21T00:54:47Z,640000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,
65,PT05M43.00S,2023-01-21T00:54:50.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203501,66.44218134034165,48.28431372549019,1610612742,14,8,2023-01-21T00:55:12Z,650000,False,-9.0,263.0,1,right,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,26.3,Missed,,,,,,,,,,,,,,,,,,
66,PT05M40.00S,2023-01-21T00:54:53.5Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,14,8,2023-01-21T00:54:55Z,660000,False,,,0,,T. Herro REBOUND (Off:0 Def:3),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,65.0,3.0,3.0,0.0,,,,,,,,,,,,,,
67,PT05M33.00S,2023-01-21T00:55:02.7Z,1,REGULAR,foul,personal,['2freethrow'],203915,,,1610612748,14,8,2023-01-21T00:55:11Z,670000,False,,,0,,S. Dinwiddie shooting personal FOUL (2 PF) (Herro 2 FT),"[203915, 1629639]",1610612742.0,DAL,shooting,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,8-16 Right,,,,,,,,1626300.0,,,,,2.0,0.0,Herro,1629639.0,,,,
69,PT05M33.00S,2023-01-21T00:55:13.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,14,8,2023-01-21T00:55:13Z,690000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M33.00S,2023-01-21T00:55:16.1Z,1,REGULAR,substitution,out,[],203939,,,1610612748,14,8,2023-01-21T00:58:47Z,700000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M33.00S,2023-01-21T00:55:16.1Z,1,REGULAR,substitution,out,[],203915,,,1610612748,14,8,2023-01-21T00:58:47Z,710000,False,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M33.00S,2023-01-21T00:55:16.1Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,14,8,2023-01-21T00:58:47Z,720000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M33.00S,2023-01-21T00:55:16.1Z,1,REGULAR,substitution,out,[],1628997,,,1610612748,14,8,2023-01-21T00:58:47Z,730000,False,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M33.00S,2023-01-21T00:55:16.1Z,1,REGULAR,substitution,in,[],1630182,,,1610612748,14,8,2023-01-21T00:58:47Z,740000,False,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M33.00S,2023-01-21T00:55:16.1Z,1,REGULAR,substitution,in,[],1627827,,,1610612748,14,8,2023-01-21T00:58:47Z,750000,False,,,0,,SUB in: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M33.00S,2023-01-21T00:55:16.1Z,1,REGULAR,substitution,in,[],203506,,,1610612748,14,8,2023-01-21T00:58:47Z,760000,False,,,0,,SUB in: V. Oladipo,[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M33.00S,2023-01-21T00:55:16.1Z,1,REGULAR,substitution,in,[],1631115,,,1610612748,14,8,2023-01-21T00:58:47Z,770000,False,,,0,,SUB in: O. Robinson,[1631115],1610612748.0,MIA,,,,Robinson,O. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M33.00S,2023-01-21T00:58:54.8Z,1,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,14,8,2023-01-21T00:58:54Z,780000,False,,,0,,MISS T. Herro Free Throw 1 of 2,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
79,PT05M33.00S,2023-01-21T00:58:54.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,14,8,2023-01-21T00:58:54Z,790000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,
80,PT05M33.00S,2023-01-21T00:59:10.5Z,1,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,14,9,2023-01-21T00:59:10Z,800000,False,,,0,,T. Herro Free Throw 2 of 2 (3 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
81,PT05M16.00S,2023-01-21T00:59:28.4Z,1,REGULAR,3pt,Jump Shot,[],203493,79.58278580814718,91.42156862745098,1610612742,17,9,2023-01-21T00:59:32Z,810000,False,207.0,139.0,1,right,R. Bullock 24' 3PT  (3 PTS) (D. Finney-Smith 1 AST),"[203493, 1627827]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Right Center,24.96,Made,,,,,3.0,,,D. Finney-Smith,1627827.0,1.0,,,,,,,,
