actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT11M16.00S,2023-01-19T00:46:13.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,0,4,2023-01-19T00:46:20Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,14.0,,,,,,,,
18,PT11M14.00S,2023-01-19T00:46:29.8Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,0,4,2023-01-19T00:46:38Z,180000,False,,,0,,L. Doncic bad pass TURNOVER (2 TO),"[1629029, 1629027]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,2.0,Young,1629027.0,,,,,,,,,,,,,,,,,
19,PT11M14.00S,2023-01-19T00:46:29.8Z,1,REGULAR,steal,,[],1629027,,,1610612737,0,4,2023-01-19T00:46:31Z,190000,False,,,0,,T. Young STEAL (2 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT11M09.00S,2023-01-19T00:46:34.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627749,20.71287779237845,7.598039215686274,1610612737,0,4,2023-01-19T00:46:43Z,200000,False,212.0,142.0,1,left,MISS D. Murray 25' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,,25.53,Missed,,,,,,,,,,,,,,,
21,PT11M03.00S,2023-01-19T00:46:40.7Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,0,4,2023-01-19T00:46:43Z,210000,False,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,
22,PT10M52.00S,2023-01-19T00:46:50.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,90.62089356110381,57.35294117647059,1610612742,2,4,2023-01-19T00:47:19Z,220000,False,37.0,36.0,1,right,L. Doncic Layup (2 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,5.13,Made,2.0,,,,,,,,,,,,,,
23,PT10M36.00S,2023-01-19T00:47:07.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,17.69053876478318,45.34313725490196,1610612737,2,4,2023-01-19T00:47:22Z,230000,False,23.0,114.0,1,left,MISS D. Hunter 11' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,,11.62,Missed,,,,,,,,,,,,,,,
24,PT10M36.00S,2023-01-19T00:47:07.0Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,2,4,2023-01-19T00:47:22Z,240000,False,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,
25,PT10M26.00S,2023-01-19T00:47:17.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626174,89.70105124835742,58.82352941176471,1610612742,2,4,2023-01-19T00:47:26Z,250000,False,44.0,44.0,1,right,MISS C. Wood 6' Jump Shot,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,In The Paint (Non-RA),0-8 Center,,,,6.25,Missed,,,,,,,,,,,,,,,
26,PT10M24.00S,2023-01-19T00:47:19.6Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,2,4,2023-01-19T00:47:26Z,260000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,
27,PT10M17.00S,2023-01-19T00:47:27.6Z,1,REGULAR,3pt,Jump Shot,[],1628381,24.129434954007884,87.25490196078431,1610612737,2,4,2023-01-19T00:47:34Z,270000,False,-186.0,174.0,1,left,MISS J. Collins 25' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,,25.51,Missed,,,,,,,,,,,,,,,
28,PT10M13.00S,2023-01-19T00:47:31.7Z,1,REGULAR,rebound,offensive,[],1627749,,,1610612737,2,4,2023-01-19T00:47:31Z,280000,False,,,0,,D. Murray REBOUND (Off:1 Def:0),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,27.0,1.0,0.0,1.0,,,,,
29,PT10M11.00S,2023-01-19T00:47:32.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1627749,10.64388961892247,54.779411764705884,1610612737,2,6,2023-01-19T00:47:40Z,290000,False,-24.0,48.0,1,left,D. Murray Hook (4 PTS),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,5.33,Made,4.0,,,,,,,,,,,,,,
30,PT09M52.00S,2023-01-19T00:47:52.9Z,1,REGULAR,foul,offensive,[],1626174,,,1610612742,2,6,2023-01-19T00:48:01Z,300000,False,,,0,,C. Wood charge offensive FOUL (1 PF),"[1626174, 1628381]",1610612742.0,DAL,charge,,,Wood,C. Wood,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,203593.0,1.0,0.0,Collins,1628381.0
32,PT09M52.00S,2023-01-19T00:47:52.9Z,1,REGULAR,turnover,offensive foul,[],1626174,,,1610612742,2,6,2023-01-19T00:47:52Z,320000,False,,,0,,C. Wood offensive foul TURNOVER (1 TO),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,,,,,203593.0,,,,
33,PT09M46.00S,2023-01-19T00:48:12.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629631,18.791064388961892,35.61580882352941,1610612737,2,6,2023-01-19T00:48:19Z,330000,False,72.0,124.0,1,left,MISS D. Hunter 14' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,,14.34,Missed,,,,,,,,,,,,,,,
34,PT09M44.00S,2023-01-19T00:48:14.7Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,2,6,2023-01-19T00:48:19Z,340000,False,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,
35,PT09M35.00S,2023-01-19T00:48:23.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,70.25295663600527,18.137254901960784,1610612742,2,6,2023-01-19T00:48:27Z,350000,False,-159.0,227.0,1,right,MISS L. Doncic 27' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,,27.74,Missed,,,,,,,,,,,,,,,
36,PT09M32.00S,2023-01-19T00:48:26.1Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,2,6,2023-01-19T00:48:27Z,360000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,
37,PT09M29.00S,2023-01-19T00:48:29.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629027,8.886333771353483,54.65686274509803,1610612737,2,8,2023-01-19T00:48:39Z,370000,False,-23.0,31.0,1,left,T. Young driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,3.88,Made,2.0,,,,,,,,,,,,,,
38,PT09M10.00S,2023-01-19T00:48:48.3Z,1,REGULAR,3pt,Jump Shot,[],1626174,84.1819973718791,2.696078431372549,1610612742,5,8,2023-01-19T00:48:53Z,380000,False,-237.0,96.0,1,right,C. Wood 25' 3PT  (3 PTS) (L. Doncic 1 AST),"[1626174, 1629029]",1610612742.0,DAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Left Center,,,,25.53,Made,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,
40,PT08M55.00S,2023-01-19T00:49:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,10.5946123521682,54.166666666666664,1610612737,5,10,2023-01-19T00:49:08Z,400000,False,-21.0,47.0,1,left,D. Hunter driving Layup (2 PTS),[1629631],1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,,,,5.15,Made,2.0,,,,,,,,,,,,,,
41,PT08M37.00S,2023-01-19T00:49:20.8Z,1,REGULAR,3pt,Jump Shot,[],1627827,73.01248357424441,18.38235294117647,1610612742,8,10,2023-01-19T00:49:25Z,410000,False,-158.0,201.0,1,right,D. Finney-Smith 25' 3PT  (3 PTS) (S. Dinwiddie 1 AST),"[1627827, 203915]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Left Center,,,,25.59,Made,3.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,
43,PT08M28.00S,2023-01-19T00:49:32.8Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612737,8,10,2023-01-19T00:49:40Z,430000,False,,,0,,L. Doncic shooting personal FOUL (1 PF) (Okongwu 2 FT),"[1629029, 1630168]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1162.0,1.0,0.0,Okongwu,1630168.0
45,PT08M28.00S,2023-01-19T00:50:00.6Z,1,REGULAR,freethrow,1 of 2,[],1630168,,,1610612737,8,10,2023-01-19T00:50:00Z,450000,False,,,0,,MISS O. Okongwu Free Throw 1 of 2,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
46,PT08M28.00S,2023-01-19T00:50:00.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,8,10,2023-01-19T00:50:00Z,460000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,
47,PT08M28.00S,2023-01-19T00:50:15.3Z,1,REGULAR,freethrow,2 of 2,[],1630168,,,1610612737,8,11,2023-01-19T00:50:15Z,470000,False,,,0,,O. Okongwu Free Throw 2 of 2 (3 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
48,PT08M13.00S,2023-01-19T00:50:32.3Z,1,REGULAR,3pt,Jump Shot,[],1626174,91.67214191852825,96.81372549019608,1610612742,8,11,2023-01-19T00:50:37Z,480000,False,234.0,26.0,1,right,MISS C. Wood 3PT,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Right Corner 3,24+ Right,,,,23.55,Missed,,,,,,,,,,,,,,,
49,PT08M10.00S,2023-01-19T00:50:35.3Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,8,11,2023-01-19T00:50:37Z,490000,False,,,0,,D. Murray REBOUND (Off:1 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,48.0,2.0,1.0,1.0,,,,,
50,PT08M04.00S,2023-01-19T00:50:42.4Z,1,REGULAR,3pt,Jump Shot,[],1629027,26.49474375821288,18.872549019607842,1610612737,8,11,2023-01-19T00:53:58Z,500000,False,156.0,197.0,1,left,MISS T. Young 25' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,25.07,Missed,,,,,,,,,,,,,,,
51,PT08M01.00S,2023-01-19T00:50:47.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,8,11,2023-01-19T00:50:47Z,510000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,50.0,,,,,,,,
52,PT08M01.00S,2023-01-19T00:50:48.5Z,1,REGULAR,foul,personal,[],1626174,,,1610612737,8,11,2023-01-19T00:51:40Z,520000,False,,,0,,C. Wood loose ball personal FOUL (2 PF),"[1626174, 1630168]",1610612742.0,DAL,loose ball,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203593.0,2.0,0.0,Okongwu,1630168.0
54,PT08M01.00S,2023-01-19T00:50:56.0Z,1,REGULAR,substitution,out,[],1626174,,,1610612737,8,11,2023-01-19T00:51:01Z,540000,False,,,0,,SUB out: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT08M01.00S,2023-01-19T00:50:56.0Z,1,REGULAR,substitution,in,[],203493,,,1610612737,8,11,2023-01-19T00:51:01Z,550000,False,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M52.00S,2023-01-19T00:51:20.9Z,1,REGULAR,foul,personal,['2freethrow'],203915,,,1610612737,8,11,2023-01-19T00:51:32Z,560000,False,,,0,,S. Dinwiddie shooting personal FOUL (1 PF) (Okongwu 2 FT),"[203915, 1630168]",1610612742.0,DAL,shooting,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1162.0,1.0,0.0,Okongwu,1630168.0
58,PT07M52.00S,2023-01-19T00:51:43.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630168,,,1610612737,8,12,2023-01-19T00:51:43Z,580000,False,,,0,,O. Okongwu Free Throw 1 of 2 (4 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
59,PT07M52.00S,2023-01-19T00:51:57.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630168,,,1610612737,8,13,2023-01-19T00:51:57Z,590000,False,,,0,,O. Okongwu Free Throw 2 of 2 (5 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
60,PT07M42.00S,2023-01-19T00:52:10.7Z,1,REGULAR,3pt,Jump Shot,[],1627827,86.02168199737189,95.83333333333334,1610612742,8,13,2023-01-19T00:52:15Z,600000,False,229.0,79.0,1,right,MISS D. Finney-Smith 24' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Right Corner 3,24+ Right,,,,24.24,Missed,,,,,,,,,,,,,,,
61,PT07M38.00S,2023-01-19T00:52:14.7Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,8,13,2023-01-19T00:52:15Z,610000,False,,,0,,T. Young REBOUND (Off:0 Def:2),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,
62,PT07M37.00S,2023-01-19T00:52:15.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628381,8.09789750328515,50.73529411764706,1610612737,8,15,2023-01-19T00:52:25Z,620000,False,-4.0,24.0,1,left,J. Collins running Layup (2 PTS) (T. Young 2 AST),"[1628381, 1629027]",1610612737.0,ATL,running,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,2.39,Made,2.0,T. Young,1629027.0,2.0,,,,,,,,,,,
64,PT07M35.00S,2023-01-19T00:52:20.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,8,15,2023-01-19T00:52:20Z,640000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M20.00S,2023-01-19T00:56:02.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,79.89487516425756,35.8187806372549,1610612742,10,15,2023-01-19T00:59:26Z,650000,False,-71.0,136.0,1,right,L. Doncic 15' pullup Jump Shot (4 PTS),[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,15.38,Made,4.0,,,,,,,,,,,,,,
66,PT07M08.00S,2023-01-19T00:56:13.5Z,1,REGULAR,2pt,Jump Shot,[],1627749,25.04927726675427,59.80392156862745,1610612737,10,15,2023-01-19T00:57:47Z,660000,False,-49.0,183.0,1,left,MISS D. Murray 18' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,,,,18.94,Missed,,,,,,,,,,,,,,,
67,PT07M07.00S,2023-01-19T00:56:14.5Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,10,15,2023-01-19T00:56:31Z,670000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,66.0,1.0,1.0,0.0,,,,,
68,PT06M56.00S,2023-01-19T00:56:27.1Z,1,REGULAR,3pt,Jump Shot,[],203915,71.17279894875165,76.22549019607843,1610612742,13,15,2023-01-19T00:56:34Z,680000,False,131.0,218.0,1,right,S. Dinwiddie 25' 3PT  (3 PTS) (D. Finney-Smith 1 AST),"[203915, 1627827]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,,,,25.48,Made,3.0,D. Finney-Smith,1627827.0,1.0,,,,,,,,,,,
70,PT06M42.00S,2023-01-19T00:56:40.3Z,1,REGULAR,3pt,Jump Shot,[],1629631,29.38567674113009,24.264705882352942,1610612737,13,15,2023-01-19T00:56:46Z,700000,False,129.0,224.0,1,left,MISS D. Hunter 25' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,,,,25.81,Missed,,,,,,,,,,,,,,,
71,PT06M40.00S,2023-01-19T00:56:42.3Z,1,REGULAR,rebound,defensive,[],203915,,,1610612742,13,15,2023-01-19T00:56:46Z,710000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,
72,PT06M32.00S,2023-01-19T00:56:52.7Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,13,15,2023-01-19T00:57:02Z,720000,False,,,0,,L. Doncic bad pass out-of-bounds TURNOVER (3 TO),[1629029],1610612742.0,DAL,bad pass,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,3.0,,,,,,,,,,,,,,,1162.0,,,,
73,PT06M32.00S,2023-01-19T00:56:55.3Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,13,15,2023-01-19T00:57:32Z,730000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M32.00S,2023-01-19T00:56:55.3Z,1,REGULAR,substitution,out,[],1630168,,,1610612737,13,15,2023-01-19T00:57:32Z,740000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M32.00S,2023-01-19T00:56:55.3Z,1,REGULAR,substitution,in,[],203992,,,1610612737,13,15,2023-01-19T00:57:32Z,750000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M32.00S,2023-01-19T00:56:55.3Z,1,REGULAR,substitution,in,[],203991,,,1610612737,13,15,2023-01-19T00:57:32Z,760000,False,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M11.00S,2023-01-19T00:57:34.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628381,8.623521681997373,3.9215686274509802,1610612737,13,18,2023-01-19T00:57:47Z,770000,False,230.0,29.0,1,left,J. Collins 3PT  (5 PTS) (B. Bogdanovic 1 AST),"[1628381, 203992]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,,,,23.22,Made,5.0,B. Bogdanovic,203992.0,1.0,,,,,,,,,,,
79,PT05M51.00S,2023-01-19T00:57:56.4Z,1,REGULAR,foul,personal,['2freethrow'],203991,,,1610612742,13,18,2023-01-19T00:58:15Z,790000,False,,,0,,C. Capela shooting personal FOUL (1 PF) (Doncic 2 FT),"[203991, 1629029]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1201.0,1.0,0.0,Doncic,1629029.0
81,PT05M51.00S,2023-01-19T00:58:30.2Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,14,18,2023-01-19T00:58:30Z,810000,False,,,0,,L. Doncic Free Throw 1 of 2 (5 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
82,PT05M51.00S,2023-01-19T00:58:47.3Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,15,18,2023-01-19T00:58:47Z,820000,False,,,0,,L. Doncic Free Throw 2 of 2 (6 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
83,PT05M34.00S,2023-01-19T00:59:05.4Z,1,REGULAR,3pt,Jump Shot,[],1627749,29.517082785808146,23.03921568627451,1610612737,15,21,2023-01-19T00:59:11Z,830000,False,135.0,225.0,1,left,D. Murray 26' 3PT  (7 PTS) (J. Collins 1 AST),"[1627749, 1628381]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,,26.23,Made,7.0,J. Collins,1628381.0,1.0,,,,,,,,,,,
