actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
16,PT10M55.00S,2022-11-17T01:41:34.5Z,1,REGULAR,3pt,Jump Shot,[],1631095,29.517082785808146,26.47058823529412,1610612745,0,0,2022-11-17T01:41:40Z,160000,False,118.0,225.0,1,left,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,25.39,Missed,,,,,,,,,,,,,,,,,,
17,PT10M52.00S,2022-11-17T01:41:37.5Z,1,REGULAR,rebound,defensive,[],1630182,,,1610612742,0,0,2022-11-17T01:41:40Z,170000,False,,,0,,J. Green REBOUND (Off:1 Def:1),[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,,,
18,PT10M36.00S,2022-11-17T01:41:54.1Z,1,REGULAR,3pt,Jump Shot,[],203915,87.07293035479631,96.07843137254902,1610612742,0,0,2022-11-17T01:41:58Z,180000,False,230.0,69.0,1,right,MISS S. Dinwiddie 24' 3PT,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Right Corner 3,24+ Right,24.05,Missed,,,,,,,,,,,,,,,,,,
19,PT10M33.00S,2022-11-17T01:41:57.1Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,0,0,2022-11-17T01:41:58Z,190000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M17.00S,2022-11-17T01:42:13.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201569,10.200394218134035,43.627450980392155,1610612745,0,0,2022-11-17T01:42:33Z,200000,False,32.0,43.0,1,left,MISS E. Gordon driving floating Shot,[201569],1610612745.0,HOU,driving floating,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),0-8 Center,5.39,Missed,,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2022-11-17T01:42:15.1Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,0,0,2022-11-17T01:42:33Z,210000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,
24,PT10M15.00S,2022-11-17T01:42:32.2Z,1,REGULAR,turnover,offensive goaltending,[],1630578,,,1610612745,0,0,2022-11-17T01:42:47Z,240000,False,,,0,,A. Sengun offensive goaltending TURNOVER (1 TO),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,1628484.0,1.0,,,,,,,,,,
25,PT10M02.00S,2022-11-17T01:42:45.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203915,92.9862023653088,51.71568627450981,1610612742,0,0,2022-11-17T01:42:53Z,250000,False,9.0,13.0,1,right,MISS S. Dinwiddie Layup,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,,
26,PT10M00.00S,2022-11-17T01:42:47.9Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,0,0,2022-11-17T01:42:53Z,260000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M55.00S,2022-11-17T01:42:53.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629645,7.966491458607096,49.01960784313725,1610612745,0,2,2022-11-17T01:43:10Z,270000,False,5.0,22.0,1,left,K. Porter Jr. driving floating Jump Shot (2 PTS),[1629645],1610612745.0,HOU,driving floating,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,2.29,Made,,,,,,,,,2.0,,,,,,,,,
28,PT09M40.00S,2022-11-17T01:43:07.0Z,1,REGULAR,3pt,Jump Shot,[],1627827,77.4802890932983,87.25490196078431,1610612742,0,2,2022-11-17T01:43:13Z,280000,False,186.0,159.0,1,right,MISS D. Finney-Smith 24' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,24.51,Missed,,,,,,,,,,,,,,,,,,
29,PT09M40.00S,2022-11-17T01:43:07.0Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,0,2,2022-11-17T01:43:13Z,290000,False,,,0,,E. Gordon REBOUND (Off:0 Def:2),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M30.00S,2022-11-17T01:43:16.8Z,1,REGULAR,3pt,Jump Shot,[],201569,33.459264126149804,49.754901960784316,1610612745,0,2,2022-11-17T01:43:22Z,300000,False,1.0,262.0,1,left,MISS E. Gordon 26' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Center,26.2,Missed,,,,,,,,,,,,,,,,,,
31,PT09M28.00S,2022-11-17T01:43:18.8Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,0,2,2022-11-17T01:43:22Z,310000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M11.00S,2022-11-17T01:43:36.6Z,1,REGULAR,3pt,Jump Shot,[],1627827,94.30026281208936,4.6568627450980395,1610612742,0,2,2022-11-17T01:43:41Z,320000,False,-227.0,1.0,1,right,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Left Corner 3,24+ Left,22.67,Missed,,,,,,,,,,,,,,,,,,
33,PT09M08.00S,2022-11-17T01:43:39.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,2,2022-11-17T01:43:41Z,330000,False,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Left Corner 3,24+ Left,,,32.0,3.0,2.0,1.0,,,,,,,,,,,,,,
34,PT08M57.00S,2022-11-17T01:43:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,6.1268068331143235,49.26470588235294,1610612745,0,2,2022-11-17T01:43:57Z,340000,False,4.0,5.0,1,left,MISS A. Sengun reverse Layup,[1630578],1610612745.0,HOU,reverse,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.63,Missed,,,,,,,,,,,,,,,,,,
35,PT08M55.00S,2022-11-17T01:43:53.0Z,1,REGULAR,rebound,offensive,[],1629645,,,1610612745,0,2,2022-11-17T01:43:57Z,350000,False,,,0,,K. Porter Jr. REBOUND (Off:1 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,34.0,2.0,1.0,1.0,,,,,,,,,,,,,,
36,PT08M53.00S,2022-11-17T01:43:55.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631095,10.5946123521682,43.627450980392155,1610612745,0,2,2022-11-17T01:44:01Z,360000,False,32.0,47.0,1,left,MISS J. Smith Jr. Layup,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.69,Missed,,,,,,,,,,,,,,,,,,
37,PT08M51.00S,2022-11-17T01:43:57.0Z,1,REGULAR,rebound,offensive,[],1630224,,,1610612745,0,2,2022-11-17T01:43:57Z,370000,False,,,0,,J. Green REBOUND (Off:1 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,36.0,2.0,1.0,1.0,,,,,,,,,,,,,,
38,PT08M46.00S,2022-11-17T01:44:01.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630224,16.376478318002626,39.705882352941174,1610612745,0,2,2022-11-17T01:44:18Z,380000,False,51.0,101.0,1,left,MISS J. Green 11' floating Shot,[1630224],1610612745.0,HOU,floating,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,11.37,Missed,,,,,,,,,,,,,,,,,,
39,PT08M45.00S,2022-11-17T01:44:02.2Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,0,2,2022-11-17T01:44:18Z,390000,False,,,0,,A. Sengun REBOUND (Off:2 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,38.0,4.0,2.0,2.0,,,,,,,,,,,,,,
40,PT08M45.00S,2022-11-17T01:44:05.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,6.652431011826544,47.794117647058826,1610612745,0,4,2022-11-17T01:44:24Z,400000,False,11.0,10.0,1,left,A. Sengun putback Layup (2 PTS),[1630578],1610612745.0,HOU,putback,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.49,Made,,,,,,,,,2.0,,,,,,,,,
41,PT08M45.00S,2022-11-17T01:44:08.5Z,1,REGULAR,foul,personal,['1freethrow'],203493,,,1610612745,0,4,2022-11-17T01:44:15Z,410000,False,,,0,,R. Bullock shooting personal FOUL (1 PF) (Sengun 1 FT),"[203493, 1630578]",1610612742.0,DAL,shooting,,,Bullock,R. Bullock,,,,,Restricted Area,0-8 Center,,,,,,,,,2534.0,,,1.0,0.0,Sengun,1630578.0,,,,,
43,PT08M45.00S,2022-11-17T01:44:40.9Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1630578,,,1610612745,0,5,2022-11-17T01:44:41Z,430000,False,,,0,,A. Sengun Free Throw 1 of 1 (3 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
44,PT08M31.00S,2022-11-17T01:44:58.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627827,88.38699080157687,47.794117647058826,1610612742,2,5,2022-11-17T01:45:01Z,440000,False,-11.0,57.0,1,right,D. Finney-Smith driving floating Jump Shot (2 PTS) (S. Dinwiddie 1 AST),"[1627827, 203915]",1610612742.0,DAL,driving floating,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,5.78,Made,,,,,,,,,2.0,,,,,S. Dinwiddie,203915.0,1.0,,
46,PT08M19.00S,2022-11-17T01:45:09.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,8.623521681997373,50.0,1610612745,2,5,2022-11-17T01:57:23Z,460000,False,0.0,29.0,1,left,MISS A. Sengun driving Hook,[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,,
47,PT08M16.00S,2022-11-17T01:45:12.5Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,2,5,2022-11-17T01:57:23Z,470000,False,,,0,,A. Sengun REBOUND (Off:3 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,46.0,5.0,2.0,3.0,,,,,,,,,,,,,,
48,PT08M15.00S,2022-11-17T01:45:17.7Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612745,2,5,2022-11-17T01:45:23Z,480000,False,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Sengun 2 FT),"[1627827, 1630578]",1610612742.0,DAL,shooting,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1628484.0,,,1.0,0.0,Sengun,1630578.0,,,,,
50,PT08M15.00S,2022-11-17T01:45:47.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630578,,,1610612745,2,5,2022-11-17T01:45:47Z,500000,False,,,0,,MISS A. Sengun Free Throw 1 of 2,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
51,PT08M15.00S,2022-11-17T01:45:47.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,2,5,2022-11-17T01:45:47Z,510000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
52,PT08M15.00S,2022-11-17T01:46:07.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630578,,,1610612745,2,6,2022-11-17T01:46:07Z,520000,False,,,0,,A. Sengun Free Throw 2 of 2 (4 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,,
53,PT08M02.00S,2022-11-17T01:46:24.6Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612742,2,6,2022-11-17T01:46:32Z,530000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Dinwiddie 2 FT),"[1631095, 203915]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1628484.0,,,1.0,0.0,Dinwiddie,203915.0,,,,,
55,PT08M02.00S,2022-11-17T01:46:48.1Z,1,REGULAR,freethrow,1 of 2,[],203915,,,1610612742,3,6,2022-11-17T01:46:48Z,550000,False,,,0,,S. Dinwiddie Free Throw 1 of 2 (1 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
56,PT08M02.00S,2022-11-17T01:46:49.3Z,1,REGULAR,substitution,out,[],203939,,,1610612742,3,6,2022-11-17T01:47:02Z,560000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT08M02.00S,2022-11-17T01:46:49.3Z,1,REGULAR,substitution,in,[],1626174,,,1610612742,3,6,2022-11-17T01:47:02Z,570000,False,,,0,,SUB in: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT08M02.00S,2022-11-17T01:47:06.6Z,1,REGULAR,freethrow,2 of 2,[],203915,,,1610612742,4,6,2022-11-17T01:47:06Z,580000,False,,,0,,S. Dinwiddie Free Throw 2 of 2 (2 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
59,PT07M50.00S,2022-11-17T01:47:23.5Z,1,REGULAR,foul,personal,[],1630182,,,1610612745,4,6,2022-11-17T01:47:40Z,590000,False,,,0,,J. Green personal FOUL (1 PF),"[1630182, 1630578]",1610612742.0,DAL,,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,,,,,,,,,202026.0,,,1.0,0.0,Sengun,1630578.0,,,,,
61,PT07M50.00S,2022-11-17T01:47:38.4Z,1,REGULAR,substitution,out,[],1630182,,,1610612745,4,6,2022-11-17T01:47:47Z,610000,False,,,0,,SUB out: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M50.00S,2022-11-17T01:47:38.4Z,1,REGULAR,substitution,in,[],203501,,,1610612745,4,6,2022-11-17T01:47:47Z,620000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M43.00S,2022-11-17T01:47:56.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630578,6.521024967148489,47.794117647058826,1610612745,4,8,2022-11-17T01:48:00Z,630000,False,11.0,9.0,1,left,A. Sengun cutting DUNK (6 PTS) (J. Green 1 AST),"[1630578, 1630224]",1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.41,Made,,,,,,,,,6.0,,,,,J. Green,1630224.0,1.0,,
65,PT07M32.00S,2022-11-17T01:48:10.5Z,1,REGULAR,foul,personal,[],1630224,,,1610612742,4,8,2022-11-17T01:48:16Z,650000,False,,,0,,J. Green personal FOUL (1 PF),"[1630224, 203915]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,,,,,,,,,1628484.0,,,1.0,0.0,Dinwiddie,203915.0,,,,,
67,PT07M22.00S,2022-11-17T01:48:34.5Z,1,REGULAR,2pt,Jump Shot,[],203501,76.42904073587385,59.55882352941176,1610612742,4,8,2022-11-17T01:48:39Z,670000,False,48.0,169.0,1,right,MISS T. Hardaway Jr. 17' pullup Shot,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Center,17.57,Missed,,,,,,,,,,,,,,,,,,
68,PT07M19.00S,2022-11-17T01:48:37.5Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,4,8,2022-11-17T01:48:39Z,680000,False,,,0,,K. Porter Jr. REBOUND (Off:1 Def:2),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Center,,,67.0,3.0,2.0,1.0,,,,,,,,,,,,,,
69,PT07M12.00S,2022-11-17T01:48:44.6Z,1,REGULAR,3pt,Jump Shot,[],1631095,19.92444152431012,89.70588235294117,1610612745,4,11,2022-11-17T01:48:48Z,690000,False,-199.0,135.0,1,left,J. Smith Jr. 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1631095, 1629645]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,23.99,Made,,,,,,,,,3.0,,,,,K. Porter Jr.,1629645.0,1.0,,
71,PT07M02.00S,2022-11-17T01:48:54.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,93.38042049934296,51.225490196078425,1610612742,6,11,2022-11-17T01:48:59Z,710000,False,6.0,10.0,1,right,C. Wood driving Layup (2 PTS) (S. Dinwiddie 2 AST),"[1626174, 203915]",1610612742.0,DAL,driving,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,,,,,2.0,,,,,S. Dinwiddie,203915.0,2.0,,
73,PT06M51.00S,2022-11-17T01:49:05.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,6.258212877792378,52.20588235294118,1610612745,6,11,2022-11-17T01:49:10Z,730000,False,-11.0,6.0,1,left,MISS J. Green driving Layup,[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.27,Missed,,,,,,,,,,,,,,,,,,
74,PT06M50.00S,2022-11-17T01:49:06.3Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,6,11,2022-11-17T01:49:10Z,740000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,
75,PT06M49.00S,2022-11-17T01:49:08.2Z,1,REGULAR,turnover,bad pass,[],203501,,,1610612742,6,11,2022-11-17T01:49:12Z,750000,False,,,0,,T. Hardaway Jr. bad pass TURNOVER (1 TO),"[203501, 1629645]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1.0,,,,,,,,,Porter Jr.,1629645.0
76,PT06M49.00S,2022-11-17T01:49:08.2Z,1,REGULAR,steal,,[],1629645,,,1610612745,6,11,2022-11-17T01:49:10Z,760000,False,,,0,,K. Porter Jr. STEAL (1 STL),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
77,PT06M34.00S,2022-11-17T01:49:22.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631095,16.245072273324574,45.588235294117645,1610612745,6,13,2022-11-17T02:01:50Z,770000,False,22.0,100.0,1,left,J. Smith Jr. 10' fadeaway Jump Shot (5 PTS),[1631095],1610612745.0,HOU,fadeaway,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,10.26,Made,,,,,,,,,5.0,,,,,,,,,
78,PT06M16.00S,2022-11-17T01:49:40.4Z,1,REGULAR,3pt,Jump Shot,[],203915,71.43561103810775,18.872549019607842,1610612742,6,13,2022-11-17T01:49:45Z,780000,False,-156.0,216.0,1,right,MISS S. Dinwiddie 26' 3PT,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,26.62,Missed,,,,,,,,,,,,,,,,,,
79,PT06M14.00S,2022-11-17T01:49:42.4Z,1,REGULAR,rebound,offensive,[],203915,,,1610612742,6,13,2022-11-17T01:49:45Z,790000,False,,,0,,S. Dinwiddie REBOUND (Off:1 Def:1),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,,,78.0,2.0,1.0,1.0,,,,,,,,,,,,,,
80,PT06M09.00S,2022-11-17T01:49:47.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626174,67.62483574244416,43.872549019607845,1610612742,9,13,2022-11-17T01:49:51Z,800000,False,-31.0,252.0,1,right,C. Wood 25' 3PT  (5 PTS) (S. Dinwiddie 3 AST),"[1626174, 203915]",1610612742.0,DAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Center,25.37,Made,,,,,,,,,5.0,,,,,S. Dinwiddie,203915.0,3.0,,
