actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
23,PT10M27.00S,2022-10-23T00:47:14.6Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,3,2,2022-10-23T00:47:14Z,230000,,,0,,L. Doncic Free Throw 1 of 2 (3 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
24,PT10M27.00S,2022-10-23T00:47:33.5Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,4,2,2022-10-23T00:47:33Z,240000,,,0,,L. Doncic Free Throw 2 of 2 (4 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
27,PT10M04.00S,2022-10-23T00:48:16.5Z,1,REGULAR,2pt,Jump Shot,[],1630217,82.60512483574244,30.392156862745097,1610612763,4,2,2022-10-23T00:55:46Z,260000,-98.0,111.0,1,right,MISS D. Bane 14' driving floating Shot,[1630217],1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,Mid-Range,8-16 Left,,,14.81,Missed,,,,,,,,,,,,,,,,
28,PT10M02.00S,2022-10-23T00:48:18.5Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,4,2,2022-10-23T00:48:19Z,270000,,,0,,R. Bullock REBOUND (Off:0 Def:2),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Mid-Range,8-16 Left,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,
29,PT10M00.00S,2022-10-23T00:48:22.5Z,1,REGULAR,turnover,out-of-bounds,[],203915,,,1610612742,4,2,2022-10-23T00:48:28Z,280000,,,0,,S. Dinwiddie bad pass out-of-bounds TURNOVER (1 TO),[203915],1610612742.0,DAL,bad pass,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,1193.0,1.0,,,,,,,,,,,,,,,,,,
30,PT09M57.00S,2022-10-23T00:48:30.4Z,1,REGULAR,turnover,traveling,[],1630583,,,1610612763,4,2,2022-10-23T00:48:36Z,290000,,,0,,S. Aldama traveling TURNOVER (1 TO),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Mid-Range,24+ Right,1626301.0,1.0,,,,,,,,,,,,,,,,,,
31,PT09M45.00S,2022-10-23T00:48:51.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203493,24.52365308804205,18.38235294117647,1610612742,4,2,2022-10-23T00:48:55Z,300000,158.0,178.0,1,left,MISS R. Bullock 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,16-24 Right Center,,,23.81,Missed,,,,,,,,,,,,,,,,
32,PT09M42.00S,2022-10-23T00:48:54.1Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,4,2,2022-10-23T00:48:55Z,310000,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,16-24 Right Center,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,
33,PT09M36.00S,2022-10-23T00:49:00.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,84.31340341655716,44.6078431372549,1610612763,4,4,2022-10-23T00:49:11Z,320000,-27.0,95.0,1,right,J. Morant 9' driving floating Jump Shot (4 PTS),[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,9.88,Made,4.0,,,,,,,,,,,,,,,
34,PT09M26.00S,2022-10-23T00:49:09.7Z,1,REGULAR,3pt,Jump Shot,[],1629029,22.026938239159,88.72549019607843,1610612742,7,4,2022-10-23T00:49:15Z,330000,-194.0,155.0,1,left,L. Doncic 24' 3PT step back (7 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,24.78,Made,7.0,,,,,,,,,,,,,,,
35,PT09M09.00S,2022-10-23T00:49:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,93.64323258869908,62.99019607843137,1610612763,7,4,2022-10-23T00:49:35Z,340000,65.0,7.0,1,right,MISS J. Morant 6' driving Layup,[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,6.54,Missed,,,,,,,,,,,,,,,,
36,PT09M09.00S,2022-10-23T00:49:29.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,7,4,2022-10-23T00:49:35Z,350000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,35.0,,,,,,,,,,,
38,PT08M51.00S,2022-10-23T00:49:56.7Z,1,REGULAR,3pt,Jump Shot,[],1627827,8.754927726675426,3.9215686274509802,1610612742,7,4,2022-10-23T00:50:03Z,370000,230.0,30.0,1,left,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Right Corner 3,24+ Right,,,23.23,Missed,,,,,,,,,,,,,,,,
39,PT08M49.00S,2022-10-23T00:49:58.7Z,1,REGULAR,rebound,offensive,[],1629029,,,1610612742,7,4,2022-10-23T00:50:03Z,380000,,,0,,L. Doncic REBOUND (Off:1 Def:0),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Right Corner 3,24+ Right,,,,,,,,,38.0,1.0,0.0,1.0,,,,,,,,
40,PT08M49.00S,2022-10-23T00:50:00.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629029,5.863994743758213,45.34313725490196,1610612742,9,4,2022-10-23T00:50:06Z,390000,23.0,3.0,1,left,L. Doncic putback Layup (9 PTS),[1629029],1610612742.0,DAL,putback,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,2.34,Made,9.0,,,,,,,,,,,,,,,
41,PT08M49.00S,2022-10-23T00:50:02.9Z,1,REGULAR,foul,personal,['1freethrow'],1630583,,,1610612742,9,4,2022-10-23T00:50:10Z,400000,,,0,,S. Aldama shooting personal FOUL (2 PF) (Doncic 1 FT),"[1630583, 1629029]",1610612763.0,MEM,shooting,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,1193.0,,,,,,,,,,,,2.0,0.0,Doncic,1629029.0,,,,
43,PT08M49.00S,2022-10-23T00:50:21.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,9,4,2022-10-23T00:53:44Z,420000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M49.00S,2022-10-23T00:50:25.0Z,1,REGULAR,substitution,out,[],1630583,,,1610612742,9,4,2022-10-23T00:53:44Z,430000,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M49.00S,2022-10-23T00:50:25.0Z,1,REGULAR,substitution,in,[],1631223,,,1610612742,9,4,2022-10-23T00:53:44Z,440000,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M49.00S,2022-10-23T00:53:42.5Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629029,,,1610612742,9,4,2022-10-23T00:53:42Z,450000,,,0,,MISS L. Doncic Free Throw 1 of 1,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
47,PT08M46.00S,2022-10-23T00:53:45.5Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,9,4,2022-10-23T00:53:46Z,460000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,
48,PT08M31.00S,2022-10-23T00:53:59.4Z,1,REGULAR,3pt,Jump Shot,[],1631223,66.96780551905388,47.549019607843135,1610612763,9,4,2022-10-23T00:54:03Z,470000,-12.0,258.0,1,right,MISS D. Roddy 25' 3PT,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Center,,,25.83,Missed,,,,,,,,,,,,,,,,
49,PT08M28.00S,2022-10-23T00:54:02.4Z,1,REGULAR,rebound,defensive,[],201580,,,1610612742,9,4,2022-10-23T00:54:03Z,480000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,Above the Break 3,24+ Center,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,
51,PT08M14.00S,2022-10-23T00:54:16.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,15.719448094612352,39.46078431372549,1610612742,9,4,2022-10-23T00:54:21Z,500000,53.0,95.0,1,left,MISS S. Dinwiddie 10' driving floating bank Shot - blocked,"[203915, 203500]",1610612742.0,DAL,driving floating bank,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Center,,,10.89,Missed,,,,,,,,,,,,,Adams,203500.0,,
106,PT08M14.00S,2022-10-23T00:54:16.2Z,1,REGULAR,block,,[],203500,,,1610612742,9,4,2022-10-23T01:03:28Z,505000,,,0,,S. Adams BLOCK (2 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
52,PT08M11.00S,2022-10-23T00:54:19.2Z,1,REGULAR,rebound,offensive,[],201580,,,1610612742,9,4,2022-10-23T01:03:28Z,510000,,,0,,J. McGee REBOUND (Off:1 Def:1),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,
53,PT08M11.00S,2022-10-23T00:54:19.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201580,5.590000152587891,50.0,1610612742,9,4,2022-10-23T01:02:47Z,520000,0.0,0.0,1,left,MISS J. McGee putback Layup,[201580],1610612742.0,DAL,putback,,,McGee,J. McGee,,,,,Restricted Area,0-8 Center,,,0.0,Missed,,,,,,,,,,,,,,,,
54,PT08M11.00S,2022-10-23T00:54:19.1Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,9,4,2022-10-23T01:02:47Z,530000,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,
55,PT08M09.00S,2022-10-23T00:54:21.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,66.70499342969777,47.05882352941176,1610612763,9,4,2022-10-23T00:54:28Z,540000,-15.0,260.0,1,right,MISS D. Bane 26' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,,,26.09,Missed,,,,,,,,,,,,,,,,
56,PT08M07.00S,2022-10-23T00:54:27.6Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,9,4,2022-10-23T00:54:27Z,550000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Center,,,,,,,,,55.0,1.0,0.0,1.0,,,,,,,,
57,PT08M07.00S,2022-10-23T00:54:27.6Z,1,REGULAR,2pt,Hook,"['2ndchance', 'pointsinthepaint']",203500,94.40999984741211,50.0,1610612763,9,4,2022-10-23T00:54:43Z,560000,0.0,0.0,1,right,MISS S. Adams Hook - blocked,"[203500, 201580]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,0.0,Missed,,,,,,,,,,,,,McGee,201580.0,,
58,PT08M07.00S,2022-10-23T00:54:27.6Z,1,REGULAR,block,,[],201580,,,1610612763,9,4,2022-10-23T00:54:29Z,570000,,,0,,J. McGee BLOCK (1 BLK),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT08M07.00S,2022-10-23T00:54:27.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,9,4,2022-10-23T00:54:35Z,580000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,57.0,,,,,,,,,,,
61,PT08M03.00S,2022-10-23T00:54:51.9Z,1,REGULAR,foul,personal,['2freethrow'],201580,,,1610612763,9,4,2022-10-23T00:55:09Z,600000,,,0,,J. McGee shooting personal FOUL (1 PF) (Adams 2 FT),"[201580, 203500]",1610612742.0,DAL,shooting,,,McGee,J. McGee,,,,,In The Paint (Non-RA),8-16 Center,1626301.0,,,,,,,,,,,,1.0,0.0,Adams,203500.0,,,,
63,PT08M03.00S,2022-10-23T00:55:19.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203500,,,1610612763,9,4,2022-10-23T00:55:38Z,620000,,,0,,MISS S. Adams Free Throw 1 of 2,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
64,PT08M03.00S,2022-10-23T00:55:19.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612763,9,4,2022-10-23T00:55:38Z,630000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,
65,PT08M03.00S,2022-10-23T00:55:19.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203500,,,1610612763,9,4,2022-10-23T00:55:38Z,640000,,,0,,MISS S. Adams Free Throw 2 of 2,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
66,PT08M01.00S,2022-10-23T00:55:21.4Z,1,REGULAR,rebound,defensive,[],201580,,,1610612742,9,4,2022-10-23T00:55:38Z,650000,,,0,,J. McGee REBOUND (Off:1 Def:2),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,65.0,3.0,2.0,1.0,,,,,,,,
67,PT07M47.00S,2022-10-23T00:55:51.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201580,6.1268068331143235,49.01960784313725,1610612742,11,4,2022-10-23T00:56:02Z,660000,5.0,5.0,1,left,J. McGee alley-oop DUNK (2 PTS) (L. Doncic 1 AST),"[201580, 1629029]",1610612742.0,DAL,alley-oop,,,McGee,J. McGee,,,,,Restricted Area,0-8 Center,,,0.71,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,
70,PT07M30.00S,2022-10-23T00:56:19.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631223,88.64980289093299,50.98039215686274,1610612763,11,4,2022-10-23T00:56:31Z,690000,5.0,54.0,1,right,MISS D. Roddy driving Hook,[1631223],1610612763.0,MEM,driving,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),0-8 Center,,,5.44,Missed,,,,,,,,,,,,,,,,
71,PT07M28.00S,2022-10-23T00:56:21.7Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,11,4,2022-10-23T00:56:31Z,700000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,
72,PT07M20.00S,2022-10-23T00:56:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,5.469776609724048,48.28431372549019,1610612742,13,4,2022-10-23T00:56:34Z,710000,9.0,-1.0,1,left,L. Doncic driving Layup (11 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,0.87,Made,11.0,,,,,,,,,,,,,,,
73,PT07M05.00S,2022-10-23T00:56:45.3Z,1,REGULAR,3pt,Jump Shot,[],1631223,94.43166885676742,5.637254901960785,1610612763,13,4,2022-10-23T00:56:53Z,720000,-222.0,0.0,1,right,MISS D. Roddy 3PT,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Left Corner 3,24+ Left,,,22.18,Missed,,,,,,,,,,,,,,,,
74,PT07M01.00S,2022-10-23T00:56:48.4Z,1,REGULAR,rebound,offensive,[],1629723,,,1610612763,13,4,2022-10-23T00:56:48Z,730000,,,0,,J. Konchar REBOUND (Off:1 Def:0),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Left Corner 3,24+ Left,,,,,,,,,73.0,1.0,0.0,1.0,,,,,,,,
75,PT07M00.00S,2022-10-23T00:56:50.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631223,92.46057818659659,5.88235294117647,1610612763,13,4,2022-10-23T00:56:55Z,740000,-221.0,18.0,1,right,MISS D. Roddy 3PT,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Left Corner 3,24+ Left,,,22.14,Missed,,,,,,,,,,,,,,,,
76,PT07M00.00S,2022-10-23T00:56:50.2Z,1,REGULAR,rebound,defensive,[],201580,,,1610612742,13,4,2022-10-23T00:56:55Z,750000,,,0,,J. McGee REBOUND (Off:1 Def:3),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,Left Corner 3,24+ Left,,,,,,,,,75.0,4.0,3.0,1.0,,,,,,,,
77,PT06M45.00S,2022-10-23T00:57:05.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203915,6.1268068331143235,50.49019607843137,1610612742,15,4,2022-10-23T00:57:09Z,760000,-2.0,5.0,1,left,S. Dinwiddie driving DUNK (2 PTS) (L. Doncic 2 AST),"[203915, 1629029]",1610612742.0,DAL,driving,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,0.57,Made,2.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,,
79,PT06M28.00S,2022-10-23T00:57:22.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,92.9862023653088,58.333333333333336,1610612763,15,6,2022-10-23T00:57:26Z,780000,42.0,13.0,1,right,J. Morant driving floating bank Jump Shot (6 PTS) (S. Adams 1 AST),"[1629630, 203500]",1610612763.0,MEM,driving floating bank,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,4.38,Made,6.0,S. Adams,203500.0,1.0,,,,,,,,,,,,
81,PT06M10.00S,2022-10-23T00:57:42.7Z,1,REGULAR,foul,personal,[],1629630,,,1610612742,15,6,2022-10-23T00:58:01Z,800000,,,0,,J. Morant personal FOUL (1 PF),"[1629630, 1629029]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,1179.0,,,,,,,,,,,,1.0,0.0,Doncic,1629029.0,,,,
83,PT06M10.00S,2022-10-23T00:57:49.4Z,1,REGULAR,substitution,out,[],1630217,,,1610612742,15,6,2022-10-23T00:58:02Z,820000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M10.00S,2022-10-23T00:57:49.4Z,1,REGULAR,substitution,in,[],1626145,,,1610612742,15,6,2022-10-23T00:58:02Z,830000,,,0,,SUB in: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M01.00S,2022-10-23T00:58:27.9Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.327858081471746,42.15686274509804,1610612742,15,6,2022-10-23T00:58:33Z,840000,39.0,261.0,1,left,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,,,26.37,Missed,,,,,,,,,,,,,,,,
86,PT05M59.00S,2022-10-23T00:58:29.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,15,6,2022-10-23T00:58:33Z,850000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,85.0,,,,,,,,,,,
88,PT05M59.00S,2022-10-23T00:58:35.3Z,1,REGULAR,substitution,out,[],201580,,,1610612742,15,6,2022-10-23T00:58:47Z,870000,,,0,,SUB out: J. McGee,[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M59.00S,2022-10-23T00:58:35.3Z,1,REGULAR,substitution,out,[],203915,,,1610612742,15,6,2022-10-23T00:58:47Z,880000,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M59.00S,2022-10-23T00:58:35.3Z,1,REGULAR,substitution,in,[],1626174,,,1610612742,15,6,2022-10-23T00:58:47Z,890000,,,0,,SUB in: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M59.00S,2022-10-23T00:58:35.3Z,1,REGULAR,substitution,in,[],203501,,,1610612742,15,6,2022-10-23T00:58:47Z,900000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
