actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
19,PT10M12.00S,2022-11-03T00:42:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,17.821944809461236,55.14705882352941,1610612742,5,6,2022-11-03T00:43:06Z,190000,-26.0,115.0,1,left,L. Doncic 11' turnaround Jump Shot (5 PTS),[1629029],1610612742.0,DAL,turnaround,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,11.78,Made,5.0,,,,,,,,,,,,,,,,,
20,PT09M52.00S,2022-11-03T00:43:18.8Z,1,REGULAR,2pt,Jump Shot,[],203482,93.64323258869908,73.2843137254902,1610612762,5,6,2022-11-03T00:44:18Z,200000,116.0,7.0,1,right,MISS K. Olynyk 11' driving floating Shot,[203482],1610612762.0,UTA,driving floating,,,Olynyk,K. Olynyk,,,,,Mid-Range,8-16 Right,11.66,Missed,,,,,,,,,,,,,,,,,,
21,PT09M49.00S,2022-11-03T00:43:21.8Z,1,REGULAR,rebound,defensive,[],201580,,,1610612742,5,6,2022-11-03T00:43:25Z,210000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,
22,PT09M45.00S,2022-11-03T00:43:26.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203915,28.07161629434954,23.284313725490197,1610612742,8,6,2022-11-03T00:43:33Z,220000,134.0,211.0,1,left,S. Dinwiddie 25' 3PT running pullup (3 PTS) (L. Doncic 1 AST),"[203915, 1629029]",1610612742.0,DAL,running pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,25.01,Made,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
24,PT09M28.00S,2022-11-03T00:43:42.9Z,1,REGULAR,3pt,Jump Shot,[],1629020,91.93495400788436,5.392156862745098,1610612762,8,9,2022-11-03T00:43:48Z,240000,-223.0,23.0,1,right,J. Vanderbilt 3PT  (5 PTS) (J. Clarkson 2 AST),"[1629020, 203903]",1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Left Corner 3,24+ Left,22.42,Made,5.0,J. Clarkson,203903.0,2.0,,,,,,,,,,,,,,
26,PT09M16.00S,2022-11-03T00:43:55.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201580,6.389618922470433,49.26470588235294,1610612742,10,9,2022-11-03T00:43:59Z,260000,4.0,8.0,1,left,J. McGee alley-oop DUNK (2 PTS) (L. Doncic 2 AST),"[201580, 1629029]",1610612742.0,DAL,alley-oop,,,McGee,J. McGee,,,,,Restricted Area,0-8 Center,0.85,Made,2.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,,,,
28,PT08M57.00S,2022-11-03T00:44:13.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,91.67214191852825,46.568627450980394,1610612762,10,9,2022-11-03T00:45:50Z,280000,-17.0,26.0,1,right,MISS J. Clarkson turnaround Shot,[203903],1610612762.0,UTA,turnaround,,,Clarkson,J. Clarkson,,,,,Restricted Area,0-8 Center,3.1,Missed,,,,,,,,,,,,,,,,,,
29,PT08M56.00S,2022-11-03T00:44:14.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,10,9,2022-11-03T00:44:18Z,290000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,28.0,,,,,,,,
31,PT08M45.00S,2022-11-03T00:44:32.3Z,1,REGULAR,2pt,Jump Shot,[],1629029,23.47240473061761,71.07843137254902,1610612742,10,9,2022-11-03T00:44:38Z,310000,-105.0,168.0,1,left,MISS L. Doncic 19' pullup Shot,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left Center,19.84,Missed,,,,,,,,,,,,,,,,,,
32,PT08M42.00S,2022-11-03T00:44:35.3Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,10,9,2022-11-03T00:44:38Z,320000,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,
33,PT08M34.00S,2022-11-03T00:44:42.9Z,1,REGULAR,turnover,bad pass,[],1628374,,,1610612762,10,9,2022-11-03T00:44:47Z,330000,,,0,,L. Markkanen bad pass TURNOVER (1 TO),"[1628374, 203915]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Dinwiddie,203915.0,,
34,PT08M34.00S,2022-11-03T00:44:42.9Z,1,REGULAR,steal,,[],203915,,,1610612742,10,9,2022-11-03T00:44:44Z,340000,,,0,,S. Dinwiddie STEAL (1 STL),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT08M22.00S,2022-11-03T00:44:54.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203915,21.895532194480946,88.23529411764706,1610612742,13,9,2022-11-03T00:44:58Z,350000,-191.0,153.0,1,left,S. Dinwiddie 24' 3PT  (6 PTS) (L. Doncic 3 AST),"[203915, 1629029]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,24.51,Made,6.0,L. Doncic,1629029.0,3.0,,,,,,,,,,,,,,
37,PT08M05.00S,2022-11-03T00:45:11.1Z,1,REGULAR,3pt,Jump Shot,[],203482,86.81011826544021,94.36274509803921,1610612762,13,9,2022-11-03T00:45:18Z,370000,222.0,71.0,1,right,MISS K. Olynyk 3PT,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Right Corner 3,24+ Right,23.3,Missed,,,,,,,,,,,,,,,,,,
38,PT08M01.00S,2022-11-03T00:45:15.3Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612762,13,9,2022-11-03T00:45:15Z,380000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,37.0,2.0,1.0,1.0,,,,,
39,PT07M59.00S,2022-11-03T00:45:18.3Z,1,REGULAR,turnover,bad pass,[],1629020,,,1610612762,13,9,2022-11-03T00:45:59Z,390000,,,0,,J. Vanderbilt bad pass TURNOVER (1 TO),"[1629020, 203915]",1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Dinwiddie,203915.0,,
40,PT07M59.00S,2022-11-03T00:45:18.3Z,1,REGULAR,steal,,[],203915,,,1610612742,13,9,2022-11-03T00:45:20Z,400000,,,0,,S. Dinwiddie STEAL (2 STL),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT07M51.00S,2022-11-03T00:45:26.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203915,31.882391590013142,38.48039215686275,1610612742,13,9,2022-11-03T00:45:31Z,410000,58.0,247.0,1,left,MISS S. Dinwiddie 25' 3PT,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,25.38,Missed,,,,,,,,,,,,,,,,,,
42,PT07M47.00S,2022-11-03T00:45:30.2Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,13,9,2022-11-03T00:45:31Z,420000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,
43,PT07M41.00S,2022-11-03T00:45:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,94.1688567674113,48.28431372549019,1610612762,13,9,2022-11-03T00:49:03Z,430000,-9.0,2.0,1,right,MISS J. Vanderbilt cutting Layup,[1629020],1610612762.0,UTA,cutting,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,0.89,Missed,,,,,,,,,,,,,,,,,,
44,PT07M37.00S,2022-11-03T00:45:40.6Z,1,REGULAR,rebound,offensive,[],203903,,,1610612762,13,9,2022-11-03T00:49:03Z,440000,,,0,,J. Clarkson REBOUND (Off:1 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,43.0,2.0,1.0,1.0,,,,,
45,PT07M37.00S,2022-11-03T00:45:39.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203903,94.40999984741211,50.0,1610612762,13,11,2022-11-03T00:45:39Z,450000,0.0,0.0,1,right,J. Clarkson tip Layup (4 PTS),[203903],1610612762.0,UTA,tip,,,Clarkson,J. Clarkson,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
46,PT07M25.00S,2022-11-03T00:45:51.6Z,1,REGULAR,3pt,Jump Shot,[],1627827,11.777266754270697,3.6764705882352944,1610612742,13,11,2022-11-03T00:46:05Z,460000,232.0,58.0,1,left,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Right Corner 3,24+ Right,23.88,Missed,,,,,,,,,,,,,,,,,,
47,PT07M22.00S,2022-11-03T00:45:54.9Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,13,11,2022-11-03T00:45:54Z,470000,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,46.0,2.0,2.0,0.0,,,,,
48,PT07M16.00S,2022-11-03T00:46:35.5Z,1,REGULAR,substitution,out,[],201580,,,1610612762,13,11,2022-11-03T00:46:40Z,480000,,,0,,SUB out: J. McGee,[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M16.00S,2022-11-03T00:46:35.5Z,1,REGULAR,substitution,in,[],1626174,,,1610612762,13,11,2022-11-03T00:46:40Z,490000,,,0,,SUB in: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M12.00S,2022-11-03T00:46:46.2Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612762,13,11,2022-11-03T00:47:26Z,500000,,,0,,Jump Ball L. Markkanen vs. D. Finney-Smith: Tip to M. Conley,"[201144, 1628374, 1627827]",1610612762.0,UTA,heldball,M. Conley,201144.0,Conley,M. Conley,Markkanen,1628374.0,Finney-Smith,1627827.0,,,,,,,,,,,,,,,,,,,,,,
54,PT07M06.00S,2022-11-03T00:46:53.5Z,1,REGULAR,foul,personal,['3freethrow'],1629029,,,1610612762,13,11,2022-11-03T00:47:05Z,540000,,,0,,L. Doncic shooting personal FOUL (1 PF) (Conley 3 FT),"[1629029, 201144]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,,,,,202041.0,1.0,0.0,Conley,201144.0,,,,,,,,,
56,PT07M06.00S,2022-11-03T00:47:29.2Z,1,REGULAR,freethrow,1 of 3,[],201144,,,1610612762,13,12,2022-11-03T00:47:29Z,560000,,,0,,M. Conley Free Throw 1 of 3 (1 PTS),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
57,PT07M06.00S,2022-11-03T00:47:45.2Z,1,REGULAR,freethrow,2 of 3,[],201144,,,1610612762,13,13,2022-11-03T00:47:45Z,570000,,,0,,M. Conley Free Throw 2 of 3 (2 PTS),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
58,PT07M06.00S,2022-11-03T00:48:04.4Z,1,REGULAR,freethrow,3 of 3,[],201144,,,1610612762,13,14,2022-11-03T00:48:04Z,580000,,,0,,M. Conley Free Throw 3 of 3 (3 PTS),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
59,PT06M56.00S,2022-11-03T00:48:19.2Z,1,REGULAR,foul,personal,[],203903,,,1610612742,13,14,2022-11-03T00:48:26Z,590000,,,0,,J. Clarkson personal FOUL (1 PF),"[203903, 1629029]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Mid-Range,8-16 Left,,,,,,,202053.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,
61,PT06M56.00S,2022-11-03T00:48:28.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,13,14,2022-11-03T00:48:28Z,610000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M56.00S,2022-11-03T00:50:44.4Z,1,REGULAR,substitution,out,[],203903,,,1610612742,13,14,2022-11-03T00:51:14Z,620000,,,0,,SUB out: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M56.00S,2022-11-03T00:50:44.4Z,1,REGULAR,substitution,out,[],203482,,,1610612742,13,14,2022-11-03T00:51:14Z,630000,,,0,,SUB out: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M56.00S,2022-11-03T00:50:44.4Z,1,REGULAR,substitution,in,[],1629012,,,1610612742,13,14,2022-11-03T00:51:14Z,640000,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M56.00S,2022-11-03T00:50:44.4Z,1,REGULAR,substitution,in,[],1627736,,,1610612742,13,14,2022-11-03T00:51:14Z,650000,,,0,,SUB in: M. Beasley,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M42.00S,2022-11-03T00:51:44.2Z,1,REGULAR,3pt,Jump Shot,[],203915,55.00985545335085,49.754901960784316,1610612742,13,14,2022-11-03T00:52:08Z,670000,1.0,465.0,1,left,MISS S. Dinwiddie 46' 3PT,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,46.46,Missed,,,,,,,,,,,,,,,,,,
68,PT06M40.00S,2022-11-03T00:51:46.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,13,14,2022-11-03T00:52:08Z,680000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,67.0,,,,,,,,
70,PT06M26.00S,2022-11-03T00:52:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,92.24704336399473,42.93811274509804,1610612762,13,16,2022-11-03T00:52:32Z,700000,-35.0,20.0,1,right,M. Conley driving finger roll Layup (5 PTS),[201144],1610612762.0,UTA,driving finger roll,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,4.08,Made,5.0,,,,,,,,,,,,,,,,,
71,PT06M04.00S,2022-11-03T00:52:27.2Z,1,REGULAR,3pt,Jump Shot,[],203493,32.40801576872536,43.872549019607845,1610612742,13,16,2022-11-03T00:52:32Z,710000,31.0,252.0,1,left,MISS R. Bullock 25' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Center,25.4,Missed,,,,,,,,,,,,,,,,,,
72,PT06M00.00S,2022-11-03T00:52:31.2Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,13,16,2022-11-03T00:52:32Z,720000,,,0,,L. Markkanen REBOUND (Off:0 Def:3),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,71.0,3.0,3.0,0.0,,,,,
73,PT05M53.00S,2022-11-03T00:52:38.2Z,1,REGULAR,3pt,Jump Shot,[],201144,76.2976346911958,12.745098039215685,1610612762,13,16,2022-11-03T00:54:01Z,730000,-186.0,170.0,1,right,MISS M. Conley 25' step back 3PT,[201144],1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,25.24,Missed,,,,,,,,,,,,,,,,,,
74,PT05M48.00S,2022-11-03T00:52:43.2Z,1,REGULAR,rebound,defensive,[],203915,,,1610612742,13,16,2022-11-03T00:52:44Z,740000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,73.0,1.0,1.0,0.0,,,,,
75,PT05M36.00S,2022-11-03T00:52:56.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626174,9.149145860709593,47.549019607843135,1610612742,15,16,2022-11-03T00:53:13Z,750000,12.0,34.0,1,left,C. Wood driving floating Jump Shot (2 PTS) (L. Doncic 4 AST),"[1626174, 1629029]",1610612742.0,DAL,driving floating,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,3.57,Made,2.0,L. Doncic,1629029.0,4.0,,,,,,,,,,,,,,
77,PT05M25.00S,2022-11-03T00:53:09.5Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612762,15,16,2022-11-03T00:53:20Z,770000,,,0,,L. Doncic shooting personal FOUL (2 PF) (Sexton 2 FT),"[1629029, 1629012]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,202041.0,2.0,0.0,Sexton,1629012.0,,,,,,,,,
79,PT05M25.00S,2022-11-03T00:53:40.5Z,1,REGULAR,freethrow,1 of 2,[],1629012,,,1610612762,15,17,2022-11-03T00:53:40Z,790000,,,0,,C. Sexton Free Throw 1 of 2 (1 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
80,PT05M25.00S,2022-11-03T00:53:41.1Z,1,REGULAR,substitution,out,[],1627827,,,1610612762,15,17,2022-11-03T00:53:59Z,800000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M25.00S,2022-11-03T00:53:41.1Z,1,REGULAR,substitution,out,[],203915,,,1610612762,15,17,2022-11-03T00:53:59Z,810000,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M25.00S,2022-11-03T00:53:41.1Z,1,REGULAR,substitution,in,[],203501,,,1610612762,15,17,2022-11-03T00:53:59Z,820000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M25.00S,2022-11-03T00:53:41.1Z,1,REGULAR,substitution,in,[],1628467,,,1610612762,15,17,2022-11-03T00:53:59Z,830000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M25.00S,2022-11-03T00:54:01.4Z,1,REGULAR,freethrow,2 of 2,[],1629012,,,1610612762,15,18,2022-11-03T00:54:01Z,840000,,,0,,C. Sexton Free Throw 2 of 2 (2 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
85,PT05M14.00S,2022-11-03T00:54:13.5Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,15,18,2022-11-03T00:54:17Z,850000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 201144]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Conley,201144.0,,
86,PT05M14.00S,2022-11-03T00:54:13.5Z,1,REGULAR,steal,,[],201144,,,1610612762,15,18,2022-11-03T00:54:15Z,860000,,,0,,M. Conley STEAL (1 STL),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
87,PT05M08.00S,2022-11-03T00:54:19.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627736,94.56307490144546,95.58823529411765,1610612762,15,21,2022-11-03T00:54:46Z,870000,228.0,-1.0,1,right,M. Beasley 3PT  (3 PTS) (C. Sexton 1 AST),"[1627736, 1629012]",1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Right Corner 3,24+ Right,22.79,Made,3.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,,
89,PT04M46.00S,2022-11-03T00:54:46.4Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,15,21,2022-11-03T00:54:53Z,890000,,,0,,L. Doncic bad pass TURNOVER (2 TO),"[1629029, 1629020]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2.0,Vanderbilt,1629020.0,,
90,PT04M46.00S,2022-11-03T00:54:46.4Z,1,REGULAR,steal,,[],1629020,,,1610612762,15,21,2022-11-03T00:54:48Z,900000,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
91,PT04M34.00S,2022-11-03T00:54:53.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629012,72.88107752956637,78.18627450980392,1610612762,15,21,2022-11-03T00:54:59Z,910000,141.0,202.0,1,right,MISS C. Sexton 24' 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,24.66,Missed,,,,,,,,,,,,,,,,,,
