actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
33,PT10M08.00S,2025-11-23T18:15:03.8Z,1,REGULAR,3pt,Jump Shot,[],1629656,33.327858081471746,67.40196078431373,1610612755,5,7,2025-11-23T18:18:24Z,330000,False,-87.0,261.0,1,left,MISS Q. Grimes 27' pullup 3PT,[1629656],1610612755.0,PHI,pullup,,,,,,Above the Break 3,24+ Left Center,,,,Grimes,Q. Grimes,,,,27.49,Missed,,,,,,,,,,,,,
34,PT10M06.00S,2025-11-23T18:15:05.8Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,5,7,2025-11-23T18:18:24Z,340000,False,,,0,,K. Ware REBOUND (Off:0 Def:2),[1642276],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,,Ware,K. Ware,,,,,,,,,,33.0,2.0,2.0,0.0,,,,,
35,PT09M58.00S,2025-11-23T18:15:12.7Z,1,REGULAR,3pt,Jump Shot,[],1641796,73.66951379763469,15.686274509803921,1610612748,5,7,2025-11-23T18:15:20Z,350000,False,-172.0,195.0,1,right,MISS P. Larsson 25' 3PT,[1641796],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,,Larsson,P. Larsson,,,,25.98,Missed,,,,,,,,,,,,,
36,PT09M56.00S,2025-11-23T18:15:14.7Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,5,7,2025-11-23T18:19:26Z,360000,False,,,0,,K. Ware REBOUND (Off:1 Def:2),[1642276],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,,Ware,K. Ware,,,,,,,,,,35.0,3.0,2.0,1.0,,,,,
37,PT09M56.00S,2025-11-23T18:15:18.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642276,94.40999984741211,50.0,1610612748,5,7,2025-11-23T18:19:37Z,370000,False,0.0,0.0,1,right,MISS K. Ware putback Layup - blocked,"[1642276, 203083]",1610612748.0,MIA,putback,,,,,,Restricted Area,0-8 Center,,,,Ware,K. Ware,,,,0.0,Missed,,,,,,,,,Drummond,203083.0,,,
38,PT09M56.00S,2025-11-23T18:15:18.9Z,1,REGULAR,block,,[],203083,,,1610612748,5,7,2025-11-23T18:15:21Z,380000,False,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,
39,PT09M55.00S,2025-11-23T18:15:19.9Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,5,7,2025-11-23T18:19:37Z,390000,False,,,0,,K. Ware REBOUND (Off:2 Def:2),[1642276],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,,Ware,K. Ware,,,,,,,,,,37.0,4.0,2.0,2.0,,,,,
40,PT09M51.00S,2025-11-23T18:15:22.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642276,92.9862023653088,50.0,1610612748,5,9,2025-11-23T18:19:51Z,400000,False,0.0,13.0,1,right,K. Ware Layup (2 PTS),[1642276],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,,Ware,K. Ware,,,,1.34,Made,2.0,,,,,,,,,,,,
41,PT09M32.00S,2025-11-23T18:15:38.0Z,1,REGULAR,3pt,Jump Shot,[],202331,33.85348226018397,28.186274509803923,1610612755,5,9,2025-11-23T18:16:00Z,410000,False,109.0,266.0,1,left,MISS P. George 28' step back 3PT,[202331],1610612755.0,PHI,step back,,,,,,Above the Break 3,24+ Right Center,,,,George,P. George,,,,28.72,Missed,,,,,,,,,,,,,
42,PT09M30.00S,2025-11-23T18:15:40.7Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,5,9,2025-11-23T18:15:40Z,420000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Mitchell,D. Mitchell,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,
43,PT09M27.00S,2025-11-23T18:15:44.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626181,72.09264126149803,13.725490196078432,1610612748,5,12,2025-11-23T18:16:07Z,430000,False,-181.0,210.0,1,right,N. Powell 27' 3PT running (8 PTS) (D. Mitchell 3 AST),"[1626181, 1630558]",1610612748.0,MIA,running,,,,,,Above the Break 3,24+ Left Center,,,,Powell,N. Powell,,,,27.73,Made,8.0,D. Mitchell,1630558.0,3.0,,,,,,,,,
45,PT09M02.00S,2025-11-23T18:16:08.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,20.05584756898817,55.14705882352941,1610612755,7,12,2025-11-23T18:16:13Z,450000,False,-26.0,136.0,1,left,T. Maxey 13' turnaround fadeaway Jump Shot (5 PTS),[1630178],1610612755.0,PHI,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,,,,Maxey,T. Maxey,,,,13.84,Made,5.0,,,,,,,,,,,,
46,PT08M52.00S,2025-11-23T18:16:18.9Z,1,REGULAR,turnover,lost ball,[],1628389,,,1610612748,7,12,2025-11-23T18:16:23Z,460000,False,,,0,,B. Adebayo lost ball TURNOVER (1 TO),"[1628389, 1630178]",1610612748.0,MIA,,,,,,,Mid-Range,16-24 Left Center,,,,Adebayo,B. Adebayo,,,1.0,,,,,,,,,,,,,Maxey,1630178.0,
47,PT08M52.00S,2025-11-23T18:16:18.9Z,1,REGULAR,steal,,[],1630178,,,1610612755,7,12,2025-11-23T18:16:21Z,470000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Left Center,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,
48,PT08M48.00S,2025-11-23T18:16:26.2Z,1,REGULAR,foul,offensive,[],202331,,,1610612755,7,12,2025-11-23T18:16:58Z,480000,False,,,0,,P. George charge offensive FOUL (1 PF),"[202331, 1641796]",1610612755.0,PHI,charge,,,,,,In The Paint (Non-RA),0-8 Center,202901.0,1.0,0.0,George,P. George,Larsson,1641796.0,,,,,,,,,,,,,,,,
50,PT08M48.00S,2025-11-23T18:16:26.2Z,1,REGULAR,turnover,offensive foul,[],202331,,,1610612755,7,12,2025-11-23T18:16:26Z,500000,False,,,0,,P. George offensive foul TURNOVER (1 TO),[202331],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,202901.0,,,George,P. George,,,1.0,,,,,,,,,,,,,,,
51,PT08M41.00S,2025-11-23T18:17:01.6Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612748,7,12,2025-11-23T18:17:12Z,510000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1630178, 1630558]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,1628171.0,1.0,0.0,Maxey,T. Maxey,Mitchell,1630558.0,,,,,,,,,,,,,,,,
53,PT08M41.00S,2025-11-23T18:17:25.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630558,,,1610612748,7,13,2025-11-23T18:17:25Z,530000,False,,,0,,D. Mitchell Free Throw 1 of 2 (1 PTS),[1630558],1610612748.0,MIA,,,,,,,,,,,,Mitchell,D. Mitchell,,,,,Made,1.0,,,,,,,,,,,,
54,PT08M41.00S,2025-11-23T18:17:36.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630558,,,1610612748,7,14,2025-11-23T18:17:36Z,540000,False,,,0,,D. Mitchell Free Throw 2 of 2 (2 PTS),[1630558],1610612748.0,MIA,,,,,,,,,,,,Mitchell,D. Mitchell,,,,,Made,2.0,,,,,,,,,,,,
55,PT08M27.00S,2025-11-23T18:17:56.7Z,1,REGULAR,foul,personal,['2freethrow'],1630558,,,1610612755,7,14,2025-11-23T18:18:02Z,550000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Maxey 2 FT),"[1630558, 1630178]",1610612748.0,MIA,shooting,,,,,,In The Paint (Non-RA),0-8 Center,202007.0,1.0,0.0,Mitchell,D. Mitchell,Maxey,1630178.0,,,,,,,,,,,,,,,,
57,PT08M27.00S,2025-11-23T18:18:28.8Z,1,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,8,14,2025-11-23T18:18:28Z,570000,False,,,0,,T. Maxey Free Throw 1 of 2 (6 PTS),[1630178],1610612755.0,PHI,,,,,,,,,,,,Maxey,T. Maxey,,,,,Made,6.0,,,,,,,,,,,,
58,PT08M27.00S,2025-11-23T18:18:50.5Z,1,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,9,14,2025-11-23T18:18:50Z,580000,False,,,0,,T. Maxey Free Throw 2 of 2 (7 PTS),[1630178],1610612755.0,PHI,,,,,,,,,,,,Maxey,T. Maxey,,,,,Made,7.0,,,,,,,,,,,,
59,PT08M18.00S,2025-11-23T18:19:08.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641796,86.41590013140605,60.049019607843135,1610612748,9,14,2025-11-23T18:22:15Z,590000,False,50.0,75.0,1,right,MISS P. Larsson 9' turnaround Shot,[1641796],1610612748.0,MIA,turnaround,,,,,,In The Paint (Non-RA),8-16 Right,,,,Larsson,P. Larsson,,,,9.04,Missed,,,,,,,,,,,,,
60,PT08M16.00S,2025-11-23T18:19:10.3Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,9,14,2025-11-23T18:22:15Z,600000,False,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Drummond,A. Drummond,,,,,,,,,,59.0,2.0,1.0,1.0,,,,,
61,PT08M09.00S,2025-11-23T18:19:15.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,29.25427069645204,18.137254901960784,1610612755,9,14,2025-11-23T18:22:29Z,610000,False,159.0,222.0,1,left,MISS T. Maxey 27' running pullup 3PT,[1630178],1610612755.0,PHI,running pullup,,,,,,Above the Break 3,24+ Right Center,,,,Maxey,T. Maxey,,,,27.36,Missed,,,,,,,,,,,,,
62,PT08M05.00S,2025-11-23T18:19:19.6Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,9,14,2025-11-23T18:19:23Z,620000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1630558],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Mitchell,D. Mitchell,,,,,,,,,,61.0,2.0,2.0,0.0,,,,,
63,PT08M01.00S,2025-11-23T18:19:23.3Z,1,REGULAR,turnover,bad pass,[],1641796,,,1610612748,9,14,2025-11-23T18:19:26Z,630000,False,,,0,,P. Larsson bad pass TURNOVER (1 TO),"[1641796, 202331]",1610612748.0,MIA,,,,,,,Mid-Range,8-16 Right,,,,Larsson,P. Larsson,,,1.0,,,,,,,,,,,,,George,202331.0,
64,PT08M01.00S,2025-11-23T18:19:23.3Z,1,REGULAR,steal,,[],202331,,,1610612755,9,14,2025-11-23T18:19:25Z,640000,False,,,0,,P. George STEAL (1 STL),[202331],1610612755.0,PHI,,,,,,,Mid-Range,8-16 Right,,,,George,P. George,,,,,,,,,,,,,,,,,,
65,PT07M50.00S,2025-11-23T18:19:34.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,9.543363994743759,49.01960784313725,1610612755,9,14,2025-11-23T18:19:39Z,650000,False,5.0,37.0,1,left,MISS T. Maxey driving reverse Layup,[1630178],1610612755.0,PHI,driving reverse,,,,,,Restricted Area,0-8 Center,,,,Maxey,T. Maxey,,,,3.75,Missed,,,,,,,,,,,,,
66,PT07M49.00S,2025-11-23T18:19:36.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,9,14,2025-11-23T18:19:36Z,660000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,65.0,,,,,,,,
68,PT07M43.00S,2025-11-23T18:19:58.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629656,8.09789750328515,61.76470588235294,1610612755,9,14,2025-11-23T18:20:03Z,680000,False,-59.0,24.0,1,left,MISS Q. Grimes 6' fadeaway bank Shot,[1629656],1610612755.0,PHI,fadeaway bank,,,,,,In The Paint (Non-RA),0-8 Center,,,,Grimes,Q. Grimes,,,,6.34,Missed,,,,,,,,,,,,,
69,PT07M40.00S,2025-11-23T18:20:01.2Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,9,14,2025-11-23T18:20:01Z,690000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:3),[1630558],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Mitchell,D. Mitchell,,,,,,,,,,68.0,3.0,3.0,0.0,,,,,
70,PT07M35.00S,2025-11-23T18:20:07.0Z,1,REGULAR,3pt,Jump Shot,[],1626181,69.85873850197109,20.34313725490196,1610612748,9,14,2025-11-23T18:20:11Z,700000,False,-148.0,231.0,1,right,MISS N. Powell 27' pullup 3PT,[1626181],1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Left Center,,,,Powell,N. Powell,,,,27.43,Missed,,,,,,,,,,,,,
71,PT07M32.00S,2025-11-23T18:20:10.0Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,9,14,2025-11-23T18:20:11Z,710000,False,,,0,,A. Drummond REBOUND (Off:1 Def:2),[203083],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Drummond,A. Drummond,,,,,,,,,,70.0,3.0,2.0,1.0,,,,,
73,PT07M26.00S,2025-11-23T18:20:27.5Z,1,REGULAR,foul,offensive,[],1629656,,,1610612755,9,14,2025-11-23T18:21:13Z,730000,False,,,0,,Q. Grimes charge offensive FOUL (1 PF),"[1629656, 1641796]",1610612755.0,PHI,charge,,,,,,In The Paint (Non-RA),0-8 Center,202007.0,1.0,0.0,Grimes,Q. Grimes,Larsson,1641796.0,,,,,,,,,,,,,,,,
75,PT07M26.00S,2025-11-23T18:20:27.5Z,1,REGULAR,turnover,offensive foul,[],1629656,,,1610612755,9,14,2025-11-23T18:20:27Z,750000,False,,,0,,Q. Grimes offensive foul TURNOVER (1 TO),[1629656],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,202007.0,,,Grimes,Q. Grimes,,,1.0,,,,,,,,,,,,,,,
76,PT07M06.00S,2025-11-23T18:20:58.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626181,86.28449408672799,37.5,1610612748,9,16,2025-11-23T18:21:11Z,760000,False,-62.0,76.0,1,right,N. Powell 9' pullup bank Jump Shot (10 PTS) (D. Mitchell 4 AST),"[1626181, 1630558]",1610612748.0,MIA,pullup bank,,,,,,In The Paint (Non-RA),8-16 Left,,,,Powell,N. Powell,,,,9.87,Made,10.0,D. Mitchell,1630558.0,4.0,,,,,,,,,
78,PT06M44.00S,2025-11-23T18:21:19.5Z,1,REGULAR,2pt,Jump Shot,[],202331,15.062417871222076,23.774509803921568,1610612755,11,16,2025-11-23T18:21:23Z,780000,False,131.0,89.0,1,left,P. George 15' pullup Jump Shot (4 PTS) (T. Maxey 1 AST),"[202331, 1630178]",1610612755.0,PHI,pullup,,,,,,Mid-Range,8-16 Right,,,,George,P. George,,,,15.85,Made,4.0,T. Maxey,1630178.0,1.0,,,,,,,,,
80,PT06M31.00S,2025-11-23T18:21:35.8Z,1,REGULAR,foul,personal,['2freethrow'],202331,,,1610612748,11,16,2025-11-23T18:21:48Z,800000,False,,,0,,P. George shooting personal FOUL (2 PF) (Adebayo 2 FT),"[202331, 1628389]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,1628171.0,2.0,0.0,George,P. George,Adebayo,1628389.0,,,,,,,,,,,,,,,,
82,PT06M31.00S,2025-11-23T18:22:05.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,11,16,2025-11-23T18:22:05Z,820000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M31.00S,2025-11-23T18:24:51.4Z,1,REGULAR,substitution,out,[],1642276,,,1610612748,11,16,2025-11-23T18:24:59Z,830000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,,,,,,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,
84,PT06M31.00S,2025-11-23T18:24:51.4Z,1,REGULAR,substitution,in,[],1631170,,,1610612748,11,16,2025-11-23T18:24:59Z,840000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,,,,,,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,
85,PT06M31.00S,2025-11-23T18:25:00.1Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,11,17,2025-11-23T18:25:16Z,850000,False,,,0,,B. Adebayo Free Throw 1 of 2 (3 PTS),[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,,,Made,3.0,,,,,,,,,,,,
86,PT06M31.00S,2025-11-23T18:25:10.6Z,1,REGULAR,substitution,out,[],202331,,,1610612748,11,17,2025-11-23T18:25:13Z,860000,False,,,0,,SUB out: P. George,[202331],1610612755.0,PHI,,,,,,,,,,,,George,P. George,,,,,,,,,,,,,,,,,,
87,PT06M31.00S,2025-11-23T18:25:10.6Z,1,REGULAR,substitution,in,[],1631230,,,1610612748,11,17,2025-11-23T18:25:13Z,870000,False,,,0,,SUB in: D. Barlow,[1631230],1610612755.0,PHI,,,,,,,,,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,
88,PT06M31.00S,2025-11-23T18:25:00.1Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,11,17,2025-11-23T18:25:16Z,880000,False,,,0,,MISS B. Adebayo Free Throw 2 of 2,[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,,,Missed,,,,,,,,,,,,,
89,PT06M30.00S,2025-11-23T18:25:01.1Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,11,17,2025-11-23T18:25:40Z,890000,False,,,0,,A. Drummond REBOUND (Off:1 Def:3),[203083],1610612755.0,PHI,,,,,,,,,,,,Drummond,A. Drummond,,,,,,,,,,88.0,4.0,3.0,1.0,,,,,
90,PT06M16.00S,2025-11-23T18:25:30.3Z,1,REGULAR,3pt,Jump Shot,[],1630178,32.933639947437584,69.85294117647058,1610612755,11,17,2025-11-23T18:26:01Z,900000,False,-99.0,257.0,1,left,MISS T. Maxey 27' step back 3PT,[1630178],1610612755.0,PHI,step back,,,,,,Above the Break 3,24+ Left Center,,,,Maxey,T. Maxey,,,,27.56,Missed,,,,,,,,,,,,,
