actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
15,PT10M57.00S,2025-12-21T00:12:15.6Z,1,REGULAR,turnover,bad pass,[],1630230,,,1610612742,3,0,2025-12-21T00:12:19Z,150000,False,,,0,,N. Marshall bad pass TURNOVER (2 TO),"[1630230, 1631230]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Left Center,,,,,,,,2.0,,Barlow,1631230.0,,,,,,,,,
16,PT10M57.00S,2025-12-21T00:12:15.6Z,1,REGULAR,steal,,[],1631230,,,1610612755,3,0,2025-12-21T00:12:17Z,160000,False,,,0,,D. Barlow STEAL (1 STL),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2025-12-21T00:12:19.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631230,6.521024967148489,52.450980392156865,1610612755,5,0,2025-12-21T00:12:23Z,170000,False,-12.0,9.0,1,left,D. Barlow running DUNK (2 PTS),[1631230],1610612755.0,PHI,running,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,1.51,Made,,,,,,,2.0,,,,,,,,,,,
18,PT10M36.00S,2025-12-21T00:12:38.0Z,1,REGULAR,foul,personal,['2freethrow'],1631230,,,1610612742,5,0,2025-12-21T00:12:44Z,180000,False,,,0,,D. Barlow shooting personal FOUL (1 PF) (Flagg 2 FT),"[1631230, 1642843]",1610612755.0,PHI,shooting,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,,,,2534.0,,,,,1.0,0.0,Flagg,1642843.0,,,,,
20,PT10M36.00S,2025-12-21T00:13:07.3Z,1,REGULAR,freethrow,1 of 2,[],1642843,,,1610612742,5,1,2025-12-21T00:13:07Z,200000,False,,,0,,C. Flagg Free Throw 1 of 2 (1 PTS),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
21,PT10M36.00S,2025-12-21T00:13:29.0Z,1,REGULAR,freethrow,2 of 2,[],1642843,,,1610612742,5,2,2025-12-21T00:13:29Z,210000,False,,,0,,C. Flagg Free Throw 2 of 2 (2 PTS),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
22,PT10M20.00S,2025-12-21T00:13:46.8Z,1,REGULAR,3pt,Jump Shot,[],1630178,34.641918528252305,37.5,1610612755,5,2,2025-12-21T00:13:53Z,220000,False,62.0,273.0,1,left,MISS T. Maxey 28' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,28.02,Missed,,,,,,,,,,,,,,,,,,
23,PT10M18.00S,2025-12-21T00:13:48.8Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,5,2,2025-12-21T00:13:53Z,230000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Center,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT10M18.00S,2025-12-21T00:13:52.0Z,1,REGULAR,foul,personal,['2freethrow'],203076,,,1610612755,5,2,2025-12-21T00:14:00Z,240000,False,,,0,,A. Davis shooting personal FOUL (1 PF) (Drummond 2 FT),"[203076, 203083]",1610612742.0,DAL,shooting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,2534.0,,,,,1.0,0.0,Drummond,203083.0,,,,,
26,PT10M18.00S,2025-12-21T00:14:15.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203083,,,1610612755,5,2,2025-12-21T00:14:31Z,260000,False,,,0,,MISS A. Drummond Free Throw 1 of 2,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT10M18.00S,2025-12-21T00:14:15.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612755,5,2,2025-12-21T00:14:31Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,
28,PT10M18.00S,2025-12-21T00:14:15.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203083,,,1610612755,5,2,2025-12-21T00:14:31Z,280000,False,,,0,,MISS A. Drummond Free Throw 2 of 2,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
29,PT10M16.00S,2025-12-21T00:14:17.9Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,5,2,2025-12-21T00:14:31Z,290000,False,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT10M02.00S,2025-12-21T00:14:45.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,94.69448094612353,50.0,1610612742,5,4,2025-12-21T00:14:48Z,300000,False,0.0,-3.0,1,right,N. Marshall driving finger roll Layup (2 PTS),[1630230],1610612742.0,DAL,driving finger roll,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,0.26,Made,,,,,,,2.0,,,,,,,,,,,
31,PT09M50.00S,2025-12-21T00:15:02.1Z,1,REGULAR,foul,personal,[],1642948,,,1610612755,5,4,2025-12-21T00:15:07Z,310000,False,,,0,,R. Nembhard personal FOUL (1 PF),"[1642948, 1631230]",1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,Mid-Range,16-24 Left,,,,,,,1627519.0,,,,,1.0,0.0,Barlow,1631230.0,,,,,
33,PT09M44.00S,2025-12-21T00:15:20.2Z,1,REGULAR,3pt,Jump Shot,[],1629656,34.773324572930356,58.82352941176471,1610612755,5,4,2025-12-21T00:15:24Z,330000,False,-44.0,274.0,1,left,MISS Q. Grimes 27' 3PT,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Center,27.79,Missed,,,,,,,,,,,,,,,,,,
34,PT09M42.00S,2025-12-21T00:15:22.2Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,5,4,2025-12-21T00:15:24Z,340000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT09M32.00S,2025-12-21T00:15:33.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,93.11760840998686,54.65686274509803,1610612742,5,6,2025-12-21T00:15:36Z,350000,False,23.0,12.0,1,right,P. Washington driving floating Jump Shot (2 PTS) (N. Marshall 1 AST),"[1629023, 1630230]",1610612742.0,DAL,driving floating,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,2.63,Made,,,,,,,2.0,,,,,,,N. Marshall,1630230.0,1.0,,
37,PT09M27.00S,2025-12-21T00:15:39.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642845,6.652431011826544,47.05882352941176,1610612755,7,6,2025-12-21T00:15:43Z,370000,False,15.0,10.0,1,left,V. Edgecombe driving Layup (2 PTS) (T. Maxey 1 AST),"[1642845, 1630178]",1610612755.0,PHI,driving,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,1.78,Made,,,,,,,2.0,,,,,,,T. Maxey,1630178.0,1.0,,
39,PT09M27.00S,2025-12-21T00:15:47.9Z,1,REGULAR,foul,personal,['1freethrow'],1629023,,,1610612755,7,6,2025-12-21T00:15:54Z,390000,False,,,0,,P. Washington shooting personal FOUL (1 PF) (Edgecombe 1 FT),"[1629023, 1642845]",1610612742.0,DAL,shooting,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,1626301.0,,,,,1.0,0.0,Edgecombe,1642845.0,,,,,
41,PT09M27.00S,2025-12-21T00:16:12.2Z,1,REGULAR,freethrow,1 of 1,[],1642845,,,1610612755,8,6,2025-12-21T00:16:12Z,410000,False,,,0,,V. Edgecombe Free Throw 1 of 1 (3 PTS),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
42,PT09M12.00S,2025-12-21T00:16:30.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,95.0886990801577,49.754901960784316,1610612742,8,8,2025-12-21T00:16:34Z,420000,False,-1.0,-6.0,1,right,A. Davis DUNK (2 PTS) (N. Marshall 2 AST),"[203076, 1630230]",1610612742.0,DAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,0.64,Made,,,,,,,2.0,,,,,,,N. Marshall,1630230.0,2.0,,
44,PT09M00.00S,2025-12-21T00:16:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631230,13.485545335085414,55.14705882352941,1610612755,8,8,2025-12-21T00:18:08Z,440000,False,-26.0,74.0,1,left,MISS D. Barlow 7' floating Shot,[1631230],1610612755.0,PHI,floating,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),0-8 Center,7.86,Missed,,,,,,,,,,,,,,,,,,
45,PT08M57.00S,2025-12-21T00:16:44.7Z,1,REGULAR,rebound,defensive,[],1642843,,,1610612742,8,8,2025-12-21T00:16:46Z,450000,False,,,0,,C. Flagg REBOUND (Off:0 Def:1),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,In The Paint (Non-RA),0-8 Center,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,
46,PT08M52.00S,2025-12-21T00:16:51.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642843,88.64980289093299,55.88235294117647,1610612742,8,8,2025-12-21T00:18:47Z,460000,False,29.0,54.0,1,right,MISS C. Flagg 6' driving floating Shot,[1642843],1610612742.0,DAL,driving floating,,,Flagg,C. Flagg,,,,,In The Paint (Non-RA),0-8 Center,6.17,Missed,,,,,,,,,,,,,,,,,,
47,PT08M49.00S,2025-12-21T00:16:54.1Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,8,8,2025-12-21T00:18:47Z,470000,False,,,0,,D. Barlow REBOUND (Off:0 Def:1),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),0-8 Center,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT08M44.00S,2025-12-21T00:16:57.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629656,6.521024967148489,50.49019607843137,1610612755,8,8,2025-12-21T00:17:06Z,480000,False,-2.0,9.0,1,left,MISS Q. Grimes running finger roll Layup,[1629656],1610612755.0,PHI,running finger roll,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,0.91,Missed,,,,,,,,,,,,,,,,,,
49,PT08M37.00S,2025-12-21T00:17:04.8Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,8,8,2025-12-21T00:21:13Z,490000,False,,,0,,N. Marshall REBOUND (Off:0 Def:2),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,
50,PT08M36.00S,2025-12-21T00:17:07.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629023,88.91261498028909,50.245098039215684,1610612742,8,8,2025-12-21T00:17:39Z,500000,False,1.0,52.0,1,right,MISS P. Washington running Layup,[1629023],1610612742.0,DAL,running,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,5.17,Missed,,,,,,,,,,,,,,,,,,
51,PT08M33.00S,2025-12-21T00:17:10.1Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,8,8,2025-12-21T00:21:17Z,510000,False,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,,,50.0,2.0,1.0,1.0,,,,,,,,,,,,,,
52,PT08M30.00S,2025-12-21T00:17:12.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629656,9.017739816031538,50.73529411764706,1610612755,8,8,2025-12-21T00:17:20Z,520000,False,-4.0,32.0,1,left,MISS Q. Grimes running finger roll Layup,[1629656],1610612755.0,PHI,running finger roll,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,3.25,Missed,,,,,,,,,,,,,,,,,,
53,PT08M28.00S,2025-12-21T00:17:14.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,8,8,2025-12-21T00:17:20Z,530000,False,,,0,,A. Davis REBOUND (Off:0 Def:3),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,52.0,3.0,3.0,0.0,,,,,,,,,,,,,,
54,PT08M24.00S,2025-12-21T00:17:18.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629023,97.32260183968464,4.6568627450980395,1610612742,8,11,2025-12-21T00:17:23Z,540000,False,-227.0,-27.0,1,right,P. Washington 3PT running (5 PTS) (R. Nembhard 1 AST),"[1629023, 1642948]",1610612742.0,DAL,running,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,22.83,Made,,,,,,,5.0,,,,,,,R. Nembhard,1642948.0,1.0,,
56,PT08M06.00S,2025-12-21T00:17:36.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.835085413929041,46.568627450980394,1610612755,8,11,2025-12-21T00:17:44Z,560000,False,17.0,21.0,1,left,MISS T. Maxey driving Layup,[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.72,Missed,,,,,,,,,,,,,,,,,,
57,PT08M06.00S,2025-12-21T00:17:36.9Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,8,11,2025-12-21T00:17:44Z,570000,False,,,0,,A. Drummond REBOUND (Off:2 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,56.0,3.0,1.0,2.0,,,,,,,,,,,,,,
58,PT08M01.00S,2025-12-21T00:17:41.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,5.590000152587891,50.0,1610612755,8,11,2025-12-21T00:17:41Z,580000,False,0.0,0.0,1,left,MISS A. Drummond putback Layup,[203083],1610612755.0,PHI,putback,,,Drummond,A. Drummond,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
59,PT08M00.00S,2025-12-21T00:17:42.8Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,8,11,2025-12-21T00:17:42Z,590000,False,,,0,,A. Davis REBOUND (Off:0 Def:4),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,58.0,4.0,4.0,0.0,,,,,,,,,,,,,,
60,PT07M58.00S,2025-12-21T00:17:45.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642843,94.30026281208936,51.225490196078425,1610612742,8,13,2025-12-21T00:17:52Z,600000,False,6.0,1.0,1,right,C. Flagg running Layup (4 PTS) (A. Davis 1 AST),"[1642843, 203076]",1610612742.0,DAL,running,,,Flagg,C. Flagg,,,,,Restricted Area,0-8 Center,0.62,Made,,,,,,,4.0,,,,,,,A. Davis,203076.0,1.0,,
62,PT07M49.00S,2025-12-21T00:18:05.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,8,13,2025-12-21T00:18:05Z,620000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M49.00S,2025-12-21T00:20:49.7Z,1,REGULAR,substitution,out,[],1629656,,,1610612755,8,13,2025-12-21T00:20:54Z,630000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M49.00S,2025-12-21T00:20:49.7Z,1,REGULAR,substitution,in,[],1642272,,,1610612755,8,13,2025-12-21T00:20:54Z,640000,False,,,0,,SUB in: J. McCain,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M35.00S,2025-12-21T00:21:26.0Z,1,REGULAR,3pt,Jump Shot,[],203083,6.521024967148489,96.07843137254902,1610612755,8,13,2025-12-21T00:21:30Z,650000,False,-230.0,9.0,1,left,MISS A. Drummond 3PT,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Left Corner 3,24+ Left,23.06,Missed,,,,,,,,,,,,,,,,,,
66,PT07M32.00S,2025-12-21T00:21:29.0Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,8,13,2025-12-21T00:21:30Z,660000,False,,,0,,N. Marshall REBOUND (Off:0 Def:3),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Left Corner 3,24+ Left,,,65.0,3.0,3.0,0.0,,,,,,,,,,,,,,
67,PT07M22.00S,2025-12-21T00:21:39.5Z,1,REGULAR,2pt,Jump Shot,[],203076,79.58278580814718,63.48039215686274,1610612742,8,13,2025-12-21T00:21:43Z,670000,False,67.0,139.0,1,right,MISS A. Davis 15' pullup Shot,[203076],1610612742.0,DAL,pullup,,,Davis,A. Davis,,,,,Mid-Range,8-16 Center,15.48,Missed,,,,,,,,,,,,,,,,,,
68,PT07M18.00S,2025-12-21T00:21:43.5Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,8,13,2025-12-21T00:21:43Z,680000,False,,,0,,D. Barlow REBOUND (Off:0 Def:2),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Mid-Range,8-16 Center,,,67.0,2.0,2.0,0.0,,,,,,,,,,,,,,
69,PT07M06.00S,2025-12-21T00:21:55.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642272,6.783837056504599,47.794117647058826,1610612755,10,13,2025-12-21T00:22:00Z,690000,False,11.0,11.0,1,left,J. McCain finger roll Layup (2 PTS),[1642272],1610612755.0,PHI,finger roll,,,McCain,J. McCain,,,,,Restricted Area,0-8 Center,1.58,Made,,,,,,,2.0,,,,,,,,,,,
70,PT06M39.00S,2025-12-21T00:22:23.8Z,1,REGULAR,foul,personal,[],1642845,,,1610612742,10,13,2025-12-21T00:22:29Z,700000,False,,,0,,V. Edgecombe personal FOUL (1 PF),"[1642845, 1642843]",1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,8-16 Right,,,,,,,1627519.0,,,,,1.0,0.0,Flagg,1642843.0,,,,,
72,PT06M39.00S,2025-12-21T00:22:36.6Z,1,REGULAR,substitution,out,[],203083,,,1610612742,10,13,2025-12-21T00:22:42Z,720000,False,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M39.00S,2025-12-21T00:22:36.6Z,1,REGULAR,substitution,out,[],1629023,,,1610612742,10,13,2025-12-21T00:22:42Z,730000,False,,,0,,SUB out: P. Washington,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M39.00S,2025-12-21T00:22:36.6Z,1,REGULAR,substitution,in,[],1641737,,,1610612742,10,13,2025-12-21T00:22:42Z,740000,False,,,0,,SUB in: A. Bona,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M39.00S,2025-12-21T00:22:36.6Z,1,REGULAR,substitution,in,[],1631108,,,1610612742,10,13,2025-12-21T00:22:42Z,750000,False,,,0,,SUB in: M. Christie,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M34.00S,2025-12-21T00:22:52.2Z,1,REGULAR,turnover,bad pass,[],1642843,,,1610612742,10,13,2025-12-21T00:22:57Z,760000,False,,,0,,C. Flagg bad pass TURNOVER (1 TO),"[1642843, 1630178]",1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,,Maxey,1630178.0,,,,,,,,,
77,PT06M34.00S,2025-12-21T00:22:52.2Z,1,REGULAR,steal,,[],1630178,,,1610612755,10,13,2025-12-21T00:22:54Z,770000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
78,PT06M27.00S,2025-12-21T00:22:58.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642272,31.35676741130092,27.205882352941174,1610612755,10,13,2025-12-21T00:23:04Z,780000,False,114.0,242.0,1,left,MISS J. McCain 26' 3PT,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Above the Break 3,24+ Right Center,26.78,Missed,,,,,,,,,,,,,,,,,,
79,PT06M24.00S,2025-12-21T00:23:01.0Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,10,13,2025-12-21T00:23:04Z,790000,False,,,0,,N. Marshall REBOUND (Off:0 Def:4),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,78.0,4.0,4.0,0.0,,,,,,,,,,,,,,
80,PT06M20.00S,2025-12-21T00:23:05.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203076,93.77463863337714,51.470588235294116,1610612742,10,13,2025-12-21T00:23:13Z,800000,False,7.0,6.0,1,right,MISS A. Davis running Layup,[203076],1610612742.0,DAL,running,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,0.95,Missed,,,,,,,,,,,,,,,,,,
81,PT06M15.00S,2025-12-21T00:23:10.7Z,1,REGULAR,rebound,offensive,[],203076,,,1610612742,10,13,2025-12-21T00:23:13Z,810000,False,,,0,,A. Davis REBOUND (Off:1 Def:4),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,80.0,5.0,4.0,1.0,,,,,,,,,,,,,,
