actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,playerName,playerNameI,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
22,PT10M04.00S,2026-04-04T23:14:56.0Z,1,REGULAR,freethrow,1 of 2,[],202699,,,1610612765,6,5,2026-04-04T23:14:56Z,210000,False,,,0,,T. Harris Free Throw 1 of 2 (1 PTS),[202699],1610612765.0,DET,,,,,,,,,,,Harris,T. Harris,,,,,Made,1.0,,,,,,,,,,,,
23,PT10M04.00S,2026-04-04T23:15:13.8Z,1,REGULAR,freethrow,2 of 2,[],202699,,,1610612765,6,6,2026-04-04T23:15:13Z,220000,False,,,0,,T. Harris Free Throw 2 of 2 (2 PTS),[202699],1610612765.0,DET,,,,,,,,,,,Harris,T. Harris,,,,,Made,2.0,,,,,,,,,,,,
24,PT09M52.00S,2026-04-04T23:15:28.4Z,1,REGULAR,3pt,Jump Shot,[],1630178,34.510512483574246,52.20588235294118,1610612755,6,6,2026-04-04T23:16:07Z,230000,False,-11.0,272.0,1,left,MISS T. Maxey 27' step back 3PT,[1630178],1610612755.0,PHI,step back,,,,,,Above the Break 3,24+ Center,,,Maxey,T. Maxey,,,,,Missed,,27.21,,,,,,,,,,,
25,PT09M49.00S,2026-04-04T23:15:31.4Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,6,6,2026-04-04T23:15:32Z,240000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,,Harris,T. Harris,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,
26,PT09M43.00S,2026-04-04T23:15:37.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202699,93.38042049934296,49.26470588235294,1610612765,6,8,2026-04-04T23:16:48Z,250000,False,-4.0,10.0,1,right,T. Harris cutting DUNK (4 PTS) (J. Duren 1 AST),"[202699, 1631105]",1610612765.0,DET,cutting,,,,,,Restricted Area,0-8 Center,,,Harris,T. Harris,,,,,Made,4.0,1.04,J. Duren,1631105.0,1.0,,,,,,,,
28,PT09M31.00S,2026-04-04T23:15:48.9Z,1,REGULAR,3pt,Jump Shot,[],202331,21.23850197109067,6.127450980392156,1610612755,9,8,2026-04-04T23:15:53Z,270000,False,219.0,147.0,1,left,P. George 26' 3PT  (5 PTS) (A. Drummond 1 AST),"[202331, 203083]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,George,P. George,,,,,Made,5.0,26.41,A. Drummond,203083.0,1.0,,,,,,,,
30,PT09M19.00S,2026-04-04T23:16:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,92.9862023653088,49.26470588235294,1610612765,9,10,2026-04-04T23:16:05Z,290000,False,-4.0,13.0,1,right,J. Duren alley-oop Layup (4 PTS) (D. Jenkins 1 AST),"[1631105, 1642450]",1610612765.0,DET,alley-oop,,,,,,Restricted Area,0-8 Center,,,Duren,J. Duren,,,,,Made,4.0,1.39,D. Jenkins,1642450.0,1.0,,,,,,,,
32,PT09M05.00S,2026-04-04T23:16:14.9Z,1,REGULAR,2pt,Jump Shot,[],202331,3.7614980289093296,23.774509803921568,1610612755,11,10,2026-04-04T23:16:19Z,310000,False,131.0,-17.0,1,left,P. George 13' fadeaway Jump Shot (7 PTS),[202331],1610612755.0,PHI,fadeaway,,,,,,Mid-Range,8-16 Right,,,George,P. George,,,,,Made,7.0,13.22,,,,,,,,,,,
33,PT08M47.00S,2026-04-04T23:16:32.8Z,1,REGULAR,2pt,Jump Shot,[],202699,93.9060446780552,68.38235294117648,1610612765,11,12,2026-04-04T23:17:49Z,320000,False,92.0,5.0,1,right,T. Harris 9' Jump Shot (6 PTS) (D. Jenkins 2 AST),"[202699, 1642450]",1610612765.0,DET,,,,,,,Mid-Range,8-16 Right,,,Harris,T. Harris,,,,,Made,6.0,9.2,D. Jenkins,1642450.0,2.0,,,,,,,,
35,PT08M22.00S,2026-04-04T23:16:58.9Z,1,REGULAR,2pt,Jump Shot,[],1642845,14.011169513797633,33.33333333333333,1610612755,11,12,2026-04-04T23:17:02Z,340000,False,83.0,79.0,1,left,MISS V. Edgecombe 11' turnaround fadeaway Shot,[1642845],1610612755.0,PHI,turnaround fadeaway,,,,,,Mid-Range,8-16 Right,,,Edgecombe,V. Edgecombe,,,,,Missed,,11.49,,,,,,,,,,,
36,PT08M19.00S,2026-04-04T23:17:01.9Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,11,12,2026-04-04T23:17:02Z,350000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,,,,Mid-Range,8-16 Right,,,Duren,J. Duren,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,
37,PT08M16.00S,2026-04-04T23:17:04.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1642450,94.30026281208936,64.70588235294117,1610612765,11,14,2026-04-04T23:17:14Z,360000,False,74.0,1.0,1,right,D. Jenkins 7' running pullup Jump Shot (2 PTS),[1642450],1610612765.0,DET,running pullup,,,,,,In The Paint (Non-RA),0-8 Center,,,Jenkins,D. Jenkins,,,,,Made,2.0,7.35,,,,,,,,,,,
38,PT07M58.00S,2026-04-04T23:17:21.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,18.478975032851512,58.08823529411765,1610612755,13,14,2026-04-04T23:17:25Z,370000,False,-40.0,121.0,1,left,P. George 12' pullup Jump Shot (9 PTS),[202331],1610612755.0,PHI,pullup,,,,,,In The Paint (Non-RA),8-16 Center,,,George,P. George,,,,,Made,9.0,12.78,,,,,,,,,,,
39,PT07M58.00S,2026-04-04T23:17:32.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,13,14,2026-04-04T23:17:32Z,380000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT07M48.00S,2026-04-04T23:20:45.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631105,93.24901445466492,49.01960784313725,1610612765,13,16,2026-04-04T23:20:50Z,390000,False,-5.0,11.0,1,right,J. Duren cutting DUNK (6 PTS) (D. Jenkins 3 AST),"[1631105, 1642450]",1610612765.0,DET,cutting,,,,,,Restricted Area,0-8 Center,,,Duren,J. Duren,,,,,Made,6.0,1.2,D. Jenkins,1642450.0,3.0,,,,,,,,
44,PT07M48.00S,2026-04-04T23:21:05.2Z,1,REGULAR,foul,personal,['1freethrow'],202331,,,1610612765,13,16,2026-04-04T23:21:21Z,430000,False,,,0,,P. George shooting personal FOUL (1 PF) (Duren 1 FT),"[202331, 1631105]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,1628171.0,,George,P. George,1.0,0.0,Duren,1631105.0,,,,,,,,,,,,,,
46,PT07M48.00S,2026-04-04T23:21:14.7Z,1,REGULAR,freethrow,1 of 1,[],1631105,,,1610612765,13,17,2026-04-04T23:21:14Z,450000,False,,,0,,J. Duren Free Throw 1 of 1 (7 PTS),[1631105],1610612765.0,DET,,,,,,,,,,,Duren,J. Duren,,,,,Made,7.0,,,,,,,,,,,,
47,PT07M27.00S,2026-04-04T23:21:35.1Z,1,REGULAR,3pt,Jump Shot,[],1642845,32.802233902759525,37.99019607843137,1610612755,13,17,2026-04-04T23:21:40Z,460000,False,60.0,256.0,1,left,MISS V. Edgecombe 26' pullup 3PT,[1642845],1610612755.0,PHI,pullup,,,,,,Above the Break 3,24+ Center,,,Edgecombe,V. Edgecombe,,,,,Missed,,26.27,,,,,,,,,,,
48,PT07M25.00S,2026-04-04T23:21:37.1Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,13,17,2026-04-04T23:21:40Z,470000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,,Duren,J. Duren,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,
49,PT07M22.00S,2026-04-04T23:21:42.9Z,1,REGULAR,foul,personal,[],1642845,,,1610612765,13,17,2026-04-04T23:21:49Z,480000,False,,,0,,V. Edgecombe personal FOUL (1 PF),"[1642845, 1642450]",1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,1628171.0,,Edgecombe,V. Edgecombe,1.0,0.0,Jenkins,1642450.0,,,,,,,,,,,,,,
51,PT07M14.00S,2026-04-04T23:22:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629130,88.38699080157687,50.49019607843137,1610612765,13,19,2026-04-04T23:22:12Z,500000,False,2.0,57.0,1,right,D. Robinson driving floating Jump Shot (2 PTS) (D. Jenkins 4 AST),"[1629130, 1642450]",1610612765.0,DET,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,Robinson,D. Robinson,,,,,Made,2.0,5.68,D. Jenkins,1642450.0,4.0,,,,,,,,
53,PT07M04.00S,2026-04-04T23:22:18.7Z,1,REGULAR,foul,personal,[],1629130,,,1610612755,13,19,2026-04-04T23:22:27Z,520000,False,,,0,,D. Robinson personal FOUL (1 PF),"[1629130, 1642845]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,1830.0,,Robinson,D. Robinson,1.0,0.0,Edgecombe,1642845.0,,,,,,,,,,,,,,
55,PT06M56.00S,2026-04-04T23:22:42.5Z,1,REGULAR,3pt,Jump Shot,[],202331,33.722076215505915,57.35294117647059,1610612755,13,19,2026-04-04T23:22:49Z,540000,False,-37.0,264.0,1,left,MISS P. George 26' 3PT,[202331],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,George,P. George,,,,,Missed,,26.7,,,,,,,,,,,
56,PT06M54.00S,2026-04-04T23:22:44.5Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,13,19,2026-04-04T23:22:49Z,550000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,Drummond,A. Drummond,,,,,,,,,,,55.0,1.0,0.0,1.0,,,,
57,PT06M51.00S,2026-04-04T23:22:48.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630178,7.703679369250986,4.166666666666666,1610612755,16,19,2026-04-04T23:22:52Z,560000,False,229.0,20.0,1,left,T. Maxey 3PT  (5 PTS) (A. Drummond 2 AST),"[1630178, 203083]",1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,,,Maxey,T. Maxey,,,,,Made,5.0,23.01,A. Drummond,203083.0,2.0,,,,,,,,
59,PT06M30.00S,2026-04-04T23:23:08.5Z,1,REGULAR,2pt,Jump Shot,[],202699,87.20433639947439,26.96078431372549,1610612765,16,19,2026-04-04T23:23:49Z,580000,False,-115.0,68.0,1,right,MISS T. Harris 13' turnaround fadeaway Shot,[202699],1610612765.0,DET,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,,,Harris,T. Harris,,,,,Missed,,13.37,,,,,,,,,,,
60,PT06M28.00S,2026-04-04T23:23:10.5Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,16,19,2026-04-04T23:23:32Z,590000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641709],1610612765.0,DET,,,,,,,Mid-Range,8-16 Left,,,Thompson,A. Thompson,,,,,,,,,,,59.0,1.0,0.0,1.0,,,,
61,PT06M26.00S,2026-04-04T23:23:13.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641709,94.40999984741211,50.0,1610612765,16,19,2026-04-04T23:23:37Z,600000,False,0.0,0.0,1,right,MISS A. Thompson tip Layup,[1641709],1610612765.0,DET,tip,,,,,,Restricted Area,0-8 Center,,,Thompson,A. Thompson,,,,,Missed,,0.0,,,,,,,,,,,
62,PT06M25.00S,2026-04-04T23:23:14.1Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,16,19,2026-04-04T23:23:37Z,610000,False,,,0,,A. Thompson REBOUND (Off:2 Def:0),[1641709],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,Thompson,A. Thompson,,,,,,,,,,,61.0,2.0,0.0,2.0,,,,
63,PT06M24.00S,2026-04-04T23:23:14.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641709,94.40999984741211,50.0,1610612765,16,21,2026-04-04T23:23:14Z,620000,False,0.0,0.0,1,right,A. Thompson tip Layup (4 PTS),[1641709],1610612765.0,DET,tip,,,,,,Mid-Range,8-16 Left,,,Thompson,A. Thompson,,,,,Made,4.0,0.0,,,,,,,,,,,
64,PT06M16.00S,2026-04-04T23:23:26.5Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612755,16,21,2026-04-04T23:23:41Z,630000,False,,,0,,D. Robinson shooting personal FOUL (2 PF) (Maxey 2 FT),"[1629130, 1630178]",1610612765.0,DET,shooting,,,,,,In The Paint (Non-RA),0-8 Center,1628171.0,,Robinson,D. Robinson,2.0,0.0,Maxey,1630178.0,,,,,,,,,,,,,,
66,PT06M16.00S,2026-04-04T23:23:53.3Z,1,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,16,21,2026-04-04T23:23:53Z,650000,False,,,0,,MISS T. Maxey Free Throw 1 of 2,[1630178],1610612755.0,PHI,,,,,,,,,,,Maxey,T. Maxey,,,,,Missed,,,,,,,,,,,,,
67,PT06M16.00S,2026-04-04T23:23:53.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,16,21,2026-04-04T23:23:53Z,660000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,
68,PT06M16.00S,2026-04-04T23:23:55.3Z,1,REGULAR,substitution,out,[],1629130,,,1610612755,16,21,2026-04-04T23:23:58Z,670000,False,,,0,,SUB out: D. Robinson,[1629130],1610612765.0,DET,,,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,
69,PT06M16.00S,2026-04-04T23:23:55.3Z,1,REGULAR,substitution,in,[],1628989,,,1610612755,16,21,2026-04-04T23:23:58Z,680000,False,,,0,,SUB in: K. Huerter,[1628989],1610612765.0,DET,,,,,,,,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,
70,PT06M16.00S,2026-04-04T23:24:14.6Z,1,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,17,21,2026-04-04T23:24:14Z,690000,False,,,0,,T. Maxey Free Throw 2 of 2 (6 PTS),[1630178],1610612755.0,PHI,,,,,,,,,,,Maxey,T. Maxey,,,,,Made,6.0,,,,,,,,,,,,
71,PT06M03.00S,2026-04-04T23:24:33.7Z,1,REGULAR,3pt,Jump Shot,[],1628989,73.53810775295663,12.009803921568627,1610612765,17,21,2026-04-04T23:24:40Z,700000,False,-190.0,196.0,1,right,MISS K. Huerter 27' 3PT,[1628989],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,Huerter,K. Huerter,,,,,Missed,,27.31,,,,,,,,,,,
72,PT06M02.00S,2026-04-04T23:24:34.7Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,17,21,2026-04-04T23:24:40Z,710000,False,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,Drummond,A. Drummond,,,,,,,,,,,71.0,2.0,1.0,1.0,,,,
73,PT05M38.00S,2026-04-04T23:24:57.8Z,1,REGULAR,3pt,Jump Shot,[],1626162,26.757555847568987,83.82352941176471,1610612755,17,21,2026-04-04T23:25:06Z,720000,False,-169.0,199.0,1,left,MISS K. Oubre Jr. 26' 3PT,[1626162],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,Oubre Jr.,K. Oubre Jr.,,,,,Missed,,26.11,,,,,,,,,,,
74,PT05M35.00S,2026-04-04T23:25:00.8Z,1,REGULAR,rebound,offensive,[],1642845,,,1610612755,17,21,2026-04-04T23:25:06Z,730000,False,,,0,,V. Edgecombe REBOUND (Off:1 Def:0),[1642845],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,Edgecombe,V. Edgecombe,,,,,,,,,,,73.0,1.0,0.0,1.0,,,,
75,PT05M33.00S,2026-04-04T23:25:03.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642845,5.590000152587891,50.0,1610612755,17,21,2026-04-04T23:25:03Z,740000,False,0.0,0.0,1,left,MISS V. Edgecombe tip Layup,[1642845],1610612755.0,PHI,tip,,,,,,Mid-Range,8-16 Left,,,Edgecombe,V. Edgecombe,,,,,Missed,,0.0,,,,,,,,,,,
76,PT05M31.00S,2026-04-04T23:25:05.5Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,17,21,2026-04-04T23:25:05Z,750000,False,,,0,,A. Drummond REBOUND (Off:2 Def:1),[203083],1610612755.0,PHI,,,,,,,Mid-Range,8-16 Left,,,Drummond,A. Drummond,,,,,,,,,,,75.0,3.0,1.0,2.0,,,,
77,PT05M31.00S,2026-04-04T23:25:05.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,5.590000152587891,50.0,1610612755,19,21,2026-04-04T23:25:05Z,760000,False,0.0,0.0,1,left,A. Drummond putback Layup (2 PTS),[203083],1610612755.0,PHI,putback,,,,,,Mid-Range,8-16 Left,,,Drummond,A. Drummond,,,,,Made,2.0,0.0,,,,,,,,,,,
78,PT05M19.00S,2026-04-04T23:25:17.5Z,1,REGULAR,3pt,Jump Shot,[],1628989,68.67608409986859,72.79411764705883,1610612765,19,21,2026-04-04T23:25:24Z,770000,False,114.0,242.0,1,right,MISS K. Huerter 26' 3PT,[1628989],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,,,Huerter,K. Huerter,,,,,Missed,,26.74,,,,,,,,,,,
79,PT05M17.00S,2026-04-04T23:25:19.5Z,1,REGULAR,rebound,offensive,[],1642450,,,1610612765,19,21,2026-04-04T23:25:24Z,780000,False,,,0,,D. Jenkins REBOUND (Off:1 Def:0),[1642450],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,,,Jenkins,D. Jenkins,,,,,,,,,,,78.0,1.0,0.0,1.0,,,,
80,PT05M16.00S,2026-04-04T23:25:22.5Z,1,REGULAR,foul,personal,['2freethrow'],202331,,,1610612765,19,21,2026-04-04T23:25:28Z,790000,False,,,0,,P. George shooting personal FOUL (2 PF) (Jenkins 2 FT),"[202331, 1642450]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,1628171.0,,George,P. George,2.0,0.0,Jenkins,1642450.0,,,,,,,,,,,,,,
82,PT05M16.00S,2026-04-04T23:25:56.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1642450,,,1610612765,19,22,2026-04-04T23:25:56Z,810000,False,,,0,,D. Jenkins Free Throw 1 of 2 (3 PTS),[1642450],1610612765.0,DET,,,,,,,,,,,Jenkins,D. Jenkins,,,,,Made,3.0,,,,,,,,,,,,
83,PT05M16.00S,2026-04-04T23:25:57.4Z,1,REGULAR,substitution,out,[],203083,,,1610612765,19,22,2026-04-04T23:26:30Z,820000,False,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,,,,,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,
84,PT05M16.00S,2026-04-04T23:25:57.4Z,1,REGULAR,substitution,out,[],202331,,,1610612765,19,22,2026-04-04T23:26:30Z,830000,False,,,0,,SUB out: P. George,[202331],1610612755.0,PHI,,,,,,,,,,,George,P. George,,,,,,,,,,,,,,,,,,
85,PT05M16.00S,2026-04-04T23:25:57.4Z,1,REGULAR,substitution,out,[],1642845,,,1610612765,19,22,2026-04-04T23:26:30Z,840000,False,,,0,,SUB out: V. Edgecombe,[1642845],1610612755.0,PHI,,,,,,,,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,
86,PT05M16.00S,2026-04-04T23:25:57.4Z,1,REGULAR,substitution,out,[],1641709,,,1610612765,19,22,2026-04-04T23:26:30Z,850000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,,,,,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
87,PT05M16.00S,2026-04-04T23:25:57.4Z,1,REGULAR,substitution,in,[],1629656,,,1610612765,19,22,2026-04-04T23:26:30Z,860000,False,,,0,,SUB in: Q. Grimes,[1629656],1610612755.0,PHI,,,,,,,,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,
88,PT05M16.00S,2026-04-04T23:25:57.4Z,1,REGULAR,substitution,in,[],1641737,,,1610612765,19,22,2026-04-04T23:26:30Z,870000,False,,,0,,SUB in: A. Bona,[1641737],1610612755.0,PHI,,,,,,,,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,
89,PT05M16.00S,2026-04-04T23:25:57.4Z,1,REGULAR,substitution,in,[],1631230,,,1610612765,19,22,2026-04-04T23:26:30Z,880000,False,,,0,,SUB in: D. Barlow,[1631230],1610612755.0,PHI,,,,,,,,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,
90,PT05M16.00S,2026-04-04T23:25:57.4Z,1,REGULAR,substitution,in,[],1627747,,,1610612765,19,22,2026-04-04T23:26:30Z,890000,False,,,0,,SUB in: C. LeVert,[1627747],1610612765.0,DET,,,,,,,,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,
91,PT05M16.00S,2026-04-04T23:26:31.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1642450,,,1610612765,19,23,2026-04-04T23:26:31Z,900000,False,,,0,,D. Jenkins Free Throw 2 of 2 (4 PTS),[1642450],1610612765.0,DET,,,,,,,,,,,Jenkins,D. Jenkins,,,,,Made,4.0,,,,,,,,,,,,
