actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
328,PT02M01.00S,2026-03-26T00:04:45.9Z,2,REGULAR,freethrow,1 of 2,[],1631230,,,1610612755,63,42,2026-03-26T00:05:04Z,3280000,False,,,0,,D. Barlow Free Throw 1 of 2 (3 PTS),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
329,PT02M01.00S,2026-03-26T00:04:47.7Z,2,REGULAR,substitution,out,[],1642348,,,1610612755,63,42,2026-03-26T00:04:52Z,3290000,False,,,0,,SUB out: J. Edwards,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT02M01.00S,2026-03-26T00:04:47.7Z,2,REGULAR,substitution,in,[],202331,,,1610612755,63,42,2026-03-26T00:04:52Z,3300000,False,,,0,,SUB in: P. George,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
331,PT02M01.00S,2026-03-26T00:04:45.9Z,2,REGULAR,freethrow,2 of 2,[],1631230,,,1610612755,63,42,2026-03-26T00:05:04Z,3310000,False,,,0,,MISS D. Barlow Free Throw 2 of 2,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
332,PT01M58.00S,2026-03-26T00:04:48.9Z,2,REGULAR,rebound,defensive,[],1627824,,,1610612741,63,42,2026-03-26T00:05:04Z,3320000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:4),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,,331.0,4.0,4.0,0.0,,,,,,,,,,,,,,
333,PT01M40.00S,2026-03-26T00:05:18.2Z,2,REGULAR,3pt,Jump Shot,[],1627824,91.37647831800263,95.83333333333333,1610612741,63,42,2026-03-26T00:05:22Z,3330000,False,229.0,29.0,1,right,MISS G. Yabusele 3PT,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Right Corner 3,24+ Right,23.1,Missed,,,,,,,,,,,,,,,,,,
334,PT01M38.00S,2026-03-26T00:05:20.2Z,2,REGULAR,rebound,defensive,[],1642845,,,1610612755,63,42,2026-03-26T00:05:22Z,3340000,False,,,0,,V. Edgecombe REBOUND (Off:0 Def:5),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Right Corner 3,24+ Right,,,333.0,5.0,5.0,0.0,,,,,,,,,,,,,,
335,PT01M35.00S,2026-03-26T00:05:24.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1642845,21.994086727989497,96.07843137254902,1610612755,66,42,2026-03-26T00:05:29Z,3350000,False,-230.0,154.0,1,left,V. Edgecombe 27' 3PT running pullup (14 PTS),[1642845],1610612755.0,PHI,running pullup,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Left Center,27.72,Made,,,,,,,,14.0,,,,,,,,,,
336,PT01M23.00S,2026-03-26T00:05:34.6Z,2,REGULAR,3pt,Jump Shot,[],1641824,69.30026281208936,30.14705882352942,1610612741,66,45,2026-03-26T00:05:37Z,3360000,False,-99.0,236.0,1,right,M. Buzelis 25' 3PT  (6 PTS) (J. Giddey 4 AST),"[1641824, 1630581]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Left Center,25.61,Made,,,,,,,,6.0,J. Giddey,1630581.0,4.0,,,,,,,
338,PT01M08.00S,2026-03-26T00:05:49.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,19.103153745072277,50.49019607843137,1610612755,66,45,2026-03-26T00:05:54Z,3380000,False,-2.0,127.0,1,left,MISS P. George 12' turnaround Shot,[202331],1610612755.0,PHI,turnaround,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,12.71,Missed,,,,,,,,,,,,,,,,,,
