actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
19,PT10M43.00S,2025-11-20T00:14:10.0Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612761,2,3,2025-11-20T00:14:10Z,190000,False,,,0,,B. Ingram Free Throw 1 of 2 (1 PTS),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,,,Made,,,,1.0,,,,,,,,,,,
20,PT10M43.00S,2025-11-20T00:14:24.4Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612761,2,4,2025-11-20T00:14:24Z,200000,False,,,0,,B. Ingram Free Throw 2 of 2 (2 PTS),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,,,,Made,,,,2.0,,,,,,,,,,,
21,PT10M21.00S,2025-11-20T00:14:51.3Z,1,REGULAR,turnover,backcourt,[],1631230,,,1610612755,2,4,2025-11-20T00:15:00Z,210000,False,,,0,,D. Barlow backcourt TURNOVER (1 TO),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Mid-Range,16-24 Left,1.0,,,,,,,,,,,,1201.0,,,,,,,
22,PT10M14.00S,2025-11-20T00:15:16.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627742,83.75492772667542,76.7156862745098,1610612761,2,4,2025-11-20T00:15:23Z,220000,False,134.0,100.0,1,right,MISS B. Ingram 16' fadeaway Shot,[1627742],1610612761.0,TOR,fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right Center,,,,16.7,Missed,,,,,,,,,,,,,,,
23,PT10M09.00S,2025-11-20T00:15:21.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,2,4,2025-11-20T00:15:40Z,230000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Mid-Range,16-24 Right Center,,,,,,,,22.0,,,,,,,,,,1.0,1.0,0.0
24,PT10M04.00S,2025-11-20T00:15:26.7Z,1,REGULAR,3pt,Jump Shot,[],1630178,22.651116951379763,12.009803921568633,1610612755,5,4,2025-11-20T00:18:25Z,240000,False,190.0,160.0,1,left,T. Maxey 24' 3PT step back (3 PTS),[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,24.87,Made,,,,3.0,,,,,,,,,,,
25,PT09M55.00S,2025-11-20T00:15:36.2Z,1,REGULAR,2pt,Jump Shot,[],1630567,82.17805519053877,33.57843137254902,1610612761,5,6,2025-11-20T00:19:49Z,250000,False,-82.0,115.0,1,right,S. Barnes 14' step back Jump Shot (2 PTS),[1630567],1610612761.0,TOR,step back,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,14.13,Made,,,,2.0,,,,,,,,,,,
26,PT09M41.00S,2025-11-20T00:15:48.9Z,1,REGULAR,3pt,Jump Shot,[],1642348,29.09001314060447,80.3921568627451,1610612755,5,6,2025-11-20T00:15:53Z,260000,False,-152.0,221.0,1,left,MISS J. Edwards 26' 3PT,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Left Center,,,,26.81,Missed,,,,,,,,,,,,,,,
27,PT09M39.00S,2025-11-20T00:15:50.9Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,5,6,2025-11-20T00:15:53Z,270000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,,,,,,26.0,,,,,,,,,,1.0,1.0,0.0
28,PT09M35.00S,2025-11-20T00:15:56.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627751,93.74178712220763,51.470588235294116,1610612761,5,8,2025-11-20T00:16:00Z,280000,False,7.0,6.0,1,right,J. Poeltl running Layup (4 PTS) (R. Barrett 1 AST),"[1627751, 1629628]",1610612761.0,TOR,running,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,0.97,Made,,,,4.0,R. Barrett,1629628.0,1.0,,,,,,,,
30,PT09M16.00S,2025-11-20T00:16:15.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,6.8823915900131425,49.50980392156863,1610612755,7,8,2025-11-20T00:16:19Z,300000,False,2.0,12.0,1,left,T. Maxey driving finger roll Layup (5 PTS),[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,1.25,Made,,,,5.0,,,,,,,,,,,
31,PT09M03.00S,2025-11-20T00:16:32.7Z,1,REGULAR,foul,personal,['2freethrow'],1642845,,,1610612761,7,8,2025-11-20T00:16:38Z,310000,False,,,0,,V. Edgecombe shooting personal FOUL (1 PF) (Barrett 2 FT),"[1642845, 1629628]",1610612755.0,PHI,shooting,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,204059.0,1.0,0.0,Barrett,1629628.0,,,
33,PT09M03.00S,2025-11-20T00:17:00.1Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612761,7,9,2025-11-20T00:17:00Z,330000,False,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,Made,,,,1.0,,,,,,,,,,,
34,PT09M03.00S,2025-11-20T00:17:10.8Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612761,7,10,2025-11-20T00:17:10Z,340000,False,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,Made,,,,2.0,,,,,,,,,,,
35,PT08M45.00S,2025-11-20T00:17:30.0Z,1,REGULAR,3pt,Jump Shot,[],1630178,34.477660972404735,58.57843137254902,1610612755,10,10,2025-11-20T00:17:33Z,350000,False,-43.0,272.0,1,left,T. Maxey 27' 3PT  (8 PTS) (V. Edgecombe 1 AST),"[1630178, 1642845]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,27.5,Made,,,,8.0,V. Edgecombe,1642845.0,1.0,,,,,,,,
37,PT08M27.00S,2025-11-20T00:17:48.3Z,1,REGULAR,3pt,Jump Shot,[],1627742,90.71944809461235,95.09803921568627,1610612761,10,13,2025-11-20T00:17:52Z,370000,False,225.0,35.0,1,right,B. Ingram 3PT  (5 PTS) (S. Barnes 2 AST),"[1627742, 1630567]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,,,,22.82,Made,,,,5.0,S. Barnes,1630567.0,2.0,,,,,,,,
39,PT08M09.00S,2025-11-20T00:18:06.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642845,14.898160315374511,58.57843137254902,1610612755,10,13,2025-11-20T00:18:13Z,390000,False,-43.0,88.0,1,left,MISS V. Edgecombe 9' driving floating Shot,[1642845],1610612755.0,PHI,driving floating,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),8-16 Center,,,,9.75,Missed,,,,,,,,,,,,,,,
40,PT08M08.00S,2025-11-20T00:18:07.3Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,10,13,2025-11-20T00:29:42Z,400000,False,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,39.0,,,,,,,,,,2.0,1.0,1.0
86,PT08M07.00S,2025-11-20T00:18:08.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,6.8823915900131425,51.71568627450981,1610612755,10,13,2025-11-20T00:26:47Z,405000,False,-9.0,12.0,1,left,MISS A. Drummond tip Layup,[203083],1610612755.0,PHI,tip,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,1.49,Missed,,,,,,,,,,,,,,,
87,PT08M07.00S,2025-11-20T00:18:08.7Z,1,REGULAR,rebound,offensive,[],1642845,,,1610612755,10,13,2025-11-20T00:26:47Z,407500,False,,,0,,V. Edgecombe REBOUND (Off:1 Def:0),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,,,,,,,,86.0,,,,,,,,,,1.0,0.0,1.0
41,PT08M04.00S,2025-11-20T00:18:11.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642845,5.590000152587891,50.0,1610612755,10,13,2025-11-20T00:26:27Z,410000,False,0.0,0.0,1,left,MISS V. Edgecombe tip Layup,[1642845],1610612755.0,PHI,tip,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,8-16 Left,,,,0.0,Missed,,,,,,,,,,,,,,,
42,PT08M03.00S,2025-11-20T00:18:13.2Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,10,13,2025-11-20T00:18:13Z,420000,False,,,0,,A. Drummond REBOUND (Off:2 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Mid-Range,8-16 Left,,,,,,,,41.0,,,,,,,,,,3.0,1.0,2.0
43,PT08M03.00S,2025-11-20T00:18:13.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203083,5.590000152587891,50.0,1610612755,10,13,2025-11-20T00:18:15Z,430000,False,0.0,0.0,1,left,MISS A. Drummond tip Layup,[203083],1610612755.0,PHI,tip,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,0.0,Missed,,,,,,,,,,,,,,,
44,PT08M03.00S,2025-11-20T00:18:13.2Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,10,13,2025-11-20T00:18:15Z,440000,False,,,0,,A. Drummond REBOUND (Off:3 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,43.0,,,,,,,,,,4.0,1.0,3.0
45,PT08M00.00S,2025-11-20T00:18:15.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,5.590000152587891,50.0,1610612755,12,13,2025-11-20T00:18:15Z,450000,False,0.0,0.0,1,left,A. Drummond tip Layup (2 PTS),[203083],1610612755.0,PHI,tip,,,Drummond,A. Drummond,,,,,Mid-Range,8-16 Left,,,,0.0,Made,,,,2.0,,,,,,,,,,,
46,PT07M50.00S,2025-11-20T00:18:26.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.34756898817345,47.79411764705882,1610612761,12,15,2025-11-20T00:18:30Z,460000,False,-11.0,10.0,1,right,J. Poeltl reverse Layup (6 PTS) (S. Barnes 3 AST),"[1627751, 1630567]",1610612761.0,TOR,reverse,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,1.49,Made,,,,6.0,S. Barnes,1630567.0,3.0,,,,,,,,
48,PT07M34.00S,2025-11-20T00:18:41.6Z,1,REGULAR,foul,personal,['3freethrow'],1629628,,,1610612755,12,15,2025-11-20T00:18:52Z,480000,False,,,0,,R. Barrett shooting personal FOUL (1 PF) (Edgecombe 3 FT),"[1629628, 1642845]",1610612761.0,TOR,shooting,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1151.0,1.0,0.0,Edgecombe,1642845.0,,,
50,PT07M34.00S,2025-11-20T00:19:07.9Z,1,REGULAR,freethrow,1 of 3,[],1642845,,,1610612755,13,15,2025-11-20T00:19:07Z,500000,False,,,0,,V. Edgecombe Free Throw 1 of 3 (1 PTS),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,Made,,,,1.0,,,,,,,,,,,
51,PT07M34.00S,2025-11-20T00:19:23.1Z,1,REGULAR,freethrow,2 of 3,[],1642845,,,1610612755,14,15,2025-11-20T00:19:23Z,510000,False,,,0,,V. Edgecombe Free Throw 2 of 3 (2 PTS),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,Made,,,,2.0,,,,,,,,,,,
52,PT07M34.00S,2025-11-20T00:19:39.8Z,1,REGULAR,freethrow,3 of 3,[],1642845,,,1610612755,15,15,2025-11-20T00:19:39Z,520000,False,,,0,,V. Edgecombe Free Throw 3 of 3 (3 PTS),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,Made,,,,3.0,,,,,,,,,,,
53,PT07M19.00S,2025-11-20T00:19:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,83.49211563731932,49.754901960784316,1610612761,15,15,2025-11-20T00:20:02Z,530000,False,-1.0,103.0,1,right,MISS I. Quickley 10' driving floating Shot - blocked,"[1630193, 1630178]",1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,,,,10.27,Missed,Maxey,1630178.0,,,,,,,,,,,,,
54,PT07M19.00S,2025-11-20T00:19:59.0Z,1,REGULAR,block,,[],1630178,,,1610612761,15,15,2025-11-20T00:20:01Z,540000,False,,,0,,T. Maxey BLOCK (1 BLK),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M17.00S,2025-11-20T00:20:01.0Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,15,15,2025-11-20T00:20:02Z,550000,False,,,0,,D. Barlow REBOUND (Off:0 Def:1),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,53.0,,,,,,,,,,1.0,1.0,0.0
56,PT07M17.00S,2025-11-20T00:20:04.4Z,1,REGULAR,foul,personal,[],1627742,,,1610612755,15,15,2025-11-20T00:20:22Z,560000,False,,,0,,B. Ingram personal FOUL (1 PF),"[1627742, 1642348]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1201.0,1.0,0.0,Edwards,1642348.0,,,
58,PT07M04.00S,2025-11-20T00:20:37.0Z,1,REGULAR,3pt,Jump Shot,[],1630178,31.586727989487514,30.14705882352942,1610612755,15,15,2025-11-20T00:20:43Z,580000,False,99.0,244.0,1,left,MISS T. Maxey 26' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,26.38,Missed,,,,,,,,,,,,,,,
59,PT07M01.00S,2025-11-20T00:20:40.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,15,15,2025-11-20T00:20:43Z,590000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,58.0,,,,,,,,,,,,
61,PT06M52.00S,2025-11-20T00:20:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,82.44086727989487,34.55882352941177,1610612761,15,17,2025-11-20T00:21:04Z,610000,False,-77.0,113.0,1,right,S. Barnes 13' turnaround Jump Shot (4 PTS),[1630567],1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Left,,,,13.65,Made,,,,4.0,,,,,,,,,,,
62,PT06M34.00S,2025-11-20T00:21:19.7Z,1,REGULAR,foul,offensive,[],1631230,,,1610612755,15,17,2025-11-20T00:21:45Z,620000,False,,,0,,D. Barlow offensive FOUL (1 PF),"[1631230, 1630193]",1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1151.0,1.0,0.0,Quickley,1630193.0,,,
64,PT06M34.00S,2025-11-20T00:21:19.7Z,1,REGULAR,turnover,offensive foul,[],1631230,,,1610612755,15,17,2025-11-20T00:21:27Z,640000,False,,,0,,D. Barlow offensive foul TURNOVER (2 TO),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Mid-Range,16-24 Right Center,2.0,,,,,,,,,,,,1151.0,,,,,,,
65,PT06M34.00S,2025-11-20T00:21:32.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,15,17,2025-11-20T00:21:32Z,650000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M34.00S,2025-11-20T00:24:20.6Z,1,REGULAR,substitution,out,[],1631230,,,1610612761,15,17,2025-11-20T00:24:30Z,660000,False,,,0,,SUB out: D. Barlow,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M34.00S,2025-11-20T00:24:20.6Z,1,REGULAR,substitution,out,[],1642845,,,1610612761,15,17,2025-11-20T00:24:30Z,670000,False,,,0,,SUB out: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M34.00S,2025-11-20T00:24:20.6Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,15,17,2025-11-20T00:24:30Z,680000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M34.00S,2025-11-20T00:24:20.6Z,1,REGULAR,substitution,in,[],1629656,,,1610612761,15,17,2025-11-20T00:24:30Z,690000,False,,,0,,SUB in: Q. Grimes,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2025-11-20T00:24:20.6Z,1,REGULAR,substitution,in,[],1630570,,,1610612761,15,17,2025-11-20T00:24:30Z,700000,False,,,0,,SUB in: T. Watford,[1630570],1610612755.0,PHI,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M34.00S,2025-11-20T00:24:20.6Z,1,REGULAR,substitution,in,[],1642266,,,1610612761,15,17,2025-11-20T00:24:30Z,710000,False,,,0,,SUB in: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M23.00S,2025-11-20T00:24:39.7Z,1,REGULAR,turnover,traveling,[],1627742,,,1610612761,15,17,2025-11-20T00:24:49Z,720000,False,,,0,,B. Ingram traveling TURNOVER (1 TO),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.0,,,,,,,,,,,,204059.0,,,,,,,
73,PT06M09.00S,2025-11-20T00:25:02.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203083,4.648488830486201,43.38235294117647,1610612755,15,17,2025-11-20T00:25:07Z,730000,False,33.0,-9.0,1,left,MISS A. Drummond turnaround Hook,[203083],1610612755.0,PHI,turnaround,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,3.42,Missed,,,,,,,,,,,,,,,
74,PT06M06.00S,2025-11-20T00:25:05.4Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,15,17,2025-11-20T00:25:07Z,740000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,73.0,,,,,,,,,,1.0,1.0,0.0
75,PT06M04.00S,2025-11-20T00:25:08.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630193,93.08475689881735,53.92156862745098,1610612761,15,19,2025-11-20T00:25:13Z,750000,False,20.0,13.0,1,right,I. Quickley running finger roll Layup (2 PTS) (R. Barrett 2 AST),"[1630193, 1629628]",1610612761.0,TOR,running finger roll,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,2.32,Made,,,,2.0,R. Barrett,1629628.0,2.0,,,,,,,,
77,PT05M40.00S,2025-11-20T00:25:31.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,10.82457293035479,38.725490196078425,1610612755,15,19,2025-11-20T00:30:02Z,770000,False,56.0,49.0,1,left,MISS T. Maxey 7' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,7.49,Missed,,,,,,,,,,,,,,,
78,PT05M39.00S,2025-11-20T00:25:32.4Z,1,REGULAR,rebound,offensive,[],1630178,,,1610612755,15,19,2025-11-20T00:30:02Z,780000,False,,,0,,T. Maxey REBOUND (Off:1 Def:0),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,77.0,,,,,,,,,,1.0,0.0,1.0
80,PT05M39.00S,2025-11-20T00:25:49.5Z,1,REGULAR,turnover,offensive goaltending,[],203083,,,1610612755,15,19,2025-11-20T00:27:34Z,800000,False,,,0,,A. Drummond offensive goaltending TURNOVER (1 TO),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Mid-Range,8-16 Left,1.0,,,,,,,,,,,,1201.0,,,,,,,
81,PT05M39.00S,2025-11-20T00:25:52.5Z,1,REGULAR,substitution,out,[],1630193,,,1610612761,15,19,2025-11-20T00:25:55Z,810000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M39.00S,2025-11-20T00:25:52.5Z,1,REGULAR,substitution,in,[],1642347,,,1610612761,15,19,2025-11-20T00:25:55Z,820000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M21.00S,2025-11-20T00:26:08.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627742,90.19382391590013,48.529411764705884,1610612761,15,21,2025-11-20T00:31:36Z,830000,False,-7.0,40.0,1,right,B. Ingram driving Layup (7 PTS) (R. Barrett 3 AST),"[1627742, 1629628]",1610612761.0,TOR,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,4.04,Made,,,,7.0,R. Barrett,1629628.0,3.0,,,,,,,,
