actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
21,PT10M34.00S,2025-12-24T00:14:03.9Z,1,REGULAR,2pt,Jump Shot,[],203954,24.129434954007884,54.166666666666664,1610612755,6,0,2025-12-24T00:14:07Z,210000,False,-21.0,174.0,1,left,J. Embiid 17' pullup Jump Shot (4 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,17.55,Made,,,,,,,4.0,,,,,,,,,,,
22,PT10M23.00S,2025-12-24T00:14:13.6Z,1,REGULAR,3pt,Jump Shot,[],1641730,79.188567674113,8.57843137254902,1610612751,6,0,2025-12-24T00:14:20Z,220000,False,-207.0,143.0,1,right,MISS N. Clowney 25' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,25.17,Missed,,,,,,,,,,,,,,,,,,
23,PT10M22.00S,2025-12-24T00:14:14.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,6,0,2025-12-24T00:14:20Z,230000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,22.0,,,,,,,,,,,,,,,,,
25,PT10M05.00S,2025-12-24T00:14:41.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,17.559132720105126,39.705882352941174,1610612755,6,0,2025-12-24T00:14:44Z,250000,False,51.0,113.0,1,left,MISS J. Embiid 12' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,12.38,Missed,,,,,,,,,,,,,,,,,,
26,PT10M02.00S,2025-12-24T00:14:44.5Z,1,REGULAR,rebound,defensive,[],1642856,,,1610612751,6,0,2025-12-24T00:14:44Z,260000,False,,,0,,E. Dëmin REBOUND (Off:0 Def:1),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,In The Paint (Non-RA),8-16 Center,,,25.0,,,,,,,,,,,,,1.0,1.0,0.0,,
27,PT09M56.00S,2025-12-24T00:14:49.7Z,1,REGULAR,turnover,bad pass,[],1642856,,,1610612751,6,0,2025-12-24T00:14:53Z,270000,False,,,0,,E. Dëmin bad pass TURNOVER (1 TO),"[1642856, 202331]",1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,George,202331.0,,,,,
28,PT09M56.00S,2025-12-24T00:14:49.7Z,1,REGULAR,steal,,[],202331,,,1610612755,6,0,2025-12-24T00:14:52Z,280000,False,,,0,,P. George STEAL (1 STL),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M51.00S,2025-12-24T00:14:54.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202331,31.225361366622867,21.568627450980394,1610612755,6,0,2025-12-24T00:15:01Z,290000,False,142.0,241.0,1,left,MISS P. George 27' running pullup 3PT,[202331],1610612755.0,PHI,running pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,27.98,Missed,,,,,,,,,,,,,,,,,,
30,PT09M50.00S,2025-12-24T00:14:55.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,6,0,2025-12-24T00:15:01Z,300000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,29.0,,,,,,,,,,,,,,,,,
31,PT09M38.00S,2025-12-24T00:15:14.8Z,1,REGULAR,3pt,Jump Shot,[],1629611,88.12417871222075,96.32352941176471,1610612751,6,0,2025-12-24T00:15:19Z,310000,False,232.0,59.0,1,right,MISS T. Mann 3PT,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,23.9,Missed,,,,,,,,,,,,,,,,,,
32,PT09M36.00S,2025-12-24T00:15:16.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,6,0,2025-12-24T00:15:19Z,320000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Right Corner 3,24+ Right,,,31.0,,,,,,,,,,,,,1.0,1.0,0.0,,
33,PT09M30.00S,2025-12-24T00:15:23.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631133,22.946780551905388,90.44117647058823,1610612755,6,0,2025-12-24T00:15:28Z,330000,False,-202.0,163.0,1,left,MISS J. Walker 25' running 3PT,[1631133],1610612755.0,PHI,running,,,Walker,J. Walker,,,,,Above the Break 3,24+ Left Center,25.98,Missed,,,,,,,,,,,,,,,,,,
34,PT09M26.00S,2025-12-24T00:15:27.3Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612751,6,0,2025-12-24T00:15:28Z,340000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,33.0,,,,,,,,,,,,,1.0,1.0,0.0,,
35,PT09M21.00S,2025-12-24T00:15:32.4Z,1,REGULAR,3pt,Jump Shot,[],1642856,71.82982917214193,80.14705882352942,1610612751,6,0,2025-12-24T00:16:33Z,350000,False,151.0,212.0,1,right,MISS E. Dëmin 26' 3PT,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Right Center,26.03,Missed,,,,,,,,,,,,,,,,,,
36,PT09M17.00S,2025-12-24T00:15:36.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,6,0,2025-12-24T00:15:38Z,360000,False,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,,,35.0,,,,,,,,,,,,,2.0,2.0,0.0,,
37,PT09M13.00S,2025-12-24T00:15:42.3Z,1,REGULAR,turnover,out-of-bounds,[],1630178,,,1610612755,6,0,2025-12-24T00:15:47Z,370000,False,,,0,,T. Maxey lost ball out-of-bounds TURNOVER (1 TO),[1630178],1610612755.0,PHI,lost ball,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,2004.0,,,,,,,,,1.0,,,,,,,
38,PT08M58.00S,2025-12-24T00:16:07.3Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612751,6,0,2025-12-24T00:16:12Z,380000,False,,,0,,J. Embiid shooting personal FOUL (1 PF) (Claxton 2 FT),"[203954, 1629651]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,2004.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,,,,
40,PT08M58.00S,2025-12-24T00:16:31.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629651,,,1610612751,6,0,2025-12-24T00:16:31Z,400000,False,,,0,,MISS N. Claxton Free Throw 1 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
41,PT08M58.00S,2025-12-24T00:16:31.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,6,0,2025-12-24T00:16:31Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,
42,PT08M58.00S,2025-12-24T00:16:48.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629651,,,1610612751,6,1,2025-12-24T00:16:48Z,420000,False,,,0,,N. Claxton Free Throw 2 of 2 (1 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
43,PT08M40.00S,2025-12-24T00:17:11.8Z,1,REGULAR,foul,personal,[],1629651,,,1610612755,6,1,2025-12-24T00:17:26Z,430000,False,,,0,,N. Claxton personal FOUL (2 PF),"[1629651, 203954]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Left Center,,,,1627539.0,2.0,0.0,Embiid,203954.0,,,,,,,,,,,,
45,PT08M40.00S,2025-12-24T00:17:24.7Z,1,REGULAR,substitution,out,[],1629651,,,1610612755,6,1,2025-12-24T00:17:48Z,450000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M40.00S,2025-12-24T00:17:24.7Z,1,REGULAR,substitution,in,[],1630549,,,1610612755,6,1,2025-12-24T00:17:48Z,460000,False,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M34.00S,2025-12-24T00:17:49.5Z,1,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,6,1,2025-12-24T00:17:53Z,470000,False,,,0,,J. Embiid lost ball out-of-bounds TURNOVER (1 TO),[203954],1610612755.0,PHI,lost ball,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,1626300.0,,,,,,,,,1.0,,,,,,,
48,PT08M18.00S,2025-12-24T00:18:09.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629611,84.05059132720105,41.42156862745098,1610612751,6,1,2025-12-24T00:18:17Z,480000,False,-43.0,97.0,1,right,MISS T. Mann 10' pullup Shot,[1629611],1610612751.0,BKN,pullup,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,10.64,Missed,,,,,,,,,,,,,,,,,,
49,PT08M15.00S,2025-12-24T00:18:12.0Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,6,1,2025-12-24T00:18:17Z,490000,False,,,0,,D. Sharpe REBOUND (Off:1 Def:0),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,,,48.0,,,,,,,,,,,,,1.0,0.0,1.0,,
50,PT08M13.00S,2025-12-24T00:18:13.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629611,68.9388961892247,28.921568627450984,1610612751,6,1,2025-12-24T00:18:20Z,500000,False,-105.0,239.0,1,right,MISS T. Mann 26' 3PT,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,26.17,Missed,,,,,,,,,,,,,,,,,,
51,PT08M11.00S,2025-12-24T00:18:15.7Z,1,REGULAR,rebound,offensive,[],1629008,,,1610612751,6,1,2025-12-24T00:18:20Z,510000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:0),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,50.0,,,,,,,,,,,,,1.0,0.0,1.0,,
52,PT08M08.00S,2025-12-24T00:18:19.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629008,95.6143232588699,4.411764705882353,1610612751,6,1,2025-12-24T00:18:23Z,520000,False,-228.0,-11.0,1,right,MISS M. Porter Jr. step back 3PT,[1629008],1610612751.0,BKN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,22.82,Missed,,,,,,,,,,,,,,,,,,
53,PT08M04.00S,2025-12-24T00:18:23.4Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,6,1,2025-12-24T00:18:23Z,530000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Left Corner 3,24+ Left,,,52.0,,,,,,,,,,,,,1.0,1.0,0.0,,
54,PT07M59.00S,2025-12-24T00:18:27.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642272,5.338370565045992,52.450980392156865,1610612755,8,1,2025-12-24T00:18:33Z,540000,False,-12.0,-2.0,1,left,J. McCain running finger roll Layup (2 PTS) (P. George 1 AST),"[1642272, 202331]",1610612755.0,PHI,running finger roll,,,McCain,J. McCain,,,,,Restricted Area,0-8 Center,1.25,Made,,,,,,,2.0,P. George,202331.0,1.0,,,,,,,,
56,PT07M53.00S,2025-12-24T00:18:36.4Z,1,REGULAR,foul,personal,[],1631133,,,1610612751,8,1,2025-12-24T00:18:42Z,560000,False,,,0,,J. Walker personal FOUL (1 PF),"[1631133, 1641730]",1610612755.0,PHI,,,,Walker,J. Walker,,,,,In The Paint (Non-RA),0-8 Center,,,,1627539.0,1.0,0.0,Clowney,1641730.0,,,,,,,,,,,,
58,PT07M43.00S,2025-12-24T00:19:02.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,71.69842312746385,19.11764705882353,1610612751,8,4,2025-12-24T00:19:07Z,580000,False,-154.0,214.0,1,right,M. Porter Jr. 26' 3PT  (3 PTS) (D. Sharpe 1 AST),"[1629008, 1630549]",1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,26.35,Made,,,,,,,3.0,D. Sharpe,1630549.0,1.0,,,,,,,,
60,PT07M30.00S,2025-12-24T00:19:15.0Z,1,REGULAR,2pt,Jump Shot,[],202331,15.588042049934298,21.07843137254902,1610612755,10,4,2025-12-24T00:19:20Z,600000,False,145.0,94.0,1,left,P. George 17' pullup Jump Shot (4 PTS),[202331],1610612755.0,PHI,pullup,,,George,P. George,,,,,Mid-Range,16-24 Right,17.25,Made,,,,,,,4.0,,,,,,,,,,,
61,PT07M19.00S,2025-12-24T00:19:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642856,95.22010512483574,44.11764705882353,1610612751,10,6,2025-12-24T00:19:31Z,610000,False,-29.0,-8.0,1,right,E. Dëmin driving finger roll Layup (2 PTS),[1642856],1610612751.0,BKN,driving finger roll,,,Dëmin,E. Dëmin,,,,,Restricted Area,0-8 Center,3.04,Made,,,,,,,2.0,,,,,,,,,,,
62,PT07M10.00S,2025-12-24T00:19:35.1Z,1,REGULAR,turnover,lost ball,[],1631133,,,1610612755,10,6,2025-12-24T00:19:39Z,620000,False,,,0,,J. Walker lost ball TURNOVER (1 TO),"[1631133, 1641730]",1610612755.0,PHI,,,,Walker,J. Walker,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,Clowney,1641730.0,,,,,
63,PT07M10.00S,2025-12-24T00:19:35.1Z,1,REGULAR,steal,,[],1641730,,,1610612751,10,6,2025-12-24T00:19:37Z,630000,False,,,0,,N. Clowney STEAL (1 STL),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
64,PT07M04.00S,2025-12-24T00:19:41.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629008,96.5341655716163,96.07843137254902,1610612751,10,9,2025-12-24T00:19:48Z,640000,False,230.0,-20.0,1,right,M. Porter Jr. 3PT running (6 PTS) (D. Sharpe 2 AST),"[1629008, 1630549]",1610612751.0,BKN,running,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,23.13,Made,,,,,,,6.0,D. Sharpe,1630549.0,2.0,,,,,,,,
66,PT06M42.00S,2025-12-24T00:20:03.6Z,1,REGULAR,3pt,Jump Shot,[],202331,32.14520367936925,27.941176470588236,1610612755,10,9,2025-12-24T00:20:07Z,660000,False,110.0,250.0,1,left,MISS P. George 27' 3PT,[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,27.3,Missed,,,,,,,,,,,,,,,,,,
67,PT06M39.00S,2025-12-24T00:20:06.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,10,9,2025-12-24T00:20:07Z,670000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:1),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,66.0,,,,,,,,,,,,,2.0,1.0,1.0,,
68,PT06M33.00S,2025-12-24T00:20:12.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,80.1084099868594,91.66666666666666,1610612751,10,12,2025-12-24T00:22:56Z,680000,False,208.0,134.0,1,right,M. Porter Jr. 24' 3PT pullup (9 PTS),[1629008],1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,24.79,Made,,,,,,,9.0,,,,,,,,,,,
69,PT06M24.00S,2025-12-24T00:20:29.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,10,12,2025-12-24T00:20:29Z,690000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M24.00S,2025-12-24T00:22:53.5Z,1,REGULAR,substitution,out,[],1631133,,,1610612755,10,12,2025-12-24T00:23:14Z,700000,False,,,0,,SUB out: J. Walker,[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M24.00S,2025-12-24T00:22:53.5Z,1,REGULAR,substitution,in,[],1642348,,,1610612755,10,12,2025-12-24T00:23:14Z,710000,False,,,0,,SUB in: J. Edwards,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M09.00S,2025-12-24T00:23:43.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,5.601182654402102,53.18627450980392,1610612755,12,12,2025-12-24T00:23:52Z,730000,False,-16.0,0.0,1,left,J. Embiid finger roll Layup (6 PTS),[203954],1610612755.0,PHI,finger roll,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,,,6.0,,,,,,,,,,,
74,PT05M56.00S,2025-12-24T00:23:56.8Z,1,REGULAR,2pt,Jump Shot,[],1642856,78.66294349540078,28.676470588235293,1610612751,12,12,2025-12-24T00:24:00Z,740000,False,-107.0,148.0,1,right,MISS E. Dëmin 18' pullup Shot,[1642856],1610612751.0,BKN,pullup,,,Dëmin,E. Dëmin,,,,,Mid-Range,16-24 Left Center,18.25,Missed,,,,,,,,,,,,,,,,,,
75,PT05M53.00S,2025-12-24T00:23:59.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,12,12,2025-12-24T00:23:59Z,750000,False,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Left Center,,,74.0,,,,,,,,,,,,,3.0,3.0,0.0,,
76,PT05M43.00S,2025-12-24T00:24:12.1Z,1,REGULAR,2pt,Jump Shot,[],202331,7.30946123521682,88.23529411764706,1610612755,12,12,2025-12-24T01:36:11Z,760000,False,-191.0,16.0,1,left,MISS P. George 19' Jump Shot,[202331],1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,16-24 Left,19.19,Missed,,,,,,,,,,,,,,,,,,
80,PT05M37.00S,2025-12-24T00:24:18.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,12,12,2025-12-24T00:24:47Z,770000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,16-24 Left,,,76.0,,,,,,,,,,,,,,,,,
77,PT05M37.00S,2025-12-24T00:24:45.7Z,1,REGULAR,jumpball,recovered,[],1642272,,,1610612755,12,12,2025-12-24T00:24:45Z,780000,False,,,0,,Jump Ball J. Embiid vs. D. Sharpe: Tip to J. McCain,"[1642272, 203954, 1630549]",1610612755.0,PHI,lodgedball,J. McCain,1642272.0,McCain,J. McCain,Embiid,203954.0,Sharpe,1630549.0,,,,,,,,,,,,,,,,,,,,,,
81,PT05M35.00S,2025-12-24T00:24:47.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642272,9.280551905387648,50.73529411764706,1610612755,12,12,2025-12-24T00:24:53Z,810000,False,-4.0,35.0,1,left,MISS J. McCain driving finger roll Layup - blocked,"[1642272, 1641730]",1610612755.0,PHI,driving finger roll,,,McCain,J. McCain,,,,,Restricted Area,0-8 Center,3.49,Missed,,,,,,,,,,,,,,,,,Clowney,1641730.0
82,PT05M35.00S,2025-12-24T00:24:47.9Z,1,REGULAR,block,,[],1641730,,,1610612755,12,12,2025-12-24T00:24:50Z,820000,False,,,0,,N. Clowney BLOCK (1 BLK),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
83,PT05M32.00S,2025-12-24T00:24:50.9Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,12,12,2025-12-24T00:24:50Z,830000,False,,,0,,D. Sharpe REBOUND (Off:1 Def:1),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,,,81.0,,,,,,,,,,,,,2.0,1.0,1.0,,
84,PT05M28.00S,2025-12-24T00:24:57.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,94.30026281208936,52.94117647058824,1610612751,12,14,2025-12-24T04:13:41Z,840000,False,15.0,1.0,1,right,M. Porter Jr. driving Layup (11 PTS),[1629008],1610612751.0,BKN,driving,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,,,11.0,,,,,,,,,,,
