actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
33,PT09M30.00S,2026-02-20T00:15:39.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629638,94.82588699080158,50.0,1610612737,7,5,2026-02-20T00:15:45Z,330000,False,0.0,-4.0,1,right,N. Alexander-Walker running Layup (3 PTS) (Z. Risacher 2 AST),"[1629638, 1642258]",1610612737.0,ATL,running,,,,,,Restricted Area,0-8 Center,0.39,Made,3.0,Alexander-Walker,N. Alexander-Walker,Z. Risacher,1642258.0,2.0,,,,,,,,,,,,,,,
35,PT09M11.00S,2026-02-20T00:15:59.0Z,1,REGULAR,3pt,Jump Shot,[],1630178,32.53942181340342,28.186274509803923,1610612755,7,5,2026-02-20T00:16:02Z,350000,False,109.0,253.0,1,left,MISS T. Maxey 27' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,,,,Above the Break 3,24+ Right Center,27.59,Missed,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,
36,PT09M08.00S,2026-02-20T00:16:02.0Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,7,5,2026-02-20T00:16:02Z,360000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:2),[1642258],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Right Center,,,,Risacher,Z. Risacher,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,
37,PT09M02.00S,2026-02-20T00:16:08.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,89.04402102496715,48.77450980392157,1610612737,7,5,2026-02-20T00:16:50Z,370000,False,-6.0,50.0,1,right,MISS J. Johnson driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,5.09,Missed,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,
38,PT08M59.00S,2026-02-20T00:16:11.1Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,7,5,2026-02-20T00:16:12Z,380000,False,,,0,,A. Drummond REBOUND (Off:0 Def:4),[203083],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Drummond,A. Drummond,,,,,,,37.0,4.0,4.0,0.0,,,,,,,,
39,PT08M53.00S,2026-02-20T00:16:21.0Z,1,REGULAR,foul,personal,[],1630552,,,1610612755,7,5,2026-02-20T00:16:27Z,390000,False,,,0,,J. Johnson personal FOUL (1 PF),"[1630552, 1626162]",1610612737.0,ATL,,,,,,,Above the Break 3,24+ Center,,,,Johnson,J. Johnson,,,,204059.0,1.0,0.0,,,,,,,,,Oubre Jr.,1626162.0,,
41,PT08M47.00S,2026-02-20T00:16:41.1Z,1,REGULAR,turnover,lost ball,[],1642845,,,1610612755,7,5,2026-02-20T00:16:46Z,410000,False,,,0,,V. Edgecombe lost ball TURNOVER (2 TO),"[1642845, 1629638]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,2.0,Alexander-Walker,1629638.0,,,,,
42,PT08M47.00S,2026-02-20T00:16:41.1Z,1,REGULAR,steal,,[],1629638,,,1610612737,7,5,2026-02-20T00:16:43Z,420000,False,,,0,,N. Alexander-Walker STEAL (1 STL),[1629638],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Right Center,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,
43,PT08M46.00S,2026-02-20T00:16:45.2Z,1,REGULAR,foul,personal,['2freethrow'],1642845,,,1610612737,7,5,2026-02-20T00:16:52Z,430000,False,,,0,,V. Edgecombe shooting personal FOUL (1 PF) (Alexander-Walker 2 FT),"[1642845, 1629638]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,,,,Edgecombe,V. Edgecombe,,,,204059.0,1.0,0.0,,,,,,,,,Alexander-Walker,1629638.0,,
45,PT08M46.00S,2026-02-20T00:17:14.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629638,,,1610612737,7,5,2026-02-20T00:17:14Z,450000,False,,,0,,MISS N. Alexander-Walker Free Throw 1 of 2,[1629638],1610612737.0,ATL,,,,,,,,,,Missed,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,
46,PT08M46.00S,2026-02-20T00:17:14.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,7,5,2026-02-20T00:17:14Z,460000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,
47,PT08M46.00S,2026-02-20T00:17:29.6Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629638,,,1610612737,7,6,2026-02-20T00:17:29Z,470000,False,,,0,,N. Alexander-Walker Free Throw 2 of 2 (4 PTS),[1629638],1610612737.0,ATL,,,,,,,,,,Made,4.0,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,
48,PT08M26.00S,2026-02-20T00:17:50.4Z,1,REGULAR,3pt,Jump Shot,[],1642845,30.962549277266753,26.96078431372549,1610612755,10,6,2026-02-20T00:17:54Z,480000,False,115.0,239.0,1,left,V. Edgecombe 26' 3PT pullup (8 PTS),[1642845],1610612755.0,PHI,pullup,,,,,,Above the Break 3,24+ Right Center,26.49,Made,8.0,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,
49,PT08M11.00S,2026-02-20T00:18:07.1Z,1,REGULAR,turnover,out-of-bounds,[],1630700,,,1610612737,10,6,2026-02-20T00:18:40Z,490000,False,,,0,,D. Daniels bad pass out-of-bounds TURNOVER (1 TO),[1630700],1610612737.0,ATL,bad pass,,,,,,In The Paint (Non-RA),0-8 Center,,,,Daniels,D. Daniels,,,,,,,,,,,1.0,,,,,,,
50,PT07M58.00S,2026-02-20T00:18:22.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642845,27.54599211563732,12.990196078431374,1610612755,10,6,2026-02-20T00:18:29Z,500000,False,185.0,206.0,1,left,MISS V. Edgecombe 27' pullup 3PT,[1642845],1610612755.0,PHI,pullup,,,,,,Above the Break 3,24+ Right Center,27.72,Missed,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,
51,PT07M55.00S,2026-02-20T00:18:25.0Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,10,6,2026-02-20T00:18:25Z,510000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Right Center,,,,Okongwu,O. Okongwu,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,
52,PT07M53.00S,2026-02-20T00:18:28.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630552,95.0886990801577,50.98039215686274,1610612737,10,8,2026-02-20T00:18:34Z,520000,False,5.0,-6.0,1,right,J. Johnson running DUNK (2 PTS) (O. Okongwu 1 AST),"[1630552, 1630168]",1610612737.0,ATL,running,,,,,,Restricted Area,0-8 Center,0.8,Made,2.0,Johnson,J. Johnson,O. Okongwu,1630168.0,1.0,,,,,,,,,,,,,,,
54,PT07M28.00S,2026-02-20T00:18:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,6.521024967148489,50.98039215686274,1610612755,12,8,2026-02-20T00:18:56Z,540000,False,-5.0,9.0,1,left,K. Oubre Jr. driving Layup (2 PTS) (A. Drummond 2 AST),"[1626162, 203083]",1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,1.01,Made,2.0,Oubre Jr.,K. Oubre Jr.,A. Drummond,203083.0,2.0,,,,,,,,,,,,,,,
56,PT07M21.00S,2026-02-20T00:18:59.5Z,1,REGULAR,3pt,Jump Shot,[],1642258,97.19119579500656,4.411764705882353,1610612737,12,8,2026-02-20T00:19:03Z,560000,False,-228.0,-26.0,1,right,MISS Z. Risacher 3PT,[1642258],1610612737.0,ATL,,,,,,,Left Corner 3,24+ Left,22.94,Missed,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,
57,PT07M18.00S,2026-02-20T00:19:02.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,12,8,2026-02-20T00:19:03Z,570000,False,,,0,,A. Drummond REBOUND (Off:0 Def:5),[203083],1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,,,,Drummond,A. Drummond,,,,,,,56.0,5.0,5.0,0.0,,,,,,,,
58,PT07M06.00S,2026-02-20T00:19:14.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,9.280551905387648,40.19607843137255,1610612755,12,8,2026-02-20T00:19:17Z,580000,False,49.0,35.0,1,left,MISS T. Maxey 6' fadeaway Shot,[1630178],1610612755.0,PHI,fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,6.0,Missed,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,
59,PT07M05.00S,2026-02-20T00:19:15.6Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,12,8,2026-02-20T00:19:17Z,590000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Daniels,D. Daniels,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,
60,PT07M02.00S,2026-02-20T00:19:20.2Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612737,12,8,2026-02-20T00:19:26Z,600000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Johnson 2 FT),"[1626162, 1630552]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,,,,Oubre Jr.,K. Oubre Jr.,,,,202007.0,1.0,0.0,,,,,,,,,Johnson,1630552.0,,
62,PT07M02.00S,2026-02-20T00:19:49.8Z,1,REGULAR,freethrow,1 of 2,[],1630552,,,1610612737,12,8,2026-02-20T00:19:49Z,620000,False,,,0,,MISS J. Johnson Free Throw 1 of 2,[1630552],1610612737.0,ATL,,,,,,,,,,Missed,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,
63,PT07M02.00S,2026-02-20T00:19:49.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,12,8,2026-02-20T00:19:49Z,630000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,
64,PT07M02.00S,2026-02-20T00:19:53.3Z,1,REGULAR,substitution,out,[],1629638,,,1610612737,12,8,2026-02-20T00:19:59Z,640000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612737.0,ATL,,,,,,,,,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,
65,PT07M02.00S,2026-02-20T00:19:53.3Z,1,REGULAR,substitution,in,[],203468,,,1610612737,12,8,2026-02-20T00:19:59Z,650000,False,,,0,,SUB in: C. McCollum,[203468],1610612737.0,ATL,,,,,,,,,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,
66,PT07M02.00S,2026-02-20T00:20:10.5Z,1,REGULAR,freethrow,2 of 2,[],1630552,,,1610612737,12,9,2026-02-20T00:20:10Z,660000,False,,,0,,J. Johnson Free Throw 2 of 2 (3 PTS),[1630552],1610612737.0,ATL,,,,,,,,,,Made,3.0,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,
68,PT06M58.00S,2026-02-20T00:20:37.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,12,9,2026-02-20T00:20:37Z,680000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M45.00S,2026-02-20T00:23:41.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642845,19.004599211563733,37.254901960784316,1610612755,12,9,2026-02-20T00:23:50Z,700000,False,64.0,126.0,1,left,MISS V. Edgecombe 14' pullup Shot,[1642845],1610612755.0,PHI,pullup,,,,,,In The Paint (Non-RA),8-16 Center,14.13,Missed,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,
71,PT06M41.00S,2026-02-20T00:23:45.7Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,12,9,2026-02-20T00:23:45Z,710000,False,,,0,,A. Drummond REBOUND (Off:1 Def:5),[203083],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Drummond,A. Drummond,,,,,,,70.0,6.0,5.0,1.0,,,,,,,,
72,PT06M41.00S,2026-02-20T00:23:45.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,5.590000152587891,50.0,1610612755,12,9,2026-02-20T00:23:45Z,720000,False,0.0,0.0,1,left,MISS A. Drummond tip Layup,[203083],1610612755.0,PHI,tip,,,,,,Mid-Range,8-16 Left,0.0,Missed,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,
73,PT06M41.00S,2026-02-20T00:23:46.3Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,12,9,2026-02-20T00:23:46Z,730000,False,,,0,,A. Drummond REBOUND (Off:2 Def:5),[203083],1610612755.0,PHI,,,,,,,Mid-Range,8-16 Left,,,,Drummond,A. Drummond,,,,,,,72.0,7.0,5.0,2.0,,,,,,,,
74,PT06M39.00S,2026-02-20T00:23:47.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630178,10.85742444152431,6.127450980392156,1610612755,12,9,2026-02-20T00:23:53Z,740000,False,219.0,50.0,1,left,MISS T. Maxey 3PT,[1630178],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,22.49,Missed,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,
75,PT06M39.00S,2026-02-20T00:23:47.6Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,12,9,2026-02-20T00:23:53Z,750000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,,,,Right Corner 3,24+ Right,,,,Johnson,J. Johnson,,,,,,,74.0,1.0,1.0,0.0,,,,,,,,
81,PT06M26.00S,2026-02-20T00:23:54.3Z,1,REGULAR,turnover,bad pass,[],1630700,,,1610612737,12,9,2026-02-20T00:24:49Z,755000,False,,,0,,D. Daniels bad pass TURNOVER (2 TO),"[1630700, 1642845]",1610612737.0,ATL,,,,,,,Mid-Range,8-16 Left,,,,Daniels,D. Daniels,,,,,,,,,,,2.0,Edgecombe,1642845.0,,,,,
82,PT06M26.00S,2026-02-20T00:23:54.3Z,1,REGULAR,steal,,[],1642845,,,1610612755,12,9,2026-02-20T00:27:25Z,757500,False,,,0,,V. Edgecombe STEAL (1 STL),[1642845],1610612755.0,PHI,,,,,,,Mid-Range,8-16 Left,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,
79,PT06M11.00S,2026-02-20T00:24:44.8Z,1,REGULAR,turnover,lost ball,[],1626162,,,1610612755,12,9,2026-02-20T01:11:41Z,790000,False,,,0,,K. Oubre Jr. lost ball TURNOVER (1 TO),"[1626162, 203468]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,1.0,McCollum,203468.0,,,,,
80,PT06M11.00S,2026-02-20T00:24:44.8Z,1,REGULAR,steal,,[],203468,,,1610612737,12,9,2026-02-20T00:24:48Z,800000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Center,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,
83,PT05M55.00S,2026-02-20T00:25:03.3Z,1,REGULAR,turnover,bad pass,[],1630552,,,1610612737,12,9,2026-02-20T00:25:26Z,810000,False,,,0,,J. Johnson bad pass TURNOVER (1 TO),"[1630552, 1626162]",1610612737.0,ATL,,,,,,,Mid-Range,8-16 Left,,,,Johnson,J. Johnson,,,,,,,,,,,1.0,Oubre Jr.,1626162.0,,,,,
84,PT05M55.00S,2026-02-20T00:25:03.3Z,1,REGULAR,steal,,[],1626162,,,1610612755,12,9,2026-02-20T00:25:05Z,820000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612755.0,PHI,,,,,,,Mid-Range,8-16 Left,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,
85,PT05M46.00S,2026-02-20T00:25:08.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,12.434296977660972,49.26470588235294,1610612755,12,9,2026-02-20T00:25:13Z,830000,False,4.0,64.0,1,left,MISS K. Oubre Jr. 6' running Layup,[1626162],1610612755.0,PHI,running,,,,,,In The Paint (Non-RA),0-8 Center,6.45,Missed,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,
86,PT05M44.00S,2026-02-20T00:25:10.7Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,12,9,2026-02-20T00:25:10Z,840000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Okongwu,O. Okongwu,,,,,,,85.0,2.0,2.0,0.0,,,,,,,,
