actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
37,PT08M10.00S,2026-03-14T17:14:49.3Z,1,REGULAR,foul,personal,[],1642348,,,1610612751,10,4,2026-03-14T17:14:56Z,370000,False,,,0,,J. Edwards personal FOUL (1 PF),"[1642348, 1642874]",1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Wolf,1642874.0
39,PT07M56.00S,2026-03-14T17:15:20.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630533,85.10183968462549,50.73529411764706,1610612751,10,6,2026-03-14T17:22:03Z,390000,False,4.0,88.0,1,right,Z. Williams 8' fadeaway Jump Shot (2 PTS),[1630533],1610612751.0,BKN,fadeaway,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,8.76,Made,2.0,,,,,,,,,,,,,,
40,PT07M42.00S,2026-03-14T17:15:34.3Z,1,REGULAR,3pt,Jump Shot,[],1631230,6.389618922470433,97.30392156862744,1610612755,10,6,2026-03-14T17:15:40Z,400000,False,-237.0,8.0,1,left,MISS D. Barlow 3PT,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Left Corner 3,24+ Left,,,,23.66,Missed,,,,,,,,,,,,,,,
41,PT07M38.00S,2026-03-14T17:15:38.3Z,1,REGULAR,rebound,defensive,[],1642849,,,1610612751,10,6,2026-03-14T17:15:40Z,410000,False,,,0,,N. Traore REBOUND (Off:0 Def:1),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Left Corner 3,24+ Left,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,
42,PT07M30.00S,2026-03-14T17:15:46.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630533,92.19776609724047,52.94117647058824,1610612751,10,6,2026-03-14T17:15:52Z,420000,False,15.0,21.0,1,right,MISS Z. Williams driving DUNK - blocked,"[1630533, 1642348]",1610612751.0,BKN,driving,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,,,,2.55,Missed,,,,,,,,,Edwards,1642348.0,,,,,
43,PT07M30.00S,2026-03-14T17:15:46.8Z,1,REGULAR,block,,[],1642348,,,1610612751,10,6,2026-03-14T17:15:49Z,430000,False,,,0,,J. Edwards BLOCK (1 BLK),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT07M27.00S,2026-03-14T17:15:49.8Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,10,6,2026-03-14T17:15:52Z,440000,False,,,0,,D. Barlow REBOUND (Off:0 Def:2),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,
45,PT07M22.00S,2026-03-14T17:15:54.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629656,12.565703022339028,49.754901960784316,1610612755,10,6,2026-03-14T17:23:09Z,450000,False,1.0,66.0,1,left,MISS Q. Grimes 6' running pullup Shot,[1629656],1610612755.0,PHI,running pullup,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,,,,6.56,Missed,,,,,,,,,,,,,,,
46,PT07M20.00S,2026-03-14T17:15:56.0Z,1,REGULAR,rebound,offensive,[],1631230,,,1610612755,10,6,2026-03-14T17:15:56Z,460000,False,,,0,,D. Barlow REBOUND (Off:1 Def:2),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,45.0,3.0,2.0,1.0,,,,,,,
47,PT07M19.00S,2026-03-14T17:15:57.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631230,6.258212877792378,53.431372549019606,1610612755,12,6,2026-03-14T18:18:37Z,470000,False,-17.0,6.0,1,left,D. Barlow driving reverse Layup (2 PTS),[1631230],1610612755.0,PHI,driving reverse,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,1.83,Made,2.0,,,,,,,,,,,,,,
48,PT07M05.00S,2026-03-14T17:16:12.1Z,1,REGULAR,3pt,Jump Shot,[],1630533,74.85216819973719,89.70588235294117,1610612751,12,9,2026-03-14T17:16:21Z,480000,False,199.0,184.0,1,right,Z. Williams 27' 3PT  (5 PTS) (N. Traore 1 AST),"[1630533, 1642849]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Right Center,,,,27.06,Made,5.0,N. Traore,1642849.0,1.0,,,,,,,,,,,
50,PT06M47.00S,2026-03-14T17:16:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631230,5.995400788436268,46.81372549019608,1610612755,14,9,2026-03-14T17:16:40Z,500000,False,16.0,4.0,1,left,D. Barlow driving Layup (4 PTS) (V. Edgecombe 1 AST),"[1631230, 1642845]",1610612755.0,PHI,driving,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,1.64,Made,4.0,V. Edgecombe,1642845.0,1.0,,,,,,,,,,,
52,PT06M39.00S,2026-03-14T17:16:38.3Z,1,REGULAR,turnover,bad pass,[],1641730,,,1610612751,14,9,2026-03-14T17:16:44Z,520000,False,,,0,,N. Clowney bad pass TURNOVER (1 TO),"[1641730, 1629656]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,1.0,Grimes,1629656.0,,,,,,,,,,,,,,,,,
53,PT06M39.00S,2026-03-14T17:16:38.3Z,1,REGULAR,steal,,[],1629656,,,1610612755,14,9,2026-03-14T17:16:40Z,530000,False,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
54,PT06M31.00S,2026-03-14T17:16:45.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642348,4.681340341655716,49.01960784313725,1610612755,16,9,2026-03-14T17:24:46Z,540000,False,5.0,-8.0,1,left,J. Edwards running Layup (4 PTS),[1642348],1610612755.0,PHI,running,,,Edwards,J. Edwards,,,,,Restricted Area,0-8 Center,,,,0.98,Made,4.0,,,,,,,,,,,,,,
55,PT06M31.00S,2026-03-14T17:19:12.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,16,9,2026-03-14T17:19:12Z,550000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M31.00S,2026-03-14T17:19:27.7Z,1,REGULAR,substitution,out,[],1641730,,,1610612751,16,9,2026-03-14T17:19:44Z,560000,False,,,0,,SUB out: N. Clowney,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M31.00S,2026-03-14T17:19:27.7Z,1,REGULAR,substitution,out,[],1642849,,,1610612751,16,9,2026-03-14T17:19:44Z,570000,False,,,0,,SUB out: N. Traore,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M31.00S,2026-03-14T17:19:27.7Z,1,REGULAR,substitution,in,[],1631169,,,1610612751,16,9,2026-03-14T17:19:44Z,580000,False,,,0,,SUB in: J. Minott,[1631169],1610612751.0,BKN,,,,Minott,J. Minott,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M31.00S,2026-03-14T17:19:27.7Z,1,REGULAR,substitution,in,[],1642879,,,1610612751,16,9,2026-03-14T17:19:44Z,590000,False,,,0,,SUB in: B. Saraf,[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M08.00S,2026-03-14T17:20:10.5Z,1,REGULAR,3pt,Jump Shot,[],1631169,69.46452036793693,16.42156862745098,1610612751,16,9,2026-03-14T17:20:17Z,600000,False,-168.0,235.0,1,right,MISS J. Minott 28' 3PT,[1631169],1610612751.0,BKN,,,,Minott,J. Minott,,,,,Above the Break 3,24+ Left Center,,,,28.84,Missed,,,,,,,,,,,,,,,
61,PT06M06.00S,2026-03-14T17:20:12.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,16,9,2026-03-14T17:20:17Z,610000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,60.0,,,,,,,,,,
63,PT05M56.00S,2026-03-14T17:20:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642845,6.258212877792378,48.03921568627451,1610612755,18,9,2026-03-14T17:20:36Z,630000,False,10.0,6.0,1,left,V. Edgecombe driving Layup (8 PTS),[1642845],1610612755.0,PHI,driving,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,,,,1.17,Made,8.0,,,,,,,,,,,,,,
64,PT05M47.00S,2026-03-14T17:20:40.3Z,1,REGULAR,turnover,out-of-bounds,[],1629611,,,1610612751,18,9,2026-03-14T17:20:48Z,640000,False,,,0,,T. Mann bad pass out-of-bounds TURNOVER (1 TO),[1629611],1610612751.0,BKN,bad pass,,,Mann,T. Mann,,,,,Mid-Range,16-24 Right Center,1.0,,,,,,,,,,,,,,,1627539.0,,,,
65,PT05M47.00S,2026-03-14T17:20:49.1Z,1,REGULAR,substitution,out,[],1629611,,,1610612755,18,9,2026-03-14T17:20:53Z,650000,False,,,0,,SUB out: T. Mann,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M47.00S,2026-03-14T17:20:49.1Z,1,REGULAR,substitution,in,[],1641869,,,1610612755,18,9,2026-03-14T17:20:53Z,660000,False,,,0,,SUB in: M. Smith,[1641869],1610612751.0,BKN,,,,Smith,M. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M41.00S,2026-03-14T17:21:04.8Z,1,REGULAR,foul,personal,[],1642879,,,1610612755,18,9,2026-03-14T17:21:16Z,670000,False,,,0,,B. Saraf personal FOUL (1 PF),"[1642879, 1642845]",1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Edgecombe,1642845.0
69,PT05M41.00S,2026-03-14T17:21:15.0Z,1,REGULAR,substitution,out,[],1630533,,,1610612755,18,9,2026-03-14T17:21:19Z,690000,False,,,0,,SUB out: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M41.00S,2026-03-14T17:21:15.0Z,1,REGULAR,substitution,out,[],1642874,,,1610612755,18,9,2026-03-14T17:21:19Z,700000,False,,,0,,SUB out: D. Wolf,[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M41.00S,2026-03-14T17:21:15.0Z,1,REGULAR,substitution,in,[],1630623,,,1610612755,18,9,2026-03-14T17:21:19Z,710000,False,,,0,,SUB in: T. Etienne,[1630623],1610612751.0,BKN,,,,Etienne,T. Etienne,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M41.00S,2026-03-14T17:21:15.0Z,1,REGULAR,substitution,in,[],1643052,,,1610612755,18,9,2026-03-14T17:21:19Z,720000,False,,,0,,SUB in: C. Johnson,[1643052],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M38.00S,2026-03-14T17:21:28.2Z,1,REGULAR,turnover,bad pass,[],1629656,,,1610612755,18,9,2026-03-14T17:21:37Z,730000,False,,,0,,Q. Grimes bad pass TURNOVER (1 TO),"[1629656, 1643052]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Left,1.0,Johnson,1643052.0,,,,,,,,,,,,,,,,,
74,PT05M38.00S,2026-03-14T17:21:28.2Z,1,REGULAR,steal,,[],1643052,,,1610612751,18,9,2026-03-14T17:21:33Z,740000,False,,,0,,C. Johnson STEAL (1 STL),[1643052],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
75,PT05M28.00S,2026-03-14T17:21:38.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631169,94.95729303547962,1.2254901960784315,1610612751,18,9,2026-03-14T17:21:42Z,750000,False,-244.0,-5.0,1,right,MISS J. Minott 24' 3PT,[1631169],1610612751.0,BKN,,,,Minott,J. Minott,,,,,Left Corner 3,24+ Left,,,,24.4,Missed,,,,,,,,,,,,,,,
76,PT05M25.00S,2026-03-14T17:21:41.1Z,1,REGULAR,rebound,defensive,[],1642348,,,1610612755,18,9,2026-03-14T17:21:42Z,760000,False,,,0,,J. Edwards REBOUND (Off:0 Def:1),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Left Corner 3,24+ Left,,,,,,,,,,75.0,1.0,1.0,0.0,,,,,,,
77,PT05M18.00S,2026-03-14T17:21:50.8Z,1,REGULAR,foul,personal,['2freethrow'],1631169,,,1610612755,18,9,2026-03-14T17:21:58Z,770000,False,,,0,,J. Minott shooting personal FOUL (1 PF) (Bona 2 FT),"[1631169, 1641737]",1610612751.0,BKN,shooting,,,Minott,J. Minott,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Bona,1641737.0
79,PT05M18.00S,2026-03-14T17:22:21.2Z,1,REGULAR,freethrow,1 of 2,[],1641737,,,1610612755,19,9,2026-03-14T17:22:21Z,790000,False,,,0,,A. Bona Free Throw 1 of 2 (1 PTS),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
80,PT05M18.00S,2026-03-14T17:22:22.2Z,1,REGULAR,substitution,out,[],1629656,,,1610612755,19,9,2026-03-14T17:22:29Z,800000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M18.00S,2026-03-14T17:22:22.2Z,1,REGULAR,substitution,out,[],1631230,,,1610612755,19,9,2026-03-14T17:22:29Z,810000,False,,,0,,SUB out: D. Barlow,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M18.00S,2026-03-14T17:22:22.2Z,1,REGULAR,substitution,in,[],1630570,,,1610612755,19,9,2026-03-14T17:22:29Z,820000,False,,,0,,SUB in: T. Watford,[1630570],1610612755.0,PHI,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M18.00S,2026-03-14T17:22:22.2Z,1,REGULAR,substitution,in,[],1626166,,,1610612755,19,9,2026-03-14T17:22:29Z,830000,False,,,0,,SUB in: C. Payne,[1626166],1610612755.0,PHI,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M18.00S,2026-03-14T17:22:42.8Z,1,REGULAR,freethrow,2 of 2,[],1641737,,,1610612755,20,9,2026-03-14T17:22:42Z,840000,False,,,0,,A. Bona Free Throw 2 of 2 (2 PTS),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
