actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
27,PT09M36.00S,2025-12-03T00:13:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641731,93.11760840998686,40.44117647058824,1610612764,7,5,2025-12-03T00:13:16Z,270000,False,-48.0,12.0,1,right,MISS B. Coulibaly driving finger roll Layup,[1641731],1610612764.0,WAS,driving finger roll,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,4.93,Missed,,,,,,,,,,,,,,,,,,
28,PT09M34.00S,2025-12-03T00:13:14.4Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,7,5,2025-12-03T00:13:16Z,280000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M29.00S,2025-12-03T00:13:19.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,30.305519053876477,75.0,1610612755,10,5,2025-12-03T01:12:04Z,290000,False,-125.0,232.0,1,left,T. Maxey 26' 3PT running pullup (3 PTS),[1630178],1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,26.39,Made,,,,,3.0,,,,,,,,,,,,,
30,PT09M04.00S,2025-12-03T00:13:44.4Z,1,REGULAR,3pt,Jump Shot,[],1630551,95.3515111695138,96.07843137254902,1610612764,10,5,2025-12-03T00:13:48Z,300000,False,230.0,-9.0,1,right,MISS J. Champagnie 3PT,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Right Corner 3,24+ Right,23.06,Missed,,,,,,,,,,,,,,,,,,
31,PT09M02.00S,2025-12-03T00:13:46.4Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612764,10,5,2025-12-03T00:13:48Z,310000,False,,,0,,M. Bagley III REBOUND (Off:1 Def:0),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Right Corner 3,24+ Right,,,30.0,1.0,0.0,1.0,,,,,,,,,,,,,,
32,PT08M58.00S,2025-12-03T00:13:52.9Z,1,REGULAR,foul,personal,[],202331,,,1610612764,10,5,2025-12-03T00:14:00Z,320000,False,,,0,,P. George personal FOUL (1 PF),"[202331, 1628963]",1610612755.0,PHI,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,,,200832.0,,,,1.0,0.0,Bagley III,1628963.0,,,,,
34,PT08M48.00S,2025-12-03T00:14:24.9Z,1,REGULAR,turnover,lost ball,[],203468,,,1610612764,10,5,2025-12-03T00:14:28Z,340000,False,,,0,,C. McCollum lost ball TURNOVER (1 TO),"[203468, 202331]",1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,George,202331.0,,
35,PT08M48.00S,2025-12-03T00:14:24.9Z,1,REGULAR,steal,,[],202331,,,1610612755,10,5,2025-12-03T00:14:27Z,350000,False,,,0,,P. George STEAL (1 STL),[202331],1610612755.0,PHI,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
36,PT08M41.00S,2025-12-03T00:14:32.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630178,6.521024967148489,49.26470588235294,1610612755,10,5,2025-12-03T00:14:37Z,360000,False,4.0,9.0,1,left,MISS T. Maxey running finger roll Layup,[1630178],1610612755.0,PHI,running finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,0.95,Missed,,,,,,,,,,,,,,,,,,
37,PT08M39.00S,2025-12-03T00:14:34.4Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,10,5,2025-12-03T00:14:34Z,370000,False,,,0,,K. George REBOUND (Off:0 Def:2),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Restricted Area,0-8 Center,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
38,PT08M36.00S,2025-12-03T00:14:38.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642273,77.34888304862024,10.53921568627451,1610612764,10,8,2025-12-03T00:14:43Z,380000,False,-197.0,160.0,1,right,K. George 25' 3PT running (5 PTS) (J. Champagnie 1 AST),"[1642273, 1630551]",1610612764.0,WAS,running,,,George,K. George,,,,,Above the Break 3,24+ Left Center,25.43,Made,,,,,5.0,,J. Champagnie,1630551.0,1.0,,,,,,,,,
40,PT08M24.00S,2025-12-03T00:14:49.2Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612755,10,8,2025-12-03T00:14:52Z,400000,False,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 1630551]",1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Champagnie,1630551.0,,
41,PT08M24.00S,2025-12-03T00:14:49.2Z,1,REGULAR,steal,,[],1630551,,,1610612764,10,8,2025-12-03T00:14:51Z,410000,False,,,0,,J. Champagnie STEAL (1 STL),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
42,PT08M19.00S,2025-12-03T00:14:55.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203468,93.77463863337714,61.029411764705884,1610612764,10,8,2025-12-03T00:15:26Z,420000,False,55.0,6.0,1,right,MISS C. McCollum driving floating bank Shot,[203468],1610612764.0,WAS,driving floating bank,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,5.54,Missed,,,,,,,,,,,,,,,,,,
43,PT08M13.00S,2025-12-03T00:15:01.0Z,1,REGULAR,rebound,offensive,[],1630551,,,1610612764,10,8,2025-12-03T00:15:15Z,430000,False,,,0,,J. Champagnie REBOUND (Off:1 Def:0),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,,,42.0,1.0,0.0,1.0,,,,,,,,,,,,,,
44,PT08M13.00S,2025-12-03T00:15:00.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630551,94.40999984741211,50.0,1610612764,10,8,2025-12-03T00:20:07Z,440000,False,0.0,0.0,1,right,MISS J. Champagnie tip DUNK,[1630551],1610612764.0,WAS,tip,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
45,PT08M12.00S,2025-12-03T00:15:01.4Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,10,8,2025-12-03T00:15:01Z,450000,False,,,0,,P. George REBOUND (Off:0 Def:3),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,8-16 Left,,,44.0,3.0,3.0,0.0,,,,,,,,,,,,,,
46,PT08M03.00S,2025-12-03T00:15:10.5Z,1,REGULAR,3pt,Jump Shot,[],1642845,33.722076215505915,39.46078431372549,1610612755,10,8,2025-12-03T00:15:17Z,460000,False,53.0,264.0,1,left,MISS V. Edgecombe 26' 3PT,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Center,26.97,Missed,,,,,,,,,,,,,,,,,,
47,PT08M00.00S,2025-12-03T00:15:13.5Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,10,8,2025-12-03T00:15:17Z,470000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:2),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Center,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,,
48,PT08M00.00S,2025-12-03T00:15:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'defensivegoaltending']",203468,95.0886990801577,48.529411764705884,1610612764,10,10,2025-12-03T00:15:47Z,480000,False,-7.0,-6.0,1,right,C. McCollum running Layup (2 PTS) (B. Coulibaly 2 AST),"[203468, 1641731]",1610612764.0,WAS,running,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,0.97,Made,,,,,2.0,,B. Coulibaly,1641731.0,2.0,,,,,,,,,
50,PT08M00.00S,2025-12-03T00:15:28.3Z,1,REGULAR,violation,defensive goaltending,[],1642845,,,1610612764,10,10,2025-12-03T00:15:47Z,500000,False,,,0,,V. Edgecombe defensive goaltending VIOLATION,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,1628951.0,,,,,,,,,,,,
51,PT07M45.00S,2025-12-03T00:15:48.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631230,14.668199737187912,50.98039215686274,1610612755,10,10,2025-12-03T00:22:26Z,510000,False,-5.0,85.0,1,left,MISS D. Barlow 8' driving floating Shot,[1631230],1610612755.0,PHI,driving floating,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),8-16 Center,8.55,Missed,,,,,,,,,,,,,,,,,,
52,PT07M42.00S,2025-12-03T00:15:51.0Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,10,10,2025-12-03T00:21:24Z,520000,False,,,0,,K. George REBOUND (Off:0 Def:3),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,,,51.0,3.0,3.0,0.0,,,,,,,,,,,,,,
53,PT07M38.00S,2025-12-03T00:15:53.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642273,90.3580814717477,52.69607843137255,1610612764,10,10,2025-12-03T00:23:04Z,530000,False,13.0,38.0,1,right,MISS K. George running finger roll Layup,[1642273],1610612764.0,WAS,running finger roll,,,George,K. George,,,,,Restricted Area,0-8 Center,4.04,Missed,,,,,,,,,,,,,,,,,,
54,PT07M35.00S,2025-12-03T00:15:56.7Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,10,10,2025-12-03T00:23:04Z,540000,False,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,,
55,PT07M26.00S,2025-12-03T00:16:03.1Z,1,REGULAR,turnover,out-of-bounds,[],203083,,,1610612755,10,10,2025-12-03T00:16:08Z,550000,False,,,0,,A. Drummond lost ball out-of-bounds TURNOVER (1 TO),[203083],1610612755.0,PHI,lost ball,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,200832.0,,,,,,,,1.0,,,,
56,PT07M26.00S,2025-12-03T00:16:07.8Z,1,REGULAR,substitution,out,[],202331,,,1610612764,10,10,2025-12-03T00:16:11Z,560000,False,,,0,,SUB out: P. George,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M26.00S,2025-12-03T00:16:07.8Z,1,REGULAR,substitution,in,[],1642348,,,1610612764,10,10,2025-12-03T00:16:11Z,570000,False,,,0,,SUB in: J. Edwards,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M15.00S,2025-12-03T00:16:33.3Z,1,REGULAR,foul,personal,['2freethrow'],203083,,,1610612764,10,10,2025-12-03T00:16:39Z,580000,False,,,0,,A. Drummond shooting personal FOUL (1 PF) (Champagnie 2 FT),"[203083, 1630551]",1610612755.0,PHI,shooting,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,1628951.0,,,,1.0,0.0,Champagnie,1630551.0,,,,,
60,PT07M15.00S,2025-12-03T00:17:00.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630551,,,1610612764,10,11,2025-12-03T00:17:00Z,600000,False,,,0,,J. Champagnie Free Throw 1 of 2 (1 PTS),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
61,PT07M15.00S,2025-12-03T00:17:19.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630551,,,1610612764,10,12,2025-12-03T00:17:19Z,610000,False,,,0,,J. Champagnie Free Throw 2 of 2 (2 PTS),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
62,PT07M00.00S,2025-12-03T00:17:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.5722733245729295,46.07843137254902,1610612755,10,12,2025-12-03T00:17:42Z,620000,False,20.0,19.0,1,left,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.71,Missed,,,,,,,,,,,,,,,,,,
63,PT06M56.00S,2025-12-03T00:17:39.1Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,10,12,2025-12-03T00:17:42Z,630000,False,,,0,,K. George REBOUND (Off:0 Def:4),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Restricted Area,0-8 Center,,,62.0,4.0,4.0,0.0,,,,,,,,,,,,,,
64,PT06M55.00S,2025-12-03T00:17:40.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,67.62483574244416,61.51960784313726,1610612764,10,12,2025-12-03T00:17:56Z,640000,False,58.0,252.0,1,right,MISS C. McCollum 25' running pullup 3PT,[203468],1610612764.0,WAS,running pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,25.83,Missed,,,,,,,,,,,,,,,,,,
65,PT06M53.00S,2025-12-03T00:17:44.8Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612764,10,12,2025-12-03T00:17:44Z,650000,False,,,0,,M. Bagley III REBOUND (Off:2 Def:0),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Center,,,64.0,2.0,0.0,2.0,,,,,,,,,,,,,,
66,PT06M53.00S,2025-12-03T00:17:48.1Z,1,REGULAR,foul,personal,['2freethrow'],1631230,,,1610612764,10,12,2025-12-03T00:18:00Z,660000,False,,,0,,D. Barlow shooting personal FOUL (1 PF) (Bagley III 2 FT),"[1631230, 1628963]",1610612755.0,PHI,shooting,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,,,,,1627541.0,,,,1.0,0.0,Bagley III,1628963.0,,,,,
68,PT06M53.00S,2025-12-03T00:18:07.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,10,12,2025-12-03T00:18:07Z,680000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M53.00S,2025-12-03T00:20:31.0Z,1,REGULAR,substitution,out,[],203083,,,1610612764,10,12,2025-12-03T00:20:44Z,690000,False,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M53.00S,2025-12-03T00:20:31.0Z,1,REGULAR,substitution,out,[],1642845,,,1610612764,10,12,2025-12-03T00:20:44Z,700000,False,,,0,,SUB out: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M53.00S,2025-12-03T00:20:31.0Z,1,REGULAR,substitution,in,[],1642272,,,1610612764,10,12,2025-12-03T00:20:44Z,710000,False,,,0,,SUB in: J. McCain,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M53.00S,2025-12-03T00:20:31.0Z,1,REGULAR,substitution,in,[],1641737,,,1610612764,10,12,2025-12-03T00:20:44Z,720000,False,,,0,,SUB in: A. Bona,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M53.00S,2025-12-03T00:21:04.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628963,,,1610612764,10,13,2025-12-03T00:21:04Z,730000,False,,,0,,M. Bagley III Free Throw 1 of 2 (4 PTS),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
74,PT06M53.00S,2025-12-03T00:21:22.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628963,,,1610612764,10,14,2025-12-03T00:21:22Z,740000,False,,,0,,M. Bagley III Free Throw 2 of 2 (5 PTS),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
75,PT06M44.00S,2025-12-03T00:21:36.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.30946123521682,48.77450980392157,1610612755,12,14,2025-12-03T00:21:41Z,750000,False,6.0,16.0,1,left,T. Maxey driving finger roll Layup (5 PTS),[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.73,Made,,,,,5.0,,,,,,,,,,,,,
76,PT06M34.00S,2025-12-03T00:21:49.8Z,1,REGULAR,foul,personal,['2freethrow'],1641737,,,1610612764,12,14,2025-12-03T00:21:55Z,760000,False,,,0,,A. Bona shooting personal FOUL (1 PF) (Bagley III 2 FT),"[1641737, 1628963]",1610612755.0,PHI,shooting,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,,,,,,,,1627541.0,,,,1.0,0.0,Bagley III,1628963.0,,,,,
78,PT06M34.00S,2025-12-03T00:22:15.8Z,1,REGULAR,freethrow,1 of 2,[],1628963,,,1610612764,12,15,2025-12-03T00:22:15Z,780000,False,,,0,,M. Bagley III Free Throw 1 of 2 (6 PTS),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
79,PT06M34.00S,2025-12-03T00:22:34.2Z,1,REGULAR,freethrow,2 of 2,[],1628963,,,1610612764,12,16,2025-12-03T00:22:34Z,790000,False,,,0,,M. Bagley III Free Throw 2 of 2 (7 PTS),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
80,PT06M19.00S,2025-12-03T00:22:50.4Z,1,REGULAR,2pt,Jump Shot,[],1642272,10.463206307490145,88.23529411764706,1610612755,12,16,2025-12-03T00:22:55Z,800000,False,-191.0,46.0,1,left,MISS J. McCain 19' Jump Shot,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Mid-Range,16-24 Left,19.66,Missed,,,,,,,,,,,,,,,,,,
81,PT06M16.00S,2025-12-03T00:22:53.4Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,12,16,2025-12-03T01:29:53Z,810000,False,,,0,,K. George REBOUND (Off:0 Def:5),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Mid-Range,16-24 Left,,,80.0,5.0,5.0,0.0,,,,,,,,,,,,,,
