actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
336,PT11M41.00S,2026-02-01T01:52:14.3Z,3,REGULAR,block,,[],203954,,,1610612740,67,54,2026-02-01T01:52:16Z,3330000,False,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
337,PT11M40.00S,2026-02-01T01:52:15.3Z,3,REGULAR,rebound,offensive,[],1629627,,,1610612740,67,54,2026-02-01T01:52:56Z,3340000,False,,,0,,Z. Williamson REBOUND (Off:2 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,335.0,4.0,2.0,2.0,,,,,,,,,,
338,PT11M29.00S,2026-02-01T01:52:22.3Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1630180,28.203022339027594,19.362745098039216,1610612740,67,57,2026-02-01T01:52:26Z,3350000,False,153.0,213.0,1,left,S. Bey 26' 3PT pullup (16 PTS),[1630180],1610612740.0,NOP,pullup,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,26.2,Made,16.0,,,,,,,,,,,,,,,,,
339,PT11M13.00S,2026-02-01T01:52:38.8Z,3,REGULAR,3pt,Jump Shot,[],203954,65.91655716162943,51.71568627450981,1610612755,67,57,2026-02-01T01:54:12Z,3360000,False,9.0,268.0,1,right,MISS J. Embiid 26' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,26.8,Missed,,,,,,,,,,,,,,,,,,
340,PT11M11.00S,2026-02-01T01:52:40.8Z,3,REGULAR,rebound,defensive,[],1629627,,,1610612740,67,57,2026-02-01T01:54:12Z,3370000,False,,,0,,Z. Williamson REBOUND (Off:2 Def:3),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Center,,,,,,,339.0,5.0,3.0,2.0,,,,,,,,,,
341,PT11M01.00S,2026-02-01T01:52:51.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,6.915243101182654,52.450980392156865,1610612740,67,59,2026-02-01T01:52:57Z,3380000,False,-12.0,13.0,1,left,T. Murphy III driving reverse Layup (11 PTS) (Z. Williamson 2 AST),"[1630530, 1629627]",1610612740.0,NOP,driving reverse,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,1.75,Made,11.0,Z. Williamson,1629627.0,2.0,,,,,,,,,,,,,,
343,PT10M42.00S,2026-02-01T01:53:08.8Z,3,REGULAR,3pt,Jump Shot,[],1626162,73.01248357424441,14.215686274509803,1610612755,70,59,2026-02-01T01:53:14Z,3400000,False,-179.0,201.0,1,right,K. Oubre Jr. 26' 3PT  (14 PTS) (J. Embiid 4 AST),"[1626162, 203954]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,26.92,Made,14.0,J. Embiid,203954.0,4.0,,,,,,,,,,,,,,
345,PT10M19.00S,2026-02-01T01:53:32.9Z,3,REGULAR,3pt,Jump Shot,[],1630530,32.14520367936925,29.901960784313726,1610612740,70,59,2026-02-01T01:55:07Z,3420000,False,100.0,250.0,1,left,MISS T. Murphy III 26' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,26.92,Missed,,,,,,,,,,,,,,,,,,
346,PT10M17.00S,2026-02-01T01:53:34.9Z,3,REGULAR,rebound,defensive,[],1630178,,,1610612755,70,59,2026-02-01T01:55:07Z,3430000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,,,,345.0,1.0,1.0,0.0,,,,,,,,,,
347,PT09M56.00S,2026-02-01T01:53:55.4Z,3,REGULAR,3pt,Jump Shot,[],1626162,66.5735873850197,42.15686274509804,1610612755,73,59,2026-02-01T01:54:21Z,3440000,False,-39.0,262.0,1,right,K. Oubre Jr. 26' 3PT  (17 PTS) (V. Edgecombe 5 AST),"[1626162, 1642845]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,26.46,Made,17.0,V. Edgecombe,1642845.0,5.0,,,,,,,,,,,,,,
350,PT09M41.00S,2026-02-01T01:54:09.4Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1630530,7.440867279894875,49.754901960784316,1610612740,73,59,2026-02-01T01:55:36Z,3460000,False,1.0,17.0,1,left,MISS T. Murphy III alley-oop DUNK,[1630530],1610612740.0,NOP,alley-oop,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,1.74,Missed,,,,,,,,,,,,,,,,,,
351,PT09M41.00S,2026-02-01T01:54:09.4Z,3,REGULAR,rebound,defensive,[],1626162,,,1610612755,73,59,2026-02-01T01:54:26Z,3470000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:5),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,350.0,6.0,5.0,1.0,,,,,,,,,,
352,PT09M33.00S,2026-02-01T01:54:17.5Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1642845,66.3107752956636,64.2156862745098,1610612755,73,59,2026-02-01T01:54:31Z,3480000,False,71.0,264.0,1,right,MISS V. Edgecombe 27' running pullup 3PT,[1642845],1610612755.0,PHI,running pullup,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Center,27.36,Missed,,,,,,,,,,,,,,,,,,
353,PT09M30.00S,2026-02-01T01:54:20.5Z,3,REGULAR,rebound,defensive,[],1630530,,,1610612740,73,59,2026-02-01T01:54:31Z,3490000,False,,,0,,T. Murphy III REBOUND (Off:2 Def:4),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,,,,,,,352.0,6.0,4.0,2.0,,,,,,,,,,
354,PT09M18.00S,2026-02-01T01:54:34.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642852,19.530223390275953,41.66666666666667,1610612740,73,59,2026-02-01T01:57:10Z,3500000,False,42.0,131.0,1,left,MISS D. Queen 13' turnaround fadeaway Shot - blocked,"[1642852, 203954]",1610612740.0,NOP,turnaround fadeaway,,,Queen,D. Queen,,,,,In The Paint (Non-RA),8-16 Center,13.76,Missed,,,,,,,,,,,,,,Embiid,203954.0,,,
355,PT09M18.00S,2026-02-01T01:54:34.1Z,3,REGULAR,block,,[],203954,,,1610612740,73,59,2026-02-01T01:54:37Z,3510000,False,,,0,,J. Embiid BLOCK (2 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
356,PT09M17.00S,2026-02-01T01:54:35.1Z,3,REGULAR,rebound,defensive,[],1631230,,,1610612755,73,59,2026-02-01T01:57:10Z,3520000,False,,,0,,D. Barlow REBOUND (Off:0 Def:3),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,354.0,3.0,3.0,0.0,,,,,,,,,,
