actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
18,PT10M53.00S,2026-02-27T00:12:40.0Z,1,REGULAR,3pt,Jump Shot,[],203954,34.90473061760841,42.64705882352941,1610612755,2,0,2026-02-27T00:12:45Z,180000,False,37.0,276.0,1,left,MISS J. Embiid 27' 3PT,[203954],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,27.8,Missed,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,
19,PT10M49.00S,2026-02-27T00:12:44.0Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612748,2,0,2026-02-27T00:12:45Z,190000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,Powell,N. Powell,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M43.00S,2026-02-27T00:12:54.4Z,1,REGULAR,3pt,Jump Shot,[],203952,70.25295663600527,75.73529411764706,1610612748,2,0,2026-02-27T00:14:46Z,200000,False,129.0,227.0,1,right,MISS A. Wiggins 26' 3PT,[203952],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,26.1,Missed,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,
21,PT10M41.00S,2026-02-27T00:12:56.4Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,2,0,2026-02-27T00:14:46Z,210000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:2),[1626162],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,Oubre Jr.,K. Oubre Jr.,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
22,PT10M33.00S,2026-02-27T00:13:00.1Z,1,REGULAR,3pt,Jump Shot,[],1642845,21.50131406044678,10.784313725490197,1610612755,2,0,2026-02-27T00:14:13Z,220000,False,196.0,150.0,1,left,MISS V. Edgecombe 24' 3PT,[1642845],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,24.66,Missed,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,
23,PT10M28.00S,2026-02-27T00:13:05.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,0,2026-02-27T00:13:08Z,230000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,Adebayo,B. Adebayo,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
24,PT10M24.00S,2026-02-27T00:13:14.6Z,1,REGULAR,foul,personal,[],1626162,,,1610612748,2,0,2026-02-27T00:13:19Z,240000,False,,,0,,K. Oubre Jr. personal FOUL (1 PF),"[1626162, 1626181]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,1151.0,1.0,0.0,Powell,1626181.0,,,,,,
26,PT10M19.00S,2026-02-27T00:13:37.6Z,1,REGULAR,turnover,bad pass,[],1641796,,,1610612748,2,0,2026-02-27T00:13:42Z,260000,False,,,0,,P. Larsson bad pass TURNOVER (1 TO),"[1641796, 1626162]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,Larsson,P. Larsson,,,,,,,,,,,,,,1.0,Oubre Jr.,1626162.0,,,
27,PT10M19.00S,2026-02-27T00:13:37.6Z,1,REGULAR,steal,,[],1626162,,,1610612755,2,0,2026-02-27T00:13:39Z,270000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,
28,PT10M09.00S,2026-02-27T00:13:48.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203954,6.389618922470433,48.03921568627451,1610612755,4,0,2026-02-27T00:13:52Z,280000,False,10.0,8.0,1,left,J. Embiid driving Layup (4 PTS) (K. Oubre Jr. 1 AST),"[203954, 1626162]",1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,1.24,Made,Embiid,J. Embiid,,,,,4.0,K. Oubre Jr.,1626162.0,1.0,,,,,,,,,,,
30,PT10M02.00S,2026-02-27T00:13:54.0Z,1,REGULAR,3pt,Jump Shot,[],1626181,73.9323258869908,12.745098039215685,1610612748,4,3,2026-02-27T00:13:58Z,300000,False,-186.0,193.0,1,right,N. Powell 26' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1626181, 1630558]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,26.79,Made,Powell,N. Powell,,,,,3.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,,
32,PT09M45.00S,2026-02-27T00:14:10.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,16.245072273324574,38.48039215686275,1610612755,4,3,2026-02-27T00:14:14Z,320000,False,58.0,100.0,1,left,MISS T. Maxey 11' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,,,,In The Paint (Non-RA),8-16 Center,11.56,Missed,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,
33,PT09M43.00S,2026-02-27T00:14:12.2Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612748,4,3,2026-02-27T00:14:14Z,330000,False,,,0,,N. Powell REBOUND (Off:0 Def:2),[1626181],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,Powell,N. Powell,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
34,PT09M35.00S,2026-02-27T00:14:21.0Z,1,REGULAR,3pt,Jump Shot,[],1626181,69.85873850197109,21.07843137254902,1610612748,4,3,2026-02-27T00:14:25Z,340000,False,-145.0,231.0,1,right,MISS N. Powell 27' 3PT,[1626181],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,27.24,Missed,Powell,N. Powell,,,,,,,,,,,,,,,,,,,
35,PT09M32.00S,2026-02-27T00:14:24.0Z,1,REGULAR,rebound,defensive,[],1642845,,,1610612755,4,3,2026-02-27T00:14:25Z,350000,False,,,0,,V. Edgecombe REBOUND (Off:0 Def:1),[1642845],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,Edgecombe,V. Edgecombe,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
36,PT09M23.00S,2026-02-27T00:14:33.3Z,1,REGULAR,3pt,Jump Shot,[],203954,29.517082785808146,77.20588235294117,1610612755,7,3,2026-02-27T00:14:36Z,360000,False,-136.0,225.0,1,left,J. Embiid 26' 3PT  (7 PTS) (V. Edgecombe 1 AST),"[203954, 1642845]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,26.29,Made,Embiid,J. Embiid,,,,,7.0,V. Edgecombe,1642845.0,1.0,,,,,,,,,,,
38,PT09M08.00S,2026-02-27T00:14:47.7Z,1,REGULAR,3pt,Jump Shot,[],1630558,71.17279894875165,17.892156862745097,1610612748,7,6,2026-02-27T00:14:51Z,380000,False,-161.0,218.0,1,right,D. Mitchell 27' 3PT  (3 PTS) (N. Powell 1 AST),"[1630558, 1626181]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,27.11,Made,Mitchell,D. Mitchell,,,,,3.0,N. Powell,1626181.0,1.0,,,,,,,,,,,
40,PT08M53.00S,2026-02-27T00:15:03.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.30946123521682,42.15686274509804,1610612755,7,6,2026-02-27T00:15:06Z,400000,False,39.0,16.0,1,left,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,,,,Restricted Area,0-8 Center,4.24,Missed,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,
41,PT08M51.00S,2026-02-27T00:15:05.1Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612748,7,6,2026-02-27T00:15:06Z,410000,False,,,0,,N. Powell REBOUND (Off:0 Def:3),[1626181],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,Powell,N. Powell,40.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
42,PT08M48.00S,2026-02-27T00:15:09.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641796,93.11760840998686,55.88235294117647,1610612748,7,6,2026-02-27T00:15:14Z,420000,False,29.0,12.0,1,right,MISS P. Larsson running Layup,[1641796],1610612748.0,MIA,running,,,,,,Restricted Area,0-8 Center,3.18,Missed,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,
43,PT08M45.00S,2026-02-27T00:15:12.0Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,7,6,2026-02-27T00:15:14Z,430000,False,,,0,,D. Barlow REBOUND (Off:0 Def:2),[1631230],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,Barlow,D. Barlow,42.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
44,PT08M34.00S,2026-02-27T00:15:22.4Z,1,REGULAR,3pt,Jump Shot,[],1630178,34.773324572930356,56.127450980392155,1610612755,10,6,2026-02-27T00:15:26Z,440000,False,-31.0,274.0,1,left,T. Maxey 27' 3PT  (3 PTS) (J. Embiid 1 AST),"[1630178, 203954]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,27.61,Made,Maxey,T. Maxey,,,,,3.0,J. Embiid,203954.0,1.0,,,,,,,,,,,
46,PT08M26.00S,2026-02-27T00:15:30.2Z,1,REGULAR,turnover,bad pass,[],1630558,,,1610612748,10,6,2026-02-27T00:15:33Z,460000,False,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1630558, 1630178]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,1.0,Maxey,1630178.0,,,
47,PT08M26.00S,2026-02-27T00:15:30.2Z,1,REGULAR,steal,,[],1630178,,,1610612755,10,6,2026-02-27T00:15:32Z,470000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,
48,PT08M22.00S,2026-02-27T00:15:33.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630178,37.00722733245729,28.431372549019606,1610612755,13,6,2026-02-27T00:15:41Z,480000,False,108.0,295.0,1,left,T. Maxey 31' 3PT running pullup (6 PTS),[1630178],1610612755.0,PHI,running pullup,,,,,,Above the Break 3,24+ Right Center,31.45,Made,Maxey,T. Maxey,,,,,6.0,,,,,,,,,,,,,,
49,PT07M59.00S,2026-02-27T00:15:57.3Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612748,13,6,2026-02-27T00:16:03Z,490000,False,,,0,,J. Embiid shooting personal FOUL (1 PF) (Adebayo 2 FT),"[203954, 1628389]",1610612755.0,PHI,shooting,,,,,,Mid-Range,8-16 Left,,,Embiid,J. Embiid,,,,,,,,,101284.0,1.0,0.0,Adebayo,1628389.0,,,,,,
51,PT07M59.00S,2026-02-27T00:16:28.2Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,13,7,2026-02-27T00:16:28Z,510000,False,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,,,,,,,Made,Adebayo,B. Adebayo,,,,,1.0,,,,,,,,,,,,,,
52,PT07M59.00S,2026-02-27T00:16:45.3Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,13,8,2026-02-27T00:16:45Z,520000,False,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,,,,,,,,,Made,Adebayo,B. Adebayo,,,,,2.0,,,,,,,,,,,,,,
53,PT07M47.00S,2026-02-27T00:16:58.7Z,1,REGULAR,3pt,Jump Shot,[],1630178,34.773324572930356,38.72549019607843,1610612755,13,8,2026-02-27T00:17:03Z,530000,False,56.0,274.0,1,left,MISS T. Maxey 28' 3PT,[1630178],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,28.01,Missed,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,
54,PT07M44.00S,2026-02-27T00:17:01.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,13,8,2026-02-27T00:17:03Z,540000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,Adebayo,B. Adebayo,53.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
55,PT07M33.00S,2026-02-27T00:17:13.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,95.74572930354796,39.21568627450981,1610612748,13,8,2026-02-27T00:20:05Z,550000,False,-54.0,-13.0,1,right,MISS B. Adebayo driving Layup,[1628389],1610612748.0,MIA,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.53,Missed,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
56,PT07M31.00S,2026-02-27T00:17:15.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,13,8,2026-02-27T00:17:17Z,560000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,Embiid,J. Embiid,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
57,PT07M26.00S,2026-02-27T00:17:21.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631230,4.418528252299605,49.01960784313725,1610612755,15,8,2026-02-27T00:20:34Z,570000,False,5.0,-11.0,1,left,D. Barlow cutting DUNK (2 PTS) (J. Embiid 2 AST),"[1631230, 203954]",1610612755.0,PHI,cutting,,,,,,Restricted Area,0-8 Center,1.2,Made,Barlow,D. Barlow,,,,,2.0,J. Embiid,203954.0,2.0,,,,,,,,,,,
59,PT07M10.00S,2026-02-27T00:17:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,91.93495400788436,52.20588235294118,1610612748,15,10,2026-02-27T00:21:21Z,590000,False,11.0,23.0,1,right,B. Adebayo driving Layup (4 PTS) (N. Powell 2 AST),"[1628389, 1626181]",1610612748.0,MIA,driving,,,,,,Restricted Area,0-8 Center,2.58,Made,Adebayo,B. Adebayo,,,,,4.0,N. Powell,1626181.0,2.0,,,,,,,,,,,
61,PT07M10.00S,2026-02-27T00:17:43.2Z,1,REGULAR,foul,personal,['1freethrow'],1631230,,,1610612748,15,10,2026-02-27T00:18:01Z,610000,False,,,0,,D. Barlow shooting personal FOUL (1 PF) (Adebayo 1 FT),"[1631230, 1628389]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,,,Barlow,D. Barlow,,,,,,,,,1628953.0,1.0,0.0,Adebayo,1628389.0,,,,,,
63,PT07M10.00S,2026-02-27T00:18:13.5Z,1,REGULAR,freethrow,1 of 1,[],1628389,,,1610612748,15,10,2026-02-27T00:18:15Z,630000,False,,,0,,MISS B. Adebayo Free Throw 1 of 1,[1628389],1610612748.0,MIA,,,,,,,,,,Missed,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
64,PT07M07.00S,2026-02-27T00:18:16.5Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,15,10,2026-02-27T00:18:15Z,640000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:3),[1626162],1610612755.0,PHI,,,,,,,,,,,Oubre Jr.,K. Oubre Jr.,63.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
65,PT06M56.00S,2026-02-27T00:18:26.6Z,1,REGULAR,3pt,Jump Shot,[],203954,33.327858081471746,55.63725490196079,1610612755,15,10,2026-02-27T00:18:30Z,650000,False,-28.0,261.0,1,left,MISS J. Embiid 26' 3PT,[203954],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,26.23,Missed,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,
66,PT06M52.00S,2026-02-27T00:18:30.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,15,10,2026-02-27T00:18:30Z,660000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:4),[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,Adebayo,B. Adebayo,65.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
67,PT06M42.00S,2026-02-27T00:18:39.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,86.41590013140605,40.44117647058824,1610612748,15,12,2026-02-27T00:22:34Z,670000,False,-48.0,75.0,1,right,B. Adebayo 8' turnaround fadeaway Jump Shot (6 PTS),[1628389],1610612748.0,MIA,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Left,8.91,Made,Adebayo,B. Adebayo,,,,,6.0,,,,,,,,,,,,,,
68,PT06M35.00S,2026-02-27T00:18:50.9Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612755,15,12,2026-02-27T00:19:07Z,680000,False,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Embiid 2 FT),"[203952, 203954]",1610612748.0,MIA,shooting,,,,,,Restricted Area,0-8 Center,,,Wiggins,A. Wiggins,,,,,,,,,1151.0,1.0,0.0,Embiid,203954.0,,,,,,
70,PT06M35.00S,2026-02-27T00:19:11.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,15,12,2026-02-27T00:19:11Z,700000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M35.00S,2026-02-27T00:22:18.5Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,16,12,2026-02-27T00:22:18Z,710000,False,,,0,,J. Embiid Free Throw 1 of 2 (8 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Made,Embiid,J. Embiid,,,,,8.0,,,,,,,,,,,,,,
72,PT06M35.00S,2026-02-27T00:22:22.3Z,1,REGULAR,substitution,out,[],1631230,,,1610612755,16,12,2026-02-27T00:22:25Z,720000,False,,,0,,SUB out: D. Barlow,[1631230],1610612755.0,PHI,,,,,,,,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,
73,PT06M35.00S,2026-02-27T00:22:22.3Z,1,REGULAR,substitution,in,[],1629656,,,1610612755,16,12,2026-02-27T00:22:25Z,730000,False,,,0,,SUB in: Q. Grimes,[1629656],1610612755.0,PHI,,,,,,,,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,
74,PT06M35.00S,2026-02-27T00:22:39.3Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,17,12,2026-02-27T00:22:39Z,740000,False,,,0,,J. Embiid Free Throw 2 of 2 (9 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Made,Embiid,J. Embiid,,,,,9.0,,,,,,,,,,,,,,
75,PT06M22.00S,2026-02-27T00:22:55.0Z,1,REGULAR,turnover,out-of-bounds,[],1641796,,,1610612748,17,12,2026-02-27T00:23:00Z,750000,False,,,0,,P. Larsson bad pass out-of-bounds TURNOVER (2 TO),[1641796],1610612748.0,MIA,bad pass,,,,,,Mid-Range,8-16 Left,,,Larsson,P. Larsson,,,,,,,,,101284.0,,,,,2.0,,,,,
76,PT06M22.00S,2026-02-27T00:22:59.6Z,1,REGULAR,substitution,out,[],1641796,,,1610612755,17,12,2026-02-27T00:23:06Z,760000,False,,,0,,SUB out: P. Larsson,[1641796],1610612748.0,MIA,,,,,,,,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,
77,PT06M22.00S,2026-02-27T00:22:59.6Z,1,REGULAR,substitution,in,[],1631170,,,1610612755,17,12,2026-02-27T00:23:06Z,770000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,,,,,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,
78,PT06M06.00S,2026-02-27T00:23:25.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629656,10.200394218134035,97.05882352941177,1610612755,20,12,2026-02-27T00:23:29Z,780000,False,-235.0,43.0,1,left,Q. Grimes 3PT  (3 PTS) (T. Maxey 2 AST),"[1629656, 1630178]",1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,23.93,Made,Grimes,Q. Grimes,,,,,3.0,T. Maxey,1630178.0,2.0,,,,,,,,,,,
80,PT05M55.00S,2026-02-27T00:23:37.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631170,93.51182654402102,47.05882352941176,1610612748,20,14,2026-02-27T00:23:42Z,800000,False,-15.0,8.0,1,right,J. Jaquez Jr. driving Layup (2 PTS),[1631170],1610612748.0,MIA,driving,,,,,,Restricted Area,0-8 Center,1.7,Made,Jaquez Jr.,J. Jaquez Jr.,,,,,2.0,,,,,,,,,,,,,,
81,PT05M55.00S,2026-02-27T00:23:40.4Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1626162,,,1610612748,20,14,2026-02-27T00:23:45Z,810000,False,,,0,,K. Oubre Jr. shooting personal FOUL (2 PF) (Jaquez Jr. 1 FT),"[1626162, 1631170]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,1628953.0,2.0,0.0,Jaquez Jr.,1631170.0,,,,,,
83,PT05M55.00S,2026-02-27T00:23:51.9Z,1,REGULAR,substitution,out,[],1626162,,,1610612748,20,14,2026-02-27T00:24:31Z,830000,False,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,,,,,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,
84,PT05M55.00S,2026-02-27T00:23:51.9Z,1,REGULAR,substitution,in,[],1631230,,,1610612748,20,14,2026-02-27T00:24:31Z,840000,False,,,0,,SUB in: D. Barlow,[1631230],1610612755.0,PHI,,,,,,,,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,
85,PT05M55.00S,2026-02-27T00:24:15.7Z,1,REGULAR,freethrow,1 of 1,[],1631170,,,1610612748,20,15,2026-02-27T00:24:15Z,850000,False,,,0,,J. Jaquez Jr. Free Throw 1 of 1 (3 PTS),[1631170],1610612748.0,MIA,,,,,,,,,,Made,Jaquez Jr.,J. Jaquez Jr.,,,,,3.0,,,,,,,,,,,,,,
