actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
14,PT11M00.00S,2024-03-24T19:11:44.9Z,1,REGULAR,3pt,Jump Shot,[],1630530,35.66031537450722,68.62745098039215,1610612740,0,0,2024-03-24T19:11:49Z,140000,False,-93.0,283.0,1,left,MISS T. Murphy III 29' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,29.76,Missed,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2024-03-24T19:11:48.9Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612765,0,0,2024-03-24T19:11:49Z,150000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612765.0,DET,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Left Center,,,,,14.0,,,1.0,1.0,0.0,,,,,,,,,,
16,PT10M50.00S,2024-03-24T19:12:00.1Z,1,REGULAR,foul,offensive,[],1630164,,,1610612765,0,0,2024-03-24T19:12:17Z,160000,False,,,0,,J. Wiseman offensive FOUL (1 PF),"[1630164, 203468]",1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Above the Break 3,24+ Left Center,,,,,,204059.0,,,,,1.0,0.0,McCollum,203468.0,,,,,,
18,PT10M50.00S,2024-03-24T19:12:00.1Z,1,REGULAR,turnover,offensive foul,[],1630164,,,1610612765,0,0,2024-03-24T19:12:00Z,180000,False,,,0,,J. Wiseman offensive foul TURNOVER (1 TO),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Above the Break 3,24+ Left Center,,,,,,204059.0,1.0,,,,,,,,,,,,,
20,PT10M31.00S,2024-03-24T19:12:31.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202685,6.225361366622863,57.35294117647059,1610612740,0,2,2024-03-24T19:14:56Z,190000,False,-37.0,6.0,1,left,J. Valanciunas turnaround fadeaway Jump Shot (2 PTS) (Z. Williamson 1 AST),"[202685, 1629627]",1610612740.0,NOP,turnaround fadeaway,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,3.73,Made,,,,,,,,,,,,,2.0,Z. Williamson,1629627.0,1.0,,
22,PT10M12.00S,2024-03-24T19:12:50.7Z,1,REGULAR,turnover,bad pass,[],1628972,,,1610612765,0,2,2024-03-24T19:12:54Z,210000,False,,,0,,T. Brown Jr. bad pass TURNOVER (1 TO),"[1628972, 203468]",1610612765.0,DET,,,,Brown Jr.,T. Brown Jr.,,,,,Mid-Range,8-16 Center,,,,,,,1.0,,,,,,,,,,,,McCollum,203468.0
23,PT10M12.00S,2024-03-24T19:12:50.7Z,1,REGULAR,steal,,[],203468,,,1610612740,0,2,2024-03-24T19:12:52Z,220000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M07.00S,2024-03-24T19:12:55.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203468,33.163600525624176,34.31372549019608,1610612740,0,5,2024-03-24T19:13:03Z,230000,False,78.0,259.0,1,left,C. McCollum 27' 3PT running pullup (3 PTS),[203468],1610612740.0,NOP,running pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,27.08,Made,,,,,,,,,,,,,3.0,,,,,
25,PT09M41.00S,2024-03-24T19:13:22.6Z,1,REGULAR,3pt,Jump Shot,[],1628972,79.81274638633377,97.05882352941177,1610612765,0,5,2024-03-24T19:20:27Z,240000,False,235.0,137.0,1,right,MISS T. Brown Jr. 27' 3PT,[1628972],1610612765.0,DET,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Right Center,27.24,Missed,,,,,,,,,,,,,,,,,,
26,PT09M26.00S,2024-03-24T19:13:37.6Z,1,REGULAR,rebound,offensive,[],1631093,,,1610612765,0,5,2024-03-24T19:13:59Z,250000,False,,,0,,J. Ivey REBOUND (Off:1 Def:0),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,,,,,25.0,,,1.0,0.0,1.0,,,,,,,,,,
27,PT09M26.00S,2024-03-24T19:13:37.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631093,92.55913272010513,42.64705882352941,1610612765,0,5,2024-03-24T19:13:42Z,260000,False,-37.0,17.0,1,right,MISS J. Ivey floating Shot,[1631093],1610612765.0,DET,floating,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,4.07,Missed,,,,,,,,,,,,,,,,,,
28,PT09M26.00S,2024-03-24T19:13:37.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,5,2024-03-24T19:13:42Z,270000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,27.0,,,1.0,1.0,0.0,,,,,,,,,,
29,PT09M19.00S,2024-03-24T19:13:43.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630530,9.773324572930349,51.71568627450981,1610612740,0,7,2024-03-24T19:13:49Z,280000,False,-9.0,39.0,1,left,T. Murphy III driving DUNK (2 PTS) (C. McCollum 1 AST),"[1630530, 203468]",1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,4.03,Made,,,,,,,,,,,,,2.0,C. McCollum,203468.0,1.0,,
31,PT09M02.00S,2024-03-24T19:14:00.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629002,91.77069645203679,56.61764705882353,1610612765,2,7,2024-03-24T19:14:07Z,300000,False,33.0,25.0,1,right,C. Metu driving DUNK (2 PTS) (J. Ivey 1 AST),"[1629002, 1631093]",1610612765.0,DET,driving,,,Metu,C. Metu,,,,,Restricted Area,0-8 Center,4.14,Made,,,,,,,,,,,,,2.0,J. Ivey,1631093.0,1.0,,
33,PT08M42.00S,2024-03-24T19:14:20.5Z,1,REGULAR,2pt,Jump Shot,[],202685,22.78252299605782,51.470588235294116,1610612740,2,7,2024-03-24T19:14:24Z,320000,False,-7.0,162.0,1,left,MISS J. Valanciunas 16' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Center,16.19,Missed,,,,,,,,,,,,,,,,,,
34,PT08M39.00S,2024-03-24T19:14:23.0Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612765,2,7,2024-03-24T19:14:23Z,330000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:2),[1628972],1610612765.0,DET,,,,Brown Jr.,T. Brown Jr.,,,,,Mid-Range,16-24 Center,,,,,33.0,,,2.0,2.0,0.0,,,,,,,,,,
35,PT08M22.00S,2024-03-24T19:14:40.9Z,1,REGULAR,3pt,Jump Shot,[],1628972,88.74835742444152,97.30392156862744,1610612765,2,7,2024-03-24T19:14:46Z,340000,False,237.0,53.0,1,right,MISS T. Brown Jr. 24' 3PT,[1628972],1610612765.0,DET,,,,Brown Jr.,T. Brown Jr.,,,,,Right Corner 3,24+ Right,24.24,Missed,,,,,,,,,,,,,,,,,,
36,PT08M22.00S,2024-03-24T19:14:42.9Z,1,REGULAR,rebound,offensive,[],1629002,,,1610612765,2,7,2024-03-24T19:14:42Z,350000,False,,,0,,C. Metu REBOUND (Off:1 Def:0),[1629002],1610612765.0,DET,,,,Metu,C. Metu,,,,,Right Corner 3,24+ Right,,,,,35.0,,,1.0,0.0,1.0,,,,,,,,,,
37,PT08M22.00S,2024-03-24T19:14:43.8Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612765,2,7,2024-03-24T19:14:54Z,360000,False,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Metu 2 FT),"[202685, 1629002]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,204059.0,,,,,1.0,0.0,Metu,1629002.0,,,,,,
39,PT08M22.00S,2024-03-24T19:15:10.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629002,,,1610612765,3,7,2024-03-24T19:15:10Z,380000,False,,,0,,C. Metu Free Throw 1 of 2 (3 PTS),[1629002],1610612765.0,DET,,,,Metu,C. Metu,,,,,,,,Made,,,,,,,,,,,,,3.0,,,,,
40,PT08M22.00S,2024-03-24T19:15:26.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629002,,,1610612765,4,7,2024-03-24T19:15:26Z,390000,False,,,0,,C. Metu Free Throw 2 of 2 (4 PTS),[1629002],1610612765.0,DET,,,,Metu,C. Metu,,,,,,,,Made,,,,,,,,,,,,,4.0,,,,,
42,PT07M59.00S,2024-03-24T19:16:02.1Z,1,REGULAR,2pt,Jump Shot,[],203468,8.327858081471746,33.08823529411765,1610612740,4,9,2024-03-24T19:16:08Z,410000,False,85.0,26.0,1,left,C. McCollum 8' turnaround fadeaway Jump Shot (5 PTS) (Z. Williamson 2 AST),"[203468, 1629627]",1610612740.0,NOP,turnaround fadeaway,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Right,8.84,Made,,,,,,,,,,,,,5.0,Z. Williamson,1629627.0,2.0,,
43,PT07M42.00S,2024-03-24T19:16:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,94.00459921156373,55.14705882352941,1610612765,6,9,2024-03-24T19:16:26Z,420000,False,26.0,4.0,1,right,J. Ivey driving finger roll Layup (2 PTS),[1631093],1610612765.0,DET,driving finger roll,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,2.6,Made,,,,,,,,,,,,,2.0,,,,,
44,PT07M30.00S,2024-03-24T19:16:30.9Z,1,REGULAR,3pt,Jump Shot,[],202685,32.50657030223391,71.81372549019608,1610612740,6,9,2024-03-24T19:16:35Z,430000,False,-109.0,253.0,1,left,MISS J. Valanciunas 27' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,27.56,Missed,,,,,,,,,,,,,,,,,,
45,PT07M27.00S,2024-03-24T19:16:34.0Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612765,6,9,2024-03-24T19:16:34Z,440000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:3),[1628972],1610612765.0,DET,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Left Center,,,,,44.0,,,3.0,3.0,0.0,,,,,,,,,,
46,PT07M05.00S,2024-03-24T19:16:56.3Z,1,REGULAR,3pt,Jump Shot,[],1631093,67.7233902759527,75.24509803921569,1610612765,6,9,2024-03-24T19:19:32Z,450000,False,126.0,251.0,1,right,MISS J. Ivey 28' pullup 3PT,[1631093],1610612765.0,DET,pullup,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,28.09,Missed,,,,,,,,,,,,,,,,,,
47,PT07M02.00S,2024-03-24T19:16:59.0Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,6,9,2024-03-24T19:16:59Z,460000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,,46.0,,,1.0,1.0,0.0,,,,,,,,,,
48,PT06M56.00S,2024-03-24T19:17:05.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,10.298948751642584,50.245098039215684,1610612740,6,11,2024-03-24T19:17:09Z,470000,False,-1.0,44.0,1,left,J. Valanciunas Hook (4 PTS) (T. Murphy III 1 AST),"[202685, 1630530]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,4.43,Made,,,,,,,,,,,,,4.0,T. Murphy III,1630530.0,1.0,,
50,PT06M44.00S,2024-03-24T19:17:17.1Z,1,REGULAR,turnover,lost ball,[],1630164,,,1610612765,6,11,2024-03-24T19:17:20Z,490000,False,,,0,,J. Wiseman lost ball TURNOVER (2 TO),"[1630164, 1630529]",1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Above the Break 3,24+ Center,,,,,,,2.0,,,,,,,,,,,,Jones,1630529.0
51,PT06M44.00S,2024-03-24T19:17:17.1Z,1,REGULAR,steal,,[],1630529,,,1610612740,6,11,2024-03-24T19:17:19Z,500000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
52,PT06M25.00S,2024-03-24T19:17:36.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203468,4.648488830486201,37.00980392156863,1610612740,6,11,2024-03-24T19:20:18Z,510000,False,65.0,-9.0,1,left,MISS C. McCollum 6' driving floating bank Shot,[203468],1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,6.56,Missed,,,,,,,,,,,,,,,,,,
53,PT06M23.00S,2024-03-24T19:17:38.0Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612765,6,11,2024-03-24T19:17:44Z,520000,False,,,0,,C. Metu REBOUND (Off:1 Def:1),[1629002],1610612765.0,DET,,,,Metu,C. Metu,,,,,In The Paint (Non-RA),0-8 Center,,,,,52.0,,,2.0,1.0,1.0,,,,,,,,,,
54,PT06M18.00S,2024-03-24T19:17:43.2Z,1,REGULAR,turnover,bad pass,[],1631093,,,1610612765,6,11,2024-03-24T19:17:48Z,530000,False,,,0,,J. Ivey bad pass TURNOVER (1 TO),"[1631093, 1630529]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,8-16 Center,,,,,,,1.0,,,,,,,,,,,,Jones,1630529.0
55,PT06M18.00S,2024-03-24T19:17:43.2Z,1,REGULAR,steal,,[],1630529,,,1610612740,6,11,2024-03-24T19:17:45Z,540000,False,,,0,,H. Jones STEAL (2 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
56,PT06M12.00S,2024-03-24T19:17:51.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629627,8.853482260183966,50.49019607843137,1610612740,6,13,2024-03-24T19:21:18Z,550000,False,-2.0,31.0,1,left,Z. Williamson turnaround Hook (2 PTS) (T. Murphy III 2 AST),"[1629627, 1630530]",1610612740.0,NOP,turnaround,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,3.08,Made,,,,,,,,,,,,,2.0,T. Murphy III,1630530.0,2.0,,
58,PT06M12.00S,2024-03-24T19:17:53.9Z,1,REGULAR,foul,personal,['1freethrow'],1628972,,,1610612740,6,13,2024-03-24T19:18:09Z,570000,False,,,0,,T. Brown Jr. shooting personal FOUL (1 PF) (Williamson 1 FT),"[1628972, 1629627]",1610612765.0,DET,shooting,,,Brown Jr.,T. Brown Jr.,,,,,Restricted Area,0-8 Center,,,,,,202056.0,,,,,1.0,0.0,Williamson,1629627.0,,,,,,
60,PT06M12.00S,2024-03-24T19:18:11.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,6,13,2024-03-24T19:20:18Z,590000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M12.00S,2024-03-24T19:18:14.6Z,1,REGULAR,substitution,out,[],1629002,,,1610612740,6,13,2024-03-24T19:20:39Z,600000,False,,,0,,SUB out: C. Metu,[1629002],1610612765.0,DET,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M12.00S,2024-03-24T19:18:14.6Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,6,13,2024-03-24T19:20:39Z,610000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M12.00S,2024-03-24T19:18:14.6Z,1,REGULAR,substitution,out,[],202685,,,1610612740,6,13,2024-03-24T19:20:39Z,620000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M12.00S,2024-03-24T19:18:14.6Z,1,REGULAR,substitution,in,[],1641787,,,1610612740,6,13,2024-03-24T19:20:39Z,630000,False,,,0,,SUB in: T. Evbuomwan,[1641787],1610612765.0,DET,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M12.00S,2024-03-24T19:18:14.6Z,1,REGULAR,substitution,in,[],1626204,,,1610612740,6,13,2024-03-24T19:20:39Z,640000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M12.00S,2024-03-24T19:18:14.6Z,1,REGULAR,substitution,in,[],1630230,,,1610612740,6,13,2024-03-24T19:20:39Z,650000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M12.00S,2024-03-24T19:21:01.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629627,,,1610612740,6,14,2024-03-24T19:21:01Z,660000,False,,,0,,Z. Williamson Free Throw 1 of 1 (3 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,,,,,,,,,,,,,3.0,,,,,
69,PT05M59.00S,2024-03-24T19:21:18.4Z,1,REGULAR,foul,offensive,[],1641787,,,1610612765,6,14,2024-03-24T19:22:18Z,670000,False,,,0,,T. Evbuomwan charge offensive FOUL (1 PF),"[1641787, 1626204]",1610612765.0,DET,charge,,,Evbuomwan,T. Evbuomwan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,202056.0,,,,,1.0,0.0,Nance Jr.,1626204.0,,,,,,
71,PT05M59.00S,2024-03-24T19:21:18.4Z,1,REGULAR,turnover,offensive foul,[],1641787,,,1610612765,6,14,2024-03-24T19:21:18Z,690000,False,,,0,,T. Evbuomwan offensive foul TURNOVER (1 TO),[1641787],1610612765.0,DET,,,,Evbuomwan,T. Evbuomwan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,202056.0,1.0,,,,,,,,,,,,,
72,PT05M42.00S,2024-03-24T19:21:51.5Z,1,REGULAR,turnover,bad pass,[],1630530,,,1610612740,6,14,2024-03-24T19:23:07Z,700000,False,,,0,,T. Murphy III bad pass TURNOVER (1 TO),"[1630530, 1631204]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Center,,,,,,,1.0,,,,,,,,,,,,Sasser,1631204.0
73,PT05M42.00S,2024-03-24T19:21:51.5Z,1,REGULAR,steal,,[],1631204,,,1610612765,6,14,2024-03-24T19:21:53Z,710000,False,,,0,,M. Sasser STEAL (1 STL),[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
75,PT05M38.00S,2024-03-24T19:21:59.5Z,1,REGULAR,substitution,out,[],203468,,,1610612765,6,14,2024-03-24T19:22:12Z,730000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M38.00S,2024-03-24T19:21:59.5Z,1,REGULAR,substitution,in,[],1630631,,,1610612765,6,14,2024-03-24T19:22:12Z,740000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M23.00S,2024-03-24T19:22:30.6Z,1,REGULAR,turnover,out-of-bounds,[],1631093,,,1610612765,6,14,2024-03-24T19:22:37Z,750000,False,,,0,,J. Ivey bad pass out-of-bounds TURNOVER (2 TO),[1631093],1610612765.0,DET,bad pass,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,,,,,,1628171.0,2.0,,,,,,,,,,,,,
78,PT05M04.00S,2024-03-24T19:22:53.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630230,21.468462549277262,95.34313725490196,1610612740,6,17,2024-03-24T19:22:58Z,760000,False,-227.0,149.0,1,left,N. Marshall 27' 3PT  (3 PTS) (L. Nance Jr. 1 AST),"[1630230, 1626204]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Left Center,27.14,Made,,,,,,,,,,,,,3.0,L. Nance Jr.,1626204.0,1.0,,
80,PT04M49.00S,2024-03-24T19:23:09.6Z,1,REGULAR,3pt,Jump Shot,[],1641787,91.63929040735874,95.34313725490196,1610612765,6,17,2024-03-24T19:30:48Z,780000,False,227.0,26.0,1,right,MISS T. Evbuomwan 3PT - blocked,"[1641787, 1630530]",1610612765.0,DET,,,,Evbuomwan,T. Evbuomwan,,,,,Right Corner 3,24+ Right,22.82,Missed,Murphy III,1630530.0,,,,,,,,,,,,,,,,
133,PT04M49.00S,2024-03-24T19:23:09.6Z,1,REGULAR,block,,[],1630530,,,1610612765,6,17,2024-03-24T19:30:48Z,785000,False,,,0,,T. Murphy III BLOCK (2 BLK),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
81,PT04M47.00S,2024-03-24T19:23:11.6Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,6,17,2024-03-24T19:30:48Z,790000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Right Corner 3,24+ Right,,,,,80.0,,,2.0,2.0,0.0,,,,,,,,,,
82,PT04M34.00S,2024-03-24T19:23:24.6Z,1,REGULAR,3pt,Jump Shot,[],1630530,7.670827858081481,2.4509803921568647,1610612740,6,17,2024-03-24T19:27:44Z,800000,False,238.0,20.0,1,left,MISS T. Murphy III 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,23.85,Missed,,,,,,,,,,,,,,,,,,
83,PT04M34.00S,2024-03-24T19:23:24.6Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,6,17,2024-03-24T19:27:44Z,810000,False,,,0,,J. Ivey REBOUND (Off:1 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Right Corner 3,24+ Right,,,,,82.0,,,2.0,1.0,1.0,,,,,,,,,,
