actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
444,PT01M33.00S,2023-12-07T01:36:44.0Z,3,REGULAR,foul,personal,[],1630191,,,1610612763,79,80,2023-12-07T01:37:13Z,4310000,False,,,0,,I. Stewart loose ball personal FOUL (4 PF),"[1630191, 1628991]",1610612765.0,DET,loose ball,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,,,,1626301.0,,,,,,,,,,4.0,0.0,Jackson Jr.,1628991.0
446,PT01M33.00S,2023-12-07T01:36:56.1Z,3,REGULAR,substitution,out,[],1630191,,,1610612763,79,80,2023-12-07T01:36:59Z,4330000,False,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
447,PT01M33.00S,2023-12-07T01:36:56.1Z,3,REGULAR,substitution,in,[],1630164,,,1610612763,79,80,2023-12-07T01:36:59Z,4340000,False,,,0,,SUB in: J. Wiseman,[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,,,,,,,,,,,,,,,,,,,
448,PT01M25.00S,2023-12-07T01:37:12.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,4.812746386333772,52.450980392156865,1610612763,79,80,2023-12-07T01:37:17Z,4350000,False,-12.0,-7.0,1,left,MISS J. Jackson Jr. Layup - blocked,"[1628991, 1630164]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,1.43,Missed,,,,,,,,Wiseman,1630164.0,,,,,,,,,
449,PT01M25.00S,2023-12-07T01:37:12.1Z,3,REGULAR,block,,[],1630164,,,1610612763,79,80,2023-12-07T01:37:14Z,4360000,False,,,0,,J. Wiseman BLOCK (1 BLK),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
450,PT01M21.00S,2023-12-07T01:37:16.1Z,3,REGULAR,rebound,defensive,[],1631093,,,1610612765,79,80,2023-12-07T01:37:17Z,4370000,False,,,0,,J. Ivey REBOUND (Off:0 Def:3),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,448.0,3.0,3.0,0.0,,,,,,,,,,,,,,
451,PT01M10.00S,2023-12-07T01:37:27.5Z,3,REGULAR,3pt,Jump Shot,[],1630587,91.67214191852825,3.1862745098039214,1610612765,79,80,2023-12-07T01:39:51Z,4380000,False,-234.0,26.0,1,right,MISS I. Livers step back 3PT,[1630587],1610612765.0,DET,step back,,,Livers,I. Livers,,,,,Left Corner 3,24+ Left,23.55,Missed,,,,,,,,,,,,,,,,,,
452,PT01M07.00S,2023-12-07T01:37:30.5Z,3,REGULAR,rebound,defensive,[],1631246,,,1610612763,79,80,2023-12-07T01:37:31Z,4390000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:4),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Left Corner 3,24+ Left,,,451.0,4.0,4.0,0.0,,,,,,,,,,,,,,
456,PT00M53.70S,2023-12-07T01:37:37.5Z,3,REGULAR,turnover,out-of-bounds,[],1630217,,,1610612763,79,80,2023-12-07T01:39:44Z,4395000,False,,,0,,D. Bane bad pass out-of-bounds TURNOVER (2 TO),[1630217],1610612763.0,MEM,bad pass,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,,,,,,,2004.0,2.0,,,,,,,,,,,,
471,PT00M53.70S,2023-12-07T01:37:52.5Z,3,REGULAR,timeout,challenge,['team'],0,,,1610612765,79,80,2023-12-07T01:42:28Z,4407500,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,PT00M53.70S,2023-12-07T01:39:23.7Z,3,REGULAR,substitution,out,[],1630587,,,1610612765,79,80,2023-12-07T01:39:41Z,4430000,False,,,0,,SUB out: I. Livers,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,,,,,,,,,
458,PT00M53.70S,2023-12-07T01:39:23.7Z,3,REGULAR,substitution,in,[],1641709,,,1610612765,79,80,2023-12-07T01:39:41Z,4440000,False,,,0,,SUB in: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
