actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
585,PT02M44.00S,2023-12-07T02:01:46.8Z,4,REGULAR,2pt,Jump Shot,[],1630165,90.88370565045992,27.450980392156865,1610612765,96,107,2023-12-07T02:13:16Z,5620000,False,-113.0,33.0,1,right,MISS K. Hayes 11' fadeaway Shot,[1630165],1610612765.0,DET,fadeaway,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Left,11.75,Missed,,,,,,,,,,,,,,,,,,
586,PT02M40.00S,2023-12-07T02:01:50.8Z,4,REGULAR,rebound,defensive,[],1629723,,,1610612763,96,107,2023-12-07T02:01:52Z,5630000,False,,,0,,J. Konchar REBOUND (Off:1 Def:6),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Mid-Range,8-16 Left,,,585.0,7.0,6.0,1.0,,,,,,,,,,,,,,
587,PT02M29.00S,2023-12-07T02:02:09.6Z,4,REGULAR,foul,personal,[],1630165,,,1610612763,96,107,2023-12-07T02:02:42Z,5640000,False,,,0,,K. Hayes personal FOUL (3 PF),"[1630165, 1630217]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Right,,,,,,,1626301.0,,,,,,,,,,3.0,0.0,Bane,1630217.0
589,PT02M29.00S,2023-12-07T02:02:14.2Z,4,REGULAR,substitution,out,[],202687,,,1610612763,96,107,2023-12-07T02:02:16Z,5660000,False,,,0,,SUB out: B. Biyombo,[202687],1610612763.0,MEM,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
590,PT02M29.00S,2023-12-07T02:02:14.2Z,4,REGULAR,substitution,in,[],1628991,,,1610612763,96,107,2023-12-07T02:02:16Z,5670000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
591,PT02M15.00S,2023-12-07T02:02:35.0Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631223,8.229303547963205,54.166666666666664,1610612763,96,107,2023-12-07T02:13:50Z,5680000,False,-21.0,25.0,1,left,MISS D. Roddy driving floating Shot,[1631223],1610612763.0,MEM,driving floating,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,3.24,Missed,,,,,,,,,,,,,,,,,,
592,PT02M13.00S,2023-12-07T02:02:37.0Z,4,REGULAR,rebound,defensive,[],1631105,,,1610612765,96,107,2023-12-07T02:13:50Z,5690000,False,,,0,,J. Duren REBOUND (Off:1 Def:10),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,591.0,11.0,10.0,1.0,,,,,,,,,,,,,,
593,PT02M06.00S,2023-12-07T02:02:44.6Z,4,REGULAR,2pt,Jump Shot,[],202711,92.85479632063075,77.69607843137256,1610612765,96,107,2023-12-07T02:14:09Z,5700000,False,138.0,15.0,1,right,MISS B. Bogdanovic 13' step back Shot,[202711],1610612765.0,DET,step back,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,13.93,Missed,,,,,,,,,,,,,,,,,,
594,PT02M02.00S,2023-12-07T02:02:48.6Z,4,REGULAR,rebound,defensive,[],1630217,,,1610612763,96,107,2023-12-07T02:02:50Z,5710000,False,,,0,,D. Bane REBOUND (Off:1 Def:5),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,8-16 Right,,,593.0,6.0,5.0,1.0,,,,,,,,,,,,,,
595,PT01M58.00S,2023-12-07T02:02:57.9Z,4,REGULAR,foul,personal,[],1630191,,,1610612763,96,107,2023-12-07T02:03:07Z,5720000,False,,,0,,I. Stewart take personal FOUL (5 PF),"[1630191, 1630217]",1610612765.0,DET,take,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Center,,,,,,,1626301.0,,,,,,,,,,5.0,0.0,Bane,1630217.0
597,PT01M58.00S,2023-12-07T02:03:11.7Z,4,REGULAR,timeout,full,['team'],0,,,1610612763,96,107,2023-12-07T02:03:11Z,5740000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,PT01M58.00S,2023-12-07T02:04:33.8Z,4,REGULAR,substitution,out,[],1631105,,,1610612763,96,107,2023-12-07T02:04:46Z,5750000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
599,PT01M58.00S,2023-12-07T02:04:33.8Z,4,REGULAR,substitution,in,[],1630587,,,1610612763,96,107,2023-12-07T02:04:46Z,5760000,False,,,0,,SUB in: I. Livers,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,,,,,,,,,
600,PT01M48.00S,2023-12-07T02:05:01.5Z,4,REGULAR,2pt,Jump Shot,[],1630217,12.959921156373195,74.75490196078431,1610612763,96,109,2023-12-07T02:05:27Z,5770000,False,-124.0,69.0,1,left,D. Bane 14' pullup Jump Shot (42 PTS),[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Mid-Range,8-16 Left,14.19,Made,,,,,,,42.0,,,,,,,,,,,
601,PT01M41.00S,2023-12-07T02:05:18.9Z,4,REGULAR,3pt,Jump Shot,[],202711,67.49342969776609,38.72549019607843,1610612765,99,109,2023-12-07T02:05:24Z,5780000,False,-56.0,253.0,1,right,B. Bogdanovic 25' 3PT  (22 PTS) (C. Cunningham 9 AST),"[202711, 1630595]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Center,25.93,Made,,,,,,,22.0,,,C. Cunningham,1630595.0,9.0,,,,,,
603,PT01M24.00S,2023-12-07T02:05:38.4Z,4,REGULAR,2pt,Jump Shot,[],1630217,22.026938239159,30.637254901960787,1610612763,99,111,2023-12-07T02:05:42Z,5800000,False,97.0,155.0,1,left,D. Bane 18' pullup Jump Shot (44 PTS),[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right Center,18.24,Made,,,,,,,44.0,,,,,,,,,,,
604,PT01M17.00S,2023-12-07T02:05:48.9Z,4,REGULAR,3pt,Jump Shot,[],1630587,72.48685939553219,80.63725490196079,1610612765,102,111,2023-12-07T02:05:54Z,5810000,False,153.0,206.0,1,right,I. Livers 25' 3PT  (5 PTS) (C. Cunningham 10 AST),"[1630587, 1630595]",1610612765.0,DET,,,,Livers,I. Livers,,,,,Above the Break 3,24+ Right Center,25.68,Made,,,,,,,5.0,,,C. Cunningham,1630595.0,10.0,,,,,,
606,PT00M57.90S,2023-12-07T02:06:12.4Z,4,REGULAR,3pt,Jump Shot,[],1630217,29.77989487516426,25.0,1610612763,102,114,2023-12-07T02:15:39Z,5830000,False,125.0,227.0,1,left,D. Bane 25' 3PT pullup (47 PTS),[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,25.95,Made,,,,,,,47.0,,,,,,,,,,,
607,PT00M41.00S,2023-12-07T02:06:33.4Z,4,REGULAR,3pt,Jump Shot,[],1630587,89.70105124835742,2.941176470588235,1610612765,102,114,2023-12-07T02:06:38Z,5840000,False,-235.0,44.0,1,right,MISS I. Livers 3PT,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Left Corner 3,24+ Left,23.94,Missed,,,,,,,,,,,,,,,,,,
608,PT00M39.10S,2023-12-07T02:06:35.3Z,4,REGULAR,rebound,offensive,[],1630165,,,1610612765,102,114,2023-12-07T02:06:38Z,5850000,False,,,0,,K. Hayes REBOUND (Off:2 Def:2),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Left Corner 3,24+ Left,,,607.0,4.0,2.0,2.0,,,,,,,,,,,,,,
609,PT00M36.80S,2023-12-07T02:06:37.7Z,4,REGULAR,2pt,Jump Shot,['2ndchance'],1630165,88.51839684625493,26.225490196078432,1610612765,102,114,2023-12-07T02:06:44Z,5860000,False,-119.0,55.0,1,right,MISS K. Hayes 13' Jump Shot - blocked,"[1630165, 1630217]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Left,13.12,Missed,,,,,,,,Bane,1630217.0,,,,,,,,,
610,PT00M36.80S,2023-12-07T02:06:37.7Z,4,REGULAR,block,,[],1630217,,,1610612765,102,114,2023-12-07T02:16:57Z,5870000,False,,,0,,D. Bane BLOCK (2 BLK),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
611,PT00M31.40S,2023-12-07T02:06:43.1Z,4,REGULAR,rebound,defensive,[],1631223,,,1610612763,102,114,2023-12-07T02:06:44Z,5880000,False,,,0,,D. Roddy REBOUND (Off:1 Def:5),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Mid-Range,8-16 Left,,,609.0,6.0,5.0,1.0,,,,,,,,,,,,,,
612,PT00M30.50S,2023-12-07T02:06:43.9Z,4,REGULAR,turnover,lost ball,[],1631223,,,1610612763,102,114,2023-12-07T02:06:49Z,5890000,False,,,0,,D. Roddy lost ball TURNOVER (3 TO),"[1631223, 1630595]",1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Center,,,,,,,,3.0,,,,,,,Cunningham,1630595.0,,,,
613,PT00M30.50S,2023-12-07T02:06:43.9Z,4,REGULAR,steal,,[],1630595,,,1610612765,102,114,2023-12-07T02:06:45Z,5900000,False,,,0,,C. Cunningham STEAL (2 STL),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
614,PT00M26.30S,2023-12-07T02:06:48.0Z,4,REGULAR,turnover,bad pass,[],1630595,,,1610612765,102,114,2023-12-07T02:06:54Z,5910000,False,,,0,,C. Cunningham bad pass TURNOVER (5 TO),"[1630595, 1631223]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left,,,,,,,,5.0,,,,,,,Roddy,1631223.0,,,,
615,PT00M26.30S,2023-12-07T02:06:48.0Z,4,REGULAR,steal,,[],1631223,,,1610612763,102,114,2023-12-07T02:06:51Z,5920000,False,,,0,,D. Roddy STEAL (2 STL),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
616,PT00M21.20S,2023-12-07T02:06:56.9Z,4,REGULAR,timeout,full,['team'],0,,,1610612763,102,114,2023-12-07T02:06:56Z,5930000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,PT00M21.20S,2023-12-07T02:08:02.8Z,4,REGULAR,substitution,out,[],1631223,,,1610612763,102,114,2023-12-07T02:08:24Z,5940000,False,,,0,,SUB out: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
618,PT00M21.20S,2023-12-07T02:08:02.8Z,4,REGULAR,substitution,in,[],1629669,,,1610612763,102,114,2023-12-07T02:08:24Z,5950000,False,,,0,,SUB in: J. Nowell,[1629669],1610612763.0,MEM,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
619,PT00M20.40S,2023-12-07T02:08:33.3Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630595,,,1610612763,102,114,2023-12-07T02:08:40Z,5960000,False,,,0,,C. Cunningham take personal FOUL (2 PF) (Bane 2 FT),"[1630595, 1630217]",1610612765.0,DET,take,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,,,,,,1626301.0,,,,,,,,,,2.0,0.0,Bane,1630217.0
621,PT00M20.40S,2023-12-07T02:08:54.1Z,4,REGULAR,freethrow,1 of 2,['fromturnover'],1630217,,,1610612763,102,115,2023-12-07T02:08:54Z,5980000,False,,,0,,D. Bane Free Throw 1 of 2 (48 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,Made,,,,,,,48.0,,,,,,,,,,,
622,PT00M20.40S,2023-12-07T02:08:54.7Z,4,REGULAR,substitution,out,[],1630583,,,1610612763,102,115,2023-12-07T02:09:32Z,5990000,False,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
623,PT00M20.40S,2023-12-07T02:08:54.7Z,4,REGULAR,substitution,out,[],1628991,,,1610612763,102,115,2023-12-07T02:09:32Z,6000000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
624,PT00M20.40S,2023-12-07T02:08:54.7Z,4,REGULAR,substitution,out,[],1629723,,,1610612763,102,115,2023-12-07T02:09:32Z,6010000,False,,,0,,SUB out: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
625,PT00M20.40S,2023-12-07T02:08:54.7Z,4,REGULAR,substitution,out,[],1629669,,,1610612763,102,115,2023-12-07T02:09:32Z,6020000,False,,,0,,SUB out: J. Nowell,[1629669],1610612763.0,MEM,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
626,PT00M20.40S,2023-12-07T02:08:54.7Z,4,REGULAR,substitution,in,[],1630214,,,1610612763,102,115,2023-12-07T02:09:32Z,6030000,False,,,0,,SUB in: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
627,PT00M20.40S,2023-12-07T02:08:54.7Z,4,REGULAR,substitution,in,[],1631254,,,1610612763,102,115,2023-12-07T02:09:32Z,6040000,False,,,0,,SUB in: K. Lofton Jr.,[1631254],1610612763.0,MEM,,,,Lofton Jr.,K. Lofton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
628,PT00M20.40S,2023-12-07T02:08:54.7Z,4,REGULAR,substitution,in,[],1630533,,,1610612763,102,115,2023-12-07T02:09:32Z,6050000,False,,,0,,SUB in: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
629,PT00M20.40S,2023-12-07T02:08:54.7Z,4,REGULAR,substitution,in,[],1631367,,,1610612763,102,115,2023-12-07T02:09:32Z,6060000,False,,,0,,SUB in: J. Gilyard,[1631367],1610612763.0,MEM,,,,Gilyard,J. Gilyard,,,,,,,,,,,,,,,,,,,,,,,,,,
630,PT00M20.40S,2023-12-07T02:09:38.3Z,4,REGULAR,freethrow,2 of 2,['fromturnover'],1630217,,,1610612763,102,116,2023-12-07T02:09:38Z,6070000,False,,,0,,D. Bane Free Throw 2 of 2 (49 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,Made,,,,,,,49.0,,,,,,,,,,,
631,PT00M14.90S,2023-12-07T02:09:46.5Z,4,REGULAR,3pt,Jump Shot,[],1630595,65.1281208935611,40.931372549019606,1610612765,102,116,2023-12-07T02:18:13Z,6080000,False,-45.0,275.0,1,right,MISS C. Cunningham 27' pullup 3PT,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,27.9,Missed,,,,,,,,,,,,,,,,,,
632,PT00M11.90S,2023-12-07T02:09:49.5Z,4,REGULAR,rebound,defensive,[],1631254,,,1610612763,102,116,2023-12-07T02:09:49Z,6090000,False,,,0,,K. Lofton Jr. REBOUND (Off:0 Def:1),[1631254],1610612763.0,MEM,,,,Lofton Jr.,K. Lofton Jr.,,,,,Above the Break 3,24+ Center,,,631.0,1.0,1.0,0.0,,,,,,,,,,,,,,
633,PT00M00.00S,2023-12-07T02:10:03.1Z,4,REGULAR,period,end,[],0,,,1610612763,102,116,2023-12-07T02:10:03Z,6100000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,PT00M00.00S,2023-12-07T02:10:06.6Z,4,REGULAR,game,end,[],0,,,0,102,116,2023-12-07T02:10:06Z,6110000,False,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
