actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
28,PT09M49.00S,2024-03-11T23:14:46.9Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,4,4,2024-03-11T23:15:20Z,280000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,,,,In The Paint (Non-RA),8-16 Center,,,Cunningham,C. Cunningham,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M47.00S,2024-03-11T23:14:51.1Z,1,REGULAR,foul,personal,['2freethrow'],1641706,,,1610612765,4,4,2024-03-11T23:14:59Z,290000,False,,,0,,B. Miller shooting personal FOUL (1 PF) (Ivey 2 FT),"[1641706, 1631093]",1610612766.0,CHA,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Miller,B. Miller,,,,,,,,,,,,2002.0,1.0,0.0,Ivey,1631093.0,,
31,PT09M47.00S,2024-03-11T23:15:22.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631093,,,1610612765,5,4,2024-03-11T23:15:50Z,310000,False,,,0,,J. Ivey Free Throw 1 of 2 (1 PTS),[1631093],1610612765.0,DET,,,,,,,,,,Made,Ivey,J. Ivey,,,,,1.0,,,,,,,,,,,,,
32,PT09M47.00S,2024-03-11T23:15:22.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631093,,,1610612765,6,4,2024-03-11T23:15:50Z,320000,False,,,0,,J. Ivey Free Throw 2 of 2 (2 PTS),[1631093],1610612765.0,DET,,,,,,,,,,Made,Ivey,J. Ivey,,,,,2.0,,,,,,,,,,,,,
33,PT09M31.00S,2024-03-11T23:15:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,90.88370565045992,43.38235294117647,1610612766,6,4,2024-03-11T23:16:42Z,330000,False,-33.0,33.0,1,right,MISS G. Williams driving Layup,[1629684],1610612766.0,CHA,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.69,Missed,Williams,G. Williams,,,,,,,,,,,,,,,,,,
34,PT09M28.00S,2024-03-11T23:15:59.6Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,6,4,2024-03-11T23:16:04Z,340000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,,,Richards,N. Richards,33.0,1.0,0.0,1.0,,,,,,,,,,,,,,
35,PT09M26.00S,2024-03-11T23:16:00.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,91.40932982917214,47.30392156862745,1610612766,6,6,2024-03-11T23:16:37Z,350000,False,-13.0,28.0,1,right,N. Richards putback Layup (2 PTS),[1630208],1610612766.0,CHA,putback,,,,,,Restricted Area,0-8 Center,3.14,Made,Richards,N. Richards,,,,,2.0,,,,,,,,,,,,,
36,PT09M18.00S,2024-03-11T23:16:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,8.492115637319317,48.529411764705884,1610612765,6,6,2024-03-11T23:16:13Z,360000,False,7.0,27.0,1,left,MISS C. Cunningham driving Layup,[1630595],1610612765.0,DET,driving,,,,,,Restricted Area,0-8 Center,2.83,Missed,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
37,PT09M14.00S,2024-03-11T23:16:13.2Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,6,6,2024-03-11T23:16:13Z,370000,False,,,0,,J. Duren REBOUND (Off:2 Def:0),[1631105],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,Duren,J. Duren,36.0,2.0,0.0,2.0,,,,,,,,,,,,,,
38,PT09M14.00S,2024-03-11T23:16:13.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1631105,5.590000152587891,50.0,1610612765,8,6,2024-03-11T23:17:29Z,380000,False,0.0,0.0,1,left,J. Duren tip DUNK (4 PTS),[1631105],1610612765.0,DET,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,Duren,J. Duren,,,,,4.0,,,,,,,,,,,,,
